[00:09.730 --> 00:10.110]  Zero.
[36:27.370 --> 36:28.570]  I hear that.
[36:28.990 --> 36:30.770]  I was reaching. I'm just looking for a hit here, baby.
[36:30.850 --> 36:31.370]  I hear you.
[36:33.710 --> 36:35.190]  That might be a formal dress
[36:35.190 --> 36:36.070]  on the other side of the street.
[36:36.090 --> 36:39.010]  I was looking at it too. I think it's just a white sundress.
[36:39.230 --> 36:41.470]  If you wouldn't give it to me on the disco,
[36:41.670 --> 36:43.590]  I can't imagine that you'd give it to me on the sundress.
[36:44.050 --> 36:45.750]  Take a look when she gets across the street.
[36:46.550 --> 36:47.450]  Take a look at
[36:47.450 --> 36:48.530]  my sundress.
[36:54.610 --> 36:59.430]  Do y'all see this dude's hair
[36:59.430 --> 37:00.870]  in the bottom right?
[37:01.130 --> 37:03.530]  Yes, I do. I wasn't gonna say
[37:03.530 --> 37:05.190]  anything, but it's interesting.
[37:06.230 --> 37:06.250]  Yeah.
[37:06.730 --> 37:08.870]  You can't really tell now.
[37:09.030 --> 37:11.190]  The guy in the yellow shirt walking away. You can't really tell.
[37:11.330 --> 37:13.770]  It's not a comb-over. It's a comb-up.
[37:14.050 --> 37:16.050]  It was like a...
[37:16.050 --> 37:16.850]  Comb-up-a-dove-a?
[37:18.450 --> 37:19.630]  Real middle hair.
[37:19.890 --> 37:21.630]  It's kind of like when you get ice cream
[37:21.630 --> 37:23.450]  at an all-you-can-eat buffet
[37:23.450 --> 37:25.990]  and you get it yourself and it makes a little swirl to the top.
[37:26.110 --> 37:27.610]  It was like the hair version of that.
[37:28.050 --> 37:29.990]  Look at that floppy
[37:29.990 --> 37:31.290]  dress. Is that the same?
[37:32.150 --> 37:33.650]  I don't think it's formal.
[37:33.910 --> 37:34.730]  Take a right.
[37:36.090 --> 37:36.530]  Let's see.
[37:37.270 --> 37:38.970]  I would love it to be formal.
[37:40.070 --> 37:40.610]  I know.
[37:41.410 --> 37:43.670]  The problem is we can't get confirmation
[37:43.670 --> 37:44.350]  one way or the other.
[37:45.870 --> 37:47.410]  Unless she comes this way.
[37:47.630 --> 37:49.610]  Guy who was wearing the go-go-now shirt.
[37:49.770 --> 37:51.510]  Put on a suit. Come back.
[37:52.710 --> 37:53.770]  We should have a
[37:53.770 --> 37:56.030]  Jesus category for all the dudes with long hair.
[37:56.470 --> 37:57.010]  Cowboy boots.
[37:57.230 --> 37:58.190]  Chug that beer, Jesus.
[37:59.010 --> 38:00.410]  Those aren't cowboy boots.
[38:00.710 --> 38:01.630]  He's wearing sunglasses.
[38:03.990 --> 38:04.830]  Sunglasses at night?
[38:05.350 --> 38:06.670]  That's the same car from earlier.
[38:06.870 --> 38:07.890]  Was there sunglasses at night?
[38:09.730 --> 38:10.610]  Hell yeah.
[38:10.610 --> 38:11.730]  Nighttime shades.
[38:12.250 --> 38:13.810]  Where are my jeans and flip flops at?
[38:13.890 --> 38:15.290]  And who is this guy in all these shirts?
[38:15.450 --> 38:17.090]  I'm a pink taxi away as well.
[38:17.170 --> 38:20.290]  I need either a pink taxi or a luxury car.
[38:20.490 --> 38:21.490]  Handshake and a bandage.
[38:22.610 --> 38:23.910]  I'd kill for a skateboard.
[38:24.630 --> 38:26.650]  I am so close in so many different ways.
[38:28.030 --> 38:29.630]  I had a cigar or something.
[38:29.630 --> 38:30.210]  I was going to say
[38:30.210 --> 38:32.450]  Key West with a cigar? I like that.
[38:32.530 --> 38:33.130]  That's formal?
[38:34.110 --> 38:35.410]  Is that formal?
[38:36.290 --> 38:38.490]  Here's the answer from Emily who just texted me.
[38:39.370 --> 38:40.610]  Formal wear is when
[38:40.610 --> 38:41.870]  they came from a wedding.
[38:42.050 --> 38:44.510]  If it isn't wedding appropriate, it isn't formal wear.
[38:44.610 --> 38:46.750]  Party club wear isn't formal wear.
[38:46.890 --> 38:47.690]  That's very specific.
[38:47.930 --> 38:48.830]  Oh, crew squad.
[38:49.790 --> 38:51.770]  These girls are new boot goofing.
[38:51.910 --> 38:54.150]  Hug each other. Somebody hug!
[38:54.570 --> 38:54.870]  Hug.
[38:55.910 --> 38:58.130]  There has been an alarming lack of hugs.
[38:58.550 --> 39:00.430]  Yeah, everybody's pretty standoffish tonight.
[39:00.510 --> 39:01.090]  Where's the love?
[39:01.930 --> 39:04.110]  Oh, making out.
[39:04.930 --> 39:05.470]  Weird.
[39:05.470 --> 39:08.250]  I got double fisted!
[39:08.530 --> 39:09.250]  Does anybody have double fisted?
[39:09.290 --> 39:10.670]  Oh, yeah, there's a double fist right there.
[39:11.550 --> 39:12.630]  I don't have it.
[39:12.750 --> 39:14.170]  I don't have it either.
[39:15.390 --> 39:16.430]  You know what's fucking sad?
[39:16.970 --> 39:20.290]  Earlier, when I watched a guy not eat a chili dog.
[39:20.570 --> 39:20.750]  Yeah.
[39:22.430 --> 39:23.410]  That was terrible.
[39:23.770 --> 39:24.850]  I felt bad for him in that moment.
[39:25.390 --> 39:27.130]  I think we're seeing the beginnings of something here.
[39:27.410 --> 39:27.610]  Yeah.
[39:28.830 --> 39:31.010]  Sorry, bro.
[39:31.210 --> 39:32.290]  What do you want me to do?
[39:32.290 --> 39:33.530]  Did they know each other?
[39:34.190 --> 39:34.810]  I hope not.
[39:35.130 --> 39:37.690]  I hope so, otherwise that's assault.
[39:37.890 --> 39:39.210]  I like his big fake chain.
[39:39.390 --> 39:41.170]  Oh, yeah, he's doing the fist bump.
[39:41.330 --> 39:43.430]  Shake hands, you fucker!
[39:48.550 --> 39:50.490]  I don't think you bump and shake.
[39:50.630 --> 39:51.490]  I think it's either or.
[39:52.630 --> 39:55.290]  What if we invented the bump and shake?
[39:56.330 --> 39:58.250]  It's like the worst of both worlds.
[40:00.130 --> 40:01.450]  Double turn down.
[40:02.290 --> 40:03.030]  That guy had a big head.
[40:03.030 --> 40:03.710]  That bike just dodged.
[40:03.870 --> 40:05.170]  That was a pro move right there.
[40:05.870 --> 40:08.010]  Dude, Emily and I saw a dude crash on an e-bike the other day.
[40:08.070 --> 40:09.050]  Did I tell you about that in the episode?
[40:09.150 --> 40:09.270]  Really?
[40:09.630 --> 40:10.630]  It was so fucking funny.
[40:13.230 --> 40:16.810]  We were leaving an estate sale in this fancy-ass neighborhood,
[40:16.910 --> 40:17.530]  walking up a hill,
[40:17.630 --> 40:19.710]  and a dude zoomed by me on an e-bike,
[40:19.870 --> 40:20.550]  and I was looking at it.
[40:21.090 --> 40:21.910]  I'm an e-bike guy.
[40:22.150 --> 40:23.230]  I was trying to see what brand it was,
[40:23.230 --> 40:24.270]  and he just went by me.
[40:24.730 --> 40:25.950]  And I turned to Emily, and I was like,
[40:26.030 --> 40:27.010]  that guy's driving a little fast.
[40:27.070 --> 40:28.530]  And we just heard, like,
[40:28.650 --> 40:29.690]  and we turned around,
[40:29.770 --> 40:31.830]  and the dude was just rolling through somebody's front yard.
[40:33.410 --> 40:34.870]  And he jumped up, like,
[40:34.950 --> 40:35.610]  I'm okay, I'm okay,
[40:35.670 --> 40:37.290]  and he got on his bike and took the fuck off.
[40:39.390 --> 40:40.490]  It was really...
[40:40.490 --> 40:42.490]  There were tons of people walking into their cars
[40:42.490 --> 40:43.390]  from the estate sale, too.
[40:45.130 --> 40:46.010]  Definitely high visibility.
[40:46.730 --> 40:48.170]  Alright, one of these has to hug someone.
[40:48.170 --> 40:48.390]  Yeah.
[40:49.570 --> 40:51.070]  It's gotta hug!
[40:52.610 --> 40:54.350]  Wrap each other up in a bandage.
[40:54.510 --> 40:55.630]  It has to be a luxury vehicle.
[40:55.750 --> 40:57.830]  Like Chris Farley says, brothers gotta hug.
[40:59.990 --> 41:00.910]  That's a dumb hat.
[41:03.510 --> 41:04.750]  I don't know that.
[41:04.750 --> 41:05.630]  We already got that one.
[41:05.790 --> 41:07.190]  We're just being judgmental now.
[41:08.130 --> 41:10.210]  Guys, we got a new security guy.
[41:10.630 --> 41:11.090]  Oh, yeah?
[41:11.630 --> 41:13.250]  Is that on there? No.
[41:13.730 --> 41:14.850]  I've just never seen him work before.
[41:14.850 --> 41:17.010]  Oh, here comes a scooter. Are there two guys on the scooter?
[41:17.810 --> 41:18.910]  It's entirely possible.
[41:19.270 --> 41:20.230]  Come on.
[41:20.610 --> 41:22.350]  That lady's dancing. Oh, she's twerking.
[41:22.630 --> 41:23.470]  Yeah, that's twerking.
[41:23.590 --> 41:25.330]  Hell yeah, got it.
[41:25.610 --> 41:27.230]  Here we go.
[41:28.550 --> 41:30.130]  I need a litter bug, actually.
[41:30.470 --> 41:31.270]  Litter bug.
[41:35.510 --> 41:36.450]  Skateboard would be good.
[41:36.630 --> 41:37.670]  Handshake would be good.
[41:38.070 --> 41:39.310]  Firetruck wouldn't be bad.
[41:39.770 --> 41:40.770]  Here's a scooter!
[41:42.030 --> 41:42.670]  Damn it.
[41:43.130 --> 41:43.970]  Nice one.
[41:47.790 --> 41:48.670]  That lady...
[41:51.110 --> 41:52.670]  I was going to say maybe
[41:52.670 --> 41:54.590]  beach goth, but I don't think so.
[41:54.750 --> 41:56.930]  She just happens to be wearing all black.
[41:57.410 --> 41:58.950]  What's this guy doing with his legs?
[41:58.970 --> 42:00.670]  He's almost doing the sewing machine.
[42:04.270 --> 42:05.850]  That dude dicked him real fast.
[42:07.470 --> 42:08.150]  Break check.
[42:13.130 --> 42:14.290]  It's so frustrating
[42:14.290 --> 42:17.190]  to just be one away for more than five minutes.
[42:17.430 --> 42:18.810]  It's just killing me.
[42:18.810 --> 42:19.450]  It's so painful.
[42:21.190 --> 42:22.970]  Yeah, we're all very sad for you.
[42:23.550 --> 42:23.730]  Hug!
[42:26.410 --> 42:27.850]  Has anyone got flash flood?
[42:28.070 --> 42:28.430]  Chug!
[42:30.830 --> 42:31.410]  Hug.
[42:31.450 --> 42:33.190]  Chug, chug, chug, chug.
[42:34.310 --> 42:34.890]  Yeah!
[42:36.710 --> 42:38.350]  That was close, but no.
[42:39.210 --> 42:39.790]  Close.
[42:39.790 --> 42:39.830]  Close.
[42:42.870 --> 42:45.170]  Where the fuck are the pink taxis?
[42:45.570 --> 42:46.650]  Where are they?
[42:47.130 --> 42:49.210]  It must be too hot for blue jeans.
[42:49.750 --> 42:51.110]  I mean, it usually is,
[42:51.130 --> 42:52.370]  but it doesn't stop people from wearing them.
[42:52.670 --> 42:53.830]  It must be extra too hot.
[42:54.730 --> 42:56.070]  She's swinging that beer bottle.
[42:59.270 --> 43:00.150]  Litter bug.
[43:03.250 --> 43:04.310]  She's yelling at somebody.
[43:04.750 --> 43:04.950]  Who?
[43:05.610 --> 43:06.730]  Wait up, she said.
[43:07.710 --> 43:08.010]  Mate,
[43:08.210 --> 43:10.730]  I thought it was maybe heading that direction, but...
[43:15.120 --> 43:17.660]  Did I tell you guys about the night that I saw...
[43:17.660 --> 43:19.540]  I don't think I filmed it, because it just didn't...
[43:19.540 --> 43:21.620]  I tried, but it didn't look good, so I never showed it to you guys,
[43:21.700 --> 43:23.440]  but the night I saw
[43:23.440 --> 43:25.300]  somebody try to hand in a fake ID
[43:25.300 --> 43:27.140]  to the bouncer, and he threw it in the street,
[43:27.320 --> 43:27.900]  and it hit a car.
[43:29.920 --> 43:31.540]  It was a girl, and she had to go
[43:31.540 --> 43:33.040]  run out and pick it up out of the middle of the street.
[43:33.380 --> 43:34.640]  That's fucking awesome.
[43:35.920 --> 43:37.240]  Man, that sounds good.
[43:38.220 --> 43:40.700]  That's some good new haircuts out there tonight.
[43:43.200 --> 43:44.580]  People looking fresh.
[43:48.260 --> 43:50.400]  That guy's Chuck Taylor's
[43:50.400 --> 43:51.100]  match his shorts.
[43:51.600 --> 43:52.840]  That's too much coordination.
[43:53.320 --> 43:54.000]  I think it's great.
[43:55.080 --> 43:56.120]  Get weird with it.
[43:56.360 --> 43:57.920]  Not match your shirt, match your shorts.
[44:05.070 --> 44:06.990]  Somebody better almost get hit by a car.
[44:07.190 --> 44:08.850]  You know, I'm surprised
[44:08.850 --> 44:10.330]  we haven't seen an offensive t-shirt.
[44:10.450 --> 44:12.510]  Usually there's almost as many of those
[44:12.510 --> 44:13.730]  as American flag apparel.
[44:13.970 --> 44:16.410]  Yeah, and we've only seen one like American flag clothes.
[44:16.710 --> 44:18.410]  Why do you keep pronouncing it offensive?
[44:19.030 --> 44:19.870]  Yeah, I don't...
[44:19.870 --> 44:22.370]  He keeps saying it's so weird, but I mean, it's fine.
[44:23.130 --> 44:23.690]  What am I saying?
[44:24.670 --> 44:26.070]  You're not saying offensive,
[44:26.330 --> 44:28.270]  you're saying offensive, like they're playing
[44:28.270 --> 44:29.450]  for the... Oh, am I?
[44:29.610 --> 44:30.050]  Yeah.
[44:30.050 --> 44:31.370]  I didn't realize.
[44:31.410 --> 44:33.150]  You're about to take the ball and go for the...
[44:33.150 --> 44:35.970]  How about I never say it that way again
[44:35.970 --> 44:38.150]  and then I apologize profusely and then you guys forgive me
[44:38.150 --> 44:39.550]  and then we move on. Happy idea.
[44:39.890 --> 44:41.690]  Alright. You're forgiven.
[44:42.450 --> 44:43.870]  You approve of this hair, Gavin?
[44:44.050 --> 44:45.210]  How do you feel about the hair going on here?
[44:46.170 --> 44:47.170]  Looking fresh, man.
[44:48.130 --> 44:49.990]  Take that dog home and give him some water.
[44:52.410 --> 44:54.390]  Dogs don't go to bars, they don't drink booze.
[44:54.570 --> 44:56.370]  Now, if the guy with the dog
[44:57.170 --> 44:58.350]  was... could he be a
[44:58.350 --> 44:59.570]  meemaw? If that was a grandma?
[45:00.670 --> 45:02.270]  Like, is that the vibe? I don't really know
[45:02.270 --> 45:03.130]  what a meemaw is.
[45:03.490 --> 45:06.790]  It's, well, you know it when you see it.
[45:07.550 --> 45:08.390]  I don't know.
[45:08.630 --> 45:10.110]  Well, first off, he's not.
[45:10.310 --> 45:12.430]  If he was a lady and he had
[45:12.430 --> 45:13.870]  a beard and... I don't know.
[45:14.350 --> 45:15.590]  Oh, is that jeans and flip flops?
[45:16.050 --> 45:16.270]  Where?
[45:19.210 --> 45:20.090]  The woman
[45:20.090 --> 45:21.350]  crossing the road right now?
[45:22.370 --> 45:22.590]  What?
[45:24.690 --> 45:26.390]  I don't see it at all.
[45:26.390 --> 45:27.370]  Are you making...
[45:27.370 --> 45:29.010]  Are you watching the same feed as us?
[45:29.330 --> 45:31.990]  She's now walking to the left of the other side of the street.
[45:32.030 --> 45:34.230]  You know what? That might be.
[45:34.330 --> 45:35.210]  Oh, I can't tell.
[45:36.690 --> 45:37.430]  I can't tell.
[45:37.570 --> 45:39.730]  Why isn't that guy...
[45:39.730 --> 45:40.270]  What is that guy doing?
[45:41.850 --> 45:42.530]  Petting a dog.
[45:45.190 --> 45:46.370]  Geoff, can we do a
[45:46.370 --> 45:47.710]  peepaw in addition to a meemaw?
[45:48.430 --> 45:48.830]  Interesting.
[45:49.750 --> 45:50.330]  Yeah, potentially.
[45:51.250 --> 45:53.570]  I mean, it's not on the board, but...
[45:53.570 --> 45:54.290]  But yeah, potentially.
[45:54.710 --> 45:56.930]  Andrew, I can't believe there have been no luxury cars.
[45:57.590 --> 45:57.750]  Yeah.
[45:59.130 --> 46:01.150]  Zero point taxis, no luxury cars.
[46:01.330 --> 46:02.390]  It's been a disaster.
[46:02.610 --> 46:03.410]  I thought I had it.
[46:03.410 --> 46:06.290]  I saw one of those earlier.
[46:06.850 --> 46:09.310]  A meemaw, Andrew, would be if you saw
[46:09.310 --> 46:11.070]  a sweet old lady
[46:11.070 --> 46:13.070]  and you saw her and your first instinct
[46:13.070 --> 46:14.390]  was to go help her walk.
[46:14.650 --> 46:16.770]  Yes, that's a great description.
[46:17.330 --> 46:18.770]  Okay. That helps.
[46:20.270 --> 46:21.210]  There was something
[46:21.210 --> 46:23.130]  so funny about when you guys were trying
[46:23.130 --> 46:24.830]  to get info on Gavin on what he saw
[46:24.830 --> 46:26.850]  and him just going, ugh, because he knew
[46:26.850 --> 46:28.970]  he was hopeless.
[46:30.850 --> 46:31.890]  He gave up
[46:31.890 --> 46:32.490]  in that moment.
[46:32.550 --> 46:35.010]  It took him like 20 seconds after that
[46:35.010 --> 46:36.770]  to actually leave the frame, but he just knew
[46:36.770 --> 46:38.250]  that nobody was going to see him.
[46:38.470 --> 46:41.110]  I was 20% describing, 80%
[46:41.110 --> 46:41.830]  giving up.
[46:44.150 --> 46:45.310]  What about the rest of you?
[46:46.470 --> 46:47.690]  You don't want to know.
[46:47.910 --> 46:48.410]  I appreciate that.
[46:48.410 --> 46:49.370]  The rest of the percentage.
[46:49.650 --> 46:51.370]  How come no one's hugging?
[46:51.710 --> 46:52.970]  How come no one's shaking hands?
[46:54.110 --> 46:56.430]  If they hugged the dog, does that count
[46:56.430 --> 46:56.930]  as a hug?
[46:58.450 --> 47:00.390]  Does it have to be a human-on-human hug?
[47:00.690 --> 47:02.030]  No, I don't think we ever specified that.
[47:02.030 --> 47:04.290]  I think it needs to be reciprocated, doesn't it?
[47:04.450 --> 47:04.690]  Yeah.
[47:05.250 --> 47:07.370]  A hug is two ways.
[47:08.590 --> 47:09.230]  The beige boys.
[47:11.130 --> 47:12.010]  Oh, this guy's got a
[47:13.270 --> 47:14.230]  bit of a strut.
[47:14.510 --> 47:14.910]  I don't know, guys.
[47:15.550 --> 47:17.150]  I wanted that car to start going
[47:17.150 --> 47:17.910]  and almost hit him, you know?
[47:18.010 --> 47:19.050]  He's probably excited.
[47:21.790 --> 47:22.670]  He went...
[47:25.070 --> 47:26.250]  You feeling good?
[47:27.950 --> 47:28.390]  Fight!
[47:29.670 --> 47:30.970]  This sidewalk is
[47:31.470 --> 47:32.750]  pristine. No one's dropped
[47:32.750 --> 47:33.570]  anything.
[47:35.330 --> 47:36.410]  Yeah, people are being very
[47:36.850 --> 47:38.490]  responsible and respectful tonight.
[47:38.770 --> 47:40.550]  I don't like it.
[47:40.910 --> 47:42.650]  What's that shirt? Is that a fence? I can't tell.
[47:42.650 --> 47:44.590]  It said something bang, but...
[47:44.590 --> 47:46.970]  Oh, this guy's about to have fun. He just flipped his hat around.
[47:47.190 --> 47:47.550]  Hell yeah.
[47:48.190 --> 47:49.430]  And he's about to touch his dick.
[47:49.590 --> 47:52.290]  Yeah, get your hand in there.
[47:52.390 --> 47:53.390]  There we go, buddy!
[47:53.910 --> 47:54.290]  Yeah!
[47:56.330 --> 47:58.650]  That was a full-blown readjustment.
[47:59.030 --> 48:00.170]  Geez, that was great.
[48:00.170 --> 48:01.590]  It went from 6 to midnight.
[48:01.970 --> 48:03.470]  Oh, now he's yawning. Yawning is one.
[48:03.570 --> 48:05.190]  I got that.
[48:06.390 --> 48:08.390]  I just see trying to get in the wrong car.
[48:12.230 --> 48:13.690]  Oh, he's not taking a show?
[48:14.230 --> 48:15.150]  No, he's putting...
[48:15.150 --> 48:16.950]  He's decided he's showing too much.
[48:18.310 --> 48:19.450]  He's covering up a little bit.
[48:19.570 --> 48:20.690]  He just saw the camera.
[48:21.530 --> 48:22.270]  Oh, is he camera shy?
[48:22.670 --> 48:23.890]  No, I don't think so.
[48:25.690 --> 48:26.130]  He's...
[48:28.270 --> 48:29.530]  He's having fun.
[48:29.550 --> 48:31.270]  He's having fun in Key West, baby.
[48:31.270 --> 48:32.010]  He's fine.
[48:33.310 --> 48:35.550]  Oh, fuck.
[48:35.890 --> 48:36.830]  That was...
[48:36.830 --> 48:38.370]  That was terrible.
[48:38.370 --> 48:40.430]  That was close. I'm not going to count it as almost hit by a car.
[48:41.010 --> 48:41.230]  Yeah.
[48:42.250 --> 48:43.530]  That guy was almost hit by a car.
[48:44.410 --> 48:46.490]  I think we already got it, anyway.
[48:46.870 --> 48:47.450]  I don't think so.
[48:47.650 --> 48:48.910]  I don't think there's been almost hit by a car.
[48:51.770 --> 48:52.390]  You okay, Nick?
[48:52.810 --> 48:53.690]  Oh, that cyclist.
[48:54.410 --> 48:56.110]  They were pulling in front of the other car.
[48:56.330 --> 48:57.710]  And I thought, well...
[48:57.710 --> 48:59.110]  Got your backpack, huh, buddy?
[48:59.670 --> 49:00.190]  That's cool.
[49:02.430 --> 49:04.490]  Carry around all your books and stuff at the bar.
[49:04.930 --> 49:05.210]  Mollet!
[49:05.210 --> 49:05.250]  What?
[49:06.390 --> 49:06.810]  Where?
[49:08.390 --> 49:10.770]  Yeah, dude, that's a mollet.
[49:11.210 --> 49:12.870]  That's 100% mollet with a dad hat.
[49:13.210 --> 49:14.110]  And he's dancing.
[49:14.330 --> 49:15.690]  We already had dancing, but he's dancing.
[49:17.370 --> 49:18.890]  We got 10 minutes to get a bingo.
[49:19.310 --> 49:20.410]  There's another dog!
[49:20.830 --> 49:22.710]  We don't go until we get bingo?
[49:23.590 --> 49:25.730]  We got... Fisher has to leave in 15.
[49:26.510 --> 49:27.030]  Oh, no.
[49:27.350 --> 49:28.370]  So we have 15 minutes, then.
[49:28.490 --> 49:31.170]  We got...
[49:31.170 --> 49:32.930]  Hey, don't sell us short, Eric. Come on.
[49:32.930 --> 49:34.970]  I was trying to build in some time for Fisher.
[49:37.670 --> 49:40.570]  Well, all I need is a dead parrot head on a skateboard, and I win.
[49:40.910 --> 49:41.870]  Trying to get in a car.
[49:42.410 --> 49:43.470]  Trying to get in the wrong car.
[49:43.790 --> 49:45.610]  I want a Funfetti cake, I think.
[49:47.090 --> 49:48.290]  I love Funfetti.
[49:49.030 --> 49:49.950]  Funfetti's a great cake.
[49:50.010 --> 49:51.450]  You know what, Nick? Maybe I'll cut you a slice.
[49:51.810 --> 49:52.470]  Oh, thank you, man.
[49:52.930 --> 49:54.670]  Have you seen any beach goths yet?
[49:55.310 --> 49:56.330]  Not that I've seen.
[49:57.850 --> 49:59.910]  No, I always have my eye open for the beach goths.
[50:01.510 --> 50:03.270]  They stand out to me.
[50:04.250 --> 50:05.630]  They speak to me.
[50:07.350 --> 50:08.270]  They're my people.
[50:08.770 --> 50:08.890]  Yeah.
[50:09.810 --> 50:11.170]  There's been no kids.
[50:12.810 --> 50:13.830]  No kids out late.
[50:14.090 --> 50:16.070]  Good machine coming off this guy's head.
[50:16.910 --> 50:19.330]  Oh, God.
[50:19.450 --> 50:21.130]  That was the wrong time to take a drink of water.
[50:25.550 --> 50:27.490]  We need a bandage, dude.
[50:27.610 --> 50:28.890]  Everybody seems healthy tonight.
[50:30.250 --> 50:31.250]  Don't know wheelchair.
[50:31.890 --> 50:33.150]  Everybody seems healthy.
[50:33.250 --> 50:34.890]  Andrew, you're like, uh...
[50:36.150 --> 50:36.390]  Oh, wait.
[50:38.450 --> 50:39.970]  I see them all the time when you're not around.
[50:41.090 --> 50:42.210]  Gavin, what are we waiting for?
[50:42.650 --> 50:43.970]  What's that thing on the ground there?
[50:44.730 --> 50:46.730]  Is that always that little thing next to the black thing?
[50:47.770 --> 50:48.330]  I don't know.
[50:48.690 --> 50:51.190]  No, that's not always there.
[50:51.710 --> 50:52.010]  I don't know.
[50:52.670 --> 50:53.750]  Somebody dropped something.
[50:55.090 --> 50:55.990]  When was that?
[50:55.990 --> 50:58.190]  Like a wallet or a phone?
[50:58.550 --> 50:59.930]  No, they'd see it.
[51:00.370 --> 51:01.670]  Step? It can't be.
[51:01.910 --> 51:03.950]  She just stepped on it.
[51:04.490 --> 51:05.410]  Must be nothing.
[51:05.810 --> 51:06.890]  Yeah, I think it's just nothing.
[51:08.610 --> 51:10.570]  Thanks for wasting our time, Gavin.
[51:11.010 --> 51:11.630]  Sorry, man.
[51:12.310 --> 51:13.110]  It's okay.
[51:14.250 --> 51:16.130]  I'm sorry about the offensive thing.
[51:20.770 --> 51:21.850]  Oh, a bit of leg.
[51:22.250 --> 51:23.050]  Oh, a little leg.
[51:23.050 --> 51:23.910]  Drink swap.
[51:26.690 --> 51:28.810]  That was a terrible handoff.
[51:30.030 --> 51:30.530]  Drop the drink.
[51:32.190 --> 51:32.630]  Spill.
[51:34.050 --> 51:35.250]  And don't pick it up.
[51:35.710 --> 51:36.590]  Yeah, leave it.
[51:41.490 --> 51:42.750]  I must have missed.
[51:43.070 --> 51:43.910]  Jeans and flip-flops.
[51:45.070 --> 51:46.830]  Dude, I've been looking for them.
[51:46.930 --> 51:47.590]  I haven't seen any.
[51:48.950 --> 51:50.730]  That one time you called it out, I think you were right.
[51:50.730 --> 51:51.670]  But I can't.
[51:52.290 --> 51:52.670]  Sorry.
[51:54.210 --> 51:56.070]  It just wasn't close enough to see.
[51:56.210 --> 51:57.510]  This guy again with the dog, man.
[51:58.030 --> 51:59.430]  He's close to a dead paradise.
[51:59.670 --> 52:01.170]  He's really close, but not quite.
[52:01.250 --> 52:04.370]  He's not quite there. He's a little more like Surfer Fisher dude still.
[52:05.270 --> 52:07.150]  He's got a few more bad years in him.
[52:10.300 --> 52:11.580]  It's emptying out again.
[52:11.700 --> 52:12.420]  Everyone's gone.
[52:14.180 --> 52:15.400]  This is quiet.
[52:16.080 --> 52:16.900]  Gavin, what do you need?
[52:18.420 --> 52:19.440]  Yeah, what do you need, Gavin?
[52:20.780 --> 52:21.140]  Uh...
[52:21.960 --> 52:24.760]  Chug and ghost tour would get me...
[52:24.760 --> 52:25.420]  a lion.
[52:25.720 --> 52:26.860]  I have not seen a ghost tour.
[52:26.960 --> 52:28.720]  I don't think you're winning this one, bud.
[52:29.780 --> 52:31.840]  And a go-kart and spilled food.
[52:33.480 --> 52:35.960]  If I can get a cop car and a handshake, I can win.
[52:37.660 --> 52:38.660]  Handshake bandage, dude.
[52:39.340 --> 52:40.940]  Trying to get in the wrong car would get me.
[52:40.940 --> 52:42.060]  Trying to get in the wrong car would be it.
[52:42.760 --> 52:45.380]  No, it's on the line at Beachcocks, but it's not.
[52:45.480 --> 52:45.920]  It's not.
[52:45.920 --> 52:47.540]  No, it's not quite.
[52:47.820 --> 52:49.140]  It can't be. The backpack's wrong.
[52:49.580 --> 52:50.880]  Isn't that Ruby Rod?
[52:51.340 --> 52:52.120]  They don't wear shorts.
[52:57.760 --> 52:58.980]  Sloppy Joe's is crazy.
[52:59.240 --> 53:01.940]  It gets so busy and then just dies.
[53:02.140 --> 53:05.740]  Yeah, it's either there's tons of vehicles or tons of people.
[53:05.900 --> 53:06.620]  It's not simultaneous.
[53:07.640 --> 53:10.040]  It's also you get the impression that it's dead,
[53:10.180 --> 53:12.640]  but just off camera are all those people we just saw.
[53:12.960 --> 53:13.540]  That's true.
[53:13.780 --> 53:15.520]  Is it just like a million people in there?
[53:15.640 --> 53:17.320]  It's just a million people everywhere.
[53:17.320 --> 53:20.320]  And I guarantee you inside it's packed as a motherfucker.
[53:21.400 --> 53:23.180]  That guy dropped something when he picked it up.
[53:23.380 --> 53:24.240]  I saw that.
[53:25.560 --> 53:26.520]  Anyone drop anything?
[53:26.920 --> 53:28.100]  Was it food by chance?
[53:28.900 --> 53:30.120]  I don't think so.
[53:31.900 --> 53:33.100]  I don't think so.
[53:36.030 --> 53:38.690]  I can get like three or four different bingos,
[53:38.770 --> 53:40.510]  but it just requires two different cars.
[53:40.910 --> 53:41.450]  It sucks.
[53:42.470 --> 53:43.250]  I'm in the same boat.
[53:43.570 --> 53:47.110]  I can't believe there hasn't been a cop car or a fire truck or an ambulance yet.
[53:47.590 --> 53:48.190]  Everyone's behaving.
[53:48.390 --> 53:49.750]  Who's patrolling these streets?
[53:50.090 --> 53:52.470]  Fisher is saying that we can extend. We just need to know.
[53:52.750 --> 53:53.330]  Hell yeah.
[53:53.910 --> 53:55.590]  I mean, we need to extend until someone gets home.
[53:55.670 --> 53:57.390]  Are we going to go until we get a bingo, Fisher?
[53:58.190 --> 54:00.550]  Fisher, it's official. We need to extend our time. I'm sorry.
[54:00.870 --> 54:01.910]  Someone needs cake.
[54:04.510 --> 54:05.930]  Somebody's got to go home with a cake tonight.
[54:06.130 --> 54:07.270]  That they buy for themselves.
