[00:07.880 --> 00:08.880]  And we're back.
[25:11.120 --> 25:11.640]  possession.
[25:11.960 --> 25:12.600]  Wild.
[25:13.120 --> 25:15.420]  Some bonus and then
[25:15.420 --> 25:16.840]  Josh giddy up giddy.
[25:17.320 --> 25:18.540]  When your defensive
[25:18.540 --> 25:20.480]  answer is Klay Thompson
[25:20.480 --> 25:21.640]  and Draymond Green in
[25:21.640 --> 25:22.200]  2023.
[25:23.160 --> 25:23.620]  Yeah.
[25:23.740 --> 25:24.860]  Because what...
[25:24.860 --> 25:26.920]  Chris Paul gonna...
[25:26.920 --> 25:27.700]  You walk around...
[25:27.700 --> 25:27.960]  He's going to
[25:29.540 --> 25:30.600]  like in practice.
[25:30.780 --> 25:31.540]  It's like cones.
[25:31.720 --> 25:32.500]  Just go around him.
[25:33.000 --> 25:33.840]  Fucking the best.
[25:34.660 --> 25:35.520]  Pat Bev plan.
[25:35.680 --> 25:36.140]  Who signed him?
[25:36.360 --> 25:37.600]  Oh, shit.
[25:37.760 --> 25:38.260]  What do we get?
[25:39.540 --> 25:40.340]  We're putting in the
[25:40.340 --> 25:40.800]  back.
[25:40.940 --> 25:41.080]  Wow.
[25:41.240 --> 25:41.800]  That is good.
[25:41.960 --> 25:42.500]  Come back to that.
[25:42.560 --> 25:43.520]  I'm not familiar with
[25:43.520 --> 25:43.660]  that.
[25:43.680 --> 25:44.300]  I'm not familiar with
[25:44.300 --> 25:45.380]  that parallel or that
[25:45.380 --> 25:45.600]  insert.
[25:45.700 --> 25:46.060]  All right, Laurie
[25:46.060 --> 25:46.460]  Markkinen.
[25:48.500 --> 25:49.380]  Fucking turned out to
[25:49.380 --> 25:50.080]  be all-star Laurie
[25:50.080 --> 25:50.380]  Markkinen.
[25:52.600 --> 25:53.320]  Jalen McDaniels.
[25:53.340 --> 25:54.060]  Here's the Lonnie
[25:54.060 --> 25:54.960]  Walker base.
[25:55.980 --> 25:56.700]  Here we got a Chris
[25:56.700 --> 25:57.500]  Dabbs Porzingis wearing
[25:57.500 --> 25:58.300]  the wrong goddamn
[25:58.300 --> 25:58.820]  uniform.
[25:59.140 --> 25:59.900]  Something now.
[26:00.980 --> 26:01.740]  Jordan Clarkson.
[26:01.900 --> 26:02.720]  Those Utah jerseys
[26:02.720 --> 26:03.220]  suck.
[26:03.460 --> 26:03.620]  Jordan...
[26:03.620 --> 26:04.500]  They're so boring.
[26:04.700 --> 26:05.440]  Jordan Clarkson's
[26:05.440 --> 26:06.880]  gonna be in our
[26:06.880 --> 26:08.340]  upcoming common thread.
[26:09.040 --> 26:09.860]  A little game we're
[26:09.860 --> 26:10.500]  gonna play next week.
[26:10.620 --> 26:11.260]  That's exciting.
[26:11.380 --> 26:11.640]  He's in that.
[26:11.720 --> 26:12.840]  And then, last but not
[26:12.840 --> 26:13.560]  least, I've never seen
[26:13.560 --> 26:13.720]  this before.
[26:13.720 --> 26:14.480]  Oh, holy shit.
[26:14.820 --> 26:15.280]  That's sick.
[26:15.520 --> 26:16.400]  Recon Vector.
[26:16.600 --> 26:17.220]  Is it numbered?
[26:18.180 --> 26:18.460]  No.
[26:18.460 --> 26:18.980]  That's pretty cool.
[26:19.120 --> 26:19.840]  It might not be worth
[26:19.840 --> 26:20.680]  anything, but I've never
[26:20.680 --> 26:21.400]  seen this parallel.
[26:21.520 --> 26:22.180]  Oh, it's really neat.
[26:22.180 --> 26:23.040]  It's really beautiful.
[26:23.040 --> 26:23.900]  How cool would it be to
[26:23.900 --> 26:24.720]  be that person in the
[26:24.720 --> 26:25.020]  background?
[26:25.120 --> 26:25.700]  I was gonna say, can you
[26:25.700 --> 26:26.340]  recognize any of them?
[26:26.400 --> 26:27.120]  Are they even murderers?
[26:27.180 --> 26:28.260]  That's all I wanna be, is
[26:28.260 --> 26:28.860]  just someone in the
[26:28.860 --> 26:29.160]  background.
[26:29.320 --> 26:29.920]  You know, you're
[26:29.920 --> 26:32.340]  referring to the Mark
[26:32.340 --> 26:33.560]  Jackson card that has
[26:33.560 --> 26:35.160]  the Menendez brothers.
[26:35.420 --> 26:36.280]  There's a new one that
[26:36.280 --> 26:37.560]  has a bunch of people
[26:37.560 --> 26:37.840]  in it.
[26:37.920 --> 26:38.800]  I need to try to collect
[26:38.800 --> 26:38.900]  it.
[26:38.940 --> 26:39.520]  It's a John Morant
[26:39.520 --> 26:40.000]  rookie, though.
[26:40.180 --> 26:40.900]  Who's in the back?
[26:41.940 --> 26:43.260]  Todd Bridges, two
[26:43.260 --> 26:44.460]  different rappers, and
[26:44.460 --> 26:45.480]  then the parents from
[26:45.480 --> 26:46.140]  the blind side.
[26:47.200 --> 26:47.760]  Oh, shit.
[26:47.900 --> 26:48.540]  All sandwiched in the
[26:48.540 --> 26:48.940]  same card.
[26:49.060 --> 26:49.880]  We were talking to
[26:50.320 --> 26:51.280]  General Manager Jordan
[26:51.280 --> 26:52.400]  Levin about it, because
[26:52.400 --> 26:53.100]  he was like, oh, yeah,
[26:53.180 --> 26:53.760]  because he'll send us
[26:53.760 --> 26:54.340]  cards sometimes.
[26:54.480 --> 26:55.380]  Check this out, whatever.
[26:55.540 --> 26:56.200]  And Geoff will be like,
[26:56.300 --> 26:57.500]  this is the new one.
[26:57.540 --> 26:58.200]  He sent that.
[26:58.380 --> 26:58.860]  We were just like,
[26:58.920 --> 26:59.880]  what the fuck?
[27:00.600 --> 27:01.300]  Dude, we gotta remember
[27:01.300 --> 27:01.900]  to do this.
[27:01.980 --> 27:02.660]  This is still such a
[27:02.660 --> 27:02.760]  good idea.
[27:02.760 --> 27:03.600]  We're gonna do it soon.
[27:03.620 --> 27:04.280]  Now that we're done
[27:04.280 --> 27:04.960]  with the ultimate
[27:04.960 --> 27:06.260]  playlist of 98, we need
[27:06.260 --> 27:06.780]  to make the ultimate
[27:06.780 --> 27:08.720]  playlist of superstars
[27:08.720 --> 27:09.240]  cards.
[27:09.520 --> 27:09.940]  Yeah, the ultimate
[27:09.940 --> 27:10.680]  superstar playlist.
[27:11.500 --> 27:12.400]  We're gonna do that on
[27:12.400 --> 27:13.500]  the main, on the
[27:13.500 --> 27:14.100]  show.
[27:14.400 --> 27:15.020]  Yeah, I'm pretty
[27:15.020 --> 27:15.620]  excited about it.
[27:15.620 --> 27:16.080]  I think it's gonna be
[27:16.080 --> 27:16.480]  a lot of fun.
[27:16.640 --> 27:17.040]  Perfect gentleman.
[27:17.220 --> 27:17.800]  I gotta be honest.
[27:17.880 --> 27:18.500]  I don't know who
[27:18.500 --> 27:18.920]  they are.
[27:19.000 --> 27:19.620]  I have no memory of
[27:19.620 --> 27:19.720]  them.
[27:19.840 --> 27:20.260]  Let's see it.
[27:20.260 --> 27:20.700]  Let's learn a little
[27:20.700 --> 27:21.200]  bit about perfect
[27:21.200 --> 27:21.460]  gentlemen.
[27:21.560 --> 27:21.760]  Okay.
[27:21.940 --> 27:22.440]  Very rarity.
[27:23.740 --> 27:25.320]  Having, having groomed
[27:25.320 --> 27:25.880]  new addition.
[27:26.100 --> 27:27.040]  Shouldn't use that
[27:27.040 --> 27:27.240]  word.
[27:27.380 --> 27:27.720]  Bad word.
[27:27.860 --> 27:28.020]  Yeah.
[27:28.100 --> 27:28.480]  Perfect gentlemen.
[27:29.300 --> 27:30.000]  These perfect gentlemen
[27:30.000 --> 27:30.700]  are grooming new
[27:30.700 --> 27:31.080]  addition.
[27:31.360 --> 27:31.720]  Milady.
[27:33.120 --> 27:34.120]  I'm just reading
[27:34.120 --> 27:34.960]  what's on the card.
[27:36.320 --> 27:37.220]  Having groomed new
[27:37.220 --> 27:39.260]  addition, then new kids
[27:39.260 --> 27:39.800]  on the block.
[27:40.040 --> 27:40.340]  Stop!
[27:40.460 --> 27:41.180]  Super stardom during
[27:41.180 --> 27:41.840]  the 80s.
[27:42.300 --> 27:42.940]  Oh, it gets worse.
[27:43.360 --> 27:44.880]  Producer Marie Starr
[27:44.880 --> 27:46.720]  Sr. began in the current
[27:46.720 --> 27:47.820]  decade of launching yet
[27:47.820 --> 27:48.880]  another teen heartthrob
[27:48.880 --> 27:50.320]  vocal group from the
[27:50.320 --> 27:51.100]  Boston area.
[27:51.360 --> 27:51.660]  Perfect gentlemen.
[27:51.660 --> 27:52.120]  Young boys.
[27:52.900 --> 27:54.400]  Album rated PG.
[27:54.900 --> 27:55.080]  Oh.
[27:55.140 --> 27:55.580]  Oh, get it?
[27:55.740 --> 27:56.320]  Oh, boy.
[27:56.740 --> 27:57.060]  All right.
[27:57.280 --> 27:58.580]  That shit's, that's
[27:58.580 --> 27:58.980]  corny.
[27:59.400 --> 28:00.400]  That's like Paul George
[28:00.400 --> 28:01.100]  PG-13.
[28:01.240 --> 28:01.740]  That's so corny.
[28:01.780 --> 28:02.320]  B.B. King.
[28:02.460 --> 28:02.980]  That's cool.
[28:03.300 --> 28:03.680]  Legend indeed.
[28:04.000 --> 28:04.420]  That is a cool
[28:04.420 --> 28:04.940]  fucking card.
[28:05.040 --> 28:05.520]  That's a cool card.
[28:06.140 --> 28:06.580]  Yeah!
[28:08.880 --> 28:09.760]  He's got you in a
[28:09.760 --> 28:10.320]  stranglehold.
[28:10.980 --> 28:11.200]  What?
[28:11.700 --> 28:13.180]  It's like a, like a
[28:13.180 --> 28:14.520]  actual turd on a card.
[28:14.600 --> 28:15.720]  It's so cool that he
[28:15.720 --> 28:16.800]  could have just shut up
[28:16.800 --> 28:17.140]  forever.
[28:17.480 --> 28:19.040]  He could have just had
[28:19.040 --> 28:19.740]  stranglehold and
[28:19.740 --> 28:20.600]  cat scratch fever and
[28:20.600 --> 28:21.280]  that's all I needed you
[28:21.280 --> 28:21.480]  for.
[28:21.760 --> 28:22.340]  And now you're like,
[28:22.440 --> 28:23.480]  here's my opinion.
[28:23.740 --> 28:24.140]  But you gotta get
[28:24.140 --> 28:25.120]  involved in shit.
[28:25.700 --> 28:26.560]  Debbie Gibson.
[28:26.860 --> 28:28.680]  Her and Tiffany.
[28:28.900 --> 28:29.280]  They were the best.
[28:29.880 --> 28:31.200]  They were my, so they
[28:31.200 --> 28:31.820]  were my Brittany
[28:31.820 --> 28:32.200]  Christina.
[28:32.520 --> 28:33.340]  They were the mall
[28:33.340 --> 28:33.640]  singers.
[28:33.640 --> 28:34.440]  Yeah, which side
[28:34.440 --> 28:34.840]  were you on?
[28:35.160 --> 28:35.560]  Were you Debbie
[28:35.560 --> 28:36.400]  Gibson or were you
[28:36.400 --> 28:36.700]  Tiffany?
[28:37.260 --> 28:38.720]  Uh, I liked both.
[28:38.800 --> 28:39.160]  I didn't know what
[28:39.160 --> 28:39.580]  I had to pick.
[28:40.680 --> 28:41.440]  If I had to pick,
[28:41.500 --> 28:41.960]  I'd probably pick
[28:41.960 --> 28:42.260]  Tiffany.
[28:42.560 --> 28:43.040]  Yeah, me too.
[28:43.340 --> 28:44.640]  Uh, London Choir
[28:44.640 --> 28:45.020]  Boys.
[28:45.580 --> 28:45.940]  Oh.
[28:46.200 --> 28:46.560]  What?
[28:46.940 --> 28:47.620]  You know, I heard
[28:47.620 --> 28:48.240]  they used to...
[28:48.240 --> 28:49.440]  That is not how you
[28:49.440 --> 28:49.860]  spell that.
[28:49.960 --> 28:50.800]  I heard they used to
[28:51.420 --> 28:52.300]  castrate choir boys,
[28:52.380 --> 28:52.520]  right?
[28:52.640 --> 28:53.140]  I wonder if these
[28:53.140 --> 28:53.760]  dudes were castrated.
[28:54.260 --> 28:54.600]  Probably.
[28:55.420 --> 28:56.000]  George Michael.
[28:57.140 --> 28:57.740]  Famously not
[28:57.740 --> 28:58.160]  castrated.
[29:00.840 --> 29:01.820]  You like that?
[29:02.080 --> 29:02.980]  I think it's good.
[29:03.040 --> 29:03.700]  I think it could
[29:03.700 --> 29:04.660]  be used at some
[29:04.660 --> 29:04.940]  point.
[29:05.120 --> 29:05.560]  Yeah, okay.
[29:06.360 --> 29:07.200]  Uh, enough
[29:07.200 --> 29:07.640]  is enough.
[29:07.880 --> 29:09.080]  Dude, that sucks.
[29:09.200 --> 29:10.260]  I fucking hated
[29:10.260 --> 29:10.280]  them.
[29:10.280 --> 29:11.500]  Look at this man
[29:13.180 --> 29:14.540]  that saw poison and
[29:14.540 --> 29:15.260]  went, fuck, we could
[29:15.260 --> 29:15.780]  do that.
[29:16.400 --> 29:17.460]  I hated them
[29:17.460 --> 29:17.920]  when I was
[29:17.920 --> 29:18.040]  growing up.
[29:18.320 --> 29:19.200]  Vanilla ice.
[29:19.360 --> 29:20.040]  Oh, that's...
[29:20.040 --> 29:20.800]  I hate vanilla
[29:20.800 --> 29:21.220]  ice.
[29:21.260 --> 29:21.860]  I gotta add that
[29:21.860 --> 29:22.700]  to my food.
[29:23.060 --> 29:23.600]  I have a food.
[29:23.740 --> 29:23.940]  Yeah.
[29:24.060 --> 29:24.720]  Oh, we have another
[29:24.720 --> 29:25.260]  one in the chat.
[29:25.260 --> 29:26.880]  What is that?
[29:27.080 --> 29:27.260]  The who?
[29:27.460 --> 29:28.780]  That is a concert
[29:29.500 --> 29:30.600]  flyer for the who
[29:30.600 --> 29:31.560]  back when they did
[29:31.560 --> 29:32.400]  the Joshua Light
[29:32.400 --> 29:33.360]  show at the Fillmore
[29:33.360 --> 29:33.600]  East.
[29:34.200 --> 29:34.340]  Huh.
[29:35.420 --> 29:36.000]  Yeah, the Fillmore
[29:36.000 --> 29:36.220]  East.
[29:36.660 --> 29:37.700]  Oh, here's Big Daddy
[29:37.700 --> 29:38.180]  Kane.
[29:38.440 --> 29:38.840]  Alright.
[29:39.760 --> 29:40.480]  Dude, that's awesome.
[29:40.660 --> 29:41.040]  In the purple?
[29:41.300 --> 29:41.840]  So sick.
[29:42.180 --> 29:43.060]  Straight purple.
[29:43.600 --> 29:44.540]  Ten cents off
[29:44.540 --> 29:45.280]  your next purchase.
[29:45.400 --> 29:45.640]  Yeah!
[29:46.140 --> 29:46.920]  Oh, and then we
[29:46.920 --> 29:47.660]  find out if we won.
[29:47.920 --> 29:48.600]  Okay, here we go.
[29:48.980 --> 29:49.900]  One day we're gonna win.
[29:51.280 --> 29:51.780]  I don't know what
[29:51.780 --> 29:52.240]  we're gonna do if
[29:52.240 --> 29:52.920]  that happens.
[29:56.000 --> 29:56.820]  Sorry, I gotta
[29:56.820 --> 29:57.080]  try again.
[29:57.200 --> 29:57.460]  Damn it!
[29:58.240 --> 29:58.560]  Damn it!
[29:59.000 --> 29:59.800]  Alright, next time.
[30:01.280 --> 30:02.200]  It's bullshit.
[30:03.020 --> 30:03.440]  Fuck!
[30:03.640 --> 30:03.980]  Fuck!
[30:04.720 --> 30:06.020]  I wanna open up
[30:06.020 --> 30:06.640]  this next.
[30:06.860 --> 30:07.440]  This year's
[30:07.440 --> 30:08.580]  Pops Chrome 2022.
[30:08.780 --> 30:09.480]  These are hot cards.
[30:09.620 --> 30:10.200]  Everybody likes them.
[30:10.500 --> 30:11.160]  They're real purdy.
[30:11.460 --> 30:12.060]  What are you looking for?
[30:12.800 --> 30:13.620]  Uh, rookies.
[30:14.320 --> 30:14.720]  Yeah, okay.
[30:14.920 --> 30:15.360]  But like,
[30:15.440 --> 30:16.300]  specific players?
[30:16.320 --> 30:17.240]  Oh, uh,
[30:17.240 --> 30:17.940]  Corbin Carroll,
[30:18.160 --> 30:18.980]  Adley Richman.
[30:19.040 --> 30:19.300]  Yeah, any
[30:19.300 --> 30:20.220]  San Diego Padres,
[30:20.220 --> 30:21.220]  it's not Eric Osmer.
[30:21.720 --> 30:21.940]  Uh,
[30:22.080 --> 30:23.300]  J-Rod
[30:23.300 --> 30:24.200]  wouldn't be a rookie,
[30:24.400 --> 30:25.620]  but just anybody
[30:25.620 --> 30:26.460]  but Wander Franco
[30:26.460 --> 30:27.080]  right now.
[30:28.020 --> 30:28.420]  Who's doing
[30:29.480 --> 30:30.320]  We might have to
[30:30.320 --> 30:31.140]  commit that if it's a
[30:31.140 --> 30:31.860]  Wander Franco card,
[30:31.920 --> 30:32.480]  we throw it out.
[30:32.520 --> 30:33.360]  Yeah, we just set it
[30:33.360 --> 30:34.840]  We burn it live on stream.
[30:35.860 --> 30:36.740]  Who's doing well
[30:36.740 --> 30:37.460]  in baseball right now?
[30:37.480 --> 30:38.000]  Because isn't it like
[30:38.000 --> 30:38.920]  the kind of in-between?
[30:39.080 --> 30:39.760]  Oh, I can tell you.
[30:40.700 --> 30:41.420]  Padres are doing
[30:41.420 --> 30:41.760]  real well.
[30:42.380 --> 30:42.860]  Are they?
[30:43.160 --> 30:44.360]  I just made a bet.
[30:44.520 --> 30:45.900]  My buddy texted me
[30:45.900 --> 30:46.300]  and he's like,
[30:46.380 --> 30:47.080]  you ready to lose some
[30:47.080 --> 30:47.500]  money?
[30:48.320 --> 30:48.780]  He's like,
[30:48.840 --> 30:49.600]  you ready to lose some money?
[30:49.680 --> 30:49.920]  I'm like,
[30:49.980 --> 30:50.900]  I don't feel good about this,
[30:50.980 --> 30:52.160]  but I'll bet he's a Dodgers fan.
[30:52.200 --> 30:52.380]  I'm like,
[30:52.420 --> 30:53.000]  I'll bet you.
[30:53.140 --> 30:54.080]  I'll put 20 bucks down
[30:54.080 --> 30:54.440]  to like,
[30:54.500 --> 30:55.220]  just like win the series.
[30:55.220 --> 30:55.620]  But like,
[30:55.660 --> 30:56.160]  they're eliminated
[30:56.160 --> 30:57.260]  before the fucking angels are.
[30:57.660 --> 30:58.880]  I don't know if that says more
[30:58.880 --> 31:00.220]  about how the NL West was
[31:00.220 --> 31:01.440]  or how the AL West was
[31:01.440 --> 31:01.720]  because,
[31:02.420 --> 31:02.880]  fuck, man.
[31:03.720 --> 31:04.720]  They beat the shit out of
[31:04.720 --> 31:05.620]  the Astros the other day.
[31:05.660 --> 31:06.200]  That was awesome.
[31:06.880 --> 31:07.660]  So who's doing well
[31:07.660 --> 31:08.820]  in the baseball right now?
[31:08.980 --> 31:09.600]  In the baseball?
[31:09.740 --> 31:10.060]  Dodgers.
[31:10.320 --> 31:10.560]  Okay.
[31:10.720 --> 31:11.180]  Dodgers are doing
[31:11.180 --> 31:11.540]  real well.
[31:13.360 --> 31:13.760]  Astros.
[31:13.960 --> 31:14.100]  Yeah.
[31:14.180 --> 31:14.700]  Oh, yeah.
[31:15.980 --> 31:16.380]  Urias.
[31:16.780 --> 31:17.180]  It's a,
[31:17.280 --> 31:17.580]  oh my God,
[31:17.640 --> 31:18.560]  and Kevin Porter Jr.
[31:18.720 --> 31:19.040]  today.
[31:19.180 --> 31:19.600]  Did you hear about that?
[31:19.720 --> 31:21.060]  Oh, I did see that.
[31:21.160 --> 31:21.920]  I saw that before I got here.
[31:22.040 --> 31:22.140]  Yeah.
[31:23.320 --> 31:24.440]  More of the same.
[31:25.000 --> 31:25.800]  Houston Rocket,
[31:25.980 --> 31:26.520]  NBA player,
[31:26.580 --> 31:27.280]  got in trouble today.
[31:27.580 --> 31:29.100]  Urias getting knocked
[31:29.100 --> 31:30.240]  was a thing that
[31:30.240 --> 31:31.360]  I definitely saw coming.
[31:31.620 --> 31:32.100]  And then,
[31:32.260 --> 31:32.560]  um,
[31:32.900 --> 31:34.060]  so he's out forever.
[31:34.640 --> 31:35.040]  Uh,
[31:35.440 --> 31:36.520]  he'll probably...
[31:36.520 --> 31:37.180]  It's like the Dodgers
[31:37.180 --> 31:38.160]  lose a pitcher a year.
[31:38.280 --> 31:38.460]  Yeah,
[31:38.540 --> 31:39.360]  that's weird how
[31:39.360 --> 31:40.300]  that's the character
[31:40.300 --> 31:41.040]  of the team, huh?
[31:41.540 --> 31:41.980]  Nuts.
[31:42.500 --> 31:43.340]  You can't say that
[31:43.340 --> 31:43.920]  about Freddie Freeman.
[31:44.620 --> 31:45.040]  No.
[31:45.640 --> 31:46.380]  What you can't say
[31:46.380 --> 31:47.020]  about Freddie Freeman
[31:47.020 --> 31:47.760]  is that
[31:47.760 --> 31:48.560]  Freddie Freeman
[31:48.560 --> 31:49.300]  didn't want to play
[31:49.300 --> 31:50.140]  in Los Angeles.
[31:50.540 --> 31:50.860]  That was all
[31:50.860 --> 31:51.340]  a misunderstanding.
[31:52.680 --> 31:53.880]  He and Mookie Betts
[31:53.880 --> 31:54.320]  are best friends.
[31:54.460 --> 31:54.680]  Uh-huh.
[31:54.840 --> 31:55.640]  Manny Ramirez.
[31:55.860 --> 31:56.220]  Hey.
[31:57.160 --> 31:57.600]  Uh,
[31:57.600 --> 31:58.680]  here's Zach Lother.
[31:59.840 --> 32:00.840]  Glass's baseball guy
[32:00.840 --> 32:01.480]  is always weird.
[32:02.080 --> 32:02.520]  That's...
[32:02.520 --> 32:03.300]  You know?
[32:03.880 --> 32:04.740]  That's a...
[32:05.260 --> 32:05.740]  What's up?
[32:05.840 --> 32:06.720]  It's a picture, right?
[32:06.780 --> 32:07.780]  That's not a photo.
[32:07.780 --> 32:08.280]  That's art.
[32:08.620 --> 32:10.160]  It's like when you put...
[32:10.160 --> 32:10.340]  Like AI.
[32:10.860 --> 32:12.080]  It's like when you put
[32:12.080 --> 32:13.280]  a picture in Instagram
[32:13.280 --> 32:14.180]  and then, like,
[32:14.220 --> 32:14.840]  you auto,
[32:15.460 --> 32:16.180]  like, adjust,
[32:16.260 --> 32:16.900]  like, the look
[32:16.900 --> 32:17.460]  and you turn it
[32:17.460 --> 32:18.000]  all the way up.
[32:19.640 --> 32:20.440]  One of the coolest
[32:20.440 --> 32:21.200]  motherfuckers ever,
[32:21.300 --> 32:21.700]  Dave Stewart.
[32:21.860 --> 32:22.180]  Hell yeah.
[32:22.260 --> 32:22.620]  Awesome.
[32:22.800 --> 32:23.660]  What's cool about him?
[32:23.820 --> 32:24.900]  I mean, he looks cool.
[32:24.900 --> 32:25.620]  He was just a badass.
[32:25.880 --> 32:26.540]  He was a cool dude.
[32:26.600 --> 32:27.320]  He was a good pitcher.
[32:27.540 --> 32:28.320]  He was a solid dude.
[32:28.620 --> 32:29.180]  One of my favorite
[32:29.180 --> 32:30.400]  Las Vegas athletics, man.
[32:32.240 --> 32:33.320]  And then final card
[32:33.320 --> 32:33.800]  out of that pack
[32:33.800 --> 32:34.560]  is numbered
[32:35.700 --> 32:36.060]  840...
[32:36.060 --> 32:36.820]  I'm sorry.
[32:37.620 --> 32:38.020]  43...
[32:38.020 --> 32:38.860]  It's hard to read it.
[32:38.920 --> 32:39.580]  43 to 100.
[32:40.600 --> 32:41.000]  Boom!
[32:41.240 --> 32:41.700]  Ozzy Smith!
[32:41.760 --> 32:42.160]  Hey!
[32:42.620 --> 32:43.120]  The Lizard.
[32:43.320 --> 32:44.220]  One of the fucking
[32:44.220 --> 32:45.560]  coolest dudes ever.
[32:45.960 --> 32:46.340]  That might be
[32:46.340 --> 32:47.200]  a decent little pull.
[32:47.280 --> 32:48.680]  Sort of a pink ice refractor.
[32:48.740 --> 32:49.420]  That'll do well.
[32:49.540 --> 32:49.980]  Let's go ahead
[32:49.980 --> 32:50.480]  and sleeve that.
[32:50.700 --> 32:51.860]  That's under 50, right?
[32:52.020 --> 32:52.200]  Yeah.
[32:52.320 --> 32:53.580]  That'll be the best card
[32:53.580 --> 32:54.300]  we get out of this.
[32:54.520 --> 32:55.680]  43 out of 100.
[32:55.980 --> 32:56.260]  Wow.
[32:56.360 --> 32:56.700]  Pretty cool.
[32:56.860 --> 32:57.220]  Pretty cool.
[32:57.320 --> 32:57.740]  Pretty cool.
[32:58.000 --> 32:58.260]  Pretty cool.
[32:58.260 --> 32:59.060]  Pretty cool.
[32:59.280 --> 33:00.220]  As true as Padre.
[33:00.400 --> 33:00.620]  Just saying.
[33:00.880 --> 33:01.560]  Someone said something
[33:01.560 --> 33:02.580]  about Debbie Gibson
[33:02.580 --> 33:03.460]  on Stern's show.
[33:03.540 --> 33:04.960]  Was she on there a lot?
[33:05.340 --> 33:05.780]  I don't know.
[33:06.200 --> 33:06.800]  She's been on Stern.
[33:06.940 --> 33:07.860]  I feel like she was
[33:07.860 --> 33:08.580]  on it once
[33:08.580 --> 33:09.200]  and it was like
[33:09.200 --> 33:10.080]  infamous interview.
[33:10.360 --> 33:11.500]  Like where it was like
[33:11.500 --> 33:12.440]  they really hammered her
[33:12.440 --> 33:13.300]  and she walked out
[33:13.300 --> 33:13.700]  or something.
[33:13.980 --> 33:14.840]  There's a
[33:15.800 --> 33:16.600]  Wanda Franco
[33:16.600 --> 33:16.900]  rookie.
[33:16.920 --> 33:17.640]  Are you serious?
[33:18.300 --> 33:19.300]  Get him out of here.
[33:19.380 --> 33:20.160]  George Brett.
[33:20.440 --> 33:21.320]  Johnny Damon.
[33:21.580 --> 33:21.900]  I didn't know
[33:21.900 --> 33:22.200]  Johnny Damon
[33:22.200 --> 33:22.780]  played for KC.
[33:22.940 --> 33:23.600]  Me neither.
[33:23.740 --> 33:24.620]  Why is it not like
[33:24.620 --> 33:25.240]  Wanda Franco?
[33:25.320 --> 33:26.220]  We'll talk about it
[33:26.220 --> 33:26.700]  after the show.
[33:28.680 --> 33:29.480]  Craig Diekman.
[33:29.480 --> 33:30.240]  Very similar
[33:30.760 --> 33:31.680]  but worse reasons
[33:31.680 --> 33:32.240]  to why we don't like
[33:32.240 --> 33:32.680]  the other dudes.
[33:33.260 --> 33:33.940]  Oh, shit.
[33:34.040 --> 33:34.820]  JD Martinez.
[33:35.860 --> 33:36.200]  Refractor.
[33:36.280 --> 33:36.900]  That's nice.
[33:37.040 --> 33:37.620]  We'll sleeve that.
[33:38.360 --> 33:38.680]  And then I guess
[33:38.680 --> 33:39.600]  we'll sleeve this dude
[33:39.600 --> 33:40.180]  I've never heard of.
[33:40.520 --> 33:41.220]  I don't remember.
[33:41.300 --> 33:41.740]  When did he play
[33:41.740 --> 33:42.400]  on Kansas City?
[33:42.560 --> 33:43.360]  The end of his career
[33:43.360 --> 33:43.840]  or the beginning?
[33:44.040 --> 33:44.700]  I think it would have to be
[33:44.700 --> 33:45.560]  at the beginning, right?
[33:45.660 --> 33:46.320]  I guess so.
[33:46.520 --> 33:47.260]  Because he was an A
[33:47.260 --> 33:48.320]  wasn't he for a while?
[33:48.480 --> 33:49.240]  And then he was a
[33:49.240 --> 33:50.120]  Red Sox.
[33:50.740 --> 33:52.040]  He just went around.
[33:52.520 --> 33:54.180]  I mean he's a Red Sox.
[33:54.380 --> 33:55.520]  That's what you think
[33:55.520 --> 33:56.000]  of him as.
[33:56.260 --> 33:56.380]  Oh, yeah.
[33:59.440 --> 34:00.320]  Cattell Marte.
[34:00.320 --> 34:01.000]  Cattell Marte.
[34:01.320 --> 34:01.760]  Marte.
[34:01.920 --> 34:02.980]  He's like the guy there.
[34:03.200 --> 34:03.800]  Oh, Lubav.
[34:03.900 --> 34:04.460]  That's nice.
[34:04.640 --> 34:05.240]  That's a cool card.
[34:05.380 --> 34:05.720]  Not a leader.
[34:06.280 --> 34:08.040]  One of...
[34:09.040 --> 34:10.500]  That's a menacing photo.
[34:11.860 --> 34:13.020]  Yeah, he's not a leader though.
[34:13.040 --> 34:13.500]  Not a leader.
[34:13.680 --> 34:13.920]  No.
[34:14.280 --> 34:14.940]  Great player.
[34:15.060 --> 34:15.500]  Not a leader.
[34:15.800 --> 34:17.420]  White Sox are the
[34:18.300 --> 34:19.540]  most disappointing team
[34:19.540 --> 34:19.940]  in baseball.
[34:20.120 --> 34:20.780]  They're probably the most
[34:20.780 --> 34:21.460]  disappointing team
[34:21.460 --> 34:22.520]  of this decade.
[34:22.920 --> 34:23.260]  Why?
[34:23.740 --> 34:24.520]  Because they shouldn't
[34:24.520 --> 34:25.400]  be very good.
[34:25.420 --> 34:26.420]  And they fucking
[34:26.420 --> 34:27.400]  suck shit.
[34:28.080 --> 34:28.820]  Oh, no.
[34:28.980 --> 34:29.840]  They suck and they
[34:29.840 --> 34:30.180]  don't...
