[00:10.280 --> 00:11.010]  Geoff, go!
[32:16.130 --> 32:17.390]  Limblad, let me know if you know.
[32:17.490 --> 32:18.390]  Just slack it to me.
[32:18.550 --> 32:19.370]  Yeah, definitely stick around.
[32:19.450 --> 32:21.430]  I think this thing goes for a few more hours after this.
[32:21.430 --> 32:22.890]  Yeah, if you're watching this...
[32:22.890 --> 32:23.150]  Nick, ready?
[32:23.250 --> 32:23.910]  Are you ready with the beep?
[32:24.890 --> 32:25.450]  Yeah, yeah, yeah.
[32:26.090 --> 32:30.550]  Okay, if you're watching this on the...
[32:30.550 --> 32:35.810]  Face YouTube channel, hop on over to the Rooster Teeth YouTube channel or the Rooster Teeth site and you can keep watching.
[32:36.430 --> 32:42.190]  You know, I just want to make sure you guys keep watching because there's more great stuff going on until like 2 AM, which is crazy.
[32:42.190 --> 32:43.630]  Also, go to RTX.
[32:44.410 --> 32:49.250]  Yeah, like come see this museum. Like, I don't think people understand what a museum is really going to be.
[32:49.310 --> 32:52.810]  I like the fact that this museum is like a huge selling point.
[32:52.990 --> 32:54.310]  Well, yeah, because...
[32:54.310 --> 32:55.690]  See a bunch of old shit.
[32:56.170 --> 32:57.350]  You can see...
[32:57.350 --> 32:58.210]  You can see it.
[32:58.210 --> 32:58.930]  Isn't that every museum?
[32:59.530 --> 33:04.630]  We can't legally say what it is, but you know what it is and you can come see it.
[33:04.650 --> 33:06.290]  Did I... that guy's a beach goth.
[33:06.330 --> 33:07.350]  Can I tell you...
[33:07.350 --> 33:08.370]  Oh, he sure is.
[33:08.370 --> 33:19.050]  Can I tell you, Eric, you know, Wes has been asking us to take photos of the museum items next to rulers and stuff so that they can figure out the size of the displays and shit.
[33:19.290 --> 33:20.490]  Do I need to come over and help you?
[33:20.730 --> 33:24.930]  No, no, I did it today, but I don't have a ruler, so I had to use a banana for scale.
[33:25.370 --> 33:28.290]  So everything I took photos of is a banana scale.
[33:28.870 --> 33:29.670]  That's awesome.
[33:30.090 --> 33:30.990]  Who are these guys?
[33:31.210 --> 33:33.070]  He is going to fight the camera.
[33:33.270 --> 33:34.210]  That guy looks desperate.
[33:34.550 --> 33:36.590]  Is that guy falling in love with the camera?
[33:36.790 --> 33:38.210]  Oh, he's ossified.
[33:38.210 --> 33:39.930]  That dude was ripped.
[33:41.410 --> 33:42.290]  That's awesome.
[33:42.510 --> 33:45.950]  Hey, next up here is the AH Halo LAN party.
[33:46.150 --> 33:46.350]  Gaia Guy Scooter!
[33:46.350 --> 33:47.330]  Gaia Guy Scooter right there!
[33:47.430 --> 33:47.810]  Hell yeah!
[33:48.070 --> 33:48.670]  Gaia Guy Scooter!
[33:49.190 --> 33:49.630]  Awesome.
[33:51.110 --> 33:52.830]  Oh, now I just need Ghost Tour bus and I win.
[33:53.210 --> 33:54.070]  Oh, I guess...
[33:54.070 --> 33:54.830]  Well, I mean, I win.
[33:54.850 --> 33:55.750]  Just so you know.
[33:56.010 --> 34:00.510]  So just let me know when I have to use my card to order my own cookie puss.
[34:02.010 --> 34:04.490]  Dude, that's a dead parrot head, right? Like, for sure?
[34:04.870 --> 34:07.890]  That guy with his shirt open looks like he wants to brawl.
[34:07.890 --> 34:10.050]  He is ready to go.
[34:11.930 --> 34:12.470]  He's...
[34:12.470 --> 34:15.000]  He's in a world fucked up.
[34:16.610 --> 34:17.890]  This is crazy.
[34:18.690 --> 34:21.030]  Are they taking a screenshot through the stream selfie?
[34:21.290 --> 34:22.250]  Because that should be on there.
[34:22.270 --> 34:23.330]  I think they are.
[34:23.830 --> 34:24.710]  Is that guy Larry Bird?
[34:28.830 --> 34:30.550]  Yo, what's up? It's us.
[34:30.890 --> 34:31.010]  Cool.
[34:31.290 --> 34:32.940]  They have no idea that...
[34:33.530 --> 34:36.010]  Look, they're watching this on the Sloppy Joe's thing.
[34:36.010 --> 34:39.430]  There are like 3,500 people watching this.
[34:49.990 --> 34:51.530]  No way, that's just long hair.
[34:51.530 --> 34:52.970]  I don't know, I think he's just got long hair, man.
[34:52.990 --> 34:54.610]  But look at the sides, they're all nice and short.
[34:54.830 --> 34:55.850]  Take your hat off, dude.
[34:56.550 --> 34:57.370]  Yeah, take the hat off.
[35:00.830 --> 35:01.470]  This is...
[35:01.470 --> 35:02.570]  Geoff, this is a fuck...
[35:02.570 --> 35:04.090]  You were right about Sloppy Clark, dude.
[35:05.150 --> 35:07.150]  That guy's off to Valhalla.
[35:07.290 --> 35:09.230]  Dude, that guy went for pre-drinks somewhere.
[35:10.850 --> 35:13.250]  These guys have no idea that this is being recorded...
[35:13.770 --> 35:15.530]  and is going to be on our YouTube channel.
[35:17.970 --> 35:19.570]  You trying to sneak up on us, buddy?
[35:21.510 --> 35:21.930]  Oh, shit.
[35:23.410 --> 35:25.830]  Oh, that guy's got two drinks in one hand.
[35:25.850 --> 35:26.850]  Does that count as double fisting?
[35:27.010 --> 35:27.410]  No.
[35:28.890 --> 35:30.450]  Oh, put one drink in the hand.
[35:30.730 --> 35:31.830]  Yeah, that counts, right?
[35:31.830 --> 35:32.790]  How is that...
[35:32.790 --> 35:33.210]  No, why would that...
[35:33.210 --> 35:34.090]  No, that's single fisting.
[35:34.090 --> 35:35.350]  Geoff, you are so...
[35:35.350 --> 35:36.290]  Okay, I guess not.
[35:38.230 --> 35:39.110]  He's teasing me.
[35:39.550 --> 35:40.570]  Come on, come on.
[35:40.590 --> 35:42.010]  Just move it to the other hand.
[35:42.370 --> 35:43.270]  Yeah, just put...
[35:43.270 --> 35:44.850]  He's irresponsible having two in one.
[35:45.170 --> 35:46.130]  This is a mess.
[35:46.130 --> 35:46.470]  He's so close.
[35:46.850 --> 35:48.070]  Come on, you tease.
[35:51.070 --> 35:52.710]  I got double fisting, too.
[35:57.270 --> 35:59.010]  That would be a selfie, by the way.
[35:59.010 --> 36:00.750]  Oh, you can see his screen.
[36:01.970 --> 36:03.830]  That's his drunk friend.
[36:04.110 --> 36:05.130]  Oh, this is awesome.
[36:05.130 --> 36:05.930]  Oh, man, that's great.
[36:06.710 --> 36:09.370]  I would like to think that the old guy is not part of their group.
[36:09.570 --> 36:12.710]  And to rub it in Molly's double fisting.
[36:14.150 --> 36:16.230]  I think someone dropped something in the background.
[36:16.490 --> 36:17.010]  Did you see that?
[36:17.630 --> 36:17.850]  No.
[36:18.910 --> 36:21.230]  Oh, stop. Stop.
[36:23.710 --> 36:25.450]  I need a ruling on what...
[36:25.450 --> 36:26.990]  We don't have the ability to rewind, do we?
[36:27.130 --> 36:27.530]  Shit.
[36:28.110 --> 36:30.550]  I mean, we have the ability. I'm just not going to.
[36:30.550 --> 36:33.550]  Gavin, I saw it. Wink.
[36:35.090 --> 36:36.650]  If that person actually...
[36:36.650 --> 36:37.990]  That's a crotch grab. Look at that.
[36:38.350 --> 36:39.190]  Oh, God.
[36:39.190 --> 36:40.490]  That guy was going for it.
[36:42.870 --> 36:51.050]  If I can get somebody trying to get into the wrong car while on a go-kart and a wheelchair at the same time and eating a chili dog, I'll black out.
[36:52.410 --> 36:52.890]  Oh.
[36:53.010 --> 36:53.870]  If they're camera shy.
[36:54.130 --> 36:54.550]  In the game.
[36:55.470 --> 36:56.750]  These guys just pass out.
[36:57.150 --> 36:58.090]  Yeah, I'll just die.
[36:59.870 --> 37:03.050]  Man, all these guys distracted me from potentially someone dropping something.
[37:03.190 --> 37:04.670]  Yeah, they're so entertaining.
[37:05.430 --> 37:08.010]  Oh, that's a high five. That's one. There's a high five on the board.
[37:08.270 --> 37:08.950]  Oh, man.
[37:09.150 --> 37:10.200]  Uh, I don't have it.
[37:12.470 --> 37:17.450]  This, Geoff, I said it so many times the last time we played, this is so fucking fun.
[37:17.730 --> 37:18.370]  It is the best.
[37:18.370 --> 37:21.190]  I genuinely love this.
[37:21.770 --> 37:22.050]  Me too.
[37:22.390 --> 37:24.770]  I've been looking forward to this all week.
[37:25.270 --> 37:27.870]  I just hope we can keep doing it.
[37:27.870 --> 37:32.050]  I was like pacing around the house for the last 20 minutes waiting to start this.
[37:32.210 --> 37:34.330]  We have to keep doing it.
[37:34.370 --> 37:38.490]  It's just so much fun. I mean, I'm doing it. I'm doing it every Friday and Saturday night already.
[37:40.350 --> 37:43.790]  Also, hey, real quick. Happy birthday, Mike Pirtle.
[37:44.370 --> 37:46.110]  Happy birthday, Mike Pirtle.
[37:46.670 --> 37:47.110]  HB.
[37:48.990 --> 37:49.870]  That's awesome.
[37:50.090 --> 37:51.490]  Jeans and flip-flops again.
[37:51.650 --> 37:53.130]  Well, I don't care. Go to hell.
[37:53.390 --> 37:55.430]  Tonight's the night for jeans and flip-flops.
[37:55.690 --> 37:56.090]  Jesus Christ.
[37:56.090 --> 37:58.050]  I don't care about jeans and flip-flops anymore.
[37:58.810 --> 37:59.870]  I need someone to trip.
[38:00.970 --> 38:03.490]  I need a crosswalk coward, baby.
[38:04.970 --> 38:05.790]  Here's a chance.
[38:06.330 --> 38:06.450]  Nope.
[38:08.350 --> 38:10.590]  There's so much crosswalk confidence tonight.
[38:10.670 --> 38:12.350]  There is. It's big time.
[38:13.170 --> 38:15.190]  People are drunk enough to be pretty confident.
[38:15.230 --> 38:16.110]  Yeah, it's the drinks.
[38:16.290 --> 38:18.170]  Try to get in the wrong car, dude. Try to get in that car.
[38:18.290 --> 38:19.730]  I'll try. I fucking dare you.
[38:21.410 --> 38:22.510]  Do it. You won't.
[38:26.390 --> 38:26.910]  Fuck.
[38:30.610 --> 38:32.750]  That bug not even slowing down.
[38:33.650 --> 38:37.970]  Is this a stop? Is this traffic lights that we can't see?
[38:39.350 --> 38:40.370]  I don't know.
[38:40.390 --> 38:40.750]  Or a stop sign.
[38:41.410 --> 38:42.290]  I don't know.
[38:42.570 --> 38:44.030]  I assume so.
[38:46.390 --> 38:47.410]  I assume so.
[38:47.790 --> 38:50.550]  Oh, I thought she was shy, but she just wanted a better...
[38:50.550 --> 38:52.770]  Oh, she went and found someone to stand there with.
[38:53.070 --> 38:53.350]  Awesome.
[38:53.950 --> 38:55.210]  What if you were shy?
[38:55.810 --> 38:58.790]  What if instead you realized that you're too shy for camera
[38:58.790 --> 38:59.810]  and you fled right now?
[38:59.970 --> 39:02.630]  Yeah, what if you were too shy and then you tried to jump in that truck?
[39:02.850 --> 39:04.510]  And got separated at the crosswalk.
[39:04.750 --> 39:05.050]  Double hug.
[39:05.070 --> 39:06.030]  Look at all these hugs.
[39:06.150 --> 39:06.490]  Triple hug.
[39:06.690 --> 39:07.410]  Oh my God.
[39:07.430 --> 39:08.250]  That's a lot of hugs.
[39:08.290 --> 39:09.070]  It's a hug tree.
[39:10.630 --> 39:11.030]  Hugtacular.
[39:12.550 --> 39:13.370]  Hug a manjaro.
[39:14.190 --> 39:15.750]  That's definitely dance. Real dancing.
[39:16.030 --> 39:17.210]  Dude, hugpocalypse.
[39:20.170 --> 39:22.190]  I like that guy's checkered shirt.
[39:22.190 --> 39:23.350]  It's a nice shirt.
[39:23.410 --> 39:24.790]  It's a hugging frenzy.
[39:27.510 --> 39:29.970]  Those guys are definitely having a hug off back there.
[39:30.990 --> 39:33.270]  Oh, now they're having a dance off.
[39:33.610 --> 39:33.790]  Nice.
[39:34.050 --> 39:35.990]  Limbalad messaged me and he said they're having a great time.
[39:36.110 --> 39:37.570]  They're all watching this and just cracking up.
[39:38.710 --> 39:41.250]  If we got the crew, man, we're doing something right.
[39:42.810 --> 39:43.330]  This is good.
[39:44.450 --> 39:46.430]  Why won't anyone drop anything though?
[39:46.590 --> 39:47.430]  I know.
[39:48.470 --> 39:49.830]  Everyone's got glue fingers.
[39:51.270 --> 39:52.550]  It's true.
[39:53.230 --> 39:54.710]  They won't drop anything.
[39:54.990 --> 39:57.810]  They just keep like being confident in the crosswalk.
[39:57.930 --> 39:58.510]  I hate it.
[40:00.430 --> 40:04.310]  Maybe somebody could drop something and when they went to pick it up, they throw up.
[40:05.570 --> 40:06.690]  That's the dream.
[40:07.490 --> 40:08.830]  Yeah, that's the dream.
[40:10.930 --> 40:12.150]  Whoa, they're still smiling. Whoa.
[40:13.170 --> 40:14.070]  Oh my God.
[40:16.910 --> 40:18.430]  Here's what I don't get.
[40:18.650 --> 40:18.990]  Moves.
[40:20.090 --> 40:21.450]  It's 2023, right?
[40:21.790 --> 40:22.150]  Uh-huh.
[40:22.190 --> 40:23.890]  Oh, those are matching outfits up there.
[40:24.510 --> 40:27.890]  Every once in a while, old people will come by and be so tickled by the camera.
[40:28.190 --> 40:30.330]  You're right, Gavin. Those are matching outfits.
[40:30.450 --> 40:30.930]  Oh yeah, for sure.
[40:31.130 --> 40:31.710]  Yeah, those are matching outfits.
[40:31.730 --> 40:32.810]  They were all dressed the same.
[40:32.990 --> 40:33.950]  See ya. Bye, lady.
[40:34.650 --> 40:37.370]  Yeah, they're still like surprised by the camera and the novelty of it.
[40:37.450 --> 40:41.130]  Yeah, like I get when a Meemaw does it.
[40:41.550 --> 40:45.830]  But like when you're in your 20s to 30s, why are you surprised by a camera?
[40:46.130 --> 40:49.070]  They're everywhere all the time on you.
[40:49.070 --> 40:51.070]  And you live in social media.
[40:51.470 --> 40:54.270]  Like, I can't broadcast for 24 hours a day.
[40:54.710 --> 40:58.530]  There is a camera with a fucking podcast mic above it.
[40:58.670 --> 41:00.310]  Like it's such a rickety setup.
[41:02.150 --> 41:02.930]  God damn.
[41:03.150 --> 41:03.650]  It's the drinks.
[41:03.730 --> 41:08.410]  If you want to see what the mic looks like, go back through the f***face Instagram.
[41:08.870 --> 41:09.790]  I mean, you can just...
[41:09.790 --> 41:09.950]  I'm sorry, hold on.
[41:10.090 --> 41:11.330]  Nick, you got the beep ready?
[41:11.490 --> 41:11.890]  Hold on.
[41:12.250 --> 41:12.630]  I do.
[41:13.210 --> 41:13.930]  Give me a countdown.
[41:14.510 --> 41:15.850]  Oh, f***face Instagram.
[41:16.030 --> 41:16.590]  Yeah, you nailed it.
[41:16.890 --> 41:17.490]  There you go.
[41:19.650 --> 41:21.950]  We got a picture we found of the mic.
[41:22.090 --> 41:23.030]  It's pretty wild.
[41:23.230 --> 41:29.910]  It's just a cardioid XLR microphone that you would see on a stage with no windsock.
[41:30.450 --> 41:35.110]  That's just wrapped around a 2x4, basically.
[41:35.530 --> 41:36.130]  And hanging.
[41:37.110 --> 41:40.070]  That's why on a windy night, he goes...
[41:42.310 --> 41:46.410]  Oh, man.
[41:46.570 --> 41:47.890]  I hope the audience is into this.
[41:47.890 --> 41:51.890]  Leave a comment if you're watching this later and let us know when you got your bingo.
[41:52.930 --> 41:57.270]  Yeah, or at what point you turned off and then abandoned the entire stream.
[41:57.490 --> 41:58.770]  Yeah, let us know if you watched it.
[41:58.930 --> 41:59.710]  We're not coming back.
[41:59.850 --> 42:02.230]  Oh, they're just playing bingo.
[42:02.670 --> 42:04.210]  And you thought it was something else.
[42:04.490 --> 42:07.210]  I love it for the VOD, though, because everyone timecodes in the comments.
[42:07.630 --> 42:09.490]  And you can just skip to everything that happens.
[42:09.650 --> 42:09.970]  It's great.
[42:10.210 --> 42:11.550]  Yeah, timecode when you get your bingo.
[42:12.050 --> 42:13.230]  Yeah, that's good.
[42:13.370 --> 42:14.070]  That's a great idea.
[42:14.070 --> 42:17.570]  Did you guys know that in the first one of these we did, the VOD one that we released...
[42:17.570 --> 42:20.550]  Which, by the way, if you're in the audience and you think this is good, you should watch that one, too.
[42:21.430 --> 42:27.470]  Within the first, like, 30 seconds, a car drives up on the curb in front of all of us and nobody noticed it.
[42:28.770 --> 42:31.530]  The comments were all like, how the fuck are they not paying attention to this?
[42:31.630 --> 42:32.170]  Yeah, it was wild.
[42:32.550 --> 42:34.710]  Is off-road one of the options on the bingo?
[42:34.710 --> 42:37.850]  No, I've never seen it before. We didn't see it then, for Christ's sake.
[42:38.390 --> 42:41.330]  I think the first time we played, we were too overwhelmed.
[42:41.450 --> 42:43.610]  I was very overwhelmed getting going on this one.
[42:43.610 --> 42:46.570]  Yeah, I spent the first three minutes looking down, just trying to memorize everything.
[42:47.070 --> 42:48.610]  Whoa, no shirtless!
[42:49.390 --> 42:49.850]  Oh, shirtless, dude!
[42:50.670 --> 42:54.750]  I don't remember if I added shirtless to the list. It is, it is on. Shirtless is on, I think.
[42:55.370 --> 42:58.370]  We'll have to see if he's covered in bandages, because I feel like he will be.
[43:01.230 --> 43:02.550]  Throw your cigarette on the ground.
[43:03.690 --> 43:04.530]  Oh, they will.
[43:05.390 --> 43:05.670]  Do it.
[43:08.050 --> 43:09.650]  We gotta do this more often, man.
[43:10.510 --> 43:12.250]  Wait, what's that white thing on the street?
[43:13.870 --> 43:15.270]  That looks like trash.
[43:15.850 --> 43:16.790]  It's probably trash.
[43:17.010 --> 43:19.230]  Was that there the whole time? Did somebody drop something? I didn't see it.
[43:20.010 --> 43:22.570]  Are you sure that's not the lime from the guy's drink?
[43:22.690 --> 43:24.270]  It might be the lime from the guy's drink.
[43:24.290 --> 43:27.190]  Oh, the rest of his drink melted and evaporated.
[43:27.190 --> 43:28.290]  Yeah, because it was ice.
[43:30.190 --> 43:34.090]  How have we not seen the ghost tour bus come back? What the fuck?
[43:34.450 --> 43:36.250]  I know, it's Friday night, it's prime ghosting.
[43:36.490 --> 43:38.050]  Yeah, everything's spooky.
[43:38.510 --> 43:39.590]  Uh-oh, they ran into an issue.
[43:39.590 --> 43:42.930]  Yeah, they found ghosts.
[43:43.630 --> 43:51.030]  Okay, I still need wheelchair, go-kart, puking, separated at crosswalk, ghost tour bus, camera shy, and trying to get in...
[43:51.030 --> 43:53.230]  Oh, no, just trying to get into the wrong car.
[43:53.370 --> 43:56.230]  Which hasn't happened tonight, but is really common.
[43:56.570 --> 43:57.190]  That's very funny.
[43:57.570 --> 43:59.810]  Have we had any aggressive honking? I've not really been listening.
[43:59.970 --> 44:01.650]  Yeah, I don't think so.
[44:01.890 --> 44:05.370]  I feel like I've heard honking, but nothing that I would qualify as aggressive.
[44:05.690 --> 44:07.890]  I think it happened before we started.
[44:08.350 --> 44:15.370]  Yeah, I have a few that I feel like I'm close to. Barefoot, I feel like I'm ready to see.
[44:16.050 --> 44:18.070]  Definitely drop something, I'm with Gavin there.
[44:19.750 --> 44:22.790]  Tripping, bandage dude, I'm really excited to see bandage dude.
[44:24.010 --> 44:26.770]  But the rest are just the things that you're ready for, like crosswalk coward.
[44:27.390 --> 44:27.890]  What is it, Nick?
[44:28.650 --> 44:30.790]  Sorry, the light started flashing and I...
[44:30.790 --> 44:31.130]  Oh, okay.
[44:32.090 --> 44:32.790]  She's hoofing it.
[44:33.270 --> 44:34.670]  Yeah, she was definitely hoofing it.
[44:35.030 --> 44:36.770]  Oh, what is gonna get in or out of this car?
[44:36.770 --> 44:38.630]  Come on, come on, wrong one, wrong one.
[44:38.830 --> 44:40.030]  Wrong car, wrong one.
[44:40.050 --> 44:41.350]  Oh, no.
[44:43.490 --> 44:44.310]  Damn it.
[44:47.390 --> 44:48.270]  Damn it.
[44:52.510 --> 44:54.350]  Drive two feet and then let him out.
[44:54.950 --> 44:56.450]  It's not too late to realize the mistake.
[44:58.250 --> 44:59.710]  This is all wrong, get out.
[45:00.270 --> 45:01.690]  You're not bandage guy.
[45:05.110 --> 45:06.430]  He's at the other corner.
[45:07.690 --> 45:11.530]  Dude, look at that guy with his legs kicked back, drinking his water.
[45:11.970 --> 45:13.670]  That homie is chilling.
[45:14.930 --> 45:16.870]  That guy's living the dream.
[45:17.290 --> 45:18.990]  Oh, he just set something down.
[45:20.030 --> 45:21.970]  Did he just put his cigarette down on the ground?
[45:22.430 --> 45:24.070]  He's still smoking his cigarette.
[45:25.050 --> 45:25.410]  Is he?
[45:25.810 --> 45:27.670]  He just touched the ground.
[45:28.670 --> 45:30.670]  Maybe that's what they mean by touch grass.
[45:31.730 --> 45:32.510]  That's what they mean.
[45:32.610 --> 45:33.590]  Who's wearing lanyards?
[45:33.950 --> 45:34.790]  Oh, it's a convention.
[45:35.310 --> 45:36.190]  Definitely a convention.
[45:36.610 --> 45:37.130]  A tall group.
[45:40.270 --> 45:42.290]  I thought you said tall group.
[45:47.450 --> 45:52.750]  I think I said this last time, but it's still true.
[45:53.230 --> 45:58.490]  Everybody on here riding a bicycle, it doesn't look like the first time they've ridden a bicycle, but it does look like the second.
[46:04.000 --> 46:04.440]  Oh!
[46:05.620 --> 46:08.160]  That was the weirdest hoofing I've ever seen.
[46:08.520 --> 46:10.660]  That was an American flag shirt, but we already got it.
[46:11.320 --> 46:13.700]  He's also fucking hammered.
[46:13.840 --> 46:14.960]  Look at that drunk walk.
[46:16.120 --> 46:17.600]  He's got those zombie arms.
[46:18.380 --> 46:19.800]  Just fucking laying dead at his side.
[46:20.600 --> 46:22.920]  These guys in the back are having too much fun partying.
[46:23.220 --> 46:25.460]  That kind of partying can turn into a fight real fast.
[46:28.240 --> 46:30.500]  People are just going into Sloppy Joe's, man.
[46:32.560 --> 46:34.600]  Yeah, they're up until 4am, I think.
[46:35.080 --> 46:35.260]  Insane.
[46:35.860 --> 46:39.640]  I don't know if you ever do, but do you tune in at like 11.30am ever?
[46:40.120 --> 46:40.340]  Yeah.
[46:40.800 --> 46:47.660]  What I do is I leave it on in my living room when I go to bed, and then when I get up in the morning, I can just rewind.
[46:50.880 --> 46:52.000]  That's a new one.
[46:53.100 --> 46:53.800]  Fireman's carry.
[46:54.180 --> 46:54.840]  That's crazy.
[46:55.840 --> 46:56.720]  That's a first.
[46:59.780 --> 47:02.160]  Do you think Emily has a bingo?
[47:03.960 --> 47:04.960]  Let me ask her.
[47:05.120 --> 47:06.420]  She's playing in the bedroom.
[47:06.560 --> 47:07.320]  Of course.
[47:07.820 --> 47:08.900]  Do you have bingo?
[47:11.420 --> 47:13.100]  Is she carrying a dog?
[47:13.260 --> 47:13.960]  What is she carrying?
[47:14.600 --> 47:16.360]  That dog should not be out this late.
[47:16.560 --> 47:17.620]  Oh, no, it's a bag.
[47:17.780 --> 47:18.580]  It's her purse.
[47:19.600 --> 47:20.740]  She's cradling it.
[47:22.360 --> 47:24.620]  Alright, it looks like we have about 10 minutes left.
[47:24.980 --> 47:25.140]  Dang!
[47:25.860 --> 47:29.840]  I have... so everybody count up how many you have. I guess include the free space.
[47:29.940 --> 47:35.800]  1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17. 17.
[47:36.420 --> 47:37.820]  Alright, let's struggle this guy again.
[47:38.040 --> 47:38.600]  I've got 16.
[47:38.600 --> 47:38.960]  I have 16.
[47:39.960 --> 47:40.860]  She said yes.
[47:41.340 --> 47:41.680]  Damn!
[47:41.740 --> 47:41.940]  Okay.
[47:42.600 --> 47:43.920]  Doesn't matter, she doesn't get a cake. I do.
[47:43.980 --> 47:45.560]  She doesn't get a fucking cake, you are.
[47:45.640 --> 47:51.320]  Okay, so maybe you have the... it'll be like F1 where there's the driver's cup and then the constructor's cup.
[47:51.320 --> 47:55.680]  Maybe we have like the winner and then the blackout winner.
[47:55.700 --> 47:57.820]  Yeah, you have like a cupcake.
[47:58.480 --> 48:00.900]  Alright, and then I get... yeah, blackout winner gets a cupcake.
[48:04.080 --> 48:07.060]  I told you, it doesn't matter. Nick is back in.
[48:07.320 --> 48:07.740]  Nick has been reinvigorated.
[48:09.320 --> 48:10.980]  Suddenly there are steaks again.
[48:11.800 --> 48:12.280]  Ooh, steak.
[48:13.460 --> 48:14.020]  This is...
[48:14.020 --> 48:18.300]  We have 9 minutes left before we're gonna have to call it.
[48:18.300 --> 48:20.220]  A.H. Halo Land Party is up next.
[48:20.400 --> 48:22.000]  Oh, that's even better than this. Good for them.
[48:22.300 --> 48:26.340]  If you're watching this on the Face YouTube channel, then...
[48:26.340 --> 48:27.100]  No, it's fine.
[48:27.440 --> 48:30.400]  And it should... thank you, Face YouTube channel.
[48:30.480 --> 48:33.460]  It should kick you over to the Rooster Teeth YouTube channel, hopefully.
[48:34.720 --> 48:35.760]  Or... God, that guy is just bad.
[48:35.760 --> 48:37.200]  Dude, put a fucking shirt on.
[48:37.300 --> 48:38.280]  He's looking for it.
[48:39.200 --> 48:39.500]  Go to the Rooster Teeth.
[48:39.640 --> 48:40.620]  What are you doing?
[48:41.060 --> 48:41.620]  Oh, man.
[48:42.280 --> 48:46.120]  You can't go into any... every place in the world says no shoot, no shows, no service.
[48:46.120 --> 48:49.120]  That guy is just eliminating all opportunity for him.
[48:49.560 --> 48:49.580]  Yep.
[48:50.020 --> 48:50.860]  Those guys are hoofed it.
[48:52.000 --> 48:56.740]  And that maybe if you're one of those people who's like a Rooster Teeth fan, but maybe not a f*** Face fan yet,
[48:57.120 --> 49:01.480]  and you just... you just tuned in to like, what the... what is this about?
[49:01.900 --> 49:03.540]  Go listen to our podcast too, maybe.
[49:03.620 --> 49:08.960]  Yeah, if you thought any moment of this was funny at all, the podcast is way better than this.
[49:09.340 --> 49:09.880]  Yeah, I agree.
[49:10.660 --> 49:10.980]  Well...
[49:10.980 --> 49:11.380]  Do you think so?
[49:11.680 --> 49:12.680]  No, not really.
[49:13.720 --> 49:14.840]  Do you not?
[49:16.120 --> 49:16.640]  This is pretty fun.
[49:16.720 --> 49:18.300]  I have a question about the crosswalk coward.
[49:18.600 --> 49:21.200]  If they run for the car, is that cowardly?
[49:21.600 --> 49:23.160]  Does that make them a crosswalk coward?
[49:23.560 --> 49:24.600]  Nah, that makes them brazen.
[49:24.960 --> 49:25.280]  Yeah.
[49:26.520 --> 49:27.800]  They're a crosswalk lion.
[49:28.420 --> 49:28.660]  Yeah.
[49:29.120 --> 49:34.040]  No, like, I feel like crosswalk heroics is the old guy we saw just forcing cars back.
[49:34.840 --> 49:36.920]  The guy that was Gandalf-ing all the cars.
[49:36.960 --> 49:38.960]  Yeah, he says, you will not pass.
[49:41.240 --> 49:42.100]  That guy ruled.
[49:43.200 --> 49:48.440]  Let me see if there's any other housekeeping stuff that we have, so that way I can say that I did it all when they say, did you do it all?
[49:48.720 --> 49:49.380]  Who's they?
[49:49.900 --> 49:50.500]  Go to RTX.
[49:50.920 --> 49:51.200]  Larry.
[49:52.160 --> 49:54.200]  RTX, July 7th through 9th.
[49:55.100 --> 49:55.800]  Don't trip.
[49:56.100 --> 49:56.800]  Don't trip.
[49:56.900 --> 49:58.000]  You got it.
[49:58.060 --> 49:58.320]  Get shy.
[49:59.240 --> 49:59.520]  Get shy.
[49:59.760 --> 50:00.080]  Get shy.
[50:00.360 --> 50:06.400]  Use promo code SNOOZERLOOZE for 10% off badges or $100 off an ultra badge.
[50:06.860 --> 50:12.080]  Any weekend badges purchased during tonight's stream have a chance to be upgraded to a platinum badge for free.
[50:12.080 --> 50:12.960]  Whoa, that's crazy.
[50:13.060 --> 50:16.220]  Go to RTXAustin.com for information.
[50:16.580 --> 50:18.480]  Nipple touch! Nipple flicking!
[50:19.120 --> 50:21.000]  That's not... there's trash!
[50:21.280 --> 50:22.760]  We're just saying stuff we see, I guess.
[50:22.980 --> 50:23.660]  Bye, see ya.
[50:25.020 --> 50:27.180]  Well, I mean, the nipple flicking was pretty...
[50:27.180 --> 50:29.360]  Yeah, she flicked that dude's nipple.
[50:29.620 --> 50:32.280]  I can't believe I've seen a nipple flick before a wheelchair.
[50:33.240 --> 50:35.280]  Yeah, yeah, two dude scooters.
[50:35.820 --> 50:37.900]  If this guy sits in the bin, that's a wheelchair, though.
[50:43.740 --> 50:45.020]  Oh man, this is great.
[50:49.540 --> 50:51.820]  I wonder if I'm going to win a cupcake.
[50:52.120 --> 50:53.160]  It'd be pretty fucking nice.
[50:53.540 --> 50:54.820]  I mean, you got one more than me.
[50:55.160 --> 50:55.480]  And me.
[50:57.580 --> 50:59.140]  You have the most right now, I think, right?
[50:59.160 --> 50:59.640]  Do you have 17?
