[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[27:16.860 --> 27:17.140]  Maddie.
[27:17.360 --> 27:17.680]  Maddie.
[27:17.760 --> 27:18.240]  Maddie Palmer.
[27:18.920 --> 27:20.440]  Who was Laura Palmer with dark hair?
[27:21.900 --> 27:22.500]  Shelly Lee.
[27:22.800 --> 27:23.960]  David Lynch just really liked her.
[27:24.300 --> 27:29.620]  Well, Shelly Lee was, she became Laura Palmer and instantly everybody knew who she was and
[27:29.620 --> 27:30.240]  who the actress was.
[27:30.300 --> 27:32.020]  But she never said a fucking thing in the show.
[27:32.100 --> 27:32.760]  She was dead.
[27:33.360 --> 27:36.620]  And so then they brought her in as her cousin and they just gave her a wig.
[27:36.780 --> 27:38.420]  And she turned out, she wasn't great.
[27:38.880 --> 27:40.820]  And then they made a fucking movie around her.
[27:40.860 --> 27:41.440]  Yeah, then they did.
[27:41.720 --> 27:43.880]  Is this one like a fire walk with me kind of situation?
[27:43.880 --> 27:44.760]  That was fire walk with me.
[27:44.880 --> 27:45.900]  Yeah, it was a really sad movie.
[27:47.160 --> 27:48.620]  Hurting me, hurting me, Laura.
[27:48.820 --> 27:49.520]  It was a really sad scene.
[27:50.740 --> 27:52.260]  That's gotta be at One Eyed Jack's.
[27:52.300 --> 27:58.660]  That's at the Canadian whorehouse just over the river where a lot of the people from the
[27:58.660 --> 27:59.920]  town work, including high school kids.
[27:59.920 --> 28:03.800]  I didn't think that this show would turn into, let's explain some Twin Peaks to you.
[28:04.700 --> 28:05.940]  It's a great show.
[28:06.020 --> 28:06.920]  There's Ed and Nadine.
[28:07.420 --> 28:08.980]  She's got super strength in an eye patch.
[28:09.140 --> 28:10.840]  She's fucking insane.
[28:11.600 --> 28:16.780]  She invents a way to make silent drape runners using cotton balls and grease.
[28:16.780 --> 28:17.640]  They're really quiet.
[28:17.800 --> 28:18.520]  Very quiet.
[28:18.940 --> 28:19.460]  Very impressive.
[28:19.860 --> 28:21.040]  Oh look, there's Heather Graham.
[28:21.040 --> 28:21.280]  Heather Graham.
[28:21.600 --> 28:23.280]  And she's the love interest of Dale Cooper.
[28:23.400 --> 28:24.620]  How old is she here?
[28:25.480 --> 28:26.060]  She's 18.
[28:26.060 --> 28:28.260]  Her name is Lucy...
[28:28.260 --> 28:28.500]  Annie.
[28:28.500 --> 28:29.420]  Annie Blackburn.
[28:31.000 --> 28:32.780]  She was born in 1970?
[28:33.240 --> 28:34.120]  She gets fucking killed.
[28:34.180 --> 28:34.700]  That's sad.
[28:35.080 --> 28:35.760]  She's fucked up.
[28:35.880 --> 28:36.220]  I can't remember.
[28:36.280 --> 28:39.960]  She ends up stuck in the fucking Black Lodge with him.
[28:40.680 --> 28:44.420]  At the end of Twin Peaks, Cooper rams his head into the fucking thing and he's got blood
[28:44.420 --> 28:45.180]  everywhere and he's laughing.
[28:45.780 --> 28:47.240]  See you in 25 years.
[28:47.360 --> 28:47.640]  Yeah.
[28:47.760 --> 28:48.580]  See you in 25 years.
[28:48.860 --> 28:54.740]  And then there is Zooey Deschanel's mom and I believe her father too actually.
[28:54.820 --> 28:55.080]  What is he?
[28:55.140 --> 28:57.340]  Is he the doctor guy?
[28:57.340 --> 28:59.260]  He's the doctor and he's her husband.
[28:59.420 --> 29:01.020]  Oh, that's a foot to the penis.
[29:02.800 --> 29:04.200]  They're in the 113th minute.
[29:04.640 --> 29:05.900]  Did you see that Conor McGregor fight last night?
[29:05.980 --> 29:06.500]  Speaking of feet.
[29:06.620 --> 29:07.260]  Oh God.
[29:07.360 --> 29:08.080]  Did he break his leg?
[29:08.300 --> 29:08.720]  Billy Zane.
[29:08.940 --> 29:10.000]  It was pretty gruesome.
[29:10.480 --> 29:11.180]  How do you break your own leg?
[29:11.180 --> 29:12.800]  It's about Billy Zane, not the mummy.
[29:12.980 --> 29:13.600]  The Rocketeer?
[29:13.780 --> 29:14.300]  Billy Zane.
[29:14.960 --> 29:15.780]  Not in the mummy?
[29:16.560 --> 29:17.040]  Not in the mummy.
[29:17.220 --> 29:18.020]  Are you getting him confused?
[29:18.080 --> 29:18.460]  Thought he was.
[29:19.140 --> 29:19.860]  Donald Vosloo?
[29:20.540 --> 29:21.180]  Yes, I was.
[29:21.460 --> 29:22.660]  Wait, that's not Billy Zane?
[29:22.820 --> 29:23.060]  No.
[29:25.220 --> 29:25.580]  Serious?
[29:25.800 --> 29:26.960]  I thought that was Billy Zane.
[29:26.960 --> 29:28.060]  But did I?
[29:28.640 --> 29:28.960]  No.
[29:29.380 --> 29:29.800]  It's not.
[29:30.060 --> 29:31.220]  Billy Zane was in Titanic.
[29:31.320 --> 29:31.800]  Good fact.
[29:31.880 --> 29:32.480]  No, I know.
[29:32.660 --> 29:33.520]  He was the Rocketeer.
[29:33.640 --> 29:35.740]  Yeah, I also thought that he was in Scorpion King.
[29:35.840 --> 29:37.360]  Sometimes people are in two movies.
[29:37.440 --> 29:39.080]  Oh, I've never seen Scorpion King.
[29:39.160 --> 29:39.700]  Here we go.
[29:39.700 --> 29:40.440]  Oh, it's the Log Lady.
[29:40.540 --> 29:41.780]  The Log Lady.
[29:42.240 --> 29:44.220]  Now that's a cool card.
[29:44.320 --> 29:45.080]  There's the Major.
[29:45.320 --> 29:46.280]  Can't see it, but there you go.
[29:46.400 --> 29:48.080]  The Major and the Log Lady.
[29:48.440 --> 29:51.620]  What was awesome is that she was able to be in the new Twin Peaks.
[29:51.740 --> 29:52.760]  Right before she died, right?
[29:52.820 --> 29:52.980]  Barely.
[29:52.980 --> 29:54.500]  She was very sick and then she died.
[29:54.500 --> 29:54.760]  She was very sick.
[29:54.960 --> 29:55.680]  Margaret Lantern.
[29:55.680 --> 29:56.460]  She was amazing.
[29:57.300 --> 30:01.040]  Margaret Lantern and Garland Briggs were linked by their inexplicable disappearances from Twin Peaks.
[30:01.240 --> 30:06.840]  Recalling a flash of light, they both returned to strange marks of their bodies, yet no idea what happened.
[30:06.920 --> 30:10.340]  When Margaret saw Garland's marks, they both thought it best to see Agent Cooper.
[30:10.620 --> 30:13.200]  They felt they were connected by something, but neither knew what.
[30:13.320 --> 30:13.740]  What was it?
[30:13.900 --> 30:14.920]  It was the Black Lodge, man.
[30:15.420 --> 30:15.780]  Oh.
[30:17.500 --> 30:18.220]  I thought so, too.
[30:18.740 --> 30:19.560]  We'll open up one more.
[30:20.740 --> 30:21.560]  These are fun.
[30:21.920 --> 30:22.940]  Yeah, I like these.
[30:22.980 --> 30:23.400]  This is awesome.
[30:23.820 --> 30:24.940]  Two autographed cards inside.
[30:24.940 --> 30:25.820]  We've got to get to the other one.
[30:25.920 --> 30:26.620]  We'll get to the other one.
[30:26.840 --> 30:27.540]  Maybe we'll get it right.
[30:27.980 --> 30:29.560]  Oh, we've got a special Audrey Horne card.
[30:29.680 --> 30:29.780]  Okay.
[30:30.460 --> 30:31.080]  Alright, what have we got?
[30:31.180 --> 30:38.120]  Dale Cooper enjoying a damn fine cup of coffee and Audrey Horne, she was the other kind of love interest.
[30:38.240 --> 30:39.380]  She was like 18 or 19.
[30:39.440 --> 30:40.360]  She was in Friends.
[30:40.680 --> 30:40.860]  Jerry.
[30:42.380 --> 30:43.660]  Classic Friends character, Jerry.
[30:43.860 --> 30:45.720]  Jerry threw her wooden leg on the fire.
[30:46.160 --> 30:46.540]  That's true.
[30:47.080 --> 30:47.260]  Maybe.
[30:47.440 --> 30:47.620]  I don't know.
[30:47.720 --> 30:48.160]  I don't see that shit.
[30:49.120 --> 30:49.940]  I'll be there for you.
[30:49.940 --> 30:52.280]  He only had eyes for Annie.
[30:52.280 --> 30:55.220]  Oh, there's Jerry Horne and Ben Horne.
[30:55.460 --> 30:56.680]  Jerry Horne, they're brothers.
[30:56.840 --> 30:57.640]  He's the annoying one.
[30:57.800 --> 31:01.940]  He brings home, every time he comes to visit Ben, he brings him a sandwich from their favorite sandwich restaurant.
[31:01.940 --> 31:02.680]  He looks like a puppet.
[31:03.640 --> 31:03.800]  Yeah.
[31:03.960 --> 31:04.900]  He's on his knee.
[31:05.100 --> 31:07.420]  There's a Twin Peaks Audrey Horne.
[31:07.760 --> 31:10.040]  That's played by actress Sherilyn Finn.
[31:10.320 --> 31:12.140]  The guy who's Jerry Horne, was he the guy in the Warriors?
[31:12.860 --> 31:13.040]  Yeah.
[31:13.220 --> 31:13.400]  Okay.
[31:13.560 --> 31:14.320]  Yeah, that is him.
[31:14.380 --> 31:14.940]  I thought he looked familiar.
[31:15.060 --> 31:15.800]  Audrey Horne.
[31:16.100 --> 31:16.960]  Warriors come out to play.
[31:17.240 --> 31:17.360]  Yeah.
[31:17.860 --> 31:20.240]  Oh, and he's in Commando where he says...
[31:21.320 --> 31:23.000]  Remember when I said I'd kill you last?
[31:23.120 --> 31:23.640]  He said, yeah.
[31:23.700 --> 31:24.380]  And he said, I lied.
[31:24.880 --> 31:26.340]  And then he drops him off a cliff.
[31:26.660 --> 31:27.800]  It's so cool.
[31:27.940 --> 31:28.700]  There's Laura Palmer.
[31:29.540 --> 31:32.560]  There's Laura Palmer and old Agent Cooper in the Black Lodge.
[31:32.600 --> 31:37.380]  She's whispering, I believe she's telling him, that gum you like will come in style or some shit like that, right?
[31:37.640 --> 31:38.140]  Something like that.
[31:38.200 --> 31:39.100]  Ooh, backwards, isn't it?
[31:39.120 --> 31:39.800]  Or backwards, yeah.
[31:39.900 --> 31:40.740]  And then there's Hawk.
[31:41.080 --> 31:42.420]  He's the coolest character in Twin Peaks.
[31:42.600 --> 31:43.500]  You could tell by his hair.
[31:43.620 --> 31:45.560]  I would say of everyone, Hawk has aged the best.
[31:45.660 --> 31:46.260]  Yeah, for sure.
[31:46.660 --> 31:47.520]  Congratulations, Hawk.
[31:48.000 --> 31:48.580]  Silver Hawk now.
[31:48.580 --> 31:50.440]  He's a member of the book house boys.
[31:51.340 --> 31:51.700]  Silver Hawk?
[31:51.700 --> 31:52.320]  Is that what they're called, right?
[31:52.360 --> 31:52.920]  The book house boys?
[31:53.220 --> 31:54.940]  I need to watch this show again.
[31:55.160 --> 31:56.260]  I haven't seen it in so many years.
[31:56.400 --> 31:56.980]  We're gonna get this autographed.
[31:57.080 --> 31:57.680]  Man, we're really going.
[31:57.920 --> 31:58.220]  433.
[31:58.740 --> 32:00.320]  I have you a Blu-ray, by the way, still.
[32:00.540 --> 32:00.780]  Okay.
[32:00.920 --> 32:01.320]  If you want it back.
[32:01.900 --> 32:02.180]  Oh!
[32:02.320 --> 32:03.080]  I don't know what I would play it on.
[32:03.080 --> 32:04.680]  While you're opening that...
[32:04.680 --> 32:06.080]  You can go to this one.
[32:07.120 --> 32:07.720]  We got...
[32:07.720 --> 32:10.580]  Oh, there's Hank and Norma.
[32:11.340 --> 32:12.100]  I said Irma and Norma.
[32:12.340 --> 32:13.000]  Hank and Norma.
[32:13.340 --> 32:14.340]  She's pretending to be happy.
[32:14.380 --> 32:15.280]  She fucking hates him.
[32:16.240 --> 32:17.240]  Oh, look, there's...
[32:17.240 --> 32:17.760]  What's his name?
[32:18.960 --> 32:19.320]  Albert.
[32:19.660 --> 32:22.180]  He also barely made the new one.
[32:22.280 --> 32:22.760]  Yeah, Albert.
[32:22.960 --> 32:24.020]  He was in it and then immediately died, yeah.
[32:24.140 --> 32:24.620]  That's a shame.
[32:24.720 --> 32:25.080]  He's awesome.
[32:25.220 --> 32:26.660]  He was also in the beginning of Robocop.
[32:27.240 --> 32:28.040]  He's in a lot of stuff.
[32:28.320 --> 32:30.280]  He plays a dickhead really well.
[32:30.620 --> 32:31.420]  Yeah, he's a great...
[32:31.420 --> 32:33.580]  Oh, there's Leland and...
[32:34.540 --> 32:36.580]  What is Mrs. Palmer's name?
[32:36.740 --> 32:37.140]  I don't remember.
[32:37.220 --> 32:37.960]  But it says it on the back.
[32:38.880 --> 32:39.180]  Sarah.
[32:39.180 --> 32:39.580]  Sarah Palmer.
[32:39.600 --> 32:40.000]  Sarah Palmer.
[32:40.340 --> 32:41.260]  She is...
[32:41.260 --> 32:41.940]  She plays crazy.
[32:42.160 --> 32:44.540]  They both play crazy very well.
[32:45.200 --> 32:46.080]  Do you know who killed Laura Palmer?
[32:47.340 --> 32:48.040]  Arnold Palmer.
[32:48.040 --> 32:49.060]  The drink guy.
[32:49.340 --> 32:50.500]  It wasn't the drink guy.
[32:50.640 --> 32:51.320]  It was the drink.
[32:51.440 --> 32:52.280]  Oh, I knew it.
[32:52.460 --> 32:52.880]  Daniel Electrolytes.
[32:53.020 --> 32:59.120]  There's Hawk and Andy, the dumb deputy with a heart of gold.
[33:00.020 --> 33:00.980]  He was Andy Brennan.
[33:01.020 --> 33:02.120]  His name is Tommy Hawk?
[33:02.360 --> 33:03.120]  That's awesome.
[33:03.320 --> 33:04.160]  Hawk's name is Tommy?
[33:05.880 --> 33:07.160]  Yeah, Tommy Hawk Hill.
[33:07.580 --> 33:07.980]  Damn.
[33:08.320 --> 33:09.320]  I always thought Norma was...
[33:09.320 --> 33:11.060]  Hey, can we show this real quick from Daniel?
[33:11.600 --> 33:12.240]  Norma is pretty...
[33:12.240 --> 33:12.800]  This is Gavin's.
[33:13.400 --> 33:13.700]  Oh, yeah.
[33:13.880 --> 33:14.440]  You can give those out.
[33:15.140 --> 33:15.640]  Oh, thank you.
[33:15.820 --> 33:16.540]  Check this out.
[33:17.080 --> 33:18.100]  Made by Daniel.
[33:18.260 --> 33:19.140]  Six of six.
[33:19.240 --> 33:19.420]  Yep.
[33:19.640 --> 33:20.600]  So these are numbered.
[33:21.140 --> 33:24.480]  They are fuck-faced pencils with a bite taken out and...
[33:24.480 --> 33:25.160]  Take off the cap at the end.
[33:26.180 --> 33:27.060]  Actual pencil.
[33:27.460 --> 33:28.260]  Are you shitting me?
[33:28.400 --> 33:28.820]  Not...
[33:28.820 --> 33:29.620]  Dead serious.
[33:30.840 --> 33:31.700]  Actual pencil.
[33:32.300 --> 33:33.960]  Daniel made these for all of us on the show.
[33:33.960 --> 33:34.960]  I'm gonna sign checks with this.
[33:35.960 --> 33:37.180]  You can't sign checks with a pencil.
[33:37.180 --> 33:38.960]  You can't sign checks with a pencil.
[33:39.080 --> 33:41.000]  The eraser's an eraser too.
[33:41.560 --> 33:42.520]  Daniel made these.
[33:42.640 --> 33:43.900]  Andrew, there's one for you also.
[33:45.080 --> 33:48.620]  When we go to your house in Canada, we'll give you yours if we can find it.
[33:48.720 --> 33:51.040]  Do they just chuck your check if it's got pencil on it?
[33:51.900 --> 33:54.740]  I think they probably send it back and say void and then make you re-sign it.
[33:55.100 --> 33:56.440]  All right, here we go. Back to the cards.
[33:56.460 --> 33:57.040]  I'll give you a late fee.
[33:57.440 --> 33:57.900]  Thank you, Andy.
[33:58.040 --> 33:58.900]  There's Andy and...
[34:00.740 --> 34:01.360]  Bob Odenkirk.
[34:01.620 --> 34:02.340]  What is her name?
[34:02.460 --> 34:02.580]  Oh.
[34:03.560 --> 34:03.880]  Lucy.
[34:04.120 --> 34:04.440]  Lucy.
[34:04.680 --> 34:07.940]  Andy and Lucy, she's the receptionist at the police station and they are in love.
[34:08.240 --> 34:08.840]  And it's...
[34:08.840 --> 34:10.360]  And they are in love.
[34:10.360 --> 34:11.740]  And there's Bob and...
[34:11.740 --> 34:14.320]  Or there's Ed and Bobby.
[34:14.600 --> 34:15.620]  Or not Bobby, James.
[34:16.540 --> 34:17.760]  At the gas station.
[34:17.920 --> 34:19.060]  James is a dumbass motorcycle.
[34:19.940 --> 34:21.560]  There's the Jackson home.
[34:21.700 --> 34:22.580]  Oh, that's...
[34:23.260 --> 34:23.920]  I don't know why.
[34:24.620 --> 34:25.740]  Oh, that's where...
[34:26.180 --> 34:26.740]  That's where...
[34:26.740 --> 34:30.360]  That's where Machinomic and Leo live.
[34:30.420 --> 34:31.320]  Is that where they find Laura Palmer?
[34:32.800 --> 34:34.100]  That's not where they live.
[34:34.200 --> 34:35.000]  But that is a shithole.
[34:35.020 --> 34:36.920]  They live in a real shithole without walls a lot.
[34:37.200 --> 34:37.440]  Yeah.
[34:39.380 --> 34:40.340]  There's a...
[34:40.340 --> 34:41.820]  Before she turned into a doorknob.
[34:44.200 --> 34:48.580]  Oh, there's Ed with his fucking costume on because he wished to look...
[34:48.580 --> 34:51.360]  Pretend to be a high roller to break into the...
[34:51.360 --> 34:52.320]  The show...
[34:52.320 --> 34:56.200]  Do they also include any Firewalk With Me pictures?
[34:56.680 --> 34:57.500]  I haven't seen...
[34:57.500 --> 34:58.200]  We got some Bowie.
[34:58.380 --> 34:59.840]  I haven't seen any Firewalk With Me yet.
[34:59.860 --> 35:00.220]  Oh, that would be good.
[35:00.340 --> 35:01.600]  Oh, or some Kiefer Sutherland.
[35:01.880 --> 35:02.540]  That would be a Kiefer.
[35:03.920 --> 35:08.060]  Hey, don't forget that the fuckface button and the socks are on sale.
[35:08.180 --> 35:09.840]  You can use code FIRST20 and save 20%.
[35:09.840 --> 35:10.360]  Just saying.
[35:10.660 --> 35:11.160]  There's Bowie.
[35:11.720 --> 35:12.980]  After he gets fucked up...
[35:15.400 --> 35:16.180]  Sorry, Leo.
[35:16.400 --> 35:20.940]  After he gets fucked up, he's sort of like comatose, but he only says dumb stuff.
[35:21.360 --> 35:23.700]  Like, no shoes, no shoes, no shoes.
[35:24.280 --> 35:24.920]  You remember, right?
[35:24.940 --> 35:25.940]  Bit of a Hogwarts situation.
[35:28.160 --> 35:32.920]  And they make him wear a dumb birthday hat.
[35:33.000 --> 35:33.640]  Who's he with then?
[35:34.060 --> 35:35.400]  That's the lady who...
[35:35.400 --> 35:38.880]  That's the married lady who he has the tryst with in season two.
[35:38.880 --> 35:40.880]  And wastes all of our time.
[35:41.940 --> 35:43.880]  Oh, this is when Nadine, after she...
[35:44.400 --> 35:45.480]  How does she go crazy?
[35:45.560 --> 35:46.340]  Does she get hit in the head or something?
[35:47.040 --> 35:48.080]  She's already a lunatic.
[35:48.420 --> 35:50.780]  But this is when she thinks she's a high school student.
[35:50.960 --> 35:52.520]  She goes young, yeah.
[35:52.820 --> 35:54.840]  She thinks she's a cheerleader.
[35:55.260 --> 35:57.780]  And that's her hitting on Bowie's best friend.
[35:57.820 --> 35:59.000]  Looks like Chris Favre.
[35:59.460 --> 35:59.900]  Mike.
[36:00.040 --> 36:00.520]  Mike Nelson.
[36:01.040 --> 36:01.800]  He and...
[36:01.800 --> 36:02.340]  Mike Nelson?
[36:02.660 --> 36:06.880]  He and Bowie, they deal drugs in the school through footballs.
[36:07.760 --> 36:09.100]  And they hide them in the woods.
[36:09.260 --> 36:10.280]  Like what, Gavin's watching footballs?
[36:10.340 --> 36:11.400]  You're like, footballs, footballs.
[36:11.400 --> 36:12.760]  No, they're American footballs.
[36:12.920 --> 36:14.620]  Oh, there's...
[36:16.940 --> 36:18.020]  Bowie, they love each other.
[36:18.700 --> 36:19.740]  He's a dickhead, though.
[36:19.800 --> 36:20.020]  Shelley.
[36:20.400 --> 36:20.840]  Bobbie and Shelley.
[36:21.080 --> 36:22.660]  How much stoppage do they get?
[36:23.280 --> 36:23.820]  We'll do one more.
[36:23.980 --> 36:24.340]  Two minutes.
[36:24.900 --> 36:27.080]  They're in the first minute of the two minutes.
[36:27.360 --> 36:28.380]  Where are you getting your info?
[36:28.460 --> 36:28.920]  Where are you getting it from?
[36:29.260 --> 36:29.800]  The internet?
[36:30.480 --> 36:30.840]  Just...
[36:30.840 --> 36:31.140]  Google?
[36:31.860 --> 36:32.400]  Just Googling?
[36:32.680 --> 36:36.040]  Oh, this is when Josie Packard, before she's a doorknob...
[36:37.040 --> 36:40.920]  This dude comes back and he's like, I know about your past and you're in trouble or something.
[36:41.040 --> 36:42.280]  I'm gonna turn you into a doorknob.
[36:42.520 --> 36:46.680]  Yeah, and then there's Leo and... I don't remember who that is.
[36:47.540 --> 36:48.740]  I bet it's on the back of the card.
[36:49.640 --> 36:50.360]  Windham Earl.
[36:50.620 --> 36:51.740]  Oh, it's Windham Earl.
[36:52.320 --> 36:54.620]  Oh, you know who we haven't had? We haven't had...
[36:54.620 --> 36:55.060]  Jacoby.
[36:56.340 --> 36:57.040]  Oh, Jacoby.
[36:57.260 --> 36:59.620]  Windham Earl was an FBI agent who went rogue.
[37:00.040 --> 37:00.340]  Shit.
[37:00.700 --> 37:00.920]  Yeah.
[37:01.220 --> 37:02.080]  Oh, there you go, there's some...
[37:02.080 --> 37:02.420]  That looks like Matt Lucas.
[37:03.040 --> 37:04.040]  I think that is, dude.
[37:05.620 --> 37:06.020]  No.
[37:06.980 --> 37:07.620]  That's from...
[37:07.620 --> 37:07.880]  Chuck.
[37:08.580 --> 37:09.500]  That's from the movie.
[37:09.780 --> 37:11.020]  Or the TV show, the new...
[37:11.020 --> 37:13.120]  He looks like he's about to get hit by a cannon shell.
[37:13.260 --> 37:14.620]  Like, I don't know what his pose is.
[37:14.620 --> 37:15.620]  Like, what is he doing?
[37:15.860 --> 37:17.360]  Ask and you shall receive, Gavin.
[37:17.840 --> 37:18.700]  Oh, Jacoby!
[37:20.240 --> 37:22.680]  He's got his two different colored eyepatch... glasses on.
[37:22.720 --> 37:23.320]  That's cool.
[37:23.400 --> 37:24.460]  Outside painting...
[37:24.460 --> 37:25.080]  For 3D.
[37:25.480 --> 37:27.960]  What was all he did in the new one? He just painted shovels or something?
[37:28.100 --> 37:30.420]  Yeah, he spray painted a bunch of shovels.
[37:30.420 --> 37:31.240]  In a wide shot.
[37:31.500 --> 37:31.620]  Yeah.
[37:32.400 --> 37:34.820]  Alright, are you ready to open your 12 cards? It's 440.
[37:34.940 --> 37:35.580]  Yeah, let's get into it.
[37:35.580 --> 37:36.240]  Where's the autograph?
[37:36.540 --> 37:38.920]  We're gonna go in, we're gonna open BMX cards.
[37:39.420 --> 37:40.740]  What are these? I don't even know.
[37:41.220 --> 37:42.960]  Are these... is this one of your 12 packs that you were excited about?
[37:42.980 --> 37:44.500]  No, no, no. This is BMX freestyle racing.
[37:44.640 --> 37:45.740]  We got any rad dudes this week?
[37:47.300 --> 37:48.440]  Here we go. What do we got?
[37:48.700 --> 37:49.700]  We got, uh... oh.
[37:50.360 --> 37:51.400]  These aren't in great shape.
[37:52.820 --> 37:53.460]  These suck!
[37:53.960 --> 37:55.860]  Twin! We got a twin!
[37:56.560 --> 37:57.880]  These cards suck!
[37:58.040 --> 37:59.160]  Oh, fuck Team Murray!
[38:00.200 --> 38:00.620]  What are you guys doing?
[38:00.700 --> 38:01.300]  Team Murray.
[38:02.080 --> 38:04.180]  This is what I'm gonna be doing in that video that Gavin and I filmed.
[38:04.180 --> 38:05.560]  When are you guys gonna film that?
[38:05.700 --> 38:06.420]  Whenever it stops raining.
[38:06.600 --> 38:07.880]  Oh, look at the action shot.
[38:08.060 --> 38:10.800]  It's gonna be like 8 weeks from when we mention it on the podcast.
[38:10.960 --> 38:12.540]  At least, at least.
[38:12.640 --> 38:15.020]  Alright, let's open up some basketball.
[38:15.520 --> 38:15.780]  Let's do it.
[38:16.020 --> 38:18.340]  These are 2017.
[38:18.620 --> 38:20.620]  Let me tell you a funny story about these soccer cards first.
[38:21.400 --> 38:23.760]  I got excited because Austin got a professional soccer team.
[38:24.180 --> 38:24.420]  Uh-huh.
[38:24.680 --> 38:26.040]  So the Austin FC...
[38:26.040 --> 38:26.940]  Yeah, what year are those cards from?
[38:27.360 --> 38:28.480]  This is the new season.
[38:28.580 --> 38:30.800]  I wanna make sure I got the new season, 21 or whatever.
[38:31.660 --> 38:34.200]  And then I already opened a box at home.
[38:34.300 --> 38:35.800]  Found out that there's no...
[38:36.520 --> 38:36.560]  Yeah.
[38:36.700 --> 38:37.120]  No Austin.
[38:37.380 --> 38:38.740]  Yeah, I would imagine that there's not.
[38:38.860 --> 38:38.960]  Yeah.
[38:39.020 --> 38:41.000]  As it takes time for production.
[38:41.220 --> 38:43.660]  The one card that they have is they have a picture of the stadium.
[38:44.500 --> 38:44.860]  So...
[38:47.020 --> 38:47.820]  Picture of the stadium.
[38:47.900 --> 38:48.740]  So we'll get to that at some point.
[38:48.840 --> 38:50.440]  Those probably came out in March or April.
[38:50.780 --> 38:51.080]  Yeah.
[38:51.240 --> 38:51.400]  Yeah.
[38:51.480 --> 38:51.700]  Probably.
[38:52.260 --> 38:54.420]  Bought these guys online just for this.
[38:54.500 --> 38:57.480]  These are 27 2018 NBA cards.
[38:57.580 --> 38:58.560]  We're gonna be chasing...
[38:58.560 --> 38:59.100]  Who's on the cover?
[38:59.100 --> 38:59.780]  That's Lonzo Ball.
[38:59.780 --> 39:00.060]  Wow.
[39:00.220 --> 39:02.640]  I was gonna say, these are from 2017, 2018.
[39:02.880 --> 39:05.880]  We're gonna be chasing Jason Tatum rookies.
[39:06.320 --> 39:07.280]  Gavin, what's going on, buddy?
[39:07.540 --> 39:08.640]  No penalties, man.
[39:08.700 --> 39:09.420]  Is it coming home?
[39:09.900 --> 39:10.440]  Is it coming home?
[39:10.580 --> 39:11.840]  I can't watch penalties.
[39:12.300 --> 39:16.020]  That's a good thing that you don't have to because you're live on this show right now.
[39:18.000 --> 39:20.060]  We're doing the show, so you don't have to watch penalties.
[39:21.060 --> 39:21.780]  Oh, shit.
[39:23.640 --> 39:24.360]  And cards.
[39:24.620 --> 39:25.720]  Yeah, we could go to...
[39:25.720 --> 39:25.860]  Okay.
[39:27.320 --> 39:27.680]  Luke...
[39:28.040 --> 39:29.580]  I'll be honest, I don't know who that is.
[39:30.400 --> 39:32.640]  I know a lot about basketball, and I don't know who that guy is.
[39:32.700 --> 39:34.040]  You guys are all upside down.
[39:34.280 --> 39:36.720]  This is Danilo Gallinari.
[39:37.620 --> 39:39.240]  2017, not a great year for basketball, huh?
[39:39.900 --> 39:41.700]  MKG, Michael K. Gilchrist.
[39:42.240 --> 39:43.880]  I don't know who that is either.
[39:44.680 --> 39:45.780]  Oh, Derek Jones Jr.
[39:46.320 --> 39:47.300]  Zero gravity card.
[39:47.380 --> 39:48.220]  That's not worth anything.
[39:48.320 --> 39:48.960]  Kyle Korver.
[39:49.460 --> 39:50.080]  He's a cool dude.
[39:50.740 --> 39:51.860]  Lonzo Ball rookie.
[39:52.460 --> 39:52.820]  Wow.
[39:52.980 --> 39:53.340]  Wow.
[39:53.520 --> 39:54.100]  Does that work?
[39:54.200 --> 39:54.560]  Wow.
[39:54.820 --> 39:55.180]  Okay.
[39:55.860 --> 39:56.580]  Thanks for that one.
[39:57.120 --> 39:58.760]  That was briefly a very hot card.
[39:58.760 --> 39:59.680]  We'll move on to the next one.
[39:59.680 --> 40:01.200]  Yeah, in 2017-2018.
[40:01.980 --> 40:03.200]  Through most of 2017.
[40:04.620 --> 40:07.180]  I got to go to Lonzo Ball's very first basketball game.
[40:07.540 --> 40:08.140]  Wow, bummer.
[40:08.440 --> 40:12.580]  I know, it was Clippers-Lakers in LA, obviously, you know?
[40:13.020 --> 40:15.200]  And it was the opening game of the season that year.
[40:15.700 --> 40:18.800]  And Fareed from Rooster Teeth and I went, and...
[40:18.800 --> 40:19.300]  Clippers won?
[40:20.300 --> 40:22.980]  Fucking Patrick Beverley locked Lonzo Ball down.
[40:23.060 --> 40:23.160]  Yeah.
[40:23.400 --> 40:24.240]  It was brutal.
[40:24.420 --> 40:24.960]  He came out, and he was like...
[40:24.960 --> 40:26.660]  He shoved him to the ground, and he spit in his mouth.
[40:26.800 --> 40:28.340]  He said a lot of derogatory stuff.
[40:28.340 --> 40:30.400]  We'll move on to the next hour and a half to show you what the NBA is.
[40:30.420 --> 40:32.380]  Pat Beverles is an insane man.
[40:32.460 --> 40:32.740]  Yeah, he is.
[40:32.760 --> 40:33.300]  And I love that.
[40:33.360 --> 40:34.000]  And then he pushed him in the back.
[40:34.200 --> 40:34.320]  Yep.
