[00:04.920 --> 00:06.720]  Previously, on F*** Face.
[54:14.040 --> 54:22.100]  Whoa. The noises are different. Oh, this is gross, but it's not bad.
[54:22.540 --> 54:25.120]  OK, where would you rate it? A one.
[54:26.860 --> 54:34.080]  Nine, negative six and one. Mm hmm. This is this is gross, but it's not bad.
[54:35.260 --> 54:42.660]  Well, I would. The idea, once you mentally get past what you're doing, it's not it's not the
[54:42.660 --> 54:47.920]  worst. So just still pick a good one, then. OK, that's welcome. We're not good. Never mind.
[54:48.000 --> 54:56.040]  I retract everything I said. This is horrible. Oh. Is this the non-frozen one? No.
[54:57.260 --> 55:05.320]  Oh, that's the frozen one. So you have one and three left are your final final two.
[55:06.780 --> 55:11.720]  OK, Gavin, why don't you take a guess? One. OK.
[55:11.720 --> 55:18.740]  I I fucking hate you so much. I hate you.
[55:20.540 --> 55:27.460]  This is the one that isn't that isn't frozen. So this has to be this has to be salad cream.
[55:27.640 --> 55:34.800]  Maybe it's like the oil content. OK, pulling one. Oh, it's so gross.
[55:37.240 --> 55:40.160]  It's so gross. Two for two, baby.
[55:40.980 --> 55:47.840]  Thank you, Gavin. You're a good man. Oh, OK, I'm going to I'm going to take a photo of.
[55:49.800 --> 55:52.060]  On the bright side, it'll get that batter out of your mouth.
[55:52.740 --> 55:55.700]  Oh, I don't know if that's a positive. I think I'd rather have the batter.
[55:58.540 --> 56:04.560]  It looks like tapioca pudding. Oh, that's so bad. It's so translucent at the edges.
[56:04.560 --> 56:10.660]  Oh, it's horrendous. That's the salad. It's hideous. Oh, when were these frozen?
[56:11.240 --> 56:18.600]  Uh, yesterday. So this has been frozen all night. And it looks like that all night. Oh, God.
[56:20.080 --> 56:26.440]  OK, well, I guess I'm just going to have some salad cream. Oh, God. Without your salad.
[56:33.640 --> 56:39.140]  Yeah. I got to go. Oh.
[56:45.180 --> 56:48.360]  Should we end the process with him retching in the back?
[56:50.820 --> 56:53.220]  No, I don't think anyone's ever eaten those things in that order.
[56:53.940 --> 56:59.320]  Oh, no, that's a world first, right? Andrew Panton is the first person in the
[56:59.320 --> 57:05.080]  history of the planet Earth to eat those ingredients in that state, in that order.
[57:05.540 --> 57:09.480]  Congratulations. That deserves to be in the Guinness Book of Gross-Ass Records.
[57:09.880 --> 57:11.020]  That's the punch and gourd look.
[57:12.280 --> 57:18.780]  Oh, thank you for listening to another episode of the F*** Face Podcast. Hopefully, as we outro,
[57:19.020 --> 57:22.980]  you can continue to hear the dulcet sounds of Andrew retching all over his bedroom.
[57:24.180 --> 57:28.100]  If you want to go ahead and leave us a review
[57:28.100 --> 57:33.960]  or a rating, believe it or not, that shit matters and it helps. And as I found out in the UK,
[57:34.460 --> 57:39.160]  you know, there's like seven, a little over seven billion people on Earth, Gavin.
[57:40.800 --> 57:45.380]  Most of them don't listen to F*** Face. So if you have access to those seven billion people,
[57:45.700 --> 57:51.720]  give them a gentle nudge. Let them know. We got salad cream, frozen bomb pops. We got
[57:51.720 --> 57:58.160]  bovril, hot and cold. We got we got apples. We got baseballs. We got whatever you want.
[57:59.280 --> 58:04.540]  We make content out of it. And yeah, Andrew, why don't you go ahead and play us out?
[58:07.340 --> 58:11.560]  Hey, guys, Minor League Fan Jack here with a look at next week's episode of F*** Face.
[58:11.940 --> 58:16.540]  We still don't know who the previously on guy is. Let's talk about being John Malkovich.
[58:16.540 --> 58:21.540]  This podcast needs more shirts. Pantin goes on a rant about people dying in movies.
[58:22.060 --> 58:25.560]  Will we find out the fate of Geoff's Cosmic Crisp? And once again,
[58:25.680 --> 58:30.300]  Andrew does not eat the pencil. All that and more on next week's episode of F*** Face.
