[00:00.000 --> 00:00.440]  You ready to go?
[41:22.000 --> 41:24.120]  the audience's perception of Gracie.
[41:24.320 --> 41:28.560]  And I wonder if Geoff learning that has changed his
[41:28.560 --> 41:31.240]  his confidence in letting her know that secret.
[41:31.600 --> 41:32.760]  Do I know this thing?
[41:33.440 --> 41:33.960]  Yes, you do.
[41:34.320 --> 41:36.800]  It was... It blew us all away.
[41:36.960 --> 41:38.700]  Oh, yeah. It was shocking.
[41:38.900 --> 41:41.060]  It was a shocking confession by Gracie.
[41:46.470 --> 41:47.970]  When are we continuing that?
[41:49.750 --> 41:52.970]  Did you see the slack about it?
[41:53.930 --> 41:54.910]  I asked.
[41:55.630 --> 41:56.810]  I asked that question.
[41:56.930 --> 41:57.910]  Are you around Wednesday?
[41:59.350 --> 41:59.470]  Yeah.
[42:00.050 --> 42:01.550]  OK, let's do Wednesday then.
[42:01.630 --> 42:02.350]  We'll film the next round.
[42:03.810 --> 42:05.710]  If Gavin is free Wednesday.
[42:07.990 --> 42:09.050]  Free every day.
[42:11.710 --> 42:14.450]  You have been amazing with their availability.
[42:14.730 --> 42:15.530]  And it's very appreciated.
[42:15.530 --> 42:16.750]  I don't know when you go.
[42:16.890 --> 42:18.270]  I know you have something coming up at some point.
[42:18.810 --> 42:20.770]  Yeah, pretty much outside of travel.
[42:21.250 --> 42:23.090]  Pretty soon we'll be popping into those.
[42:23.310 --> 42:26.350]  You've been the most consistent person showing up to our Let's Play slot,
[42:26.470 --> 42:28.470]  which has been a lot of fun and very appreciated.
[42:28.610 --> 42:31.190]  I like that we we built in a Let's Play slot.
[42:31.390 --> 42:35.650]  And I think Geoff's been gone for almost every single one except for one.
[42:36.810 --> 42:39.750]  And then you you suggested maybe we change it.
[42:39.790 --> 42:42.390]  And everyone said, this is the best day for me.
[42:43.190 --> 42:44.190]  Yeah, I was like,
[42:44.190 --> 42:47.790]  it's our standing slot in the wrong on the wrong day.
[42:48.150 --> 42:49.030]  And I was like, no, it's great.
[42:53.290 --> 42:54.570]  He's going to be out on Thursday.
[42:54.710 --> 42:58.050]  I don't know if you have plans on Thursday, but Geoff will not be there.
[42:58.670 --> 43:02.490]  Oh, does that mean he's missing the recording to the episode?
[43:02.790 --> 43:05.590]  Oh, no, but it's green.
[43:05.790 --> 43:07.630]  No, I think he'll be done by then.
[43:07.650 --> 43:07.870]  All right.
[43:09.910 --> 43:10.550]  I assume.
[43:10.690 --> 43:12.590]  All right. Now, surely time for nugs.
[43:13.330 --> 43:14.670]  Has to be time for nugs.
[43:14.670 --> 43:15.390]  Just 18 minutes.
[43:15.650 --> 43:16.870]  Nope. Oh, my God.
[43:22.070 --> 43:24.290]  If Geoff. Aids.
[43:31.110 --> 43:33.410]  If you just choose the second half,
[43:34.290 --> 43:35.950]  that would have made less sense.
[43:37.070 --> 43:39.850]  Why would anyone just tune into the second half of this?
[43:40.070 --> 43:40.470]  I don't know.
[43:41.030 --> 43:42.570]  This isn't a radio program.
[43:42.750 --> 43:44.450]  There's no. It's true.
[43:44.670 --> 43:48.130]  There's no just like, but you never know how people watch the VODs.
[43:48.630 --> 43:49.250]  That's fair.
[43:52.470 --> 43:53.910]  Um, fuck, what was I?
[43:54.390 --> 43:56.530]  Was you threw me so hard with your aids?
[43:56.630 --> 43:59.830]  Yell. Oh, man.
[43:59.990 --> 44:01.250]  OK, this is what I was going to say.
[44:01.290 --> 44:04.670]  If Geoff doesn't get to the nugget buddies in this thing,
[44:05.250 --> 44:09.410]  we're coming back and I'm constructing an anti Geoff episode.
[44:10.370 --> 44:11.650]  This is we're Bill.
[44:11.770 --> 44:14.050]  I'm building a YouTube playlist for you and I to go through.
[44:14.510 --> 44:15.610]  I'm getting my revenge.
[44:15.870 --> 44:19.750]  Do you think if you wanted to, we could keep Geoff
[44:21.430 --> 44:23.350]  on a discord call for an hour?
[44:25.130 --> 44:27.070]  Basically, this like, hey, let's record a thing.
[44:27.190 --> 44:28.010]  And then you get here.
[44:28.630 --> 44:30.630]  Everyone's in. And then you're like, oh, hold on.
[44:30.650 --> 44:31.170]  I just need to.
[44:31.670 --> 44:32.550]  My thing needs an update.
[44:32.810 --> 44:35.590]  And then you just keep lying and lying and lying until he's been here for an hour.
[44:36.370 --> 44:43.110]  Excited to be here, as they say.
[44:43.850 --> 44:45.990]  I just saw that Gracie slacked me.
[44:47.030 --> 44:52.030]  Gracie slacked me the description of what this upload will be,
[44:52.130 --> 44:54.510]  making sure I'm OK with it for the nugget buddies.
[44:55.210 --> 44:58.450]  That's almost more insulting on the team so far.
[44:58.550 --> 45:00.050]  Wait, so she what did she ask you?
[45:00.530 --> 45:05.690]  She slacked me what the episode description will be for this upload of this
[45:05.690 --> 45:08.850]  break show and it be centered around the nugget buddies,
[45:10.690 --> 45:12.010]  making sure I'm good with it.
[45:14.470 --> 45:18.470]  16 minutes for 15 nugget buddies.
[45:18.950 --> 45:22.270]  He's going to do it with, I think, two minutes 30 to go.
[45:22.890 --> 45:26.230]  He plays for the Cleveland Cavaliers now, and it's not working out,
[45:26.310 --> 45:27.170]  even though he's very good.
[45:27.750 --> 45:30.510]  The him and him and Darius Garland, they're just not playing well together.
[45:30.790 --> 45:32.690]  And Darius is a couple of years younger and cheaper.
[45:32.810 --> 45:34.750]  And so I think that they're going to move Donovan Mitchell
[45:36.330 --> 45:37.710]  Why did I do this, Kevin?
[45:38.390 --> 45:39.710]  OK, now let me rephrase that.
[45:39.990 --> 45:42.110]  Why did I tell Geoff I was going to do this?
[45:42.290 --> 45:43.630]  Yeah, that was your first mistake.
[45:44.050 --> 45:45.070]  That was the problem.
[45:46.450 --> 45:50.130]  That was an absolute catastrophic failure on your part.
[45:51.230 --> 45:54.150]  What is do you have any of those that come to mind immediately of like
[45:54.150 --> 45:57.270]  you told Geoff a thing and immediately went, oh, that was a mistake.
[45:58.310 --> 45:59.650]  That was not.
[46:00.950 --> 46:01.350]  Hmm.
[46:03.970 --> 46:08.770]  I'm surprised that he has not used the sound effect button more
[46:08.770 --> 46:11.130]  since we showed him that is the thing.
[46:11.530 --> 46:13.370]  I thought I would assume he's already forgotten.
[46:13.490 --> 46:14.310]  AJ Perzynski.
[46:15.110 --> 46:16.370]  Well, you're not getting punched.
[46:17.450 --> 46:19.190]  Is that the Nobel hat?
[46:19.410 --> 46:20.930]  No, it's just the the backwards one.
[46:21.330 --> 46:22.010]  AJ Perzynski.
[46:22.170 --> 46:24.210]  Andrew messaged me at four thirty six.
[46:24.290 --> 46:25.250]  Get to the nugget, buddy.
[46:26.590 --> 46:27.930]  That, Andrew.
[46:29.290 --> 46:32.510]  That's not how this show works.
[46:32.510 --> 46:34.770]  Oh, Eric's in his cocky face.
[46:35.570 --> 46:37.010]  Yeah, he's doing his cocky face.
[46:37.090 --> 46:38.210]  Eric's feels powerful.
[46:38.330 --> 46:39.210]  He's in the sea of power.
[46:50.860 --> 46:52.260]  Yeah. Oh, yeah.
[46:52.360 --> 46:52.820]  The crew top.
[46:53.820 --> 46:54.920]  Oh, the buddies.
[46:55.160 --> 46:56.820]  What a fucking day we had on Friday.
[46:56.920 --> 46:59.180]  We can't fucking spoil anything on Friday.
[46:59.320 --> 47:00.680]  But we did. We filmed four.
[47:00.700 --> 47:01.160]  This is it.
[47:01.540 --> 47:03.040]  I've been waiting 46.
[47:03.320 --> 47:05.020]  Gavin, I've been waiting weeks for this.
[47:06.360 --> 47:07.080]  Literal weeks.
[47:07.860 --> 47:09.540]  It was wild.
[47:10.540 --> 47:11.340]  It's so good.
[47:11.500 --> 47:11.920]  We made sandwiches.
[47:11.920 --> 47:12.440]  Here it is.
[47:12.560 --> 47:12.800]  Yep.
[47:13.420 --> 47:16.780]  After they've done talking about Friday, the melon, we made pies.
[47:16.940 --> 47:17.480]  We made pies.
[47:17.780 --> 47:18.400]  Yeah, we made pies.
[47:18.800 --> 47:19.920]  All right. Are we ready to get into this?
[47:20.200 --> 47:20.560]  Yes.
[47:21.180 --> 47:24.380]  Why would you put it all there when you that's where the camera goes?
[47:25.200 --> 47:26.060]  Just to show off.
[47:26.140 --> 47:26.480]  I mean, either.
[47:27.080 --> 47:28.420]  OK, so I need Darla.
[47:28.500 --> 47:30.320]  I need Kerwin between us.
[47:30.380 --> 47:31.340]  Yeah. And you collect them all.
[47:31.380 --> 47:32.380]  We're looking for
[47:32.840 --> 47:35.400]  that. Now, Andrew already has Wafu, too.
[47:35.660 --> 47:36.500]  He has Rick.
[47:37.040 --> 47:38.160]  He has Gavin.
[47:38.300 --> 47:39.240]  I don't like the look of that.
[47:39.600 --> 47:41.160]  And he has how it's open.
[47:41.400 --> 47:42.460]  That's open for Darla.
[47:42.520 --> 47:45.320]  Yeah, I think I actually maybe it's possible.
[47:45.460 --> 47:46.780]  I accidentally sent one that was open.
[47:47.220 --> 47:50.060]  Yeah. So we're just going to try to build a pool.
[47:50.120 --> 47:51.380]  So you sent all these.
[47:51.500 --> 47:53.200]  I sent all of them.
[47:53.680 --> 47:57.850]  Or what do you want to do?
[47:57.990 --> 47:58.530]  What do you mean?
[47:58.890 --> 48:00.450]  Oh, first of all, we have.
[48:01.150 --> 48:01.870]  What do you mean?
[48:01.930 --> 48:02.790]  Am I watching?
[48:04.190 --> 48:05.530]  Was Eric not there?
[48:05.610 --> 48:07.270]  Did he leave before this is a stab?
[48:07.330 --> 48:08.130]  He was there, right?
[48:08.630 --> 48:09.350]  I don't remember.
[48:09.930 --> 48:11.070]  I don't remember either.
[48:11.230 --> 48:12.530]  Now I'm beginning to think he doesn't know.
[48:13.510 --> 48:14.670]  OK, so that's Uptown Mo.
[48:14.870 --> 48:15.490]  You've already got that.
[48:16.110 --> 48:16.970]  I got that one.
[48:16.990 --> 48:18.370]  That was the first one I got.
[48:19.250 --> 48:20.690]  They actually sell an Uptown Mo backpack.
[48:20.950 --> 48:21.270]  Yeah, go ahead.
[48:21.430 --> 48:22.190]  Honest question. Why?
[48:22.310 --> 48:23.010]  Why do you want these?
[48:24.530 --> 48:25.610]  Because they're great.
[48:26.170 --> 48:27.070]  What do you mean?
[48:28.270 --> 48:30.230]  Did you not see any when you went to Geoff's house?
[48:30.310 --> 48:31.430]  Did you not get your hands on one?
[48:32.070 --> 48:32.930]  I saw them.
[48:33.890 --> 48:36.210]  No, you got to get close for arms.
[48:37.430 --> 48:38.570]  Yeah, he's Uptown Mo.
[48:38.770 --> 48:40.750]  OK, so what? That's 15.
[48:41.190 --> 48:41.890]  I have that one.
[48:42.370 --> 48:43.670]  I mean, the Kerwin Frost.
[48:44.330 --> 48:46.150]  I don't think he does.
[48:47.750 --> 48:49.150]  Well, show that fuck.
[48:49.230 --> 48:50.210]  I want to see the seals.
[48:50.450 --> 48:51.290]  I don't trust this.
[48:51.970 --> 48:53.230]  Oh, they're avoiding the shot.
[48:53.970 --> 48:55.690]  They say that possession is everything.
[48:55.870 --> 48:57.190]  All right, next pack. Here we go.
[48:58.450 --> 49:00.210]  Come on, Kerwin, Kerwin, Kerwin.
[49:01.430 --> 49:02.790]  Or Darla, either or.
[49:03.970 --> 49:05.690]  Is it wrapped in like hamburger?
[49:05.910 --> 49:06.150]  Yeah.
[49:08.470 --> 49:09.670]  No, that's not.
[49:09.890 --> 49:10.810]  That's not either of them.
[49:12.170 --> 49:13.530]  I don't I have that one.
[49:13.730 --> 49:16.490]  I don't think that one is terrible.
[49:17.510 --> 49:18.690]  He's really bad at it.
[49:18.830 --> 49:19.830]  Why do I say that's for?
[49:20.670 --> 49:23.370]  You can adjust the tops like you can move them around.
[49:23.450 --> 49:24.830]  You can switch, which is what?
[49:24.910 --> 49:27.290]  Like the bottoms and the tops are interchangeable.
[49:27.910 --> 49:31.210]  I bet people are shoving these up their ass left and right.
[49:32.130 --> 49:33.530]  Yeah, that's your immediate thought.
[49:33.730 --> 49:36.310]  I bet people are taking the hair off and just shoving them right up.
[49:36.870 --> 49:38.290]  Having some gold nugget action.
[49:38.690 --> 49:40.070]  Yeah, I think he's missing gold.
[49:40.170 --> 49:40.850]  And I think that's it.
[49:40.850 --> 49:42.250]  Oh, yeah, I hope we get gold today.
[49:42.970 --> 49:44.250]  Why? So Andrew can have it?
[49:44.310 --> 49:45.170]  No, so we can't have it.
[49:47.930 --> 49:48.530]  It's true.
[49:48.750 --> 49:49.230]  You don't want gold?
[49:49.730 --> 49:50.590]  No, I have gold.
[49:50.670 --> 49:51.450]  I got the rarest one.
[49:51.510 --> 49:53.930]  That's what makes this so annoying, as I have the rare one.
[49:55.350 --> 49:57.790]  I don't like that they're not showing the seals in that shot.
[49:58.210 --> 49:59.350]  I don't I don't know.
[50:00.190 --> 50:00.850]  Who is this?
[50:01.550 --> 50:02.130]  It's pink.
[50:02.810 --> 50:03.290]  Oh, my God.
[50:03.290 --> 50:03.930]  Just open it.
[50:04.210 --> 50:05.290]  Oh, that's Kerwin!
[50:05.670 --> 50:06.630]  Gavin, that's Kerwin Frost!
[50:06.970 --> 50:07.370]  Hey!
[50:08.350 --> 50:09.350]  He's got the pencil!
[50:10.190 --> 50:11.570]  And he's got the fry shoes.
[50:12.010 --> 50:12.910]  Holy shit.
[50:13.970 --> 50:14.850]  Oh, my God.
[50:15.430 --> 50:16.330]  Thanks, man.
[50:20.550 --> 50:23.110]  I'm laying out that I'm doing my.
[50:25.610 --> 50:27.150]  Oh, holy shit.
[50:27.430 --> 50:29.470]  Oh, my God.
[50:29.610 --> 50:30.090]  So what?
[50:30.110 --> 50:31.870]  I got like 12 more shots at Darla.
[50:32.450 --> 50:34.430]  Dude, I feel really good about this.
[50:35.650 --> 50:37.290]  Why is there a pencil in his face?
[50:38.130 --> 50:40.210]  I think the real guy has that tattoo.
[50:40.410 --> 50:41.730]  So you'd have to ask Mr.
[50:41.910 --> 50:42.530]  Kerwin Frost.
[50:43.430 --> 50:44.930]  Yeah, Kerwin Frost is like a DJ.
[50:46.950 --> 50:48.150]  I don't care about that one.
[50:48.270 --> 50:48.970]  Whatever. That's fine.
[50:49.210 --> 50:50.190]  I got 10 more or whatever.
[50:50.930 --> 50:52.110]  Was that the fourth they pulled?
[50:56.130 --> 50:58.450]  Does my soundboard go on my audio track?
[50:59.110 --> 50:59.790]  I don't know.
[51:00.470 --> 51:02.510]  It's definitely going on the Craig track.
[51:05.870 --> 51:08.510]  Come on, Darla, Darla, Darla.
[51:08.930 --> 51:09.630]  And we got.
[51:10.110 --> 51:11.510]  I don't like I don't.
[51:11.650 --> 51:13.750]  Why does he open it so off?
[51:14.010 --> 51:15.370]  He's so bad at this.
[51:16.590 --> 51:17.890]  God damn it.
[51:18.010 --> 51:18.750]  Uptown again.
[51:19.350 --> 51:21.550]  That's my fourth Uptown Moe.
[51:22.170 --> 51:25.750]  What does Darla look like?
[51:27.050 --> 51:29.390]  Darla, look, she's got some yellow
[51:29.390 --> 51:30.210]  earmuffs on.
[51:30.430 --> 51:31.330]  Yellow muffs.
[51:31.650 --> 51:33.450]  Yeah. Well, yeah.
[51:33.550 --> 51:39.900]  OK, come on.
[51:40.780 --> 51:43.680]  Hopefully it's Darla, because that's who we need.
[51:43.860 --> 51:45.320]  OK, but what if one of them?
[51:45.760 --> 51:48.220]  No, number five.
[51:49.140 --> 51:54.180]  Andrew, how many of these are there for?
[51:54.620 --> 51:55.980]  He's asking if you're mad.
[51:56.820 --> 51:57.800]  Of course, I'm mad.
[51:58.200 --> 51:59.800]  Of course, I'm mad.
[52:05.220 --> 52:07.500]  I've been waiting an hour to be disappointed by this,
[52:07.560 --> 52:08.820]  but I'm happy with Kerwin.
[52:09.360 --> 52:10.240]  Oh, my God.
[52:10.560 --> 52:11.020]  Jesus Christ.
[52:11.020 --> 52:12.000]  How many of those do you need?
[52:12.560 --> 52:14.220]  I don't need any of those.
[52:14.360 --> 52:15.100]  That's the third one.
[52:15.260 --> 52:15.680]  I'm getting worried.
[52:15.840 --> 52:16.960]  What was that? Was that six?
[52:17.800 --> 52:19.360]  Yeah, yeah, we're kind of we're getting them.
[52:19.560 --> 52:23.120]  Yeah, don't let it be secret.
[52:24.040 --> 52:26.120]  Maybe I changed the drum beat to snare you.
[52:26.280 --> 52:26.580]  I don't know.
[52:27.100 --> 52:29.660]  I appreciate Emily changing the vibes with different sound effects.
[52:30.740 --> 52:32.300]  I feel like I need to convince them
[52:32.300 --> 52:35.000]  to get everything off the table and onto stuff behind them.
[52:35.460 --> 52:36.240]  Oh, my God.
[52:36.280 --> 52:36.560]  Again.
[52:37.240 --> 52:38.720]  Hey, Gavin, do you want a Kerwin Frost?
[52:39.240 --> 52:40.180]  I'd love one.
[52:40.640 --> 52:41.800]  I love Kerwin Flombe.
[52:54.540 --> 52:55.720]  What is it going to be?
[52:57.100 --> 52:58.060]  He is doing it.
[52:58.880 --> 52:59.820]  Oh, my God.
[52:59.820 --> 53:01.440]  All the suspense is off camera.
[53:05.060 --> 53:06.000]  Was that all of them?
[53:06.500 --> 53:06.820]  All right.
[53:06.920 --> 53:07.860]  No, there's no...
[53:09.140 --> 53:10.280]  How many are left?
[53:10.680 --> 53:11.680]  Nine of these things.
[53:11.960 --> 53:12.660]  Six left.
[53:13.300 --> 53:14.280]  Oh, we're up to ten.
[53:15.020 --> 53:15.200]  Oh.
[53:15.780 --> 53:16.680]  There have been ten?
[53:17.760 --> 53:18.160]  Nine?
[53:18.460 --> 53:19.160]  You said eighteen?
[53:19.160 --> 53:19.960]  OK, well, I got Kerwin Frost.
[53:20.440 --> 53:21.040]  I don't know.
[53:21.100 --> 53:22.120]  He said multiple numbers.
[53:22.480 --> 53:23.580]  I thought it was 15.
[53:24.180 --> 53:26.120]  He said 15 at the start, but who knows?
[53:26.180 --> 53:27.100]  I thought I sent like 20.
[53:30.220 --> 53:30.980]  What's the next one?
[53:30.980 --> 53:31.880]  OK, so we got a Kerwin.
[53:32.120 --> 53:32.700]  Oh, no.
[53:33.360 --> 53:35.420]  I don't like that shot of all the dupe we get.
[53:35.500 --> 53:35.920]  That's great.
[53:37.280 --> 53:39.100]  Come on, Darla, Darla, Darla.
[53:40.700 --> 53:42.680]  Fucking bald-headed ass Moe.
[53:44.500 --> 53:45.560]  So many Moes.
[53:45.580 --> 53:46.660]  This piece of shit.
[53:46.980 --> 53:48.640]  Moe was my favorite until now.
[53:49.800 --> 53:50.960]  I swear to God.
[53:51.360 --> 53:51.900]  No more Moe.
[53:51.980 --> 53:52.420]  No more Moe.
[53:57.680 --> 54:01.720]  I ate 170 nuggets for fucking 16 Moes.
[54:02.940 --> 54:03.940]  When did they get to see me?
[54:05.260 --> 54:06.840]  Oh, they said cold nuggets.
[54:07.020 --> 54:08.960]  The fourth consecutive day of cold.
[54:09.140 --> 54:10.300]  God damn it.
[54:11.900 --> 54:12.500]  Fuck.
[54:13.480 --> 54:13.820]  OK.
[54:15.140 --> 54:15.500]  How many?
[54:15.860 --> 54:16.160]  Yeah.
[54:16.640 --> 54:17.240]  No, I don't.
[54:17.520 --> 54:19.060]  Emily, Emily.
[54:19.060 --> 54:27.130]  OK, I respect her wanting the gold one so they could just take it.
[54:28.090 --> 54:29.370]  Andrew, can it be?
[54:29.570 --> 54:30.490]  Will you get Darla?
[54:30.830 --> 54:31.590]  Come on, Darla.
[54:32.510 --> 54:34.770]  You yellow muffed son of a bitch.
[54:35.070 --> 54:35.590]  Come on.
[54:37.950 --> 54:39.230]  That's not Darla Gavin.
[54:39.970 --> 54:41.570]  I don't even know her name.
[54:42.010 --> 54:43.230]  Glazed donut head.
[54:45.050 --> 54:45.570]  Bernice?
[54:45.710 --> 54:46.270]  I think that was the one.
[54:48.010 --> 54:49.130]  I don't know.
[54:49.730 --> 54:50.790]  I feel like you do.
[54:50.790 --> 54:51.570]  It wasn't.
[54:51.730 --> 54:52.310]  I think he knew.
[54:52.410 --> 54:53.390]  I think he's playing it up.
[54:53.510 --> 54:54.470]  He's being an ass.
[54:54.530 --> 54:55.250]  God damn him.
[54:55.410 --> 54:57.750]  Andrew, that's OK.
[54:58.610 --> 54:59.970]  We're down to the last three.
[55:00.830 --> 55:02.250]  We have three left.
[55:02.770 --> 55:05.010]  I've been waiting for an hour to be disappointed.
[55:05.690 --> 55:06.770]  It's not over yet, Andrew.
[55:06.910 --> 55:08.250]  It's not over yet, because you win.
[55:08.590 --> 55:09.830]  OK, we got three of another.
[55:14.790 --> 55:17.570]  No, oh, it looks so promising.
[55:20.990 --> 55:22.630]  Oh, my God.
[55:22.630 --> 55:24.370]  We're going to make Gracie throw these up, Tim.
[55:24.490 --> 55:27.270]  But we got to up, up, down most to become a star.
[55:30.790 --> 55:34.850]  It needs to be the next Tom Brady, a McDonald's.
[55:35.730 --> 55:37.430]  Well, you got a lot of the ones you didn't have.
[55:38.810 --> 55:40.950]  And we need a Darla for Andrew.
[55:41.670 --> 55:44.550]  I don't I don't care if they get gold.
[55:45.190 --> 55:46.450]  Just give me Darla.
[55:47.390 --> 55:48.790]  I need a Darla.
[55:52.370 --> 55:53.410]  OK, OK.
[55:59.990 --> 56:01.030]  Fuck me.
[56:01.210 --> 56:02.610]  Oh, my Jesus Christ.
[56:03.650 --> 56:06.370]  How many duplicates of Kerwin Frost do I have?
[56:06.450 --> 56:07.930]  You mailed him four Kershaw's.
[56:08.350 --> 56:10.230]  I only needed one.
[56:12.090 --> 56:12.750]  Yeah, they're awesome.
[56:13.370 --> 56:14.250]  They're fry shoes.
[56:14.410 --> 56:14.910]  You can buy them.
[56:14.970 --> 56:15.590]  They're clogs.
[56:15.590 --> 56:16.370]  They're really stupid.
[56:17.390 --> 56:18.430]  I hate this.
[56:18.610 --> 56:20.210]  I fucking hate this.
[56:21.290 --> 56:21.590]  Fingers crossed.
[56:21.910 --> 56:24.110]  OK, I got my fingers and my ass crossed for you.
[56:24.250 --> 56:26.030]  There's no way it's going to be Darla, but this is it.
[56:26.050 --> 56:26.850]  Come on. I got to believe.
[56:27.670 --> 56:28.550]  Miracles can happen.
[56:28.650 --> 56:29.450]  Good things can happen.
[56:30.210 --> 56:31.050]  Oh, it's going to be a mo.
[56:31.370 --> 56:31.990]  Oh, it's my.
[56:32.170 --> 56:33.790]  No, but this is my dragon year.
[56:33.990 --> 56:34.790]  This is my dragon.
[56:34.910 --> 56:36.030]  This is your dragon year.
[56:36.190 --> 56:37.230]  Year of the dog.
[56:38.430 --> 56:39.610]  No, no, no.
[56:40.090 --> 56:41.670]  I can see what's coming.
[56:41.890 --> 56:43.430]  Fucking dragons, Gavin.
[56:43.790 --> 56:45.010]  These fucking dragons.
[56:45.010 --> 56:46.310]  I'm sick of it.
[56:46.690 --> 56:48.770]  We're only in January, Gavin.
[56:49.310 --> 56:51.690]  I got 11 more months of this.
[56:51.810 --> 56:53.570]  Oh, God.
[56:55.850 --> 56:57.310]  Oh, my God.
[56:58.350 --> 57:00.850]  I spent so much money on happy meals.
[57:01.290 --> 57:04.330]  So wait, so was there another one that didn't come up once?
[57:04.590 --> 57:05.470]  How many are there? Six?
[57:06.090 --> 57:09.270]  There's I, Gavin, there's six of them.
[57:10.210 --> 57:12.350]  How'd you get so many of the same one?
[57:12.410 --> 57:13.690]  I don't know.
[57:16.830 --> 57:17.710]  I don't know.
[57:18.130 --> 57:18.770]  Fucking dragon years.
[57:18.930 --> 57:20.290]  That's how that's how this happened.
[57:20.370 --> 57:21.190]  The fucking dragons.
[57:21.490 --> 57:22.790]  I'm protesting dragons.
[57:23.050 --> 57:24.130]  You're the exception.
[57:24.710 --> 57:27.090]  Every other dragon getting is gone.
[57:27.430 --> 57:28.570]  No magic dragons.
[57:28.850 --> 57:32.610]  I might watch Reign of Fire just to see some some dragon death.
[57:35.530 --> 57:36.710]  Oh, my God.
[57:38.170 --> 57:41.430]  But kind of the only thing that I do like is that Andrew didn't get the one.
[57:41.490 --> 57:44.090]  Yeah. Yeah, that's let's be honest.
[57:44.950 --> 57:45.630]  He's fucking.
[57:46.190 --> 57:49.090]  Yeah, because I'm recording an hour of this, Eric.
[57:49.590 --> 57:51.270]  He's having a quiet time. Yeah, absolutely.
[57:51.710 --> 57:54.070]  No, I'm not. I would love to be having quiet time in the bath.
[57:54.450 --> 57:55.430]  Yeah. Turn the lights off.
[57:55.830 --> 57:56.430]  Lit a candle.
[57:56.670 --> 57:59.030]  Does it make sense that I'm responding to the video?
[57:59.230 --> 58:01.390]  I just realized I'm just so annoyed.
[58:01.770 --> 58:03.270]  Oh, my God. I can't believe.
[58:03.390 --> 58:06.210]  Can I? I need to check if I can order happy meals right now.
[58:07.990 --> 58:09.250]  Oh, I'm sure you could.
[58:09.930 --> 58:12.490]  Let's see, because most of them are sold out.
[58:12.490 --> 58:13.730]  Last time I checked, I couldn't.
[58:15.090 --> 58:16.950]  I'm going to be so goddamn mad.
[58:17.650 --> 58:20.030]  Yeah, we told you this and then you didn't send in the cake.
[58:24.630 --> 58:26.150]  I kind of want a happy meal now.
[58:27.410 --> 58:29.190]  Well, let's open up some baseball cards.
[58:30.050 --> 58:31.470]  They don't have them anymore.
[58:31.790 --> 58:32.770]  No, they've been gone for a while.
[58:32.870 --> 58:33.930]  I think I'm going to have to eBay him.
[58:33.970 --> 58:36.530]  He's going to see if someone will take his BTS sauces and trade.
[58:36.590 --> 58:37.350]  He's going to have to trade.
[58:37.450 --> 58:39.950]  Oh, fuck. I hate when I don't have my phone with me.
[58:39.970 --> 58:42.970]  And it just I tried to log in and said, verify that about it.
[58:42.990 --> 58:44.710]  Oh, wait, is it just bypassing its own?
[58:45.250 --> 58:46.890]  Yeah, it did. That's fucking awesome.
[58:47.290 --> 58:50.350]  It just tried to two factor me and said, ah, don't worry about it.
[58:51.510 --> 58:52.530]  Just the one factor today.
[58:53.470 --> 58:54.770]  One factor for you.
[58:54.870 --> 58:56.030]  We know the pain you're going through.
[58:56.110 --> 58:57.730]  Let's see the closest McDonald's.
[58:58.170 --> 58:59.350]  Well, he got to him.
[59:04.160 --> 59:07.540]  Oh, we got a hot honey McCrispy going on right now.
[59:08.980 --> 59:09.840]  It's pretty good.
[59:10.100 --> 59:13.260]  I don't know if you have that available to you, but I would recommend it.
[59:14.060 --> 59:15.920]  Well, I can't order anything from McDonald's
[59:15.920 --> 59:16.700]  that isn't a Big Mac.
[59:18.840 --> 59:22.860]  Oh, OK, and then Gavin, they still have them.
[59:22.940 --> 59:23.580]  Should I order one?
[59:23.700 --> 59:25.540]  Oh, but next week.
[59:25.740 --> 59:28.520]  Yes, I'm going to order one more.
[59:28.720 --> 59:30.060]  There's 17 dollars.
[59:30.640 --> 59:31.060]  Why?
[59:31.300 --> 59:34.280]  They're so because they're adult happy meals and the toy.
[59:36.340 --> 59:38.460]  Look at Jonathan Aranda's face there.
[59:38.560 --> 59:42.680]  He is. Oh, that's not a good sign.
[59:43.460 --> 59:44.940]  Oh, wait, never mind. It's fine.
[59:44.940 --> 59:45.780]  I want the nuggets.
[59:46.560 --> 59:48.340]  Well, I'm going to order one more of these.
[59:49.840 --> 59:51.040]  We could wrap this up.
[59:51.140 --> 59:51.780]  Well, I don't care about.
[59:51.900 --> 59:52.800]  Do you care about baseball?
[59:53.760 --> 59:54.880]  I don't even know the rules.
[59:55.540 --> 59:56.080]  Now. Yeah.
[59:56.240 --> 59:57.260]  Maybe we should play baseball.
[59:57.840 --> 01:00:00.320]  Didn't you almost win face off in baseball?
[01:00:00.980 --> 01:00:01.780]  Where did you place?
[01:00:02.000 --> 01:00:04.340]  Well, I mean, watching baseball isn't really anything I did
[01:00:05.140 --> 01:00:06.240]  or contributed to.
[01:00:07.280 --> 01:00:07.940]  That's fair.
[01:00:08.480 --> 01:00:10.920]  What you did contribute to, though, is this this recording.
[01:00:11.160 --> 01:00:13.220]  My misery. Thank you for joining me, Gavin.
[01:00:13.220 --> 01:00:14.840]  Thanks for having me watch along.
