[00:10.890 --> 00:11.850]  And action!
[43:33.680 --> 43:35.640]  So what I'm saying is I haven't watched this yet.
[43:35.760 --> 43:36.900]  I think it's the right commercial.
[43:37.200 --> 43:39.320]  So I apologize if it goes wrong.
[43:39.540 --> 43:40.420]  Okay, here it is.
[43:41.080 --> 43:41.520]  Spuds.
[43:41.840 --> 43:42.900]  There he is.
[43:43.120 --> 43:44.940]  What a happening dude.
[43:46.900 --> 43:48.820]  I suppose Mackenzie's a rad dude.
[43:52.140 --> 43:52.740]  Awesome.
[44:03.580 --> 44:04.180]  Every...
[44:04.180 --> 44:05.740]  Look at him go.
[44:10.120 --> 44:14.040]  I had a bull terrier for 11 years because of those commercials.
[44:14.240 --> 44:14.780]  Hell yeah.
[44:16.060 --> 44:17.160]  Go Spuds, go.
[44:17.620 --> 44:18.680]  I also think it's really weird.
[44:18.780 --> 44:21.520]  That commercial is clearly marketed towards kids.
[44:21.880 --> 44:23.620]  Because that dog is the original party animal.
[44:24.000 --> 44:25.180]  And that was the country version.
[44:25.300 --> 44:26.160]  There was a lot of beach.
[44:26.540 --> 44:30.580]  There was a lot of Hawaiian shirt wearing Spuds Mackenzie commercials.
[44:30.960 --> 44:32.560]  Clearly marketed towards kids.
[44:32.600 --> 44:33.900]  That is a beer commercial.
[44:35.020 --> 44:37.120]  It never struck me as odd when I was a child.
[44:37.220 --> 44:39.140]  But I really wanted to be Spuds Mackenzie when I was a kid.
[44:39.200 --> 44:42.680]  Every time I see a dog like that, I just go Spuds Mackenzie.
[44:42.820 --> 44:43.340]  Out loud.
[44:43.340 --> 44:44.240]  Every time.
[44:45.460 --> 44:46.100]  100% of the time.
[44:46.160 --> 44:49.340]  Was that a random Australian guy announcing that it was Spuds Mackenzie?
[44:50.020 --> 44:50.620]  Was it?
[44:50.860 --> 44:51.600]  I don't know.
[44:52.360 --> 44:53.040]  Was he Australian?
[44:53.420 --> 44:54.580]  I don't know, I just...
[44:55.340 --> 44:56.560]  It was much later than this.
[44:58.460 --> 45:00.480]  Hang on, I need to see if he's Australian, Geoff. Hang on.
[45:00.720 --> 45:01.400]  Well, no worries.
[45:10.360 --> 45:12.160]  Oh, it's supposed to be Robin Leach.
[45:12.160 --> 45:13.400]  No, it's Robin Leach.
[45:13.660 --> 45:14.960]  I don't know if it is Robin Leach.
[45:14.960 --> 45:16.720]  It is Robin Leach.
[45:17.180 --> 45:19.120]  Do you think... Is Robin Leach Australian?
[45:19.120 --> 45:20.380]  Who's Robin Leach?
[45:20.800 --> 45:21.920]  Yeah, I don't know who Robin Leach is.
[45:21.940 --> 45:22.080]  Wow, really?
[45:22.340 --> 45:23.500]  You don't know who Robin Leach is?
[45:24.380 --> 45:25.960]  Lifestyles of the Rich and the Famous.
[45:26.040 --> 45:26.860]  You don't know who Robin Leach is?
[45:27.800 --> 45:28.200]  No.
[45:28.900 --> 45:32.340]  We had a show in America called Lifestyles of the Rich and Famous,
[45:32.780 --> 45:38.180]  where Robin Leach would take you around and show how rich people lived.
[45:38.220 --> 45:39.500]  It was like Cribs before Cribs.
[45:39.800 --> 45:40.000]  Yep.
[45:40.160 --> 45:40.900]  Oh, okay.
[45:41.240 --> 45:42.780]  And he's a British guy, right?
[45:43.180 --> 45:43.960]  Yeah, he was British.
[45:44.140 --> 45:44.880]  There he is, Robin Leach.
[45:45.300 --> 45:45.700]  Wow.
[45:46.520 --> 45:47.580]  Also famous in America.
[45:48.920 --> 45:52.400]  He's from Perryvale, United Kingdom.
[45:52.880 --> 45:53.380]  Yeah.
[45:53.800 --> 45:55.100]  Died in Las Vegas.
[45:56.180 --> 45:57.820]  He seems like a Vegas kind of guy.
[45:58.020 --> 45:59.020]  Yeah, absolutely.
[45:59.240 --> 46:00.020]  Oh, absolutely, yeah.
[46:00.960 --> 46:04.160]  Okay, and that's Geoff's last pick.
[46:04.480 --> 46:07.120]  Now we have the final pick of this draft.
[46:07.700 --> 46:08.820]  Andrew, number four.
[46:08.940 --> 46:10.020]  A lot of pressure here.
[46:10.120 --> 46:11.900]  There's a lot I could have went with.
[46:11.900 --> 46:17.580]  I used to get tons of PSA type commercials as a kid growing up.
[46:17.700 --> 46:23.120]  There's so many that they'd play constantly on our equivalent of Nickelodeon and whatnot.
[46:23.320 --> 46:25.760]  So I'm going to go with what I think is the most iconic.
[46:26.060 --> 46:28.720]  It's one of the things I immediately think of when I think of childhood commercials.
[46:28.980 --> 46:36.220]  And I think it just is sort of a perfect ending to this draft as a whole for what the messaging is of the commercial.
[46:36.900 --> 46:37.200]  Okay.
[46:37.220 --> 46:41.340]  Anybody from my time, from my age, has seen this so many times.
[46:41.340 --> 46:41.940]  Okay.
[46:43.440 --> 46:46.260]  It's nighttime in a kitchen just like yours.
[46:46.500 --> 46:47.720]  All is quiet.
[46:48.860 --> 46:49.720]  Or is it?
[46:50.660 --> 46:51.280]  Oh, shit.
[46:51.540 --> 46:56.440]  North American house hippo is found throughout Canada and the eastern United States.
[46:57.280 --> 47:00.720]  House hippos are very timid creatures and are rarely seen.
[47:01.400 --> 47:03.960]  But they will defend their territory if provoked.
[47:04.720 --> 47:09.120]  They come out at night to search for food, water, and materials for their nests.
[47:09.120 --> 47:15.620]  The favorite foods of the house hippo are chips, raisins, and the crumbs from peanut butter on toast.
[47:16.240 --> 47:22.200]  They build their nests in bedroom closets using lost mittens, dryer lint, and bits of string.
[47:22.880 --> 47:25.000]  The nests have to be very soft and warm.
[47:25.520 --> 47:28.480]  House hippos sleep about 16 hours a day.
[47:29.740 --> 47:31.320]  That looked really... real.
[47:31.620 --> 47:33.540]  But you knew it couldn't be true, didn't you?
[47:33.600 --> 47:33.940]  You knew.
[47:34.040 --> 47:37.360]  That's why it's good to think about what you're watching on TV and ask questions.
[47:37.360 --> 47:39.460]  Kind of like you just did.
[47:39.560 --> 47:41.610]  A message from Concerned Children's Advertisers.
[47:42.980 --> 47:43.960]  Hey, idiot!
[47:44.120 --> 47:45.100]  What the hell was that?
[47:45.720 --> 47:47.600]  That buzzkill fucking...
[47:47.600 --> 47:50.020]  That baby flying through the air?
[47:50.220 --> 47:51.360]  That wasn't real.
[47:51.600 --> 47:52.280]  That didn't happen.
[47:52.400 --> 47:54.060]  You know that chihuahua running up?
[47:54.380 --> 47:55.280]  Get that Taco Bell?
[47:55.540 --> 47:56.600]  That's some bullshit.
[47:57.000 --> 47:57.840]  Spuds McKenzie?
[47:58.080 --> 47:59.440]  Can't really play the drums.
[47:59.760 --> 48:01.800]  You can't steal the cow in a train station.
[48:02.660 --> 48:03.540]  No. Yeah.
[48:05.160 --> 48:07.760]  I'm just sort of floored. Like, it was so long.
[48:08.320 --> 48:10.700]  And then it was like, guess what? That's not even real.
[48:10.900 --> 48:12.000]  And I'm like, none of this is right.
[48:12.360 --> 48:16.020]  Guess what? We fucking lied to you and you believed it, you idiot.
[48:16.340 --> 48:19.440]  But all you're going to take away from that is, man, I wish little house hippos were real.
[48:19.500 --> 48:20.680]  I'm just going to think about the house hippos.
[48:21.460 --> 48:23.180]  Where do I buy the house hippo? I want one.
[48:23.440 --> 48:24.180]  Can we make one?
[48:25.760 --> 48:30.240]  My thought while watching it is, I wish I could get the opinion of a house hippo for the chip-off.
[48:30.240 --> 48:33.980]  I feel like there's clearly expertise in that realm.
[48:35.440 --> 48:36.320]  Weird's our draft.
[48:37.140 --> 48:39.040]  That is such a weird commercial.
[48:39.500 --> 48:40.640]  Well, that's our draft.
[48:41.200 --> 48:42.800]  How do you guys feel like you did?
[48:43.400 --> 48:44.060]  I feel good.
[48:44.180 --> 48:44.980]  I feel good.
[48:45.340 --> 48:45.860]  I feel good.
[48:46.020 --> 48:47.420]  Part of my childhood.
[48:48.080 --> 48:52.460]  I feel like Andrew did really well with those mattress ones.
[48:52.680 --> 48:55.860]  Oh, those Dodds commercials were great, dude. Those were really fun.
[48:56.220 --> 48:57.720]  I didn't really have a lot of local stuff.
[48:57.720 --> 49:00.400]  My country is small enough to just be local.
[49:00.580 --> 49:01.800]  Yeah, I get it.
[49:04.040 --> 49:08.440]  Does anybody have any runner-ups they want to show?
[49:09.320 --> 49:11.020]  I've got an honorable mention, for sure.
[49:12.340 --> 49:16.220]  Okay, do you want to throw it in the line below your last one?
[49:16.400 --> 49:18.600]  And we'll show an honorable mention.
[49:19.260 --> 49:20.340]  Can I get one honorable mention?
[49:20.480 --> 49:21.220]  Yeah, sure, why not?
[49:21.860 --> 49:23.560]  Okay, I had a few. This one will do.
[49:24.140 --> 49:25.360]  This is Gavin's.
[49:25.760 --> 49:27.020]  This is Tango.
[49:28.640 --> 49:30.160]  Tagline being, you've been tangoed.
[49:30.680 --> 49:31.240]  Okay.
[49:31.380 --> 49:40.960]  This advert started a trend that caused so many kids on so many playgrounds to end up with a burst eardrum.
[49:41.460 --> 49:42.020]  Really?
[49:42.480 --> 49:46.200]  Yeah, and it was eventually, I think, also banned.
[49:46.900 --> 49:48.760]  But I might be wrong, I don't know.
[49:57.440 --> 50:02.740]  Oh, yes, we could be in for a quintessential tango sensation here!
[50:02.780 --> 50:03.720]  What is happening?
[50:04.640 --> 50:06.340]  Wham! He's been tangoed!
[50:08.480 --> 50:10.840]  Yes, Ralph, the big orange fellow running from the left.
[50:11.180 --> 50:12.580]  And he gives him a good old slapping.
[50:12.880 --> 50:15.700]  It just illustrates his great unbuzz.
[50:18.300 --> 50:20.040]  Yes, Ralph, super taste sensation.
[50:20.040 --> 50:21.320]  Did you get tangoed a lot, Gavin?
[50:21.700 --> 50:23.220]  I got tangoed a few times, yeah.
[50:23.900 --> 50:26.160]  And as it says, you know when you've been tangoed.
[50:26.920 --> 50:31.240]  What is it with your country and punishing you for buying their beverages?
[50:31.740 --> 50:33.680]  Why do they hate you when you buy your beverage?
[50:34.080 --> 50:36.140]  Get a Dr. Pepper, end up in fucking jail.
[50:36.300 --> 50:37.120]  End up dead.
[50:37.400 --> 50:37.820]  Need a saw.
[50:38.060 --> 50:39.180]  Buy a tango, get punched.
[50:39.440 --> 50:40.160]  Because that's the thing.
[50:40.300 --> 50:40.820]  Get slapped.
[50:41.680 --> 50:42.400]  It's crazy.
[50:44.960 --> 50:47.320]  So that caused kids all over England to do that.
[50:47.620 --> 50:50.640]  Well, yeah, because they were just slapping each other in the face with both hands at the same time.
[50:50.820 --> 50:52.580]  And hitting each other in the ear holes.
[50:53.480 --> 50:55.340]  And it was a big problem at the time, I think.
[50:55.340 --> 50:56.140]  Seems like it would be.
[50:56.680 --> 50:59.740]  Let's go with Geoff's honorable mention here.
[50:59.920 --> 51:00.780]  Geoff, anything you want to say?
[51:01.440 --> 51:03.940]  This was my original fourth pick before I switched it out.
[51:04.160 --> 51:04.840]  Very similar.
[51:05.640 --> 51:07.500]  Just like super popular in America.
[51:08.080 --> 51:09.280]  There was a million of these.
[51:09.440 --> 51:11.020]  This is just the one that...
[51:11.020 --> 51:13.380]  I didn't realize how bad all the songs were.
[51:13.800 --> 51:14.920]  They're pretty fucking bad.
[51:15.360 --> 51:16.080]  But, yeah.
[51:16.720 --> 51:17.420]  Okay, here it is.
[51:23.480 --> 51:24.840]  Goddamn right it is.
[51:28.980 --> 51:30.780]  Oh my god.
[51:31.180 --> 51:31.680]  Jesus.
[51:33.060 --> 51:34.860]  This is great.
[51:35.760 --> 51:37.100]  This is a really good one.
[51:37.720 --> 51:38.960]  That guy must have been terrified.
[51:46.500 --> 51:47.400]  Damn right it is.
[51:47.400 --> 51:49.120]  Oh yeah.
[51:50.600 --> 51:53.140]  There were like a million of those, obviously.
[51:53.500 --> 51:54.980]  I'm sure they made their way to England, too.
[51:55.460 --> 51:56.240]  Those were always great.
[51:56.420 --> 51:58.120]  This is like Bert Kreischer's favorite drink, man.
[51:58.160 --> 51:58.540]  That's great.
[52:00.520 --> 52:02.980]  I also had... there's no need to play it.
[52:03.080 --> 52:05.760]  My other one was going to be California Raisins.
[52:05.980 --> 52:06.900]  Oh, that's good, too.
[52:09.060 --> 52:10.880]  Let's go with Nick's.
[52:11.000 --> 52:12.400]  We'll go with mine and wrap up with Andrew's.
[52:13.060 --> 52:14.040]  Oh, Nick.
[52:14.280 --> 52:15.320]  Very good pick.
[52:15.320 --> 52:18.300]  Yeah, this one traumatized a lot of kids, I'm guessing.
[52:18.300 --> 52:18.560]  Yep.
[52:20.040 --> 52:20.480]  Oh.
[52:21.960 --> 52:22.940]  Also, those beds.
[52:32.260 --> 52:33.560]  I've never seen this.
[52:34.500 --> 52:35.860]  Dude, you gotta not wake daddy, bro.
[52:36.520 --> 52:39.080]  Dude, waking daddy was the worst when you were a kid.
[52:39.300 --> 52:40.400]  Don't fucking wake daddy.
[52:40.800 --> 52:41.680]  I got work!
[52:47.580 --> 52:49.680]  They just keep saying it.
[52:50.880 --> 52:52.020]  That's the whole commercial.
[52:52.160 --> 52:52.640]  There's a lot of daddy.
[52:52.640 --> 52:53.660]  So what wakes daddy?
[52:53.820 --> 52:55.040]  Pressing on the alarm?
[52:55.120 --> 53:03.480]  So you have, like, you land on spots, and then you press the alarm, and it's a random number that you press it a certain amount of times or whatever, and then he fucking sits up and his hat shoots off.
[53:03.940 --> 53:04.420]  That's it.
[53:06.480 --> 53:07.900]  And then you're not supposed to wake daddy.
[53:08.180 --> 53:09.500]  And then the sleepover's over.
[53:09.500 --> 53:10.060]  Yeah.
[53:10.240 --> 53:10.500]  Yeah.
[53:10.740 --> 53:11.820]  Go home!
[53:12.540 --> 53:13.620]  He doesn't even call the other parents.
[53:13.720 --> 53:14.300]  He just sends them out.
[53:14.360 --> 53:14.700]  Hell no.
[53:15.060 --> 53:16.300]  Yeah, you just walk home.
[53:18.340 --> 53:22.640]  Geoff mentioned it earlier, but this was on my shortlist.
[53:23.000 --> 53:23.620]  Oh, yeah.
[53:23.640 --> 53:27.140]  Now your child can visit steamy jungles, grassy plains...
[53:27.140 --> 53:29.460]  Absolutely wanted these so much.
[53:29.460 --> 53:35.880]  ...and learn surprising facts about the magnificent animals that live there, all through the captivating, colorful pages of Zoo Books.
[53:36.140 --> 53:37.240]  The publication is...
[53:37.240 --> 53:37.980]  There's a monkey!
[53:37.980 --> 53:38.640]  ...for young readers.
[53:38.960 --> 53:44.820]  Each monthly issue of Zoo Books is packed with breathtaking full-color photos and scientifically accurate illustrations.
[53:45.300 --> 53:45.520]  Great.
[53:45.760 --> 53:46.640]  Well, accurate to the time.
[53:46.880 --> 53:47.160]  Yeah.
[53:47.800 --> 53:49.560]  They just keep hanging out with the monkey.
[53:49.820 --> 53:52.320]  ...and 12 fascinating issues of Zoo Books for the special price of $25.
[53:52.320 --> 53:53.400]  This one's on camels.
[53:54.600 --> 53:58.180]  I like that you know that there was a discussion about...
[53:58.180 --> 53:59.000]  Oh, nice.
[53:59.100 --> 54:02.480]  ...plus you also get the colorful collection of animal stickers and the tiger poster.
[54:03.140 --> 54:04.640]  Tiger poster's so sick.
[54:04.660 --> 54:07.060]  ...and send learning and fun to a child you love.
[54:08.140 --> 54:12.900]  The thing I remember a lot about that was him having the conversation with the mailman.
[54:13.480 --> 54:16.720]  Like, the mailman is so excited to give him the Zoo Books.
[54:17.180 --> 54:18.600]  Like, he's thrilled. Like, watch.
[54:19.140 --> 54:21.680]  He's like, I read half of it on the way over here. It's fucking awesome.
[54:21.680 --> 54:24.120]  Oh, you're not gonna believe what happens in this one.
[54:24.400 --> 54:26.700]  Page 17. Praying mantises.
[54:27.760 --> 54:35.360]  Oh, man. But Zoo Books was definitely one that I saw a lot in tandem with the Sears air conditioning commercial.
[54:36.180 --> 54:39.400]  I'm not sure if a camel can carry an entire Zoo Book, though.
[54:39.420 --> 54:41.980]  I agree. I agree with you. 100%.
[54:43.980 --> 54:46.760]  Andrew, your honorable mention. Anything you want to say about it?
[54:47.000 --> 54:52.700]  Yes. It is another PSA type ad. This was the one that I thought of more as a kid.
[54:52.820 --> 54:55.400]  I preferred this one over the hippos. It wasn't as iconic.
[54:55.780 --> 54:59.380]  There are some kids in here that I thought were fucking cool as a little kid.
[55:00.120 --> 55:00.520]  Alright.
[55:00.920 --> 55:02.920]  That are not cool at all, but here we go.
[55:07.940 --> 55:10.820]  Oh, this is a thing that it looks like you would love.
[55:11.360 --> 55:12.880]  This kid was so cool.
[55:13.520 --> 55:14.140]  Oh, wow.
[55:16.100 --> 55:16.620]  Bugs.
[55:20.540 --> 55:22.660]  It's like every cool thing ever.
[55:23.080 --> 55:24.480]  This kid was so cool.
[55:35.680 --> 55:37.000]  This is a great commercial.
[55:40.260 --> 55:45.240]  This is a really 90s feeling commercial, which means it came out in 2005 in Canada.
[55:50.420 --> 55:52.900]  This feels like a 1999 thing.
[55:53.360 --> 55:54.680]  So, man.
[55:54.880 --> 55:56.260]  Dude, what a fun commercial, though.
[56:02.060 --> 56:02.960]  What's your thing?
[56:04.300 --> 56:05.520]  Andrew, what's your thing?
[56:06.940 --> 56:09.240]  I wish my thing was T-Rex noises.
[56:09.660 --> 56:11.760]  I'd give a lot to be a T-Rex noise guy.
[56:12.360 --> 56:16.040]  I would say my thing, unfortunately, is bad ankles and a lot of pillows.
[56:16.300 --> 56:19.620]  I think I'm fucked up on what my thing should be.
[56:20.460 --> 56:22.880]  Man, they really cared about advertising to children in Canada.
[56:23.680 --> 56:24.360]  Yeah, they seem to.
[56:25.040 --> 56:26.720]  They really wanted to protect them.
[56:27.100 --> 56:27.720]  Oh, there's so many.
[56:28.280 --> 56:30.140]  Andrew, can I ask you a question, Andrew?
[56:30.420 --> 56:30.920]  Of course.
[56:31.220 --> 56:32.200]  Do you feel protected?
[56:36.060 --> 56:37.560]  I feel pretty protected, yeah.
[56:37.740 --> 56:39.240]  Mainly because of my unbreakable nose.
[56:39.360 --> 56:41.360]  I think that may have carried me quite a bit in life.
[56:41.680 --> 56:44.080]  But, I mean, do you feel like Canada was looking out for you?
[56:44.420 --> 56:45.980]  And they protected you through your childhood?
[56:46.700 --> 56:47.480]  Yeah, I guess.
[56:47.620 --> 56:50.380]  Yeah, I didn't feel they were against me, at the very least.
[56:51.100 --> 56:57.520]  I mean, the idea of having an ad that makes you question the realism of the ad, that's mind-blowing to me.
[56:57.600 --> 56:58.800]  I never had anything like that.
[56:59.620 --> 56:59.860]  Yeah.
[57:00.360 --> 57:04.960]  Do you think all the little Canadian kids in Vancouver with boot prints on their chests feel protected?
[57:07.320 --> 57:07.720]  Well...
[57:07.720 --> 57:08.240]  They don't.
[57:08.360 --> 57:08.580]  Yeah.
[57:09.500 --> 57:10.820]  Thankfully, there aren't many of us.
[57:11.140 --> 57:11.500]  That's true.
[57:11.880 --> 57:13.100]  Alleged. Beyond one.
[57:14.320 --> 57:14.720]  Alleged.
[57:17.840 --> 57:19.200]  Well, there you have it.
[57:19.300 --> 57:21.420]  Those are TV commercials, and we watched them.
[57:21.760 --> 57:22.660]  Why are... hang on.
[57:22.800 --> 57:23.600]  Are you doing the outro?
[57:24.240 --> 57:25.060]  No, I was just saying.
[57:25.320 --> 57:25.900]  Maybe. I don't know.
[57:26.320 --> 57:29.600]  I just... I thought Gavin did such a good intro, I want Gavin to do the outro.
[57:30.220 --> 57:34.560]  Gavin, take it away. I gave you a sample outro. You can use that one, or make your own.
[57:36.120 --> 57:37.520]  Where did you leave... where did you stop?
[57:38.220 --> 57:41.420]  I said, yeah, well, there you have it. We made some commercial... we watched some commercials.
[57:44.040 --> 57:44.360]  Thanks...
[57:45.100 --> 57:46.200]  Thanks for watching The Draft.
[57:47.840 --> 57:49.780]  Hopefully you watched it, and you didn't just listen to it.
[57:52.600 --> 57:54.660]  See you next one.
[57:54.660 --> 57:55.720]  You're so bad.
[58:00.700 --> 58:02.080]  Well, help me out. Do it properly.
[58:02.580 --> 58:02.800]  No!
[58:03.260 --> 58:05.940]  We need somebody to make a commercial on how to do an outro.
[58:07.880 --> 58:08.780]  Oh my god.
[58:10.380 --> 58:12.500]  Maybe if Andrew could rap it to you.
[58:12.660 --> 58:14.500]  Oh, maybe you can rap us out, Gavin.
[58:15.420 --> 58:17.440]  Well, I'll let Andrew do that, because he said all the milk practice.
[58:17.440 --> 58:22.520]  No, I'm not... hey, you've rapped before. There are videos of you rapping. I didn't let you lead the stage.
[58:26.850 --> 58:27.650]  Alright, what...
[58:28.230 --> 58:29.350]  Do the outro!
[58:31.270 --> 58:32.490]  What else do I need to say?
[58:33.430 --> 58:38.270]  You need to wrap it up somehow. I don't... do you feel like you left that on a strong ending?
[58:38.770 --> 58:46.090]  Hey, thanks for listening to another Draft from F*** Face. We hope you liked it. We've done a few of these in the past. We'll be doing a few in the future.
[58:46.490 --> 58:51.590]  Well, maybe you could find your favorite commercials from when you were a kid and send them to your friends as an adult.
[58:51.590 --> 58:56.470]  And you can say, hey, do you remember this commercial when you were a kid? And your friend can say, yeah, I also liked it.
[58:56.710 --> 58:59.030]  And then you guys can share a moment. Bye!
