[00:10.200 --> 00:11.160]  Can't hear anybody.
[34:50.630 --> 34:53.450]  And when you say... and I'd like to re-emphasize
[34:53.450 --> 34:55.490]  the point, the majority of Mondays...
[34:56.070 --> 34:57.710]  Yeah. Yes. Absolutely.
[34:58.110 --> 34:59.110]  Certainly not every Monday.
[34:59.530 --> 35:00.650]  But most Mondays.
[35:01.070 --> 35:03.110]  Gavin and Andrew, you guys are also welcome
[35:03.110 --> 35:05.530]  to be on it when you have time.
[35:06.270 --> 35:07.690]  The invitation's always there.
[35:09.190 --> 35:09.630]  Geoff,
[35:09.630 --> 35:11.450]  myself, and Emily are gonna be opening
[35:11.450 --> 35:13.390]  cards, and then maybe Gus will be there sometimes.
[35:13.550 --> 35:14.830]  Remember Gus? Remember him?
[35:15.290 --> 35:16.170]  He might be there sometimes.
[35:17.630 --> 35:19.370]  Jack'll invite himself on, for sure.
[35:19.750 --> 35:21.390]  No, he's busy. So...
[35:21.970 --> 35:23.570]  So, you know, we'll be...
[35:23.570 --> 35:25.350]  It'll be fun. Every Monday,
[35:25.490 --> 35:27.150]  4pm Central. So, there you go.
[35:27.630 --> 35:29.430]  Did you ever collect Gus's cards
[35:29.950 --> 35:31.150]  from... We have Gus's cards.
[35:31.230 --> 35:32.690]  He wants to open them. We're gonna do that.
[35:32.970 --> 35:34.530]  He's desperate to get rid of them, so we'll...
[35:34.530 --> 35:35.950]  He wants them gone so badly.
[35:35.950 --> 35:37.930]  Did you brand
[35:37.930 --> 35:38.670]  the Shocks?
[35:39.270 --> 35:41.210]  Not me. Nick did.
[35:42.290 --> 35:42.930]  Oh!
[35:43.650 --> 35:44.990]  I like it!
[35:45.590 --> 35:46.850]  Oh, dude.
[35:48.250 --> 35:49.890]  I wonder how that'd look
[35:49.890 --> 35:50.410]  on a foot.
[35:51.310 --> 35:52.450]  I don't wanna know.
[35:52.990 --> 35:55.830]  I talked to Tony because
[35:55.830 --> 35:57.730]  I had to send him your knives
[35:57.730 --> 35:59.270]  or... Oh, the forks. What were they?
[35:59.670 --> 36:00.910]  The forks. Forkspression.
[36:02.110 --> 36:03.470]  Forkspression. Fun forks.
[36:03.470 --> 36:04.930]  Yeah, I had a...
[36:04.930 --> 36:06.610]  I had a merch meeting and
[36:07.010 --> 36:09.110]  Tony was like, what about this thing? And I said, you gotta ask.
[36:09.170 --> 36:11.290]  I don't know. I don't know what to say about
[36:12.070 --> 36:13.490]  those. Oh! So, yeah.
[36:13.730 --> 36:15.350]  I just thought of a slogan for them.
[36:15.610 --> 36:17.730]  Oh, what's the slogan? Forkspressions.
[36:17.930 --> 36:18.810]  Eat your feelings.
[36:19.450 --> 36:21.370]  Wow! I don't... You couldn't use those.
[36:21.370 --> 36:22.810]  I like that. There's just no way.
[36:23.190 --> 36:24.650]  No, you definitely could. Uh-huh. Yeah!
[36:25.590 --> 36:27.430]  I could send them to Gavin and he'll try them
[36:27.430 --> 36:29.510]  because he's already poisoned, so it can't get worse.
[36:29.830 --> 36:30.970]  That's true. Gavin, are you still alive?
[36:30.970 --> 36:32.750]  Yeah, I'm still here. Yeah, I'm good.
[36:34.190 --> 36:34.910]  Hey, Andrew?
[36:35.430 --> 36:37.110]  Yes? Just so we're on
[36:37.110 --> 36:38.250]  the same page, you're human.
[36:38.930 --> 36:41.070]  Yeah. Okay. Alright. You heard it.
[36:41.130 --> 36:42.790]  Why? Fair enough. No, no reason.
[36:43.770 --> 36:44.770]  Hey, I had an idea.
[36:45.710 --> 36:47.010]  I had an idea for a new
[36:47.010 --> 36:48.750]  draft I wanted to run by you guys.
[36:49.230 --> 36:50.850]  Okay. I don't want to, like,
[36:51.190 --> 36:53.130]  beat the drafts to death, but I kind of also
[36:53.130 --> 36:54.850]  want to keep doing them forever. Yeah.
[36:55.850 --> 36:57.230]  I don't know how feasible
[36:57.230 --> 36:58.830]  this one is to, like, to
[36:59.310 --> 36:59.710]  release.
[37:00.550 --> 37:02.630]  So it may be an idea that you guys say,
[37:02.830 --> 37:04.670]  hey, it's a cool idea, but we'll never do it because it
[37:04.670 --> 37:06.850]  would be hard to make. But wouldn't it be
[37:06.850 --> 37:08.930]  fun to do a funniest
[37:08.930 --> 37:10.650]  moments in film draft?
[37:11.570 --> 37:11.970]  Yes.
[37:12.470 --> 37:14.310]  Like, you pick the four funniest moments
[37:14.770 --> 37:16.730]  in film to you, and then we all present them.
[37:16.910 --> 37:18.550]  Because, Andrew, you were just talking about how
[37:18.550 --> 37:20.950]  you saw Dirty Work recently, and you and I
[37:20.950 --> 37:22.590]  were talking back and forth about
[37:22.590 --> 37:24.370]  our favorite moments from Dirty Work.
[37:24.510 --> 37:26.810]  And there's a moment that Gavin and I always reference that I
[37:26.810 --> 37:28.770]  think is one of the four funniest moments in the
[37:28.770 --> 37:30.710]  history of film. And that
[37:30.710 --> 37:32.830]  got me thinking about all my other favorite moments, and it'd be fun
[37:32.830 --> 37:33.930]  to share that in some way.
[37:35.010 --> 37:36.790]  I like that. We have the
[37:36.790 --> 37:38.450]  summer of 98 ranking
[37:38.450 --> 37:40.990]  coming out. Maybe that even could be a better format
[37:41.510 --> 37:42.950]  for... maybe it's not even a draft.
[37:43.070 --> 37:45.010]  Maybe it's, like, a debate.
[37:45.130 --> 37:46.070]  A consensus ranking.
[37:46.630 --> 37:48.250]  Potentially. Because the film will be aligned.
[37:48.730 --> 37:50.830]  Out of curiosity, how many of the 98 movies have
[37:50.830 --> 37:52.790]  you guys seen? Like, I know Gavin's seen
[37:52.790 --> 37:54.810]  ten. I've seen ten from your list.
[37:54.810 --> 37:56.050]  Yeah. Also,
[37:56.770 --> 37:58.610]  I haven't talked to TPG about this.
[37:58.870 --> 38:00.950]  He asked me about how the summer of 98
[38:00.950 --> 38:02.850]  movie stuff was going. I sent him...
[38:02.850 --> 38:04.610]  I ranked all of them, just personally.
[38:04.990 --> 38:06.110]  1 through 32
[38:06.770 --> 38:08.930]  of what I think the most summer of 98 film
[38:08.930 --> 38:11.190]  is in the least. And he sent me an audio
[38:11.190 --> 38:13.070]  clip of him reacting
[38:13.070 --> 38:14.530]  to my rankings and giving
[38:14.530 --> 38:16.570]  analysis on every
[38:16.570 --> 38:18.530]  pic. We should throw that into the
[38:18.530 --> 38:21.010]  end of our draft.
[38:21.430 --> 38:22.770]  Or something. It should definitely go somewhere.
[38:22.770 --> 38:24.750]  It's great. His analysis
[38:24.750 --> 38:25.710]  is fantastic.
[38:26.850 --> 38:28.670]  I'm counting. Hold on.
[38:28.850 --> 38:31.210]  You know, I think I have to put Basketball at number one.
[38:32.210 --> 38:33.010]  We'll see.
[38:33.350 --> 38:34.270]  We'll see about that.
[38:35.190 --> 38:36.330]  I think it could get contentious.
[38:37.030 --> 38:37.890]  Is Nick a movie guy?
[38:38.270 --> 38:40.910]  I don't know if Nick's a movie guy or not. Nick, are you a movie guy?
[38:42.130 --> 38:42.750]  He's just muted.
[38:43.010 --> 38:43.830]  Are you wearing a mask?
[38:43.990 --> 38:47.070]  He was unmuted the whole time and then muted himself
[38:47.070 --> 38:47.550]  to talk.
[38:47.930 --> 38:50.570]  Because, like, every audio engineer
[38:50.570 --> 38:52.450]  here at this company, it's
[38:52.450 --> 38:54.530]  backwards. And his audio is
[38:54.530 --> 38:54.930]  the worst.
[38:55.210 --> 38:58.610]  You spoke to him the second he got up to take a
[38:58.610 --> 38:59.570]  piss, is what it sounds like.
[39:01.350 --> 39:02.830]  Eric, do you know if Nick's a movie guy?
[39:03.190 --> 39:04.510]  I don't. I'm not
[39:04.510 --> 39:04.970]  sure.
[39:06.750 --> 39:08.690]  I would imagine he is. He's a radio
[39:08.690 --> 39:10.530]  guy, so I would imagine he's a movie guy.
[39:11.170 --> 39:11.850]  I bet he is, too.
[39:12.150 --> 39:14.570]  I would think so. I've seen 24
[39:14.570 --> 39:16.310]  of these films. You've seen 24?
[39:16.910 --> 39:17.210]  Wow.
[39:18.130 --> 39:19.710]  That's so many of them.
[39:20.250 --> 39:21.370]  Yeah, that's a lot of them.
[39:21.610 --> 39:23.390]  I'd have to do a count, but instead
[39:23.390 --> 39:25.350]  of waiting for me, Geoff should start talking
[39:25.350 --> 39:27.390]  about Vegas. God, do you think there's enough time
[39:27.390 --> 39:28.210]  left to talk about Vegas?
[39:28.670 --> 39:31.170]  I mean, we have another one, and also, yes,
[39:31.410 --> 39:33.390]  because it's, what, 40
[39:33.390 --> 39:35.530]  minutes right now? 35 minutes?
[39:36.230 --> 39:36.490]  Okay.
[39:37.690 --> 39:38.130]  So,
[39:39.150 --> 39:40.030]  last weekend,
[39:40.950 --> 39:42.990]  for the wedding, my
[39:42.990 --> 39:45.290]  soon-to-be father-in-law and soon-to-be
[39:45.290 --> 39:47.390]  brother-in-law invited me out to Las
[39:47.390 --> 39:49.170]  Vegas to watch NBA
[39:49.170 --> 39:51.270]  Summer League games as kind of like
[39:51.270 --> 39:53.390]  a bachelor's weekend kind of thing, you know?
[39:54.330 --> 39:55.050]  And, uh,
[39:55.130 --> 39:57.290]  I thought that was very sweet and kind of them, and
[39:57.290 --> 39:59.250]  we all kind of, like, bond over sports,
[39:59.350 --> 40:01.250]  and I am a huge NBA fan, obviously,
[40:01.430 --> 40:03.350]  and I've been to the Summer League once before and had the time
[40:03.350 --> 40:05.250]  of my life, and really wanted to relive that
[40:05.250 --> 40:07.350]  experience, and I also, the first time I did it,
[40:07.390 --> 40:09.330]  I did it completely by myself, so the idea of
[40:09.330 --> 40:10.530]  doing it with friends was cool, too.
[40:11.350 --> 40:12.730]  Uh, and so,
[40:12.730 --> 40:14.410]  I flew out Friday
[40:15.910 --> 40:16.630]  and got
[40:16.630 --> 40:18.810]  there, checked into my hotel, we were
[40:18.810 --> 40:20.950]  staying at the Wynn, and
[40:20.950 --> 40:22.870]  met up with my father-in-law
[40:22.870 --> 40:24.390]  and brother-in-law-
[40:24.810 --> 40:26.490]  I'll just call him father-in-law and brother-in-law, it'll be
[40:26.490 --> 40:29.010]  just around the corner, anyway. And, uh,
[40:30.170 --> 40:30.810]  hung out with
[40:30.810 --> 40:32.290]  him in the sports book and did a little
[40:32.290 --> 40:34.430]  bet on some horses, came out about even,
[40:34.930 --> 40:36.150]  and then went to, they
[40:36.570 --> 40:38.750]  invited me out to dinner at this Jose Andres restaurant
[40:38.750 --> 40:40.750]  called Bizarre Meats that we always eat at when we go to
[40:40.750 --> 40:43.070]  Vegas. Uh, my father-in-law
[40:43.070 --> 40:44.690]  is a huge, like, Jose
[40:44.690 --> 40:46.590]  Andres fan. Um, a lot of
[40:46.590 --> 40:48.830]  his charitable work and his food and stuff, and so I kind
[40:48.830 --> 40:50.710]  of thought it'd be cool for him to go to this restaurant
[40:50.710 --> 40:52.870]  because he'd never been before. And so
[40:52.870 --> 40:54.690]  they made a reservation, and
[40:54.690 --> 40:56.650]  we walked around a corner
[40:56.650 --> 40:58.750]  to a table that was
[40:58.750 --> 41:00.750]  full of people that I knew. And I was
[41:00.750 --> 41:02.910]  not expecting that. A real-life
[41:02.910 --> 41:04.270]  blindside, you might say.
[41:04.610 --> 41:06.910]  An incredible blindside.
[41:07.590 --> 41:08.910]  Uh, sitting around that table
[41:08.910 --> 41:10.910]  were my favorite people in
[41:10.910 --> 41:12.610]  the world that were boys. Um,
[41:12.790 --> 41:14.450]  my cousin Christopher, and Gavin,
[41:15.110 --> 41:16.770]  and Jack, and
[41:16.770 --> 41:18.970]  uh, that was it. We were planning it, and
[41:18.970 --> 41:20.930]  uh... Come on!
[41:21.470 --> 41:21.830]  Eric!
[41:24.270 --> 41:24.950]  We were planning
[41:24.950 --> 41:26.850]  it, and Kent was like, yeah, yeah, we
[41:26.850 --> 41:28.950]  should surprise him, uh, get to the
[41:28.950 --> 41:30.670]  meal before him and all that. And then we realized that we couldn't
[41:30.670 --> 41:32.890]  fly any time near
[41:32.890 --> 41:35.130]  when you were flying, because we were all coming from the same place.
[41:35.490 --> 41:37.010]  So we had to get an earlier flight.
[41:37.010 --> 41:39.010]  You were flying, what time did you fly, like 2 something?
[41:39.350 --> 41:40.930]  I flew out at like 2.30,
[41:41.050 --> 41:43.050]  I think, yeah. Yeah, we, uh, our flight took
[41:43.050 --> 41:43.850]  off at 8am.
[41:44.630 --> 41:47.050]  Mine was at 9. We all thought
[41:47.050 --> 41:49.070]  there's no way that we can fly around
[41:49.070 --> 41:50.570]  the same time Geoff is.
[41:50.830 --> 41:52.550]  Anyway, that's what most of us thought.
[41:53.230 --> 41:55.050]  You know what's funny about that too? I got to
[41:55.050 --> 41:57.110]  the airport a little early, uh,
[41:57.110 --> 41:58.410]  because I was bored, and so I
[41:58.890 --> 42:01.070]  tried to see how fast I could walk from the
[42:01.070 --> 42:02.970]  first terminal to the last terminal and back.
[42:03.230 --> 42:05.050]  So I absolutely, and I timed it,
[42:05.050 --> 42:06.830]  I absolutely would have run into
[42:06.830 --> 42:08.190]  anybody that was in that airport.
[42:08.570 --> 42:11.350]  How fast could you do it? It took me about 9 minutes
[42:11.350 --> 42:12.870]  to run into the other and back.
[42:13.090 --> 42:14.630]  Or, one into the other and then 9 minutes to go back.
[42:15.030 --> 42:17.110]  Yeah, we, uh, I woke up at 5am, and then
[42:17.110 --> 42:18.690]  we had, once we got to Vegas,
[42:18.890 --> 42:20.950]  we had 11 hours to kill.
[42:21.270 --> 42:22.090]  Ha ha ha!
[42:24.190 --> 42:24.990]  So what did
[42:24.990 --> 42:26.310]  you guys do for 11 hours?
[42:26.970 --> 42:29.010]  Uh, we had
[42:29.010 --> 42:30.730]  some mogs, um,
[42:31.610 --> 42:33.190]  we played roulette,
[42:33.190 --> 42:35.330]  and then we went
[42:35.330 --> 42:37.230]  to the pool. Can we
[42:37.230 --> 42:38.630]  talk about the roulette thing?
[42:39.250 --> 42:41.190]  What happened with roulette? Gavin
[42:41.190 --> 42:43.450]  told me earlier in the week
[42:43.450 --> 42:45.090]  that he has, like, a streak
[42:45.090 --> 42:47.190]  going in Vegas, where
[42:47.190 --> 42:49.250]  he only plays, was it, you only play
[42:49.250 --> 42:50.710]  like roulette, like one game?
[42:51.190 --> 42:53.110]  Yeah, I try and walk into a casino
[42:53.110 --> 42:55.250]  on my trip to Vegas, I put down $100
[42:55.250 --> 42:57.130]  on one color, and
[42:57.130 --> 42:58.630]  the last 4 trips to Vegas,
[42:59.150 --> 43:01.190]  I've won, and then I just
[43:01.190 --> 43:02.830]  take the $200 and I don't
[43:02.830 --> 43:03.530]  gamble again.
[43:05.210 --> 43:07.410]  So that's what he said
[43:07.410 --> 43:08.870]  in this text,
[43:09.550 --> 43:10.390]  and he's, uh,
[43:10.730 --> 43:12.930]  we were like, oh, he's put it on black or whatever,
[43:12.930 --> 43:14.890]  and I just said, like, I don't know, who can
[43:14.890 --> 43:15.830]  think about red?
[43:16.470 --> 43:18.570]  Yeah, I was flying to Vegas, I was texting Eric
[43:18.570 --> 43:20.790]  leading up to this trip, I was like, yeah, you know, I'm thinking
[43:20.790 --> 43:22.870]  it's black, it's gonna be black.
[43:23.850 --> 43:24.910]  Eric convinced me that red
[43:24.910 --> 43:25.850]  might be an option.
[43:26.270 --> 43:28.610]  All I said was, who bets on red?
[43:28.610 --> 43:29.770]  Red might be an option.
[43:30.570 --> 43:32.390]  He's playing this, like, I
[43:32.390 --> 43:34.210]  twisted his arm to do red.
[43:35.210 --> 43:36.170]  Not what happened.
[43:36.390 --> 43:38.850]  I simply inceptioned the idea
[43:38.850 --> 43:39.530]  into him.
[43:40.530 --> 43:42.130]  And then I thought it'd be- oh.
[43:42.590 --> 43:43.230]  That's just time.
[43:43.630 --> 43:45.130]  Thanks, man.
[43:46.250 --> 43:48.470]  Then I thought it'd be cool if, like, I put it
[43:48.470 --> 43:50.610]  to Eric and Jack, like, maybe you wanna bet
[43:50.610 --> 43:52.390]  with me, maybe you wanna bet against me,
[43:52.590 --> 43:54.130]  maybe get in on the same,
[43:54.290 --> 43:55.890]  yeah, get in on the same spin.
[43:56.310 --> 43:57.850]  So, Gavin lays
[43:57.850 --> 44:00.050]  down his- there's no one else at this roulette
[44:00.630 --> 44:01.910]  table. There's one other one
[44:01.910 --> 44:03.610]  and it's hopping. This one's empty.
[44:03.890 --> 44:05.870]  At the win. And, uh,
[44:06.150 --> 44:07.890]  Gavin walks over and we're trying to-
[44:07.890 --> 44:09.670]  oh, is it the time? Okay, yeah, okay, we're gonna do it.
[44:09.750 --> 44:11.090]  What color are you gonna go with? Whatever.
[44:12.210 --> 44:13.690]  Jack is like, I'm in for 60.
[44:13.750 --> 44:15.630]  I'm like, I'll put 40 in. You know, whatever.
[44:16.110 --> 44:17.810]  Let's see what happens. And
[44:18.290 --> 44:19.310]  Gavin picks red.
[44:19.990 --> 44:21.310]  So Jack picks red.
[44:21.830 --> 44:23.010]  And then I pick black.
[44:23.010 --> 44:24.910]  Oh, Aaron
[44:24.910 --> 44:26.870]  picking what he- what he twisted
[44:26.870 --> 44:29.050]  my arm away from. Yeah, twisted his arm.
[44:29.390 --> 44:31.010]  If Jack- if Jack would've
[44:31.010 --> 44:32.990]  picked black, I would've picked red.
[44:33.210 --> 44:35.010]  We just needed to do opposites so
[44:35.010 --> 44:37.070]  that way it paid out. And the
[44:37.070 --> 44:39.030]  dealer or whatever at the roulette
[44:39.030 --> 44:41.110]  table was like, oh good, now there's like some action
[44:41.110 --> 44:42.930]  like, you know, something's gonna happen.
[44:43.090 --> 44:45.230]  Ah. He spins
[44:45.230 --> 44:46.210]  the roulette wheel,
[44:46.990 --> 44:48.830]  spins the ball into it, it
[44:48.830 --> 44:51.050]  goes, and it hits
[44:51.050 --> 44:53.090]  double zero green, and we lost
[44:53.090 --> 44:53.790]  all of our money.
[44:55.430 --> 44:56.590]  Are you serious?
[44:56.810 --> 44:59.170]  We all just burst out
[44:59.170 --> 45:00.930]  laughing. I almost fell on the floor.
[45:01.450 --> 45:03.030]  And then we all
[45:03.030 --> 45:05.150]  just walked away from the roulette
[45:05.150 --> 45:06.910]  table having, between us, lost
[45:06.910 --> 45:08.870]  $200. And
[45:08.870 --> 45:11.090]  it might be the best- it might be the
[45:11.090 --> 45:12.830]  best loss of money of my life.
[45:12.910 --> 45:14.950]  It was so well spent. It was so funny.
[45:15.390 --> 45:16.970]  And we just couldn't believe it.
[45:17.390 --> 45:18.910]  Um, the roulette dealer
[45:18.910 --> 45:21.030]  was even shocked. He just had his mouth agape
[45:21.030 --> 45:22.410]  and he just went, I don't-
[45:22.410 --> 45:24.150]  I don't under- I don't know.
[45:25.010 --> 45:25.870]  That was it.
[45:27.210 --> 45:29.130]  Andrew, later that day
[45:29.130 --> 45:30.830]  after we finished dinner,
[45:31.030 --> 45:32.790]  we go, and there's
[45:32.790 --> 45:34.990]  roulette tables and craps. Jack is-
[45:34.990 --> 45:36.730]  you talk about twisting arms. Jack wants
[45:36.730 --> 45:38.350]  everyone to play fucking craps.
[45:38.710 --> 45:40.850]  Oh my god, dude. Jack has a problem.
[45:41.170 --> 45:42.490]  Jack's a craps guy.
[45:42.770 --> 45:44.670]  Yeah, Jesus Christ. He taught me how
[45:44.670 --> 45:46.770]  craps work. Yeah. We finally
[45:46.770 --> 45:48.850]  learned how craps works later in the trip.
[45:49.130 --> 45:50.790]  But, uh, he taught us
[45:50.790 --> 45:53.030]  some stuff. There's a roulette
[45:53.030 --> 45:55.130]  table, Andrew, and no one's at it.
[45:56.190 --> 45:56.930]  Gavin goes-
[45:56.930 --> 45:58.750]  I get weird when it's- when there's like a
[45:58.750 --> 46:00.630]  shitload of other people. Like, I don't really-
[46:00.630 --> 46:02.710]  I don't wanna mess it up, but I wanna like
[46:02.710 --> 46:04.890]  get in people's way. So I just wait until there's
[46:04.890 --> 46:06.770]  just literally no one at a roulette table.
[46:07.030 --> 46:08.070]  So Gavin went over.
[46:08.810 --> 46:09.810]  Another hundred bucks.
[46:10.890 --> 46:11.730]  On red.
[46:13.310 --> 46:14.150]  It spins.
[46:14.890 --> 46:15.410]  No.
[46:16.170 --> 46:18.230]  Well, first, you gotta say that, um, because
[46:18.230 --> 46:19.690]  now the group was bigger.
[46:20.070 --> 46:22.270]  So now, Geoff's father-in-law
[46:22.270 --> 46:24.290]  wants to get in on this action.
[46:24.530 --> 46:26.070]  He bets against me.
[46:26.350 --> 46:27.270]  He goes on black.
[46:27.870 --> 46:29.470]  So now there's some action, Andrew.
[46:30.930 --> 46:32.150]  No. It spins.
[46:33.150 --> 46:33.810]  No. Green.
[46:34.710 --> 46:35.230]  No!
[46:35.950 --> 46:37.650]  Again. Yep. No!
[46:38.250 --> 46:40.150]  I got danned. This is what happened to
[46:40.150 --> 46:41.890]  Dan when he was- my luck
[46:41.890 --> 46:44.190]  has run out. I've got Dan luck
[46:44.190 --> 46:46.030]  now. I think Dan has the luck.
[46:47.030 --> 46:48.110]  Gavin walked around
[46:48.110 --> 46:49.890]  in a daze all weekend.
[46:50.250 --> 46:51.290]  At one point,
[46:51.770 --> 46:54.010]  we walked by, we saw a place that was playing- where they were playing
[46:54.010 --> 46:55.670]  War. You know that game where it's just like
[46:55.670 --> 46:57.930]  high or low? And I- as a joke, I
[46:57.930 --> 46:59.890]  sat down, and it was
[46:59.890 --> 47:01.190]  like 25 bucks a hand.
[47:01.570 --> 47:03.870]  And so I just sat down and just played
[47:04.370 --> 47:06.030]  and with like- I put- I don't know.
[47:06.050 --> 47:07.690]  I played like five times and I came out even.
[47:07.750 --> 47:09.970]  And I was like, oh, that was pretty fun. That was actually more fun than I
[47:09.970 --> 47:11.970]  thought it would be. I go, Gavin, you should try it.
[47:12.010 --> 47:13.870]  And he goes, no, my luck is- I've lost my luck.
[47:13.990 --> 47:15.970]  It's terrible. And I go- he goes, I don't want to blow any more money.
[47:16.030 --> 47:17.090]  And I go, here's $100.
[47:17.670 --> 47:19.890]  Just sit down and play it. You're gonna have
[47:19.890 --> 47:21.630]  fun. You can't lose. It's 50-50.
[47:22.050 --> 47:23.990]  I swear to God. It goes, hand one
[47:23.990 --> 47:25.710]  gives you $25. Hand two
[47:25.710 --> 47:27.890]  gives you $25. Pull three gives you $25.
[47:28.110 --> 47:29.810]  Pull four gives $25. $100
[47:29.810 --> 47:31.610]  gone that fast.
[47:31.770 --> 47:33.490]  And he just got up. It was about 45 seconds.
[47:33.710 --> 47:35.770]  And also, it was like- the numbers were-
[47:35.770 --> 47:37.690]  it was like- my first card was a five.
[47:37.690 --> 47:39.390]  And then it was like, dealer seven.
[47:39.550 --> 47:41.670]  And then my number kept getting higher. Then I was like
[47:41.670 --> 47:43.250]  on a nine. It was like, oh, it was a jack.
[47:43.430 --> 47:45.490]  Then I got a queen. And the dealer has a king.
[47:45.570 --> 47:47.830]  It's like, I felt like I was gonna get there.
[47:48.050 --> 47:49.730]  And it just didn't work out for me.
[47:50.130 --> 47:51.690]  I pissed away that hundred.
[47:52.350 --> 47:54.190]  It was faster-
[47:54.190 --> 47:56.010]  he lost $100 faster
[47:56.010 --> 47:58.030]  at war than he did at roulette
[47:58.030 --> 47:59.170]  twice. Easily.
[47:59.410 --> 48:01.910]  I lost four times at war in the time
[48:01.910 --> 48:03.730]  it would have taken the ball to land at a color.
[48:03.730 --> 48:04.390]  Uh,
[48:06.950 --> 48:07.770]  Gavin's luck
[48:07.770 --> 48:09.870]  was so bad that when he tried to get
[48:09.870 --> 48:11.690]  more money out of the ATM
[48:12.550 --> 48:13.690]  it would not
[48:13.690 --> 48:15.350]  do it. And he tried
[48:15.350 --> 48:17.750]  seven times. That's why I had to give him
[48:17.750 --> 48:19.450]  $100 to encourage him to play.
[48:19.650 --> 48:21.710]  Well, I hit my withdrawal limit from my
[48:21.710 --> 48:23.750]  bank, which is apparently $400.
[48:24.450 --> 48:25.490]  And I think, honestly,
[48:25.690 --> 48:27.070]  I think that was for the best.
[48:27.250 --> 48:29.810]  It kept me from starting a losing
[48:29.810 --> 48:31.870]  streak that would have gone out of
[48:31.870 --> 48:33.770]  hand. Now you know
[48:33.770 --> 48:35.270]  why they have those withdrawal limits.
[48:36.430 --> 48:37.950]  Anyway, when no one was watching
[48:37.950 --> 48:39.830]  I went over to roulette and I put it on red
[48:39.830 --> 48:41.310]  and I hit. Great.
[48:41.770 --> 48:43.710]  Yeah. I watched
[48:43.710 --> 48:45.570]  Eric sneak away from everyone
[48:45.570 --> 48:47.710]  watching Jack play craps and I
[48:47.710 --> 48:49.710]  just found him on a roulette table just with a
[48:49.710 --> 48:50.390]  pile of chips.
[48:51.870 --> 48:52.410]  I made like $100.
[48:53.510 --> 48:55.770]  So I didn't see it. All I got
[48:55.770 --> 48:57.710]  to witness was Gavin's gambling failure.
[48:57.850 --> 48:59.650]  But you guys did tell me that Gavin at least
[48:59.650 --> 49:01.590]  had one very cool, smooth
[49:01.590 --> 49:03.010]  moment. Oh!
[49:03.450 --> 49:05.670]  Oh my God. If we
[49:05.670 --> 49:07.570]  were in our 20s, if we were younger
[49:07.570 --> 49:09.530]  men and this happened, it would have been
[49:09.530 --> 49:11.610]  like we would have waited until like the
[49:11.610 --> 49:13.570]  waitress walked away to congratulate Gavin.
[49:13.730 --> 49:15.350]  But we were at the pool.
[49:16.510 --> 49:17.750]  We were waiting for you guys.
[49:17.810 --> 49:19.550]  You're in the sun. It was nice. The waitress comes
[49:19.550 --> 49:21.490]  over and she goes, Oh, do you guys want a drink?
[49:21.770 --> 49:22.870]  So we ordered drinks.
[49:23.730 --> 49:25.410]  And she's like, Oh, do you want to charge them to the rooms?
[49:25.530 --> 49:26.410]  I said, Yep. And so
[49:27.290 --> 49:28.410]  Jack gives his room
[49:28.410 --> 49:30.530]  number and his last name. I give my room number and my last
[49:30.530 --> 49:32.230]  name and she goes, Oh, yours? And
[49:32.230 --> 49:34.190]  Gavin goes, Oh, you know
[49:35.170 --> 49:36.050]  $21.20
[49:36.910 --> 49:38.370]  free. And she goes,
[49:38.610 --> 49:39.470]  You have an accent.
[49:41.790 --> 49:42.550]  Not even
[49:42.550 --> 49:43.490]  you're British.
[49:44.270 --> 49:46.330]  You have an accent. She is
[49:46.330 --> 49:48.010]  maybe 20. I think.
[49:48.290 --> 49:49.550]  Maybe. And
[49:50.430 --> 49:52.550]  Gavin went, Yep. Absolutely.
[49:52.830 --> 49:54.310]  And then she went, Oh, I'm sorry. What was your
[49:54.310 --> 49:56.270]  last name? And he went, Free. F-R-E-E.
[49:57.090 --> 49:57.570]  Oh.
[49:57.990 --> 50:00.090]  You get anything free
[50:00.090 --> 50:02.230]  with that name? And he just
[50:02.230 --> 50:03.610]  went, Maybe this drink.
[50:05.470 --> 50:05.950]  Silence.
[50:06.550 --> 50:08.250]  And then me and Jack going,
[50:08.770 --> 50:10.150]  Oh, damn, man.
[50:10.570 --> 50:12.090]  We use that one all the time.
[50:12.170 --> 50:13.950]  Holy shit. Way to go.
[50:14.450 --> 50:15.850]  She gave a great grin.
[50:15.990 --> 50:18.270]  And then we just started celebrating
[50:18.270 --> 50:20.130]  the smoothness of the line
[50:20.130 --> 50:22.030]  before she left. And it was like,
[50:22.030 --> 50:23.390]  Oh, we're just a bunch of old nerds.
[50:23.390 --> 50:25.610]  Oh, the dorky shit. And Gavin went,
[50:25.850 --> 50:27.650]  I've never said that before in my life.
[50:28.870 --> 50:30.130]  Well, I think it was
[50:30.130 --> 50:31.890]  smooth because I said it with
[50:31.890 --> 50:33.890]  no hesitation. Like it just came out
[50:33.890 --> 50:35.490]  like I said it a thousand times.
[50:36.450 --> 50:37.690]  It didn't work either.
[50:37.770 --> 50:39.410]  It was a $28 drink.
[50:39.690 --> 50:41.670]  Oh, God. But yeah, I think I
[50:41.670 --> 50:43.610]  walked away from that thinking, Wow, maybe
[50:43.610 --> 50:44.810]  I've got game now.
[50:46.170 --> 50:47.730]  How was the drink, though? Was it good?
