[00:10.400 --> 00:11.460]  Alright, action.
[47:20.160 --> 47:23.020]  That's insane, Geoff. That's insane.
[47:23.640 --> 47:23.900]  Unexcusable.
[47:24.100 --> 47:26.000]  That is a joke of a university.
[47:26.820 --> 47:33.920]  Geoff is a, you know, a photographer, but if you give him something to film, he will give you footage of him handing the phone back to you.
[47:34.280 --> 47:37.500]  Yeah, but that's like Geoff, Geoffing it up. That's like...
[47:37.500 --> 47:39.840]  Yeah, it's a different level. If I did film it, it would be good.
[47:39.840 --> 47:44.080]  Jack is competent in every way outside of the fact that he doesn't know where the zoom is.
[47:44.260 --> 47:47.340]  He gives me a lot of shit for not eating the pencil yet.
[47:47.340 --> 47:51.460]  Jack is what? 52? Hasn't discovered a zoom function yet?
[47:53.840 --> 47:54.320]  52?
[47:56.020 --> 48:00.960]  At least. I mean, he, listen, he looks great. He's running.
[48:01.240 --> 48:05.500]  He does. Jack looks really good. He looks really good for 52. I agree.
[48:05.500 --> 48:06.660]  He does. He looks amazing.
[48:08.080 --> 48:08.620]  He really does.
[48:09.300 --> 48:15.560]  He keeps talking about this pencil. The man doesn't have a zoom fucking function to save his life, and he has a degree in Canvas.
[48:15.560 --> 48:25.000]  It's all those marathons he runs. They keep you young. You can be over half a century old, but if you run two marathons a year, you'd be in Jack's shape. That's great.
[48:25.160 --> 48:26.240]  I think that's how it works, yeah.
[48:26.860 --> 48:31.400]  So are we gonna watch that after this, or is it just gonna go up as a video and we can watch it then?
[48:31.400 --> 48:36.880]  Well, I figured you guys could look at it, and then if you guys like it, give it the approval, and we can release it.
[48:36.940 --> 48:40.600]  I don't know, when this comes out, maybe it could be like a Friday release on this one.
[48:40.600 --> 48:43.520]  So we'll have Fruit Throw, the Panton Cut, and the Free Cut.
[48:43.520 --> 48:47.700]  Well, I think we're clearly gonna release it, no matter what we think about it.
[48:47.720 --> 48:49.500]  Because now we've promoted it.
[48:49.720 --> 48:54.960]  And it's also, it's you and TPG, so it's obviously, if you recorded it, it's good enough to release.
[48:56.020 --> 48:59.120]  So yeah, we'll just make sure it comes out the week that this episode comes out.
[48:59.280 --> 49:06.680]  Can you imagine if we teased two Fruit Throw videos and did not release either one?
[49:06.960 --> 49:07.760]  That's a great point.
[49:07.760 --> 49:11.600]  That would be, I mean, like, it's just, yeah, we'll just, we'll put this out.
[49:11.740 --> 49:13.820]  It'll come out. They'll both come out, I guess.
[49:14.060 --> 49:20.600]  I mean, what other podcast offers a commentary by a guy who wasn't there and another guy from the sales department?
[49:21.840 --> 49:28.980]  And it's commentary, it's commentary on the largely unedited version of the final thing.
[49:28.980 --> 49:30.580]  It's a rough cut commentary.
[49:32.100 --> 49:37.000]  Listen, it was a great time. TPG is a legend in countless ways.
[49:37.760 --> 49:39.240]  Please watch his Green Life channel.
[49:39.840 --> 49:41.380]  So was this the first time you spoke to him?
[49:42.400 --> 49:44.160]  Yes. Like, audibly, yes.
[49:44.680 --> 49:49.820]  And I've, because I've seen you try and make small talk with members of the company.
[49:50.140 --> 49:52.800]  Was it, did it flow or was it really?
[49:52.880 --> 49:53.420]  Oh no, it was great.
[49:53.600 --> 49:55.440]  Like, was it foiguismo or was it awful?
[49:55.440 --> 49:58.480]  Oh, it was foiguismo. Yeah, absolutely foiguismo. 100%.
[49:59.160 --> 50:07.300]  Listen, I have, talking about teases, I want to say this thing, but he told us something that he wasn't sure if he was comfortable with.
[50:07.560 --> 50:11.760]  But I'm sure he wouldn't mind you guys knowing that he hasn't really told anyone before.
[50:12.100 --> 50:14.620]  I cannot wait for this recording to end to tell you guys.
[50:14.700 --> 50:17.200]  And it might turn into future content based on what he said.
[50:17.440 --> 50:22.960]  But it is maybe the greatest fact any person has ever told me about themselves.
[50:24.080 --> 50:25.960]  Oh shit, well I can't wait to hear that.
[50:25.980 --> 50:26.540]  It's really good.
[50:26.720 --> 50:27.300]  It's good.
[50:27.960 --> 50:31.960]  Oh, dude, can I tell you guys a really brief little story? Just real fast?
[50:32.160 --> 50:32.660]  Yeah, of course.
[50:32.840 --> 50:34.080]  I just remembered, I was just looking at my notes.
[50:34.660 --> 50:38.580]  So last night I had my return to trucks.
[50:38.740 --> 50:42.260]  I haven't played in a while, honestly, since I got back from the honeymoon, just because I've been tired.
[50:42.380 --> 50:44.840]  Like that fucking time change has fucked me up.
[50:45.120 --> 50:47.860]  It gets dark at like 5pm now and I'm ready for bed at like 7.
[50:48.240 --> 50:50.120]  So I haven't been staying up late and doing trucks.
[50:50.280 --> 50:53.020]  But last night I hopped on and played with Antonio, it was just Antonio and I.
[50:54.160 --> 51:00.840]  And last week or this week, I can't remember which, I released an episode of my So Alright podcast.
[51:02.020 --> 51:04.660]  Where for some reason, oh I was talking about the desert.
[51:05.060 --> 51:06.780]  And I found an old photo.
[51:07.160 --> 51:11.780]  It's actually cute, it's a photo of me and the army in the desert in front of some camels.
[51:12.120 --> 51:16.480]  And for some reason Millie has it framed in her bedroom, which I always thought was sweet.
[51:16.560 --> 51:20.780]  It's like, oh she loves me and she keeps this old photo of me when I was like 19 years old in the army.
[51:21.240 --> 51:22.840]  Goofy, I was like 80% ears.
[51:23.280 --> 51:24.880]  You know, I was just like this awkward kid.
[51:25.920 --> 51:29.260]  And I posted that on Instagram for So Alright as the cover.
[51:29.760 --> 51:33.080]  And Antonio last night, he goes, hey man I saw that photo of you in the army back in the desert.
[51:33.140 --> 51:33.840]  And I was like, oh yeah.
[51:33.900 --> 51:37.300]  And he goes, has anyone ever told you who you look like?
[51:37.300 --> 51:39.560]  And I thought, oh here we go, I know all the people that I'm told I look like.
[51:39.600 --> 51:44.320]  P.B. Herman, fucking Jean Reno, like whoever.
[51:44.720 --> 51:47.780]  And he goes, has anyone ever told you you look like Shane McGowan from the Pogues?
[51:48.500 --> 51:49.040]  Oh no!
[51:49.040 --> 51:50.300]  With better teeth.
[51:50.540 --> 51:53.240]  And I went, no, nobody's ever told me that.
[51:53.340 --> 51:54.420]  This is at 10 o'clock last night.
[51:54.800 --> 51:57.260]  I go, no, nobody's ever told me I look like Shane McGowan with the Pogues.
[51:57.440 --> 52:01.980]  And he sent me some young pictures of Shane McGowan when he was like on stage.
[52:02.100 --> 52:05.380]  And I do look a little bit like, with the hair and stuff, we kind of look similar.
[52:05.640 --> 52:08.820]  And then we finished playing trucks and I went to bed.
[52:09.060 --> 52:14.000]  And I woke up this morning and I picked up my phone and the first alert was Shane McGowan dead.
[52:14.260 --> 52:15.080]  He died.
[52:15.540 --> 52:15.980]  No!
[52:16.600 --> 52:18.140]  He died, what, after?
[52:19.100 --> 52:21.880]  Yeah, he died somewhere in the night after we talked about him.
[52:22.200 --> 52:22.640]  What?
[52:23.460 --> 52:26.440]  How fucking weird is this curse?
[52:27.140 --> 52:32.260]  I think the, um, what was the name of the woman in the, uh, in that Christmas song?
[52:32.800 --> 52:33.380]  The Pogues song?
[52:33.580 --> 52:33.960]  Leona Waddell.
[52:34.580 --> 52:34.800]  Nope.
[52:35.820 --> 52:37.980]  But I think she got killed by a jet ski.
[52:38.440 --> 52:39.500]  Or a boat.
[52:39.740 --> 52:40.020]  Or something.
[52:42.160 --> 52:43.280]  Are you serious?
[52:43.280 --> 52:49.320]  Either a boat or some sort of aquatic accident and it got a hair in the head or something.
[52:49.960 --> 52:50.800]  That would be...
[52:50.800 --> 52:52.420]  I guess the Pogues are very...
[52:53.120 --> 52:54.040]  Jesus Christ.
[52:54.260 --> 52:56.740]  Did you mention something about Matthew Perry?
[52:58.120 --> 53:01.200]  Oh, apparently we killed Matthew Perry somehow.
[53:01.480 --> 53:02.220]  We didn't.
[53:03.020 --> 53:03.900]  We didn't?
[53:03.900 --> 53:04.480]  What was that?
[53:04.640 --> 53:04.940]  No.
[53:05.580 --> 53:07.140]  Was it an immortality thing?
[53:07.680 --> 53:07.980]  Yeah.
[53:08.040 --> 53:11.140]  Did you mention an immortality, like Gavin was like, when did you record this?
[53:11.140 --> 53:14.640]  Yeah, I watched that and I was wondering if you recorded that before.
[53:14.860 --> 53:15.580]  But yeah, you did that.
[53:15.920 --> 53:19.340]  We recorded it months before, but then it released like the week he died.
[53:19.440 --> 53:20.340]  Or like right before he died.
[53:20.540 --> 53:20.700]  Yeah.
[53:21.020 --> 53:21.940]  We just have to stop.
[53:22.440 --> 53:23.800]  I was so sad about Matthew Perry.
[53:23.940 --> 53:25.640]  I still, like, get upset about it.
[53:26.200 --> 53:26.660]  We cannot.
[53:26.660 --> 53:28.300]  Yet Keanu Reeves walks among us.
[53:30.380 --> 53:33.260]  That's, I mean, Henry Kissinger died.
[53:33.380 --> 53:35.480]  Did we talk about, did we talk about Kissinger at all?
[53:36.520 --> 53:38.360]  You know, I don't think we have recently.
[53:38.360 --> 53:39.820]  Which is weird.
[53:39.900 --> 53:41.540]  You would have thought we would have, but...
[53:41.540 --> 53:43.500]  Have we talked about Bill Maher at all?
[53:45.400 --> 53:46.660]  I've tried this, Eric.
[53:46.880 --> 53:48.640]  I tried it for years with Rush Limbaugh.
[53:48.760 --> 53:49.300]  It didn't work.
[53:49.700 --> 53:50.660]  It, uh, yeah.
[53:51.080 --> 53:51.320]  All right.
[53:51.340 --> 53:51.800]  That's good to know.
[53:52.020 --> 53:53.400]  You can't point it at anyone.
[53:53.980 --> 53:54.300]  That's true.
[53:54.760 --> 53:58.840]  I, um, I had a thing on our food run that we're on at the moment.
[53:58.980 --> 54:03.500]  I, I wanted to take Meg to a restaurant last night to celebrate something.
[54:03.720 --> 54:07.100]  And, uh, she's been, she's been doing some writing and she hit a milestone.
[54:07.800 --> 54:12.060]  So I, I made a reservation at somewhere fancy, but shit.
[54:12.820 --> 54:13.960]  Uh, the Melting Pot.
[54:15.560 --> 54:17.880]  So I, so I, you know, I hit, I hit this button.
[54:18.400 --> 54:19.540]  Where's the Melting Pot?
[54:20.560 --> 54:21.460]  There's one nearby.
[54:22.080 --> 54:26.560]  Um, I, I, I went to hit this button and then I started filling out the reservation thing.
[54:26.580 --> 54:31.560]  And I noticed it said City of Interest instead of like the actual one I want to visit.
[54:32.040 --> 54:37.360]  And I realized I'd missed reservations and I hit the button above it, which was, uh, own a restaurant.
[54:39.040 --> 54:45.720]  And then I found this thing that says, uh, for $500,000, you can buy a Melting Pot.
[54:45.920 --> 54:51.560]  And to those who don't know, the Melting Pot is for some reason really expensive fondue, but it's actually not very good.
[54:51.980 --> 54:52.700]  It's okay.
[54:53.160 --> 54:54.740]  It's like classy shit food.
[54:55.600 --> 54:55.700]  Yeah.
[54:56.220 --> 54:57.900]  It's, it's cool in theory.
[54:57.900 --> 54:59.660]  Is that a picture of a hairy ball?
[55:00.740 --> 55:01.500]  Yeah, I think so.
[55:01.500 --> 55:03.520]  Someone's, uh, testicle there.
[55:04.000 --> 55:09.760]  But then I thought maybe, maybe, um, you know, if Unifarm fronts half a mil, we could have f*** face fondue.
[55:09.880 --> 55:11.060]  We could have our own Melting Pot.
[55:11.320 --> 55:15.220]  I think it'd be a nice, a nice sort of investment for us.
[55:15.540 --> 55:18.380]  You think the Melting Pot is the investment that we should get into?
[55:18.600 --> 55:20.060]  Franchising a Melting Pot?
[55:20.820 --> 55:22.700]  The place that you just said sucks?
[55:24.100 --> 55:26.300]  Nick, uh, yeah, Nick said, Eric, get the card.
[55:27.620 --> 55:30.920]  I just can't, I couldn't believe there was a button for it on the website.
[55:30.920 --> 55:33.460]  Like, surely you'd have to make a few phone calls before.
[55:34.380 --> 55:36.880]  How many phone calls and then you're okay with it?
[55:36.980 --> 55:38.440]  That it's no longer weird to you?
[55:40.240 --> 55:43.640]  What's the minimum amount of phone calls required to buy a restaurant in your head?
[55:43.660 --> 55:46.300]  I think buying a Melting Pot should be at least four phone calls.
[55:46.360 --> 55:52.560]  Yeah, I would hope that the first person you call just goes, you wanna own a what? A Melting Pot?
[55:53.140 --> 55:56.560]  Uh, and then that, and then you go, yeah, I guess it's just not a, yeah, it's not a good idea.
[55:56.600 --> 55:58.240]  I don't know what I was thinking. And then that would be it.
[55:59.340 --> 56:01.300]  So, uh, get the, get the card.
[56:01.920 --> 56:07.700]  So Gavin, let me ask you this. When you were at the Melting Pot, did you ask to speak to the owner and ask them if they filled out the form?
[56:08.040 --> 56:09.120]  Give me the ins and outs.
[56:09.620 --> 56:14.440]  Like, were you making a reservation somewhere and then you also clicked on the wrong link? Is that how you ended up here?
[56:15.740 --> 56:21.240]  But what I was, what I was fascinated by is that, A, there's a button for it. B, that it seems...
[56:21.860 --> 56:27.040]  I don't, I guess I just don't have any experience buying businesses, but I feel like franchising, I thought it would be more money.
[56:27.040 --> 56:36.400]  But also, if you don't have $500,000, there's a button below it that says, do you know someone who can help you get $500,000?
[56:37.580 --> 56:40.980]  They must be really clamoring to get more Melting Pots out there.
[56:41.020 --> 56:46.200]  That's a fucking sketchy-ass question to ask somebody this early on in the process.
[56:46.780 --> 56:51.480]  I think the $500,000 one is meant to drive away unserious offers, you know?
[56:51.520 --> 56:51.700]  Yeah.
[56:52.760 --> 56:58.260]  I understand that one, but you're right, the other one of like, it's okay if you don't, as long as you know somebody who does.
[56:59.540 --> 57:05.040]  You know, that gets a little kludgy. I actually think $500,000 is a lot of money to buy a franchise.
[57:05.660 --> 57:06.200]  Is it?
[57:06.680 --> 57:07.020]  Yeah.
[57:07.060 --> 57:09.200]  I just have no experience with how much that would be.
[57:09.260 --> 57:17.020]  I think that it's probably $240,000, and they put $500,000 to make sure that you, you know, you kind of like keep like the little, like the nickel and dime guys out.
[57:17.320 --> 57:19.580]  And they go, I got $500,000, and they're like, it's only $240,000, don't worry.
[57:19.580 --> 57:24.920]  What amount would you be happy with if Unifarm's face was going to get into the melting pot game?
[57:27.600 --> 57:29.120]  Andrew, what is he, what is he asking?
[57:30.360 --> 57:33.460]  How much money would you be prepared to spend to buy a franchise?
[57:33.600 --> 57:37.980]  By the sounds of it, by your reaction and sort of grunts, I'm thinking $500,000 is too much.
[57:38.620 --> 57:39.540]  Yeah, a little bit.
[57:39.860 --> 57:40.680]  So what's your number?
[57:41.460 --> 57:43.060]  I don't want the melting pot.
[57:43.780 --> 57:46.520]  Yeah, but if there was one going for a grand, you would take it, surely?
[57:47.060 --> 57:51.500]  Yeah, I guess, yeah, I mean, yeah, I guess I'd franchise the melting pot for $1,000.
[57:52.980 --> 57:56.880]  $2,500 is probably as high, I could go to three and that's about it.
[57:57.360 --> 58:00.660]  Have you, uh, have you ever been to a melting pot, Eric?
[58:01.040 --> 58:01.340]  Yeah.
[58:01.820 --> 58:02.180]  Okay.
[58:02.640 --> 58:04.260]  I, was that the end of your line of questioning?
[58:04.260 --> 58:06.460]  No, yeah, I was curious, yeah, me too, yeah.
[58:06.680 --> 58:08.020]  No, you speak from experience.
[58:08.220 --> 58:09.060]  Pass the interrogation.
[58:09.520 --> 58:09.700]  Yeah.
[58:10.620 --> 58:11.880]  I mean, I haven't.
[58:11.880 --> 58:14.320]  I can't defend the melting pot, I ate it at once.
[58:15.560 --> 58:18.320]  I mean, the one I went to is closed permanently, so...
[58:20.840 --> 58:23.780]  I guess I could go, Gavin, how much does it cost to reopen it?
[58:24.100 --> 58:26.320]  Somebody's out $500,000 in San Diego.
[58:29.960 --> 58:33.320]  Do you think it would be a worthy investment for us though, Gavin? Like, that's what I don't understand.
[58:33.780 --> 58:36.360]  Because you seem to hate it, but you want us to invest.
[58:36.400 --> 58:37.180]  You seem to hate it!
[58:37.180 --> 58:42.580]  I don't hate it, I like, it's fun and it's, it's decent food, but I'm always blown away by the final bill.
[58:43.320 --> 58:48.320]  But as people who are going to own the franchise, maybe that's good for us.
[58:48.660 --> 58:53.460]  Yeah. I mean, maybe we should, we should ask about sort of average, average numbers and stuff.
[58:53.920 --> 59:01.580]  And, think about this, you, if you are a franchise owner, or if we're franchise owners, we'll probably get a, like a pretty sweet discount when we eat there.
[59:03.220 --> 59:03.620]  Yeah.
[59:04.060 --> 59:06.820]  So, the more you eat there, the more money you're saving.
[59:07.660 --> 59:10.340]  Can't we own something else? Why do we have to own a melting pot?
[59:10.340 --> 59:13.840]  Because a lot of other places don't put the price of owning one on the website.
[59:14.760 --> 59:16.860]  You usually have to inquire about that amount.
[59:17.400 --> 59:23.780]  I feel like it was pretty, pretty obvious, Eric. He didn't accidentally click on another company's franchise opportunity. He accidentally clicked on this one.
[59:24.320 --> 59:30.640]  I will say, there was a thing where Quiznos was trying to get people to franchise again. This was like a few months ago.
[59:30.980 --> 59:36.260]  And I told Gus about it. And as soon as I started talking to Gus about it, he went, well, we're going to get to the bottom of this.
[59:36.260 --> 59:41.620]  And he went to the franchising website and put in for more information, and they never got back to him.
[59:43.300 --> 59:46.400]  Well, I just applied to own a melting pot, so we'll see what happens.
[59:47.920 --> 59:50.100]  What did you answer to the two questions?
[59:50.160 --> 59:51.000]  Did you say that you have the money?
[59:51.000 --> 59:57.320]  No, I said no. Oh, I meant to say yes in the other box, because I know Geoff and Gavin and you, Eric.
[59:57.600 --> 01:00:00.760]  Wait, so did you say no to both things?
[01:00:00.800 --> 01:00:02.880]  Yeah, I said no to both things.
[01:00:03.440 --> 01:00:05.620]  So, City of Interest, what did you put?
[01:00:06.260 --> 01:00:12.180]  I put my city, and then they force you to pick a U.S. state, so I picked Nanaimo, Texas.
[01:00:12.960 --> 01:00:17.940]  Okay, and so to the question, do you have 500 grand or do you know someone, you wrote no and no.
[01:00:18.180 --> 01:00:20.480]  No, and I meant to write no and yes.
[01:00:20.820 --> 01:00:24.260]  And what did you put to the question, why are you interested in owning a melting pot?
[01:00:24.440 --> 01:00:26.180]  Gavin said it would be a good investment.
[01:00:27.820 --> 01:00:28.480]  Well, yep.
[01:00:29.120 --> 01:00:30.460]  They said they'll get back to me.
[01:00:30.760 --> 01:00:31.560]  We're going to be rich!
[01:00:31.560 --> 01:00:33.340]  We're going to make a lot of money.
[01:00:35.140 --> 01:00:37.460]  I think Face Fondue could do well for us.
[01:00:37.760 --> 01:00:43.100]  Ooh, maybe some BTS sauce action with the fondue, bring it back, capitalize.
[01:00:43.100 --> 01:00:49.720]  He brings out his old McDonald's sauce when you order it, and he goes, oh, here you go, and he just throws it on the table.
[01:00:50.460 --> 01:00:56.680]  I need something to do with my bag of old McDonald's sauce. It's not pleasant, and it's large.
[01:00:57.100 --> 01:00:57.700]  Is it rotten?
[01:00:57.760 --> 01:01:00.420]  It takes up a lot of space. I'm scared to look.
[01:01:00.420 --> 01:01:02.300]  It's hidden in the back of the closet.
[01:01:02.900 --> 01:01:13.720]  Here's what we can do, right? We can turn the melting pot into a Hard Rock Cafe or Planet Hollywood, where we can have display cases with the BTS sauce.
[01:01:13.740 --> 01:01:18.340]  That's not making me feel good about my investment. Those businesses you just listed.
[01:01:18.980 --> 01:01:19.840]  They're still kicking.
[01:01:20.440 --> 01:01:23.420]  Are they? Is the Hard Rock still around? I just assumed...
[01:01:23.940 --> 01:01:28.440]  We saw the nicest Hard Rock on Earth at Key West.
[01:01:28.940 --> 01:01:31.520]  There's no way Planet Hollywood is still around.
[01:01:31.560 --> 01:01:33.260]  Planet Hollywood, I think, is gone.
[01:01:33.640 --> 01:01:34.980]  There might be one in London.
[01:01:36.560 --> 01:01:37.460]  Yeah, there's one in London.
[01:01:37.760 --> 01:01:41.420]  Yeah, I think there's just one in London, and then there's, like, a hotel in Vegas.
[01:01:41.420 --> 01:01:44.180]  Yeah, there's one in Vegas, yeah. Sounds like it's doing pretty well to me.
[01:01:44.760 --> 01:01:47.400]  Did you see all of the regulation sandwiches?
[01:01:48.160 --> 01:01:50.980]  I did. I compiled all the photos for you that you asked for.
[01:01:51.380 --> 01:01:54.520]  There were some phenomenal entries. Which one of all those was your favorite one?
[01:01:55.080 --> 01:01:58.860]  I thought we were just going to go through them and rank them, but we're kind of out of time.
[01:01:59.520 --> 01:02:00.120]  We've got an hour.
[01:02:00.520 --> 01:02:01.860]  Geoff didn't even get to talk about his honeymoon.
[01:02:02.520 --> 01:02:06.760]  Jesus Christ. Did you guys know there was a Planet Hollywood bombing in 1998?
[01:02:07.480 --> 01:02:08.600]  Is that why there's no more?
[01:02:09.220 --> 01:02:10.080]  Oh my God.
[01:02:11.080 --> 01:02:14.220]  There are six restaurants and five hotels operating.
[01:02:14.680 --> 01:02:17.580]  I am going to destroy the planet.
[01:02:18.620 --> 01:02:19.080]  Hollywood.
[01:02:19.840 --> 01:02:24.460]  Like a villain with a lower bar of what they're going to do.
[01:02:24.700 --> 01:02:29.280]  The one that you posted the picture of, Gavin, is also the one I thought was the most beautiful.
[01:02:29.580 --> 01:02:36.940]  I really liked the Christmas vibes in the background, the balaclava. We got some f***face gerple action.
[01:02:37.100 --> 01:02:41.920]  And also, I liked the angle of the sandwich. A lot of them were sort of more top-down.
[01:02:42.140 --> 01:02:48.320]  I feel like with the slightly open tilt, making it more of a Pac-Man stance for the sandwich,
[01:02:48.320 --> 01:02:53.140]  it really shows off the ingredients. Excellent lighting. And I would give that one the gold medal.
[01:02:53.400 --> 01:03:01.400]  I totally agree. I find it interesting. I've been lusting after pictures of regulation sandwiches all week.
[01:03:01.460 --> 01:03:06.600]  There have been so many of them and they all look so good. And I realized I've never eaten one.
[01:03:07.440 --> 01:03:08.220]  Me neither.
[01:03:08.480 --> 01:03:09.200]  Wait, none of us have.
[01:03:09.780 --> 01:03:13.220]  This is my pick. This is from Regular Pancakes on Reddit.
[01:03:14.220 --> 01:03:21.800]  They set up their sandwich and then teed off on it. Why?
[01:03:22.820 --> 01:03:25.800]  The bread flying is so funny.
[01:03:26.220 --> 01:03:31.420]  They did that and they did this. It's like, wow, that looks so good.
[01:03:31.860 --> 01:03:32.740]  I haven't seen these.
[01:03:35.920 --> 01:03:39.660]  Andrew, do you know who took the one that I ranked gold?
[01:03:39.980 --> 01:03:41.320]  No. No, I don't.
[01:03:41.320 --> 01:03:43.640]  I just took the photos.
[01:03:44.100 --> 01:03:44.680]  That's fine.
[01:03:45.620 --> 01:03:48.360]  Mine's from Regular Pancakes. That's my pick. They're my winner.
[01:03:48.660 --> 01:03:52.780]  But we do need to get together and make this sandwich in the dark just so we can all try it.
[01:03:52.820 --> 01:03:55.100]  Oh, that's right. I forgot we used to make it in the dark.
[01:03:55.680 --> 01:03:57.780]  Why do you forget all these things, Eric?
[01:03:58.960 --> 01:04:04.400]  Because I remember making the sandwich, but making it in the dark was, I think, something that was...
[01:04:04.400 --> 01:04:08.140]  It was like it was made in the dark and that was a funny thing. And then we kept going on the sandwich.
[01:04:08.400 --> 01:04:10.340]  I forgot about making it in the dark.
[01:04:10.720 --> 01:04:14.840]  I'm really excited to make one finally, whether in the dark or in the light or whatever.
[01:04:15.000 --> 01:04:18.780]  I really want to eat one. I want to see what our sandwich tastes like. I have no idea.
[01:04:19.400 --> 01:04:20.940]  Let's get it on the calendar.
[01:04:22.360 --> 01:04:25.980]  Okay. Well, we're going to do some... we have some stuff coming up.
[01:04:26.040 --> 01:04:28.920]  We're going to have some drafts, I think, that we're going to record.
[01:04:29.440 --> 01:04:31.220]  As of this recording, we're recording them tomorrow.
[01:04:31.420 --> 01:04:36.600]  So we should have some Yuletime drafts coming up soon.
[01:04:36.600 --> 01:04:41.100]  And then next week, we should have some Yuletime wax.
[01:04:41.440 --> 01:04:42.760]  So very excited about that.
[01:04:43.240 --> 01:04:49.640]  Yeah, and I guess next episode, I'll tell my two... my honeymoon stories.
[01:04:50.060 --> 01:04:56.500]  One of them involves me really misunderstanding the assignment.
[01:04:57.360 --> 01:04:58.380]  Oh no!
[01:04:59.800 --> 01:05:02.520]  I really got... I got the instructions wrong.
[01:05:03.240 --> 01:05:04.820]  So I can't wait to talk about that.
[01:05:04.820 --> 01:05:10.000]  But also, I have an idea for a new kind of supplemental content I want to pitch to you guys.
[01:05:10.100 --> 01:05:12.300]  I don't think I've pitched it to you yet.
[01:05:12.440 --> 01:05:12.840]  I'm excited.
[01:05:13.620 --> 01:05:16.280]  Have I told you... have we talked about the Wheel of Years?
[01:05:16.940 --> 01:05:17.140]  No.
[01:05:18.220 --> 01:05:18.620]  Okay.
[01:05:18.740 --> 01:05:19.640]  I don't think so.
[01:05:19.660 --> 01:05:22.800]  Remind me next episode to pitch the Wheel of Years to you guys.
[01:05:22.900 --> 01:05:24.100]  Okay, got it. I'm excited.
[01:05:24.120 --> 01:05:27.420]  So this is all for next... so we're not even getting to spoons this episode?
[01:05:27.620 --> 01:05:28.920]  The cliffhanger I was promised last time?
[01:05:28.940 --> 01:05:31.280]  Oh my god, we forgot spoons again!
[01:05:32.520 --> 01:05:34.300]  I'm gonna write that in my notes.
[01:05:34.520 --> 01:05:35.980]  So it's next time.
[01:05:36.380 --> 01:05:37.980]  I'm noting these things down.
[01:05:37.980 --> 01:05:39.580]  Here, I'll do it right now. It's real fast.
[01:05:40.380 --> 01:05:43.180]  What's the biggest problem you have with a spoon, Gavin?
[01:05:46.300 --> 01:05:48.380]  I don't know. I don't have a lot of problems with spoons.
[01:05:49.040 --> 01:05:52.940]  They don't... they're not sized specifically for your mouth.
[01:05:54.580 --> 01:05:58.320]  Everybody... mouths, Gavin! Mouths are like feet and boobs.
[01:05:58.440 --> 01:06:00.040]  They come in all different sizes.
[01:06:00.040 --> 01:06:05.420]  But what if we start a revolutionary business that measures your particular mouth
[01:06:05.420 --> 01:06:11.780]  and then designs the perfectly sized and shaped spoon for your specific needs?
[01:06:12.320 --> 01:06:17.620]  Well, when I eat, I maybe use up 20% of the capacity of my mouth per bite.
[01:06:17.900 --> 01:06:19.400]  Otherwise, I wouldn't be able to swallow.
[01:06:20.160 --> 01:06:22.080]  Geoff came in with some Rosa Parks quotes.
[01:06:22.300 --> 01:06:25.960]  I don't know where the... where this started was...
[01:06:25.960 --> 01:06:27.240]  What is a bite?
[01:06:28.480 --> 01:06:30.520]  Yes. Sorry, I was just writing that.
[01:06:30.680 --> 01:06:32.280]  This is just marketing material I had written down.
[01:06:32.380 --> 01:06:32.780]  What is a bite?
[01:06:32.800 --> 01:06:37.060]  How do you, like, define... because we're talking about if you have a foot-long sandwich,
[01:06:37.620 --> 01:06:40.240]  how many sandwiches could you put on a foot-long?
[01:06:40.540 --> 01:06:44.380]  And I think you need at least one bite-worth amount.
[01:06:44.700 --> 01:06:48.060]  So what is a bite? Is a bite the entirety of your mouth?
[01:06:48.420 --> 01:06:50.160]  I don't think it is. I think that's a mouthful.
[01:06:50.360 --> 01:06:53.800]  How many sandwiches are on a... can you put on a foot-long?
[01:06:54.260 --> 01:06:56.560]  Yeah, so you know how there are different types of sandwiches?
[01:06:57.580 --> 01:06:57.940]  Yeah.
[01:06:58.080 --> 01:06:59.420]  Do you understand that as an idea?
[01:06:59.920 --> 01:07:00.120]  Yeah.
[01:07:00.700 --> 01:07:03.860]  Yeah. Well, a foot-long is a foot-long piece of bread,
[01:07:04.000 --> 01:07:08.900]  and so the question was how many different types of sandwich could you make within that foot-long?
[01:07:09.000 --> 01:07:13.440]  Yeah. Like, this is an Italian sub, this portion, and then this portion is a regulation sandwich,
[01:07:13.560 --> 01:07:17.120]  and then this portion is pastrami, and then this portion is... I don't know.
[01:07:17.560 --> 01:07:21.040]  We should have wrapped this show up. Gavin's not... there's no oxygen going on over there.
[01:07:21.060 --> 01:07:22.020]  He's got a deficiency.
[01:07:22.780 --> 01:07:27.200]  It's like the... it's like the infinity pizza, but in foot-long form.
[01:07:28.000 --> 01:07:30.140]  Sure, but it was just how many could you have?
[01:07:30.580 --> 01:07:33.180]  Like, could you have 12 sandwiches in one foot-long?
[01:07:33.380 --> 01:07:36.100]  So there'd be basically inch strips of filling.
[01:07:36.820 --> 01:07:42.420]  So, yeah, but you'd have to... that was the question of, like, how much filling is required for each sandwich to be unique,
[01:07:42.880 --> 01:07:45.440]  and we determined the measurement would be a mouthful,
