[00:04.900 --> 00:06.400]  Previously on F**kface.
[34:08.850 --> 34:10.830]  90 minute movie. It's so absurd
[34:10.830 --> 34:12.790]  and there's so much funny stuff in it.
[34:13.250 --> 34:14.650]  It's a very awkward, like
[34:14.650 --> 34:16.590]  the guy that they're kind of following clearly
[34:16.590 --> 34:18.810]  is in love with this girl that has no interest
[34:18.810 --> 34:19.710]  in him at all.
[34:19.870 --> 34:22.730]  Their interactions are great. I wish
[34:22.730 --> 34:24.670]  I could remember what it's called. It's probably still
[34:24.670 --> 34:26.250]  on Netflix. It's dumb.
[34:26.550 --> 34:28.410]  It's a ridiculously stupid movie
[34:28.410 --> 34:30.530]  that is a lot of fun to watch. Should we get
[34:30.530 --> 34:32.730]  reflective on episode 100? Like what's our favorite
[34:32.730 --> 34:34.290]  moment from F*** Face so far?
[34:34.790 --> 34:36.450]  Wow. Favorite
[34:36.450 --> 34:37.990]  moment? What's the shittiest moment?
[34:38.450 --> 34:40.450]  The shittiest moment? Oh wow.
[34:40.890 --> 34:41.470]  Tater Tots.
[34:41.470 --> 34:43.170]  Yeah, I think post-condiments
[34:43.170 --> 34:45.210]  was our all-time low.
[34:45.490 --> 34:47.350]  Condiments is the all-time low.
[34:47.530 --> 34:48.590]  That's a great call.
[34:49.310 --> 34:51.530]  That was not just like an all-time
[34:51.530 --> 34:52.450]  low for the show.
[34:52.970 --> 34:54.370]  They were editing the condiments.
[34:56.630 --> 34:57.790]  I would say
[34:57.790 --> 34:59.550]  that's the all-time low
[34:59.550 --> 35:00.870]  for our friendship, Geoff.
[35:01.350 --> 35:03.110]  Without a doubt. Like by a lot.
[35:03.350 --> 35:04.590]  Well, so far.
[35:05.070 --> 35:07.390]  So far. I don't know where the
[35:07.390 --> 35:09.430]  baseball thing ranked as far
[35:09.430 --> 35:11.510]  as your personal anger. The baseball thing
[35:11.510 --> 35:12.610]  was one bad day.
[35:13.190 --> 35:15.190]  I was angry
[35:15.190 --> 35:17.230]  about the Tater Tots. That is true.
[35:17.470 --> 35:18.950]  And it felt like a thing that would linger.
[35:19.290 --> 35:21.330]  We just had to move on. I was bummed
[35:21.330 --> 35:22.150]  about the baseball thing.
[35:22.870 --> 35:24.870]  I was angry about the Tots.
[35:26.050 --> 35:27.470]  It was a strange
[35:27.470 --> 35:29.230]  of all things. It was like a religious
[35:29.230 --> 35:31.330]  argument where not only did we view the other
[35:31.330 --> 35:33.290]  side as wrong, we could in no way see
[35:33.290 --> 35:35.310]  how they could view it as right. Like there was
[35:35.310 --> 35:36.710]  no compromise or middle ground.
[35:36.710 --> 35:38.470]  We were so locked in
[35:38.470 --> 35:39.670]  to our definitions.
[35:40.070 --> 35:42.890]  I think my favorite moment so far
[35:42.890 --> 35:44.870]  is very recent.
[35:45.010 --> 35:46.810]  And I think it was Andrew's
[35:46.810 --> 35:48.650]  reaction to looking at the bean hole
[35:48.650 --> 35:50.610]  pictures. I just loved that moment.
[35:52.950 --> 35:54.150]  I couldn't...
[35:54.530 --> 35:56.690]  Oh, it was
[35:56.690 --> 35:58.750]  a problem. It's one of
[35:58.750 --> 36:00.410]  the hardest I've ever laughed.
[36:00.810 --> 36:02.690]  For sure. I think the hardest
[36:02.690 --> 36:04.790]  not to pivot away from reminiscing
[36:04.790 --> 36:06.450]  about the show. I don't think I've told this story
[36:06.450 --> 36:08.850]  on the show once. I laughed so
[36:08.850 --> 36:11.050]  hard one time, I nearly fainted.
[36:11.410 --> 36:12.790]  Like genuinely nearly
[36:12.790 --> 36:14.930]  fainted. I was playing PUBG
[36:15.610 --> 36:16.790]  and I was playing with some
[36:16.790 --> 36:18.870]  friends. And you know
[36:18.870 --> 36:20.790]  like, have you ever seen... I know Geoff will definitely
[36:20.790 --> 36:22.710]  be aware of this play. But are you aware
[36:22.710 --> 36:24.810]  of the Larry Bird steal, Gavin?
[36:24.950 --> 36:26.530]  Where it's like he reads the floor
[36:26.530 --> 36:28.790]  before anything happens. He like sprints to the
[36:28.790 --> 36:30.810]  exact right... Like he just knows what's
[36:30.810 --> 36:32.830]  gonna happen and he reads it and he executes it
[36:32.830 --> 36:34.830]  perfectly. Like he knows
[36:34.830 --> 36:36.790]  the play. It's a fantastic play to watch. It's one of the
[36:36.790 --> 36:38.470]  greatest moments in the history of basketball.
[36:38.770 --> 36:40.130]  But it's like being... Oh, it's basketball?
[36:40.610 --> 36:42.930]  Yeah, it's a basketball thing. But it's like being in the zone
[36:42.930 --> 36:44.670]  it's like he knew what was gonna happen
[36:44.670 --> 36:46.890]  he read it, he fucking predicted it and he executed
[36:46.890 --> 36:48.390]  it. I was playing PUBG
[36:48.910 --> 36:50.470]  and my friend was like
[36:50.470 --> 36:52.710]  in the bottom of this hill and he was
[36:52.710 --> 36:54.570]  getting sniped at from all angles and there's
[36:54.570 --> 36:56.750]  a big tree next to him and he got tagged
[36:56.750 --> 36:58.290]  by a sniper and he's like, I'm down.
[36:58.750 --> 37:00.370]  And so I turn and I see this car
[37:00.370 --> 37:02.470]  and I have my Larry Bird moment
[37:02.470 --> 37:04.590]  of I see like, okay, I'm gonna get in the car
[37:04.590 --> 37:06.190]  I'm gonna drive it to the tree
[37:06.190 --> 37:08.630]  the car will then be like a barricade
[37:08.630 --> 37:10.490]  for us. I'm gonna pick up my friend
[37:10.490 --> 37:12.430]  and we're gonna go and escape. This is
[37:12.430 --> 37:14.090]  fucking... I've got this. So I get in the car
[37:14.090 --> 37:16.490]  I hit drive. I immediately run
[37:16.490 --> 37:18.550]  my friend over and crash into the tree
[37:18.550 --> 37:20.550]  at full speed. I kill him
[37:20.550 --> 37:22.010]  immediately and crash the car
[37:22.010 --> 37:24.390]  and I laughed so hard like all
[37:24.390 --> 37:26.590]  the air shot out of my body and I felt
[37:26.590 --> 37:28.430]  like I was gonna faint. Like I was starting
[37:28.430 --> 37:30.530]  to go down a little bit but I
[37:30.530 --> 37:32.490]  crashed the car and I'm still in
[37:32.490 --> 37:34.650]  a war zone. So like I'm trying to gather
[37:34.650 --> 37:36.370]  myself so I'm not fainting while
[37:36.370 --> 37:38.430]  laughing and I'm just getting sniped at
[37:38.430 --> 37:40.070]  from all sides and I'm like
[37:40.070 --> 37:42.450]  I gotta get out of here. So I hop in the car
[37:42.450 --> 37:44.510]  and I go but I'm like barely
[37:44.510 --> 37:46.390]  like I'm fainting. I'm like
[37:46.390 --> 37:48.230]  in and out of it as I'm driving the car.
[37:48.390 --> 37:50.630]  Could you just not breathe in? I couldn't breathe
[37:50.630 --> 37:52.690]  and I just couldn't stop. I was just laughing
[37:52.690 --> 37:54.570]  so hard that like the lights
[37:54.570 --> 37:56.630]  were going out and I'm just driving
[37:56.630 --> 37:58.450]  away. It was like in a movie where a guy
[37:58.450 --> 38:00.490]  got shot and he gets in the car and like barely
[38:00.490 --> 38:02.270]  escaped. I was almost out of vision.
[38:02.430 --> 38:03.990]  Yeah I was having tunnel vision
[38:03.990 --> 38:06.610]  the whole thing. I can imagine you
[38:06.610 --> 38:08.490]  just sat intensely at your screen
[38:08.490 --> 38:10.730]  like starting to slump over.
[38:11.430 --> 38:12.610]  That's exactly like
[38:12.610 --> 38:14.570]  my head went down. I was
[38:14.570 --> 38:16.550]  like holding myself up on my desk with
[38:16.550 --> 38:18.630]  my arms. If you would ask me going
[38:18.630 --> 38:20.670]  to my friend like the odds of this
[38:20.670 --> 38:22.010]  working the way I wanted it to,
[38:22.210 --> 38:24.490]  a hundred percent. I've never been more
[38:24.490 --> 38:26.390]  confident that anything was going to work
[38:26.390 --> 38:28.210]  in my life and I immediately
[38:28.210 --> 38:30.390]  ran him over and killed him. And then just
[38:30.390 --> 38:32.430]  crashed into the tree because I was laughing
[38:32.430 --> 38:34.410]  so hard as soon as I failed.
[38:34.590 --> 38:36.230]  It was a disaster. You should have saved a clip.
[38:36.770 --> 38:38.670]  I wonder if I have that. I might.
[38:39.030 --> 38:40.450]  I should look. Yeah you should
[38:40.450 --> 38:42.330]  look for that. That is a great...
[38:42.330 --> 38:44.310]  Nick picked the sewing machine
[38:44.310 --> 38:46.390]  argument. The sewing machine argument is a
[38:46.390 --> 38:48.370]  great one because that was at the end
[38:48.370 --> 38:50.490]  of an episode that none of us were all that happy
[38:50.490 --> 38:52.470]  with. We're like that wasn't that great
[38:52.470 --> 38:54.490]  and then we ended and then
[38:54.490 --> 38:56.550]  it was 30 minutes of sewing machine
[38:56.550 --> 38:58.510]  talk that was not at all supposed to be
[38:58.510 --> 39:00.470]  part of the episode. I don't think we were even
[39:00.470 --> 39:02.590]  recording at that point and if it wasn't
[39:02.590 --> 39:04.510]  for Craig, I don't think we would have
[39:04.510 --> 39:05.170]  had that audio.
[39:07.690 --> 39:08.650]  I think...
[39:08.650 --> 39:10.410]  Talking about your... that PUBG
[39:10.410 --> 39:12.530]  incident making you laugh. One
[39:12.530 --> 39:14.650]  of my favorite memories of the podcast
[39:14.650 --> 39:16.450]  has got to be
[39:16.450 --> 39:18.490]  before the podcast. It was when I
[39:18.490 --> 39:19.910]  had the idea for
[39:19.910 --> 39:22.110]  the beef bracelet and then
[39:22.110 --> 39:24.090]  as I was having that idea, I realized I wanted
[39:24.090 --> 39:26.010]  to make a commercial and so I rode my
[39:26.010 --> 39:28.110]  bike down to the park to film
[39:28.110 --> 39:29.190]  it and
[39:29.790 --> 39:31.950]  I was laughing. I was trying not to laugh
[39:31.950 --> 39:34.170]  out loud. But I was laughing internally
[39:34.170 --> 39:35.930]  at all the people that were watching me
[39:35.930 --> 39:37.950]  ride up and down this path over and over
[39:37.950 --> 39:39.110]  again doing multiple takes.
[39:39.770 --> 39:42.050]  Filming with one hand while I was eating beef jerky
[39:42.050 --> 39:43.170]  off my wrist with the other.
[39:43.610 --> 39:45.930]  No hands on the bike and just people looking at me just trying
[39:45.930 --> 39:47.650]  to have their lunch before they go back to work.
[39:47.650 --> 39:49.510]  I was just going back and forth. I probably did
[39:49.510 --> 39:51.470]  eight times. Just
[39:51.470 --> 39:52.470]  looking like a lunatic.
[39:53.210 --> 39:55.590]  I didn't know that. That's really funny. I didn't
[39:55.590 --> 39:56.890]  realize it took you so many takes.
[39:57.390 --> 39:59.310]  You gotta get it just right, man. It's a commercial.
[39:59.690 --> 40:01.490]  Yeah, super important too. It's the
[40:01.490 --> 40:02.510]  debut of Uniform.
[40:03.130 --> 40:05.510]  Show it off in the best light. What about you, Eric? Have you
[40:05.510 --> 40:06.750]  ever had a good time making this?
[40:08.450 --> 40:08.850]  I
[40:09.710 --> 40:11.750]  love the middle of every episode
[40:12.390 --> 40:14.030]  and then despise
[40:14.030 --> 40:15.610]  the end of every episode.
[40:15.610 --> 40:17.710]  I think that's typically how this goes
[40:17.710 --> 40:19.690]  where it's like, look, I told you guys
[40:19.690 --> 40:21.630]  beforehand. This is episode 100. We're only
[40:21.630 --> 40:23.610]  recording one, so I don't want you to feel like we have
[40:23.610 --> 40:25.810]  to be constrained to an hour, so that's fine. Typically,
[40:26.270 --> 40:27.650]  we do have to be constrained for an
[40:27.650 --> 40:29.690]  hour because these are hour-long shows and we
[40:29.690 --> 40:31.790]  sometimes do two or other things are going on.
[40:32.270 --> 40:33.690]  So the middle of
[40:33.690 --> 40:35.610]  every episode, I really, really,
[40:35.710 --> 40:37.570]  really love. But the end is just
[40:37.570 --> 40:39.410]  so difficult
[40:39.410 --> 40:41.970]  when it doesn't need to be. I think the worst
[40:43.190 --> 40:43.990]  is when
[40:44.730 --> 40:46.110]  Geoff is like wrapping
[40:46.110 --> 40:47.950]  it up because he knows it's time to go and then
[40:47.950 --> 40:49.910]  Andrew just sort of like side
[40:49.910 --> 40:52.050]  swipes with like the
[40:52.050 --> 40:54.030]  most inane shit and it's like, just
[40:54.030 --> 40:55.910]  save it. What are you doing? I remember one where
[40:55.910 --> 40:57.990]  Andrew just sat in the middle of the outro
[40:57.990 --> 40:59.910]  and was like, you ever watch shit on
[40:59.910 --> 41:00.270]  Quibi?
[41:10.850 --> 41:12.010]  Oh, by the way,
[41:12.010 --> 41:13.910]  I'm back, guys. Derek's
[41:13.910 --> 41:15.590]  gone. I'm sitting on my desk like normal.
[41:16.210 --> 41:17.730]  So the Tattoo Sog is over.
[41:17.950 --> 41:20.050]  You have my full attention now. I apologize for being
[41:20.050 --> 41:21.710]  half in, half out for the first half.
[41:21.710 --> 41:24.070]  That was a great bit.
[41:24.770 --> 41:25.730]  I'm blown away.
[41:26.230 --> 41:27.250]  I really didn't expect that.
[41:27.730 --> 41:29.690]  I really just wanted to...
[41:29.690 --> 41:31.370]  In all seriousness,
[41:32.510 --> 41:33.670]  all kidding aside,
[41:34.690 --> 41:35.970]  I was talking about this with my
[41:35.970 --> 41:37.590]  therapist yesterday. I don't know how this happened,
[41:37.910 --> 41:39.450]  but this podcast has become,
[41:39.450 --> 41:41.410]  outside of my family, the most important
[41:41.410 --> 41:43.510]  thing in my life. And the last hundred
[41:43.510 --> 41:45.030]  episodes have
[41:45.970 --> 41:47.390]  helped me immeasurably
[41:47.390 --> 41:48.690]  in terms of
[41:49.270 --> 41:51.310]  getting through the pandemic and also
[41:51.310 --> 41:53.230]  in terms of my own mental health outside
[41:53.830 --> 41:54.970]  of the pandemic.
[41:55.630 --> 41:57.390]  And putting
[41:57.390 --> 41:59.530]  it on my body, it seems like the easiest
[41:59.530 --> 42:01.310]  decision in the world to make because it's just
[42:02.350 --> 42:03.550]  been... And also,
[42:03.970 --> 42:05.290]  I think it's...
[42:05.290 --> 42:07.630]  to be, I guess,
[42:07.630 --> 42:09.590]  a little more
[42:09.590 --> 42:11.690]  personal. I think it's maybe the best thing
[42:11.690 --> 42:13.550]  I've ever been a part of making. And
[42:13.550 --> 42:15.930]  it's really nice to feel at almost 47
[42:15.930 --> 42:17.670]  like I haven't plateaued
[42:17.670 --> 42:19.410]  and that we're still capable... I'm still capable
[42:19.410 --> 42:21.790]  of contributing in a way
[42:21.790 --> 42:23.850]  that gets
[42:23.850 --> 42:25.330]  progressively better as time goes on.
[42:25.470 --> 42:27.430]  You don't want to feel like... You don't want to
[42:27.430 --> 42:29.630]  realize you're on the back nine and you're
[42:30.850 --> 42:31.290]  retreating.
[42:31.830 --> 42:33.350]  And I don't feel like that
[42:33.350 --> 42:35.430]  every time I'm on this podcast, which is really nice.
[42:35.430 --> 42:37.310]  I've been blown away recently at how
[42:37.310 --> 42:39.370]  pretty much my favorite thing of every week
[42:39.370 --> 42:41.190]  came out of the middle of the pandemic.
[42:42.170 --> 42:43.570]  To the point where I'm like, wow.
[42:44.170 --> 42:44.390]  I'm
[42:45.770 --> 42:47.530]  not glad it happened, but just like,
[42:47.590 --> 42:49.530]  wow, I don't think we would have made this necessarily if it wasn't
[42:49.530 --> 42:50.910]  for the pandemic. I know.
[42:51.290 --> 42:53.490]  It's this weird kind of conflict
[42:53.490 --> 42:55.430]  of probably...
[42:56.050 --> 42:57.650]  Well, not probably. I would definitively
[42:57.650 --> 42:59.530]  say the most fun I've had working
[42:59.530 --> 43:01.610]  on anything and just getting to be part
[43:01.610 --> 43:03.510]  of something that I think is so special
[43:03.510 --> 43:05.710]  and fun being
[43:05.710 --> 43:07.450]  created due to a
[43:07.450 --> 43:09.610]  horrible event that
[43:09.610 --> 43:11.010]  impacted the entire world.
[43:11.070 --> 43:12.450]  It impacted all of us personally.
[43:13.670 --> 43:15.550]  I can't imagine what it would
[43:15.550 --> 43:17.550]  have been like going through those times without
[43:17.550 --> 43:19.690]  this show. Just being able to
[43:20.230 --> 43:21.330]  have a time
[43:21.330 --> 43:23.670]  every week, especially when things were...
[43:23.670 --> 43:25.330]  Now we're kind of in a place right now where
[43:25.330 --> 43:27.390]  we're kind of getting back in the swing of things and
[43:27.390 --> 43:29.570]  the schedule isn't always consistent, but when we were
[43:29.570 --> 43:31.250]  in the heart of the pandemic,
[43:31.690 --> 43:33.370]  knowing that every week I was going
[43:33.370 --> 43:35.490]  to get to have one hour to play with my friends
[43:35.910 --> 43:37.010]  was so special.
[43:37.210 --> 43:39.370]  And it's been so wonderful to have
[43:39.370 --> 43:41.330]  that time. And also just like the
[43:41.330 --> 43:42.450]  audience has talked about.
[43:43.650 --> 43:45.410]  I interact with the audience quite a bit
[43:45.410 --> 43:46.890]  and I hear a lot of how meaningful
[43:46.890 --> 43:49.050]  it has been to have this space as listeners
[43:49.050 --> 43:51.090]  for them. And it's just
[43:51.090 --> 43:53.230]  I think been equally important for us
[43:53.230 --> 43:55.530]  to have this space. So as much as they thank us
[43:56.610 --> 43:57.410]  for creating
[43:57.410 --> 43:58.910]  the show and doing what we do,
[43:58.910 --> 44:00.910]  we owe so much to them as well
[44:00.910 --> 44:02.910]  for supporting our show and allowing us to
[44:02.910 --> 44:04.770]  go these hundred episodes and
[44:04.770 --> 44:06.250]  have this space for ourselves.
[44:06.510 --> 44:08.910]  I literally had that conversation with someone
[44:08.910 --> 44:10.950]  recently where they were like, yeah, you know, really helped me through the
[44:10.950 --> 44:12.970]  pandemic. And my response was like,
[44:13.250 --> 44:14.690]  dude, me too.
[44:14.890 --> 44:16.330]  Thanks so much for watching it.
[44:17.630 --> 44:18.590]  I equally
[44:18.590 --> 44:19.230]  need it.
[44:20.750 --> 44:22.850]  We certainly didn't talk about it
[44:22.850 --> 44:24.830]  in this content, but I
[44:24.830 --> 44:27.170]  did go through an entire nervous breakdown
[44:27.170 --> 44:29.090]  during year one of
[44:29.090 --> 44:29.950]  The F*** Face Podcast.
[44:30.570 --> 44:33.130]  Had to take a step away
[44:33.130 --> 44:34.610]  from my job and
[44:34.990 --> 44:36.510]  go through some intensive therapy.
[44:36.970 --> 44:38.530]  And this
[44:39.550 --> 44:41.010]  podcast was such an
[44:41.010 --> 44:42.770]  anchor in my life
[44:42.770 --> 44:44.850]  of positivity that I was able
[44:44.850 --> 44:46.770]  to forget about all of that for an hour
[44:46.770 --> 44:48.030]  and five minutes or so
[44:48.750 --> 44:50.690]  a week. Which is honestly also
[44:50.690 --> 44:52.910]  why when Andrew swipes in
[44:52.910 --> 44:54.690]  with a quitty comment or whatever and I
[44:54.690 --> 44:56.650]  see an opportunity to extend the podcast another
[44:56.650 --> 44:58.150]  10 minutes, it's just like
[44:58.690 --> 45:00.910]  another 10 minutes of Shangri-La
[45:00.910 --> 45:02.750]  before you have to... Eric, come on!
[45:03.190 --> 45:04.530]  Before we have to go back to the real world.
[45:04.770 --> 45:05.470]  It's kind of true.
[45:06.330 --> 45:08.610]  So really, it's like when Eric wants us to
[45:08.610 --> 45:09.410]  stop recording,
[45:10.250 --> 45:12.130]  he wants to take that away from us.
[45:12.850 --> 45:14.370]  Yeah, it's been
[45:15.810 --> 45:16.810]  a wild
[45:16.810 --> 45:18.310]  journey. And the fact that
[45:18.310 --> 45:20.510]  how it came together too
[45:20.510 --> 45:22.770]  and the fact that this show has
[45:22.770 --> 45:24.790]  worked as well as it has in itself
[45:24.790 --> 45:26.830]  is absurd. We've never had
[45:26.830 --> 45:28.890]  a production meeting regarding this show.
[45:28.990 --> 45:30.750]  Everything about the creation
[45:30.750 --> 45:32.930]  and the process of making it
[45:32.930 --> 45:33.890]  is so absurd.
[45:34.750 --> 45:36.650]  But I'm just so incredibly
[45:36.650 --> 45:39.250]  thankful for you guys
[45:39.250 --> 45:40.070]  and Nick and Eric.
[45:40.190 --> 45:42.750]  I knew obviously Geoff and Gavin before this. I didn't know
[45:42.750 --> 45:44.890]  Eric or Nick. And it's just been so much
[45:44.890 --> 45:45.910]  fun meeting them
[45:46.830 --> 45:48.290]  and getting to... I don't know.
[45:48.590 --> 45:50.870]  It's been nice. This whole experience has been
[45:50.870 --> 45:51.230]  wonderful.
[45:52.390 --> 45:54.450]  Not to get too
[45:54.450 --> 45:56.810]  emotional on a podcast named F*** Face.
[45:59.050 --> 45:59.910]  It's really
[45:59.910 --> 46:00.550]  meant a lot.
[46:01.010 --> 46:02.890]  Thank you to everybody that has
[46:02.890 --> 46:05.310]  supported us in these 100 episodes.
[46:05.710 --> 46:06.330]  100 more?
[46:07.370 --> 46:08.570]  At least.
[46:11.110 --> 46:12.750]  I'm sitting here trying to figure out what to do
[46:12.750 --> 46:13.630]  for episode 1000.
[46:15.410 --> 46:17.030]  I've already done the tattoo thing.
[46:17.030 --> 46:18.210]  What year will that be?
[46:19.650 --> 46:20.970]  Eric, what year will that be?
[46:21.390 --> 46:22.730]  I think the thing that
[46:22.730 --> 46:25.010]  people don't realize is that this is the
[46:25.010 --> 46:27.030]  most creative, creative outlet I've
[46:27.030 --> 46:27.870]  ever experienced.
[46:29.530 --> 46:30.870]  We've been doing this for 19...
[46:30.870 --> 46:32.910]  I've been doing this for 19 years in other
[46:32.910 --> 46:35.270]  productions. This is certainly not the first or even the 50th
[46:35.270 --> 46:36.130]  production I've started.
[46:37.370 --> 46:38.910]  There's been nothing like it.
[46:39.110 --> 46:40.990]  It is unique in
[46:40.990 --> 46:42.890]  every way. And as I think
[46:42.890 --> 46:44.430]  Eric or Nick pointed out earlier,
[46:44.430 --> 46:46.470]  we started this
[46:46.470 --> 46:47.570]  because of the pandemic.
[46:48.550 --> 46:49.930]  And in that process,
[46:50.030 --> 46:52.290]  we had to move the entire company,
[46:52.430 --> 46:53.170]  the day job company,
[46:54.150 --> 46:56.570]  to an online work-from-home company.
[46:56.970 --> 46:58.030]  And so all of our productions
[46:58.030 --> 46:59.850]  ended up being work-from-home productions.
[47:00.090 --> 47:02.270]  And since the podcast, every one of them
[47:02.270 --> 47:03.810]  has gone back in person except for this one.
[47:03.950 --> 47:06.110]  This is the only production that we do
[47:06.110 --> 47:07.670]  that's all remote to this day.
[47:08.070 --> 47:10.370]  But at some point, one day, maybe in Vegas,
[47:10.710 --> 47:11.310]  it could happen.
[47:12.250 --> 47:13.810]  No, yeah, it's going to.
[47:14.010 --> 47:15.350]  No, yeah, we've committed.
[47:16.530 --> 47:17.490]  Not in May.
[47:17.650 --> 47:19.350]  In November. We've committed.
[47:19.550 --> 47:20.190]  We're doing it.
[47:20.850 --> 47:22.630]  We've committed. We've all said yes.
[47:23.310 --> 47:24.290]  Andrew said yes?
[47:24.630 --> 47:25.690]  Yeah, he did.
[47:26.130 --> 47:29.610]  I don't like the way that you said
[47:29.610 --> 47:30.550]  yes and then well.
[47:31.530 --> 47:32.450]  We've all committed.
[47:33.430 --> 47:33.710]  Yeah.
[47:34.770 --> 47:36.670]  I don't like the way you said yeah.
[47:37.150 --> 47:39.770]  Even the yeah has half a question mark
[47:39.770 --> 47:40.310]  on the end of it.
[47:40.370 --> 47:42.670]  Let me clarify this because I 100% committed.
[47:43.050 --> 47:45.430]  I didn't commit to a specific date, but I said I would do it
[47:45.430 --> 47:46.350]  and we agreed in October.
[47:47.070 --> 47:48.550]  I think that we've...
[47:48.550 --> 47:51.470]  I think we've looked at October and it might be
[47:51.470 --> 47:52.150]  early November.
[47:52.610 --> 47:55.150]  That's fine. You heard him say it.
[47:55.310 --> 47:56.710]  Everyone heard him say that's fine.
[47:57.030 --> 47:58.670]  I'm excited. I've never been to Vegas.
[47:59.130 --> 47:59.970]  It's going to be a great time.
[48:00.470 --> 48:02.090]  And I've never been to Vancouver Island.
[48:03.310 --> 48:05.070]  Listen, we've got bagels.
[48:05.330 --> 48:06.350]  We've got crabs.
[48:07.030 --> 48:08.390]  We've got everything you need.
[48:08.970 --> 48:10.810]  When can we go to Vancouver Island?
[48:11.410 --> 48:12.190]  That's a great question.
[48:12.450 --> 48:13.650]  When do you want...
[48:14.170 --> 48:15.390]  You're going to say as soon as possible.
[48:15.550 --> 48:16.170]  No, I mean...
[48:18.170 --> 48:19.370]  Not in May.
[48:20.190 --> 48:21.070]  Not in May.
[48:22.330 --> 48:23.990]  What's the best time of the year
[48:23.990 --> 48:25.850]  for Nanaimo?
[48:26.330 --> 48:27.890]  You probably want to go in the summer.
[48:29.190 --> 48:30.170]  Before November?
[48:31.850 --> 48:32.370]  Before...
[48:32.370 --> 48:32.850]  Yeah.
[48:32.850 --> 48:35.210]  Either this coming into the summer
[48:35.210 --> 48:35.950]  or the next year.
[48:36.370 --> 48:38.950]  You're giving us permission to come visit in the next
[48:38.950 --> 48:40.470]  two to three months?
[48:40.810 --> 48:42.670]  You can visit whenever you want. I don't care.
[48:43.310 --> 48:44.830]  You're welcome to come here whenever.
[48:45.310 --> 48:47.410]  You can visit whenever you want.
[48:47.590 --> 48:48.470]  I don't care.
[48:48.730 --> 48:51.050]  Are we going to see you while we're there?
[48:52.890 --> 48:53.710]  Of course.
[48:54.030 --> 48:56.330]  The way Gavin said that was like
[48:56.330 --> 48:58.330]  I'm gatekeeping the island in some way
[48:58.330 --> 48:59.970]  or that I don't want you guys here.
[48:59.970 --> 49:01.350]  I'd love for you guys to be here.
[49:01.390 --> 49:04.130]  By the way, Gavin and I just went to
[49:04.130 --> 49:06.390]  Seattle for like two days.
[49:06.790 --> 49:07.770]  We were like
[49:07.770 --> 49:09.790]  45 miles away from you.
[49:09.790 --> 49:10.630]  That's a great point.
[49:11.350 --> 49:13.730]  You could literally take a ferry from
[49:13.730 --> 49:15.090]  Seattle to the island.
[49:15.690 --> 49:16.810]  Yeah, you could take a ferry.
[49:17.390 --> 49:18.130]  I don't want to travel.
[49:18.530 --> 49:21.510]  We were 99% of the way there. We needed you to go
[49:21.510 --> 49:23.010]  1% of the way.
[49:23.110 --> 49:23.670]  I'm not traveling.
[49:23.690 --> 49:25.130]  And you had no interest.
[49:25.130 --> 49:27.070]  I'm not going to a different country.
[49:29.390 --> 49:31.450]  If you were in Vancouver, I'd gladly go.
[49:31.530 --> 49:32.590]  I'd take a boat
[49:34.050 --> 49:34.730]  within Canada.
[49:34.750 --> 49:36.730]  Here's what I think is really happening.
[49:37.470 --> 49:39.690]  While Andrew was peeping at the pissing woman,
[49:40.210 --> 49:41.230]  the police came in.
[49:41.350 --> 49:42.570]  They were trying to figure out what's going on.
[49:43.070 --> 49:45.250]  They confiscated his passport for two years.
[49:45.410 --> 49:46.970]  And I think he's waiting to get it back.
[49:47.190 --> 49:48.470]  I think something like that has happened.
[49:48.850 --> 49:51.190]  I think he is literally unable to travel.
[49:51.670 --> 49:53.510]  I actually was looking at my ID recently
[49:54.210 --> 49:54.690]  and I realized
[49:55.430 --> 49:57.330]  that I have long hair in my ID photo.
[49:57.470 --> 50:00.070]  So there's one photo that exists of me with long hair.
[50:00.250 --> 50:01.770]  It exists. It's just on my ID.
[50:02.650 --> 50:03.410]  Oh, God.
[50:03.890 --> 50:05.050]  But yeah, I could travel.
[50:05.270 --> 50:07.830]  I'm excited. Whenever you guys eventually come here...
[50:07.830 --> 50:09.630]  You could travel, but not till November.
[50:10.150 --> 50:11.730]  No, well, and leaving the country
[50:11.730 --> 50:12.710]  is a different matter.
[50:13.070 --> 50:15.510]  If it was a Canadian thing, I'd be gladly...
[50:16.090 --> 50:17.290]  What is this heck file?
[50:17.470 --> 50:18.970]  What did you just send, Gavin?
[50:19.470 --> 50:21.250]  I'm trying to see. I've just realized these are like
[50:21.250 --> 50:23.470]  high-efficiency photos.
[50:23.630 --> 50:25.990]  I'm not sure I can even do my slideshow.
[50:26.190 --> 50:27.290]  Wait, wait. So you're saying
[50:27.290 --> 50:29.150]  that the thing that you've teased for weeks
[50:29.590 --> 50:31.630]  is tied to a thing you cannot...
[50:31.630 --> 50:32.050]  we cannot see.
[50:32.050 --> 50:35.190]  Why aren't these JPEGs? Oh, man.
[50:35.870 --> 50:36.610]  Oh, boy.
[50:36.770 --> 50:37.710]  Do you want me to click this?
[50:37.850 --> 50:40.370]  I clicked it. It didn't do a fucking thing.
[50:41.330 --> 50:43.070]  File I can't open in my inbox.
[50:43.390 --> 50:44.830]  Do you have my banking information now?
[50:45.950 --> 50:47.250]  Down in this file...
[50:48.130 --> 50:50.410]  Let me see if I can save a freaking...
