[00:07.530 --> 00:08.250]  We're live!
[29:01.530 --> 29:01.730]  Boom!
[29:02.090 --> 29:02.930]  And then Matt Manning.
[29:03.230 --> 29:03.890]  So we'll set that aside.
[29:04.150 --> 29:06.970]  Man, that Easter egg parallel is really cool.
[29:08.430 --> 29:10.070]  Rodrigo in the chat is saying it's a little concerning
[29:10.070 --> 29:12.010]  how much of the chat is on the fence about Hitler.
[29:12.190 --> 29:12.450]  Guys.
[29:12.750 --> 29:13.430]  From Byron Buxton.
[29:13.950 --> 29:16.690]  Davis, Evan Carter, Michael Harris,
[29:17.770 --> 29:21.610]  Gleyber Torres, here's a Desert Dance-off.
[29:21.810 --> 29:23.610]  We got a Coco Montez rookie.
[29:24.150 --> 29:25.010]  Kyle Bradish.
[29:25.650 --> 29:26.970]  Then, oh, here we go.
[29:27.210 --> 29:29.850]  Here's a Jose Rodriguez.
[29:30.950 --> 29:31.970]  J-Rod?
[29:32.390 --> 29:34.170]  Different J-Rod.
[29:34.470 --> 29:35.850]  Jose Rodriguez, White Sox rookie.
[29:35.970 --> 29:38.590]  This is some sort of a teal or light blue parallel.
[29:39.030 --> 29:40.330]  And this is numbered to 50.
[29:40.810 --> 29:42.710]  So that is a huge fuckin' part.
[29:42.710 --> 29:43.130]  Nice!
[29:44.750 --> 29:47.230]  Then we have this Walker Bueller,
[29:47.850 --> 29:49.530]  appears to be a foil card.
[29:50.330 --> 29:50.910]  Right, yeah?
[29:51.370 --> 29:51.590]  Yeah.
[29:51.950 --> 29:52.650]  So that's cool.
[29:52.790 --> 29:53.590]  And we hate him.
[29:54.650 --> 29:55.350]  We hate him?
[29:55.450 --> 29:56.250]  Oh, because he's a Dodger.
[29:56.550 --> 29:58.910]  Pete Crow Armstrong rookie, and I love him.
[29:59.210 --> 30:00.850]  And then Ryan Geoffers.
[30:01.050 --> 30:01.250]  Okay.
[30:01.790 --> 30:03.010]  Making our way through.
[30:03.270 --> 30:04.430]  About halfway through the episode.
[30:04.930 --> 30:05.950]  Making our way through.
[30:06.930 --> 30:08.050]  This is gonna take me a lot of work
[30:08.050 --> 30:09.010]  to figure out what they're all worth,
[30:09.070 --> 30:10.610]  but oh shit, here we go again.
[30:10.770 --> 30:11.010]  Let's see.
[30:11.010 --> 30:13.610]  Brendan Rogers, this is a,
[30:13.730 --> 30:14.790]  I don't know what this parallel is.
[30:14.850 --> 30:15.330]  Do you guys get it?
[30:15.350 --> 30:18.010]  Would it be an egg, rabbit, flower,
[30:18.210 --> 30:19.950]  umbrella, watering can, or chicks?
[30:20.150 --> 30:21.150]  I think it's a flower?
[30:21.690 --> 30:22.490]  I think it's a flower.
[30:22.670 --> 30:23.390]  I think it's a flower.
[30:23.630 --> 30:24.610]  Okay, so Gracie, what does that look like?
[30:24.910 --> 30:25.550]  The background.
[30:27.150 --> 30:27.510]  Flower?
[30:29.830 --> 30:30.610]  Is feathers one of them?
[30:30.750 --> 30:31.490]  I think flower.
[30:31.910 --> 30:32.210]  Okay.
[30:32.370 --> 30:33.030]  But, yeah.
[30:34.970 --> 30:38.890]  Leodi Tavoris, Dane Meyers, Ryan Mountcastle is saying...
[30:39.510 --> 30:40.550]  He's touching the O.
[30:40.550 --> 30:41.990]  That's funny, too.
[30:42.270 --> 30:43.570]  He's fingering it, it's fine.
[30:44.550 --> 30:49.210]  Freddy Peralta, Craig, oh, Kevin Biggio.
[30:49.250 --> 30:50.510]  Sorry, his kid, I guess.
[30:51.230 --> 30:52.030]  Zach Remillard.
[30:52.330 --> 30:53.730]  Do you remember, do you remember,
[30:53.930 --> 30:55.050]  I am Dr. Remulak.
[30:55.190 --> 30:57.570]  I am Dr. Remulak, old Howard Stern.
[30:57.890 --> 30:58.610]  The guy that would call up
[30:58.610 --> 30:59.690]  and he would just say it over and over again.
[30:59.930 --> 31:00.750]  Oh, yeah, yeah, yeah, yeah.
[31:00.750 --> 31:02.070]  I am Dr. Remulak, yeah.
[31:03.390 --> 31:07.330]  Joe Ryan, Danny Jansen, it's the Dodgers.
[31:07.670 --> 31:08.070]  Hey!
[31:08.070 --> 31:08.110]  Boom!
[31:09.310 --> 31:12.790]  We got a Corbin Carroll blueprint, that's nice.
[31:14.490 --> 31:15.290]  Jazz Chisholm.
[31:15.770 --> 31:17.950]  Great baseball name, Jazz Chisholm, Jr.
[31:18.210 --> 31:20.310]  Andrew Abbott, Rookie Cup, we're gonna sleep that, too.
[31:20.950 --> 31:22.550]  Another thing to look for in these
[31:22.550 --> 31:24.310]  is they have these pretty rare parallels
[31:24.930 --> 31:28.190]  that are called vintage, they're on vintage card stock,
[31:28.250 --> 31:29.870]  and the only way to tell is that the Topps logo
[31:29.870 --> 31:31.330]  is the old-timey Topps logo.
[31:31.350 --> 31:31.710]  Oh, really?
[31:32.190 --> 31:34.270]  You really gotta fucking study Topps cards this year.
[31:34.370 --> 31:35.470]  I don't think I wanna do that.
[31:35.830 --> 31:36.790]  Well, they don't want you to,
[31:36.790 --> 31:38.690]  they're trying to get you to slow down.
[31:38.930 --> 31:41.230]  Reed Detmers, Brad Keller, they taste the Topps.
[31:41.230 --> 31:42.130]  Taste the Topps.
[31:42.170 --> 31:44.470]  Harold Ramirez, Grant Hartwig.
[31:44.530 --> 31:45.390]  As we go through these guys,
[31:45.490 --> 31:47.150]  just look at the Topps logo in the top left,
[31:47.210 --> 31:47.970]  let us know. Anthony Rizzo,
[31:48.050 --> 31:48.890]  yeah, let us know if I miss it,
[31:48.910 --> 31:49.370]  because I probably will.
[31:49.470 --> 31:53.270]  Bryce Elder, Joey Weimer, Rainer.
[31:54.110 --> 31:54.830]  Mackenzie Gore.
[31:55.490 --> 31:56.810]  What's the old logo look like?
[31:57.090 --> 31:59.970]  It's like a T, and it goes like that,
[32:00.070 --> 32:00.710]  and it's like, opsy.
[32:00.730 --> 32:00.910]  Okay.
[32:01.310 --> 32:03.130]  We got that Matt Manning blue parallel,
[32:03.470 --> 32:04.190]  let's leave that.
[32:04.190 --> 32:07.630]  Corey Seeger, MLB, is a star, I guess.
[32:08.370 --> 32:09.670]  All right, two more packs of Blaster.
[32:09.730 --> 32:11.030]  This Blaster has been really good.
[32:11.190 --> 32:11.990]  We've had a lot of luck.
[32:12.150 --> 32:13.490]  I had noticed a big pile of stuff
[32:13.490 --> 32:14.230]  that you had in my sleeve.
[32:14.410 --> 32:15.690]  I've opened a bunch of these at home,
[32:15.810 --> 32:17.390]  and I haven't got shit, so it's been nice.
[32:17.390 --> 32:17.830]  Backwards card.
[32:18.570 --> 32:20.910]  Here we got another, this Padres rookie,
[32:21.750 --> 32:23.230]  Matt Waldron flower parallel.
[32:24.710 --> 32:29.850]  J-Rod, Maurizio Dubon, that's funny.
[32:31.030 --> 32:36.330]  Brendan Donovan, Nick Robertson, three assholes.
[32:37.030 --> 32:37.850]  Lana Bray.
[32:37.910 --> 32:38.710]  Oh my God.
[32:38.930 --> 32:39.570]  I just don't wanna read them.
[32:39.950 --> 32:42.450]  Jared Triolo, Geraldo Perdomo.
[32:42.810 --> 32:44.770]  We got a Geoff Bagwell throwback.
[32:44.850 --> 32:45.230]  Oh, nice.
[32:45.270 --> 32:48.150]  I think Geoff Bagwell probably had worms a few times, right?
[32:48.290 --> 32:49.370]  Oh, I think you're right.
[32:49.610 --> 32:53.950]  Riley Greene, and then Cole Raggins.
[32:54.330 --> 32:57.670]  Was there another Bagwell in the MLB?
[32:58.290 --> 32:59.790]  I think it's Kidd, right?
[33:00.310 --> 33:01.010]  Is this Kidd?
[33:01.290 --> 33:02.070]  I don't know, I'm just guessing.
[33:02.210 --> 33:02.930]  Cavan Bagwell?
[33:05.630 --> 33:09.270]  If he has a kid who plays, he's probably on the Blue Jays.
[33:09.270 --> 33:10.590]  Those all have to stay together, too.
[33:10.930 --> 33:12.390]  I know, but I'm just checking.
[33:13.590 --> 33:14.310]  Dansby Swanson.
[33:14.630 --> 33:15.350]  That's a great baseball name.
[33:15.470 --> 33:16.010]  God, I love it.
[33:16.110 --> 33:16.930]  Nestor Cortez.
[33:17.030 --> 33:17.730]  Nestor's a good name, too.
[33:18.190 --> 33:19.230]  Some more dudes.
[33:20.630 --> 33:20.990]  Padres.
[33:21.270 --> 33:23.470]  Hey, all right, the city can actually handle Padres.
[33:24.650 --> 33:25.370]  Alex Kirilov.
[33:26.070 --> 33:26.790]  Patrick Corbin.
[33:26.970 --> 33:28.050]  Dave Schneider.
[33:28.170 --> 33:29.550]  How many Dave Schneiders do you think there have been
[33:29.550 --> 33:30.330]  through history?
[33:30.550 --> 33:31.450]  Like, in the world?
[33:31.570 --> 33:31.750]  Yeah.
[33:31.870 --> 33:32.190]  A lot.
[33:33.650 --> 33:34.370]  Braxton Garrett.
[33:35.970 --> 33:36.690]  Zach Gelof.
[33:37.130 --> 33:37.710]  Oh, cool.
[33:37.930 --> 33:38.330]  That'd be fun to talk about.
[33:38.330 --> 33:39.050]  That's almost your name.
[33:40.750 --> 33:41.290]  That's true.
[33:42.650 --> 33:43.770]  Stars of the MLB.
[33:45.330 --> 33:46.890]  Christian Encarnacion Strand.
[33:46.990 --> 33:47.650]  I don't know him yet.
[33:49.750 --> 33:50.470]  Christian Bethencourt.
[33:50.630 --> 33:52.150]  And then, got one of these Home Run Challenge cards.
[33:52.610 --> 33:54.090]  I don't know if I've ever shown these to you guys before.
[33:54.090 --> 33:54.730]  What is this?
[33:55.350 --> 33:56.910]  Oh, yeah, it's so fun.
[33:57.050 --> 33:58.970]  Topps does this little game every year
[33:59.590 --> 34:00.970]  where, if you get one of these cards,
[34:01.030 --> 34:02.610]  it says, pick a game for a shot to win.
[34:02.670 --> 34:03.950]  So, this is Ronald Acuña, Jr.
[34:04.270 --> 34:06.670]  So, you go on the back and you scratch this off
[34:06.670 --> 34:08.790]  and you enter in a code on the Topps website
[34:08.790 --> 34:11.450]  and you say, I think, and you can pick any game
[34:11.450 --> 34:12.910]  from the 162-game season.
[34:13.110 --> 34:17.470]  And you say, Acuña's gonna hit a homer in game 64.
[34:17.610 --> 34:20.950]  And if he does, they will mail you a special numbered card
[34:20.950 --> 34:22.870]  that's, like, numbered to 200,
[34:23.010 --> 34:24.470]  or I think however many people got it right.
[34:25.010 --> 34:27.550]  I did this a bunch when I was buying a bunch of baseball
[34:27.550 --> 34:29.850]  the year that Judge hit 60-whatever.
[34:30.450 --> 34:32.770]  And I got three Judge cards.
[34:33.010 --> 34:33.470]  Holy shit!
[34:33.530 --> 34:36.150]  I got these and I hit it right on three Aaron Judges.
[34:36.290 --> 34:38.290]  I have three pretty nice parallels.
[34:38.410 --> 34:39.030]  That's pretty wild, dude.
[34:39.030 --> 34:40.310]  And you took into consideration
[34:40.310 --> 34:42.230]  the field that they were playing at.
[34:42.430 --> 34:43.090]  I did, I did.
[34:43.170 --> 34:43.790]  I paid attention.
[34:44.610 --> 34:45.290]  Sleeve all these?
[34:45.710 --> 34:46.810]  No, no, they just go in there.
[34:47.130 --> 34:48.510]  Keep the home run challenge one.
[34:49.230 --> 34:50.890]  Sleeve that one, just so I can see it.
[34:51.030 --> 34:53.050]  Just so he can do the home run challenge.
[34:53.050 --> 34:54.410]  Yeah, I gotta go back and do it.
[34:54.510 --> 34:55.850]  Okay, so now we're gonna do hanger.
[34:55.990 --> 34:56.750]  Hangers are bangers.
[34:56.910 --> 34:57.510]  Everybody knows that.
[34:57.630 --> 34:58.710]  Everyone knows that.
[34:59.150 --> 35:01.050]  For retail, these are considered to be the best
[35:01.870 --> 35:03.410]  in terms of getting your return.
[35:08.280 --> 35:10.020]  I've recently given up on my dumb idea
[35:10.020 --> 35:11.780]  to build a house out of all the card boxes,
[35:12.020 --> 35:12.480]  so I'm throwing them away now.
[35:12.720 --> 35:15.440]  But all the card boxes are still in our storage unit.
[35:15.480 --> 35:16.320]  Next time we go to storage,
[35:16.440 --> 35:17.560]  I'll get them and I'll throw them away.
[35:18.500 --> 35:20.000]  It's a fuckin' waste of an awesome idea,
[35:20.120 --> 35:20.660]  but I'm gonna do it.
[35:20.660 --> 35:21.560]  That's all you have?
[35:21.700 --> 35:23.780]  Nolan Arenado, Gray Kessinger,
[35:24.500 --> 35:26.300]  Meryl Kelly, Louisa Brayes,
[35:26.680 --> 35:27.540]  Leo de Tavares.
[35:27.740 --> 35:29.060]  It's not because you didn't pressure me.
[35:29.200 --> 35:31.160]  I just have decided that I'm not gonna do it.
[35:31.560 --> 35:33.120]  Dane Meyers, Ryan Mountcastle.
[35:33.140 --> 35:33.840]  I just know me.
[35:33.960 --> 35:34.480]  Oh, he's touching that up.
[35:34.520 --> 35:34.960]  Again?
[35:35.200 --> 35:36.260]  William Contreras.
[35:36.480 --> 35:37.520]  Stop getting Ryan Mountcastle.
[35:37.520 --> 35:38.240]  He can't get enough.
[35:38.700 --> 35:40.940]  Prelander Baroah, Kenley Jansen,
[35:42.480 --> 35:44.020]  Framber Valdez, Tyler O'Neal.
[35:44.380 --> 35:45.380]  Which player do you not like,
[35:45.460 --> 35:47.160]  not because they're problematic,
[35:47.380 --> 35:49.380]  like all the sexual assault things.
[35:49.380 --> 35:51.240]  So which Dodger do I hate the most?
[35:51.440 --> 35:51.820]  Okay, sure.
[35:52.280 --> 35:52.920]  Willy Shohei?
[35:53.720 --> 35:55.420]  I mean, now probably, yeah.
[35:55.720 --> 35:57.140]  We'll just throw at him, it'll be fine.
[35:57.200 --> 35:57.920]  George Springer, boo!
[35:59.540 --> 36:00.420]  I'm gonna let you guys talk.
[36:00.460 --> 36:01.840]  Is that the whole point, to throw at him?
[36:01.980 --> 36:02.380]  Yeah, hopefully.
[36:02.500 --> 36:03.980]  Ooh, that Joe Musgrove card is sick.
[36:04.220 --> 36:04.660]  That's cool.
[36:04.800 --> 36:05.160]  Look at him.
[36:05.260 --> 36:05.680]  You want it?
[36:05.740 --> 36:06.180]  Look at him.
[36:06.740 --> 36:07.800]  No, I'm not gonna do anything with it.
[36:07.820 --> 36:08.380]  I just think it's cool.
[36:08.500 --> 36:09.360]  Colton Couser.
[36:09.760 --> 36:10.720]  I mean, it's probably...
[36:10.720 --> 36:12.100]  I wanna say Mookie Betts,
[36:12.120 --> 36:13.060]  but it's probably not Mookie Betts.
[36:13.120 --> 36:14.280]  Aw, he's so cute, though.
[36:14.360 --> 36:14.500]  Yeah.
[36:14.900 --> 36:15.360]  He is cute.
[36:16.020 --> 36:17.460]  Taylor Rodgers, Quinn Feaster.
[36:17.460 --> 36:18.860]  You like Freddie Freeman, though, right?
[36:18.940 --> 36:19.920]  You're a big Freddie Freeman fan.
[36:20.460 --> 36:21.320]  Alex Bregman.
[36:21.440 --> 36:23.700]  I think the Braves did him so dirty, that sucks.
[36:23.800 --> 36:24.420]  Choco Montez.
[36:24.420 --> 36:25.060]  Who's your favorite?
[36:25.240 --> 36:25.480]  Padres.
[36:26.400 --> 36:27.060]  That's tough.
[36:30.940 --> 36:32.400]  It's probably Manny Machado.
[36:32.940 --> 36:34.280]  It's, he's just...
[36:34.280 --> 36:35.720]  I love watching Manny Machado play.
[36:36.300 --> 36:37.640]  And people just hate him.
[36:37.780 --> 36:38.720]  People fucking hate him.
[36:39.940 --> 36:42.340]  Corey Seeger, yellow parallel.
[36:42.340 --> 36:45.140]  That is, man, I wish that the Rangers
[36:45.140 --> 36:47.820]  had a cool City Connect.
[36:48.000 --> 36:49.040]  It's almost cool.
[36:49.180 --> 36:49.900]  It's just so plain.
[36:50.120 --> 36:52.080]  Man, we're killing all these Jose Rodriguez, man.
[36:52.360 --> 36:54.000]  Yellow parallel, sleeve that.
[36:54.240 --> 36:54.660]  Get them all.
[36:55.000 --> 36:56.780]  Vlad Jr., 89 throwback.
[36:57.720 --> 36:59.920]  Speaking of, Freddie Freeman.
[37:00.240 --> 37:00.560]  Boo.
[37:02.100 --> 37:02.620]  Lubob.
[37:03.400 --> 37:04.120]  Not a leader.
[37:06.140 --> 37:07.560]  Sal Frelick, rookie.
[37:08.760 --> 37:10.380]  J-Rod, stars of the MLB.
[37:10.820 --> 37:11.420]  Oh, here we go.
[37:11.740 --> 37:13.920]  Willie, Willie Mays, Grand Games.
[37:14.660 --> 37:15.680]  That's a cool card.
[37:15.760 --> 37:16.100]  That's cool.
[37:16.180 --> 37:16.700]  Those are cool cards.
[37:16.780 --> 37:19.700]  They always do some kind of cool old-timey insert.
[37:19.980 --> 37:22.460]  Max Muncy, Jacob DeGrom, Alec Marsh, Joey Votto,
[37:22.720 --> 37:23.180]  Zach Wheeler.
[37:23.380 --> 37:23.600]  Max Muncy.
[37:23.880 --> 37:24.360]  Diego Moreno.
[37:24.500 --> 37:25.240]  You hate Max Muncy.
[37:25.340 --> 37:25.780]  I hate Max Muncy.
[37:26.360 --> 37:28.560]  Watching him slump was great.
[37:28.860 --> 37:29.520]  He slumped hard.
[37:29.600 --> 37:30.720]  Hasan Kim rules.
[37:31.580 --> 37:31.740]  Great.
[37:31.840 --> 37:32.420]  Tyler Soderstrom.
[37:32.840 --> 37:34.520]  Yeah, watching him slump was funny.
[37:35.640 --> 37:37.100]  You had sleeve Soderstrom.
[37:37.640 --> 37:38.940]  And then here, keep all those together.
[37:39.260 --> 37:39.680]  Soderstrom.
[37:39.980 --> 37:40.760]  Do you have the box?
[37:41.700 --> 37:42.140]  Yeah.
[37:42.380 --> 37:43.620]  That's how I've been keeping it tidy.
[37:44.100 --> 37:44.920]  That's good thinking.
[37:45.180 --> 37:45.640]  It's a good system.
[37:45.740 --> 37:46.060]  Thank you.
[37:46.100 --> 37:46.760]  It's a great system, Emily.
[37:46.760 --> 37:47.220]  Thank you.
[37:47.500 --> 37:50.760]  Okay, so what if we...
[37:50.760 --> 37:51.900]  Let's make something cool.
[37:51.980 --> 37:53.360]  We're gonna get something, like, cool.
[37:53.460 --> 37:53.940]  This is kind of like...
[37:53.940 --> 37:55.220]  Let's open this monster box.
[37:55.420 --> 37:56.240]  You know what's cool?
[37:56.440 --> 37:56.920]  Monster box?
[37:57.280 --> 38:00.360]  I do, I like Monster Mash, Monster Box, Monster Munch.
[38:00.480 --> 38:01.480]  So in this one, we're looking for
[38:01.480 --> 38:04.040]  89 Pops Baseball Foil Board cards.
[38:04.660 --> 38:04.740]  Okay.
[38:05.000 --> 38:05.740]  Foil Boyd.
[38:06.440 --> 38:08.340]  What does a foil board look like?
[38:08.720 --> 38:09.080]  I don't know.
[38:09.880 --> 38:10.280]  Okay.
[38:12.820 --> 38:13.980]  I don't know what you said.
[38:14.100 --> 38:14.660]  Not in front of Gracie.
[38:14.840 --> 38:16.040]  I don't know.
[38:16.640 --> 38:18.020]  I just don't know what it looks like.
[38:19.440 --> 38:20.900]  I just got no idea.
[38:21.120 --> 38:22.660]  Have you plugged Clutch My Pearls yet or no?
[38:22.900 --> 38:26.140]  No, but I'd love it if people listen to Clutch My Pearls everywhere.
[38:26.140 --> 38:27.920]  You want to look right into your camera and...
[38:27.920 --> 38:29.700]  At Clutch My Pearls pod, everywhere on the internet.
[38:29.880 --> 38:32.880]  Follow us, send us an email at clutchmypearlspod at gmail.com.
[38:32.960 --> 38:35.020]  If you like smut, if you don't like smut,
[38:35.100 --> 38:36.700]  if you know someone that does like smut,
[38:36.880 --> 38:39.680]  if you know someone who's always reading on their Kindle,
[38:40.000 --> 38:40.260]  or if you know someone who's always reading on their Kindle,
[38:40.260 --> 38:41.680]  they're reading smut.
[38:42.140 --> 38:45.140]  Or I've noticed that at Target, when we've been buying these cards,
[38:45.340 --> 38:48.520]  all the books that are like suggested at the counter,
[38:48.960 --> 38:50.020]  that's all smut.
[38:50.240 --> 38:51.080]  Everything, I'm like,
[38:51.140 --> 38:54.060]  there's a lot of like hardcore fucking in these books.
[38:54.160 --> 38:57.020]  And they're like, hey, want to, you know, impulse buy this?
[38:57.740 --> 38:59.340]  So, you know, check it out.
[38:59.560 --> 39:00.680]  There you go. Check it out.
[39:01.200 --> 39:01.800]  Foil card?
[39:02.060 --> 39:02.940]  No, I was just saying, there you go.
[39:03.020 --> 39:03.880]  Check out Clutch My Pearls.
[39:04.120 --> 39:04.680]  Thank you.
[39:04.800 --> 39:06.160]  Yeah, or else.
[39:06.220 --> 39:08.560]  Like, subscribe, share, listen, help.
[39:08.800 --> 39:09.800]  Help, please.
[39:09.800 --> 39:11.320]  Listen, beat off, do whatever you need to do.
[39:11.320 --> 39:12.380]  There's a video version,
[39:12.500 --> 39:13.640]  if you want to check out the video version.
[39:13.860 --> 39:14.000]  Yes!
[39:14.260 --> 39:15.120]  And it's on YouTube?
[39:15.520 --> 39:16.260]  It is on YouTube,
[39:16.380 --> 39:17.940]  and it's Clutch My Pearls pod everywhere.
[39:18.320 --> 39:20.240]  Sorry, I'm checking, I'm doing...
[39:20.240 --> 39:22.340]  Starz MLB, Ellie Daly Cruz rookie.
[39:22.500 --> 39:22.720]  That's good.
[39:23.140 --> 39:24.040]  That's what I'm looking for.
[39:24.260 --> 39:25.400]  Now you can watch our reactions.
[39:25.700 --> 39:26.820]  It's one of the big rookies to grab.
[39:27.280 --> 39:28.980]  Bass, Justin Steele, Paul Goldschmidt.
[39:29.560 --> 39:31.140]  Now, it's a delightful podcast,
[39:31.300 --> 39:32.180]  the Clutch My Pearls podcast.
[39:32.680 --> 39:35.060]  Yeah, now you can see all of our expressions and eye rolls.
[39:35.420 --> 39:37.680]  And I've started doing a really fun thing where,
[39:38.060 --> 39:39.320]  when I'm reading the really nasty parts
[39:39.320 --> 39:41.440]  Yeah, you're just like staring right at Vanessa?
[39:41.940 --> 39:43.320]  I stare at Vanessa and your wife,
[39:43.500 --> 39:44.780]  and it's like, who's gonna get it?
[39:44.880 --> 39:46.180]  This guy's name is Trey Cash.
[39:46.200 --> 39:47.800]  That's a food man if I've ever seen it.
[39:47.940 --> 39:48.440]  That's a food man.
[39:48.520 --> 39:50.260]  We'll have to look for it in the future.
[39:50.360 --> 39:51.560]  We gotta keep all these together for right now.
[39:52.160 --> 39:54.000]  Cutter Crawford, that's a good name for baseball.
[39:54.440 --> 39:55.900]  Oh, Kodai Senga, that's a good card.
[39:56.920 --> 39:58.960]  Here's the Red Sox, Alex Verdugo.
[39:59.460 --> 40:00.760]  Yeah, if you like...
[40:00.760 --> 40:02.600]  Did you know that vampires have dog dicks?
[40:02.920 --> 40:03.700]  Oh my gosh. I didn't either.
[40:03.740 --> 40:05.400]  No, no, I think it's werewolves.
[40:05.780 --> 40:06.920]  Oh, werewolves have dog dicks.
[40:06.920 --> 40:10.520]  Apparently, we were educated by everyone who was like,
[40:10.680 --> 40:12.420]  actually, that's not fully the Omegaverse.
[40:12.560 --> 40:13.620]  Did you get into the Omegaverse?
[40:13.720 --> 40:15.080]  But we're just dipping our toes in.
[40:15.100 --> 40:18.060]  All right, well this box, this pack just fucking...
[40:18.060 --> 40:18.860]  Did we just go off?
[40:18.900 --> 40:20.280]  Yeah. Did you just get a dog dick?
[40:20.380 --> 40:22.240]  There, we got the NL League leaders.
[40:22.640 --> 40:23.640]  There's the Rays.
[40:24.000 --> 40:25.000]  Here's Hunter Green.
[40:25.720 --> 40:26.860]  Let's do it this way.
[40:27.040 --> 40:28.900]  Here's Ronald Acuna Jr., stars of the MLB.
[40:29.020 --> 40:29.340]  Nice.
[40:29.940 --> 40:31.480]  Here's the home run...
[40:31.480 --> 40:32.160]  Oh, really? Who is it?
[40:32.160 --> 40:33.380]  This one's Ozzy Albys.
[40:34.180 --> 40:34.580]  Yeah.
[40:34.860 --> 40:39.400]  This is an Aaron Judge, 89 throwback.
[40:39.580 --> 40:39.840]  Wow.
[40:40.060 --> 40:41.480]  Some sort of a...
[40:41.480 --> 40:43.580]  I like the name Ozzy Albys.
[40:43.620 --> 40:44.380]  Yeah, this is a good one.
[40:44.540 --> 40:45.420]  Alby's a cute name.
[40:45.500 --> 40:45.900]  Feels good.
[40:46.060 --> 40:47.260]  This might actually be the foil board,
[40:47.420 --> 40:49.960]  but this is something I'm excited to get.
[40:50.900 --> 40:52.980]  These are called, I don't remember exactly
[40:52.980 --> 40:55.140]  what they're called, but it's like a photo variation.
[40:55.460 --> 40:56.120]  It's not a photo variation,
[40:56.200 --> 40:57.500]  but it's like a photo... There's nothing on the card.
[40:57.800 --> 40:58.920]  Where it's everything is removed,
[40:59.020 --> 40:59.920]  and it's just the photo.
[41:00.100 --> 41:00.360]  Okay.
[41:00.800 --> 41:01.680]  Those are pretty rare.
[41:02.080 --> 41:02.360]  Oh.
[41:02.360 --> 41:03.800]  They're not numbered or anything,
[41:04.060 --> 41:05.800]  but this is awesome.
[41:06.260 --> 41:07.200]  This is really awesome.
[41:07.420 --> 41:07.880]  I'm really excited.
[41:07.880 --> 41:08.180]  It looks cool.
[41:08.180 --> 41:09.120]  Have you ever had one before?
[41:09.780 --> 41:10.840]  No, not so far.
[41:11.160 --> 41:11.240]  Huh.
[41:11.900 --> 41:12.880]  Is this new this year?
[41:12.880 --> 41:13.580]  Yeah, this is...
[41:13.580 --> 41:14.780]  I think that they've only launched...
[41:14.780 --> 41:16.440]  They've done a lot of different variations.
[41:16.780 --> 41:17.680]  Yeah, you really have to pay attention.
[41:18.380 --> 41:18.780]  Yeah, you do.
[41:18.880 --> 41:20.740]  Mitch Keller, Hunter Brown, Future Stars,
[41:20.980 --> 41:22.880]  Andrew Benettoni, Freddie Freeman,
[41:23.320 --> 41:24.340]  Bob Sloat, Jesus,
[41:25.460 --> 41:27.820]  Luis Camposano, Nolan Sandwell, Logan Allen.
[41:27.940 --> 41:28.600]  All right, what do we got here?
[41:28.660 --> 41:29.440]  We have...
[41:29.440 --> 41:29.740]  Okay.
[41:30.580 --> 41:31.700]  Taylor Rodgers.
[41:32.280 --> 41:33.180]  Keep getting him.
[41:33.680 --> 41:34.160]  Foyle.
[41:34.340 --> 41:35.440]  Matt Olsen.
[41:35.860 --> 41:40.280]  Shout out to Bruno P. Torres in the chat
[41:40.280 --> 41:43.040]  for plugging our link tree for Clutchpoint Pearls.
[41:43.100 --> 41:44.720]  Oh my God, thank you.
[41:48.280 --> 41:50.360]  That's my new book boyfriend right now.
[41:50.540 --> 41:50.960]  Bruno.
[41:51.440 --> 41:52.640]  We're gonna get through...
[41:52.640 --> 41:54.860]  I also can't read very well, so I'm like...
[41:54.860 --> 41:56.320]  It's great for a book podcast.
[41:56.360 --> 41:58.040]  Yeah, good thing I don't read.
[41:58.560 --> 42:00.860]  Gregory Santos, Brandon Nemo,
[42:01.140 --> 42:01.960]  and the league leaders again.
[42:02.040 --> 42:02.760]  It's the Yankees.
[42:03.860 --> 42:04.660]  Thiaro Estrada.
[42:05.600 --> 42:06.340]  He's flying.
[42:06.660 --> 42:09.200]  There are a lot of dudes that like to throw fly.
[42:09.920 --> 42:11.160]  A.J. Smith-Shower,
[42:12.480 --> 42:13.280]  Elejuris Montero.
[42:13.400 --> 42:15.480]  Here we have a Bobby Witt Jr. blueprint.
[42:15.880 --> 42:16.380]  That's cool.
[42:16.500 --> 42:17.600]  I'm gonna have a whole set of those by this.
[42:18.020 --> 42:19.820]  Aaron Judge, Brandon Marsh,
[42:20.060 --> 42:22.220]  Best Beard in Baseball, Christopher Morel,
[42:22.380 --> 42:23.560]  and then Dalton Varshow.
[42:23.820 --> 42:24.580]  That's a cool catch.
[42:24.640 --> 42:25.220]  That's a cool one.
[42:25.220 --> 42:27.440]  It looks like he's hanging on to the J.
[42:28.100 --> 42:28.980]  Let's go ahead and sleeve that,
[42:29.080 --> 42:30.480]  just because it's funny and I'll remember that it's there.
[42:31.100 --> 42:31.220]  All right.
[42:32.580 --> 42:33.920]  I'm gonna try to blaze through these.
[42:34.040 --> 42:35.980]  I'll probably just call out the hits, you know.
[42:36.920 --> 42:38.480]  You do what you feel, dude.
[42:38.660 --> 42:39.660]  Oh, there's one of the asterisks.
