[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[25:37.970 --> 25:38.770]  Eric Roberts.
[25:39.390 --> 25:41.290]  Uh, supposedly...
[25:41.290 --> 25:41.570]  Uh-huh.
[25:42.390 --> 25:43.810]  ...really unlikable guy in person.
[25:43.930 --> 25:44.130]  Yeah.
[25:44.290 --> 25:44.690]  So...
[25:44.690 --> 25:46.910]  Uh, Julia Roberts' brother?
[25:47.190 --> 25:47.570]  Brother, yeah.
[25:47.710 --> 25:49.150]  And then, uh, Emma Roberts' dad?
[25:49.270 --> 25:49.830]  Yeah, I think so.
[25:49.830 --> 25:55.070]  For some reason, this week, and part of last week, I've had, like, six conversations about
[25:55.070 --> 25:56.890]  this guy on podcasts and stuff.
[25:56.910 --> 25:57.130]  Really?
[25:57.250 --> 25:57.730]  Fucking weird.
[25:58.070 --> 26:00.890]  Eric Roberts is interesting because he's been in 17,000 movies.
[26:00.990 --> 26:01.310]  Yeah, yeah, yeah.
[26:01.530 --> 26:02.930]  Including, uh, some good ones.
[26:03.110 --> 26:03.290]  Uh-huh.
[26:03.330 --> 26:04.050]  Like Pope of Greenwich Village.
[26:04.550 --> 26:04.870]  Uh...
[26:04.870 --> 26:05.530]  He was in Batman.
[26:05.670 --> 26:06.790]  He took my thumbs, Johnny!
[26:06.850 --> 26:07.390]  My thumbs!
[26:07.990 --> 26:08.950]  But, uh, anyway.
[26:09.350 --> 26:10.170]  Uh, there he is.
[26:10.330 --> 26:10.470]  He.
[26:10.850 --> 26:13.610]  I was thinking, we could do a podcast one day where we just watch Eric Roberts' movies.
[26:13.730 --> 26:14.030]  We could.
[26:14.070 --> 26:14.510]  Because there's so many.
[26:14.530 --> 26:16.610]  Yeah, we should, like, get through the stuff that we already have on the docket.
[26:16.670 --> 26:17.170]  Yeah, I agree.
[26:17.310 --> 26:18.450]  Eric Roberts and Joe Estevez.
[26:18.530 --> 26:19.410]  His name is just like yours.
[26:19.410 --> 26:20.750]  It's so close.
[26:20.750 --> 26:22.310]  And then...
[26:22.310 --> 26:22.850]  Ah!
[26:23.030 --> 26:23.550]  Debbie Mazar!
[26:24.290 --> 26:24.510]  Yay!
[26:25.370 --> 26:27.290]  Emily gets confused about who she is.
[26:27.390 --> 26:27.530]  Uh-huh.
[26:27.610 --> 26:27.770]  No.
[26:27.870 --> 26:28.210]  No.
[26:28.450 --> 26:28.590]  No.
[26:28.670 --> 26:29.390]  I correct you.
[26:29.710 --> 26:31.850]  This is Madonna's best friend, Debbie Mazar.
[26:31.890 --> 26:32.090]  Okay.
[26:32.210 --> 26:33.010]  She's, uh, you would...
[26:33.010 --> 26:33.910]  Y'all couldn't name her.
[26:34.150 --> 26:34.390]  Yeah.
[26:34.510 --> 26:34.950]  Oh, I don't.
[26:34.970 --> 26:35.510]  I couldn't.
[26:35.550 --> 26:36.350]  I couldn't name her.
[26:36.510 --> 26:37.170]  She was in...
[26:37.170 --> 26:37.970]  I would just go, oh, her.
[26:38.250 --> 26:40.070]  Wasn't she in something you guys were talking about, though?
[26:40.270 --> 26:40.650]  Yeah.
[26:40.830 --> 26:41.510]  What was it?
[26:41.850 --> 26:44.070]  Uh, she was in, uh, uh...
[26:44.070 --> 26:44.770]  Was she in the tuxedo?
[26:44.990 --> 26:47.750]  No, she was in, uh, she was in, uh, Anchorman.
[26:47.750 --> 26:48.350]  No.
[26:48.410 --> 26:48.730]  No.
[26:49.370 --> 26:51.250]  It was something you guys talked about on the podcast.
[26:51.570 --> 26:51.850]  I don't know.
[26:51.910 --> 26:52.490]  She's in Entourage.
[26:52.710 --> 26:52.910]  Yeah.
[26:52.990 --> 26:53.510]  She's in Entourage.
[26:53.790 --> 26:54.450]  Oh, yeah!
[26:54.890 --> 26:55.450]  Here we go.
[26:55.550 --> 26:56.130]  These are exciting.
[26:56.550 --> 26:57.850]  These are 501 originals.
[26:58.010 --> 26:59.390]  Uh, somebody sent these in to me.
[27:00.050 --> 27:00.770]  Uh, community...
[27:00.770 --> 27:01.530]  These are jean carts?
[27:01.890 --> 27:04.030]  Yeah, no, these are actually, um...
[27:04.030 --> 27:04.730]  Is it pants?
[27:04.910 --> 27:06.210]  It's like a 101 boyfriend cut.
[27:06.330 --> 27:06.610]  Yes!
[27:09.770 --> 27:10.130]  511s!
[27:10.390 --> 27:13.290]  I looked these up, because there's potentially some high-value cards in here.
[27:13.290 --> 27:13.570]  Really?
[27:13.730 --> 27:13.970]  Yeah.
[27:14.030 --> 27:14.610]  I think there's like a...
[27:14.610 --> 27:17.730]  If you find...
[27:17.730 --> 27:18.370]  It's over.
[27:20.650 --> 27:22.190]  So, let's see who we get.
[27:22.550 --> 27:22.910]  Who?
[27:23.010 --> 27:24.210]  What the fuck do you mean, who?
[27:25.070 --> 27:25.610]  Oh, you'll see.
[27:25.690 --> 27:26.750]  Here's someone in jeans.
[27:26.990 --> 27:27.650]  Here's like a...
[27:28.630 --> 27:28.950]  I don't know.
[27:29.090 --> 27:29.530]  Whatever that is.
[27:29.550 --> 27:29.770]  Primer card?
[27:29.950 --> 27:30.630]  Like, here's an idea.
[27:30.730 --> 27:31.210]  Here's what...
[27:31.210 --> 27:31.590]  It's a checklist.
[27:32.070 --> 27:33.610]  Pants can be things that aren't pants.
[27:33.790 --> 27:34.970]  Debbie Ferreira.
[27:34.970 --> 27:35.250]  Barbie.
[27:35.610 --> 27:35.970]  Ferreira.
[27:36.190 --> 27:37.050]  Barbie Fiera.
[27:37.330 --> 27:38.370]  What the fuck?
[27:38.410 --> 27:39.430]  Here's Emma Chamberlain.
[27:39.570 --> 27:40.170]  She's an actress.
[27:40.410 --> 27:40.610]  Yeah.
[27:40.970 --> 27:41.150]  Okay.
[27:41.310 --> 27:41.670]  Oh!
[27:42.230 --> 27:42.930]  Here's a big one.
[27:43.290 --> 27:43.770]  Oh, shit.
[27:43.870 --> 27:47.710]  We got...
[27:49.290 --> 27:49.650]  Justin Bieber.
[27:51.010 --> 27:52.310]  Justin Bieber's wife.
[27:53.030 --> 27:53.910]  She's also Baldwin.
[27:54.070 --> 27:54.670]  She's also Baldwin.
[27:54.770 --> 27:55.510]  She used to be Hailey Baldwin.
[27:55.630 --> 27:56.890]  She's Stephen Baldwin's daughter.
[27:56.910 --> 27:57.190]  Is she really?
[27:57.550 --> 27:57.670]  Yeah.
[27:57.790 --> 27:58.530]  Stephen Baldwin's daughter.
[27:58.530 --> 28:00.270]  Stephen Baldwin's daughter and Justin Bieber's wife.
[28:00.410 --> 28:00.790]  Oh, really?
[28:01.170 --> 28:02.190]  That might be worth something, though.
[28:02.310 --> 28:02.550]  Maybe not.
[28:03.670 --> 28:04.390]  Jaden Smith.
[28:05.290 --> 28:05.830]  What are...
[28:05.830 --> 28:07.890]  These are insane cards.
[28:08.070 --> 28:09.130]  I don't know who this is.
[28:09.250 --> 28:10.690]  Marcus Rashford.
[28:11.730 --> 28:14.410]  I don't like that the 90s look for pantses back.
[28:14.510 --> 28:15.350]  I think they look terrible.
[28:15.510 --> 28:16.110]  And then...
[28:16.110 --> 28:16.570]  Oh, here we go.
[28:16.830 --> 28:17.690]  Naomi Osaka.
[28:19.050 --> 28:19.790]  Is this sports?
[28:20.650 --> 28:21.410]  Sports, yeah.
[28:22.510 --> 28:23.310]  Like a...
[28:24.150 --> 28:26.790]  Light wash mom jean, I think is...
[28:26.790 --> 28:27.990]  You can be like, this is in.
[28:28.090 --> 28:28.890]  It's never gonna look good.
[28:29.550 --> 28:30.530]  I'm glad I didn't wear my pants today.
[28:30.590 --> 28:31.190]  Just saying.
[28:31.990 --> 28:32.390]  Sorry.
[28:32.930 --> 28:33.430]  Final card.
[28:33.710 --> 28:34.710]  Shai Gildas Alexander.
[28:34.830 --> 28:35.110]  Wow!
[28:35.590 --> 28:39.030]  Oklahoma City Thunder point guard or shooting guard, I believe.
[28:39.750 --> 28:40.150]  Fucking...
[28:40.150 --> 28:42.350]  Does it say or does it just have Gene Facts on the back?
[28:42.370 --> 28:43.010]  It has Gene Facts.
[28:43.030 --> 28:44.430]  It says...
[28:45.950 --> 28:47.610]  2021 Levi's 501 day.
[28:48.170 --> 28:48.810]  The original...
[28:48.810 --> 28:50.190]  Yeah, it doesn't even say what kind of jeans they are.
[28:50.550 --> 28:52.130]  He's like a 2940.
[28:53.390 --> 28:54.670]  But we've got two packs.
[28:54.930 --> 28:55.250]  Wow!
[28:55.670 --> 28:56.090]  We're gonna...
[28:56.090 --> 28:57.250]  You've never seen so many pants.
[28:57.450 --> 29:00.070]  I actually looked at buying these on eBay and they were too expensive.
[29:00.610 --> 29:00.910]  Really?
[29:01.010 --> 29:02.770]  So it was really awesome that somebody sent them to us.
[29:02.910 --> 29:02.950]  Yeah.
[29:02.950 --> 29:03.710]  Wow, this is a good send.
[29:04.030 --> 29:07.490]  I never would have thought pants would be good cards, but here we are.
[29:07.510 --> 29:07.670]  Oh, man.
[29:09.070 --> 29:09.630]  Very weird.
[29:09.670 --> 29:10.230]  Everybody loves Levi's.
[29:10.230 --> 29:11.790]  I thought that these were gonna be like old.
[29:11.850 --> 29:12.830]  Barbie Ferreira!
[29:13.250 --> 29:14.230]  Oh, is it the same cards?
[29:14.250 --> 29:14.810]  I think it's the same ones.
[29:14.830 --> 29:15.810]  These are all the same!
[29:15.990 --> 29:16.310]  Yay!
[29:17.330 --> 29:17.650]  Except...
[29:17.650 --> 29:18.410]  Boom!
[29:20.690 --> 29:21.650]  Numbered parallel.
[29:22.510 --> 29:23.470]  Marcus Rashford.
[29:24.010 --> 29:24.630]  Red parallel.
[29:25.030 --> 29:26.870]  Number 28 to 50.
[29:27.070 --> 29:28.270]  No, that's his pant size.
[29:28.530 --> 29:29.170]  28 to 50.
[29:29.610 --> 29:30.810]  28 waist, 50 length.
[29:31.190 --> 29:32.050]  It's like very tall.
[29:32.410 --> 29:33.310]  Very, very tall.
[29:34.370 --> 29:36.210]  I have this eBay listing for these cards.
[29:37.630 --> 29:38.110]  No!
[29:38.450 --> 29:38.570]  Yeah.
[29:38.990 --> 29:39.450]  What?
[29:40.430 --> 29:40.690]  I don't know.
[29:42.970 --> 29:43.450]  $750?!
[29:43.450 --> 29:46.070]  Well, that doesn't mean somebody paid that much for it, but that's what it's going for.
[29:46.410 --> 29:47.630]  Yeah, these cards, I'm telling you, man.
[29:47.630 --> 29:50.770]  I looked into buying some and they were, like, crazy expensive, which is why I was so
[29:50.770 --> 29:52.070]  blown away when somebody sent them to us.
[29:52.410 --> 29:52.770]  What?!
[29:52.770 --> 29:53.050]  Yeah.
[29:53.310 --> 29:53.530]  Yeah.
[29:53.690 --> 29:56.090]  But you just opened two packs and they're the same.
[29:56.590 --> 29:57.250]  They were, yeah.
[29:57.290 --> 29:59.210]  But this one had the red parallel in it.
[29:59.230 --> 30:01.190]  I bet if you got a Haley Bieber, that would be...
[30:01.190 --> 30:01.630]  Wow.
[30:01.910 --> 30:02.090]  Yeah.
[30:02.210 --> 30:02.890]  Or, like, an auto.
[30:03.290 --> 30:03.470]  Yeah.
[30:03.650 --> 30:04.010]  Ooh!
[30:04.550 --> 30:05.230]  No, it's...
[30:05.230 --> 30:05.670]  An on-jean auto.
[30:05.910 --> 30:07.090]  It's a relic.
[30:07.250 --> 30:08.210]  It's a part of the...
[30:08.210 --> 30:09.830]  They could've parked the jeans afterward.
[30:09.830 --> 30:10.950]  I would open more if I hadn't.
[30:10.950 --> 30:12.610]  The Logo Man is the Levi's tag.
[30:14.430 --> 30:16.230]  I'm blown away by those cards.
[30:16.490 --> 30:17.190]  Those are pretty good.
[30:17.450 --> 30:17.610]  Those are pretty good.
[30:17.610 --> 30:18.010]  Those are so cool.
[30:18.110 --> 30:18.790]  Thank you so much for sending those.
[30:18.870 --> 30:19.710]  We're about halfway through.
[30:19.830 --> 30:19.990]  Yep.
[30:20.050 --> 30:21.270]  Trying to figure out what we have time for.
[30:21.590 --> 30:22.470]  Oh, the clock right there.
[30:22.510 --> 30:22.710]  Right there, buddy.
[30:22.950 --> 30:25.030]  We gotta stop right at four today.
[30:25.270 --> 30:25.430]  You gotta.
[30:25.570 --> 30:27.230]  So, I wanna jump into something...
[30:27.230 --> 30:27.510]  Let's do it.
[30:27.530 --> 30:28.670]  ...that I got very recently.
[30:29.350 --> 30:31.570]  Last weekend was the Citywide Vintage Sale in Austin.
[30:31.570 --> 30:31.910]  Oh, that's right.
[30:32.050 --> 30:36.970]  And so Emily and I went out and checked it out at the event center and I was able to secure
[30:37.670 --> 30:40.550]  five packs of 1989 Fleer baseball.
[30:40.650 --> 30:41.990]  We have never opened this up.
[30:42.030 --> 30:42.590]  Very cool.
[30:43.050 --> 30:45.850]  Never opened this up on a break show before.
[30:46.450 --> 30:51.430]  The chase card here, if you don't know, is the Billy Ripken fuckface card.
[30:51.670 --> 30:51.810]  Yeah.
[30:52.110 --> 30:53.850]  There are five different versions of that card.
[30:54.010 --> 30:54.230]  Wow.
[30:54.330 --> 30:56.630]  There's a whiteout version, there's a white scribble, there's a black scribble, there's
[30:56.630 --> 30:58.570]  a black bar, and then there's the raw fuckface.
[30:59.130 --> 31:00.410]  And we only have the raw fuckface.
[31:00.550 --> 31:01.890]  It's actually not the rarest version.
[31:02.190 --> 31:02.470]  Really?
[31:02.530 --> 31:03.870]  I think the whiteout version is the rarest version.
[31:03.910 --> 31:04.030]  Huh.
[31:04.270 --> 31:04.910]  And goes for the most.
[31:04.930 --> 31:06.470]  So, let's open these up and see if we get lucky.
[31:06.590 --> 31:08.270]  How much were each of these packs?
[31:08.970 --> 31:09.290]  $3?
[31:09.370 --> 31:10.550]  I think $4, $3.50?
[31:10.790 --> 31:11.050]  Oh, yeah?
[31:11.150 --> 31:12.110]  A pack, I think, yeah.
[31:12.530 --> 31:16.690]  Do you think that finding a fuckface card in the wild is more exciting than finding a
[31:16.690 --> 31:17.410]  Zimmer in the wild?
[31:18.310 --> 31:19.810]  I think they're equal.
[31:20.190 --> 31:20.430]  Yeah?
[31:20.450 --> 31:21.010]  I think they're equal.
[31:21.170 --> 31:22.590]  I think I would be equally excited.
[31:24.210 --> 31:24.930]  David Cohn.
[31:25.030 --> 31:25.910]  What is this?
[31:26.090 --> 31:26.590]  Oh, these are stickers.
[31:26.890 --> 31:27.050]  Sorry.
[31:27.230 --> 31:28.750]  No, but I mean, like, they're...
[31:28.750 --> 31:29.550]  National League stickers.
[31:30.310 --> 31:30.910]  Is it...
[31:30.910 --> 31:31.430]  Stickers?
[31:31.450 --> 31:33.110]  But, like, is it the East?
[31:34.050 --> 31:34.310]  Like, what?
[31:34.330 --> 31:34.690]  Stick to things?
[31:35.210 --> 31:36.870]  No, but I'm just saying, like, it's Dodgers.
[31:36.970 --> 31:37.170]  Great.
[31:37.370 --> 31:37.870]  It's National League.
[31:38.930 --> 31:39.650]  But Expo's...
[31:39.650 --> 31:40.870]  Philly's Mets are all...
[31:41.490 --> 31:41.850]  East.
[31:42.230 --> 31:43.210]  Why are Dodgers on there?
[31:43.350 --> 31:43.790]  It's baseball.
[31:44.450 --> 31:44.810]  This sucks.
[31:44.810 --> 31:45.310]  I think it's random.
[31:45.470 --> 31:45.890]  I think...
[31:45.890 --> 31:47.570]  I hate old baseball stuff like that.
[31:47.750 --> 31:49.670]  They just, like, there's no rhyme or reason to any of it.
[31:49.770 --> 31:50.290]  I fucking hate it.
[31:50.670 --> 31:51.810]  Eric is not amused.
[31:51.930 --> 31:58.670]  Mike Berbeck, Geoff Montgomery, Sid Fernandez, John Farrell, Cal Daniels, Lance Johnson.
[31:58.950 --> 32:00.650]  I figure if I, like, build my voice a little shit now...
[32:00.650 --> 32:01.050]  I like it.
[32:01.130 --> 32:01.850]  Yeah, yeah, yeah.
[32:02.110 --> 32:03.490]  I'm enticing the card up.
[32:03.490 --> 32:03.630]  Yeah, it's exciting.
[32:05.230 --> 32:12.930]  Mike Krukow, Dennis Lamb, Vance Lott, Dan Plezak, Dan Petri, Glenn Larkin, Darren Jackson, and...
[32:12.930 --> 32:13.530]  No, Jack Morrison.
[32:13.930 --> 32:14.890]  Okay, we're close.
[32:15.050 --> 32:16.110]  Dan Plezak, that's cool.
[32:16.710 --> 32:16.750]  Yeah.
[32:17.330 --> 32:17.910]  His kid pitches.
[32:18.150 --> 32:18.670]  I think it's his kid.
[32:18.850 --> 32:19.090]  Does he?
[32:19.230 --> 32:22.310]  Yeah, pitches for the Guardians, I think.
[32:22.750 --> 32:22.970]  Huh.
[32:23.390 --> 32:23.670]  Nice.
[32:23.830 --> 32:24.690]  You learn something new every day.
[32:24.850 --> 32:25.030]  Yep.
[32:25.450 --> 32:26.550]  Except for those days you don't.
[32:26.590 --> 32:26.770]  Yeah.
[32:27.050 --> 32:27.830]  Which are most days for me.
[32:27.870 --> 32:28.310]  Here you go.
[32:28.570 --> 32:29.710]  This is the Eric...
[32:29.710 --> 32:30.210]  Oh, wow, what's that?
[32:30.250 --> 32:30.730]  Is that a sticker?
[32:30.730 --> 32:31.910]  Yeah, that's a...
[32:31.910 --> 32:32.650]  This is a...
[32:32.650 --> 32:33.410]  Yeah, it's a baseball sticker.
[32:33.590 --> 32:33.650]  Yeah.
[32:33.870 --> 32:35.670]  Bend and Peel, National League, Western Division.
[32:35.770 --> 32:36.290]  That's right, baby.
[32:36.490 --> 32:36.850]  There you go.
[32:37.170 --> 32:38.430]  It's the 80s logo.
[32:38.550 --> 32:38.890]  It's a good one.
[32:39.230 --> 32:39.810]  Oh, boy.
[32:39.850 --> 32:40.490]  Here we go.
[32:41.210 --> 32:43.590]  Kelly Gruber, Eric Plonk.
[32:43.850 --> 32:44.170]  Plonk.
[32:44.190 --> 32:44.550]  Eric Plonk.
[32:44.550 --> 32:44.950]  That's a good one.
[32:44.950 --> 32:45.510]  That's a good one.
[32:45.750 --> 32:45.810]  Yeah.
[32:45.990 --> 32:46.390]  Well, that's terrific.
[32:46.390 --> 32:47.210]  Vaughn Hayes.
[32:47.470 --> 32:47.870]  Plonk.
[32:50.030 --> 32:53.850]  Mark Eckhorn, Junior Ortiz, Geoff Reardon.
[32:54.750 --> 32:55.150]  Grrrr.
[32:55.210 --> 32:55.850]  The World Organizer.
[32:56.330 --> 32:56.490]  Yeah.
[32:56.610 --> 32:58.630]  And Dave LaPointe.
[32:59.090 --> 32:59.490]  Jay...
[33:00.090 --> 33:00.710]  What's wrong with that?
[33:00.710 --> 33:01.590]  What's wrong with that Oral guy?
[33:02.110 --> 33:02.390]  Oral...
[33:02.930 --> 33:03.250]  He...
[33:04.110 --> 33:04.430]  He...
[33:04.430 --> 33:06.450]  He beat my Oakland A's when I was a kid.
[33:06.570 --> 33:06.630]  Yeah.
[33:06.630 --> 33:07.410]  I was a big Bart McGuire fan.
[33:07.510 --> 33:08.650]  Yeah, he was a...
[33:08.650 --> 33:09.230]  He was a menace.
[33:09.730 --> 33:10.310]  Phenomenal pitcher.
[33:10.390 --> 33:10.550]  Yeah.
[33:10.570 --> 33:10.930]  He's a...
[33:10.930 --> 33:11.170]  He's a...
[33:11.170 --> 33:11.350]  He's a...
[33:11.350 --> 33:12.550]  Color man now, yeah, for the Dodgers.
[33:12.550 --> 33:13.290]  He's an announcer for the Dodgers.
[33:13.310 --> 33:14.630]  And I'm a Dodgers fan now, but I just...
[33:14.630 --> 33:15.210]  I hate Oral Hershel.
[33:16.290 --> 33:16.930]  Jay Buhner...
[33:16.930 --> 33:17.310]  I'm a Dodgers fan now.
[33:17.450 --> 33:17.890]  Very cool.
[33:18.690 --> 33:19.570]  That's the best photo they had.
[33:20.150 --> 33:20.470]  That...
[33:20.470 --> 33:21.010]  I mean...
[33:21.010 --> 33:22.450]  They said, should we color correct this?
[33:22.450 --> 33:23.870]  And they said, it's 1988.
[33:23.930 --> 33:24.790]  What is that?
[33:24.790 --> 33:26.570]  Jay Buhner played for so long.
[33:26.650 --> 33:27.650]  He had so many more cards.
[33:27.750 --> 33:28.530]  They just went, this is fine.
[33:28.590 --> 33:29.230]  This guy's sticking around.
[33:29.390 --> 33:30.550]  Faced directly into the sunlight.
[33:30.610 --> 33:30.690]  Yeah.
[33:30.850 --> 33:31.450]  I'm going to save that.
[33:32.270 --> 33:33.610]  Do you want to get the bounce board?
[33:33.770 --> 33:33.990]  No.
[33:34.830 --> 33:42.290]  Tom Bernanski, Todd Benzinger, Steve Lyons, Ron Robinson, John Dobson.
[33:42.470 --> 33:42.770]  Nothing bad.
[33:42.770 --> 33:44.770]  Man, I hope we don't strike out.
[33:45.010 --> 33:45.490]  I really want to hit it.
[33:45.490 --> 33:46.190]  Oh, baseball, baby.
[33:46.610 --> 33:47.410]  Oh, that's funny.
[33:47.450 --> 33:48.290]  I didn't make that connection.
[33:49.230 --> 33:49.490]  What?
[33:49.590 --> 33:50.750]  Okay, I don't know what this sound is.
[33:50.810 --> 33:51.170]  I just want to know.
[33:51.770 --> 33:53.130]  Oh, my dick's wet.
[33:53.450 --> 33:53.810]  I know.
[33:55.030 --> 33:55.470]  That's new.
[33:55.590 --> 33:56.330]  That sounded like Kerry.
[33:56.850 --> 33:57.570]  There you go.
[33:57.690 --> 34:05.990]  Mets, sticker, Mario Diaz, Scott Geraltz, Steve Searcy, Tim Leary.
[34:06.090 --> 34:06.650]  A little more down.
[34:06.770 --> 34:07.150]  There you go.
[34:08.950 --> 34:12.150]  Oswaldo Pereza, Bob Pepper.
[34:12.890 --> 34:14.130]  Oh, that's a mustache.
[34:14.890 --> 34:15.350]  That's like a mustache.
[34:15.350 --> 34:17.630]  Bash brother, Jose Canseco.
[34:18.610 --> 34:20.190]  That biggest dude with the littlest balls.
[34:20.270 --> 34:21.130]  We'll save that.
[34:21.250 --> 34:21.330]  That's a hit.
[34:21.330 --> 34:22.850]  He's just like the Padres guy, right?
[34:22.850 --> 34:23.790]  Not like him.
[34:23.870 --> 34:24.510]  He didn't have worms.
[34:24.730 --> 34:26.110]  This is a different worm situation.
[34:26.370 --> 34:26.570]  Different worms.
[34:26.670 --> 34:27.790]  My team has no worms.
[34:27.990 --> 34:29.450]  We're a wormless team, guys.
[34:29.970 --> 34:32.110]  We wouldn't even have a little worms now.
[34:32.310 --> 34:35.630]  Geoff Pico, Roberto Kelly.
[34:35.890 --> 34:36.470]  He's a good player.
[34:36.850 --> 34:41.450]  Ricky Jordan, Oda B. McDowell, rather.
[34:41.610 --> 34:42.110]  Read it upside down.
[34:42.130 --> 34:42.810]  That's another great name.
[34:43.770 --> 34:44.270]  Oh, shit.
[34:44.610 --> 34:45.450]  This might be...
[34:45.450 --> 34:46.590]  Would you...
[34:46.590 --> 34:47.230]  You want me to look it up?
[34:47.950 --> 34:49.470]  No, that's not a rookie, but Tom Glavine.
[34:49.570 --> 34:49.910]  You got it.
[34:50.730 --> 34:51.650]  That's like Gavin's name.
[34:51.650 --> 34:52.530]  It is.
[34:53.250 --> 34:53.930]  Tom Gavin.
[34:54.370 --> 34:55.130]  Tom Gavin.
[34:55.670 --> 34:58.730]  Jose Canseco, Terry Steinbach, and Mark McGuire, triple A's.
[34:59.070 --> 35:02.650]  If I'm not mistaken, all three of those guys were Rookie of the Year.
[35:03.210 --> 35:04.750]  Was Terry Steinbach Rookie of the Year?
[35:04.850 --> 35:05.250]  I don't know.
[35:05.250 --> 35:06.330]  I think that might be the point of this.
[35:08.650 --> 35:10.070]  Anyway, I'm right on the rolls.
[35:10.130 --> 35:10.630]  Did Mark McGuire have worms?
[35:11.550 --> 35:13.150]  No, he was just doing steroids.
[35:13.410 --> 35:14.670]  No, he just...
[35:14.670 --> 35:15.410]  It's different.
[35:15.730 --> 35:16.630]  I can see how you get confused.
[35:16.810 --> 35:17.390]  It's different.
[35:17.770 --> 35:18.250]  Danny Cox.
[35:18.370 --> 35:19.850]  And then, you don't see this one every day.
[35:20.670 --> 35:21.890]  You know him, you love him.
[35:22.190 --> 35:23.110]  We work with him all the time.
[35:23.370 --> 35:24.030]  Louis Medina.
[35:25.550 --> 35:27.830]  Okay, so we have to have a people we know pile.
[35:28.430 --> 35:29.130]  People we know pile.
[35:30.090 --> 35:31.610]  People who work at Rooster Teeth Pile.
[35:32.430 --> 35:33.390]  How wild is that?
[35:33.750 --> 35:35.190]  That's fucking great.
[35:35.310 --> 35:35.770]  That's awesome.
[35:35.830 --> 35:36.590]  Can we open it back?
[35:36.830 --> 35:37.710]  Jordan Levin.
[35:41.770 --> 35:43.950]  Like, that's not even like a common name.
[35:44.030 --> 35:46.230]  Like, it's not like a Michael Jones, you know what I mean?
[35:46.310 --> 35:49.390]  Like, you figure that would be like, oh, okay, that's a pretty common name.
[35:49.390 --> 35:49.890]  Louis Medina?
[35:50.190 --> 35:51.030]  No, not really common.
[35:51.330 --> 35:56.090]  There's a good chance someday I'll be a Michigan native if I ever move from Austin.
[35:56.250 --> 35:56.950]  I might move to Detroit.
[35:57.110 --> 35:57.850]  Kind of like that area.
[35:58.390 --> 36:00.110]  What I won't be is a Tigers fan.
[36:00.170 --> 36:02.090]  I will say, that's their best logo.
[36:02.410 --> 36:04.190]  Insane Tiger is their best...
[36:04.190 --> 36:06.230]  Like, look at his fucking...
[36:06.890 --> 36:07.970]  Like, he's excited.
[36:08.130 --> 36:08.390]  Robin.
[36:08.890 --> 36:10.590]  Here's the problem with the Tigers.
[36:10.830 --> 36:12.270]  I mean, other than they suck and stuff.
[36:12.450 --> 36:14.350]  I grew up a White Sox fan.
[36:14.350 --> 36:18.930]  Therefore, the Tigers and the Twins can burn in hell for all I care.
[36:19.110 --> 36:20.630]  I can never support either of those.
[36:20.830 --> 36:21.470]  I'm with you.
[36:21.530 --> 36:22.310]  That's how I feel about the Dodgers.
[36:22.430 --> 36:24.710]  But love will make you do crazy things.
[36:24.790 --> 36:27.430]  And I may move to Detroit someday, but it won't make me like that team.
[36:27.590 --> 36:30.230]  I'll go watch the Dodgers and the White Sox play them.
[36:30.290 --> 36:31.450]  We've got Celtics and Lakers.
[36:32.550 --> 36:33.070]  What about that?
[36:33.310 --> 36:34.510]  Like, you appreciate the Lakers.
[36:34.690 --> 36:35.870]  I don't appreciate the Lakers at all.
[36:36.470 --> 36:37.790]  I wish they would also burn in hell.
[36:37.810 --> 36:40.030]  You're kind to my dad when he talks about them.
[36:40.110 --> 36:42.230]  I'm very kind to your dad, because I love your dad.
[36:42.950 --> 36:44.450]  And I respect your dad.
[36:44.990 --> 36:45.950]  Hey, fucker!
[36:47.230 --> 36:49.290]  I like the Dodgers. I'm supporting the Dodgers.
[36:49.390 --> 36:51.510]  I never gave a shit about the Dodgers until I met your dad.
[36:51.650 --> 36:52.710]  That is all your dad.
[36:53.030 --> 36:55.310]  Alfredo Griffin, Bobby Witt.
[36:56.090 --> 36:57.050]  That's a big name.
[36:57.430 --> 36:58.750]  Nelson Santovena.
[36:59.690 --> 37:02.050]  Kevin Seitzer, Pedro Guerrero.
[37:02.610 --> 37:03.230]  Oh, that's...
[37:05.950 --> 37:07.810]  Joel Skinner, not the prettiest photo.
[37:09.370 --> 37:10.330]  What happened?
[37:11.050 --> 37:12.970]  Oh, shit. Can we look up if this is...
[37:12.970 --> 37:14.150]  Oh, it's not. Damn it.
[37:14.450 --> 37:15.450]  We got the Randy Johnson.
[37:15.850 --> 37:17.390]  A, it's a good card, because it's Randy Johnson.
[37:17.990 --> 37:20.170]  It might be his rookie card or his second-year card.
[37:20.390 --> 37:21.650]  But this is blacked out.
[37:21.910 --> 37:24.310]  This is an even rarer error than the...
[37:24.310 --> 37:25.150]  What is it?
[37:25.150 --> 37:26.050]  ...than the Billy Ripken card.
[37:26.610 --> 37:29.190]  That's a Budweiser sign or Marlboro.
[37:29.350 --> 37:30.530]  So you can see Coke right there.
[37:30.730 --> 37:32.110]  There was, like, a big cigarette ad.
