[00:10.030 --> 00:11.330]  How's that asshole feeling?
[48:39.200 --> 48:46.820]  I wish you could have seen my face eric when you went to ask gavin a question about differences in taste between the two products
[48:47.300 --> 48:49.540]  Had no idea that this was a thing that
[48:49.540 --> 48:51.880]  You were like that. You don't care for food
[48:52.860 --> 48:55.500]  I I don't mind the occasional nice meal, but
[48:56.860 --> 48:59.800]  The occasional nice we don't want to get crazy
[49:01.720 --> 49:04.060]  We only have nice meals on occasion
[49:05.220 --> 49:09.220]  Listen I don't have the energy for my mouth to be excited 24 7
[49:09.220 --> 49:14.220]  We gotta space it out. If you just combine all the time in a day that you spend eating. It's quite a lot of time
[49:14.820 --> 49:15.620]  He's too busy
[49:16.160 --> 49:17.600]  He needs that time for editing
[49:18.060 --> 49:19.240]  He does. Yeah
[49:19.860 --> 49:25.160]  Were you four minutes late gavin because you were you're enjoying something you were lost in your palate
[49:26.960 --> 49:28.440]  Your palate is a wonderland
[49:29.620 --> 49:35.640]  So when you taste something and it's exciting to your mouth, do you get annoyed with yourself for liking it are you like
[49:36.780 --> 49:42.020]  Great enjoyment. Great question. I'll take the enjoyment. I just don't ever seek that out
[49:42.620 --> 49:46.700]  Gavin having a like delicious bite of steak and just slamming the table
[49:47.440 --> 49:48.440]  fucking great
[49:49.480 --> 49:54.180]  Listen if a delicious piece of steak falls in my mouth, i'm not gonna kick it out
[49:54.180 --> 49:56.300]  But i'm not gonna go looking for it
[49:56.300 --> 49:59.500]  Well, like like like a massage feels amazing
[49:59.940 --> 50:03.820]  It's so relaxing feels really good, but I don't I don't go and get them
[50:04.300 --> 50:08.960]  Yeah, but you don't need them to live you like you have to eat food three times a day or you'll die
[50:08.960 --> 50:14.220]  That's true. That's a good undercut on that analogy because yeah, you're right. Yeah, you'll die if you don't eat
[50:14.220 --> 50:18.520]  Yeah, it's not it's not like you have a choice on eating or not eating you need to do it
[50:18.520 --> 50:20.220]  and if you need to do it you
[50:21.300 --> 50:22.560]  Shouldn't your mouth be excited?
[50:22.560 --> 50:26.320]  Okay, so say I invented a pill right a little acute
[50:27.220 --> 50:30.800]  Uh, I give it to you eric and you don't have to eat for six months you can
[50:30.800 --> 50:34.600]  Eat whenever you want. You can have a meal. It won't it won't uh,
[50:34.760 --> 50:37.760]  Stack up too much. Is that extra calories for you though?
[50:37.820 --> 50:42.840]  Like are you getting the caloric he will he will get all the calories he needs for six months
[50:42.840 --> 50:48.340]  So if he eats on top of it, he's gonna blow up. No, it just doesn't it doesn't count that way like he he still
[50:49.060 --> 50:52.600]  He can if he if he still eats the regular amount that's fine
[50:52.600 --> 50:57.720]  So he has like 2000 calories of 2000 flavored calories allotted daily
[50:58.220 --> 51:04.380]  He has 2000 backup calories that he can use every day, right? Yeah, eric
[51:04.380 --> 51:07.140]  Yeah, how how often do you eat?
[51:07.220 --> 51:08.200]  What the fuck?
[51:09.060 --> 51:11.800]  You've got you've got the you've got the cube inside you how often are you gonna eat?
[51:12.600 --> 51:18.420]  You've got doesn't mean generally got a cube inside the pill is a cube it's a yeah, it's a little cube
[51:18.420 --> 51:20.180]  It's like a little like how do you?
[51:20.420 --> 51:23.300]  How do you swallow a stock cube?
[51:24.360 --> 51:32.240]  What the question's about the cube the cubes come down shut up a second he was good in eric sharp edges
[51:32.240 --> 51:33.940]  All right
[51:34.700 --> 51:35.760]  I've sanded
[51:35.760 --> 51:41.700]  The cube eric's downed it. He's chugged the cube. He doesn't have to eat for six months
[51:41.800 --> 51:44.760]  Yeah, what's at the center of the cube? What's in the box christ?
[51:45.260 --> 51:45.500]  but how
[51:46.040 --> 51:48.980]  How often are you gonna eat one musk wanted that was in the box?
[51:49.780 --> 51:52.820]  guys guys don't worry about what's in the cube just
[51:54.120 --> 52:01.100]  Is it a sign of peter molyneux telling you you've won like a microtransaction away from a peter molyneux game. Oh, man
[52:01.760 --> 52:02.240]  uh
[52:02.880 --> 52:03.360]  I
[52:03.960 --> 52:05.920]  I I don't think I like
[52:06.660 --> 52:10.320]  This is beginning on a weird note because I just wouldn't take this thing
[52:10.320 --> 52:16.160]  I like food too much. You can still eat food. You can still eat all the food you would have eaten
[52:18.020 --> 52:21.000]  Why am I trying to prove what is your point?
[52:21.880 --> 52:25.600]  I'm, i'm saying would you bother eating for every meal of the day still?
[52:26.220 --> 52:27.540]  Yes. Yeah, probably
[52:27.540 --> 52:33.600]  Because it's an enjoyable experience. I I really I enjoy cooking. I enjoy food. I enjoy flavors and tastes
[52:33.600 --> 52:38.380]  I like food a lot now when your mouth gets excited for food, eric
[52:38.380 --> 52:40.720]  I get so mad at myself. Yeah
[52:40.720 --> 52:42.260]  Do you feel an intense?
[52:42.740 --> 52:44.980]  Self-loathing that you can't quite describe
[52:45.530 --> 52:48.680]  No, i've i've never thought about it in terms of my mouth being excited
[52:48.680 --> 52:54.460]  But last time I had covid I lost all sense of taste and my mouth was so depressed
[52:54.460 --> 52:59.760]  I was so sad because if everything tastes the same as somebody who enjoys food
[52:59.760 --> 53:02.820]  You realize like there's no point in getting anything like what?
[53:03.200 --> 53:07.640]  What choices do I make none of it matters? It all tastes the same. This is awful
[53:07.640 --> 53:13.160]  I was my mouth. I it hit a new sadness. It hit a sadness. I didn't know was possible. They do say
[53:13.160 --> 53:15.360]  Flavor is the spice of life
[53:15.880 --> 53:21.420]  That's you it's a it's a double-sided weapon. Uh, it's a it's a both sides of the same coin
[53:23.780 --> 53:24.860]  Uh, I
[53:24.860 --> 53:28.060]  Double-sided sword right there. I really do
[53:28.840 --> 53:33.640]  I I think that you eat because you have to and you don't enjoy it. I
[53:34.280 --> 53:35.640]  have to control
[53:36.360 --> 53:42.900]  My eating because I want I love flavor and like the sensation of eating so much
[53:43.640 --> 53:48.200]  I it's so enjoyable to me. It's so enjoyable to eat. I'd say that's the norm
[53:48.900 --> 53:52.420]  I think so too, but now you've invented a cube that you've sanded down
[53:54.280 --> 53:57.620]  And by the way, I appreciate you saying it on the cube, yeah, thank you
[53:59.980 --> 54:04.040]  If I if I ate the cube or if I ate the corners from eric's cube
[54:04.040 --> 54:06.660]  Yeah, I would probably I would eat probably once a day
[54:07.240 --> 54:10.800]  I don't even think you I don't think you would do that. I don't even think you would I disagree
[54:11.140 --> 54:15.220]  Yeah, I don't think you would eat ever. I think you would only eat in social situations
[54:15.720 --> 54:18.520]  Yeah, but I feel like it's a that's nice to have one today
[54:18.920 --> 54:23.940]  But then when you eat are you eating your flavorless protein cube? Are you eating fun food?
[54:24.560 --> 54:26.440]  No, if I was only in once a day i'd make it count
[54:27.120 --> 54:29.220]  Well, you could do that now asshole. Why don't you?
[54:29.220 --> 54:30.380]  I don't know
[54:33.260 --> 54:35.260]  You can make it count for every meal
[54:37.100 --> 54:42.160]  It absolutely counts actually let's let's go back to the episodes where andrew was the freak
[54:44.780 --> 54:49.560]  I I understand at the genesis of what you're saying is food eating the
[54:49.560 --> 54:52.520]  The prospect the concept of eating takes time out of a day
[54:52.520 --> 54:55.860]  And if you're a busy businessman like you are and you could eliminate that
[54:55.860 --> 55:00.340]  That time cost from your day it would it would add to the efficiency of your life
[55:00.340 --> 55:07.280]  I get that but there is a danger with making things so efficient that there's no fun or flavor in life itself
[55:07.280 --> 55:14.220]  And so I think that I think the break the the mandatory it probably serves multiple purposes, right other than just nourishing your body
[55:14.220 --> 55:19.900]  But it also forces you to stop what you're doing and then focus on you for a little bit at least in in terms of
[55:19.900 --> 55:23.460]  Ingesting fuel into you so that you can continue to exist
[55:23.460 --> 55:27.040]  so I'm assuming more something happens in your brain in that moment where you're like
[55:27.440 --> 55:32.460]  You're also like taking stock of your life and present in the moment and you know, it's probably you don't realize it
[55:32.460 --> 55:37.820]  But it's probably a really important check-in a couple times a day that you go through subconsciously without even knowing it
[55:37.820 --> 55:38.380]  Yeah
[55:38.380 --> 55:43.600]  I mean for me I've identified what the reason is mainly that a lot of the work I do because it's just me
[55:43.600 --> 55:46.440]  Deciding to do it whenever I do it. What's the worst?
[55:46.600 --> 55:52.760]  I don't really feel like doing it all that like if I have an edit I need to be done in two days. I
[55:52.760 --> 55:58.380]  Rarely feel like doing it most of the day and then I'll just suddenly start doing it or just get on a roll and it's
[55:58.380 --> 56:00.000]  Around that time where it's like I'm starving
[56:00.560 --> 56:04.860]  So it's like because so much of my effort it feels mood based
[56:04.860 --> 56:11.480]  It just interrupts the rare times where I feel motivated. Totally. That makes sense. I understand that I
[56:11.480 --> 56:17.540]  Similarly, I have to self-motivate myself to do stuff now and I don't ever feel like doing the thing
[56:17.540 --> 56:20.680]  I want to do I need to do like I've never felt like recording so all right, right
[56:20.680 --> 56:22.520]  But like once I do it
[56:23.000 --> 56:24.660]  Once I'm doing it. I don't want to stop
[56:25.140 --> 56:27.020]  I don't feel like stopping if that makes sense
[56:27.020 --> 56:33.000]  And so anything that gets in the way is like it was so fucking hard to spin myself up to do the thing
[56:33.480 --> 56:38.260]  Because it was so much easier not to do it and to like to fucking to sit there and yell at myself and force myself
[56:38.260 --> 56:40.420]  To get in front of the computer and start working now that I'm doing it
[56:40.420 --> 56:45.060]  I don't want anything to get in the way of it because it's because once I stop it's gonna be so much fucking harder to
[56:45.060 --> 56:45.960]  Get myself to start again
[56:46.560 --> 56:50.860]  And then also just like a hands-on task you're limiting what foods you can enjoy
[56:51.380 --> 56:55.760]  Like I have you ever tried to eat wings while playing video games nightmare doesn't work
[56:56.840 --> 56:59.420]  Absolute all-time mess ribs same way
[56:59.420 --> 57:04.140]  I think it's commercials are always like that where people are eating wings in situations that you would never eat wings
[57:04.800 --> 57:05.280]  Yes
[57:05.780 --> 57:11.280]  That's so true. I thought you meant that commercials were the time to eat wings, which is a problem I face
[57:12.500 --> 57:14.920]  Games we're like I love the innovation
[57:14.920 --> 57:18.400]  But we're now in a world where there's almost no loading screens
[57:18.400 --> 57:24.180]  And I'd have no window of time to eat my wings. It has been a real problem. The Xbox one X is too fast
[57:24.180 --> 57:25.800]  It is yes
[57:27.340 --> 57:31.900]  Sauce all over the place. There are times I've been playing the Texas Chainsaw Massacre game a lot
[57:31.900 --> 57:37.420]  I love that game and as Leatherface you're on the go constantly and there are times where I've said hey
[57:37.420 --> 57:39.980]  Can somebody else take over this role? I just want to eat some wings
[57:39.980 --> 57:43.680]  I want to get like two or three wings. There's no wing time when you're Leatherface
[57:44.320 --> 57:49.800]  Yeah, it's so funny that we're at a point where that problem is almost solved
[57:49.800 --> 57:52.960]  I was thinking the other day about I was talking to somebody who had
[57:53.600 --> 57:55.700]  Who had just moved to Austin and they were living in an apartment?
[57:55.840 --> 57:59.580]  I was thinking about apartment living and I was thinking about setting up my first apartment in
[57:59.580 --> 58:03.520]  Austin and I was trying to remember like what I did at 23 years old for fun
[58:03.520 --> 58:08.660]  I remember I used to go mountain biking and and I remember I had a ps2 and I played a shitload of
[58:10.200 --> 58:15.600]  Crash Bandicoot, I was a real big fan of Crash Bandicoot and that it triggered just that thinking like oh
[58:15.600 --> 58:20.420]  I remember I sat in the living room and played a lot of Crash Bandicoot and then I got hard triggered this memory of
[58:20.420 --> 58:25.760]  How fucking mad I used to get playing that game because I timed it the loading screens
[58:25.760 --> 58:29.020]  For Crash Bandicoot were longer than the levels
[58:29.740 --> 58:30.140]  I
[58:30.140 --> 58:33.280]  Would I would time it with it like with my watch and be like alright
[58:33.280 --> 58:40.240]  Minute and 19 seconds to get into the game and it took me a minute and eight seconds to beat the fucking level like something
[58:40.240 --> 58:44.240]  Is wrong with this and I had forgotten that I used to have that was like a problem
[58:44.240 --> 58:47.140]  We used to have all the time because I've gotten so used to quick loading screens
[58:47.140 --> 58:51.940]  Yeah, I have that with when I play old games like I'm playing games for the first time
[58:51.940 --> 58:54.320]  I just missed like Dishonored and stuff, but okay
[58:54.320 --> 58:59.840]  My PC is so much better compared to PCs at the time that I can't read any of the tips
[59:00.540 --> 59:01.000]  Yeah
[59:02.520 --> 59:02.980]  Yeah
[59:03.660 --> 59:07.920]  Even modern games that still like I feel like they include that because that's what you do in those screens
[59:07.920 --> 59:13.980]  But like impossible to read they just instantly go away Geoff. I had no idea about your connection with Crash Bandicoot
[59:13.980 --> 59:17.260]  I'd love to did you ever play the remaster they put out like no
[59:17.260 --> 59:21.700]  I don't think I've played Crash Bandicoot since then. Oh my god
[59:21.700 --> 59:26.600]  We need to yeah, I'd love to watch you play some Crash Bandicoot in the remaster and see like yeah
[59:26.600 --> 59:29.840]  Remember and all that I'd love to I remember really enjoying the game
[59:29.840 --> 59:33.660]  I think I think what basically what happened is not too long after that the Dreamcast came out and then
[59:33.660 --> 59:38.560]  Gus and I were Dreamcast boys for a while and then the next box and they were Xbox boys
[59:38.560 --> 59:41.960]  And you know now I'm a trucker and I'm a truck boy. I have a note
[59:41.960 --> 59:46.320]  Okay, but I don't know how I got this information. I don't know where I heard this
[59:47.640 --> 59:48.440]  okay, but
[59:49.940 --> 59:55.280]  Eric did you know that where Geoff was digging or where we were digging the second beanhole?
[59:55.280 --> 59:58.100]  That Geoff pisses there sometimes what?
[01:00:03.500 --> 01:00:07.000]  I don't think that's true. What?
[01:00:10.800 --> 01:00:17.040]  How did I write this thing I made up I have definitely peed in my backyard a couple of times
[01:00:17.040 --> 01:00:22.580]  When like I'm running home from a bike ride and like I don't think I can make it inside, you know
[01:00:22.580 --> 01:00:29.240]  But I I wouldn't pee right there because I would be visible to my neighbors and to the street
[01:00:29.240 --> 01:00:34.580]  I pee and I there's like one spot in my backyard where if I really have to go I'll pee like
[01:00:34.580 --> 01:00:36.720]  wedged in between a tree
[01:00:38.080 --> 01:00:43.880]  Yeah, I never had a pee corner Gavin so like here's the deal with my house though like I
[01:00:43.880 --> 01:00:47.300]  My the bike goes in the backyard through a long gate and stuff, right?
[01:00:47.400 --> 01:00:50.080]  And then there's no way for me to get into the back of the house
[01:00:50.080 --> 01:00:52.620]  Like there's no key or number pad or anything
[01:00:52.620 --> 01:00:54.640]  So I gotta go all the way if the doors are locked
[01:00:54.640 --> 01:00:58.500]  I gotta go all the way back around to the front of the house and let myself in and you know
[01:00:58.900 --> 01:01:04.380]  What when I was 30 that wouldn't have been a problem, but at 48 it can it's I guess when I gotta go I gotta go
[01:01:05.700 --> 01:01:08.460]  You've already been on like probably like now a long bike ride
[01:01:08.460 --> 01:01:12.820]  Yeah that I didn't want to fucking get off my bike to pee and so it's come to an issue
[01:01:14.100 --> 01:01:16.260]  Another 25 seconds to get in the front door
[01:01:16.840 --> 01:01:20.260]  Andrew couldn't wait more than three minutes into the episode to leave and pee
[01:01:21.620 --> 01:01:25.540]  Yeah, no that was I've never done that in this show my stomach it was listen
[01:01:25.540 --> 01:01:30.340]  I share a lot of the issues you have Geoff. I just don't talk about it as much. That was a nuclear scenario
[01:01:30.340 --> 01:01:32.300]  I'm glad you were late Gavin. You gave me a great out
[01:01:32.300 --> 01:01:33.500]  I appreciate that quite a bit
[01:01:33.500 --> 01:01:38.620]  Geoff if you got intercepted by a neighbor on the on the backlight on the way back from a bike ride
[01:01:38.620 --> 01:01:42.540]  It'd be a disaster. It could be yeah, which why I don't talk to my neighbors one time
[01:01:42.540 --> 01:01:43.360]  You know
[01:01:44.180 --> 01:01:48.420]  You know how you were talking about how you you walk in therapy sometimes
[01:01:49.120 --> 01:01:50.520]  Well only when my powers off
[01:01:50.520 --> 01:01:51.080]  Yeah
[01:01:51.080 --> 01:01:55.700]  You were you were talking about how somebody stopped you when you were like you were having therapy and somebody's yeah
[01:01:55.700 --> 01:02:01.420]  I was holding my shoe as well. Yeah, you're holding your shoe. I do the same. Well, I did I don't I don't do therapy
[01:02:01.420 --> 01:02:06.100]  Anymore, but when I was doing it, I would walk and and and talk at the same time. I get like fidgety
[01:02:06.100 --> 01:02:10.620]  I can't sit still so I have to walk and I would always walk around my neighborhood or like drive to a different neighborhood
[01:02:10.980 --> 01:02:14.220]  One of the last times I did therapy I had to pee so bad
[01:02:14.220 --> 01:02:18.760]  I had to stop therapy go into a port-a-potty at a construction site and
[01:02:21.780 --> 01:02:25.240]  That piss probably cost you ten bucks, it's fine it was worth it
[01:02:26.920 --> 01:02:27.240]  I
[01:02:28.660 --> 01:02:32.920]  Was like talking about there was I was like I had a piece of bad news like I just call me back and I was
[01:02:32.920 --> 01:02:37.180]  Like I'm just in my neighborhood. I was like, oh wait, there's a port-a-potty. I gotta go and I just fucking ran for it
[01:02:37.640 --> 01:02:41.120]  He and he said he told me he told me it happens more often than you would think
[01:02:42.080 --> 01:02:45.840]  So, I don't know where I heard that maybe from Emily somewhere
[01:02:45.840 --> 01:02:50.400]  But you probably heard it from Emily, but I I would did listen. I remember where I pee
[01:02:50.400 --> 01:02:56.040]  I don't think I've ever peed on that specific spot and I wouldn't because I would be afraid that that would fuck with Emily's seeds
[01:02:56.560 --> 01:03:02.920]  Ah, that makes sense. So you haven't pissed there since the seeds if I'd ever pissed there before I don't remember it
[01:03:02.920 --> 01:03:06.800]  But I definitely haven't pissed there since the seeds. There's no danger that you were digging up
[01:03:08.220 --> 01:03:09.100]  Okay, I
[01:03:09.680 --> 01:03:16.020]  It makes sense to me. I had a I had a few pee zones as a kid in my grandparents backyard, but
[01:03:17.020 --> 01:03:20.740]  You didn't really have a backyard Gavin. So that makes sense to me that
[01:03:20.740 --> 01:03:29.300]  I had a grandfather who all my dad's side his dad who would only pee outside
[01:03:29.300 --> 01:03:34.220]  Like he'd be in the living room watching TV and he'd have to take a piss and he'd get up and go out into the backyard
[01:03:34.220 --> 01:03:38.220]  Is this a normal thing he just I don't know should pee outside
[01:03:38.220 --> 01:03:45.700]  My logic as a child, I'm like four probably when I was doing this was I'm having so much fun playing outside
[01:03:45.700 --> 01:03:52.260]  Why would I bother going all the way into the house and using the bathroom when I can just pee in these bushes?
[01:03:53.320 --> 01:03:56.380]  Why wouldn't I just do that? I had two pee zones. I had one
[01:03:56.380 --> 01:04:00.720]  There's a little bush area on the right corner of the yard and then there was a shed
[01:04:01.580 --> 01:04:07.780]  Behind like at the very back of the yard and there's a like a PVC pipe that's stuck out of the ground and you know
[01:04:07.780 --> 01:04:13.120]  When you would like when you cup your hand around your ear, you hear that sort of oceany kind of sound
[01:04:13.120 --> 01:04:15.940]  I had convinced myself that that pipe
[01:04:15.940 --> 01:04:22.820]  Led to like the downtown waterfront park area like into the sea and I would pee into the pipe thinking
[01:04:22.820 --> 01:04:26.020]  I was peeing into the ocean and that I was being very cool
[01:04:26.520 --> 01:04:30.560]  Those are my pee zones as a kid. Do you have any pee zones now?
[01:04:30.720 --> 01:04:32.620]  No, I don't have any pee zones now
[01:04:33.260 --> 01:04:39.500]  I watch homeless people pee across the street, but I personally don't. Yeah, I know you do. Yeah
[01:04:39.500 --> 01:04:42.460]  You know that that reminds me a couple years ago
[01:04:42.460 --> 01:04:46.560]  I we were doing some stuff at Comic Con and I was helping Gus out
[01:04:46.560 --> 01:04:52.360]  he had to interview a bunch of people from like DC TV shows like
[01:04:53.340 --> 01:04:55.800]  Like I don't remember who but it was you know
[01:04:55.800 --> 01:04:58.560]  Just like those DC superhero TV shows like Doom Patrol that kind of stuff
[01:04:59.560 --> 01:05:00.280]  Titans and
[01:05:00.280 --> 01:05:05.320]  we were interviewing it was just one of those things where you're like you're sitting in like director's chairs and there's one open and somebody
[01:05:05.320 --> 01:05:09.780]  Comes and you ask him ten questions. They're all fucking stupid like is a taco a sandwich or whatever
[01:05:09.780 --> 01:05:12.100]  it was like that era of the RT podcast and
[01:05:12.100 --> 01:05:15.560]  Some of we got to talking to a dude and somehow we got talking
[01:05:15.560 --> 01:05:18.040]  I think he was an actor on Black Lightning
[01:05:18.040 --> 01:05:20.920]  I think was the show if I'm if I'm remembered it correctly
[01:05:20.920 --> 01:05:24.760]  But he was we were talking about peeing outside and he was like dude
[01:05:24.760 --> 01:05:28.540]  Have you ever pissed out of a second story window and Gus and I were like, why would we do that?
[01:05:28.540 --> 01:05:29.900]  And he's like you've got to try it
[01:05:29.900 --> 01:05:34.680]  I'm telling you it's the greatest feeling in the world and he would not stop talking about how great it is to pee out of
[01:05:34.680 --> 01:05:35.480]  the second floor
[01:05:36.720 --> 01:05:38.820]  And so I've never done it, but if
[01:05:39.780 --> 01:05:43.060]  Maybe a comment leaver has done it. He can let us know
[01:05:43.060 --> 01:05:47.000]  So if you ever get a chance, maybe pee out pee out the upstairs window and see what that's like
[01:05:47.000 --> 01:05:48.940]  Cuz apparently it's really liberating
[01:05:50.040 --> 01:05:55.480]  Huh, why can we do that? That guy was on TV. So he probably knows work doesn't really have any upstairs
[01:05:56.000 --> 01:05:59.120]  No, I I wonder how high becomes scary
[01:05:59.920 --> 01:06:06.740]  Like six floors seems even more fun to me, but to pee out of a 20-story window, dude
[01:06:06.740 --> 01:06:09.980]  I think you don't want to go too high because then you're stuck in updrafts
[01:06:09.980 --> 01:06:12.080]  Yeah, you're gonna go you're gonna be wearing a lot of pee
[01:06:13.120 --> 01:06:14.980]  Depends on the window sit up to like, you know
[01:06:14.980 --> 01:06:19.900]  How there are those windows were like only the bottom half opens up and you swing the handle for it
[01:06:19.900 --> 01:06:24.320]  Like those I feel like are great P windows regardless of you know
[01:06:24.320 --> 01:06:27.800]  What they should invent they should invent in tall buildings like in cities like New York
[01:06:27.800 --> 01:06:32.440]  They should they should invent like little piss doors that you can slide open stick out and pee outside
[01:06:33.020 --> 01:06:38.840]  Yeah, like a porthole like a pee hole when I when I was in the army and like when we fly c-130s sometimes
[01:06:38.840 --> 01:06:43.480]  Which is airplane they literally had like a little like I don't know
[01:06:43.480 --> 01:06:48.320]  It's like almost like a urinal you'd saddle right up to and you'd like stick your dick in it and then you'd piss out the
[01:06:48.320 --> 01:06:49.320]  side of the plane essentially
[01:06:50.080 --> 01:06:53.760]  Huh, so that also count as the most difficult glory hole as well
[01:06:53.760 --> 01:06:59.220]  I'd be pretty fucking hard because the other side of it is to be like a really fast flying seagull or something
[01:06:59.720 --> 01:07:04.660]  You don't want to leave your dick out when it's window cleaning day and that's set up. That'd be
[01:07:06.440 --> 01:07:11.320]  There's something really funny to me about the idea of your balls being caught by the draft just like
[01:07:12.600 --> 01:07:17.040]  Blown away with a gust of wind especially going like 350 miles an hour outside of a plane
[01:07:21.020 --> 01:07:24.220]  I think I I think we should try to pee
[01:07:25.180 --> 01:07:25.620]  upstairs
[01:07:26.180 --> 01:07:27.540]  out of something
[01:07:28.320 --> 01:07:28.760]  Yeah
[01:07:29.700 --> 01:07:31.480]  What what do we do we film it?
[01:07:32.200 --> 01:07:32.640]  No
[01:07:33.780 --> 01:07:39.940]  I'm just making sure I'm trying to get on the same page here. That's all. I'm just making sure I don't think we should film it
[01:07:39.940 --> 01:07:42.840]  I don't think we should. How can we do it without being seen?
[01:07:44.420 --> 01:07:46.540]  I don't think this has to be an elaborate thing
[01:07:46.540 --> 01:07:51.000]  I think maybe if somebody just does it let us know if it was more liberating between all of us
[01:07:51.000 --> 01:07:53.860]  I just don't really have anywhere I can think of where I'm not in full view
[01:07:54.320 --> 01:07:59.360]  Maybe I'll buy us a two-story house next time and then in a couple like if I ever buy a new house
[01:07:59.360 --> 01:08:04.860]  I'll try to get a two-story. What about this? A two-story porta potty. Oh
[01:08:04.860 --> 01:08:07.300]  A porta potty stacked with an upstairs
[01:08:09.040 --> 01:08:12.080]  What if we just piss off the top of a parking garage I
[01:08:14.220 --> 01:08:16.100]  Think we should have
[01:08:16.880 --> 01:08:22.920]  Two porta potties. Stack them, right? We'll get rid of the actual toilet on the second one. That one goes on top, right?
[01:08:27.280 --> 01:08:27.680]  Okay
[01:08:28.740 --> 01:08:30.820]  But there isn't one on the top
[01:08:30.820 --> 01:08:35.580]  It's just a hole straight through and you just piss from upstairs down into the toilet
[01:08:35.580 --> 01:08:39.940]  Oh like a long-distance piss, but you still have to aim it. That's what I was talking about
[01:08:41.000 --> 01:08:47.720]  I brought that up along the lifeguard. Yeah. Yeah. Yeah, that's right. Same type of idea. You're right. Get some distance
[01:08:48.840 --> 01:08:55.260]  But for me, it was fear of toilet snakes. This is just for pleasure. So you don't know why you think I pee there
[01:08:55.260 --> 01:08:58.160]  I just don't know. I just didn't remember how I got the info
[01:08:59.160 --> 01:09:01.800]  It just says that you piss there after a bike ride
[01:09:01.800 --> 01:09:08.660]  It feels like there's a mole in the house and that mole is a little incorrect mole as well
[01:09:08.660 --> 01:09:11.720]  Or does it just feel like Gavin is writing stuff?
[01:09:13.860 --> 01:09:20.300]  No, I think I think he must have talked to Emily or something but maybe it was a Halloween. Oh
[01:09:20.300 --> 01:09:26.360]  Maybe it was a Halloween where that kid almost got gizmoed cuz I could just oh, I'm looking at my notes right now
[01:09:26.360 --> 01:09:33.220]  We almost watch a kid getting engulfed in flames. Oh my god. That's what what happened burn dogs saved his life
[01:09:33.720 --> 01:09:36.500]  Really, you know those like blow up
[01:09:37.120 --> 01:09:42.500]  You know those like blow up air suits that people put on that's like a dinosaur they walk around well we had
[01:09:43.200 --> 01:09:46.940]  First off, you know, there's like a Halloween parade in my neighborhood
[01:09:46.940 --> 01:09:52.580]  And so we had Gavin Meg and Bernie and Vanessa over and we invited Eric and his small wife
[01:09:52.580 --> 01:09:54.320]  they weren't able to make it and
[01:09:54.320 --> 01:09:56.080]  we set up on the front and the
[01:09:56.080 --> 01:09:58.680]  driveway and I got the chiminea out and we
[01:09:58.680 --> 01:10:02.400]  Because it was cold and we made a little fire and then we were sitting out in lawn chairs
[01:10:02.400 --> 01:10:05.260]  Just like saying hi to people and waving and then when they would want candy
[01:10:05.260 --> 01:10:11.180]  We'd point to where the candy was which was far away from us and some fucking kid walked right up to the chiminea thinking there was
[01:10:11.180 --> 01:10:14.180]  Candy in it and got real close to it. And he was like all blown up
[01:10:14.180 --> 01:10:16.100]  he was a gizmo like from gremlins and
[01:10:16.660 --> 01:10:19.840]  He was like he like with the hug it almost and burned I got to grab him and push
[01:10:19.840 --> 01:10:25.160]  I think he just couldn't see it. Oh my god. That what it was. Yeah, just about to walk straight into it
[01:10:25.160 --> 01:10:29.740]  He just he seemed like he was coming straight for it. And this is where where I realized
[01:10:30.900 --> 01:10:31.300]  that
[01:10:32.160 --> 01:10:34.540]  Burn dog and I took different approaches to it
[01:10:35.260 --> 01:10:41.660]  He took a very preemptive strike in basically tackling the kid away from the from the fire
[01:10:41.660 --> 01:10:48.020]  And I just froze I I was just watching it happen and I was making a plan. I was like, okay
[01:10:48.020 --> 01:10:51.060]  Well, this kids about to catch on fire. I started looking around
[01:10:51.060 --> 01:10:58.860]  But I just couldn't I couldn't get anything done I just felt like I'm gonna go into action when it happens
[01:10:59.400 --> 01:11:00.880]  And I didn't think for a second
[01:11:00.880 --> 01:11:06.300]  Get up and prevent it from happening and I just don't know why I didn't go to you were waiting for the problem so that
[01:11:06.300 --> 01:11:07.020]  You could solve it
[01:11:07.520 --> 01:11:11.540]  There was no problem to solve yet. I'm I think it's just in my nature
[01:11:11.540 --> 01:11:16.600]  I just that I don't want to I don't want to make a scene unless the scene is guaranteed to happen
[01:11:17.080 --> 01:11:20.560]  Eric said I like calling it getting gizmoed. What would that be getting gizmoed?
[01:11:21.740 --> 01:11:26.220]  It sounds getting melted into your costume. I guess I guess so. Yeah
[01:11:26.800 --> 01:11:31.500]  Gavin explained it to me as getting gizmoed when he told me this story a while ago
[01:11:33.700 --> 01:11:34.700]  Getting gizmoed
[01:11:36.020 --> 01:11:38.180]  Have you ever caught on fire while wearing something
[01:11:39.620 --> 01:11:40.120]  Yeah
[01:11:42.220 --> 01:11:44.800]  Caught on fire caught on intentionally
[01:11:46.240 --> 01:11:50.980]  Unintentionally. Oh, no. No, I've been put on fire for like shoots and stuff
[01:11:50.980 --> 01:11:56.700]  Have you ever caught on fire Andrew? I have once it was uneventful
[01:11:56.700 --> 01:12:00.000]  It was about as uneventful as a fire setting as you could have but I was wearing
