[00:13.210 --> 00:15.090]  Yeah! That's okay.
[33:16.320 --> 33:17.340]  that he's an Indiana Pacer now.
[33:17.720 --> 33:18.760]  Joel Embiid.
[33:19.380 --> 33:20.720]  Keeps getting hit in the face.
[33:20.980 --> 33:22.740]  He got hit in the first quarter last night.
[33:22.920 --> 33:24.080]  It took him out of the rest of the game.
[33:24.480 --> 33:25.920]  Josh Jackson. He was there, but he wasn't there.
[33:26.020 --> 33:28.280]  Kyle Lowry. He's also not there right now.
[33:29.880 --> 33:30.640]  John Wall.
[33:30.840 --> 33:33.500]  Boy, he has disappeared from the NBA for a while.
[33:33.980 --> 33:34.660]  Chris Middleton.
[33:35.040 --> 33:37.000]  And then, for some reason,
[33:37.140 --> 33:37.940]  Colin Sexton.
[33:39.300 --> 33:40.360]  This is one of the
[33:40.360 --> 33:42.300]  ugliest insert series they have.
[33:42.520 --> 33:42.880]  Lay that down.
[33:44.980 --> 33:45.960]  It's just like grey.
[33:46.420 --> 33:48.260]  It looks like you're looking
[33:48.260 --> 33:49.340]  at it on an ugly TV.
[33:49.520 --> 33:52.220]  Yeah, it's like live in 4-3 from 1986.
[33:54.460 --> 33:55.740]  You're just keeping all of them.
[33:56.020 --> 33:57.100]  I'll deal with it later.
[33:59.020 --> 34:00.120]  I'm not going to deal with it later.
[34:00.320 --> 34:01.800]  No, absolutely not.
[34:02.000 --> 34:03.480]  You're going to look at those stacks and go,
[34:03.620 --> 34:04.480]  why did we keep all these?
[34:04.480 --> 34:05.800]  I'm in a hurry when I get out of here.
[34:08.300 --> 34:09.220]  Tristan Thompson.
[34:09.540 --> 34:11.580]  Keep it on the court, buddy.
[34:11.820 --> 34:13.100]  Make your life less complicated.
[34:13.540 --> 34:16.400]  Steph Curry. Andrew Wiggins.
[34:16.540 --> 34:17.400]  Oh, look at them back-to-back.
[34:17.860 --> 34:20.000]  Dejounte Murray. James Wiseman.
[34:20.400 --> 34:22.740]  This is the fucking Warriors pack, apparently.
[34:22.880 --> 34:24.620]  Anthony Davis. Or the pack of
[34:24.620 --> 34:25.600]  big dudes who are hurt.
[34:27.440 --> 34:28.640]  James Booknight rookie
[34:28.640 --> 34:30.640]  again. And then Jalen Green,
[34:31.280 --> 34:32.360]  who I think would have had
[34:32.940 --> 34:34.460]  a better year. I think he got hurt
[34:34.960 --> 34:35.680]  halfway through.
[34:36.360 --> 34:37.540]  How are we doing on those packs?
[34:37.940 --> 34:39.600]  Oh, dude, we're down to
[34:40.180 --> 34:42.100]  two, three of the NBA.
[34:42.360 --> 34:43.420]  And then we'll move on to something else.
[34:45.380 --> 34:46.340]  RJ Barrett.
[34:46.740 --> 34:48.080]  Bogdan Bogdanovich.
[34:51.300 --> 34:52.700]  Kenyon Martin Jr.
[34:53.220 --> 34:54.580]  Here we got Reggie Bullock.
[34:56.740 --> 34:58.320]  He could improve a little bit.
[34:59.840 --> 35:00.800]  Danilo Gallinari.
[35:00.800 --> 35:01.340]  I'm just saying,
[35:03.860 --> 35:04.780]  Dallas needs him.
[35:05.020 --> 35:06.380]  They need to hit some threes.
[35:06.700 --> 35:07.580]  Wendell Carter Jr.
[35:08.320 --> 35:10.560]  Norman Powell. And then Alexey
[35:10.560 --> 35:11.500]  Pokachevsky.
[35:12.300 --> 35:13.520]  What a name.
[35:14.160 --> 35:16.420]  He's got it all. He's like 7'2",
[35:16.420 --> 35:17.520]  weighs 108 pounds.
[35:19.180 --> 35:20.180]  Alexey Pokachevsky.
[35:20.260 --> 35:21.320]  If a bird was a man.
[35:23.660 --> 35:26.200]  Alright, down to the
[35:26.630 --> 35:28.060]  second to the last pack.
[35:28.060 --> 35:29.100]  Eric, it's getting intense.
[35:29.580 --> 35:31.960]  Where's our hit gonna come? Draymond Green, Jordan
[35:31.960 --> 35:33.980]  Poole. I appreciate that you think there's a hit
[35:33.980 --> 35:34.920]  that's coming. That's pretty cool.
[35:35.260 --> 35:38.220]  Boban has had a tremendous
[35:38.220 --> 35:39.920]  career in commercials lately. He is
[35:39.920 --> 35:42.240]  killing it. So what is that? Why is he
[35:42.240 --> 35:43.980]  everywhere? He's in the trailer
[35:43.980 --> 35:46.240]  for that new fucking Adam Sandler movie.
[35:46.600 --> 35:48.040]  Yes. The Hustle
[35:48.040 --> 35:50.140]  or some shit? Hustle, with Juancho
[35:50.140 --> 35:52.200]  Hernan Gomez as the
[35:52.200 --> 35:53.460]  protagonist, who has
[35:54.060 --> 35:55.940]  just ridden the benches his entire NBA career.
[35:55.940 --> 35:57.880]  I am from Spain.
[35:58.320 --> 36:00.000]  That's all of his
[36:00.000 --> 36:01.520]  acting. And then him, he's like,
[36:01.820 --> 36:02.640]  I'm 22.
[36:04.160 --> 36:06.100]  Yeah, he's like, I'm 22. That's my 12-year-old
[36:06.100 --> 36:08.000]  self. He's Luka's best
[36:08.000 --> 36:09.280]  friend too, I think, right? Yeah.
[36:10.020 --> 36:10.820]  Cole Anthony.
[36:12.340 --> 36:13.320]  Cole Anthony did
[36:13.820 --> 36:15.300]  the dunk contest this year
[36:15.300 --> 36:18.000]  in boots. That was like his big thing.
[36:18.060 --> 36:20.260]  He did them in timber ones. The dunk contest
[36:20.260 --> 36:21.980]  is so like... yeah, I guess so.
[36:22.140 --> 36:23.600]  His dad is a famous dunker.
[36:24.180 --> 36:25.480]  His dad is...
[36:25.480 --> 36:27.600]  he was on those NBA... or not those NBA, but
[36:27.600 --> 36:29.340]  those dunk leagues that we go around. Oh, really?
[36:29.580 --> 36:31.200]  Yeah, his dad's... I can't remember his name, but he's
[36:31.200 --> 36:33.520]  the most famous guy. He's like an and-one
[36:33.520 --> 36:35.120]  dude? Yeah, he's an and-one dude. Oh, that's crazy.
[36:35.400 --> 36:36.020]  Absolutely. Oh, wow.
[36:40.280 --> 36:40.840]  Malcolm Brogdon.
[36:43.240 --> 36:43.520]  Facundo
[36:44.740 --> 36:45.520]  Campazo. Facundo's a great
[36:45.520 --> 36:47.520]  name to say. Yeah, yeah. I mean, it's a
[36:47.520 --> 36:49.460]  keepable card. That's all I'm saying. I mean, we're just
[36:49.460 --> 36:51.360]  keeping all of them, so it doesn't matter, but yeah, sure.
[36:52.260 --> 36:52.780]  Uh...
[36:53.360 --> 36:55.360]  Santi Aldama, I've never heard
[36:55.360 --> 36:57.400]  of, and then Kelly Oubre Jr.
[36:57.660 --> 36:58.820]  Alright. Uh, they
[36:59.140 --> 37:01.420]  refer to him as the NBA's Mr. Stelio
[37:01.420 --> 37:03.080]  Girl. I love it. Yeah.
[37:03.260 --> 37:04.300]  That's his reputation.
[37:05.360 --> 37:07.420]  So, I guess Nick Young no longer
[37:07.420 --> 37:08.640]  has that. His reputation.
[37:10.740 --> 37:13.440]  Last pack on these cards.
[37:13.520 --> 37:15.300]  On these cards. Andre Drummond.
[37:15.400 --> 37:16.960]  Ooh. Uh...
[37:16.960 --> 37:19.360]  Ricky Rubio. Alright. Terrible sad story
[37:19.360 --> 37:21.080]  about Ricky Rubio. Devonta Sabonis.
[37:21.380 --> 37:23.760]  Gordon Hayward. It's kind of like, hmm...
[37:23.760 --> 37:25.420]  Elbow somebody, and then he's like,
[37:25.480 --> 37:26.560]  oh, they hurt me.
[37:27.120 --> 37:28.960]  Dude, you elbowed him.
[37:29.480 --> 37:30.880]  Terrence Mann. Tyler Hero.
[37:31.520 --> 37:33.300]  Kevin Love. Can't stand Tyler Hero.
[37:33.820 --> 37:35.100]  Yeah, he's got it. He's...
[37:37.060 --> 37:37.540]  Eric...
[37:37.540 --> 37:39.360]  Not Eric. I think Andrew said
[37:39.360 --> 37:41.100]  he's got the most punchable face.
[37:41.200 --> 37:43.140]  He does. He's like if it...
[37:43.140 --> 37:45.500]  We gotta go back to that card. Yeah, let's go back to that. He is like
[37:45.500 --> 37:47.300]  if a Twitch streamer was an
[37:47.300 --> 37:49.500]  NBA player, just bothers
[37:49.500 --> 37:51.420]  the shit out of me. Everything about
[37:51.420 --> 37:53.400]  him is like... It's not like
[37:53.400 --> 37:55.120]  he talks a lot or does anything.
[37:55.280 --> 37:57.320]  There's just something about him where I go, I don't
[37:57.320 --> 37:59.060]  like you. Yeah. I just don't like you.
[37:59.140 --> 38:01.300]  I read up five things about me, about Tyler Hero
[38:01.300 --> 38:03.380]  once, and I think number four was
[38:03.380 --> 38:05.020]  I'm a bit of a dog.
[38:05.160 --> 38:07.080]  He just... And I'm like, that
[38:07.080 --> 38:09.320]  turned me off a bit. He just looks like he has opinions
[38:09.320 --> 38:11.000]  about Fortnite Zero Build. Yeah.
[38:11.060 --> 38:13.000]  It's just like, shut up. Oh, what's that last card?
[38:13.440 --> 38:14.460]  Oh, sorry. Yeah, it was
[38:15.920 --> 38:16.560]  Santi Aldama
[38:16.560 --> 38:18.180]  but the laser parallel.
[38:18.560 --> 38:20.560]  Oh, it's that one! Same dude again. Oh, that's fun!
[38:21.620 --> 38:22.500]  Yeah, he's like
[38:22.500 --> 38:24.460]  people are like, if you have to tell people
[38:24.460 --> 38:26.220]  that's who you are, that's not who you are.
[38:26.920 --> 38:27.820]  I'm a bit of a dog.
[38:28.260 --> 38:29.840]  I'm a bit tough. I just don't
[38:29.840 --> 38:31.060]  care for that guy.
[38:32.480 --> 38:34.460]  Well, that was a lot of basketball. That was a lot of basketball.
[38:34.500 --> 38:35.520]  You wanna switch it up? Yeah, let's do it.
[38:35.740 --> 38:37.960]  I got for you two packs of
[38:37.960 --> 38:40.360]  wrestling cards. Wow, NXT and WWE!
[38:40.980 --> 38:42.460]  Which one is better, NXT
[38:42.460 --> 38:44.020]  or WWE? Well, they're both WWE.
[38:44.420 --> 38:45.280]  Which one is better?
[38:46.620 --> 38:48.480]  I don't know. I guess. I mean, at this point
[38:48.480 --> 38:49.720]  it's different wrestlers, right?
[38:50.440 --> 38:52.320]  Yeah, but all of these people are
[38:52.320 --> 38:54.320]  like here now. So this is like the farm team?
[38:54.320 --> 38:56.420]  Yeah, that's the way it started, but now it's
[38:56.420 --> 38:58.180]  just another brand, so whatever. But like,
[38:58.300 --> 39:00.120]  NXT was more fun to watch a couple years ago.
[39:00.200 --> 39:02.340]  It was really good. Do you still watch it now?
[39:02.600 --> 39:04.480]  Not NXT, no. Does it
[39:04.480 --> 39:06.300]  come on still? Yeah. Oh yeah, it's still on TV.
[39:06.460 --> 39:08.120]  It's just not...
[39:08.120 --> 39:10.300]  They really changed up too much about it, and it's just not
[39:10.300 --> 39:12.200]  very exciting. So you say no
[39:12.200 --> 39:14.440]  to wrestling stuff? A lot of WWE
[39:14.440 --> 39:16.260]  stuff I don't really watch anymore. Really? Yeah, I watch
[39:16.260 --> 39:17.880]  a lot of independent stuff and like a lot of AEW.
[39:18.120 --> 39:20.100]  So you're an AEW and independent fan?
[39:20.180 --> 39:22.360]  Yeah, there's an independent wrestling show coming up in Austin
[39:22.360 --> 39:24.280]  that I'm really excited about. Is it
[39:24.280 --> 39:26.380]  the WrestleCircus people again? No, WrestleCircus
[39:26.380 --> 39:28.400]  is gone. Oh. Yeah, they're gone forever.
[39:28.760 --> 39:30.160]  It's called Inspire Pro Wrestling,
[39:30.320 --> 39:32.040]  and I think they have a show like in June.
[39:32.820 --> 39:34.260]  I'm excited about that. But you said you're going
[39:34.260 --> 39:36.260]  to Vegas for... I am, I'm going to
[39:37.060 --> 39:37.960]  AEW... Oh, that's AEW.
[39:37.960 --> 39:39.940]  AEW. Yeah, so I'm excited
[39:39.940 --> 39:41.840]  about that. That'll be fun. Something to do.
[39:42.360 --> 39:43.980]  But do you occasionally watch WWE?
[39:44.360 --> 39:45.780]  Yeah, I guess like... Keep tabs?
[39:47.000 --> 39:47.940]  Watching it on Twitter is
[39:47.940 --> 39:49.480]  a lot easier than sitting through a three-hour show.
[39:50.160 --> 39:50.920]  Gotcha. You know? Gotcha.
[39:52.220 --> 39:54.020]  You're probably familiar with Jackson Riker.
[39:55.980 --> 39:58.020]  Jackson Riker, noted MAGA guy.
[39:58.300 --> 39:58.700]  Oh!
[39:59.860 --> 40:01.840]  Definitely was like on the roster
[40:01.840 --> 40:03.840]  and they're calling him up and all this stuff, and then he's
[40:03.840 --> 40:06.020]  like, that's my president
[40:06.020 --> 40:07.260]  on the last guy.
[40:07.880 --> 40:09.880]  And everyone's like, we don't like this guy, we don't
[40:09.880 --> 40:12.040]  work with him, so they fired him. Wow. So what's he doing now?
[40:12.480 --> 40:13.800]  Probably independent stuff in
[40:14.400 --> 40:16.240]  the south. The northeast.
[40:16.500 --> 40:17.980]  Where everyone... Wrestling... What was it called?
[40:18.220 --> 40:19.120]  Wrestle Illuminati?
[40:20.600 --> 40:21.960]  Yeah, the Wrestle
[40:21.960 --> 40:24.220]  Illuminati. There's
[40:24.220 --> 40:25.940]  Choose Your Narrative, and I think he would fit there
[40:25.940 --> 40:27.380]  really well. It's a different thing.
[40:27.780 --> 40:29.140]  How about these dudes?
[40:29.660 --> 40:31.940]  Oh! It's Baron Corbin and the Dirty
[40:31.940 --> 40:32.460]  Dogs.
[40:33.480 --> 40:33.880]  It's...
[40:33.880 --> 40:36.300]  Is that Big Bob Rude?
[40:37.060 --> 40:38.640]  Yeah, Bobby Rude, Dolph Ziggler
[40:38.640 --> 40:40.660]  and Baron Corbin. They were a team for a little
[40:40.660 --> 40:42.680]  while. Did they lay the smackdown?
[40:42.880 --> 40:44.240]  Uh, yeah. Yes.
[40:44.560 --> 40:46.660]  Do you know about this lady? Dana Brooke, I think
[40:46.660 --> 40:48.620]  is married to an NBA player, or was married to an
[40:48.620 --> 40:49.940]  NBA player, I don't remember who.
[40:50.980 --> 40:52.160]  Maybe it says in the back.
[40:52.280 --> 40:54.860]  Probably not. An award-winning bodybuilder,
[40:54.940 --> 40:56.340]  she's proving herself to be a top competitor in the WWE.
[40:56.600 --> 40:57.860]  Does she still compete?
[40:58.280 --> 41:00.460]  Yeah, I think she's the 24-7
[41:00.460 --> 41:02.420]  champion right now. She's got a keen mind.
[41:02.720 --> 41:03.840]  Keen mind. Way to go, man.
[41:04.060 --> 41:06.200]  She's got a keen mind. Yeah, uh-huh. I said that
[41:06.560 --> 41:08.180]  all. Yeah, no, you're slam dunking it, baby.
[41:08.600 --> 41:09.980]  It's a slow stroke.
[41:10.700 --> 41:12.120]  It's happening in stages. Uh-huh.
[41:13.020 --> 41:14.500]  Once determined to be crowned a singles
[41:14.500 --> 41:15.560]  champion, oh, hey, Geoff.
[41:16.380 --> 41:18.540]  Dana now seeks the WWE Women's
[41:18.540 --> 41:20.360]  Tag Team Champion with Mandy Rose.
[41:20.540 --> 41:21.840]  She did for a while, but not anymore.
[41:22.100 --> 41:24.400]  Did they have a falling out? I think they just sort of broke
[41:24.400 --> 41:25.080]  them up and it didn't matter.
[41:25.720 --> 41:27.120]  Are you familiar with these people?
[41:27.120 --> 41:29.340]  Is that Sasha Banks and Roman Reigns?
[41:29.520 --> 41:31.000]  Yeah. Yeah, I think that's from the
[41:31.000 --> 41:33.060]  Mixed Match Challenge thing that they were doing.
[41:33.280 --> 41:35.000]  It's good. Sasha Banks is great.
[41:35.240 --> 41:37.180]  Roman Reigns is good. And then that person. Rhea Ripley
[41:37.180 --> 41:39.140]  is cool. She's Australian and she does
[41:39.140 --> 41:41.140]  she's like all metal and she just
[41:41.140 --> 41:42.420]  joined a bad guy team.
[41:43.380 --> 41:45.020]  She's like the wrestling ACDC.
[41:45.620 --> 41:47.240]  Yeah, you know what? Yeah, she does
[41:47.240 --> 41:49.120]  dirty deeds. Doesn't dirt cheap. It really
[41:49.120 --> 41:49.540]  works out.
[41:50.920 --> 41:53.000]  Oh, it's acknowledge
[41:53.000 --> 41:54.520]  me, Roman Reigns.
[41:55.900 --> 41:56.640]  That's like the guy.
[41:56.800 --> 41:58.520]  That's The Rock's cousin. He's going to fight The Rock at Wrestlemania
[41:58.520 --> 42:00.480]  next year, I think. I got a rookie. The Rock still
[42:00.480 --> 42:01.480]  fights? No.
[42:02.520 --> 42:04.580]  But he's going to come back to put Roman Reigns
[42:04.580 --> 42:06.540]  over to make him like the
[42:06.540 --> 42:08.440]  guy. First off, I got a rookie
[42:08.440 --> 42:10.360]  card, which is exciting. Okay, who is it?
[42:10.480 --> 42:12.520]  But also, this may be one of the worst photos I've ever seen.
[42:12.900 --> 42:14.040]  I don't want to throw this your way.
[42:14.380 --> 42:16.280]  Oh, it's Omos! Just a dude
[42:16.280 --> 42:18.620]  in a turtleneck. He's like 7'2".
[42:19.740 --> 42:20.300]  That's a big
[42:20.300 --> 42:22.460]  turtleneck. That's like his
[42:22.460 --> 42:23.620]  thing. He's like a big
[42:24.500 --> 42:26.500]  guy. So he's like, I'm wearing this shirt because it's the only
[42:26.500 --> 42:28.420]  shirt that fits me. For some reason,
[42:28.520 --> 42:30.560]  that was the thing he would wear, like a coat
[42:30.560 --> 42:32.360]  and a shirt. It would just be like,
[42:32.460 --> 42:34.020]  I'm big, and that would be it.
[42:34.280 --> 42:36.560]  I don't know. But that's fine. I mean, cool.
[42:36.740 --> 42:38.480]  I guess. Yeah, the beach is
[42:38.480 --> 42:40.540]  on. Yeah, let's see what's in those NXT cards. I'm sure
[42:40.540 --> 42:42.460]  there's something fun there.
[42:42.700 --> 42:44.520]  Most of the people in that are in WWE now,
[42:44.600 --> 42:46.380]  so it's in what they call the main
[42:46.380 --> 42:48.720]  roster, so it's on Raw and SmackDown,
[42:48.840 --> 42:50.420]  but also NXT is on TV,
[42:50.420 --> 42:50.920]  so whatever.
[42:53.500 --> 42:54.380]  Let's see how many people
[42:54.380 --> 42:56.480]  in this pack are fire. Okay, let's see.
[42:56.800 --> 42:58.420]  First off, we have Kushida
[42:58.420 --> 43:00.460]  and Timothy Thatcher. Neither one of them work
[43:00.460 --> 43:02.380]  at this company anymore. Oh, really? Yes,
[43:02.400 --> 43:04.160]  they are both gone. Great wrestlers.
[43:04.480 --> 43:05.700]  What are they in the independent...
[43:06.420 --> 43:08.560]  Illuminati now? I think Kushida is going back
[43:08.560 --> 43:10.580]  to New Japan, and then Timothy Thatcher will work
[43:10.580 --> 43:11.820]  everywhere. He's really good.
[43:12.500 --> 43:14.460]  Bronson Reed no longer works there. His name
[43:14.460 --> 43:16.520]  is Jonah Rock, and he wrestles in New Japan
[43:16.520 --> 43:20.400]  Pro Wrestling. Oh, we
[43:20.400 --> 43:22.120]  have one more for... Ooh, Legado de
[43:22.120 --> 43:22.760]  Fantasma.
[43:24.860 --> 43:25.740]  This guy,
[43:26.140 --> 43:27.940]  Santos Escobar, was in
[43:27.940 --> 43:30.100]  Lucha Underground as King Cuerno.
[43:30.620 --> 43:32.100]  He picked up a victory there. Oh, way
[43:32.100 --> 43:34.040]  to go, man. How about this one?
[43:34.740 --> 43:35.940]  Is that Karrion Kross?
[43:36.060 --> 43:37.940]  No longer in WWE. He
[43:37.940 --> 43:39.860]  wrestles for Choose Your Narrative, which
[43:39.860 --> 43:41.540]  is the coolest wrestling company
[43:41.540 --> 43:43.900]  where it's guys... where they put like a disclaimer
[43:43.900 --> 43:45.740]  at the front, and they go, this is for
[43:45.740 --> 43:47.880]  free thinkers. And you go,
[43:47.880 --> 43:48.380]  yeah.
[43:49.840 --> 43:51.560]  So, it's like, it's
[43:51.560 --> 43:54.020]  bad wrestling rules. And there's money in that
[43:54.020 --> 43:55.940]  for them? No. Oh. That's
[43:55.940 --> 43:57.120]  the best part. Oh.
[43:57.440 --> 43:57.800]  Okay.
[43:59.600 --> 44:01.860]  Oh, Piper Niven. She's
[44:01.860 --> 44:03.860]  I think Dewdrop in WWE. She still
[44:03.860 --> 44:05.380]  works there. Dewdrop. Good for her.
[44:07.080 --> 44:07.700]  Who's that?
[44:07.840 --> 44:09.880]  Oh, is that Adam Cole? He's in AEW
[44:09.880 --> 44:11.840]  now, so that's cool. He's like the guy.
[44:11.980 --> 44:13.480]  He's like one of the guys over there. And this guy,
[44:13.780 --> 44:15.640]  Roderick Strong. Roderick Strong
[44:16.500 --> 44:17.380]  is still
[44:17.380 --> 44:19.240]  in NXT,
[44:19.620 --> 44:21.640]  and is this referee...
[44:22.240 --> 44:23.640]  Yeah, that's Drake Younger, who
[44:23.640 --> 44:25.300]  turned out to be a weird maggot guy too.
[44:25.620 --> 44:27.580]  The referee? Yeah, yeah, yeah. He started
[44:27.580 --> 44:29.640]  like, he started like going
[44:29.640 --> 44:31.700]  to like school board meetings
[44:31.700 --> 44:33.660]  and city council meetings and stuff, and going like
[44:33.660 --> 44:35.620]  we need to like stop our children
[44:35.620 --> 44:37.620]  from these evil acts that the
[44:37.620 --> 44:39.340]  Democrats are coming for the children.
[44:39.480 --> 44:41.620]  It was like, oh, he's nuts. Oh, he's trying to save
[44:41.620 --> 44:42.740]  the kids. Yeah, it was pretty exciting.
[44:42.740 --> 44:43.900]  It was pretty exciting.
[44:44.840 --> 44:46.740]  Alright, Eric, I think we have 15
[44:46.740 --> 44:48.680]  minutes left. We have time for the revolution.
[44:49.080 --> 44:50.800]  The big thing left, but first I'm going to show
[44:50.800 --> 44:52.320]  I was going to do some more... Oh, you got some show and tell?
[44:52.560 --> 44:54.760]  Yeah, I thought I'd show some fun cards. Okay. I don't know if I've
[44:54.760 --> 44:56.740]  ever shown this one. I bought this for us a while back.
[44:56.820 --> 44:58.860]  Okay. I don't know if I ever showed it on a break
[44:58.860 --> 45:00.720]  stuff, so I'm going to show it here. Let's see. This is a famous
[45:00.720 --> 45:02.520]  card. It's
[45:02.520 --> 45:04.880]  June Bong and Brandon Puffer.
[45:05.360 --> 45:06.660]  And the reason this is a famous
[45:06.660 --> 45:08.760]  card is because the guy who
[45:09.260 --> 45:10.720]  saw the opportunity in Tops to
[45:10.720 --> 45:12.260]  put these two players together, even though
[45:12.260 --> 45:14.520]  one played for the Braves and one played for the Astros,
[45:14.900 --> 45:16.420]  they had no connection whatsoever.
[45:17.000 --> 45:18.460]  But he wanted to have a card that said
[45:18.460 --> 45:20.360]  Bong Puffer. Whoa!
[45:23.160 --> 45:23.880]  That's awesome!
[45:24.360 --> 45:26.840]  That's a great card. I paid like $35 for that.
[45:26.860 --> 45:28.380]  That's a great card. The Bong Puffer card.
[45:28.420 --> 45:30.600]  Dude, that's awesome. Famous. And it's actually a Puffer
[45:30.600 --> 45:32.800]  Bong and he tried to get a flip and they were like, don't push your luck.
[45:33.560 --> 45:34.180]  And he was like, okay.
[45:34.600 --> 45:36.620]  So it came out Puffer Bong. That's so cool.
[45:37.180 --> 45:38.460]  Famous Bong Puffer card. Damn!
[45:39.380 --> 45:40.580]  Solely exists this card
[45:40.580 --> 45:42.640]  so that guy could make that joke. That's really fun.
[45:42.740 --> 45:44.520]  That's very fuckface. Yeah.
[45:44.520 --> 45:46.280]  Yeah, big time. Gotta really appreciate that.
[45:46.300 --> 45:48.740]  I think he'd also quit when he did it. Yeah, I bet.
[45:48.920 --> 45:50.460]  He was on his way out. Then I thought it'd be
[45:50.460 --> 45:51.680]  fun to do some more of this.
[45:52.260 --> 45:54.220]  I showed this in the fuckface break...
[45:54.220 --> 45:56.200]  Oh, that's right! But this is a
[45:56.200 --> 45:58.500]  close-up of the Ian stamp, the medium
[45:58.500 --> 46:00.680]  I think we're gonna go with. So when we do
[46:00.680 --> 46:02.460]  runs again where we give away cards,
[46:02.600 --> 46:03.920]  I'll stamp these. Yep.
[46:05.580 --> 46:06.520]  And you guys
[46:06.520 --> 46:07.980]  can get them. They look great. That's awesome.
[46:08.460 --> 46:10.640]  And then, from time to time
[46:10.640 --> 46:11.840]  we get redemptions. Okay.
[46:13.000 --> 46:14.540]  Which is, you've seen, we get
[46:14.540 --> 46:16.480]  them in these card, in these break shows or in the daily
[46:16.480 --> 46:18.600]  reps, where it's just a card that says, like, mail this in
[46:18.600 --> 46:20.640]  and we'll send you the actual card. Well, I've gotten some in
[46:20.640 --> 46:22.740]  so I thought I'd share them. Garrett Mitchell,
[46:22.880 --> 46:24.700]  I got this redemption recently
[46:26.040 --> 46:26.680]  in a
[46:26.680 --> 46:28.700]  daily rep. And you can see this is an on-card
[46:28.700 --> 46:30.540]  auto, actually. Very cool. And that's what it looks like
[46:30.540 --> 46:31.860]  when you get a Topps redemption.
[46:32.660 --> 46:33.980]  It's a little sealed Topps thing.
[46:34.640 --> 46:35.260]  It's pretty cool.
[46:35.520 --> 46:38.240]  This is what it looks like when you get one from Panini.
[46:38.840 --> 46:39.940]  It comes in a one-touch.
[46:40.060 --> 46:41.840]  This is an autographed Obi Toppin
[46:42.820 --> 46:43.760]  contender numbered rookie.
[46:44.300 --> 46:46.000]  And this is on-card as well. Why is it called
[46:46.000 --> 46:47.920]  one-touch? Well, because it's
[46:48.780 --> 46:50.040]  magnetized. So you open it,
[46:50.160 --> 46:52.080]  stick the card in, close it, and you only ever touch
[46:52.080 --> 46:53.100]  the card once. Oh, wow.
[46:54.080 --> 46:55.620]  Anyway, it's pretty cool.
[46:55.700 --> 46:57.840]  So that's what redemptions, when you finally get them, because I know I've
[46:57.840 --> 46:59.580]  pulled both of these in, break shits.
[47:00.300 --> 47:02.060]  That's what they come in and actually look like.
[47:02.060 --> 47:03.960]  That's pretty cool. I don't think I've ever seen that before.
[47:04.100 --> 47:06.060]  I feel like redemption things
[47:06.060 --> 47:08.080]  are things where they're
[47:08.080 --> 47:09.940]  like, yeah, mail this back. And most people go,
[47:10.040 --> 47:12.520]  yeah, I can't wait. And then never fucking do it.
[47:12.640 --> 47:14.100]  And then sometimes it takes
[47:14.100 --> 47:15.660]  up to like two or three years to get them. Wow.
[47:15.720 --> 47:17.060]  I got pretty lucky with those. That's crazy.
[47:17.540 --> 47:19.960]  Alright, so this is the overpriced, too
[47:19.960 --> 47:22.560]  expensive, 2021,
[47:23.520 --> 47:23.880]  2022
[47:25.020 --> 47:25.740]  NBA Revolution
[47:27.320 --> 47:27.680]  Panini
[47:28.440 --> 47:30.100]  Hobby Box. Five cards
[47:30.100 --> 47:31.900]  per pack, eight packs.
[47:32.120 --> 47:34.040]  Wow, there's not a lot of cards.
[47:34.320 --> 47:36.300]  Hey, Brian, we were right. How much was this box?
[47:37.000 --> 47:37.800]  This box
[47:37.800 --> 47:40.060]  set us back, and by us I mean me.
[47:40.060 --> 47:41.580]  Yeah, you specifically, right or right?
[47:46.190 --> 47:47.450]  $225. Brian, we were
[47:47.450 --> 47:49.390]  right. They get more expensive and there's
[47:49.390 --> 47:50.650]  just not a lot of cards in there, man.
[47:51.210 --> 47:53.450]  But here's what we can get. It's a 150
[47:53.450 --> 47:55.430]  card set, including 100 base cards and 50
[47:55.430 --> 47:57.190]  rookies. We can look for these randomly
[47:57.190 --> 47:59.290]  inserted cards. Base, Astro,
[47:59.290 --> 48:01.230]  Groove, Fractal, Galactic,
[48:02.070 --> 48:02.870]  Impact, Cosmic,
[48:03.390 --> 48:05.090]  75th Anniversary, Sunburst,
[48:05.790 --> 48:06.510]  Cubic, Lava,
[48:07.230 --> 48:08.790]  Astro, it just keeps going.
[48:09.130 --> 48:11.050]  That's insane. A lot of opportunity in there.
[48:11.230 --> 48:13.230]  Okay, now here's the thing. Any of these going in the
[48:13.230 --> 48:13.590]  pack sack?
[48:15.050 --> 48:17.170]  Or is this too expensive to live in
[48:17.170 --> 48:18.850]  the pack sack? Yeah.
[48:19.550 --> 48:21.090]  What does that mean? What is
[48:21.090 --> 48:22.810]  yeah? Yeah, it goes in the pack sack. Okay.
[48:23.530 --> 48:24.910]  I'm fucking not happy about that.
[48:24.910 --> 48:25.310]  Okay.
[48:27.830 --> 48:28.630]  That's you.
[48:28.770 --> 48:31.010]  Thanks for keeping me honest, asshole. I'm just making
[48:31.010 --> 48:33.070]  sure. No, I appreciate it. I said
[48:33.070 --> 48:34.850]  thank you. I gave you the opportunity to
[48:34.850 --> 48:36.630]  not do that. Okay, so in this,
