[00:00.500 --> 00:01.140]  We're back.
[36:51.470 --> 36:55.590]  I don't know, I remember, it's weird what you remember from the 10,000 old videos, you know?
[36:57.530 --> 36:58.790]  Oh, Eric! Eric!
[36:59.350 --> 37:00.490]  Eric is dancing!
[37:00.510 --> 37:01.430]  He's making it!
[37:01.530 --> 37:02.990]  You can do it, you can do it, you can do it!
[37:03.010 --> 37:03.950]  That's right, baby!
[37:04.690 --> 37:04.750]  Holy shit, Eric!
[37:04.830 --> 37:05.070]  No!
[37:05.850 --> 37:06.970]  That was brilliant.
[37:07.070 --> 37:07.390]  Solo!
[37:07.490 --> 37:08.290]  Come back!
[37:08.630 --> 37:09.790]  Let's fuckin' go!
[37:09.990 --> 37:10.770]  Oh, here it is.
[37:10.770 --> 37:11.390]  That was so good.
[37:12.910 --> 37:13.790]  That sucks.
[37:15.630 --> 37:16.610]  And now I'm in last.
[37:16.610 --> 37:17.990]  Three turns left.
[37:20.270 --> 37:21.130]  Give me the flower.
[37:21.130 --> 37:21.430]  No!
[37:22.330 --> 37:23.090]  I wanted the flower.
[37:28.000 --> 37:28.840]  Hey, good luck.
[37:36.340 --> 37:37.260]  Oh my god.
[37:37.280 --> 37:38.060]  This looks, uh...
[37:39.580 --> 37:40.020]  No!
[37:40.300 --> 37:40.980]  Oh, shit!
[37:43.260 --> 37:45.120]  Stop hitting me, stop hitting me!
[37:45.180 --> 37:46.140]  I'm fuckin' bored in here!
[37:46.300 --> 37:46.860]  Get away from it!
[37:48.700 --> 37:49.140]  No!
[37:51.620 --> 37:53.340]  Traps for days, baby!
[37:53.580 --> 37:55.620]  Oh my god, this is a nightmare.
[37:56.020 --> 37:56.880]  What am I doing down here?
[37:57.000 --> 37:57.540]  How do I...
[37:58.000 --> 37:59.460]  What the hell, dude?
[38:01.060 --> 38:02.260]  What am I doing down...
[38:02.900 --> 38:04.000]  Right into the lava!
[38:05.020 --> 38:07.360]  I got really confused as to where I was.
[38:12.120 --> 38:12.560]  Yes!
[38:16.460 --> 38:17.820]  This is the only way I win.
[38:19.660 --> 38:20.180]  No!
[38:21.560 --> 38:22.560]  This is the only way I do it.
[38:24.640 --> 38:26.780]  You better pick a good spot for that, bud.
[38:26.880 --> 38:28.840]  Where you can put it where you can get to a first time.
[38:28.840 --> 38:29.560]  You better pick...
[38:31.780 --> 38:32.180]  Shit!
[38:32.660 --> 38:33.060]  No!
[38:34.760 --> 38:35.100]  No!
[38:37.500 --> 38:37.900]  No!
[38:38.520 --> 38:39.520]  That's right, baby!
[38:40.300 --> 38:41.840]  That was awesome.
[38:42.280 --> 38:42.960]  That is...
[38:42.960 --> 38:43.780]  Oh, shit!
[38:44.480 --> 38:44.660]  Terrible!
[38:44.720 --> 38:45.700]  This is it, this is it!
[38:45.760 --> 38:46.640]  Oh, no.
[38:47.300 --> 38:47.700]  Bees!
[38:47.700 --> 38:48.160]  The bees!
[38:48.160 --> 38:48.480]  Bees!
[38:55.090 --> 38:56.610]  Wait, is that the rocket gone now?
[38:56.710 --> 38:57.690]  That's it, that's the bees.
[38:57.810 --> 38:57.830]  Oh!
[38:58.490 --> 38:58.670]  No!
[39:00.250 --> 39:00.790]  Hey, Geoff?
[39:01.050 --> 39:01.650]  Yeah, that's me.
[39:02.210 --> 39:03.190]  I'm about to play...
[39:03.190 --> 39:07.450]  Are you ready for NBA playoff style defense right now?
[39:07.590 --> 39:08.370]  Yes, I am.
[39:08.530 --> 39:09.290]  I'm about...
[39:09.290 --> 39:11.630]  I'm about to get in faces.
[39:12.150 --> 39:13.590]  This is gonna be ugly.
[39:13.890 --> 39:16.330]  You're about to go Drew Holiday on these motherfuckers.
[39:16.330 --> 39:19.570]  Oh, people are gonna talk about this performance for years.
[39:20.790 --> 39:22.310]  I died early.
[39:24.370 --> 39:25.330]  No!
[39:30.250 --> 39:32.370]  Okay, I'm stuck.
[39:32.730 --> 39:35.150]  I'm stuck on two bodies, I can't move.
[39:37.730 --> 39:38.690]  Yes!
[39:40.110 --> 39:41.070]  Reckonance!
[39:41.230 --> 39:42.050]  Defense!
[39:42.670 --> 39:43.630]  Defense!
[39:45.410 --> 39:45.890]  Geoff!
[39:46.450 --> 39:47.110]  Geoff!
[39:47.110 --> 39:48.230]  This game's broken!
[39:48.230 --> 39:49.810]  This is the goal of the game.
[39:49.970 --> 39:53.730]  You gotta make them think that you're down and out.
[39:53.850 --> 39:56.390]  All of a sudden, you hold on to them.
[39:56.430 --> 39:59.450]  You start grabbing that jersey and put a hand in their face.
[39:59.690 --> 40:00.870]  First to the floor, right?
[40:00.950 --> 40:01.730]  I'll shoot over you!
[40:01.870 --> 40:02.830]  No, you fucking won't.
[40:03.030 --> 40:05.610]  I'm Draymond Green stepping on guys right now.
[40:05.690 --> 40:07.030]  This is over.
[40:07.810 --> 40:10.150]  That is a defensive masterclass right there.
[40:10.330 --> 40:11.550]  Gavin, what are you gonna do?
[40:11.610 --> 40:12.290]  Have you tried to dance your way out?
[40:12.290 --> 40:14.330]  He's gonna hold the B button and give up, baby!
[40:14.330 --> 40:17.970]  I can't move a single inch of me.
[40:18.110 --> 40:18.590]  Exactly.
[40:19.090 --> 40:20.470]  Hold B to give up.
[40:20.890 --> 40:21.230]  Surrender.
[40:21.970 --> 40:23.430]  You dumb birdbrain bitch.
[40:23.450 --> 40:23.710]  Surrender!
[40:26.290 --> 40:26.630]  What?
[40:27.270 --> 40:27.930]  Sorry!
[40:28.510 --> 40:30.570]  He's using emotes.
[40:31.870 --> 40:34.610]  Is there a release me button?
[40:40.760 --> 40:41.820]  No, I think you're stuck.
[40:42.020 --> 40:43.620]  I don't think there's anything you can do here.
[40:51.340 --> 40:52.500]  And the winner!
[40:56.720 --> 40:57.120]  Bullshit!
[40:57.440 --> 40:58.340]  Geoff, check it out.
[40:58.920 --> 41:00.140]  Geoff, look at that.
[41:00.180 --> 41:00.360]  What a winner.
[41:00.800 --> 41:00.860]  Look at him go.
[41:01.220 --> 41:02.100]  Look at his little dance.
[41:02.200 --> 41:03.020]  Somebody clip that.
[41:03.180 --> 41:03.680]  Give me that.
[41:03.780 --> 41:04.600]  Chat, what's up?
[41:04.720 --> 41:05.220]  Clip that.
[41:05.600 --> 41:06.280]  That's a win.
[41:06.360 --> 41:07.540]  That's a victory for the raccoon.
[41:08.720 --> 41:09.120]  Congratulations.
[41:09.680 --> 41:10.700]  Thank you so much.
[41:10.740 --> 41:11.180]  That was beautiful.
[41:11.660 --> 41:13.820]  Guys, what a victory to go out on.
[41:13.900 --> 41:15.780]  Thank you so much for watching this video.
[41:15.780 --> 41:18.300]  If you like this, check out the podcast.
[41:18.580 --> 41:20.320]  It's just like this, but with less animals.
[41:21.020 --> 41:22.900]  You can also follow us on Patreon.
[41:23.140 --> 41:25.040]  That's patreon.com slash the regulation pod.
[41:25.380 --> 41:28.240]  Follow us at the regulation pod on social media.
[41:28.400 --> 41:29.300]  Keep up to date with everything.
[41:29.460 --> 41:31.720]  Hey, if you like this video, share it.
[41:31.780 --> 41:32.360]  You leave a comment.
[41:32.560 --> 41:35.220]  Tell a friend, hey, you gotta watch this raccoon win this whole fucking thing.
[41:35.280 --> 41:38.540]  You think he's down and out, and then he comes back and wins the whole fucking thing?
[41:38.740 --> 41:39.760]  My god.
[41:40.080 --> 41:40.840]  What a champion.
[41:41.100 --> 41:45.380]  Like a prime Michael Jordan coming back to win the whole fucking thing.
[41:45.380 --> 41:47.400]  Let me say, just in defense of the podcast,
[41:47.620 --> 41:53.040]  what we lack in animals we over-index on in fruit and cum.
[41:53.640 --> 41:57.220]  So if you're into those things, the podcast is right up your alley.
[41:58.640 --> 41:59.660]  Andrew, anything to add?
[42:00.500 --> 42:03.360]  I believe the fruit enhances the cum, from what I've heard.
[42:03.520 --> 42:03.660]  Okay.
[42:03.880 --> 42:04.180]  Alright.
[42:05.100 --> 42:05.620]  Okay.
[42:06.440 --> 42:06.540]  Bye.
[42:07.320 --> 42:08.080]  Alright, bye.
