[00:01.400 --> 00:02.300]  We're rolling!
[37:25.090 --> 37:25.430]  Yeah.
[37:27.630 --> 37:28.950]  I think I'm good.
[37:34.130 --> 37:35.430]  I gave you clearance.
[37:38.030 --> 37:40.450]  I don't know what we're doing. This doesn't feel right.
[37:40.810 --> 37:41.490]  I think I'm on Nick.
[37:42.690 --> 37:44.150]  Yeah. Oh, my God.
[37:44.430 --> 37:46.590]  There's the button that's gonna allow the rest of us in.
[37:46.590 --> 37:47.070]  Ugh.
[37:47.990 --> 37:49.690]  Oh, did I get up? Oh, shit.
[37:50.050 --> 37:52.550]  I don't know. We can wait. We can wait.
[37:53.030 --> 37:53.770]  We got time.
[37:54.050 --> 37:55.790]  Take a step to the right.
[37:56.870 --> 37:57.530]  Just Gavin.
[37:59.110 --> 38:00.630]  I did it, but I don't know
[38:00.630 --> 38:01.330]  if it was enough.
[38:02.030 --> 38:02.830]  We'll find out.
[38:04.110 --> 38:04.870]  I fell in.
[38:06.130 --> 38:07.250]  Yeah, you went to the left.
[38:07.830 --> 38:08.950]  No, I fell in the hole.
[38:09.350 --> 38:09.990]  Yeah, yeah, yeah.
[38:11.010 --> 38:13.030]  I went back down so you can jump on me.
[38:13.030 --> 38:15.010]  Oh, you should've
[38:15.010 --> 38:16.370]  just gone up.
[38:17.130 --> 38:17.750]  Oh, yeah.
[38:22.030 --> 38:22.830]  Okay. Okay.
[38:24.430 --> 38:24.830]  Okay.
[38:25.090 --> 38:26.290]  Gavin, you got this.
[38:26.570 --> 38:28.090]  You jump up and move to the right.
[38:29.550 --> 38:30.350]  Yeah? Okay.
[38:30.630 --> 38:32.310]  And then, Geoff, are you ready? Yeah.
[38:33.870 --> 38:35.130]  Okay. You're gonna move a little bit
[38:35.130 --> 38:36.750]  more right, Gavin, and then it's gonna be all Geoff.
[38:37.870 --> 38:38.270]  Nice.
[38:38.730 --> 38:40.590]  Very good. Oh, my God.
[38:41.270 --> 38:42.490]  Not sure where I am.
[38:42.570 --> 38:43.430]  I'm gonna wait to see.
[38:44.230 --> 38:46.570]  Okay, all right. So you're gonna go up and a little bit.
[38:46.630 --> 38:47.630]  You're just gonna get on Gavin here.
[38:48.770 --> 38:50.650]  Brilliant. Yep. I think I did,
[38:50.750 --> 38:51.710]  but I'm not positive. Okay.
[38:53.550 --> 38:54.290]  No. Okay.
[38:55.150 --> 38:56.810]  Gavin, do not touch anything.
[38:59.450 --> 39:00.530]  I'm putting... My controller
[39:00.530 --> 39:01.990]  is down. Yep. Okay. Ready?
[39:03.770 --> 39:04.550]  Look at that.
[39:04.570 --> 39:06.630]  Geoff, you're gonna go a little bit right.
[39:07.110 --> 39:07.430]  Okay.
[39:07.430 --> 39:07.530]  Okay.
[39:10.880 --> 39:12.600]  How you feeling? I don't know.
[39:12.740 --> 39:14.520]  I just tapped once. Oh, yes!
[39:14.700 --> 39:16.300]  Okay, this is gonna be it. Ready?
[39:16.840 --> 39:17.540]  Make the jump!
[39:20.840 --> 39:23.040]  Oh, I heard a button! I heard the button!
[39:23.640 --> 39:24.040]  Yeah!
[39:27.200 --> 39:27.940]  Let's go!
[39:28.420 --> 39:31.100]  How far are we going? I don't know, but let's not go too far
[39:31.100 --> 39:32.840]  and fall down a hole
[39:32.840 --> 39:33.600]  or something. Okay.
[39:34.860 --> 39:35.960]  Oh, we gotta stack again.
[39:37.360 --> 39:37.880]  Oh, what?
[39:38.700 --> 39:39.800]  Let's keep moving right a little
[39:39.800 --> 39:41.680]  so we can see what's next. Yeah, everyone just keep moving right.
[39:42.760 --> 39:43.480]  Okay, here we go.
[39:44.200 --> 39:44.400]  Oh.
[39:46.620 --> 39:47.380]  There we go.
[39:50.320 --> 39:50.680]  Woo!
[39:52.880 --> 39:53.240]  Ooh!
[39:54.380 --> 39:54.740]  Wee!
[39:54.960 --> 39:55.320]  Nice!
[39:57.520 --> 39:59.820]  I think that'll do it. So now one of us has to come
[39:59.820 --> 40:01.020]  off? Like, go up?
[40:02.860 --> 40:03.340]  What the?
[40:03.340 --> 40:03.620]  What the?
[40:04.740 --> 40:05.660]  It's crushing me!
[40:07.320 --> 40:09.080]  Alright, everybody move to the right a little, please.
[40:09.320 --> 40:11.340]  Yeah, okay. Move to the right.
[40:11.740 --> 40:13.320]  Yep, okay. Alright, here we go.
[40:14.460 --> 40:15.300]  Okay. Yay!
[40:15.480 --> 40:17.140]  So, Nick, you're gonna get on? Yep!
[40:18.620 --> 40:19.060]  I'm coming!
[40:19.280 --> 40:20.460]  Okay, but hang on.
[40:21.020 --> 40:22.940]  Nobody get off. Nobody get off.
[40:22.960 --> 40:25.600]  We need to talk about what we're about to do.
[40:26.660 --> 40:27.100]  Yes.
[40:27.320 --> 40:29.320]  We need to stack all
[40:29.320 --> 40:30.820]  on top of the person
[40:30.820 --> 40:32.280]  who's on the right.
[40:32.660 --> 40:33.660]  And walk off. Yeah.
[40:34.260 --> 40:35.800]  And then they walk off.
[40:36.580 --> 40:38.060]  Wait, wait, wait, wait.
[40:38.660 --> 40:38.920]  No.
[40:40.660 --> 40:41.720]  It's not high enough.
[40:43.100 --> 40:44.540]  I think we just all need to, like,
[40:44.700 --> 40:46.460]  hold right and then jump like shit.
[40:47.820 --> 40:48.440]  We can try it.
[40:49.340 --> 40:49.740]  Okay.
[40:50.580 --> 40:51.720]  If you wanna do it, let's do it.
[40:51.840 --> 40:52.820]  Everyone hold right and jam A.
[40:54.240 --> 40:55.600]  I don't think we made it.
[40:56.540 --> 40:57.880]  Someone jumped on my head, I think.
[40:57.880 --> 40:58.120]  Yeah.
[40:59.700 --> 41:00.720]  We made it!
[41:01.880 --> 41:03.840]  I can't believe it!
[41:04.100 --> 41:06.040]  Alright, someone has to go down there and open that door.
[41:06.460 --> 41:07.800]  It was on top of the stack.
[41:07.940 --> 41:08.980]  That was so surprising.
[41:09.760 --> 41:11.820]  Why am I... Okay. Orange and blue
[41:11.820 --> 41:12.240]  move left.
[41:13.460 --> 41:14.320]  Not too far.
[41:18.700 --> 41:19.440]  Where are you at? Cool.
[41:23.640 --> 41:24.440]  Am I in?
[41:24.660 --> 41:25.020]  Yes!
[41:26.620 --> 41:28.180]  Way to go, guys. That was great.
[41:28.880 --> 41:30.120]  I'm really impressed with that.
[41:30.120 --> 41:31.240]  That was awesome.
[41:32.300 --> 41:34.080]  Wow! Incredible. Good job, guys.
[41:34.720 --> 41:36.080]  That was a very
[41:36.080 --> 41:38.080]  creative level. And...
[41:38.080 --> 41:39.860]  We're creeping towards 5.01pm,
[41:40.040 --> 41:41.540]  the best time of the week.
[41:41.600 --> 41:43.780]  The best time of the week.
[41:43.940 --> 41:44.420]  Let's do it.
[41:46.720 --> 41:48.120]  Only a week away from
[41:48.120 --> 41:50.240]  Gerplers. Oh, it's a ghostie.
[41:50.620 --> 41:51.720]  How do we...
[41:51.720 --> 41:53.980]  One of us has to face it, I think,
[41:54.040 --> 41:54.860]  at all times. Okay.
[41:56.040 --> 41:58.240]  Should I just ride Andrew and face it?
[41:58.240 --> 41:59.860]  Yes. Yeah, let's do that.
[42:00.580 --> 42:01.560]  Let's go!
[42:02.840 --> 42:03.360]  Okay.
[42:04.020 --> 42:05.400]  I'll look back. Go ahead.
[42:07.900 --> 42:09.540]  We have to keep it alive.
[42:10.440 --> 42:12.040]  But he's already dead!
[42:12.440 --> 42:14.380]  So we have to lure him down.
[42:14.500 --> 42:15.560]  Everyone face away.
[42:17.040 --> 42:18.080]  Let's get...
[42:18.080 --> 42:18.760]  Oh shit!
[42:19.200 --> 42:21.300]  You go. I'll watch him.
[42:21.820 --> 42:22.380]  There you go.
[42:23.260 --> 42:25.200]  Nick, I'm watching, so you go.
[42:25.200 --> 42:25.480]  Okay.
[42:26.760 --> 42:28.900]  Now I'm gonna go and you stay green?
[42:29.220 --> 42:30.520]  Yep. I got it.
[42:30.620 --> 42:31.160]  Hang on.
[42:32.140 --> 42:34.720]  No, no. Everyone look away.
[42:38.740 --> 42:40.580]  Purple, stay watching him.
[42:40.660 --> 42:41.780]  Thank you.
[42:42.520 --> 42:45.400]  Now we look away. No, no. Everyone look away.
[42:45.940 --> 42:46.940]  What do you think that does?
[42:48.020 --> 42:48.500]  Oh dear.
[42:48.700 --> 42:49.460]  It probably does this.
[42:51.120 --> 42:53.140]  Orange, you need to get off of it.
[42:55.940 --> 42:57.200]  Okay, we need to...
[42:58.900 --> 43:01.540]  Who wants to be the one to tease him over a little bit?
[43:03.060 --> 43:05.200]  I'll watch him at the end here and flip back
[43:05.200 --> 43:06.160]  if we want to move him a little.
[43:07.060 --> 43:08.620]  So red, look away.
[43:10.780 --> 43:12.300]  Oh shit! I turned around!
[43:12.520 --> 43:13.580]  Yeah, you did. What happened?
[43:14.000 --> 43:17.220]  I don't know. Could it be after we touched the button?
[43:17.540 --> 43:18.420]  No, I don't think so.
[43:18.520 --> 43:19.920]  No, we'd already hit it before.
[43:20.800 --> 43:22.920]  Maybe he just didn't feel like obeying.
[43:22.920 --> 43:24.520]  Okay, everyone look away.
[43:24.780 --> 43:28.880]  Okay, now somebody watch him.
[43:29.720 --> 43:30.120]  Watching him.
[43:33.340 --> 43:35.020]  Now, everyone look away.
[43:38.220 --> 43:40.840]  Maybe it needs to be two eyes on him to stop him.
[43:41.080 --> 43:42.420]  I don't... is it?
[43:43.500 --> 43:44.600]  Let's try it out now.
[43:45.260 --> 43:46.480]  Everyone except someone.
[43:47.400 --> 43:48.140]  Oh, what did that?
[43:48.460 --> 43:49.040]  I think it's one.
[43:49.040 --> 43:51.500]  No, Geoff turned as well.
[43:51.980 --> 43:52.900]  I think so, yeah.
[43:53.260 --> 43:54.440]  Alright, Nick, go up there.
[43:57.140 --> 43:58.020]  I'll cover you.
[43:58.840 --> 43:59.720]  Thank you.
[44:01.320 --> 44:02.340]  Let's figure out
[44:02.340 --> 44:04.000]  what exactly we're doing here.
[44:05.080 --> 44:05.480]  Yeah, see that?
[44:06.260 --> 44:07.820]  We're gonna ride it.
[44:08.800 --> 44:09.320]  Are we?
[44:10.800 --> 44:13.020]  We'll have five seconds to get over.
[44:13.620 --> 44:15.140]  So get two people looking.
[44:15.600 --> 44:16.280]  Okay, so hang on.
[44:16.280 --> 44:17.700]  Blue, jump on top of me.
[44:19.080 --> 44:20.320]  Blue, jump on top of green.
[44:20.520 --> 44:21.320]  Red, come over.
[44:21.540 --> 44:22.720]  Purple, jump on top of red.
[44:24.780 --> 44:25.660]  And then...
[44:25.660 --> 44:28.100]  Orange, we're watching, so hit the button
[44:28.100 --> 44:28.920]  and run all the way over.
[44:29.360 --> 44:30.680]  And then, everyone look away.
[44:32.440 --> 44:33.260]  And look back!
[44:34.120 --> 44:34.720]  And look away!
[44:35.160 --> 44:35.940]  And look back!
[44:36.880 --> 44:38.420]  Why do you keep looking back?
[44:38.680 --> 44:39.400]  I got scared!
[44:39.600 --> 44:40.360]  Now look back!
[44:40.360 --> 44:42.200]  Get off!
[44:43.520 --> 44:45.940]  Oh, it's a checkpoint!
[44:46.280 --> 44:47.720]  Is he gonna give it to us or not?
[44:48.020 --> 44:48.320]  Maybe.
[44:53.420 --> 44:54.600]  Same thing again.
[44:55.740 --> 44:57.080]  We need to get him down.
[44:57.840 --> 44:59.760]  See, it's only one person needs to be watching him.
[45:00.280 --> 45:02.660]  No, but two people have to face him to stop him again.
[45:03.780 --> 45:04.380]  Thanks, Nick.
[45:09.340 --> 45:10.540]  Well, we didn't call it at that time.
[45:10.720 --> 45:11.440]  Alright, let's get him down.
[45:11.900 --> 45:12.120]  Ready?
[45:14.900 --> 45:16.040]  I'm watching him, you go.
[45:16.520 --> 45:16.640]  Alright.
[45:18.260 --> 45:20.080]  Keep going, keep going, everybody else.
[45:20.860 --> 45:22.200]  Yeah, but what if we all just hang out here?
[45:22.460 --> 45:22.720]  You got him?
[45:24.220 --> 45:25.100]  And tease him out?
[45:25.740 --> 45:25.920]  Yep.
[45:28.700 --> 45:29.020]  Go.
[45:30.440 --> 45:32.320]  Okay, so now we need to not hit the button.
[45:36.140 --> 45:36.620]  Let's...
[45:36.620 --> 45:38.000]  Okay, we need to get him closer.
[45:38.280 --> 45:38.960]  Everyone look away.
[45:39.380 --> 45:40.120]  I'm looking away.
[45:40.860 --> 45:42.280]  Yeah, that's great.
[45:43.180 --> 45:44.640]  I'm just declaring, I'm just saying.
[45:44.820 --> 45:45.740]  Yeah, you're doing great.
[45:46.100 --> 45:47.060]  Alright, Andrew, go ahead.
[45:48.700 --> 45:49.180]  Gavin.
[45:51.660 --> 45:52.140]  Blue.
[45:53.520 --> 45:55.520]  Okay, Nick, you keep watching him.
[45:56.060 --> 45:56.200]  Yeah.
[45:57.200 --> 45:58.620]  Alright, so let's designate.
[45:59.040 --> 46:00.480]  Now, I'm watching him.
[46:01.480 --> 46:02.160]  Yep, and blue.
[46:03.300 --> 46:04.760]  You're gonna jump on the button,
[46:04.880 --> 46:07.160]  come across, and we're gonna look away as we start moving.
[46:07.340 --> 46:08.460]  But before you do that,
[46:09.020 --> 46:11.640]  why don't we just designate the two turners
[46:12.160 --> 46:13.080]  on this journey?
[46:13.380 --> 46:14.540]  Okay, who do you want us to charge?
[46:14.580 --> 46:15.080]  Green and blue.
[46:15.540 --> 46:16.500]  Okay, green and blue, great.
[46:17.180 --> 46:17.960]  Alright, y'all ready?
[46:19.100 --> 46:19.640]  Let's go.
[46:20.920 --> 46:21.320]  Ready?
[46:22.480 --> 46:22.880]  Go.
[46:22.880 --> 46:23.000]  Ready?
[46:23.920 --> 46:24.320]  Turn.
[46:25.740 --> 46:26.500]  Way to go, Gavin!
[46:29.840 --> 46:30.560]  Green and blue.
[46:34.880 --> 46:36.540]  No, no, explain to me
[46:36.540 --> 46:37.460]  what we all did.
[46:37.920 --> 46:39.840]  You just said, ready, ready, ready,
[46:39.900 --> 46:41.880]  and then I had one millisecond to turn.
[46:42.020 --> 46:43.160]  How am I gonna know what you're gonna say?
[46:47.890 --> 46:49.990]  That was one of the worst things.
[46:50.170 --> 46:51.150]  Nick, why are you here?
[46:51.150 --> 46:52.290]  That's a Gears death.
[46:52.690 --> 46:54.350]  No, it isn't! He just said it.
[46:55.650 --> 46:57.090]  I got you, come on.
[46:57.230 --> 46:59.250]  Alright, you ready? Everybody turn away
[46:59.250 --> 47:00.970]  for a second. Me and Eric will turn back.
[47:02.450 --> 47:02.850]  A little more?
[47:03.390 --> 47:03.590]  Yeah.
[47:05.290 --> 47:06.130]  You go ahead.
[47:07.710 --> 47:08.150]  I got him.
[47:13.970 --> 47:15.050]  Okay, Nick, I got him.
[47:15.270 --> 47:15.470]  Go ahead.
[47:15.710 --> 47:18.810]  Alright, watch the button.
[47:18.810 --> 47:20.810]  When the button hits zero or whatever...
[47:22.470 --> 47:22.830]  Turn!
[47:24.630 --> 47:26.870]  That was 100% on me.
[47:29.770 --> 47:31.130]  100%, no other way to put it.
[47:31.310 --> 47:32.110]  No other way to put it.
[47:32.690 --> 47:33.470]  Everyone move over.
[47:35.810 --> 47:36.870]  Okay, Nick, keep an eye on him.
[47:36.890 --> 47:37.210]  I got you.
[47:37.970 --> 47:39.710]  Okay, go ahead and tease him over.
[47:40.170 --> 47:41.510]  I got you, I got you. You're good.
[47:42.730 --> 47:43.870]  Alright, I got you.
[47:43.890 --> 47:45.010]  I can't see well.
[47:45.710 --> 47:47.210]  You can't see well?
[47:49.650 --> 47:51.210]  Nick, tease him over.
[47:51.410 --> 47:53.210]  He slapped my head down onto it.
[47:53.570 --> 47:54.250]  Geoff, turn around.
[47:58.550 --> 48:01.370]  Okay, Nick, don't run over
[48:01.370 --> 48:03.030]  and hit the button. We need to tease him over
[48:03.030 --> 48:03.730]  a little bit more.
[48:04.050 --> 48:05.790]  So come over.
[48:07.210 --> 48:08.270]  Who's in charge of turning?
[48:09.050 --> 48:10.710]  Me and Eric.
[48:11.230 --> 48:13.810]  Okay, I'm going...
[48:13.810 --> 48:14.670]  Okay, I'm set.
[48:16.230 --> 48:17.550]  I'm the only one looking at him,
[48:17.650 --> 48:18.990]  so you hit the button, come over.
[48:20.350 --> 48:21.650]  Okay, I'm looking at him.
[48:24.130 --> 48:24.890]  Looking away.
[48:28.210 --> 48:28.590]  Good.
[48:29.130 --> 48:30.610]  Okay, everyone off, everyone off, everyone off.
[48:31.030 --> 48:32.090]  We didn't turn around!
[48:34.830 --> 48:35.930]  It's not going to give it to us.
[48:36.150 --> 48:36.750]  We already hit it once.
[48:37.310 --> 48:38.890]  Oh, it gave it to us!
[48:39.450 --> 48:40.850]  I'll watch, I'll watch, I'll watch.
[48:43.810 --> 48:44.810]  Alright, Nick, I...
[48:45.510 --> 48:46.450]  Let's tease him over.
[48:48.470 --> 48:50.130]  This is going well as heck.
[48:51.570 --> 48:52.950]  Didn't realize those moved.
[48:53.250 --> 48:53.930]  Yeah, they move.
[48:54.510 --> 48:55.330]  See that now.
[48:55.550 --> 48:57.870]  Good call out.
[48:59.150 --> 49:00.070]  Nick, I got him.
[49:00.590 --> 49:02.830]  We got some moving spikes over here.
[49:03.010 --> 49:04.530]  Alright, let's tease him.
[49:05.490 --> 49:06.090]  Geoff, turn away.
[49:07.090 --> 49:07.910]  Andrew, turn away.
[49:08.870 --> 49:09.390]  Ready?
[49:09.390 --> 49:10.190]  Ready?
[49:11.090 --> 49:13.030]  I'll keep watching, you go.
[49:13.670 --> 49:14.490]  I'll wait.
[49:17.030 --> 49:18.470]  Stop, stop, stop.
[49:18.570 --> 49:22.610]  Okay, I got it.
[49:23.770 --> 49:24.510]  Ready to tease?
[49:24.690 --> 49:25.890]  Everyone face away.
[49:27.410 --> 49:27.990]  Here we go.
[49:28.650 --> 49:31.430]  Oh, the spikes kill him!
[49:31.710 --> 49:32.590]  Right, right, right.
[49:32.930 --> 49:34.550]  Gotta keep the dead from dying.
[49:35.090 --> 49:36.030]  What the fuck?
[49:36.750 --> 49:38.090]  That's okay, we got that checkpoint.
[49:38.450 --> 49:39.970]  Alright, guys, there's some moving spikes.
[49:42.190 --> 49:43.830]  Alright, Nick, I'm gonna tease him over.
[49:44.850 --> 49:45.330]  Yeah, you ready?
[49:45.550 --> 49:46.210]  Yep, look away.
[49:47.210 --> 49:47.970]  And now!
[49:50.570 --> 49:51.330]  And close!
[49:51.750 --> 49:54.090]  Okay, Nick, I'm gonna go to the other side.
[49:54.170 --> 49:54.810]  You keep watching him.
[49:56.770 --> 49:57.130]  And...
[49:57.630 --> 49:58.470]  Okay, come on over.
[49:59.830 --> 50:00.210]  Okay.
[50:02.710 --> 50:04.290]  Good job avoiding those moving spikes.
[50:04.290 --> 50:06.230]  Okay, hang on, ready?
[50:07.350 --> 50:07.550]  Yep.
[50:09.030 --> 50:09.310]  Now!
[50:09.870 --> 50:11.410]  Why didn't he stop?
[50:11.970 --> 50:14.390]  I think my controller made me turn back around.
[50:14.510 --> 50:16.150]  My joystick was too sensitive, sorry.
[50:16.450 --> 50:16.790]  That's okay.
[50:17.790 --> 50:18.910]  Alright, everyone move to the right.
[50:20.550 --> 50:22.650]  It's always a bummer when your controller makes you.
[50:22.770 --> 50:23.890]  Okay, face away.
[50:24.350 --> 50:26.210]  And then, Nick, now!
[50:26.570 --> 50:26.910]  There we go.
[50:27.190 --> 50:28.050]  Alright, you guys move up.
[50:28.750 --> 50:29.970]  Watch out for those spikes, they move.
[50:32.210 --> 50:32.650]  Uh...
[50:32.650 --> 50:33.310]  Okay, you're good there.
[50:33.930 --> 50:34.830]  I got you covered.
[50:34.990 --> 50:35.370]  Okay.
[50:37.710 --> 50:39.830]  You're gonna make the move to look...
[50:39.830 --> 50:40.750]  Gavin, you have to look away.
[50:41.850 --> 50:43.890]  I don't know why the person at the top
[50:43.890 --> 50:45.510]  doesn't just look...
[50:45.510 --> 50:47.010]  Why didn't you stop him?
[50:47.050 --> 50:47.690]  I don't know.
[50:48.310 --> 50:50.530]  Why doesn't whoever's furthest forward just look back?
[50:51.170 --> 50:52.050]  Okay, let's do that.
[50:57.970 --> 50:58.830]  Alright, come on, Eric.
[50:58.830 --> 50:59.630]  I got you.
[51:03.400 --> 51:05.060]  Okay, y'all ready to tease him over?
[51:05.200 --> 51:05.340]  Yep.
[51:05.860 --> 51:08.240]  Alright, let's do it.
[51:10.060 --> 51:11.180]  Alright, I'm gonna look back.
[51:11.360 --> 51:12.040]  I'm looking back.
[51:12.220 --> 51:12.400]  Okay.
[51:12.560 --> 51:13.760]  Come over as you see fit.
[51:17.240 --> 51:17.600]  Alright.
[51:21.420 --> 51:22.480]  Oh, wait, wait, wait, wait.
[51:22.780 --> 51:24.000]  We have to make him get the key.
[51:24.920 --> 51:25.280]  Oh.
[51:25.580 --> 51:25.920]  Oh.
[51:26.340 --> 51:28.000]  So we need to be down at the bottom, do we?
[51:29.160 --> 51:30.200]  I don't know.
[51:30.860 --> 51:31.960]  We need to go further.
[51:32.100 --> 51:32.980]  We need to go past.
[51:33.920 --> 51:34.940]  Oh, oh, oh.
[51:34.940 --> 51:35.640]  He's gonna die.
[51:37.980 --> 51:39.540]  We need to go past the key.
[51:39.900 --> 51:41.360]  We need to tease him to keep him low.
[51:41.560 --> 51:41.800]  Yeah.
[51:43.460 --> 51:45.460]  That's tough. I got you, Nick.
[51:45.900 --> 51:46.100]  Come on.
[51:49.760 --> 51:50.880]  Hey, hey, Geoff.
[51:51.280 --> 51:52.460]  Geoff, you wanna call up the spikes?
[51:52.460 --> 51:54.640]  That was on me.
[51:54.800 --> 51:55.300]  My bad, guys.
[51:56.020 --> 51:57.780]  You know what? It's okay, Geoff. Spikes?
[51:58.380 --> 52:00.280]  You haven't seen it yet. You can't call it.
[52:00.300 --> 52:02.320]  You don't know. Hey, guys, there's spikes.
[52:11.660 --> 52:12.880]  Nick, watch him.
[52:13.260 --> 52:13.980]  Okay, I'm coming.
[52:15.420 --> 52:16.120]  Okay, go ahead.
[52:16.400 --> 52:18.740]  Gavin, you're...
[52:18.740 --> 52:19.420]  Go.
[52:21.340 --> 52:23.640]  Alright, I can look at him and you can all come over.
[52:28.020 --> 52:29.200]  We need to...
[52:29.680 --> 52:30.480]  No, no, no.
[52:30.680 --> 52:35.320]  We just need to get him further. That's fine.
[52:35.720 --> 52:36.240]  Yeah, that's all.
[52:37.680 --> 52:38.400]  We got this.
[52:39.240 --> 52:40.500]  Shit, this is hard.
[52:40.820 --> 52:41.060]  Easy.
[52:42.740 --> 52:45.640]  We were fucking jet pilots earlier. We can do this.
[52:45.720 --> 52:46.100]  That's true.
[52:46.620 --> 52:47.320]  Ah, my eyes.
[52:50.060 --> 52:50.940]  Alright, I'm looking.
[52:51.360 --> 52:51.720]  I got you.
[52:53.080 --> 52:54.580]  I'm gonna get him close.
[52:54.920 --> 52:56.400]  So, look away.
[52:59.560 --> 53:00.600]  Okay, Nick, look back.
[53:01.800 --> 53:02.720]  Somebody look at him.
[53:03.600 --> 53:04.480]  I'm looking at you.
[53:04.680 --> 53:05.160]  Okay, thank you.
[53:06.080 --> 53:08.980]  But you don't have to be so close to him to do that.
[53:13.980 --> 53:14.420]  Spikes.
[53:14.420 --> 53:15.660]  Andrew, stop looking at him.
[53:16.820 --> 53:17.900]  The person in the front?
[53:20.620 --> 53:21.580]  Hey guys, spikes.
[53:22.240 --> 53:23.060]  I'm intuiting.
[53:24.300 --> 53:25.920]  Get him over here.
[53:26.040 --> 53:26.900]  Yeah, they're there. I was right.
[53:27.700 --> 53:30.440]  Hey, good call out, Geoff.
[53:31.260 --> 53:32.100]  What you eating, Nick?
[53:33.120 --> 53:33.880]  Cough drop.
[53:34.420 --> 53:35.920]  Are you sick?
[53:36.060 --> 53:36.240]  No.
[53:36.640 --> 53:38.980]  Just for funsies.
[53:39.400 --> 53:40.920]  Alright, whenever you're ready, Gavin.
[53:41.800 --> 53:42.160]  Okay.
[53:44.040 --> 53:44.400]  Okay.
[53:46.040 --> 53:46.760]  Jesus Christ.
[53:47.440 --> 53:49.200]  This is officially the furthest we've been.
[53:49.620 --> 53:50.920]  Alright, so let's...
[53:53.240 --> 53:53.960]  I'm gonna...
[53:53.960 --> 53:55.240]  Eric, you gotta keep looking at him.
[53:55.580 --> 53:55.880]  Yeah.
[53:57.800 --> 53:59.860]  So we can all get to this kind of level.
[54:00.040 --> 54:00.860]  Are you sure? You got him, Nick?
[54:00.900 --> 54:01.040]  Yeah.
[54:02.880 --> 54:05.260]  And then if we all stack here, he'll definitely go through the key, right?
[54:05.440 --> 54:07.460]  Okay, so I'm here. Nick, you wanna come through?
[54:09.660 --> 54:11.280]  Uh, okay.
[54:11.520 --> 54:13.200]  Somebody look just so I can get here.
[54:13.620 --> 54:15.180]  Okay, I'm gonna look.
[54:16.080 --> 54:17.120]  I'm looking at him.
[54:17.320 --> 54:18.160]  Everyone else look away.
[54:18.680 --> 54:19.220]  Ready?
[54:20.260 --> 54:21.200]  Jesus Christ.
[54:21.980 --> 54:22.860]  Look back, look back.
[54:23.260 --> 54:24.640]  Okay, hang on.
[54:25.100 --> 54:26.400]  Gavin, keep looking at him.
[54:26.940 --> 54:27.300]  Okay.
[54:28.800 --> 54:30.980]  So we need to...
[54:30.980 --> 54:32.280]  I'm looking at him now.
[54:32.600 --> 54:33.900]  Everyone make your move to the right.
[54:34.280 --> 54:36.680]  And then do we just have to snatch it from his undercarriage?
[54:36.920 --> 54:37.760]  I think so.
[54:38.960 --> 54:39.320]  So...
[54:39.820 --> 54:41.680]  We need him to get higher like this.
[54:41.760 --> 54:43.440]  So Gavin, you're gonna keep looking at him.
[54:43.760 --> 54:43.960]  Yeah.
[54:45.440 --> 54:48.100]  Here, I'll look at him, and then maybe Gavin gets on top
[54:48.100 --> 54:49.000]  so we can go up higher.
[54:49.160 --> 54:51.360]  Do you think doing like a trio thing?
[54:51.740 --> 54:52.920]  Gavin, will you jump on me?
[54:54.840 --> 54:55.200]  Okay.
[54:55.780 --> 54:58.080]  I'm gonna look away. Nick's gonna look away.
[54:58.400 --> 55:00.340]  And Gavin, it's on you to just get him close.
[55:02.780 --> 55:03.500]  Okay.
[55:03.540 --> 55:04.260]  Perfect.
[55:05.640 --> 55:06.360]  Geoff.
[55:06.560 --> 55:07.620]  I'm gonna go get it.
[55:08.120 --> 55:08.840]  Yes!
[55:09.340 --> 55:10.720]  Look at this.
[55:11.260 --> 55:11.980]  Andrew.
[55:14.300 --> 55:15.960]  Geoff, stay there.
[55:16.460 --> 55:17.780]  Don't worry, you guys all go through.
[55:18.280 --> 55:18.580]  There you go.
[55:20.320 --> 55:21.240]  Good luck.
[55:22.580 --> 55:23.480]  That's it.
[55:24.000 --> 55:24.400]  No!
[55:26.140 --> 55:26.720]  Excuse me?
[55:27.360 --> 55:28.980]  5-0-1
[55:28.980 --> 55:29.640]  PM!
[55:30.700 --> 55:32.480]  What a finish!
[55:33.840 --> 55:34.640]  Oh, we're done.
[55:35.160 --> 55:35.320]  Wow.
[55:36.160 --> 55:36.680]  Incredible.
[55:37.240 --> 55:39.580]  Dude, at 5-0-1, it was meant to be.
[55:40.060 --> 55:41.700]  What a phenomenal gameplay.
[55:42.040 --> 55:43.300]  That was crazy.
[55:43.840 --> 55:45.780]  We still have so much more Pico Park to go.
[55:45.780 --> 55:46.760]  How many more do we have to go?
[55:47.860 --> 55:48.900]  Let's take a look.
[55:49.240 --> 55:52.420]  I screamed so loud, I knocked my headphones out of my computer
[55:52.420 --> 55:54.100]  and the cable out of the headphone.
[55:54.100 --> 55:55.800]  I unplugged from both sides.
[55:56.340 --> 55:56.880]  Oh my god.
[55:57.460 --> 55:59.440]  There's five here. Keep going.
[56:00.480 --> 56:02.680]  I'm telling you, there's 19 plus the shadow realm.
[56:04.320 --> 56:04.960]  Wow.
[56:06.720 --> 56:08.400]  Guys, that's the power
