[00:00.000 --> 00:00.780]  It's an Xbox.
[35:26.610 --> 35:30.030]  Let's just go on this island and see if he comes for us and then we go for him.
[35:30.090 --> 35:30.710]  What do you want to do?
[35:31.050 --> 35:33.730]  No, we gotta go for him if we're doing this.
[35:33.730 --> 35:34.830]  Yeah, that's not how it works.
[35:36.070 --> 35:36.950]  We have to strike first.
[35:38.810 --> 35:40.790]  A legendary servant, captained by Manny.
[35:41.930 --> 35:42.770]  Damn, Manny.
[35:44.110 --> 35:45.150]  Is it a four-player?
[35:47.190 --> 35:47.990]  Incoming cannon.
[35:49.990 --> 35:51.570]  Oh, it's going to drop right on us.
[35:51.930 --> 35:52.850]  Oh, wow!
[35:54.370 --> 35:55.830]  Oh, shit.
[35:57.130 --> 35:57.850]  Oh, we're hit.
[35:58.630 --> 35:59.090]  I'm going down.
[36:01.330 --> 36:03.010]  Do we just need to get out of here?
[36:03.890 --> 36:04.750]  Yeah, we could do that.
[36:04.930 --> 36:05.810]  Yeah, I think we should.
[36:06.690 --> 36:08.330]  Okay, let's southeast.
[36:09.010 --> 36:11.130]  Where's the skeleton we're supposed to be chasing?
[36:12.790 --> 36:14.310]  The giant skull in the sky?
[36:15.010 --> 36:16.250]  It's this island that we're at.
[36:16.330 --> 36:17.310]  That's why they're shooting us.
[36:18.690 --> 36:19.450]  Oh, boy!
[36:19.810 --> 36:20.610]  Alright, Nick, I'm coming.
[36:22.830 --> 36:24.310]  Getting the water out.
[36:24.890 --> 36:25.170]  Thank you.
[36:26.090 --> 36:27.550]  So, how do you deal with that?
[36:27.630 --> 36:32.550]  Do you just drop anchor far away and then take a boat in or something?
[36:32.930 --> 36:36.070]  You can typically sneak in and get close enough where they can't shoot you.
[36:36.070 --> 36:36.570]  Ah.
[36:38.330 --> 36:39.310]  I hear water.
[36:40.090 --> 36:41.270]  We're throwing water out.
[36:41.710 --> 36:43.150]  Okay, that's what that is.
[36:45.030 --> 36:46.310]  That sounded bad.
[36:47.190 --> 36:49.010]  That was a direct hit, but I don't see anything.
[36:50.070 --> 36:50.950]  Might be on the second deck.
[36:52.270 --> 36:53.590]  There's holes in the second deck?
[36:54.170 --> 36:57.270]  Yeah, you don't get as much water coming in, but it can get you.
[36:58.710 --> 37:00.410]  They're fully on our ass.
[37:00.570 --> 37:00.790]  Really?
[37:00.950 --> 37:02.990]  To the weapons!
[37:02.990 --> 37:03.150]  To the weapons!
[37:04.010 --> 37:05.510]  Make sure we're fully repaired.
[37:05.910 --> 37:06.350]  I'm repairing.
[37:07.130 --> 37:08.090]  I'm also repairing.
[37:10.730 --> 37:13.290]  Maybe I should... I don't have my sniper rifle, do I?
[37:13.510 --> 37:14.130]  I do.
[37:15.250 --> 37:16.130]  Go get... yeah.
[37:17.670 --> 37:18.650]  Alright, I'll get mine, too.
[37:20.670 --> 37:22.710]  The sniper rifle's a better idea than the cannon?
[37:23.730 --> 37:24.130]  No.
[37:24.370 --> 37:25.150]  No, not at all.
[37:25.730 --> 37:28.750]  But you can shoot them straight from the back with a sniper rifle.
[37:29.050 --> 37:30.910]  You can only hit them with a cannon if they're right up on you.
[37:32.310 --> 37:33.130]  Where are they, Andrew?
[37:33.630 --> 37:34.690]  They're right behind us.
[37:34.910 --> 37:38.090]  I think they're scared of us, if I'm being honest with you.
[37:38.110 --> 37:39.790]  Yeah, they're afraid of us, you can tell.
[37:41.230 --> 37:41.990]  They're looking...
[37:42.910 --> 37:43.290]  Wow.
[37:44.290 --> 37:46.530]  As we sail by, I'm going to sell something.
[37:46.890 --> 37:48.670]  Or at least...
[37:48.670 --> 37:49.330]  Get some gold.
[37:51.110 --> 37:51.730]  How are you going to do that?
[37:51.730 --> 37:52.570]  Are you just going to jump off?
[37:52.750 --> 37:53.670]  I'm just going to jump off.
[37:54.670 --> 37:55.990]  How do we get you back?
[37:56.850 --> 37:57.330]  I'll mermaid.
[37:57.330 --> 37:58.350]  Okay.
[38:00.350 --> 38:01.390]  They are...
[38:01.390 --> 38:02.650]  Coming right for us.
[38:03.090 --> 38:03.850]  Godspeed, Andrew.
[38:04.270 --> 38:08.370]  If we spin hard, can we line up and take a shot?
[38:08.550 --> 38:08.910]  Yeah, of course.
[38:10.070 --> 38:11.930]  Just hold off until I get back.
[38:12.190 --> 38:12.850]  They're turning.
[38:13.130 --> 38:15.150]  They're coming to our right side.
[38:15.290 --> 38:17.210]  Just remember...
[38:17.210 --> 38:19.610]  They probably are pretty good.
[38:20.050 --> 38:20.070]  No.
[38:20.430 --> 38:22.230]  I don't think so.
[38:22.570 --> 38:22.990]  We'll see.
[38:22.990 --> 38:24.990]  If they're messing with us, no way, baby.
[38:25.110 --> 38:27.050]  They have no idea who they're messing with.
[38:27.050 --> 38:29.030]  They're turning sideways so they can shoot us with cannons.
[38:29.610 --> 38:30.430]  Oh yeah, they sure are.
[38:31.490 --> 38:32.430]  Turn, turn, turn.
[38:32.710 --> 38:33.910]  I'm going to grab more wood.
[38:36.350 --> 38:37.370]  Hey, nice job, Andrew.
[38:37.830 --> 38:38.410]  Great job, Andrew.
[38:39.210 --> 38:40.210]  Oh, they're turning off.
[38:40.550 --> 38:42.310]  They are. They're gone.
[38:42.990 --> 38:43.690]  We did it!
[38:44.070 --> 38:47.350]  They probably realized who we were, who they were messing with.
[38:48.370 --> 38:50.470]  Now let's teach them a lesson and hunt them down.
[38:51.010 --> 38:51.750]  Sure, we can do that.
[38:51.750 --> 38:52.630]  Yeah!
[38:54.510 --> 38:54.910]  Nick liked.
[38:56.250 --> 38:56.930]  I do.
[38:58.110 --> 39:00.190]  I want them to learn a valuable lesson.
[39:00.190 --> 39:01.710]  That's awesome, so we're okay.
[39:02.090 --> 39:02.410]  Let's raise sails.
[39:04.110 --> 39:05.350]  Raise them.
[39:06.150 --> 39:06.510]  Raise.
[39:07.370 --> 39:08.290]  Raising sails.
[39:08.890 --> 39:09.890]  Raising sails.
[39:12.270 --> 39:13.750]  And sails are up.
[39:14.390 --> 39:15.110]  Alright, we're raised.
[39:15.110 --> 39:15.790]  Okay.
[39:18.690 --> 39:21.430]  I can't believe that guy left us alone.
[39:21.570 --> 39:22.050]  That's incredible.
[39:22.730 --> 39:24.690]  He didn't leave us alone, he chose to live.
[39:26.410 --> 39:27.830]  I'm sorry, that's what I meant.
[39:29.070 --> 39:30.410]  I was confused when I said that.
[39:31.430 --> 39:32.450]  Oh shit, there's...
[39:32.450 --> 39:35.170]  Hey, there's silver in the water here.
[39:35.310 --> 39:36.230]  There's sparkles in the water.
[39:36.670 --> 39:37.070]  Where?
[39:37.750 --> 39:38.390]  Right behind us.
[39:38.830 --> 39:41.810]  Oh, I do see it.
[39:41.810 --> 39:42.510]  Yeah, keep turning.
[39:43.090 --> 39:43.890]  I might be able to get it.
[39:44.670 --> 39:45.610]  I saw it sparkle.
[39:45.830 --> 39:54.930]  It will sink eventually, I think.
[39:57.050 --> 39:58.030]  How am I not hitting it?
[39:58.130 --> 39:58.610]  Come on.
[40:00.190 --> 40:01.310]  You gonna go straight for it, Nick?
[40:01.690 --> 40:02.450]  I'm gonna try to.
[40:04.550 --> 40:05.750]  Watch out for sharks.
[40:06.570 --> 40:06.750]  What?
[40:09.010 --> 40:10.170]  Dude, how am I missing?
[40:10.270 --> 40:11.030]  I'm going insane.
[40:12.450 --> 40:14.510]  What if this is just a lure to get us out of the ship?
[40:14.510 --> 40:15.350]  It could be.
[40:16.930 --> 40:18.650]  I hope I'm still heading for it.
[40:18.850 --> 40:20.970]  Dude, what am I missing here? I'm going crazy.
[40:21.270 --> 40:22.130]  I haven't hit anything.
[40:22.850 --> 40:23.690]  It might just be that far.
[40:24.770 --> 40:25.650]  Yeah, it might be out of range.
[40:26.570 --> 40:27.150]  Can you get closer?
[40:29.270 --> 40:30.850]  Oh, there's a treasure chest here.
[40:32.150 --> 40:32.670]  Got one.
[40:32.870 --> 40:33.710]  Are you at it, Nick?
[40:34.050 --> 40:36.590]  What is this? Trident of Dark Tides.
[40:36.630 --> 40:37.450]  Oh, you're gonna want that.
[40:37.990 --> 40:38.510]  That's a weapon.
[40:39.970 --> 40:41.110]  Bring me back, Eric.
[40:41.110 --> 40:41.630]  Got it.
[40:42.110 --> 40:43.230]  You missed me.
[40:43.750 --> 40:46.710]  Looks like there's nothing good here left.
[40:49.990 --> 40:51.370]  Nothing's sparkling below me.
[40:51.430 --> 40:52.030]  I'll just grab this.
[40:52.550 --> 40:53.650]  This is a weapon, huh?
[40:54.970 --> 40:57.150]  Can I pull the barrel off?
[40:57.390 --> 40:58.530]  And bring it into us?
[40:59.210 --> 41:02.070]  You can pull it in, and then you can just pull from it.
[41:02.550 --> 41:03.110]  While it's unplugged.
[41:03.830 --> 41:05.570]  So it's like, I got like mangoes and shit.
[41:06.410 --> 41:06.550]  Yeah.
[41:06.950 --> 41:07.350]  Just food.
[41:07.770 --> 41:09.910]  So, Andrew, is this like a one-time-use item?
[41:10.670 --> 41:12.290]  Uh, what is the item, sorry?
[41:12.410 --> 41:13.070]  The Trident.
[41:13.570 --> 41:15.250]  Oh, no, you can use it multiple times.
[41:16.330 --> 41:17.130]  Does anybody want a banana?
[41:17.430 --> 41:17.990]  I got a banana.
[41:19.070 --> 41:20.670]  We got a Megalodon, I think.
[41:22.090 --> 41:24.210]  Uh, I don't know how to handle that.
[41:24.970 --> 41:25.690]  A Megalodon!
[41:25.870 --> 41:27.650]  Yep, there it is to our right. Let's get it.
[41:28.630 --> 41:29.590]  What do we do? Kill it?
[41:29.610 --> 41:31.330]  Hop on cannons, fire at it.
[41:31.710 --> 41:32.830]  It's swimming towards us.
[41:34.750 --> 41:36.050]  What the hell is this thing?
[41:36.570 --> 41:37.590]  What's the Megalodon?
[41:38.150 --> 41:39.410]  Oh, no, there's stuff on the ship!
[41:39.550 --> 41:41.070]  Shit, it's spawning in, guys.
[41:41.410 --> 41:44.650]  Ah! Fight, fight, fight, fight!
[41:44.730 --> 41:45.150]  Ow!
[41:46.530 --> 41:47.670]  Shoot the Meg!
[41:49.150 --> 41:49.890]  One in.
[41:51.210 --> 41:52.010]  Come on, come on, come on.
[41:52.010 --> 41:52.890]  How many shots does it take?
[41:53.710 --> 41:54.590]  It's gonna take quite a few.
[41:55.070 --> 41:55.690]  Ah, shit.
[41:57.130 --> 41:57.590]  Unacceptable.
[41:58.990 --> 41:59.350]  Ow!
[42:03.050 --> 42:03.970]  That hurt.
[42:03.970 --> 42:05.210]  Yeah, it'll take a bite out of us.
[42:05.510 --> 42:06.590]  Where is it now?
[42:07.010 --> 42:08.450]  Okay, we got a bunch of holes in the bottom.
[42:09.110 --> 42:10.590]  Oh, shit, I'm going down!
[42:12.490 --> 42:13.110]  Alright, I'll stay up here.
[42:13.290 --> 42:14.410]  Oh, it's bad down there.
[42:14.690 --> 42:15.110]  I got water.
[42:18.930 --> 42:20.170]  Throw water on the shark.
[42:20.250 --> 42:20.970]  It'll confuse it.
[42:22.390 --> 42:23.450]  Okay, I'm gonna go seal up the holes.
[42:24.170 --> 42:24.350]  Alright.
[42:24.930 --> 42:25.630]  You guys bucket.
[42:27.310 --> 42:27.670]  Bucket.
[42:28.110 --> 42:29.510]  I might have a shot.
[42:30.330 --> 42:31.670]  Oh, no, guys.
[42:32.010 --> 42:34.150]  Andrew, you better put your...
[42:34.150 --> 42:35.130]  Bucket.
[42:36.430 --> 42:37.010]  Oh!
[42:38.290 --> 42:39.270]  Keep bucketing!
[42:41.150 --> 42:42.190]  Uh-oh, boys.
[42:42.730 --> 42:43.290]  Uh-oh, boys.
[42:44.110 --> 42:44.390]  We're okay.
[42:45.230 --> 42:47.950]  Make sure to throw the bucketed water out of the boat.
[42:48.570 --> 42:48.830]  Yes.
[42:51.090 --> 42:52.250]  The monsters are...
[42:52.250 --> 42:52.950]  Yeah, yeah, yeah.
[42:53.310 --> 42:54.090]  We got them.
[42:55.590 --> 42:57.470]  The monsters are...
[42:58.110 --> 42:58.470]  Huh?
[43:00.270 --> 43:00.630]  Nice.
[43:02.530 --> 43:04.410]  Well, I just wanted to teach that guy a lesson.
[43:04.530 --> 43:05.170]  And the Megalodon showed up.
[43:05.170 --> 43:07.230]  God, there's another bad guy up there. Come on.
[43:10.310 --> 43:11.430]  Ow, you absolute prick.
[43:11.430 --> 43:12.370]  Coming in for a bite.
[43:13.370 --> 43:15.330]  Oh, take a bite out of that, dickhead.
[43:15.430 --> 43:16.550]  Ow! I'm down.
[43:17.250 --> 43:18.610]  I gotta get picked up.
[43:19.110 --> 43:20.850]  Ah, shit. Fuck.
[43:21.570 --> 43:22.250]  I got you, Geoff.
[43:22.450 --> 43:24.390]  Thank you. I'll go straight to bucketing, I'm sure.
[43:24.890 --> 43:25.290]  Yep.
[43:25.830 --> 43:26.230]  Yep.
[43:28.490 --> 43:29.470]  Sorry, Eric. There's a lot.
[43:30.850 --> 43:31.710]  Eric, I got you.
[43:31.930 --> 43:32.850]  Okay, never mind. Sorry.
[43:33.830 --> 43:35.950]  The little fuckers are still attacking me, though.
[43:36.410 --> 43:37.670]  Yeah, I got him. I got this one.
[43:41.210 --> 43:41.610]  Alright.
[43:43.810 --> 43:46.510]  I'll start repairing once I get that thrown off the boat.
[43:48.010 --> 43:48.710]  Alright, I'm going down.
[43:50.350 --> 43:51.550]  Oh my god, they're everywhere.
[43:53.410 --> 43:54.230]  Oh, yeah, they are.
[43:54.290 --> 43:55.270]  Alright, I'll fight them for a minute.
[43:56.610 --> 43:57.510]  I'm at the holes.
[43:58.790 --> 44:00.170]  Well, the monsters are everywhere upstairs,
[44:00.310 --> 44:00.650]  so I'm gonna fight them.
[44:00.650 --> 44:03.010]  Who's neatgorilla2440?
[44:03.230 --> 44:03.750]  Oh, that's me.
[44:03.990 --> 44:06.790]  That's probably somebody from that other boat that fled.
[44:07.490 --> 44:07.730]  Oh.
[44:07.990 --> 44:08.010]  Fled.
[44:10.910 --> 44:12.290]  Please, we're drowning. Fled.
[44:12.910 --> 44:13.810]  Oh, I'm dead on the top.
[44:14.130 --> 44:14.590]  Yeah, I see you.
[44:15.010 --> 44:16.890]  Pick me up, macaw.
[44:16.890 --> 44:17.670]  Ow!
[44:18.510 --> 44:21.090]  Okay, we need everybody on buckets.
[44:24.450 --> 44:26.830]  Okay, I think I've patched some holes.
[44:26.990 --> 44:27.990]  I need more stuff.
[44:28.590 --> 44:29.730]  Keep going. Good job, Nick.
[44:30.210 --> 44:31.190]  Uh, ferryman for me.
[44:33.150 --> 44:34.510]  The ferryman for me.
[44:35.130 --> 44:36.330]  The ferryman can.
[44:37.430 --> 44:38.670]  The ferryman can.
[44:38.690 --> 44:39.910]  He'll take you from this world.
[44:40.310 --> 44:42.310]  Well, we got away from the one guy. That was good.
[44:42.650 --> 44:44.110]  Megalodon came. That's bad.
[44:44.110 --> 44:46.450]  Dude, I've never fucked with a megalodon before.
[44:46.650 --> 44:48.630]  Maybe that's why they left. Do you think that's why they left?
[44:48.830 --> 44:48.930]  Yeah.
[44:50.310 --> 44:52.350]  They saw it and they're like, bail out.
[44:53.650 --> 44:54.710]  Let me out.
[44:57.350 --> 44:58.370]  Nick, if you want to start
[44:58.370 --> 44:58.910]  patching.
[45:00.410 --> 45:01.090]  Uh, okay.
[45:02.530 --> 45:03.050]  Uh-oh!
[45:04.790 --> 45:06.090]  Oh, these are not loaded.
[45:06.330 --> 45:06.610]  Ah!
[45:07.390 --> 45:09.930]  We need everybody on patching for a minute.
[45:09.930 --> 45:10.730]  I'm down. I'm down.
[45:10.730 --> 45:11.510]  Patching.
[45:13.050 --> 45:14.830]  I'm on the top deck.
[45:15.070 --> 45:15.330]  Yep.
[45:15.450 --> 45:15.970]  Patching.
[45:19.010 --> 45:19.630]  Patching.
[45:22.450 --> 45:24.550]  I got it. I'm bucketing.
[45:25.190 --> 45:26.370]  Alright, I'm a bucket.
[45:27.490 --> 45:28.390]  I'm a bucket.
[45:29.010 --> 45:30.170]  What are you?
[45:30.690 --> 45:32.610]  I'm a bucket. How about you?
[45:33.130 --> 45:33.970]  I'm a bucket.
[45:34.790 --> 45:35.590]  Please don't die.
[45:35.950 --> 45:37.610]  Oh my god, they're everywhere.
[45:38.550 --> 45:40.010]  These fucking guys.
[45:40.210 --> 45:41.630]  These fucking guys.
[45:43.190 --> 45:44.350]  I just don't know how to kill them.
[45:44.590 --> 45:44.630]  Okay.
[45:45.350 --> 45:46.470]  Oh, shit!
[45:51.240 --> 45:51.940]  Die, prick!
[45:52.040 --> 45:52.340]  Nice.
[45:53.240 --> 45:54.280]  Alright, he's dead.
[45:54.440 --> 45:58.000]  Gotta eat. Hang on.
[45:58.140 --> 45:59.500]  Okay, another bite coming in.
[46:00.400 --> 46:00.640]  Ah!
[46:01.560 --> 46:03.120]  I'm going on the patching immediately.
[46:03.440 --> 46:04.400]  I'm getting the water out.
[46:08.470 --> 46:08.950]  Okay.
[46:08.950 --> 46:10.390]  Now we can hop on cannons.
[46:10.610 --> 46:12.570]  Yeah, we need to refill.
[46:12.990 --> 46:14.950]  I'm loading cannonballs.
[46:15.930 --> 46:16.590]  I'm loading cannonballs.
[46:16.590 --> 46:18.190]  I'm going to patch the second deck while we have a minute.
[46:19.410 --> 46:19.850]  Patching.
[46:20.170 --> 46:21.230]  Here he comes.
[46:23.170 --> 46:23.610]  No!
[46:24.270 --> 46:25.210]  What the fuck?
[46:30.430 --> 46:32.070]  We'll just keep leapfrogging each other here, Andrew.
[46:33.110 --> 46:33.790]  Great job, Nick.
[46:34.730 --> 46:35.210]  You too, Andrew.
[46:36.250 --> 46:37.910]  Get off my nuts.
[46:40.190 --> 46:40.610]  Alright.
[46:40.830 --> 46:41.870]  Uh, where's this motherfucker?
[46:42.850 --> 46:43.890]  Don't do it. Don't die.
[46:43.970 --> 46:44.430]  Ah, there's more.
[46:45.330 --> 46:47.710]  It's not fair that the Megalodon has minions.
[46:48.090 --> 46:48.690]  Yeah, I agree.
[46:49.310 --> 46:50.950]  It's like you're already the biggest shark ever.
[46:51.190 --> 46:52.590]  Do you need followers?
[46:56.110 --> 46:56.950]  Loading cannonballs.
[46:57.550 --> 46:59.070]  Loading cannonballs on the other side.
[47:03.140 --> 47:03.800]  Oh, no.
[47:04.080 --> 47:04.840]  Oh, that hurt.
[47:05.160 --> 47:05.840]  Alright, another bite.
[47:05.840 --> 47:06.440]  Yep.
[47:06.820 --> 47:07.860]  Let's get down and get water.
[47:09.400 --> 47:11.500]  We are down to very few planks.
[47:11.780 --> 47:14.020]  There's a crate of planks right below it.
[47:14.520 --> 47:14.900]  Okay.
[47:16.480 --> 47:18.360]  There's also a cannonball crate
[47:18.360 --> 47:19.580]  in the middle of the boat
[47:19.580 --> 47:21.520]  on the top floor for easy pull.
[47:23.060 --> 47:23.840]  There's also a...
[47:26.380 --> 47:27.880]  Did we run into a rock?
[47:28.620 --> 47:28.860]  Yeah.
[47:29.720 --> 47:30.900]  Or it looks like we did.
[47:33.060 --> 47:34.460]  Every time he bites us,
[47:34.460 --> 47:35.580]  he launches us.
[47:36.420 --> 47:38.520]  Alright, I killed that bitch.
[47:41.440 --> 47:42.540]  Food barrel empty.
[47:43.000 --> 47:43.240]  Fucker.
[47:44.260 --> 47:45.220]  It's not loaded.
[47:48.920 --> 47:50.060]  Suck shit, asshole.
[47:51.440 --> 47:53.280]  Do I have different cannonballs
[47:53.280 --> 47:54.480]  or is it just these cannonballs?
[47:55.720 --> 47:56.680]  You might have different ones.
[47:56.680 --> 47:58.160]  There are different cannonballs down there.
[48:02.160 --> 48:03.180]  Come right for us!
[48:03.180 --> 48:05.260]  I hit him head on.
[48:05.740 --> 48:06.680]  We're gonna get bit.
[48:07.740 --> 48:09.100]  I think he's stuck.
[48:09.260 --> 48:09.980]  I shot him.
[48:10.320 --> 48:11.660]  He's stuck.
[48:13.880 --> 48:14.400]  Dumbass.
[48:14.680 --> 48:16.000]  Oh, he's dead. We got him.
[48:16.080 --> 48:17.200]  We got him.
[48:17.220 --> 48:19.720]  Yeah, and then we got got.
[48:20.040 --> 48:21.420]  Now what?
[48:22.000 --> 48:22.720]  Checking the water.
[48:23.060 --> 48:23.600]  Got water.
[48:24.140 --> 48:27.080]  Got the water.
[48:28.420 --> 48:29.000]  Water out.
[48:29.000 --> 48:29.580]  We're repairing one.
[48:30.100 --> 48:32.180]  Fuck, these guys are still here? Are you kidding me?
[48:32.260 --> 48:33.080]  We're repairing two.
[48:34.480 --> 48:36.600]  Yeah, it's not like a vampire situation.
[48:36.720 --> 48:38.480]  When you kill the master, they still live, apparently.
[48:38.920 --> 48:40.660]  I'm down. Somebody pick me up.
[48:43.340 --> 48:44.880]  Maybe he's not dead.
[48:46.000 --> 48:46.100]  Four.
[48:47.420 --> 48:48.280]  What's going on?
[48:48.600 --> 48:49.800]  Did I get everything?
[48:50.920 --> 48:51.960]  Not dead!
[48:53.020 --> 48:53.660]  I'm down.
[48:54.140 --> 48:55.180]  He's not dead?
[48:55.180 --> 48:56.120]  He's coming for a bite.
[48:56.380 --> 48:57.680]  I'm down on the second floor.
[48:59.740 --> 49:00.640]  I'm getting you, Geoff.
[49:01.920 --> 49:03.300]  I'm emptying water still.
[49:03.440 --> 49:03.720]  There you go.
[49:04.080 --> 49:05.420]  Good job.
[49:05.740 --> 49:08.180]  I'm going to empty water.
[49:08.600 --> 49:09.420]  I'm just emptying water.
[49:10.180 --> 49:10.660]  I hit him.
[49:14.310 --> 49:15.330]  Where is he?
[49:18.140 --> 49:19.820]  He looks damn...
[49:20.520 --> 49:21.480]  He looks alive.
[49:22.760 --> 49:23.740]  Sure is alive.
[49:23.840 --> 49:25.960]  It was weird. It gave me the kill reticle on it.
[49:25.960 --> 49:27.260]  I've never fought one of these.
[49:27.740 --> 49:29.980]  Oh, these little bastards.
[49:29.980 --> 49:31.620]  We're taking out a lot of water.
[49:32.520 --> 49:34.480]  There's so much water.
[49:34.980 --> 49:36.140]  Oh, bucket.
[49:37.200 --> 49:38.900]  There's so much water.
[49:39.300 --> 49:39.900]  Fuck, I'm stuck.
[49:40.780 --> 49:44.920]  I'm going to go low and patch us up.
[49:47.360 --> 49:48.000]  Okay.
[49:48.380 --> 49:48.720]  Down I go.
[49:54.340 --> 49:54.940]  I'm dead.
[49:55.400 --> 49:56.280]  Bucket, bucket, bucket.
[49:57.440 --> 49:58.460]  Okay, got one.
[49:59.060 --> 49:59.920]  Got another one.
[50:00.000 --> 50:01.120]  I'm just going to go assist the ferryman.
[50:01.420 --> 50:01.680]  Yep.
[50:03.560 --> 50:04.120]  Godspeed.
[50:04.640 --> 50:06.760]  I'll be back as soon as I fucking can.
[50:08.640 --> 50:09.200]  Three.
[50:12.020 --> 50:12.740]  Getting water.
[50:14.680 --> 50:15.380]  Nick's down.
[50:15.740 --> 50:16.400]  I'm down.
[50:16.840 --> 50:18.120]  I'm coming to you.
[50:19.220 --> 50:21.300]  I'm coming out with bucket in hand.
[50:22.560 --> 50:23.920]  Okay, hurry on the buckets.
[50:23.920 --> 50:25.220]  Waiting for the door.
[50:25.880 --> 50:26.440]  Alright.
[50:27.920 --> 50:29.380]  Reviving, reviving, reviving.
[50:29.960 --> 50:30.180]  Oh god.
[50:31.880 --> 50:32.280]  Gotcha.
[50:32.640 --> 50:33.520]  Nice work.
[50:34.840 --> 50:35.860]  Okay, we need a lot of buckets.
[50:37.300 --> 50:38.220]  I'm patching.
[50:38.600 --> 50:39.080]  Bucket.
[50:44.000 --> 50:44.940]  I'm patching.
[50:45.520 --> 50:46.080]  A bucket.
[50:46.680 --> 50:47.060]  Nice job.
[50:48.260 --> 50:49.240]  We got one over here by me.
[50:49.240 --> 50:49.400]  Coming here.
[50:51.460 --> 50:53.500]  We are dangerously low on wood.
[50:53.700 --> 50:54.200]  Yeah, I got it.
[50:54.260 --> 50:55.500]  I have like four planks.
[50:57.060 --> 50:58.080]  Andrew was saying there's more.
[51:00.660 --> 51:01.320]  While I'm up here,
[51:01.340 --> 51:02.120]  I'm going to shoot the thing.
[51:03.240 --> 51:03.700]  Got him.
[51:04.420 --> 51:05.860]  Alright, I'm going to fight the little dickhead.
[51:07.840 --> 51:09.100]  I'm going to get the stuff
[51:09.100 --> 51:10.220]  on the second deck.
[51:11.200 --> 51:11.900]  He's dead.
[51:15.040 --> 51:16.660]  Okay, going in for a bite. Get ready.
[51:16.660 --> 51:18.220]  I hear something
[51:19.020 --> 51:20.460]  on the second deck.
[51:21.440 --> 51:22.320]  Ah, prick.
[51:22.540 --> 51:23.400]  Okay, patch in the bottom.
[51:24.180 --> 51:27.600]  I'll help you.
[51:28.340 --> 51:29.180]  He's dead.
[51:29.720 --> 51:30.720]  What was that?
[51:31.240 --> 51:32.780]  Bucket, bucket, bucket.
[51:34.000 --> 51:34.540]  Bucket.
[51:41.960 --> 51:42.640]  Alright.
[51:44.820 --> 51:46.300]  I'm loading cannons.
[51:47.640 --> 51:47.980]  I'm just...
[51:47.980 --> 51:48.660]  Alright, I got the water out.
[51:53.600 --> 51:54.440]  Oh, boy.
[52:00.400 --> 52:01.580]  Okay, he's dead.
[52:02.220 --> 52:02.780]  Who's dead?
[52:03.340 --> 52:05.140]  He's coming around the front to the right side.
[52:05.780 --> 52:06.000]  Okay.
[52:10.660 --> 52:11.900]  Alright, I loaded that cannon.
[52:12.980 --> 52:14.100]  Here he comes on the right.
[52:14.560 --> 52:15.540]  Loaded that cannon.
[52:16.240 --> 52:16.960]  Yeah, yeah, yeah.
[52:19.360 --> 52:20.320]  Nice shot.
[52:21.620 --> 52:22.340]  He's coming.
[52:22.740 --> 52:23.640]  Fire, fire, fire, fire.
[52:27.220 --> 52:27.940]  Oh, nice.
[52:28.860 --> 52:29.220]  Way to go.
[52:29.240 --> 52:30.440]  Load him up again, load him up again.
[52:30.580 --> 52:32.400]  Oh, he didn't hit, he didn't bite. Nice.
[52:32.800 --> 52:34.480]  I think you can stop him from biting if you hit him enough.
[52:34.940 --> 52:36.400]  Yeah, he's coming up on the...
[52:36.400 --> 52:37.100]  He's swimming right.
[52:39.400 --> 52:39.740]  Yeah.
[52:40.960 --> 52:42.200]  Knocked some of that armor off, huh?
[52:44.220 --> 52:44.880]  There we go.
[52:45.040 --> 52:45.280]  Get the fuck out of here.
[52:47.020 --> 52:48.080]  Keep swimming, dickhead.
[52:52.490 --> 52:53.490]  Oof, who got me?
[52:54.150 --> 52:54.870]  Nice shot.
[52:54.870 --> 52:56.790]  I need food, bad.
[52:57.510 --> 52:58.450]  Yeah, I do too.
[53:00.270 --> 53:01.390]  What are we doing down here?
[53:01.590 --> 53:03.390]  We're hitting him hard. He's coming around the other side.
[53:03.450 --> 53:04.390]  He's coming around the other side.
[53:07.970 --> 53:08.990]  I'm out of ammo.
[53:09.230 --> 53:09.390]  Empty.
[53:11.170 --> 53:12.470]  Well, we're just going to live without it.
[53:12.490 --> 53:13.030]  God help us.
[53:13.530 --> 53:15.390]  Okay, here he comes. Comes to the other side.
[53:17.910 --> 53:18.850]  Alright, here we go.
[53:20.610 --> 53:21.410]  Get on cannons.
[53:24.630 --> 53:25.310]  Nice shots.
[53:30.200 --> 53:31.240]  Okay, wait, wait, wait.
[53:31.460 --> 53:32.440]  See if he comes back around.
[53:32.840 --> 53:34.280]  Because we got to hit him hard if he comes in.
[53:37.160 --> 53:38.140]  Here he comes, here he comes.
[53:38.520 --> 53:39.760]  His little dickhead friends are around.
[53:39.760 --> 53:40.760]  Give him everything, give him everything.
[53:41.660 --> 53:43.240]  I'll try to keep the monsters off of you guys.
[53:44.320 --> 53:44.900]  I'm down.
[53:45.480 --> 53:46.460]  Fuck, okay, I'm getting neck.
[53:48.260 --> 53:49.500]  I'm super low health.
[53:50.040 --> 53:50.620]  I got nothing.
[53:51.100 --> 53:51.600]  Yeah, same.
