[00:00.000 --> 00:00.880]  We should be live.
[36:56.050 --> 36:57.590]  Alright, we can't have Geoff
[36:57.590 --> 36:58.530]  win this one, too.
[37:00.030 --> 37:01.510]  I'm happy with my two.
[37:04.350 --> 37:05.050]  Oh, fuck.
[37:05.510 --> 37:06.750]  Oh, yeah.
[37:07.730 --> 37:08.270]  That was awesome.
[37:08.330 --> 37:08.730]  God.
[37:11.110 --> 37:11.670]  No!
[37:17.250 --> 37:18.530]  Andrew living dangerous.
[37:21.770 --> 37:22.870]  I'm coming for you.
[37:23.990 --> 37:25.310]  Andrew's a heat-seeking missile.
[37:25.550 --> 37:26.630]  I'm coming for you.
[37:29.090 --> 37:29.490]  No!
[37:32.710 --> 37:34.770]  You're going to get a chance at lava as well.
[37:36.530 --> 37:38.790]  Hey, if you're watching this stream right now,
[37:38.910 --> 37:40.610]  what the fuck, but also,
[37:40.810 --> 37:42.930]  thank you, and don't
[37:42.930 --> 37:44.750]  forget, we're streaming again. We're not done.
[37:44.970 --> 37:46.610]  We're going to be done here in a few minutes,
[37:46.730 --> 37:48.870]  but then we're coming back. We're going to stream
[37:48.870 --> 37:50.990]  tonight at 9pm. We're going to play
[37:50.990 --> 37:52.770]  Sloppy Joe's Bingo, and
[37:52.770 --> 37:54.970]  what's extra special cool
[37:54.970 --> 37:56.870]  about this time is that
[37:56.870 --> 37:59.170]  we are using bingo cards
[37:59.170 --> 38:01.070]  that we drafted for the first
[38:01.070 --> 38:02.290]  time ever. It is.
[38:02.710 --> 38:05.010]  Everybody got to pick their own, well, for the
[38:05.010 --> 38:06.270]  most part, got to pick their own
[38:06.750 --> 38:09.110]  bingo slots. We drafted it in front
[38:09.110 --> 38:10.990]  of the Falcons. Yeah, we did.
[38:11.070 --> 38:12.310]  If you're a Patreon member,
[38:12.890 --> 38:14.830]  we drafted it in front of you. Where were you?
[38:15.710 --> 38:17.170]  If you're not a Patreon member,
[38:17.390 --> 38:18.830]  if you were, you could've been there.
[38:18.830 --> 38:19.610]  Super cool.
[38:20.050 --> 38:22.350]  But if you missed it and you're not one, you can join and
[38:22.350 --> 38:24.410]  there'll be a VOD of it as well.
[38:25.330 --> 38:25.770]  Oh!
[38:27.130 --> 38:28.310]  Hey, that actually worked.
[38:29.150 --> 38:30.330]  Andrew, that was amazing.
[38:30.730 --> 38:32.430]  I was just spinning it.
[38:32.710 --> 38:33.830]  It looked so cool.
[38:34.130 --> 38:36.050]  It looked very cool. There was no skill there.
[38:36.670 --> 38:38.590]  Dog and hog. Peebus Jeebus knows
[38:38.590 --> 38:39.110]  what's up.
[38:42.030 --> 38:42.470]  Oh!
[38:44.130 --> 38:46.310]  Oh God, you both went for... Oh!
[38:46.310 --> 38:47.530]  That was so cool!
[38:47.710 --> 38:49.370]  That was so cool, Gavin!
[38:49.870 --> 38:50.910]  That was awesome!
[38:52.590 --> 38:54.210]  That's my favorite. That was real Jedi
[38:54.210 --> 38:55.430]  shit. Yeah.
[38:56.630 --> 38:58.150]  Oh, what's this one? That was incredible.
[39:06.260 --> 39:06.820]  Oh!
[39:07.540 --> 39:09.140]  Shit! Oh, idiot.
[39:09.320 --> 39:10.400]  Idiot, Jedi stupid.
[39:13.220 --> 39:15.060]  If y'all still don't know Sloppy Joe's bingo set,
[39:15.160 --> 39:17.520]  please call it Sloppy Joe's Bingo
[39:17.520 --> 39:19.500]  Sloppy Seconds. We're definitely not
[39:19.500 --> 39:20.060]  going to do that.
[39:22.780 --> 39:23.520]  But I can tell
[39:23.520 --> 39:24.440]  Gavin wishes we would.
[39:25.980 --> 39:26.780]  Sloppy Seconds?
[39:26.900 --> 39:29.140]  Yeah, I think that's a pretty good name for it.
[39:31.220 --> 39:33.700]  Well, maybe we will if we do it. Unfortunately, the bingo set
[39:33.700 --> 39:34.600]  didn't sell for shit.
[39:35.600 --> 39:35.800]  Oh!
[39:39.160 --> 39:41.500]  It's weird how, like, some of our
[39:41.500 --> 39:43.520]  dumb shit flew off the shelves, and some
[39:43.520 --> 39:45.480]  of our dumb shit made a pretty
[39:45.480 --> 39:46.800]  happy little home on the shelves.
[39:47.520 --> 39:49.440]  Well, I mean, especially if you could just join
[39:49.440 --> 39:51.540]  for random on
[39:51.540 --> 39:53.140]  the internet. Yeah.
[39:54.040 --> 39:55.480]  And also, like, it was bundled
[39:55.480 --> 39:56.180]  with a shirt.
[39:57.280 --> 39:59.480]  So, like, if you wanted the set, like, it's...
[40:00.020 --> 40:01.480]  it wasn't... the shirt wasn't in your
[40:01.480 --> 40:03.560]  size. Like, half the set
[40:04.060 --> 40:04.760]  didn't work.
[40:06.420 --> 40:06.840]  Oh!
[40:11.680 --> 40:13.080]  Oh, did I live, Geoff?
[40:13.080 --> 40:15.060]  Did I live? I wanna live!
[40:15.440 --> 40:16.700]  Geoff! Geoff! Geoff!
[40:16.940 --> 40:17.840]  Geoff! No!
[40:20.340 --> 40:21.220]  That was really
[40:21.220 --> 40:22.880]  good. Thank you.
[40:23.900 --> 40:24.420]  Balance.
[40:25.600 --> 40:26.180]  I think that
[40:26.180 --> 40:28.960]  the, um, clock
[40:28.960 --> 40:30.880]  was so much cooler than I expected.
[40:31.720 --> 40:33.280]  Yeah. I like that clock.
[40:33.660 --> 40:34.900]  I too liked the clock.
[40:37.340 --> 40:38.720]  Andrew, look at my hot stick.
[40:39.760 --> 40:41.040]  Well, you didn't like the clock
[40:41.040 --> 40:43.400]  enough to have a thousand of them.
[40:43.700 --> 40:45.240]  I would've liked the clock. Not on the day
[40:45.240 --> 40:47.000]  my house went for sale and I had an open
[40:47.000 --> 40:48.020]  house. You didn't love the clock.
[40:50.140 --> 40:51.080]  Oh, yours was
[40:51.080 --> 40:52.880]  so much longer. Oh, bah.
[40:53.720 --> 40:54.920]  First time I've heard that.
[40:55.440 --> 40:56.360]  Oh, oh, oh.
[40:56.760 --> 40:58.460]  Love you too, the grumpy monk.
[40:59.940 --> 41:01.400]  Oh, shit, I had a...
[41:01.400 --> 41:02.940]  I didn't mean to do that. Oh, no.
[41:03.060 --> 41:05.040]  Oops! Oh, I almost
[41:05.040 --> 41:06.220]  died. That was so close.
[41:06.800 --> 41:08.940]  Oh, no, don't fire it. No!
[41:08.940 --> 41:11.320]  That just increasingly
[41:11.320 --> 41:12.100]  got worse.
[41:14.140 --> 41:15.400]  Ay, congratulations, Gav.
[41:15.760 --> 41:16.180]  Ay!
[41:16.720 --> 41:17.180]  2-2.
[41:18.660 --> 41:20.560]  So now we need a deciding round.
[41:21.440 --> 41:22.560]  Yeah, this is it.
[41:23.400 --> 41:25.060]  This is the one that
[41:25.060 --> 41:27.180]  will decide the whole game unless Andrew wins.
[41:27.960 --> 41:28.380]  Oh.
[41:29.340 --> 41:30.680]  Oh, we're doing another one then.
[41:31.360 --> 41:32.440]  Cause I got this in the bag!
[41:33.420 --> 41:34.680]  Buh, buh, buh, buh, buh, buh.
[41:34.760 --> 41:36.340]  Oh, no. Oh, no. Oh, no.
[41:37.160 --> 41:37.560]  Okay.
[41:38.780 --> 41:40.240]  There was nothing to grab onto.
[41:41.660 --> 41:42.360]  We have a good
[41:42.360 --> 41:44.400]  start so far. I wish the web was faster.
[41:48.700 --> 41:50.440]  I really do hope we, uh, we see
[41:50.440 --> 41:51.880]  all you guys later on for Sloppy Joe's Bingo.
[41:52.480 --> 41:54.120]  That's gonna be a fun one tonight.
[41:55.640 --> 41:56.560]  I picked some
[41:57.080 --> 41:58.580]  real winners for my card.
[41:59.680 --> 42:00.360]  Which means
[42:00.360 --> 42:02.440]  Nick also picked some real winners for his card.
[42:03.060 --> 42:03.260]  Fuck!
[42:06.300 --> 42:06.780]  Draw!
[42:07.200 --> 42:09.260]  I'll take that. I'll take that.
[42:12.420 --> 42:13.340]  I love the music.
[42:13.500 --> 42:15.200]  Buh, buh, buh, buh, buh, buh, buh.
[42:15.200 --> 42:16.660]  Oh, no. Oh, my gosh.
[42:23.620 --> 42:25.040]  Oh, I fuckin'
[42:25.280 --> 42:26.560]  knocked my thing in the water.
[42:28.140 --> 42:29.580]  God, what is...
[42:29.580 --> 42:30.520]  What is yours?
[42:30.940 --> 42:32.500]  I think I'm supposed to shoot it.
[42:32.500 --> 42:34.400]  I always think it's a melee, but I think it's a weapon.
[42:35.220 --> 42:36.100]  It's like a launcher.
[42:36.120 --> 42:36.620]  Nice job, Gav.
[42:37.700 --> 42:38.040]  Ooh,
[42:43.020 --> 42:43.360]  Injiz.
[42:45.540 --> 42:45.880]  Injiz.
[42:53.240 --> 42:53.920]  Oh, shit.
[42:55.260 --> 42:56.620]  Oh, my God, I've got the laser one.
[42:58.000 --> 42:58.680]  Come here, bitch.
[42:58.820 --> 42:59.680]  Come here, you bitch.
[43:01.980 --> 43:03.480]  Oh, we got...
[43:03.480 --> 43:04.680]  Touch tips. Touch tips.
[43:04.680 --> 43:05.980]  Touch the tips.
[43:06.740 --> 43:07.300]  Swing!
[43:17.540 --> 43:18.640]  It's a draw.
[43:19.040 --> 43:21.260]  I hate myself. I suck.
[43:21.820 --> 43:23.320]  That was so much fun.
[43:24.120 --> 43:25.400]  No, you're not catching up on
[43:25.400 --> 43:27.040]  wrestling tonight, freelancers.
[43:27.040 --> 43:29.180]  Whatever. You're hanging out with us.
[43:29.200 --> 43:30.140]  God damn it.
[43:31.900 --> 43:32.940]  We're all watching
[43:32.940 --> 43:34.600]  people get drunk on the street.
[43:34.800 --> 43:36.140]  Oh, I'm getting smashed around.
[43:36.260 --> 43:38.040]  Oh, the stuff fell on my head.
[43:41.300 --> 43:42.260]  Somebody draws.
[43:43.080 --> 43:44.160]  God damn it.
[43:44.540 --> 43:47.140]  Well, now we're all at the same level, right?
[43:49.760 --> 43:50.240]  So...
[43:50.240 --> 43:51.200]  I got a little stick.
[43:51.360 --> 43:51.680]  What is this?
[43:53.760 --> 43:54.520]  Oh, tennis.
[43:54.520 --> 43:55.040]  Tennis.
[43:56.520 --> 43:57.980]  Get that blue shit away from me.
[43:58.080 --> 44:00.520]  God damn it. I sure did.
[44:05.800 --> 44:06.640]  Damn it.
[44:07.120 --> 44:07.800]  I needed that.
[44:14.960 --> 44:17.420]  I thought you were maybe going to break some chains with that one.
[44:20.080 --> 44:21.360]  Oh, the saw blade.
[44:23.980 --> 44:25.800]  Fuck him too. I couldn't pull back up
[44:25.800 --> 44:26.920]  in time. Damn.
[44:27.320 --> 44:28.180]  That was a great shot, Gavin.
[44:28.740 --> 44:29.420]  Thank you.
[44:30.800 --> 44:32.740]  Yeah, Sloppy Joe's, 9pm tonight.
[44:33.580 --> 44:34.140]  This spot.
[44:34.440 --> 44:36.820]  If you're here right now, you know where to go.
[44:37.680 --> 44:39.720]  Don't dummy. Stop sucking.
[44:41.200 --> 44:41.700]  Lob.
[44:44.720 --> 44:45.900]  On the head, son.
[44:56.180 --> 44:57.540]  He's hanging out watched.
[45:04.810 --> 45:05.650]  Long shot.
[45:11.350 --> 45:12.590]  Get over here.
[45:13.070 --> 45:14.490]  Get away from that.
[45:14.670 --> 45:16.150]  That was awesome.
[45:16.590 --> 45:19.590]  You swatted the weapon away from me and then killed me
[45:19.590 --> 45:20.410]  with the next swat.
[45:21.010 --> 45:22.850]  That was like some Three Musketeers shit right there.
[45:29.010 --> 45:30.430]  Oh, nice, Gavin.
[45:30.690 --> 45:32.190]  This might be Gavin's day right here.
[45:33.810 --> 45:34.570]  Two more.
[45:34.910 --> 45:35.570]  Wait, three more?
[45:35.890 --> 45:36.290]  Three more.
[45:38.850 --> 45:39.330]  No.
[45:41.270 --> 45:41.750]  Tennis.
[45:42.150 --> 45:43.550]  Oh, you hit the tennis back.
[45:43.650 --> 45:45.870]  Oh, I was alive.
[45:45.950 --> 45:46.970]  That's why I survived that.
[45:47.230 --> 45:47.850]  What a fool.
[45:49.750 --> 45:51.530]  Oh, Andrew's scraping his niblets.
[45:52.870 --> 45:53.830]  Oh, shit.
[45:54.590 --> 45:55.550]  See that cool flip I did?
[45:55.550 --> 45:56.650]  That was really cool.
[45:57.390 --> 45:58.270]  Yeah, that was pretty awesome.
[45:59.930 --> 46:01.750]  Is that a really long roll?
[46:05.670 --> 46:06.510]  Oops, I forgot to pause it.
[46:06.510 --> 46:07.650]  That is massive.
[46:11.110 --> 46:11.750]  Oh, no.
[46:13.770 --> 46:14.850]  We're in each other's shit.
[46:15.310 --> 46:16.890]  Oh, you blew up my left.
[46:17.070 --> 46:18.950]  Oh, no, don't hit the lift.
[46:21.890 --> 46:22.330]  Gunfight.
[46:22.330 --> 46:22.370]  Gunfight.
[46:26.380 --> 46:27.780]  Come on up here.
[46:28.200 --> 46:28.820]  Oh.
[46:30.160 --> 46:31.960]  Oh, it blasted away.
[46:32.280 --> 46:32.980]  Another weapon.
[46:33.800 --> 46:35.200]  The weapons are getting lower.
[46:35.540 --> 46:38.120]  Oh, nice grab.
[46:39.900 --> 46:41.880]  Gavin should have the ammo advantage.
[46:42.220 --> 46:43.240]  You shot out of my hands.
[46:43.860 --> 46:44.400]  Give me a stick.
[46:44.720 --> 46:46.020]  Oh, I'll take this.
[46:46.440 --> 46:48.040]  That was amazing.
[46:49.200 --> 46:50.940]  That was so cool.
[46:52.200 --> 46:52.760]  Fuck.
[46:53.140 --> 46:54.340]  I still got him.
[46:55.060 --> 46:56.840]  I thought I could knock it back at you.
[46:56.960 --> 46:57.760]  You almost did.
[47:01.860 --> 47:03.560]  This game's fucking great.
[47:03.720 --> 47:04.200]  I love it.
[47:04.480 --> 47:06.940]  Oh, I suck. I hate it.
[47:20.670 --> 47:21.690]  Geoff, stop.
[47:25.640 --> 47:29.080]  Oh, god damn son of a...
[47:29.080 --> 47:29.540]  I know.
[47:32.640 --> 47:33.660]  You bitch.
[47:33.900 --> 47:36.860]  Oh, Andrew with the lightning fast attacks from above.
[47:37.860 --> 47:39.180]  Disarmed each other.
[47:39.760 --> 47:40.340]  Give me this.
[47:45.360 --> 47:46.160]  Disarmed again.
[47:47.160 --> 47:47.740]  You got me.
[47:49.720 --> 47:51.420]  Andrew is picking it up.
[47:51.460 --> 47:53.060]  Once in every eight rounds.
[47:53.760 --> 47:55.360]  So intense. This is great.
[47:55.620 --> 47:56.180]  I'll grab this.
[47:58.700 --> 47:59.440]  Stop it.
[47:59.560 --> 47:59.800]  Stop it.
[47:59.800 --> 48:00.500]  Stop it.
[48:03.660 --> 48:04.140]  Fuck.
[48:08.000 --> 48:09.800]  That was terrifying, Gavin.
[48:10.040 --> 48:12.020]  They were just bouncing back at me.
[48:13.860 --> 48:18.160]  Fuck, I keep forgetting to arm it.
[48:18.280 --> 48:18.980]  I just throw it.
[48:20.120 --> 48:20.360]  No.
[48:22.400 --> 48:23.400]  How did I die?
[48:23.560 --> 48:25.440]  I shot a grenade at you.
[48:26.120 --> 48:26.600]  Nice.
[48:26.600 --> 48:28.900]  God damn, you're about to win now.
[48:33.950 --> 48:34.550]  Andrew.
[48:37.830 --> 48:39.470]  That was so bad.
[48:39.550 --> 48:40.290]  I threw it.
[48:40.470 --> 48:42.410]  The stick fight.
[48:49.570 --> 48:51.130]  Bring it on.
[48:53.870 --> 49:04.220]  What a move, Geoff.
[49:04.360 --> 49:05.340]  No, Geoff.
[49:06.080 --> 49:06.580]  Why?
[49:07.340 --> 49:09.400]  I thought it was going to tie.
[49:09.860 --> 49:11.220]  I was worried you were going to tie it.
[49:11.440 --> 49:12.620]  It was really close.
[49:15.660 --> 49:16.520]  Oh, shit.
[49:16.980 --> 49:17.200]  No.
[49:18.200 --> 49:18.700]  Damn.
[49:20.640 --> 49:21.520]  The beam.
[49:22.800 --> 49:24.180]  Just stay alive, Geoff.
[49:24.460 --> 49:25.900]  Hold on to those testes.
[49:26.240 --> 49:26.980]  Those balls.
[49:27.420 --> 49:29.360]  Just grab on to them.
[49:30.120 --> 49:31.160]  Give me this, whatever this is.
[49:31.160 --> 49:31.760]  What is this?
[49:32.480 --> 49:34.440]  One nut free.
[49:36.800 --> 49:37.180]  No.
[49:39.200 --> 49:40.780]  Cut the chain.
[49:41.440 --> 49:42.400]  Cut the chain.
[49:43.580 --> 49:45.020]  I'm so scared.
[49:45.960 --> 49:47.260]  I need a weapon.
[49:51.440 --> 49:53.420]  There's nothing sporting around me.
[49:53.560 --> 49:54.120]  Above yours.
[49:54.280 --> 49:54.560]  Give me this.
[49:54.560 --> 49:55.260]  Give me this.
[49:59.940 --> 50:00.820]  Oh, no.
[50:02.360 --> 50:03.920]  Gavin has the bomb.
[50:05.140 --> 50:06.560]  Okay, well, that really didn't...
[50:07.960 --> 50:10.100]  Oh, no. Geoff has his.
[50:10.360 --> 50:11.400]  Geoff, shoot the chain.
[50:11.840 --> 50:12.860]  Aim up for the chain.
[50:13.700 --> 50:14.860]  Get the chain shot.
[50:17.960 --> 50:18.400]  Yeah!
[50:24.560 --> 50:26.460]  Get it while swinging on my balls.
[50:28.320 --> 50:29.520]  It's dead even.
[50:31.500 --> 50:32.280]  Oops.
[50:34.220 --> 50:37.360]  After all that.
[50:38.180 --> 50:39.640]  After fucking all that.
[50:40.260 --> 50:41.020]  Congratulations.
[50:42.080 --> 50:42.480]  It's a drop.
[50:43.200 --> 50:44.740]  I held it down too long.
[50:51.640 --> 50:53.200]  Oh, no.
[50:53.200 --> 50:55.000]  No, no, no.
[50:55.000 --> 50:55.080]  No.
[50:58.810 --> 50:59.530]  No!
[51:03.430 --> 51:04.150]  Oh!
[51:05.650 --> 51:07.010]  It's another drop!
[51:08.110 --> 51:08.330]  Yes!
[51:11.590 --> 51:14.950]  I just need to stay alive after I murder everyone.
[51:15.130 --> 51:15.950]  Just need to live.
[51:16.870 --> 51:19.570]  Oh, no!
[51:20.430 --> 51:20.790]  Hold!
[51:22.650 --> 51:24.630]  Okay, I'm on the board again.
[51:24.630 --> 51:26.530]  As I said, one in every eight.
[51:27.630 --> 51:28.670]  Oh, not at all, but...
[51:30.110 --> 51:30.910]  Okay, that one.
[51:33.310 --> 51:34.170]  Oh, Andrew.
[51:35.730 --> 51:36.690]  Oh, Andrew.
[51:38.630 --> 51:40.430]  Oh, Gavin! Oh, it's a streak!
[51:40.630 --> 51:41.330]  It's a streak!
[51:43.130 --> 51:44.190]  It's the climb!
[51:46.670 --> 51:49.070]  I don't think I understood the gravity of that one.
[51:53.860 --> 51:54.500]  Oh!
[51:54.840 --> 51:55.240]  Geoff sucks.
[51:55.800 --> 51:59.100]  God, I am just fucking dog shit under pressure, man.
[51:59.420 --> 52:00.740]  Just like the old days.
[52:01.400 --> 52:02.040]  Andrew.
[52:04.920 --> 52:07.140]  No! God damn it!
[52:07.160 --> 52:08.140]  Good job, Gav.
[52:08.240 --> 52:09.780]  Good job, Gav.
[52:10.720 --> 52:11.040]  Congratulations.
[52:11.520 --> 52:13.020]  Three to two to nothing.
[52:13.460 --> 52:16.220]  Well, thank you so much for joining in.
[52:16.640 --> 52:18.140]  Closer. Oh, wow.
[52:18.140 --> 52:19.280]  Intense.
[52:20.220 --> 52:22.660]  This monstrosity of a stream.
[52:22.860 --> 52:23.320]  Thanks to everyone who stuck with us.
[52:24.000 --> 52:26.000]  We will be back at what time?
[52:26.100 --> 52:28.400]  9pm Central? 7pm Pacific?
[52:29.160 --> 52:29.820]  10pm Eastern?
[52:29.820 --> 52:31.000]  Four hours from now.
[52:31.460 --> 52:33.260]  Four hours from now.
[52:33.480 --> 52:35.120]  Set time up for four hours.
[52:35.300 --> 52:36.180]  Four hours.
[52:37.200 --> 52:38.480]  Let's wrap this up.
[52:39.160 --> 52:39.880]  Hey, it's 5.01.
[52:40.740 --> 52:42.360]  Hey! 5.01.
[52:43.000 --> 52:44.420]  You know, it's best time of the week.
[52:44.420 --> 52:45.860]  5.02 now. We missed it.
[52:46.120 --> 52:46.740]  We missed it.
[52:47.480 --> 52:50.620]  We will miss you later on Sloppy Joe's.
[52:50.860 --> 52:52.240]  Talk to y'all soon.
[52:53.000 --> 52:53.300]  Bye!
[52:54.440 --> 52:54.780]  Bye!
