[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[50:10.220 --> 50:14.880]  I should play this. I don't want to. I don't want to look at that. What's the what's the movie where
[50:14.880 --> 50:22.480]  the the Coraline? This is like Coraline. Oh, yeah. Not quite that bad. I hate it. It is a lot
[50:22.480 --> 50:29.960]  that they don't announce. I'm in and they must scream. JJ Quartz is here. Finally made a stream.
[50:29.960 --> 50:34.500]  Now we can get started with the party. Everybody take your dicks out. There we go. And finally,
[50:34.500 --> 50:41.680]  entry in the acclaimed Mafia franchise. Diddy Kong. Diddy Kong. Dexter. It is Dexter Griff with
[50:41.680 --> 50:49.740]  one F. Oh, no. You mean for that? No, that's not. Drunk gamers. Not actual gameplay, guys.
[50:57.670 --> 51:01.470]  Mafia. Mafia. The old country, right? I thought maybe it was NBA 2K.
[51:08.190 --> 51:11.430]  It's going to be great. We're at the end of this press conference. They reveal every
[51:11.430 --> 51:19.890]  character we've seen is in Sonic Racing. That's so awesome. Maybe not after this trailer.
[51:20.910 --> 51:25.010]  I think especially with this trailer. Yeah, they're right in the jalopy.
[51:32.270 --> 51:39.510]  It's pretty exciting that Mafia stuff became so sort of like prolific in the United States
[51:39.510 --> 51:44.870]  that we needed to do Mafia stuff in Italy, which is not like Mafia stuff in the United States at
[51:44.870 --> 51:48.090]  all. But we're like, it's going to be like the same. It's fine. You know what you're reminding
[51:48.090 --> 51:54.190]  me of? A little movie I like to call Equalizer 3. Is that right? Oh, yeah. It's all about the
[51:54.190 --> 52:04.090]  Italian mob in Italy. Oh, interesting. I love the ending to that movie. I really like it.
[52:04.490 --> 52:11.470]  It is a great ending. Oh, look, the tank tickler gave a hundred purple diamonds of some kind.
[52:11.930 --> 52:17.990]  Thank you. I just learned about these these little objects. Bits. And that they're money.
[52:18.150 --> 52:22.130]  Yeah, I found out on one of my streams yesterday and I've been ignoring them the entire time.
[52:22.890 --> 52:28.630]  That's pretty cool. Yeah, you're pretty good at this. I'm figuring it out. Thanks for sending me
[52:28.630 --> 52:32.930]  those shapes, guys. It's only been about a year. Thanks for all the shapes. Yeah.
[52:33.730 --> 52:39.090]  Well, I retroactively thanked everybody, so. Oh, OK. Well, that's I bet this is Lego. Crazy.
[52:40.310 --> 52:46.010]  Well, gave it away. I mean, Bernie and his kids used to play these fucking Lego games nonstop.
[52:46.450 --> 52:51.030]  Oh, really? Michael Jones, too. Michael Jones may be the biggest Lego game fan in the world. He was
[52:51.030 --> 52:56.270]  he's all about those. He'll pick one and just go for it. Yeah. Forever and ever and ever.
[52:57.890 --> 53:02.890]  It was like split fiction Lego style. Shadow Shadow Airplane forgave me on behalf of all
[53:02.890 --> 53:08.870]  of the audience. Oh, that's cool. Oh, wow. Oh, this is going to be a game that you hate, Eric.
[53:09.270 --> 53:18.350]  This is a lot of making for content. I'm OK with this. This is like this human fall flat.
[53:18.350 --> 53:23.910]  Yeah. The building. Oh, yeah. If it was more than two players, I think this would be like really
[53:23.910 --> 53:31.690]  crazy. The two players is probably the right amount of characters for this. Yeah. Get five
[53:31.690 --> 53:36.270]  on there, I think is a big mess. All right. So Gavin and Eric should play it, right?
[53:37.350 --> 53:39.590]  Maybe this can be your show. You guys keep working on it, right?
[53:40.350 --> 53:44.850]  Zombies Rock 991 said a duo Lego game. Oh, fuck. But I don't know how to read. Oh,
[53:44.850 --> 53:49.010]  fuck. Is he saying, oh, fuck. Like, oh, fuck. Or like, oh, fuck. Or like, oh,
[53:49.110 --> 53:58.920]  fuck, I'm coming. Probably the last time, I think. I think so. Yeah. Yeah. Voyager. Cool.
[54:00.500 --> 54:06.840]  Voyagers. Definitely the third one. OK, got it. Hello, Summer Game Fest.
[54:07.220 --> 54:11.200]  Hi, Carolyn Lawrence, voice actor for Sabrina Carpenter for a second.
[54:11.200 --> 54:16.860]  I've grown up with Nickelodeon, some with squirrel suits, thank you. Some with science
[54:16.860 --> 54:23.680]  smarts and some with serious attitude. Nickelodeon has always been about wild worlds and weirder
[54:23.680 --> 54:29.220]  characters. And while I'm mostly sworn to secrecy today. About to announce a Hey,
[54:29.260 --> 54:32.900]  Arnold Souls-like and revealing something that brings a lot of those characters.
[54:33.200 --> 54:38.380]  I'd play that. I would absolutely play that. I hope you enjoy the first look at Nicktoons
[54:38.380 --> 54:44.580]  and the Dice of Destiny. Yeehaw! Oh, she's the squirrel. I get it. Yeah, she's Sandy Cheeks.
[54:46.560 --> 54:50.540]  I didn't quite understand what was happening. It's like Gwen, but Nickelodeon. Yeah. Yeah,
[54:50.580 --> 55:00.890]  this is Gwen. I love Gwen. Is this Borderlands?
[55:05.030 --> 55:07.130]  Main villain is Dan Snyder.
[55:15.590 --> 55:17.390]  Oh, God, I hate it already. Oh, there's Gavin.
[55:19.650 --> 55:27.270]  This is kind of Tiny Tina's Wonderland, I feel. Yeah, big time. I could never bring myself to
[55:27.270 --> 55:33.890]  watch Spongebob. Oh, really? I didn't watch it. I didn't watch it at all. That was Millie's age,
[55:34.070 --> 55:40.550]  so I watched a lot of Spongebob through her. Yeah, very good. It made my nephews too
[55:42.550 --> 55:45.130]  hyperactive, so they stopped letting them watch it.
[55:56.770 --> 56:01.350]  This is one of the best mechanics in a video game is lifting up a fucking heavy door.
[56:01.930 --> 56:08.950]  One-handed fucking. It's like, no, no, no, all the way. We've seen a lot of balls hanging from
[56:08.950 --> 56:14.510]  things in this. It's the theme, Summer of Balls, baby. Is this that ball we saw earlier hung from
[56:14.510 --> 56:21.370]  the sky? Yeah. Oh, we've seen a lot of these things, too. I think you already showed this
[56:21.370 --> 56:29.210]  trailer. Yeah. No, this is a Pokemon, not Pokemon, Pinocchio. Pokemon? Dude, this is what Pokemon,
[56:29.570 --> 56:35.570]  I would play Pokemon. There's Wolverine. Or Vega. Did they say what this was? Did they say
[56:35.570 --> 56:45.390]  this was Lies of P? Lies of P DLC. OK. Oh, I never played Lies of P. Lies or lives? Lies. What are the
[56:45.390 --> 56:55.690]  lies? This is all lies. Those are his lies to tell you. It opens with based on a true story and then
[56:55.690 --> 57:05.210]  it ends with gotcha. Dude, you know what got me for the most of my life? Have you ever seen the
[57:05.210 --> 57:10.530]  Peter Weir movie Picnic at Hanging Rock? No. Oh, yeah. I talked about that not too long ago, I think.
[57:11.050 --> 57:14.250]  Like, you and I, I think, just talked about it. Oh, maybe. It's one of my favorite movies of all
[57:14.250 --> 57:18.910]  time, but it starts off based on a true story and then you find that it is not. And I spent most of
[57:18.910 --> 57:24.690]  my life thinking it was real. Yep. I've seen the same with Fargo. Like, not every part of it,
[57:24.750 --> 57:30.450]  but just like the base premise of... Yeah. Well, yeah, Fargo is not based on a true story. They
[57:30.450 --> 57:33.590]  put it at the beginning and I think Francis McDormand went, you can't do that. They said,
[57:33.590 --> 57:38.650]  why not? It's a movie. And it was like, oh, that's fucking awesome. They did that for the
[57:38.650 --> 57:42.850]  Texas Chainsaw Massacre remake. Yeah. I think we're going to get a kick out of this announcement too.
[57:45.640 --> 57:53.100]  Oh, help! Uh-oh. Dude, we are in sync with the keelmeister. Yeah, we're locked in.
[57:56.570 --> 58:00.690]  Don't cry, blood. Oh, her blood's running.
[58:00.690 --> 58:10.010]  Oh, this is going to be... Oh, I don't like... Did he sit in four of the chairs?
[58:13.530 --> 58:19.170]  This is like that game Gone Home. Yeah. Where you go home and everybody left you.
[58:22.150 --> 58:27.450]  I don't, I don't... Yeah. Yeah. I don't like this. Oh, I'm going to play this.
[58:28.670 --> 58:32.970]  This is like when you put on like, uh, you find like an ASMR video that's like, this mimics
[58:32.970 --> 58:38.370]  schizophrenia and you listen to it and go, no, no, no, no, no, no, no. I love horror games.
[58:38.690 --> 58:43.990]  This is schizophrenia. This has been a great summer game showcase for you, Nick,
[58:44.210 --> 58:50.130]  because everything has been gross. Well, horror versus body horror. Scary horror.
[58:52.830 --> 58:58.790]  Hmm. Fractured blooms. Crazy. Man, we are, we are scratching the bottom of the barrel
[58:58.790 --> 59:03.630]  on names for shit. Yeah, we are. No offense to them. Everything's been taken. Goddamn.
[59:06.310 --> 59:11.650]  So what's the true story part? Do you think of this? I'm excited to find out. She was a gardener.
[59:12.170 --> 59:18.630]  Yep. I too once cut up tomatoes. Mark the Frog says, I'm shocked that no one else in the chat
[59:18.630 --> 59:26.210]  is out fishing. I saw it also. I love this guy so goddamn much. I love it. He doesn't even
[59:26.210 --> 59:31.630]  understand how much we like him. He has no idea. It's the best. Sometimes he'll be in my chat and
[59:31.630 --> 59:37.450]  he'll send like, and it like a crazy looking like diatribe thing. And it's just about like,
[59:37.470 --> 59:42.010]  gods are falling and like, why do we suffer? Whatever. And I'm like, what is this? And he's
[59:42.010 --> 59:46.210]  like, oh, sorry, chat. Wrong chat window. That's for Warhammer. It's like, oh, okay, cool.
[59:47.830 --> 59:51.870]  That's for Warhammer. Yeah, it's awesome. It's the best. Blade Soul Neo. Yeah, there you go.
[59:51.990 --> 59:57.190]  It's that. It's that. The beast of metal endures longer than the flesh of men. Like,
[59:57.290 --> 01:00:02.850]  look at that shit. We'll be playing WWE 2K25 and he sends that and then he goes,
[01:00:02.970 --> 01:00:14.490]  oh, that's for Warhammer. Insane. A dog. This. Oh, this looks like a Dreamcast game.
[01:00:15.130 --> 01:00:20.870]  It looks like all the other games we saw already. I'm not trying to be negative, but holy shit.
[01:00:23.010 --> 01:00:26.630]  Can we get a different kind of game? That was turn-based. No,
[01:00:27.510 --> 01:00:30.310]  that was completely different. Oh no, the tigers!
[01:00:34.130 --> 01:00:36.770]  Oh, fire. Oh, cell.
[01:00:43.090 --> 01:00:47.450]  Or I'm, I'm asking this and I don't mean it as like an insult. I mean this like
[01:00:47.450 --> 01:00:49.750]  genuinely, are these all phone games?
[01:00:52.490 --> 01:00:57.510]  Like, does anyone know? I don't think any of them have been. No? Okay. Well,
[01:00:57.510 --> 01:01:02.270]  they all have a mobile vibe to them. Not all, but a lot of them. For sure.
[01:01:05.190 --> 01:01:12.150]  Oh, for God's sake. One Punch Man. Oh. What's he doing here? You're probably going to tell me
[01:01:12.150 --> 01:01:15.310]  that this trailer is different than the one we just watched where I was bitching.
[01:01:15.310 --> 01:01:21.890]  That's going to be Nixon. Yep. Oh, the boots. Red boots. Don't give me the rest of the outfit.
[01:01:21.990 --> 01:01:29.350]  I can't pull it off. Crystal of Atlan. That seems like the easiest game on earth to win.
[01:01:30.870 --> 01:01:34.270]  One Punch Man. Absolute nightmare as a punch-out character.
[01:01:35.510 --> 01:01:38.510]  Don't look out. There's a girl out here shooting at tigers. You guys need to be careful.
[01:01:41.710 --> 01:01:44.150]  I can't this be based on a true story.
[01:01:45.430 --> 01:01:51.910]  What? The 7 Deathly Sins origin. I think it's supposed to be, actually.
[01:01:56.010 --> 01:02:01.530]  Now we are one minute away from the normal bog standard best time of the week. I'm fishing. I'm
[01:02:01.530 --> 01:02:09.090]  in. I'll play it. It's Mark 2. Guys, get your 501s ready, but just know we're taking it to 601
[01:02:09.090 --> 01:02:13.950]  today because we're taking you all the way through the end of Summer Game Fest. Don't listen
[01:02:13.950 --> 01:02:19.730]  to the name. There have been more than one game. We've seen so many, including 7 Deadly Sins origin.
[01:02:20.570 --> 01:02:27.850]  Or we've seen one hour of the same game. Yeah. Oh, that's a pig demon kind of thing. That's cool.
[01:02:28.290 --> 01:02:34.590]  Camels. 7 Deadly Sins is a lot more colorful than I would have anticipated. Which sin do you think
[01:02:34.590 --> 01:02:42.470]  was? Wrath, maybe? Yeah. How about this one? Wrath. This one? A guy like me is only looking
[01:02:42.470 --> 01:02:44.510]  for pride, you know what I'm saying? Gluttony, you know what I mean?
[01:02:50.150 --> 01:02:55.310]  501, boys. 501! Best time of the week. A celebration, and you're celebrating with us
[01:02:55.310 --> 01:02:58.950]  on a Friday afternoon. Thank you so much. Somebody asked if we remember our 7 Deadly
[01:02:58.950 --> 01:03:01.770]  Fruit Sins. I forgot about this. Oh, yeah. We did do that.
[01:03:05.090 --> 01:03:11.550]  Witcher 4! Yep. Oh. Jesus, guys. Ah, it's Predator Killer Killers.
[01:03:16.760 --> 01:03:19.920]  It's an ad for another one of these. It's just cash. Yep.
[01:03:22.500 --> 01:03:28.800]  Human creator is now fully integrated into Unreal Engine. You're seeing me live in real time.
[01:03:29.040 --> 01:03:35.760]  Crazy. This quick game will be coming to UEFN. You're talking about the Fruit Sins? I have a
[01:03:36.920 --> 01:03:40.760]  WWE 2K25, a game that we played for a Let's Play, and we're like, oh, we should do this with more
[01:03:40.760 --> 01:03:46.280]  characters or whatever. I actually have someone who made a bunch of characters in the game,
[01:03:46.700 --> 01:03:50.180]  and I'm really excited to play with you guys again and put together a show.
[01:03:50.480 --> 01:03:55.460]  So jazzed to do that. Is it people on that list I gave you that time?
[01:03:55.500 --> 01:04:03.320]  Yes. Hell yes. But if anyone else out there wants to make some stuff, make it in 2K25,
[01:04:03.320 --> 01:04:07.800]  the next gen edition or whatever, and put the tag as regulation. But I want to thank
[01:04:10.640 --> 01:04:13.720]  Joseph DeCuglia. I think that's how you say his name. He did a really cool job.
[01:04:13.960 --> 01:04:16.480]  Oh, awesome. He's the one that made the shows. It's going to be awesome.
[01:04:16.840 --> 01:04:19.140]  Yeah, those were great. Yes. Yeah, yeah.
[01:04:19.200 --> 01:04:22.920]  So Joseph Julia Guglia. Okay, pretty cool.
[01:04:23.340 --> 01:04:28.580]  Well, if anyone else is doing that, just put it on the Xbox or whatever, like the next gen one
[01:04:28.580 --> 01:04:32.360]  and regulation. So is this Jurassic Park or is it just dinosaurs?
[01:04:32.920 --> 01:04:36.440]  It's Jurassic Park. Okay. Or world, I guess.
[01:04:37.380 --> 01:04:41.120]  I guess we have two park games. The evolution or whatever.
[01:04:41.320 --> 01:04:43.500]  Yeah. Yep.
[01:04:43.740 --> 01:04:44.960]  Yep. Evolution 3.
[01:04:45.360 --> 01:04:48.460]  I have the first one. Oh, that just makes me think of
[01:04:48.460 --> 01:04:51.700]  road craft the way they're building that. Do you play it on the hardest difficulty
[01:04:51.700 --> 01:04:54.140]  like Last of Us 2, Nick? No, I'm terrible.
[01:04:54.220 --> 01:04:56.500]  Is this like roller coaster tycoon, but it's dinosaurs?
[01:04:56.820 --> 01:04:57.580]  Yes. Yeah.
[01:04:57.660 --> 01:04:59.960]  Oh. That's fun.
[01:05:02.900 --> 01:05:06.040]  They want you to go ahead and pre-order it. They don't want you to put it on your wish list.
[01:05:07.760 --> 01:05:09.040]  They didn't get the memo, apparently.
[01:05:09.540 --> 01:05:11.480]  Hi, I'm Celia from Yacht Club Games.
[01:05:11.720 --> 01:05:12.420]  Hi, Celia.
[01:05:14.880 --> 01:05:18.940]  Ten years ago, we broke new ground with our first game, Shovel Knight.
[01:05:20.060 --> 01:05:20.580]  Oh, cool.
[01:05:21.580 --> 01:05:22.940]  Well, that's a game I never played.
[01:05:25.420 --> 01:05:27.420]  It's cool. If you like Game Boy and stuff, it's a fun game.
[01:05:27.880 --> 01:05:30.280]  They weren't snapping at each other, Pigeon Studios, Jim.
[01:05:30.280 --> 01:05:32.660]  It was playful puppy banter.
[01:05:33.680 --> 01:05:37.880]  It's a bone chilling adventure that they explore with their mouths, just like a bulldog.
[01:05:39.260 --> 01:05:41.280]  And precise platforming.
[01:05:41.540 --> 01:05:46.180]  As Mina, a whip wielding hollower, you'll burrow through danger and unravel
[01:05:46.180 --> 01:05:47.880]  the mysteries of a cursed island.
[01:05:48.840 --> 01:05:49.760]  A decade ago...
[01:05:49.760 --> 01:05:50.640]  Did she say island or Ireland?
[01:05:51.000 --> 01:05:52.520]  A cursed Ireland.
[01:05:52.780 --> 01:05:53.320]  Okay.
[01:05:54.460 --> 01:06:00.710]  I like the music.
[01:06:01.190 --> 01:06:02.110]  I like how it looks.
[01:06:02.710 --> 01:06:04.790]  Yeah, I told you, Geoff. If you like Game Boy, this is your shit.
[01:06:05.330 --> 01:06:08.370]  Do you think that they were originally called Bored Ape Yacht Club Games,
[01:06:08.430 --> 01:06:09.670]  and they cut the first part off?
[01:06:09.830 --> 01:06:10.730]  Yeah, they had to change it.
[01:06:11.050 --> 01:06:11.270]  Yeah.
[01:06:16.490 --> 01:06:17.270]  Yeah, this is...
[01:06:21.570 --> 01:06:24.310]  I'm happy that you guys are gonna play this, probably.
[01:06:25.490 --> 01:06:28.250]  This is a game where I don't think I will play, but I like looking at it.
[01:06:28.590 --> 01:06:28.910]  Me too.
[01:06:28.930 --> 01:06:29.610]  I like that this exists.
[01:06:30.250 --> 01:06:31.630]  I will definitely not play this game.
[01:06:32.410 --> 01:06:34.030]  It seems brutally hard.
[01:06:38.100 --> 01:06:38.580]  Oh.
[01:06:40.760 --> 01:06:41.240]  Cool.
[01:06:41.520 --> 01:06:41.680]  Mm-hmm.
[01:06:41.780 --> 01:06:42.460]  Eric, it's you.
[01:06:42.820 --> 01:06:43.440]  Mina the Hollower.
[01:06:45.540 --> 01:06:47.440]  Oh, somebody says that's a cuck game.
[01:06:47.840 --> 01:06:47.940]  Interesting.
[01:06:48.480 --> 01:06:48.720]  Cool.
[01:06:48.900 --> 01:06:50.400]  What a normal thing to say.
[01:06:51.060 --> 01:06:53.260]  What an insane way to live.
[01:06:53.300 --> 01:06:53.840]  What the hell?
[01:06:53.860 --> 01:06:54.840]  Yeah, that's a...
[01:06:54.840 --> 01:06:56.240]  Yeah, that's a cuck game.
[01:06:56.360 --> 01:06:58.600]  Understand how or why.
[01:06:58.820 --> 01:06:59.140]  Yep.
[01:07:00.600 --> 01:07:05.040]  Just like to hold that in your, like, in your brain.
[01:07:05.220 --> 01:07:05.660]  In your brain.
[01:07:05.820 --> 01:07:06.100]  Cuck game.
[01:07:06.100 --> 01:07:07.680]  What the fuck are you talking about?
[01:07:07.680 --> 01:07:08.340]  That was a cuck game.
[01:07:08.780 --> 01:07:09.020]  Hey, Geoffy.
[01:07:09.140 --> 01:07:10.400]  You're gonna watch somebody else play it.
[01:07:15.560 --> 01:07:16.820]  Oh, that's great.
[01:07:17.380 --> 01:07:20.500]  You're killing it at the fest with your oodles of totally natural charisma.
[01:07:21.520 --> 01:07:21.880]  Available.
[01:07:22.180 --> 01:07:24.840]  B, I'm at your house playing long darts with the fam.
[01:07:25.060 --> 01:07:30.240]  And three, you're gonna do me a solid and skip that silk song trailer
[01:07:30.240 --> 01:07:34.380]  so you can pay my revolutionary VR gaming venture that will shock the...
[01:07:34.380 --> 01:07:38.980]  I'm not bad about seeing my name and fucking big flashing lights everywhere.
[01:07:40.520 --> 01:07:42.200]  Oh, it's Deadpool.
[01:07:42.960 --> 01:07:43.840]  Oh, boy.
[01:07:47.880 --> 01:07:49.400]  I hope it's funny.
[01:07:50.640 --> 01:07:51.520]  Oh, cool.
[01:07:51.700 --> 01:07:53.360]  It's on the... it's MetaQuest.
[01:07:53.460 --> 01:07:54.420]  That means I'll never play it.
[01:08:01.480 --> 01:08:02.380]  Tell it to my heart.
[01:08:02.480 --> 01:08:02.840]  Great song.
[01:08:03.180 --> 01:08:03.560]  Taylor Dane.
[01:08:03.560 --> 01:08:04.280]  Yep.
[01:08:06.760 --> 01:08:07.240]  That's good.
[01:08:07.320 --> 01:08:09.500]  Hopefully, this brings the song back.
[01:08:09.640 --> 01:08:10.260]  I love this song.
[01:08:10.800 --> 01:08:11.360]  It is a good song.
[01:08:13.220 --> 01:08:14.380]  Maybe you and I could bring it back.
[01:08:14.880 --> 01:08:15.560]  I'm fine with that.
[01:08:15.620 --> 01:08:16.140]  I'd love to.
[01:08:16.680 --> 01:08:17.260]  What's it called again?
[01:08:17.420 --> 01:08:18.400]  I like the song a lot.
[01:08:18.520 --> 01:08:19.000]  Two of Hearts.
[01:08:19.940 --> 01:08:20.900]  This isn't Two of Hearts.
[01:08:21.240 --> 01:08:21.640]  No, no, no.
[01:08:21.640 --> 01:08:23.300]  Two of Hearts is the other song that I think of.
[01:08:23.560 --> 01:08:24.560]  Two of Hearts.
[01:08:24.680 --> 01:08:26.980]  Two hearts to be that as one.
[01:08:28.440 --> 01:08:30.900]  This is Tell it to my heart by Taylor Dane.
[01:08:30.940 --> 01:08:31.580]  Tell it to my heart.
[01:08:33.860 --> 01:08:35.360]  I can't believe it.
[01:08:35.400 --> 01:08:36.160]  Only one.
[01:08:36.660 --> 01:08:39.480]  Who's in love or just a game?
[01:08:40.120 --> 01:08:41.780]  Who got the lobotomy with fries?
[01:08:44.540 --> 01:08:45.220]  All your dreams...
[01:08:45.220 --> 01:08:46.240]  You ever played VR stuff?
[01:08:47.260 --> 01:08:47.400]  Yeah.
[01:08:48.560 --> 01:08:49.220]  He's played it for a while.
[01:08:49.360 --> 01:08:50.740]  I've played it, but...
[01:08:50.740 --> 01:08:51.540]  Is that Omega Red?
[01:08:52.120 --> 01:08:52.760]  I think so.
[01:08:53.000 --> 01:08:53.220]  Huh.
[01:08:53.560 --> 01:08:54.620]  Wasn't Omega Blue.
[01:08:54.880 --> 01:08:56.500]  I'm craving Korean barbecue now.
[01:08:56.900 --> 01:08:57.460]  Is that weird?
[01:08:58.560 --> 01:09:00.120]  I don't know who that was.
[01:09:00.940 --> 01:09:01.300]  I don't either.
[01:09:01.500 --> 01:09:02.140]  The Mega Green.
[01:09:05.940 --> 01:09:08.180]  With Neil Patrick Harris as Deadpool.
[01:09:08.400 --> 01:09:08.720]  All right.
[01:09:09.080 --> 01:09:09.920]  Next year at Gamescom...
[01:09:09.920 --> 01:09:11.740]  Neil Patrick Harris as Deadpool?
[01:09:12.620 --> 01:09:13.200]  What a choice.
[01:09:13.720 --> 01:09:13.900]  Is that what they said?
[01:09:14.340 --> 01:09:14.540]  Yeah.
[01:09:14.780 --> 01:09:15.000]  That's what he said.
[01:09:15.780 --> 01:09:16.740]  What the fuck?
[01:09:16.980 --> 01:09:17.280]  Crazy.
[01:09:17.380 --> 01:09:21.260]  Al Crane is back as the player character in this title that blends open world and action
[01:09:21.260 --> 01:09:22.140]  survival horror.
[01:09:22.520 --> 01:09:25.560]  Let's take a look at the latest trailer with some big news.
[01:09:25.560 --> 01:09:27.380]  Oh, this is good because Nick loves horror.
[01:09:28.120 --> 01:09:28.600]  Yeah.
[01:09:32.120 --> 01:09:33.460]  I don't know what it is.
[01:09:35.100 --> 01:09:35.960]  It's scary.
[01:09:36.320 --> 01:09:37.080]  Dead time.
[01:09:37.920 --> 01:09:38.580]  Oh, a zombie game.
[01:09:39.020 --> 01:09:39.340]  Oh.
[01:09:41.940 --> 01:09:43.420]  I do like zombie games.
[01:09:43.560 --> 01:09:45.020]  Oh, keep your eyes peeled for MILFs.
[01:09:45.180 --> 01:09:46.220]  This could be right up Nick's alley.
[01:09:47.240 --> 01:09:48.420]  He's a narcissistic sociopath.
[01:09:48.900 --> 01:09:51.520]  He's experimenting on humans like they're lab rats.
[01:09:57.120 --> 01:09:59.840]  God only knows what the Baron's planning to do with those monsters.
[01:09:59.840 --> 01:10:00.800]  Only knows.
[01:10:02.260 --> 01:10:03.920]  Is this like a Dying Light thing?
[01:10:04.960 --> 01:10:05.380]  Maybe?
[01:10:05.920 --> 01:10:06.760]  I never played that game.
[01:10:06.980 --> 01:10:08.260]  I didn't play that game much.
[01:10:08.400 --> 01:10:09.540]  I played the first one a little bit.
[01:10:13.670 --> 01:10:14.240]  Yeah, I think...
[01:10:16.210 --> 01:10:17.590]  I never played Dying Light.
[01:10:19.850 --> 01:10:24.270]  I think it was turned off from that style of gameplay after Dead Island.
[01:10:24.650 --> 01:10:27.710]  Dead Island and Dying Light are very similar gameplay if I remember correctly.
[01:10:27.830 --> 01:10:29.410]  And I wasn't jazzed about either.
[01:10:30.810 --> 01:10:33.370]  Too cumbersome and not as complicated and not fun.
[01:10:34.410 --> 01:10:34.770]  Right.
[01:10:35.230 --> 01:10:36.770]  Games should be fun when you play them.
[01:10:45.140 --> 01:10:47.000]  Maybe Days Gone will get a second game.
[01:10:47.920 --> 01:10:48.740]  You think so?
[01:10:49.140 --> 01:10:49.780]  Was that a good game?
[01:10:51.360 --> 01:10:52.280]  I liked it.
[01:10:52.380 --> 01:10:53.980]  This is where you ride around on a motorcycle, right?
[01:10:54.140 --> 01:10:54.420]  Yeah.
[01:10:55.260 --> 01:10:58.060]  It didn't do well at first, but I think it had like a pretty big...
[01:10:58.060 --> 01:11:01.620]  It had like some crazy late life where people are like really into it way too much.
[01:11:02.160 --> 01:11:04.560]  Did it just take a lot of people to get into it?
[01:11:04.600 --> 01:11:06.520]  Or did they patch it and improve it?
[01:11:07.120 --> 01:11:07.520]  Both.
[01:11:07.820 --> 01:11:09.280]  Yeah, they definitely both.
[01:11:09.520 --> 01:11:10.280]  I played it.
[01:11:10.420 --> 01:11:11.220]  I think it's like free.
[01:11:11.340 --> 01:11:11.780]  There you go.
[01:11:11.900 --> 01:11:12.120]  Dying Light.
[01:11:12.760 --> 01:11:16.240]  I think I played it on PlayStation because it was like a free game or whatever.
[01:11:16.480 --> 01:11:17.160]  And it's like...
[01:11:17.160 --> 01:11:17.940]  It's fun.
[01:11:18.420 --> 01:11:19.120]  It's very fun.
[01:11:19.820 --> 01:11:20.640]  The story's okay.
[01:11:20.980 --> 01:11:21.820]  But the story's not great.
[01:11:23.980 --> 01:11:25.340]  Dying Light the Beast.
[01:11:25.760 --> 01:11:27.160]  There was a season of Alone called that.
[01:11:27.300 --> 01:11:28.100]  Alone the Beast.
[01:11:28.440 --> 01:11:29.520]  Now we're ripping off TLC.
[01:11:30.580 --> 01:11:31.140]  Hell yeah.
[01:11:31.620 --> 01:11:32.540]  There's the big news.
[01:11:32.660 --> 01:11:35.640]  Dying Light the Beast is coming on August 22nd.
[01:11:35.880 --> 01:11:39.220]  I've decided to be the negative guy today, by the way.
[01:11:39.340 --> 01:11:39.500]  Okay.
[01:11:39.740 --> 01:11:40.080]  That's cool.
[01:11:40.660 --> 01:11:41.700]  I ain't got no problem with that, man.
[01:11:42.040 --> 01:11:44.560]  I mean, by and large, video games kind of suck.
[01:11:44.660 --> 01:11:45.460]  So I'm with you.
[01:11:47.900 --> 01:11:51.440]  Mixtape comes from Beethoven Dinosaur and Annapurna Interactive.
[01:11:51.900 --> 01:11:55.020]  And this is your exclusive new look at this game that plays like...
[01:11:55.020 --> 01:11:55.780]  I'm excited for this.
[01:11:56.100 --> 01:11:57.080]  ...to teenage memories.
[01:11:58.560 --> 01:12:00.020]  What are we doing?
[01:12:05.010 --> 01:12:06.050]  I'm getting buzzed.
[01:12:06.710 --> 01:12:08.290]  I've got to get out of this place.
[01:12:08.730 --> 01:12:10.270]  These games are all about style.
[01:12:11.090 --> 01:12:11.410]  Yeah.
[01:12:15.470 --> 01:12:17.210]  What are the games of these people, man?
[01:12:17.910 --> 01:12:19.350]  I'm blanking the name of it.
[01:12:19.410 --> 01:12:20.690]  It was a music game.
[01:12:21.750 --> 01:12:23.130]  Uh, where you like...
[01:12:23.130 --> 01:12:23.850]  Parappa the Rapper.
[01:12:24.310 --> 01:12:24.590]  Yes.
[01:12:24.750 --> 01:12:24.910]  Yeah.
[01:12:25.610 --> 01:12:25.830]  Yeah.
[01:12:28.610 --> 01:12:29.850]  This is their second game.
[01:12:31.190 --> 01:12:32.070]  Is it a music story?
[01:12:32.670 --> 01:12:33.530]  I don't remember.
[01:12:36.050 --> 01:12:41.350]  And this year, experience a retrospective like no other.
[01:12:42.230 --> 01:12:42.450]  Wait.
[01:12:42.690 --> 01:12:44.710]  Beethoven and Dinosaur invites you to...
[01:12:44.710 --> 01:12:46.270]  This is not a music story at all.
[01:12:47.730 --> 01:12:50.390]  I skateboard and hit baseballs...
[01:12:50.390 --> 01:12:51.570]  ...before school's out.
[01:12:51.830 --> 01:12:53.150]  ...and toilet paper houses.
[01:12:54.530 --> 01:12:55.050]  Yeah, I'm pretty...
[01:12:55.050 --> 01:12:55.690]  I like that it's all...
