[00:00.000 --> 00:01.140]  Let's set sail.
[27:43.420 --> 27:43.640]  Okay.
[27:44.240 --> 27:45.040]  Oh, shit, that left.
[27:45.180 --> 27:45.540]  Oh, fuck.
[27:45.680 --> 27:46.120]  Oh, treasure.
[27:46.300 --> 27:46.860]  God damn it.
[27:48.140 --> 27:48.780]  We'll have to keep straight.
[27:48.820 --> 27:50.160]  Oh, there's a fire up top?
[27:50.320 --> 27:51.280]  Yep, getting it, getting it.
[27:52.620 --> 27:54.020]  All right, I've hatched a hole in the bottom.
[27:55.300 --> 27:55.860]  Good job, Nick.
[27:55.920 --> 27:56.480]  How's the fire?
[27:57.720 --> 27:58.280]  Fire's good.
[27:58.780 --> 27:59.180]  Okay.
[28:02.050 --> 28:02.450]  Okay.
[28:04.110 --> 28:07.630]  Okay, I think the sound of breaking means bad.
[28:08.170 --> 28:08.570]  Yeah.
[28:09.190 --> 28:10.370]  We got hit pretty hard, but we're doing fine.
[28:10.370 --> 28:11.870]  This ship is fucking us up.
[28:11.870 --> 28:12.410]  Got him.
[28:12.530 --> 28:13.310]  Having trouble hitting.
[28:13.310 --> 28:14.470]  I got him, I got him.
[28:15.190 --> 28:16.070]  Yep, just keep shooting.
[28:16.330 --> 28:16.750]  Nice shot.
[28:16.750 --> 28:18.050]  God, he's gone, he's gone.
[28:18.170 --> 28:18.990]  Ow, I got hit.
[28:19.850 --> 28:20.810]  You got treasure anywhere?
[28:21.030 --> 28:21.430]  No.
[28:21.930 --> 28:22.210]  Fire again.
[28:22.330 --> 28:23.330]  If you're hurt, be sure to eat.
[28:24.410 --> 28:24.970]  Oh, thank you.
[28:25.350 --> 28:25.730]  Yeah, yeah.
[28:27.190 --> 28:27.790]  Where's the fire?
[28:27.870 --> 28:29.510]  All right, if you got fire, I got water.
[28:29.510 --> 28:30.270]  You got it?
[28:30.510 --> 28:31.670]  Are these barrels?
[28:32.070 --> 28:32.290]  Yeah.
[28:35.610 --> 28:36.490]  Somebody, somebody...
[28:36.490 --> 28:36.950]  Oh, shit.
[28:37.370 --> 28:38.270]  Somebody's got a fucking egg.
[28:38.950 --> 28:39.850]  They're gonna be on this right?
[28:40.890 --> 28:41.970]  Hey, get back up to the wheel.
[28:44.850 --> 28:45.470]  Missed him.
[28:47.470 --> 28:48.290]  Come on.
[28:49.350 --> 28:50.130]  No water, no water.
[28:50.430 --> 28:51.410]  Oh, what a shot!
[28:51.750 --> 28:52.790]  What a shot!
[28:54.070 --> 28:54.510]  Unreal!
[28:55.810 --> 28:56.590]  Okay, pulling it right.
[28:58.890 --> 28:59.170]  Patch.
[28:59.810 --> 29:00.290]  Oh, shit.
[29:00.510 --> 29:01.030]  Got treasure up ahead.
[29:01.690 --> 29:02.350]  Hopping for it.
[29:02.550 --> 29:03.050]  Left or right?
[29:03.190 --> 29:03.430]  Left or right?
[29:03.670 --> 29:04.370]  Left, left, left.
[29:04.490 --> 29:05.110]  Get it, get it, get it, get it.
[29:05.110 --> 29:05.350]  Got it.
[29:05.390 --> 29:05.930]  Hit it, hit it.
[29:05.970 --> 29:06.730]  Hell yeah!
[29:07.070 --> 29:07.570]  He's gone.
[29:07.770 --> 29:08.490]  Fucked him up.
[29:08.510 --> 29:09.430]  Yeah, kill him, kill him.
[29:10.530 --> 29:11.370]  Come on, come on, come on.
[29:11.990 --> 29:12.490]  Come on.
[29:13.810 --> 29:16.110]  I'm tilting you back left, Eric, so it'll come back around in a moment.
[29:16.150 --> 29:16.330]  All right.
[29:19.830 --> 29:20.110]  Okay.
[29:21.430 --> 29:24.230]  Is there a point where we've beaten this?
[29:24.290 --> 29:24.790]  Or do you just...
[29:24.790 --> 29:25.150]  Yes.
[29:25.150 --> 29:25.630]  Okay.
[29:25.810 --> 29:26.770]  Oh, shit.
[29:26.970 --> 29:29.050]  Nick, it's not looking so good down there.
[29:29.110 --> 29:29.290]  Nope.
[29:29.950 --> 29:30.950]  Just patching other holes.
[29:31.630 --> 29:32.850]  I'm gonna help...
[29:32.850 --> 29:33.890]  I got it.
[29:34.050 --> 29:34.790]  All water.
[29:36.030 --> 29:39.350]  Eric, if you wanna keep a lookout on that harpoon for the treasure coming up on the left,
[29:39.510 --> 29:40.250]  that'd be awesome.
[29:40.510 --> 29:41.470]  All right, that should be enough water.
[29:41.470 --> 29:43.270]  We have a boat heading straight for us.
[29:44.630 --> 29:45.330]  I'm gonna patch it.
[29:45.470 --> 29:45.910]  Left or right?
[29:46.390 --> 29:46.990]  Where should I be?
[29:47.090 --> 29:50.110]  He's gonna be on the right quickly.
[29:50.470 --> 29:50.810]  On the right.
[29:50.950 --> 29:51.390]  I'm on the right.
[29:51.530 --> 29:51.870]  I got it.
[29:51.990 --> 29:52.150]  Okay.
[29:53.090 --> 29:53.730]  We'll be around.
[29:53.810 --> 29:54.730]  All right, I'll be with you.
[29:54.990 --> 29:55.210]  Just a second.
[29:55.550 --> 29:56.370]  All right, we're patched.
[29:56.390 --> 29:56.430]  Here he comes.
[29:56.990 --> 29:57.430]  Oh, no.
[29:57.670 --> 29:58.070]  Got him.
[29:59.150 --> 29:59.670]  One, two.
[29:59.790 --> 30:00.030]  Come on.
[30:00.090 --> 30:00.370]  Keep...
[30:00.370 --> 30:01.270]  Load up, load up, load up.
[30:01.290 --> 30:02.250]  One more, one more, one more.
[30:02.790 --> 30:03.190]  Got him.
[30:04.750 --> 30:05.290]  There we go.
[30:05.430 --> 30:05.830]  Good work.
[30:05.950 --> 30:06.230]  Okay.
[30:06.730 --> 30:07.790]  All right, I'm off him.
[30:08.530 --> 30:09.690]  Okay, keep an eye out for treasure.
[30:09.870 --> 30:10.910]  Looks like there's one coming right up on us.
[30:10.910 --> 30:11.390]  Oh, there you go.
[30:11.470 --> 30:11.970]  Yeah, I see it.
[30:12.070 --> 30:13.270]  Yeah, you keep doing what you're doing.
[30:18.980 --> 30:19.460]  Good shot.
[30:20.240 --> 30:20.800]  Thank you.
[30:21.040 --> 30:21.540]  All right, all right.
[30:21.620 --> 30:22.240]  Let's see into him.
[30:22.280 --> 30:22.360]  Nice.
[30:22.360 --> 30:22.700]  There we go.
[30:22.700 --> 30:23.000]  There we go.
[30:23.000 --> 30:23.660]  Good work, boys.
[30:25.060 --> 30:26.120]  Tons of treasure here.
[30:26.160 --> 30:26.720]  This is great.
[30:27.400 --> 30:27.760]  Okay.
[30:27.820 --> 30:28.520]  We're doing okay.
[30:28.720 --> 30:29.380]  We're doing okay.
[30:30.200 --> 30:31.280]  Don't forget to heal.
[30:32.040 --> 30:33.080]  Looking good down there.
[30:33.120 --> 30:33.640]  We're looking good.
[30:33.740 --> 30:34.520]  All the ships are gone.
[30:34.600 --> 30:35.260]  All the ships are gone.
[30:35.340 --> 30:36.360]  So now's the time for repairs.
[30:36.560 --> 30:36.720]  Yep.
[30:37.520 --> 30:39.160]  Repairs and also treasure pickup.
[30:39.680 --> 30:39.900]  Yep.
[30:40.340 --> 30:41.320]  I'll keep an eye out for treasure.
[30:41.440 --> 30:42.960]  I'm looking to see if there's any treasure.
[30:43.760 --> 30:44.640]  Load, load, load.
[30:44.640 --> 30:45.720]  I think we're all repaired.
[30:46.000 --> 30:46.380]  Load, load, load.
[30:46.540 --> 30:47.540]  Load, load, load.
[30:47.560 --> 30:49.260]  I don't see any here.
[30:49.280 --> 30:49.840]  It's to the right.
[30:51.800 --> 30:52.160]  To the right.
[30:52.160 --> 30:53.120]  Oh, I do see it to the right.
[30:54.260 --> 30:54.880]  Boat's coming.
[30:55.280 --> 30:55.800]  Oh, shit.
[30:56.140 --> 30:56.600]  Oh, no.
[30:56.800 --> 30:57.260]  Why does it sound so...
[30:57.260 --> 30:57.820]  What are these?
[30:57.940 --> 30:58.440]  Oh, no.
[30:58.540 --> 30:59.260]  It's the bad guy.
[30:59.400 --> 31:00.100]  It's the big boys.
[31:00.500 --> 31:01.880]  I think it's the main guys.
[31:02.380 --> 31:02.980]  So this is it.
[31:03.220 --> 31:04.520]  We're going to need to spin left or something.
[31:05.280 --> 31:06.340]  Yeah, we're spinning right.
[31:06.520 --> 31:06.840]  Sorry.
[31:07.980 --> 31:09.180]  We're just going to pick up this treasure.
[31:09.800 --> 31:10.240]  Get ready.
[31:10.360 --> 31:11.760]  They're going to unload on us in a moment.
[31:11.880 --> 31:12.020]  All right.
[31:12.020 --> 31:13.040]  I'm taking this down with me.
[31:13.280 --> 31:14.920]  Which fucking side do I need to be on?
[31:15.140 --> 31:15.680]  This side.
[31:15.740 --> 31:16.060]  This side.
[31:16.100 --> 31:16.840]  Side with me.
[31:17.040 --> 31:18.180]  Oh, fuck me.
[31:18.180 --> 31:18.540]  Can we hit?
[31:18.640 --> 31:19.320]  Can I straighten it out?
[31:19.720 --> 31:20.880]  Oh, we're hit.
[31:21.160 --> 31:23.060]  Dude, they're all just directly behind us.
[31:23.120 --> 31:24.060]  Nick, you're going to be so busy.
[31:24.060 --> 31:24.500]  I'm already busy, baby.
[31:24.520 --> 31:24.880]  Sorry, dude.
[31:26.020 --> 31:26.940]  I still can't get them.
[31:27.000 --> 31:27.620]  There's treasure up ahead.
[31:27.680 --> 31:28.400]  Still can't get them.
[31:28.480 --> 31:28.740]  Oh, fuck.
[31:28.860 --> 31:28.980]  They spot us.
[31:28.980 --> 31:29.100]  Oh, no.
[31:29.100 --> 31:29.860]  You're turning the wrong...
[31:29.860 --> 31:30.320]  Oh, no.
[31:30.400 --> 31:31.280]  The turn was bad.
[31:31.460 --> 31:31.720]  They spot us.
[31:32.760 --> 31:33.100]  All right.
[31:33.120 --> 31:34.840]  I'm going for the other guy on the other side.
[31:34.880 --> 31:35.500]  I hit him.
[31:37.000 --> 31:37.540]  Oh, no.
[31:37.840 --> 31:38.540]  Oh, fuck.
[31:39.840 --> 31:40.080]  Okay.
[31:40.200 --> 31:40.660]  I think I...
[31:40.660 --> 31:40.940]  I'm on fire.
[31:41.100 --> 31:41.940]  Nick, how's it going down there?
[31:42.000 --> 31:42.120]  Good.
[31:42.880 --> 31:44.480]  We got fire up here on the ship.
[31:44.480 --> 31:44.900]  Oh.
[31:45.060 --> 31:45.820]  I'm on fire.
[31:46.300 --> 31:46.920]  Oh, shit.
[31:47.480 --> 31:48.420]  How do I become...
[31:48.420 --> 31:49.640]  If you blow your barrel...
[31:49.640 --> 31:52.120]  Your bucket with water and hit left trigger...
[31:52.120 --> 31:52.280]  You got it.
[31:52.280 --> 31:53.780]  You'll throw it on yourself.
[31:56.880 --> 31:57.360]  All right.
[31:57.400 --> 31:58.700]  I'm just...
[32:01.280 --> 32:03.680]  Fucking taking these bitches to town.
[32:03.680 --> 32:04.860]  Dude, this is crazy.
[32:04.860 --> 32:05.500]  You're on the fire.
[32:07.260 --> 32:08.680]  Oh, okay.
[32:08.700 --> 32:09.000]  I got him.
[32:09.120 --> 32:09.520]  Touched him.
[32:09.620 --> 32:09.840]  Fuck.
[32:10.000 --> 32:10.360]  Come on.
[32:11.400 --> 32:13.280]  God, they're all just directly behind us.
[32:13.280 --> 32:13.960]  Coming up on the left.
[32:14.040 --> 32:14.720]  Coming up on the left.
[32:15.260 --> 32:16.060]  Coming up on the left.
[32:16.180 --> 32:16.560]  Hard left.
[32:16.680 --> 32:17.020]  Hard left.
[32:19.600 --> 32:20.180]  Hold shit.
[32:20.320 --> 32:22.180]  They're just hugging us from all sides.
[32:23.960 --> 32:25.180]  A ghost passed through us.
[32:25.600 --> 32:25.880]  Damn it.
[32:26.300 --> 32:27.640]  Couldn't get it loaded fast enough.
[32:28.420 --> 32:28.740]  Is that guy?
[32:28.920 --> 32:29.100]  All right.
[32:29.160 --> 32:29.580]  Get this guy.
[32:32.640 --> 32:33.100]  All right.
[32:33.200 --> 32:34.080]  We're holding in the basement.
[32:34.180 --> 32:34.520]  Nick, just call out if you need help.
[32:37.700 --> 32:38.180]  All right.
[32:38.280 --> 32:38.620]  All right.
[32:38.740 --> 32:39.760]  He's gone.
[32:40.060 --> 32:40.400]  Got him.
[32:41.460 --> 32:42.120]  I'm out of...
[32:42.120 --> 32:43.400]  I'm out of...
[32:43.400 --> 32:44.280]  Fuck, me too.
[32:45.220 --> 32:45.820]  All right.
[32:48.320 --> 32:49.200]  We got...
[32:49.200 --> 32:49.620]  Okay, killed one.
[32:49.620 --> 32:51.300]  Everything's on fire up at the top at the treasure.
[32:51.520 --> 32:52.000]  Got it.
[32:54.540 --> 32:54.980]  God.
[32:55.400 --> 32:55.880]  Hit him.
[32:56.360 --> 32:56.840]  Hell yeah.
[32:57.240 --> 32:57.520]  Oh.
[32:58.540 --> 32:59.680]  Great work, everyone.
[33:01.280 --> 33:02.460]  Okay, refilling the water barrel.
[33:02.600 --> 33:02.820]  Okay.
[33:03.100 --> 33:03.640]  I'm on fire.
[33:03.900 --> 33:04.500]  And you are too.
[33:05.640 --> 33:06.180]  All right.
[33:06.260 --> 33:07.040]  I'm gonna...
[33:07.040 --> 33:07.880]  I'm gonna waste the ammo.
[33:08.200 --> 33:09.100]  No, no, just wait.
[33:09.360 --> 33:10.440]  Okay, fire's starting to spread.
[33:10.840 --> 33:12.020]  Refill your ammo if you can.
[33:12.020 --> 33:13.360]  I'm gonna prioritize on fire for a moment.
[33:15.700 --> 33:16.820]  Oh, where is...
[33:16.820 --> 33:17.900]  There's water down here to scoop?
[33:18.540 --> 33:19.440]  I assume there's plenty.
[33:19.560 --> 33:20.180]  Yeah, it's in the bucket to the left.
[33:20.540 --> 33:20.680]  Okay.
[33:20.840 --> 33:21.740]  You gotta refill it, Nick.
[33:21.760 --> 33:22.280]  How do you do that?
[33:22.820 --> 33:23.200]  There you do it.
[33:23.220 --> 33:24.700]  Just right trigger when you're holding the lever.
[33:24.700 --> 33:24.960]  Oh, okay.
[33:26.040 --> 33:27.020]  Oh, right trigger.
[33:27.260 --> 33:27.920]  My bad.
[33:30.460 --> 33:30.980]  Right trigger.
[33:31.020 --> 33:31.160]  Got it.
[33:31.320 --> 33:31.600]  Yeah.
[33:33.380 --> 33:34.120]  Oh, I'm down.
[33:35.580 --> 33:36.580]  Okay, revive Nick.
[33:39.040 --> 33:39.680]  I'm on it.
[33:41.700 --> 33:42.720]  Sorry, it was on fire.
[33:43.460 --> 33:44.000]  That's okay.
[33:44.040 --> 33:46.080]  We just need everybody on fire duty for a moment.
[33:46.480 --> 33:46.780]  Yeah.
[33:49.640 --> 33:50.280]  We have...
[33:51.100 --> 33:54.260]  We have a leak in our boat now, so that makes the fire a lot easier to deal with.
[33:54.520 --> 33:54.820]  Got it.
[33:55.940 --> 33:57.200]  They're coming up on the left again.
[33:57.380 --> 33:57.880]  They're coming up.
[33:58.260 --> 33:58.580]  Geoff.
[33:58.880 --> 33:59.420]  Okay, I'm coming.
[33:59.540 --> 33:59.700]  I'm coming.
[33:59.800 --> 34:00.640]  Sorry, I was helping with the fire.
[34:01.880 --> 34:02.480]  Left, you said?
[34:03.120 --> 34:03.440]  Yeah.
[34:04.880 --> 34:05.340]  Come on.
[34:05.340 --> 34:06.060]  Fuck, it's not loaded.
[34:07.040 --> 34:07.360]  Cannibals.
[34:08.240 --> 34:08.880]  Oh, shit.
[34:08.880 --> 34:09.640]  It's loaded.
[34:11.200 --> 34:12.520]  This was not loaded either.
[34:12.640 --> 34:13.060]  God damn.
[34:16.940 --> 34:18.560]  Alright, he's done.
[34:19.420 --> 34:20.980]  I'm hitting the heavy one.
[34:23.180 --> 34:24.320]  Okay, I think...
[34:24.320 --> 34:25.160]  Oh, shit.
[34:26.000 --> 34:26.840]  God damn it.
[34:28.640 --> 34:29.740]  Oh, fuck.
[34:31.440 --> 34:32.540]  Nick, we're gonna need some...
[34:32.540 --> 34:33.480]  Yeah, yeah, yeah, yeah, yeah.
[34:34.100 --> 34:35.860]  We need some extreme repairs.
[34:38.300 --> 34:39.600]  You guys are on fire.
[34:39.780 --> 34:41.760]  Yeah, how do I use the bucket on myself?
[34:41.960 --> 34:42.240]  Left trigger.
[34:42.420 --> 34:43.060]  Hold left trigger.
[34:43.340 --> 34:43.640]  I'm down.
[34:43.820 --> 34:44.080]  Left trigger.
[34:44.260 --> 34:44.600]  I'm down.
[34:46.780 --> 34:47.980]  Okay, getting Eric.
[34:48.240 --> 34:48.720]  Thank you.
[34:49.280 --> 34:50.660]  Okay, I think...
[34:50.660 --> 34:51.380]  We got a scoop.
[34:51.460 --> 34:52.200]  We got a bucket, guys.
[34:52.560 --> 34:53.020]  Yeah, I hear you.
[34:53.640 --> 34:56.320]  I think I've got all the holes done, though.
[34:56.640 --> 34:57.420]  Oh, nope, there's one more.
[34:57.500 --> 34:57.600]  Okay, good job.
[34:58.220 --> 34:58.580]  One more.
[35:00.180 --> 35:01.500]  A lot of fire upstairs.
[35:02.040 --> 35:03.280]  A lot of water downstairs.
[35:03.700 --> 35:04.420]  Refilling water.
[35:04.620 --> 35:05.760]  Well, good news is one can be used for the other.
[35:06.160 --> 35:06.800]  Don't use...
[35:06.800 --> 35:08.080]  Don't need to use the water bucket right now.
[35:08.120 --> 35:09.040]  You can use the bottom floor.
[35:12.760 --> 35:14.480]  Fuck me, this fire sucks.
[35:14.760 --> 35:15.480]  It really does.
[35:18.060 --> 35:19.380]  Alright, thank you for getting that emptied.
[35:19.600 --> 35:20.920]  Who knew fire spreads?
[35:21.120 --> 35:21.560]  Good lord.
[35:22.420 --> 35:23.180]  No one told me.
[35:23.960 --> 35:25.560]  Alright, the guy's way over there.
[35:26.180 --> 35:26.400]  Yeah.
[35:26.720 --> 35:28.120]  Oh, wow, we're really close to land, huh?
[35:29.180 --> 35:29.540]  Yeah.
[35:30.500 --> 35:32.260]  If I hit that bitch, that'd be so cool.
[35:32.400 --> 35:32.760]  I did not.
[35:32.860 --> 35:33.400]  I was close, though.
[35:35.760 --> 35:36.440]  I'm down again.
[35:36.560 --> 35:37.920]  I hit left bumper.
[35:38.280 --> 35:40.120]  I don't know what I was supposed to do.
[35:40.280 --> 35:40.860]  I had water.
[35:41.180 --> 35:42.240]  Oh, left trigger.
[35:43.180 --> 35:43.580]  Okay.
[35:43.960 --> 35:45.800]  There's still water in the bottom of the boat, guys.
[35:46.120 --> 35:46.760]  Just FYI.
[35:46.900 --> 35:47.960]  And the guy's coming up on the right.
[35:49.080 --> 35:50.220]  There's water in the bottom still?
[35:50.440 --> 35:51.160]  I'm firing on him.
[35:51.820 --> 35:52.340]  Okay, I'm coming.
[35:53.840 --> 35:54.760]  Oh, you're on fire.
[35:56.580 --> 35:57.520]  I'm not loaded.
[36:02.180 --> 36:03.280]  Can't get him anymore.
[36:03.440 --> 36:04.000]  Don't forget to eat.
[36:04.280 --> 36:04.680]  Shit.
[36:05.420 --> 36:07.980]  Yeah, make sure you eat and then...
[36:07.980 --> 36:08.480]  I got this fire.
[36:10.520 --> 36:13.160]  Okay, I got a repair happening on the hull.
[36:13.880 --> 36:14.980]  Sounds like another one.
[36:15.760 --> 36:16.860]  Oh, guy's coming up on the left.
[36:17.540 --> 36:18.080]  Oh, shit.
[36:18.520 --> 36:18.980]  He hit me.
[36:19.340 --> 36:20.800]  Coming right up hard on the left.
[36:21.180 --> 36:21.720]  Yeah, I see it.
[36:22.620 --> 36:23.480]  I'm not going to be able to get to him.
[36:23.480 --> 36:24.760]  I don't know if we're going to be able to get the angle.
[36:25.920 --> 36:26.640]  Keeps coming around.
[36:26.800 --> 36:27.040]  We can.
[36:27.220 --> 36:27.640]  Alright, we're...
[36:27.640 --> 36:28.060]  Got that one.
[36:29.380 --> 36:29.740]  There.
[36:31.820 --> 36:32.820]  Got that one.
[36:34.700 --> 36:35.500]  Okay, I think...
[36:35.500 --> 36:37.460]  Just a moment without fire would be so nice.
[36:37.460 --> 36:39.100]  That should be it for him.
[36:39.680 --> 36:40.740]  Come on, troll.
[36:41.880 --> 36:43.140]  That guy takes a lot of health.
[36:43.320 --> 36:43.920]  A lot of hits.
[36:44.060 --> 36:44.400]  Yeah, he's...
[36:44.400 --> 36:44.960]  There's fire somewhere.
[36:45.100 --> 36:45.260]  He's heavy.
[36:45.740 --> 36:46.580]  He's the boss, man.
[36:49.620 --> 36:50.420]  Did we just get him?
[36:50.560 --> 36:51.120]  We just got him.
[36:51.540 --> 36:52.020]  Fuck yeah.
[36:52.180 --> 36:52.420]  Nice.
[36:52.560 --> 36:52.740]  Okay, cool.
[36:57.800 --> 36:58.240]  Look at that.
[36:58.760 --> 36:59.820]  Treasure to the right.
[37:01.280 --> 37:02.800]  I'm working to put on this fire.
[37:03.260 --> 37:03.520]  Yep.
[37:04.060 --> 37:04.680]  Ah, I'm on fire.
[37:04.880 --> 37:05.580]  Ah, I'm on fire.
[37:05.980 --> 37:06.000]  I'm on fire.
[37:07.100 --> 37:08.120]  I'm about to go down again.
[37:09.560 --> 37:10.540]  Oh no, I'm going to go down.
[37:10.660 --> 37:11.040]  Thank you.
[37:11.120 --> 37:11.420]  I'm down.
[37:12.020 --> 37:12.360]  I'm down.
[37:13.340 --> 37:14.060]  Okay, revivings.
[37:18.630 --> 37:19.310]  Eric's back.
[37:21.790 --> 37:22.630]  Chef, getting you.
[37:23.170 --> 37:23.470]  Thank you.
[37:24.570 --> 37:25.290]  Eating food.
[37:25.630 --> 37:25.890]  Eating food.
[37:25.890 --> 37:26.650]  Still have fire burning.
[37:27.810 --> 37:28.070]  Where?
[37:28.270 --> 37:28.590]  Upstairs?
[37:29.510 --> 37:29.870]  Yes.
[37:29.950 --> 37:30.470]  Oh, oh yeah.
[37:30.670 --> 37:31.610]  Never put the fire out.
[37:31.850 --> 37:33.750]  No, I've been trying to put the fire out.
[37:33.810 --> 37:34.170]  So have I.
[37:34.210 --> 37:36.230]  I've been working on it for like five minutes.
[37:36.250 --> 37:36.830]  Alright, I think I got that.
[37:37.610 --> 37:38.590]  It's on top now.
[37:40.690 --> 37:41.910]  Okay, there's one more piece.
[37:42.350 --> 37:45.190]  I was trying to throw my water barrel and somebody walked right in front of me.
[37:45.210 --> 37:45.630]  I hate it.
[37:49.630 --> 37:51.550]  Got it, got it, got it.
[37:52.950 --> 37:53.510]  Fire's out.
[37:54.950 --> 37:55.310]  Okay.
[37:56.070 --> 37:56.630]  The treasure?
[37:57.570 --> 37:59.990]  Yeah, we passed him turning around for us to look at.
[38:00.010 --> 38:01.670]  Where the hell is this water coming from in the fucking basement?
[38:01.670 --> 38:04.390]  Nick, if you could start repairing again, that'd be awesome.
[38:04.590 --> 38:05.690]  Yeah, second level repairs?
[38:06.690 --> 38:07.050]  Yes.
[38:07.130 --> 38:07.290]  Okay.
[38:07.790 --> 38:08.730]  Where's the wood?
[38:08.730 --> 38:10.630]  So there's a wood barrel.
[38:10.970 --> 38:14.350]  Supply, go to the supply crate by the anchor and get wood from there.
[38:14.390 --> 38:15.090]  Yeah, got it.
[38:17.170 --> 38:18.190]  Oh my god.
[38:20.710 --> 38:21.950]  That was insane.
[38:23.510 --> 38:24.230]  Goodness gracious.
[38:24.690 --> 38:25.410]  Are there no more holes?
[38:25.650 --> 38:26.010]  You're almost lined up.
[38:26.170 --> 38:27.530]  No, there's a lot of holes on the second floor here.
[38:28.190 --> 38:28.770]  Oh, got it.
[38:30.910 --> 38:33.190]  I'm not really sure how to refer to it in the shit, but whatever.
[38:34.710 --> 38:35.850]  Second level, that makes sense.
[38:35.970 --> 38:36.830]  Not the bottom, middle.
[38:38.190 --> 38:38.830]  Okay, straight.
[38:41.070 --> 38:43.810]  Me and Nick are repairing all these holes. You guys just do...
[38:43.810 --> 38:44.910]  Yeah, I'm getting loot.
[38:45.230 --> 38:45.810]  Yeah, exactly.
[38:45.990 --> 38:46.490]  I'm helping repair.
[38:49.550 --> 38:51.970]  Andrew, do you need a hand with the treasure or anything up there? You got it.
[38:53.230 --> 38:53.990]  I think I'm good.
[38:54.150 --> 38:54.670]  I can come help.
[38:55.270 --> 38:56.610]  Looks like we got a ghost ship on the way.
[38:56.710 --> 38:58.610]  Can you tilt the boat a little bit to the left, Geoff?
[38:59.250 --> 39:01.750]  Uh, yeah. Is that a ghost ship in front of us? Is that a problem?
[39:02.150 --> 39:02.290]  Yeah.
[39:02.610 --> 39:03.990]  I think we got all the holes.
[39:03.990 --> 39:07.910]  Oh, shit. There's definitely water in the basement, though, Eric. We gotta scoop this quick.
[39:09.150 --> 39:09.990]  Uh, okay.
[39:10.710 --> 39:12.270]  I'm gonna come help with the water.
[39:12.310 --> 39:12.490]  Thank you.
[39:13.010 --> 39:13.290]  Yeah.
[39:14.630 --> 39:15.510]  I'm gonna go patch the holes.
[39:15.510 --> 39:16.850]  Oh my god, there's a lot of water.
[39:16.850 --> 39:18.530]  Yeah, yeah, yeah, yeah. I'm gonna go patch wherever it is.
[39:18.530 --> 39:19.210]  Got all the treasure.
[39:21.930 --> 39:23.170]  Where the fuck... where is it?
[39:23.510 --> 39:24.170]  Oh, there it is.
[39:27.110 --> 39:28.010]  Tilting us right.
[39:28.070 --> 39:30.250]  Alright, that should slow it.
[39:31.030 --> 39:32.730]  I earned a milestone in buckets.
[39:33.290 --> 39:35.270]  Do I have to, like, take the water somewhere?
[39:35.430 --> 39:36.550]  You have to take it up off the top.
[39:37.110 --> 39:38.750]  Yeah, take it up top and throw it off the side of the boat.
[39:38.750 --> 39:40.390]  You scoop it and you throw it over the side.
[39:41.430 --> 39:42.730]  I think we only got one boat left.
[39:43.330 --> 39:43.650]  Cool.
[39:44.310 --> 39:45.610]  Where was that fucking hole?
[39:46.610 --> 39:46.890]  I don't know.
[39:47.550 --> 39:48.670]  There were two of them down here.
[39:49.310 --> 39:50.750]  Okay, I'm not seeing any now.
[39:50.890 --> 39:54.750]  I don't see a ghost ship. Uh, oh, ghost ship over to the left.
[39:55.230 --> 39:56.190]  Yeah, I just see something.
[39:56.190 --> 39:57.690]  But he's really far and there's a...
[39:57.690 --> 39:58.210]  Is there a treasure in the water?
[39:58.310 --> 40:00.450]  There's a bunch of treasure. You wanna take us over to that treasure?
[40:01.210 --> 40:01.370]  Yeah.
[40:02.690 --> 40:04.330]  Is it to the left? Is that what you're referring to?
[40:04.330 --> 40:05.270]  Yeah, yeah, yeah, to the left.
[40:06.550 --> 40:08.170]  It's like where the flying things are, right?
[40:08.430 --> 40:09.650]  Yeah, yeah, yeah, yeah.
[40:09.750 --> 40:10.750]  Yeah, that's it.
[40:11.410 --> 40:14.310]  Okay, pretty close. If we can get a little bit closer.
[40:14.850 --> 40:16.890]  If you head on straight from here, you should be good.
[40:19.090 --> 40:20.690]  You're doing great. You're doing great. You're doing great.
[40:20.750 --> 40:23.310]  If someone wants to jump on the right, maybe, just in case.
[40:23.790 --> 40:24.090]  Sure.
[40:24.370 --> 40:26.510]  Come on. Yeah, yeah, someone get on the right treasure thing.
[40:26.670 --> 40:27.510]  Or the right harpoon.
[40:27.750 --> 40:28.330]  Alright, I'm on it.
[40:28.750 --> 40:31.330]  Yeah, yeah, grab it, because it's coming to your side. It's coming to your side.
[40:32.030 --> 40:32.650]  It's right there. You see it?
[40:33.070 --> 40:33.210]  Yep.
[40:33.590 --> 40:34.330]  Yeah, you got it. Good work.
[40:35.630 --> 40:35.990]  Nice.
[40:35.990 --> 40:36.670]  Hell yeah.
[40:36.830 --> 40:37.630]  Nice. Good work, boys.
[40:38.670 --> 40:39.330]  Good shooting.
[40:40.210 --> 40:41.270]  Wow, look at this.
[40:41.790 --> 40:44.510]  Now let's focus in on this last ship. Let's get this fucker.
[40:44.810 --> 40:45.890]  Hell yeah.
[40:46.270 --> 40:48.490]  We're repaired. Everyone have food? Everyone's good on that?
[40:48.810 --> 40:49.530]  Yep, all good.
[40:50.090 --> 40:52.850]  Cool. Get cannonballs. Make sure you're supplied on cannonballs.
[40:53.250 --> 40:53.910]  Oh, good call.
[40:55.510 --> 40:55.850]  Okay.
