[00:03.080 --> 00:04.040]  What happened?!
[37:46.750 --> 37:48.370]  Nick, keep circling. He's coming for you.
[37:49.190 --> 37:49.990]  I know!
[37:50.650 --> 37:52.510]  Keep doing your thing. I gotta pay attention, bud.
[37:53.690 --> 37:54.430]  Do you have any idea
[37:54.430 --> 37:55.150]  how to get out of here?
[37:55.650 --> 37:57.870]  Let's keep working the way around that we were heading towards.
[37:59.050 --> 37:59.270]  Okay.
[38:03.020 --> 38:03.960]  Can't see anything
[38:03.960 --> 38:04.680]  on that side.
[38:05.420 --> 38:06.220]  Rockets away.
[38:06.720 --> 38:07.580]  Rockets away.
[38:08.640 --> 38:10.080]  Nothing over here.
[38:10.940 --> 38:12.680]  Rockets away. That should be it.
[38:13.500 --> 38:13.840]  Come on.
[38:14.520 --> 38:15.000]  Is this it?
[38:15.600 --> 38:17.240]  This looks promising.
[38:18.080 --> 38:18.800]  Nick, circle.
[38:19.940 --> 38:21.220]  I'm in an armored car.
[38:21.420 --> 38:21.980]  Almost got him.
[38:23.560 --> 38:24.840]  Get in here.
[38:25.080 --> 38:25.580]  Nick, look out.
[38:30.890 --> 38:32.610]  No! Why would you get in the front?
[38:33.070 --> 38:33.550]  Whatever.
[38:35.950 --> 38:37.090]  Rockets, he's right behind you.
[38:37.090 --> 38:38.530]  Rockets away. Come on, get him.
[38:38.790 --> 38:39.590]  Come on.
[38:40.590 --> 38:41.790]  There we go.
[38:42.110 --> 38:42.590]  We're getting out.
[38:44.110 --> 38:45.850]  There we go. Got it.
[38:46.010 --> 38:48.090]  We gotta get in the vellum.
[38:50.410 --> 38:50.930]  Help.
[38:51.750 --> 38:51.850]  Get.
[38:52.190 --> 38:52.410]  Okay.
[38:56.440 --> 38:58.120]  We gotta sync up a landing zone.
[38:59.720 --> 39:00.820]  We're near a runway.
[39:02.880 --> 39:04.120]  Nick, that's you, right?
[39:04.580 --> 39:04.840]  Yeah.
[39:07.800 --> 39:09.460]  I'm gonna land at the airport.
[39:09.820 --> 39:10.380]  Keep supporting.
[39:11.340 --> 39:12.720]  I'm gonna land right over here.
[39:12.840 --> 39:14.540]  I see you.
[39:15.460 --> 39:16.560]  We're coming for you.
[39:17.380 --> 39:18.180]  Coming in.
[39:18.360 --> 39:20.940]  I'll try to take these helicopters out.
[39:22.220 --> 39:22.240]  Okay.
[39:23.140 --> 39:23.620]  Slowly.
[39:24.660 --> 39:25.760]  We got some air.
[39:26.040 --> 39:26.660]  That was nice.
[39:27.060 --> 39:27.960]  That looked great.
[39:30.640 --> 39:32.200]  We're coming right behind you.
[39:32.520 --> 39:33.260]  Please hurry.
[39:33.260 --> 39:34.540]  Come on.
[39:34.600 --> 39:35.280]  Full speed.
[39:36.080 --> 39:38.920]  Okay, slow down.
[39:39.580 --> 39:40.360]  I'm taking shots.
[39:41.840 --> 39:42.220]  You're fine.
[39:42.340 --> 39:43.780]  I got this helicopter coming down.
[39:44.220 --> 39:45.060]  Got him.
[39:46.980 --> 39:47.340]  Helicopters.
[39:47.980 --> 39:50.760]  Get in.
[39:51.000 --> 39:52.300]  You got this.
[39:53.000 --> 39:53.360]  Reverse.
[39:53.720 --> 39:55.900]  Take off.
[39:57.520 --> 39:58.900]  It's not gonna work.
[39:59.520 --> 40:00.320]  Mow him down.
[40:03.000 --> 40:03.560]  Go.
[40:05.000 --> 40:05.180]  Go.
[40:05.420 --> 40:05.900]  Go.
[40:08.780 --> 40:09.340]  Yeah.
[40:11.140 --> 40:12.120]  Eric, shoot him.
[40:12.200 --> 40:12.540]  Kill him.
[40:12.580 --> 40:13.360]  I'm trying.
[40:15.540 --> 40:17.540]  This is the slowest piece.
[40:17.760 --> 40:19.260]  We're gonna lose the cops.
[40:19.480 --> 40:19.900]  I'm trying.
[40:26.640 --> 40:27.780]  Amongst all the chaos,
[40:27.780 --> 40:28.780]  I just heard him go,
[40:29.340 --> 40:30.020]  Help me.
[40:32.300 --> 40:34.100]  Take us out to sea,
[40:34.380 --> 40:34.620]  Nick.
[40:36.400 --> 40:37.940]  To sea we go.
[40:42.100 --> 40:42.580]  Nice.
[40:44.760 --> 40:45.600]  Okay, we're losing them.
[40:46.300 --> 40:46.640]  We're good.
[40:48.000 --> 40:49.580]  We had five stars.
[40:51.860 --> 40:54.000]  You broke a guy out of prison
[40:54.000 --> 40:55.120]  and killed all the cops.
[40:55.120 --> 40:55.720]  Pretty bad.
[40:56.160 --> 40:58.200]  I think that's a felony.
[40:58.580 --> 40:59.440]  Should we go through the windmills?
[41:00.280 --> 41:00.580]  Yes.
[41:19.580 --> 41:20.220]  Nick!
[41:21.400 --> 41:22.780]  One insane move.
[41:23.420 --> 41:25.800]  One absolutely insane move.
[41:25.920 --> 41:27.520]  So I don't have anything
[41:27.520 --> 41:28.540]  to say about that.
[41:28.940 --> 41:32.200]  Let's do it again.
[41:33.460 --> 41:34.580]  Let's do it again.
[41:34.580 --> 41:36.680]  Team Tape would never. That's all I'm saying.
[41:36.680 --> 41:37.080]  That's it.
[41:37.760 --> 41:40.100]  Team Tape encouraged that shit.
[41:40.380 --> 41:41.400]  I want to be clear.
[41:42.360 --> 41:42.900]  Team Tape.
[41:43.300 --> 41:43.620]  No.
[41:43.820 --> 41:47.040]  Of course.
[41:48.360 --> 41:49.100]  What did you think?
[41:51.500 --> 41:52.060]  Nick.
[41:52.420 --> 41:53.280]  Okay, I'm sorry.
[41:53.380 --> 41:55.640]  I feel very bad now.
[41:56.640 --> 41:57.200]  Nick.
[41:59.140 --> 41:59.540]  Annoying.
[42:02.860 --> 42:03.820]  Let's just do it
[42:03.820 --> 42:04.720]  all over again.
[42:05.220 --> 42:07.360]  Well, maybe we can do it stealth this time.
[42:08.460 --> 42:09.160]  Oh yeah, you guys
[42:09.160 --> 42:10.840]  kind of know what you're supposed to do, right?
[42:11.420 --> 42:13.280]  Well, he said stop moving.
[42:13.820 --> 42:14.760]  It's on you, Gavin.
[42:14.880 --> 42:16.420]  You got to do something about that guy, I think.
[42:17.500 --> 42:18.900]  Should I just pistol-silent him?
[42:19.500 --> 42:20.820]  Yeah, if you can.
[42:23.040 --> 42:25.140]  Oh my god, we were flying away.
[42:25.140 --> 42:25.640]  Yeah.
[42:27.020 --> 42:28.200]  We were flying away?
[42:28.320 --> 42:30.860]  Yeah, we were done. I had taken out
[42:30.860 --> 42:32.540]  I don't know how many dozen
[42:33.840 --> 42:34.940]  helicopters and planes.
[42:34.980 --> 42:35.220]  Yeah, I know.
[42:35.800 --> 42:38.200]  That was basically a retry.
[42:38.940 --> 42:39.300]  Yes.
[42:40.380 --> 42:43.160]  Getting right to the end and going, wouldn't it be funny if we just did it one more time?
[42:43.620 --> 42:43.980]  No.
[42:44.400 --> 42:46.760]  No, I don't think it would be funny, no.
[42:47.660 --> 42:49.360]  Yeah, I heard go through the fans
[42:49.360 --> 42:51.220]  and I thought, he's certainly not going to do that
[42:51.220 --> 42:52.520]  so I don't need to go for him.
[42:52.520 --> 42:52.980]  He's not.
[42:53.160 --> 42:55.520]  I think we need to get a little bit close to him.
[42:57.720 --> 42:58.800]  Oh my god.
[42:58.880 --> 42:59.580]  Okay, okay.
[43:00.660 --> 43:01.460]  Lock it in.
[43:03.180 --> 43:04.300]  Lock it in.
[43:04.360 --> 43:05.500]  Park inside the prison.
[43:05.900 --> 43:07.720]  I think Nick just really enjoyed being the pilot.
[43:11.340 --> 43:11.780]  Yeah.
[43:12.100 --> 43:13.400]  Yeah, so he's going to do it again.
[43:14.380 --> 43:15.140]  No bad ideas.
[43:16.660 --> 43:17.620]  Don't encourage me.
[43:19.500 --> 43:20.380]  There are...
[43:20.380 --> 43:21.360]  I mean, you certainly aren't
[43:21.360 --> 43:22.780]  capable of doing that again.
[43:23.080 --> 43:25.340]  That's what Team Tape does though, they encourage.
[43:26.380 --> 43:27.680]  Oh, what changed?
[43:30.080 --> 43:31.500]  Is it because I have a
[43:31.500 --> 43:32.700]  custom silenced pistol?
[43:33.220 --> 43:34.820]  Oh, I think so. I think that may have been it.
[43:35.980 --> 43:37.160]  That's fine. That's okay.
[43:37.320 --> 43:37.920]  We're fine.
[43:42.970 --> 43:44.290]  Not a very good pistol.
[43:45.110 --> 43:46.830]  Oh, this is like a speed run now.
[43:46.930 --> 43:48.730]  Yeah, I'm flying through this thing.
[43:49.670 --> 43:50.530]  Yeah, yeah.
[43:50.550 --> 43:52.650]  You know what? I just wanted us to do this professionally.
[43:55.050 --> 43:56.870]  I'm about to call Geoff and replace Nick
[43:56.870 --> 43:57.570]  in this whole heist.
[43:58.110 --> 44:00.330]  You sure could. He can't. He's in the Zindelands.
[44:00.810 --> 44:02.030]  He's with him. He's not in him.
[44:04.790 --> 44:06.630]  I don't know what's going on over there.
[44:07.150 --> 44:08.590]  Boy, I don't normally feel this way,
[44:08.690 --> 44:10.210]  but boy, am I sheepish right now.
[44:11.750 --> 44:12.970]  I just can't believe
[44:12.970 --> 44:14.230]  that was so unlike you.
[44:14.290 --> 44:15.830]  I can't believe you did that.
[44:15.830 --> 44:17.190]  I don't know what happened.
[44:17.270 --> 44:19.850]  It's like Achievement Hunter came alive in my blood.
[44:21.110 --> 44:22.230]  I appreciate it.
[44:22.610 --> 44:23.990]  I thought it was a move
[44:23.990 --> 44:25.190]  that would come into my head
[44:25.190 --> 44:26.370]  that I wouldn't be allowed to do,
[44:26.610 --> 44:28.450]  but you did it.
[44:29.650 --> 44:31.970]  I was prepared to yell at Gavin,
[44:32.370 --> 44:33.370]  and then it was like,
[44:33.430 --> 44:34.330]  oh no, Nick's the pilot.
[44:34.570 --> 44:39.150]  Yeah, I looked up.
[44:39.330 --> 44:40.870]  I glanced down for a second.
[44:42.910 --> 44:43.830]  I saw a challenge.
[44:43.830 --> 44:46.050]  I was watching it, and all of a sudden
[44:46.050 --> 44:47.950]  it was just three names
[44:47.950 --> 44:49.870]  got flattened, and it was like,
[44:49.950 --> 44:50.130]  oops.
[44:52.190 --> 44:53.270]  I'm evading jets.
[44:53.710 --> 44:54.610]  You're doing great, Nick.
[44:54.750 --> 44:57.050]  I'm stealing the buzzard right now, and I'm on my way.
[44:57.550 --> 44:59.670]  That's alright. Take your time. I'm just going to sit in a holding pattern
[44:59.670 --> 45:00.670]  for the rest of the game.
[45:03.910 --> 45:04.950]  Gavin, what happened?
[45:06.090 --> 45:07.190]  That's just what I do there.
[45:08.550 --> 45:09.310]  Oh, okay.
[45:09.730 --> 45:10.290]  That's good.
[45:11.690 --> 45:13.210]  There he is.
[45:19.370 --> 45:20.230]  And we're off.
[45:21.350 --> 45:22.550]  Heading for the airfield.
[45:22.970 --> 45:23.730]  Alright, I'm on my way.
[45:23.910 --> 45:25.650]  Really like it if that door would close.
[45:27.690 --> 45:28.050]  Okay.
[45:28.230 --> 45:29.250]  Looks like we're good on the jets.
[45:30.090 --> 45:30.470]  Oh, good.
[45:32.450 --> 45:33.270]  Headed for the field.
[45:33.650 --> 45:35.370]  Go to the airfield, just like last time.
[45:35.490 --> 45:36.850]  I'll just keep an eye out for helicopters.
[45:37.630 --> 45:38.950]  How close are you guys, would you say?
[45:40.590 --> 45:41.770]  We're there, essentially.
[45:41.770 --> 45:42.850]  Alright, sweet, I'm landing.
[45:44.890 --> 45:45.790]  They are not there,
[45:45.850 --> 45:47.090]  essentially, but they will be there quickly.
[45:48.190 --> 45:49.890]  Yeah, well, essentially is
[45:49.890 --> 45:50.650]  the key word.
[45:52.310 --> 45:53.910]  I would have said
[45:53.910 --> 45:54.690]  45 seconds.
[45:55.570 --> 45:56.210]  Oh, dear.
[45:57.290 --> 45:58.010]  Yeah, it's going to be a while.
[46:01.390 --> 46:02.870]  We are coordinating, dickhead.
[46:03.670 --> 46:04.610]  We're working on it.
[46:04.910 --> 46:07.310]  We're debating about if 45 seconds is essentially.
[46:07.670 --> 46:07.930]  Right.
[46:09.270 --> 46:10.250]  Nice shooting, Eric.
[46:10.470 --> 46:11.430]  Thank you.
[46:12.550 --> 46:12.950]  Nice.
[46:14.210 --> 46:16.070]  I'm just trying to get them before they get close.
[46:16.210 --> 46:17.190]  I'm getting there, I'm getting there.
[46:17.950 --> 46:20.150]  You know what, doing this a second time,
[46:20.750 --> 46:21.530]  real easy.
[46:22.310 --> 46:23.130]  Not bad, is it?
[46:23.810 --> 46:25.550]  No, that was not
[46:26.170 --> 46:27.750]  nearly the annoyance I thought it was.
[46:27.890 --> 46:29.710]  But you know what, we haven't finished yet.
[46:29.730 --> 46:30.830]  Shut up, everybody shut up.
[46:31.810 --> 46:33.650]  Why would you do this?
[46:33.750 --> 46:34.830]  Why would you pull in front?
[46:34.830 --> 46:37.070]  Piece of shit.
[46:37.150 --> 46:38.290]  Oh, no!
[46:39.210 --> 46:40.710]  Gavin is the biggest
[46:40.710 --> 46:43.070]  dick in the world.
[46:43.410 --> 46:43.950]  Let's go.
[46:44.570 --> 46:45.090]  Motherfucker.
[46:46.150 --> 46:48.490]  Wait, where's the guy?
[46:48.710 --> 46:49.590]  Did he go back to the truck?
[46:49.870 --> 46:50.770]  He's in, he's in.
[46:51.250 --> 46:52.890]  I need Andrew to get in here.
[46:53.670 --> 46:54.610]  No, I'm in.
[46:55.070 --> 46:56.930]  No, it's him, he's driving.
[46:57.270 --> 46:57.850]  Oh, no!
[46:59.110 --> 46:59.630]  No!
[47:00.510 --> 47:00.910]  No!
[47:01.610 --> 47:03.450]  Why did you do this,
[47:03.650 --> 47:03.970]  Gavin?
[47:04.990 --> 47:06.290]  One more time.
[47:06.890 --> 47:08.290]  We're not doing this again.
[47:10.670 --> 47:11.810]  One more time.
[47:13.010 --> 47:13.670]  Wait, what if
[47:13.670 --> 47:15.590]  we take off, lose the wanted level, and come back?
[47:15.990 --> 47:17.170]  I don't think that's how this works.
[47:17.190 --> 47:18.610]  No, there's no way that'll work.
[47:18.750 --> 47:20.430]  I'm trying!
[47:21.670 --> 47:22.490]  Do a J-turn.
[47:24.130 --> 47:25.250]  Oh, my God.
[47:26.230 --> 47:27.650]  Oh, how could I let you
[47:27.650 --> 47:28.230]  drive?
[47:28.530 --> 47:30.970]  If it helps, I'm really keeping, like, the cops off of you.
[47:31.090 --> 47:33.370]  Can you take all these cops out, and we'll...
[47:33.370 --> 47:34.790]  Don't leave!
[47:35.070 --> 47:35.770]  Don't leave!
[47:36.990 --> 47:39.410]  Leave, leave, and I'll skydive out,
[47:39.450 --> 47:40.130]  and I'll go get him.
[47:40.290 --> 47:40.770]  No!
[47:43.030 --> 47:45.750]  Just go back
[47:45.750 --> 47:46.470]  to him!
[47:46.890 --> 47:49.070]  Turn the plane around!
[47:50.250 --> 47:51.190]  Just take off!
[47:51.350 --> 47:52.410]  I am taking off!
[47:54.050 --> 47:55.630]  And we're not!
[47:59.030 --> 47:59.990]  It's gonna say,
[48:00.030 --> 48:01.750]  you're too far away, you fail.
[48:01.910 --> 48:03.690]  We're circling. That's exactly right.
[48:04.290 --> 48:06.130]  Now, if we turn around...
[48:06.130 --> 48:07.590]  He's following us still!
[48:07.670 --> 48:09.750]  Alright, get some height, get some height, and I'll fly down
[48:09.750 --> 48:11.410]  and I'll get him. Hold on.
[48:11.790 --> 48:13.310]  We'll just land, we'll land, we'll land.
[48:13.410 --> 48:15.590]  No! If you land, there'll be police all over you.
[48:16.050 --> 48:17.050]  Oh, I'm fine, I'll pull up.
[48:17.610 --> 48:18.910]  Alright, just go straight over.
[48:19.010 --> 48:20.730]  Alright, I'm jumping out.
[48:21.610 --> 48:23.330]  Oh, my God, I'm so mad.
[48:24.230 --> 48:24.930]  We're stalling.
[48:24.930 --> 48:27.310]  Low airspeed, we're stalling?
[48:27.430 --> 48:29.050]  Alright, I'm gonna circle back to the other end.
[48:29.970 --> 48:30.950]  Why did you
[48:30.950 --> 48:31.750]  jump out?
[48:32.110 --> 48:33.530]  What does that accomplish?
[48:35.390 --> 48:36.810]  He's driving away!
[48:42.480 --> 48:44.020]  I've never been more mad
[48:44.020 --> 48:44.440]  at Gavin.
[48:46.660 --> 48:47.980]  I was trying to spin
[48:47.980 --> 48:49.420]  that puppy around.
[48:50.000 --> 48:50.900]  Oh, shit.
[48:51.320 --> 48:53.920]  None of anything that you've done
[48:53.920 --> 48:55.960]  has made any sense from the point
[48:55.960 --> 48:57.940]  at which I said, this is pretty easy.
[48:59.460 --> 49:01.380]  Yeah, it's like you saying that kind of
[49:01.900 --> 49:03.240]  fucked us over, didn't it?
[49:04.200 --> 49:05.240]  Don't spin this!
[49:05.360 --> 49:06.800]  This isn't in any way my fault.
[49:07.040 --> 49:08.240]  Stop driving, get out!
[49:09.900 --> 49:10.840]  Oh, no.
[49:11.280 --> 49:11.980]  What happened, guys?
[49:13.100 --> 49:14.680]  I'm busy blowing up
[49:14.680 --> 49:17.800]  a bunch of police helicopters and stuff.
[49:18.180 --> 49:19.600]  I must have missed what happened.
[49:19.640 --> 49:20.200]  What happened, guys?
[49:21.660 --> 49:23.400]  You made me give him an additional
[49:23.800 --> 49:25.100]  5%, Eric, you motherfucker.
[49:25.580 --> 49:29.400]  You made him get paid more for this.
[49:30.180 --> 49:30.620]  Here's what happened.
[49:31.320 --> 49:33.440]  I think Nick and Gavin should
[49:33.440 --> 49:34.960]  give me their money.
[49:35.380 --> 49:36.080]  Here's what happened.
[49:36.460 --> 49:38.600]  I tried to do a skiddy 180, right?
[49:38.740 --> 49:40.240]  So we could be facing the right way.
[49:40.320 --> 49:43.700]  Don't say right like we're gonna agree with any part of what you're about to say.
[49:43.780 --> 49:45.420]  But what happened was, it didn't do
[49:45.420 --> 49:47.680]  a handbrake turn, it just did a very slow turn.
[49:47.780 --> 49:49.200]  So when I went to get out, we were just
[49:49.200 --> 49:51.320]  still driving forwards and I dived out.
[49:51.320 --> 49:53.800]  Yeah, I can't believe the game did that to you.
[49:54.080 --> 49:55.400]  You know what, Gavin, there's no bad ideas.
[49:55.860 --> 49:56.880]  There's no bad ideas yet.
[49:57.280 --> 49:57.760]  Okay.
[49:58.280 --> 49:58.760]  Explain
[50:01.680 --> 50:03.240]  what the purpose
[50:03.240 --> 50:05.200]  was of you jumping out of the
[50:05.200 --> 50:07.280]  airplane if you wanted to
[50:07.280 --> 50:09.420]  leave because the wanted level was up.
[50:09.920 --> 50:11.400]  No, I was hoping we would draw
[50:11.400 --> 50:13.200]  the police away so that there
[50:13.200 --> 50:14.740]  would be no police around the bus.
[50:15.860 --> 50:17.160]  You know how this game works.
[50:17.240 --> 50:18.660]  You're level 130.
[50:18.660 --> 50:20.980]  The police are droning you.
[50:21.380 --> 50:22.700]  I got to him without any police
[50:22.700 --> 50:24.340]  but he just drove away from me.
[50:24.440 --> 50:25.240]  It was his fault.
[50:26.040 --> 50:27.460]  After all the things that were my fault.
[50:27.840 --> 50:29.260]  Oh, it was his fault.
[50:30.060 --> 50:31.460]  I hadn't considered that.
[50:32.760 --> 50:34.800]  I'm taking full-blown responsibility
[50:34.800 --> 50:35.100]  there.
[50:35.500 --> 50:37.680]  Except for the part that was his fault.
[50:37.820 --> 50:39.960]  But, on paper, that could have worked.
[50:40.240 --> 50:41.780]  If there was someone different at the helm,
[50:42.020 --> 50:44.160]  instead of my thumbs, that could have worked out.
[50:44.560 --> 50:44.740]  Okay.
[50:45.580 --> 50:47.120]  I think if there was someone's thumbs
[50:47.120 --> 50:48.760]  on the whole thing, we wouldn't be in this situation.
[50:50.060 --> 50:50.880]  What was so
[50:50.880 --> 50:52.820]  infuriating about that is
[50:52.820 --> 50:54.800]  there were like eight times to correct
[50:54.800 --> 50:56.640]  what happened and it was just ignored
[50:56.640 --> 50:58.640]  at every turn. What would have corrected what happened?
[50:59.300 --> 51:00.860]  We could have not left the
[51:00.860 --> 51:02.660]  airfield. We could have went around and then got
[51:02.660 --> 51:04.620]  next to him. We just had to get close to him
[51:04.620 --> 51:06.640]  but instead we went the opposite
[51:06.640 --> 51:08.360]  direction for some reason.
[51:08.780 --> 51:10.540]  It was all a mess. There were about six
[51:10.540 --> 51:12.760]  police cars around him. By flying
[51:12.760 --> 51:14.820]  away, you took all the police cars away from him.
[51:17.860 --> 51:18.580]  It's fine.
[51:18.940 --> 51:20.140]  No bad ideas.
[51:20.140 --> 51:22.140]  I can tell by the way he said it, he means it.
[51:23.180 --> 51:24.540]  Yeah. No bad ideas.
[51:25.540 --> 51:26.380]  Oh, also, the reason
[51:26.380 --> 51:28.420]  why we got alerted last time early Gavin is
[51:28.420 --> 51:30.720]  I accidentally pulled my gun out and I don't think that's even the end.
[51:30.960 --> 51:32.520]  I just didn't feel like
[51:32.520 --> 51:33.880]  taking the blame at that time.
[51:34.120 --> 51:36.360]  But, after what you just did,
[51:36.400 --> 51:38.360]  it's not even comparable. It's fine.
[51:38.500 --> 51:39.860]  So, I'm not gonna take my gun out.
[51:40.420 --> 51:42.040]  We could spend all day
[51:42.040 --> 51:43.480]  playing the blame game.
[51:43.820 --> 51:45.660]  Yeah, I mean, I blame Nick and then I blame Gavin.
[51:46.720 --> 51:48.300]  That's interesting that you would say that.
[51:48.600 --> 51:49.840]  You know what, that didn't take all day.
[51:49.980 --> 51:50.400]  That was really quick.
[51:51.480 --> 51:53.860]  Hey, do you want to do round two?
[51:54.240 --> 51:55.980]  I blame Nick, I blame Gavin.
[51:57.260 --> 51:58.520]  Wow, he did it twice.
[51:58.900 --> 51:59.980]  Gavin, I blame circumstance.
[52:00.060 --> 52:01.060]  I haven't even had lunch yet.
[52:02.320 --> 52:04.260]  Nick blamed the circumstance?
[52:05.260 --> 52:05.780]  Yeah, circumstance.
[52:06.780 --> 52:08.180]  He said stop to me.
[52:08.600 --> 52:09.460]  You fucking idiot.
[52:09.460 --> 52:11.480]  I don't know what to do.
[52:13.280 --> 52:13.680]  Stop?
[52:15.300 --> 52:15.780]  I did.
[52:16.560 --> 52:17.780]  Did he get angry
[52:17.780 --> 52:18.960]  when you pulled your weapon out?
[52:19.260 --> 52:20.520]  I was already out.
[52:22.200 --> 52:23.560]  Do you think that was the problem?
[52:23.840 --> 52:25.140]  We're not gonna do this again,
[52:25.240 --> 52:27.220]  so we're not gonna find out, but next time,
[52:27.340 --> 52:28.960]  when you do this with a different group of people,
[52:29.620 --> 52:30.500]  try killing them.
[52:30.920 --> 52:33.400]  Do you think anyone else would do this with me ever again
[52:33.400 --> 52:34.420]  after what they've seen today?
[52:34.760 --> 52:36.240]  I don't even want to do this with you now.
[52:37.300 --> 52:37.660]  Exactly.
[52:39.400 --> 52:40.460]  This is the first heist.
[52:44.480 --> 52:46.040]  You know, there are a lot of questions.
[52:48.420 --> 52:51.520]  A lot of finger pointing to go around.
[52:52.000 --> 52:52.720]  Yeah, absolutely.
[52:52.900 --> 52:54.820]  None in this direction, but I totally agree with you.
[52:54.860 --> 52:55.140]  There is.
[52:55.580 --> 52:57.720]  You know what, for once, I agree with you.
[52:58.340 --> 53:00.560]  I mean, it's what happens when I'm right.
[53:01.280 --> 53:02.220]  It's just the way it is.
[53:02.540 --> 53:03.640]  Okay, on my way to the buzzard.
[53:04.080 --> 53:04.740]  There's time.
[53:05.300 --> 53:06.440]  I need to eat something.
[53:08.420 --> 53:09.880]  Nick is being
[53:09.880 --> 53:11.620]  scrambled by jets, which means
[53:11.620 --> 53:12.860]  Nick is chasing the jet.
[53:14.640 --> 53:16.100]  Just keeping an eye on him.
[53:16.380 --> 53:18.000]  He's doing great. Nick's doing great.
[53:18.140 --> 53:19.520]  In this situation, Nick is
[53:19.520 --> 53:21.720]  like the best pilot I've ever seen.
[53:22.120 --> 53:23.660]  Oh my god, jets are coming for us.
[53:23.720 --> 53:25.080]  And he's chasing the jet.
[53:25.560 --> 53:27.220]  Yeah, I'll teach that little son of a bitch.
[53:29.080 --> 53:31.540]  My screen is vibrating so much, I can't even see.
[53:31.540 --> 53:32.840]  Alright, he got him.
[53:33.260 --> 53:34.280]  Collecting him again.
[53:36.820 --> 53:37.700]  Hey, you wanna drive?
[53:37.760 --> 53:38.800]  Oh shit!
[53:39.100 --> 53:41.160]  What happened? I got hit.
[53:42.860 --> 53:43.720]  Don't get hit.
[53:44.000 --> 53:45.060]  We got flown away in that thing.
[53:46.120 --> 53:47.420]  I'm behind you.
[53:47.500 --> 53:47.760]  I'm coming.
[53:50.280 --> 53:51.240]  It's uh...
[53:51.240 --> 53:52.160]  Yeah, yeah, I gotcha.
[53:52.660 --> 53:54.660]  He's going down right here.
[53:55.020 --> 53:56.600]  It's a bit of a sticky wicket.
[53:58.100 --> 53:58.760]  Oh shit.
[54:00.640 --> 54:01.160]  Ow.
[54:02.020 --> 54:02.540]  Um...
[54:02.540 --> 54:03.340]  I'm coming, I'm coming.
[54:04.220 --> 54:05.560]  It's not that.
[54:05.840 --> 54:08.400]  It's not you.
[54:09.140 --> 54:09.680]  What's the problem?
[54:10.200 --> 54:12.140]  Well, the plane seems to be smoking.
[54:12.940 --> 54:13.900]  What? That's fine.
[54:14.980 --> 54:16.440]  As long as it's just
[54:16.440 --> 54:17.700]  smoking and nothing else.
[54:17.880 --> 54:18.880]  Well, there is a bit of fire.
[54:20.240 --> 54:21.200]  It's on fire?
[54:21.700 --> 54:22.720]  It looks that way.
[54:25.360 --> 54:26.660]  Okay, how far out
[54:26.660 --> 54:28.160]  would you say that you are?
[54:28.600 --> 54:29.900]  We're about 45 seconds.
[54:30.120 --> 54:31.740]  It's also not responsive at all.
[54:32.200 --> 54:32.620]  What do you mean?
[54:33.140 --> 54:34.680]  Like, I can't get it to turn.
[54:37.140 --> 54:37.940]  And uh...
[54:37.940 --> 54:40.260]  Can I land the helicopter and take it?
[54:41.800 --> 54:42.200]  Uh...
[54:42.740 --> 54:44.760]  No, because we have to get in that specific
[54:44.760 --> 54:46.040]  plane. Yeah, we have to get in the plane.
[54:46.200 --> 54:48.460]  And it's also dying, and also it keeps trying to go
[54:48.460 --> 54:50.580]  straight up, and also I seem to be...
[54:50.580 --> 54:51.500]  Why don't you just land it?
[54:52.380 --> 54:53.540]  Well, here's the thing about that.
[54:53.540 --> 54:55.560]  I seem to be crashing.
[54:56.420 --> 54:57.380]  How do you mean?
[54:58.180 --> 54:58.460]  Oh.
[55:03.740 --> 55:05.180]  We're at the airfield.
[55:07.360 --> 55:09.800]  Where was my 45 second warning?
[55:10.520 --> 55:11.320]  I'm level 13.
[55:12.000 --> 55:12.660]  I'm level 13.
[55:13.240 --> 55:14.820]  I gave the warning.
[55:17.760 --> 55:19.080]  We didn't lose any lives.
[55:19.820 --> 55:21.140]  No, we lost one.
[55:26.580 --> 55:27.000]  Oh.
[55:34.760 --> 55:36.580]  I'm gonna drive through the windmills.
[55:38.560 --> 55:38.980]  Cool.
[55:43.980 --> 55:45.000]  Fucking cool, dude.
[55:48.500 --> 55:50.800]  I told you I didn't want to be the pilot.
[55:50.960 --> 55:51.920]  So fucking cool, dude.
[55:52.400 --> 55:54.200]  When you drove through the windmill, that was so funny.
[55:57.520 --> 55:58.600]  That was so funny.
[56:00.120 --> 56:00.980]  Oh, come on, dude.
[56:01.040 --> 56:02.360]  That was three runs ago.
[56:02.440 --> 56:03.420]  You can't be mad still.
[56:04.140 --> 56:05.440]  Oh, I disagree.
[56:06.260 --> 56:08.780]  Yeah, and maybe the more
[56:08.780 --> 56:10.860]  runs we do, the angrier we can be about it.
[56:11.120 --> 56:11.560]  You know what?
[56:12.000 --> 56:14.240]  Now that I've heard you say that out loud, it makes sense.
[56:15.040 --> 56:15.740]  Yeah, yeah.
[56:16.700 --> 56:18.160]  Team Titan never would have done that.
[56:18.300 --> 56:18.960]  That's what I'm saying.
[56:21.340 --> 56:22.580]  Don't you leave me out here
[56:22.580 --> 56:23.140]  on this island.
[56:24.440 --> 56:24.880]  Ah.
[56:26.000 --> 56:26.140]  Ah.
[56:26.760 --> 56:28.080]  I'm so sweaty now.
