[00:00.000 --> 00:01.800]  Andrew's singing the song.
[50:19.930 --> 50:21.350]  I gotta say, this looks pretty delicious.
[50:22.070 --> 50:22.690]  I would eat that.
[50:22.890 --> 50:26.610]  I'd eat the side of a pig. I'd eat pig side.
[50:28.990 --> 50:30.030]  How about the little hoof?
[50:30.830 --> 50:31.730]  Tiny little hoof.
[50:35.770 --> 50:36.490]  Some ribs.
[50:37.190 --> 50:38.990]  A lot of Gup fans in the chat.
[50:39.290 --> 50:41.930]  Oh really? Are people into WasUpGup? Hell yeah, dude.
[50:43.230 --> 50:45.190]  He freaky looking. He's pretty cool, dude.
[50:50.730 --> 50:52.150]  Where's the bacon on that? Right at the back?
[50:54.370 --> 50:55.510]  Maybe off at the top?
[50:57.350 --> 50:58.530]  Oh, show me that pig foot.
[50:59.810 --> 51:01.470]  We'll hang on to that for Nick later, you know?
[51:02.130 --> 51:04.910]  Which way around? Are you holding the back end?
[51:07.810 --> 51:08.530]  Little foot for you.
[51:08.610 --> 51:10.910]  There you go, little pig foot for you, Nick.
[51:11.950 --> 51:12.150]  Enjoy.
[51:14.650 --> 51:17.590]  Do you think Nick got a bonus wherever he is right now? He doesn't know why.
[51:19.170 --> 51:20.790]  He's just like, whoa, what the fuck?
[51:22.770 --> 51:24.770]  That's a lot of hog. Yes, it is, Mellon.
[51:26.340 --> 51:29.150]  Anything like this for my Nick.
[51:29.390 --> 51:31.490]  I just want to throw this on that table.
[51:32.450 --> 51:34.570]  Stop eating the pizza!
[51:38.630 --> 51:40.710]  You stole that guy's recipe?
[51:42.240 --> 51:44.010]  Good fucking luck now, buddy.
[51:44.470 --> 51:45.170]  Caterpig!
[51:45.690 --> 51:46.510]  Cranked ya!
[51:49.470 --> 51:51.810]  Here's another one. That's Nick's recipe.
[51:52.210 --> 51:52.890]  That's mine.
[51:53.670 --> 51:57.130]  We should try to cook the meals in those recipes.
[51:58.790 --> 52:03.810]  There's a bunch of meals in the Indiana Jones game as collectibles, and I think I've screenshotted all of them.
[52:04.230 --> 52:04.530]  Oh, really?
[52:05.470 --> 52:08.910]  That could be a fun show. We could have a video game recipe show where we make stuff.
[52:10.190 --> 52:10.710]  That would be great.
[52:12.130 --> 52:13.430]  The new Epic Mealtime, guys.
[52:18.370 --> 52:19.530]  Epic Games Mealtime.
[52:20.530 --> 52:21.710]  What is that?
[52:21.710 --> 52:23.510]  Oh, that's like tomato stuff, I think.
[52:23.650 --> 52:25.190]  That's not going to help you much here.
[52:26.430 --> 52:29.610]  I think it's all like tomato puree.
[52:30.110 --> 52:31.190]  Yeah, I think there's some dried tomatoes.
[52:32.190 --> 52:37.750]  The ability of that person with the spoon to spread it in the exact same pan on each tray is unbelievable.
[52:38.290 --> 52:38.950]  They're good at it.
[52:39.570 --> 52:40.690]  These are real artisans.
[52:41.210 --> 52:45.890]  It's like he had four spoons all connected with a rod and did them all at the same time.
[52:46.890 --> 52:50.650]  Damiano Bastoni would be a hilarious name for the owner of the Boston Celtics.
[52:51.990 --> 52:53.710]  Bastoni has them.
[52:57.570 --> 53:02.430]  That's right, I stabbed him like 18 times in the chest. It was crazy.
[53:03.830 --> 53:05.910]  Thank you, Sharky Knees. I'm sorry about your knees.
[53:09.910 --> 53:11.910]  Horse chores. Horse chores.
[53:14.290 --> 53:15.570]  Horse chores.
[53:16.990 --> 53:17.950]  Another recipe.
[53:24.090 --> 53:25.290]  That's a fucked up shovel.
[53:26.670 --> 53:27.390]  It's got a bend.
[53:28.710 --> 53:34.150]  Clean out the stables. What is this game? No one wants to shovel shit 45 minutes into a game, surely.
[53:36.090 --> 53:38.130]  Or even 51 minutes into a game.
[53:38.330 --> 53:39.410]  Who made this, Ubisoft?
[53:40.530 --> 53:40.970]  2K.
[53:41.690 --> 53:44.910]  Wow, really? They made this in NBA? That's wild.
[53:46.470 --> 53:48.230]  Do you think this guy's going to be in NBA 2K?
[53:49.090 --> 53:53.090]  I think it's about to say a spikely joint in about 3 minutes.
[53:57.890 --> 53:59.370]  She's the tomato lady.
[54:04.950 --> 54:09.030]  That one time I was a minor and I stabbed a guy 15 times. It was crazy.
[54:09.310 --> 54:11.330]  That was about 12 hours ago.
[54:13.550 --> 54:17.930]  Have we seen the title screen of the game yet? Yeah, we did. We did about a half hour ago, maybe.
[54:19.690 --> 54:22.630]  It wasn't a lot of fanfare to it.
[54:23.950 --> 54:25.790]  Oh, we had to not have the music, just in case.
[54:30.220 --> 54:39.750]  Oh, that was a good bite.
[54:39.750 --> 54:41.790]  Look at that bite mark.
[54:43.750 --> 54:47.410]  I'm not saying the animation was good, I'm saying the chunk that she got out of the apple.
[54:48.170 --> 54:50.630]  The acid swap to the bitten apple was great.
[54:54.830 --> 54:56.590]  Cablove said I was hoping it was a tomato.
[54:59.110 --> 54:59.510]  Crunch.
[55:03.000 --> 55:07.660]  What if we just make a video where we eat a bunch of different food but replace all the eating sounds with the wrong ones?
[55:08.260 --> 55:09.340]  That's a good idea.
[55:09.340 --> 55:15.860]  I feel like I've seen a sketch like that from Derek Comedy or Good Neighbor or something.
[55:16.060 --> 55:16.940]  It sounds so familiar.
[55:17.540 --> 55:21.740]  Maybe there was a gun sounds one where they did different gun sounds?
[55:22.680 --> 55:23.680]  That's very funny.
[55:24.320 --> 55:26.300]  Yeah, it's like really old movies that do that too.
[55:26.740 --> 55:31.760]  I think I could just take all the footage I've got of Nick eating and maybe just swap all the sounds around.
[55:39.580 --> 55:43.640]  Go back to your room and get cleaned up. Or you'll put everyone off their food.
[55:45.100 --> 55:46.400]  Do I get to put my hat on now?
[55:51.160 --> 55:55.120]  Are you going to get to drive a fucking car maybe? That would be cool.
[55:55.480 --> 55:58.780]  I think there's like racing. I think there's car racing in this game.
[56:00.540 --> 56:02.260]  Is there shooting people in the face?
[56:02.440 --> 56:05.640]  I couldn't tell you that. If there is, I don't know that we're going to see it.
[56:05.940 --> 56:08.340]  You walked a difficult path for someone so young.
[56:08.720 --> 56:14.160]  Do we have to go through a fucking hour long tutorial of how to make tires before we're allowed to drive a car?
[56:14.320 --> 56:15.100]  Yeah, probably.
[56:16.380 --> 56:17.620]  Let me put my hat on.
[56:18.340 --> 56:22.260]  Do you think if we instead streamed Battlefield 6 we would be in the game by now?
[56:23.600 --> 56:23.980]  No.
[56:25.300 --> 56:26.280]  I should download it right now.
[56:26.880 --> 56:28.800]  I don't know if it's public beta yet.
[56:29.480 --> 56:30.220]  Are you going to be invited?
[56:30.580 --> 56:31.340]  I think so, yeah.
[56:31.800 --> 56:34.600]  Well, I definitely wasn't. Never mind.
[56:35.140 --> 56:35.900]  Bath time!
[56:35.900 --> 56:38.100]  They invited Tim the Tapman, but not you?
[56:38.240 --> 56:39.300]  It's messed up.
[56:44.740 --> 56:47.780]  Which would you rather have be real, a Frankenstein or a Dracula?
[56:49.440 --> 56:50.000]  Oh...
[56:50.000 --> 56:50.440]  Frankenstein.
[56:50.900 --> 56:51.380]  Frankenstein.
[56:53.320 --> 56:55.320]  Dracula can make other Draculas.
[56:55.500 --> 56:57.760]  Yeah, Frankenstein doesn't make other Frankensteins.
[56:58.620 --> 56:59.180]  Interesting.
[57:00.980 --> 57:01.540]  Gavin?
[57:03.140 --> 57:03.700]  Yeah.
[57:05.320 --> 57:07.560]  Plus, people are so fucking stupid.
[57:08.200 --> 57:14.300]  Dracula wouldn't even have to do that old thing where he sneaks in and mesmerizes you and then bites your neck.
[57:14.560 --> 57:20.020]  He could just put out some commercials on TV and be like, come on over and get sucked. It's way better on this side.
[57:20.640 --> 57:22.120]  Vote against your own best interests.
[57:22.420 --> 57:23.920]  And people would be like, oh, where do I sign up?
[57:25.500 --> 57:26.660]  I'm actually pro-Dracula.
[57:35.620 --> 57:37.980]  Dracula promises to release the Epstein list.
[57:44.160 --> 57:48.500]  Why is Dracula saying the Epstein list is a hoax now? I could have scored last month.
[57:49.980 --> 57:51.440]  Promising to release it immediately.
[57:51.640 --> 57:55.700]  I only voted for him because he said he was going to drain the Black Lagoon and now I just...
[58:00.000 --> 58:01.380]  It's a celebration.
[58:01.600 --> 58:03.500]  Now there's swamp creatures everywhere.
[58:04.500 --> 58:07.140]  Release the Frankenstein files.
[58:11.260 --> 58:13.920]  Dude, Mafia show is fucking good.
[58:23.080 --> 58:24.840]  And action.
[58:26.660 --> 58:29.180]  Mark the Frog got some shit nobody ever heard of.
[58:29.500 --> 58:33.020]  Dude, Mark the Frog is so into Warhammer, it's awesome.
[58:33.140 --> 58:33.660]  Yeah, he is.
[58:34.960 --> 58:37.880]  Mark the Frog got a mention in our sandwich squashing video.
[58:38.140 --> 58:40.520]  We're all about Mark the Frog. Me and Geoff are Mark the Frogheads.
[58:40.980 --> 58:44.840]  He might be the most mentioned person in regulation since...
[58:45.960 --> 58:46.520]  Fine, it's Bummer.
[58:47.900 --> 58:49.860]  Bummer and probably Greg from Finance.
[58:50.040 --> 58:50.600]  Oh yeah, that's right.
[58:51.200 --> 58:53.180]  Ah, finally, the guest of honor.
[58:54.840 --> 58:55.740]  There she is.
[58:56.820 --> 58:58.800]  The girl we saw earlier, I assume.
[59:02.280 --> 59:02.720]  Who is she?
[59:04.320 --> 59:06.180]  Oh my god, it's his daughter.
[59:07.300 --> 59:08.860]  No one could have seen that coming, honestly.
[59:09.400 --> 59:11.680]  Please, my friends, my family.
[59:12.480 --> 59:16.500]  Be upstanding in the celebration of my beautiful daughter, Isabella.
[59:16.900 --> 59:17.800]  On her name day.
[59:18.660 --> 59:19.500]  Name day?
[59:19.820 --> 59:21.540]  Yeah, they named her Isabella today.
[59:21.740 --> 59:22.780]  Before she has been a girl.
[59:24.480 --> 59:28.880]  Oh, C-Rob said if you played Mafia 3, you know this meeting is bullshit.
[59:29.020 --> 59:30.580]  And then bullshit was in capital letters.
[59:30.820 --> 59:32.780]  Andrew, are you familiar with that?
[59:33.060 --> 59:34.240]  I haven't played Mafia 3.
[59:35.220 --> 59:36.680]  You know what's wrong with this meeting then.
[59:36.680 --> 59:38.440]  That game opens with a heist gone wrong.
[59:38.700 --> 59:39.140]  Oh, that's cool.
[59:42.370 --> 59:43.230]  I'm gonna need an explanation.
[59:44.110 --> 59:45.690]  Clutch my pearls pod is in here.
[59:46.250 --> 59:46.490]  What?
[59:46.910 --> 59:49.010]  And Mark the Frog? What the fuck?
[59:49.610 --> 59:50.470]  Clutch my frogs.
[59:55.600 --> 59:56.900]  Clutch my frogs.
[59:57.500 --> 59:58.200]  Hello, darling.
[59:58.760 --> 59:59.900]  New achievement. Cool.
[01:00:01.560 --> 01:00:02.820]  Edzo found a new home.
[01:00:03.440 --> 01:00:04.120]  Mark the pearl.
[01:00:04.600 --> 01:00:07.800]  I think this game probably really picks up and there's a lot to it or whatever.
[01:00:08.100 --> 01:00:10.960]  If you had to ask me to judge it after an hour, I think I hate this game.
[01:00:11.740 --> 01:00:14.720]  Yeah, I bought it earlier today and I...
[01:00:14.720 --> 01:00:15.240]  Oh, you fool.
[01:00:15.540 --> 01:00:16.680]  You fool.
[01:00:17.000 --> 01:00:20.420]  I bought it as a backup just in case there were any kind of tech issues with Andrew or whatever.
[01:00:21.540 --> 01:00:23.640]  Somebody should be able to go, you know.
[01:00:23.920 --> 01:00:25.380]  Oh, we could have just played something else.
[01:00:26.640 --> 01:00:27.220]  Eh, no.
[01:00:28.520 --> 01:00:28.760]  Hey.
[01:00:29.860 --> 01:00:31.860]  I liked Mafia 1.
[01:00:32.880 --> 01:00:35.780]  Was that the face, like, see if they're lying one?
[01:00:36.500 --> 01:00:38.100]  No, that was L.A. Noire.
[01:00:39.820 --> 01:00:43.180]  I don't think I've played either of those franchises.
[01:00:43.720 --> 01:00:45.640]  Well, L.A. Noire is only just one game, right?
[01:00:46.160 --> 01:00:46.940]  Great game, though.
[01:00:47.480 --> 01:00:48.360]  It is. Yeah, it's fun.
[01:00:50.180 --> 01:00:50.580]  I...
[01:00:50.580 --> 01:00:53.440]  I'd like to see you play L.A. Noire and try to deduce what...
[01:00:54.960 --> 01:00:55.680]  Is it on PC?
[01:00:56.700 --> 01:00:56.880]  Yeah.
[01:00:57.380 --> 01:00:57.780]  Probably?
[01:00:59.520 --> 01:01:01.880]  It's on every platform at this point.
[01:01:04.880 --> 01:01:05.920]  A lot of spitting in this game.
[01:01:07.020 --> 01:01:08.400]  It is a lot of spitting in this.
[01:01:08.960 --> 01:01:09.760]  Spitting in the game.
[01:01:11.020 --> 01:01:12.660]  Italy spits a lot, I assume.
[01:01:13.420 --> 01:01:13.820]  Yeah.
[01:01:18.720 --> 01:01:21.820]  This game is for people who love watching the History Channel.
[01:01:29.480 --> 01:01:33.020]  Have you guys started watching the new episodes of King of the Hill yet?
[01:01:33.780 --> 01:01:35.020]  No. No, just on TikTok.
[01:01:36.380 --> 01:01:37.440]  It's pretty good.
[01:01:37.800 --> 01:01:42.440]  Yeah, you know, Gus had some pretty strong reviews about it, and it wasn't terrible, so...
[01:01:42.440 --> 01:01:44.620]  A giant mutated ceiling hippo.
[01:01:45.060 --> 01:01:46.260]  You can name yourself anything on this side.
[01:01:46.400 --> 01:01:48.020]  Thank you for the five subs. Appreciate it.
[01:01:49.100 --> 01:01:51.880]  In front of the cream wine. Thanks for those gifted subs. Appreciate you.
[01:01:52.040 --> 01:01:52.360]  Hell yeah.
[01:01:54.820 --> 01:01:56.920]  I think things are gonna pop off here.
[01:01:58.200 --> 01:01:59.320]  I think this is an explosion.
[01:01:59.740 --> 01:02:02.000]  I think so. I think someone tries to rob this carriage.
[01:02:02.700 --> 01:02:04.020]  The Mosno's five gifted.
[01:02:04.500 --> 01:02:05.160]  Yeah, it could be.
[01:02:05.460 --> 01:02:10.500]  You might be on your way to, like, the Intuit Dome or whatever, though, to play the Clippers.
[01:02:10.720 --> 01:02:12.140]  If this is truly a TK game.
[01:02:13.340 --> 01:02:16.520]  Guys, we are one minute away from the best...
[01:02:17.160 --> 01:02:21.140]  You can post up against James Harden. That'd be pretty cool, right?
[01:02:21.860 --> 01:02:23.160]  Or maybe Chris Paul now.
[01:02:25.520 --> 01:02:29.220]  Do you think two horses have ever crashed into each other so hard they exploded?
[01:02:30.300 --> 01:02:31.520]  Oh, I bet it's been pretty close.
[01:02:31.980 --> 01:02:34.960]  I bet it's happened where it looks like they're about to explode.
[01:02:35.800 --> 01:02:36.600]  Do you think...
[01:02:36.600 --> 01:02:37.920]  Stop putting your horse in the other horse.
[01:02:38.580 --> 01:02:39.620]  Stop being there.
[01:02:39.620 --> 01:02:47.620]  Do you think a horse has ever hit another horse so hard that he just went right through it?
[01:02:48.620 --> 01:02:49.580]  Like split the horse?
[01:02:50.000 --> 01:02:51.160]  Like split a horse in half.
[01:02:51.300 --> 01:02:51.920]  Oh, that's pretty good.
[01:02:52.140 --> 01:02:55.200]  Like a horse T-boned another horse at full speed.
[01:02:55.520 --> 01:02:57.020]  Like a horse hit by a train?
[01:02:57.420 --> 01:02:57.900]  Yeah.
[01:02:58.400 --> 01:02:59.960]  But the train is also a horse.
[01:03:00.120 --> 01:03:01.420]  Boom, horse shot.
[01:03:05.960 --> 01:03:07.100]  I like it.
[01:03:07.480 --> 01:03:08.460]  Boys, it's 5-0-1.
[01:03:09.660 --> 01:03:11.420]  It's time of the week.
[01:03:13.220 --> 01:03:14.960]  This is mafia.
[01:03:16.120 --> 01:03:17.940]  Something's about to happen, Andrew said.
[01:03:18.160 --> 01:03:18.940]  And we can feel it.
[01:03:19.020 --> 01:03:24.160]  Yeah, we're gonna hang tight and roll with this until something happens.
[01:03:24.260 --> 01:03:26.440]  We need anything to happen in this game.
[01:03:26.680 --> 01:03:30.780]  Would it be incentive if I bought a dead horse and hit it with a train?
[01:03:32.340 --> 01:03:33.540]  Did you kill the horse?
[01:03:34.040 --> 01:03:35.080]  No, I just already did.
[01:03:35.320 --> 01:03:36.520]  Did it die of natural causes?
[01:03:36.900 --> 01:03:38.200]  I don't know what you're proving.
[01:03:38.900 --> 01:03:39.780]  I think it's fine.
[01:03:41.600 --> 01:03:41.960]  Why?
[01:03:42.740 --> 01:03:43.720]  Let's see what it looks like.
[01:03:43.880 --> 01:03:45.340]  You know what, Andrew's saying what I'm saying.
[01:03:45.440 --> 01:03:46.040]  Go for it.
[01:03:46.300 --> 01:03:49.060]  To show the dangers of trains.
[01:03:51.240 --> 01:03:54.300]  No, I guess I would also have to rent the train.
[01:03:55.480 --> 01:03:57.140]  The train doesn't have to know anything about it.
[01:03:58.460 --> 01:03:59.880]  That's the one thing you don't have to rent.
[01:03:59.880 --> 01:04:00.140]  Yeah.
[01:04:05.220 --> 01:04:09.920]  Can you imagine being a train conductor, just going about your business?
[01:04:10.720 --> 01:04:15.280]  And the next thing you know, there's just horse goo all over the front of your train out of nowhere.
[01:04:15.660 --> 01:04:19.220]  And then you stop the train and you look at it, and you go, is that the fucking slow-mo guys?
[01:04:19.440 --> 01:04:20.500]  And then you guys pick up the train.
[01:04:22.020 --> 01:04:24.680]  By running away from a dead, propped up horse.
[01:04:25.120 --> 01:04:26.440]  I think I'm Han's friend.
[01:04:26.880 --> 01:04:29.180]  Probably told this story a few times in the old days.
[01:04:29.260 --> 01:04:30.980]  But when I was in the army, we were in Kuwait one time.
[01:04:31.120 --> 01:04:34.420]  We were booking it through the desert in a Bradley fighting vehicle.
[01:04:34.580 --> 01:04:38.580]  And we went over a hill, caught a little bit of lip of air, came down.
[01:04:38.680 --> 01:04:40.540]  There was a Bedouin with a bunch of goats.
[01:04:40.560 --> 01:04:43.660]  And we ran right through, like, two or three goats.
[01:04:43.940 --> 01:04:48.800]  And it was just... it was just goat debris all over the Bradley.
[01:04:49.100 --> 01:04:51.320]  And then they had to get out and, like, talk to them and apologize.
[01:04:51.620 --> 01:04:53.860]  And I assume... I don't know what happened after that. We just left.
[01:04:53.860 --> 01:04:56.780]  But I assume the military had to buy that dude some goats or something.
[01:04:56.920 --> 01:04:59.720]  It was some...
[01:04:59.720 --> 01:05:00.640]  Just a goat invoice.
[01:05:01.180 --> 01:05:01.400]  Yeah.
[01:05:04.560 --> 01:05:06.040]  Okay. You're doing horse racing.
[01:05:06.960 --> 01:05:08.500]  He's mixing up the liquid.
[01:05:09.460 --> 01:05:12.660]  When he opens it, it's gonna blow up in his face. It's gonna be hilarious.
[01:05:13.740 --> 01:05:17.680]  I also was walking through the desert in Kuwait one time and found a boot with a foot in it.
[01:05:19.280 --> 01:05:21.380]  Which would have been from the Gulf War.
[01:05:22.200 --> 01:05:27.400]  An episode that's coming out, I think, next week, where Geoff reveals concussion numbers.
[01:05:27.740 --> 01:05:30.000]  It was very stunning to the entire show.
[01:05:30.940 --> 01:05:35.500]  I'm glad that I still have... I still have a few ways to surprise you guys.
[01:05:35.580 --> 01:05:37.300]  I thought you'd heard everything there was to hear.
[01:05:37.760 --> 01:05:42.200]  I guess I never mentioned all the concussions to you guys.
[01:05:42.380 --> 01:05:45.720]  It was one guy talking about it and four guys fucking stunned.
[01:05:46.900 --> 01:05:50.280]  Did you get a concussion when you puffed gasoline and passed out?
[01:05:50.400 --> 01:05:51.640]  Or was that just like a gentle fall?
[01:05:52.320 --> 01:05:55.820]  No, that was a gentle fall. I didn't hit my head or anything on that.
[01:05:55.900 --> 01:05:56.860]  I think I fell gently.
[01:06:01.960 --> 01:06:04.400]  I remember thinking, this is...
[01:06:04.400 --> 01:06:07.900]  They put me in that warehouse with like a hundred lawnmowers.
[01:06:07.920 --> 01:06:11.420]  That wasn't that many, maybe 40 lawnmowers, 30 lawnmowers and like different lawn devices.
[01:06:12.000 --> 01:06:14.600]  And they said, drain the gas out of all of them for the winter.
[01:06:14.600 --> 01:06:17.340]  And then we'll come back in like six hours and check on you.
[01:06:17.400 --> 01:06:20.020]  And I thought, this is going to be the best day of my life.
[01:06:20.240 --> 01:06:23.800]  And then the next thing I remember, I'm just in the back of a pickup truck.
[01:06:23.880 --> 01:06:25.460]  And people are like fanning me as we're driving.
[01:06:27.220 --> 01:06:27.500]  Incredible.
[01:06:32.540 --> 01:06:34.560]  Well, Andrew, want to wrap this thing up or what do you think?
[01:06:36.320 --> 01:06:37.180]  Nobody robbed the truck.
[01:06:38.760 --> 01:06:39.640]  Keep it going, man.
[01:06:39.660 --> 01:06:40.340]  I'm going to get to the game.
[01:06:40.780 --> 01:06:41.340]  Yeah, let's keep it going.
[01:06:41.640 --> 01:06:43.440]  It's been an hour. We haven't quite got to the game yet.
[01:06:43.460 --> 01:06:44.240]  I'm sure we will in a minute.
[01:06:45.060 --> 01:06:47.480]  We have my knife and this lady, okay.
[01:06:48.400 --> 01:06:50.100]  Kind of reminds me of the beginning of Hitman 2.
[01:06:51.220 --> 01:06:51.540]  Yes.
[01:06:53.180 --> 01:06:54.480]  Was that also this fun?
[01:06:56.140 --> 01:06:58.860]  No, because you probably already killed like eight people by this point.
[01:06:59.660 --> 01:07:03.340]  Well, we did have a run where you choked four guys to death in a row.
[01:07:04.000 --> 01:07:04.400]  That's true.
[01:07:04.620 --> 01:07:05.100]  Where should we go with this?
[01:07:05.160 --> 01:07:09.000]  We got 200. What are we picking? The Viperi? The Dragoony?
[01:07:10.540 --> 01:07:11.580]  Or the Colossus?
[01:07:11.580 --> 01:07:12.720]  I kind of like the...
[01:07:12.720 --> 01:07:15.240]  Guy like me is a Colossus guy, but that's just me.
[01:07:15.920 --> 01:07:20.620]  I'm right there with Eric. A Colossus looks like... If I'm stabbing somebody, I want it to be in that.
[01:07:20.660 --> 01:07:21.180]  Yeah, for sure.
[01:07:22.260 --> 01:07:23.120]  I'll take this one.
[01:07:25.240 --> 01:07:27.440]  Is this going on YouTube or is there a plan B?
[01:07:31.060 --> 01:07:33.320]  Yeah, I think, unfortunately, this will be what we put up.
[01:07:36.060 --> 01:07:37.880]  Knowing that blade could save your life.
[01:07:38.800 --> 01:07:41.480]  Well, this was kind of a backup for another idea that we...
[01:07:41.480 --> 01:07:42.000]  That's true.
[01:07:42.640 --> 01:07:43.600]  Yeah, it's true.
[01:07:47.820 --> 01:07:49.720]  Not Plan G, Team G.
[01:07:51.660 --> 01:07:52.860]  Plan G for Team G.
[01:07:55.340 --> 01:07:56.120]  G-Team.
[01:08:05.900 --> 01:08:08.160]  You better have another scripted knife fight.
[01:08:10.660 --> 01:08:13.840]  Do all the damage in the game and then you get messed up in the cutscene.
[01:08:17.140 --> 01:08:20.760]  You know, I played a little bit of Tony Hawk 3 and 4 over the weekend.
[01:08:21.020 --> 01:08:21.140]  Yeah.
[01:08:21.360 --> 01:08:23.600]  Because of the VOD y'all did.
[01:08:23.820 --> 01:08:24.300]  Mm-hmm.
[01:08:25.020 --> 01:08:27.320]  And I didn't really enjoy it that much.
[01:08:27.480 --> 01:08:27.740]  Me neither.
[01:08:28.800 --> 01:08:30.540]  Yeah, I liked...
[01:08:30.540 --> 01:08:39.420]  I liked it nearly as much as 1 and 2.
[01:08:39.420 --> 01:08:43.840]  Like, collect skate and the mystery VHS tape and all that stuff just...
[01:08:44.280 --> 01:08:45.480]  It just felt, like, unnecessary.
[01:08:45.820 --> 01:08:47.500]  I just wanted to skateboard on the levels.
[01:08:48.320 --> 01:08:48.520]  Ow.
[01:08:49.020 --> 01:08:50.600]  Why are you doing this again?
[01:08:50.920 --> 01:08:51.980]  We've already done this.
[01:08:52.760 --> 01:08:54.420]  And this guy's, like, your friend or something.
[01:08:55.880 --> 01:08:56.840]  Also, where's your knife?
[01:08:57.400 --> 01:08:59.420]  This is, like, practice.
[01:09:00.360 --> 01:09:00.980]  Yeah, practice.
[01:09:04.460 --> 01:09:05.460]  We should do this.
[01:09:06.720 --> 01:09:07.140]  Yeah.
[01:09:10.520 --> 01:09:11.540]  We is not me.
[01:09:15.060 --> 01:09:17.360]  Geoff just watched all the final destinations.
[01:09:17.560 --> 01:09:19.460]  You're not going to convince him to go into a...
[01:09:20.040 --> 01:09:22.660]  I don't even know what to call it.
[01:09:22.960 --> 01:09:23.580]  Holstered knife?
[01:09:24.300 --> 01:09:25.920]  What is a knife called in this game?
[01:09:26.460 --> 01:09:26.880]  Bladeless?
[01:09:27.480 --> 01:09:28.200]  Bladeless knife.
[01:09:28.460 --> 01:09:29.460]  Oh, this game has a parry.
[01:09:29.820 --> 01:09:30.100]  Nice.
[01:09:30.180 --> 01:09:30.680]  A hilt off?
[01:09:30.840 --> 01:09:31.500]  Yeah, it's just a hilt.
[01:09:35.800 --> 01:09:36.620]  Parry me again.
[01:09:37.060 --> 01:09:37.700]  Parry me again.
[01:09:43.820 --> 01:09:46.500]  Anybody getting Assassin's Creed vibes from this game at all?
[01:09:50.440 --> 01:09:53.120]  Shout out to Cream on the front, or whatever that guy's name was.
[01:09:53.340 --> 01:09:55.240]  Yay! Thanks, Front Cream.
[01:10:01.510 --> 01:10:04.390]  What's it say on the recent...
[01:10:05.790 --> 01:10:08.770]  Front Cream rises to the front of the line.
[01:10:10.090 --> 01:10:11.870]  You get free cream at the front.
[01:10:12.470 --> 01:10:14.610]  That's my username of the day, I think. Front of the Cream line.
[01:10:14.710 --> 01:10:15.130]  Yeah, I agree.
[01:10:19.630 --> 01:10:20.610]  Cream on the front.
[01:10:25.090 --> 01:10:26.830]  Mark the Frog is gifting a sub.
[01:10:27.050 --> 01:10:27.750]  What the fuck?
[01:10:28.090 --> 01:10:29.410]  Thank you so much, Mark the Frog.
[01:10:31.450 --> 01:10:32.810]  Gaffman98 gets a sub from Mark the Frog.
[01:10:34.530 --> 01:10:35.550]  That was very kind of you, Mark.
[01:10:37.610 --> 01:10:40.470]  Is this game for people who have never played a video game?
[01:10:40.610 --> 01:10:40.930]  Yes.
[01:10:42.950 --> 01:10:45.430]  This is the kind of game you give somebody if they're like,
[01:10:45.490 --> 01:10:48.430]  I'm thinking about getting into video games, but you don't want them to get into video games,
[01:10:48.530 --> 01:10:49.590]  because then they'll be insufferable.
[01:10:50.010 --> 01:10:51.850]  They're like, oh, check out Mafia, everybody loves that.
[01:10:51.930 --> 01:10:53.290]  And the guy's like, I don't know, man, I just...
[01:10:53.290 --> 01:10:56.230]  I don't mind when a game is this story front-loaded.
[01:10:56.970 --> 01:11:00.390]  I mean, for extreme, it would be nice if there was more action happening, but...
[01:11:00.970 --> 01:11:03.990]  As far as just, like, a game as a game, I have no issues.
[01:11:03.990 --> 01:11:06.850]  I just feel like I've done this in games about eight times.
[01:11:07.090 --> 01:11:10.870]  I've done this whole thing so much.
[01:11:12.870 --> 01:11:16.990]  Yeah, this feels like the equivalent of being told Spider-Man's origin story.
[01:11:20.090 --> 01:11:26.070]  He bit his finger.
[01:11:29.950 --> 01:11:32.130]  I've played this game six times.
[01:11:32.130 --> 01:11:34.790]  I've done this intro so much.
[01:11:43.060 --> 01:11:49.880]  I think this game is preparing you to have a lot of one-on-one knife fights.
[01:11:51.040 --> 01:11:53.500]  I mean, sounds awesome.
[01:11:53.960 --> 01:11:54.720]  I'm not mad at that.
[01:11:56.120 --> 01:11:56.780]  Pick up your knife.
[01:11:58.720 --> 01:12:00.380]  What's on the ground over there?
[01:12:00.900 --> 01:12:01.760]  You probably don't need it.
[01:12:01.760 --> 01:12:03.080]  It's probably back in your inventory immediately.
[01:12:03.080 --> 01:12:05.120]  He must have it. I think he picked it up and he handed it to you. I think you're fine.
[01:12:05.360 --> 01:12:06.340]  The knife? Yeah, you get it back.
[01:12:08.320 --> 01:12:08.920]  Hi, horse.
[01:12:09.420 --> 01:12:09.600]  Oh!
[01:12:10.500 --> 01:12:11.040]  Can you stab it?
[01:12:11.900 --> 01:12:12.180]  Nah.
[01:12:13.240 --> 01:12:14.680]  Can you put the horse's head up as well?
[01:12:22.370 --> 01:12:23.790]  We'll have to be quick if we want to make it to the game.
[01:12:23.790 --> 01:12:24.770]  A moat spur the horse?
[01:12:27.010 --> 01:12:27.870]  Clayton, not Satan.
