[00:00.000 --> 00:00.840]  That's a big logo.
[44:10.700 --> 44:11.980]  It's put me in...
[44:11.980 --> 44:13.520]  I never could walk!
[44:15.080 --> 44:15.780]  Oh, no!
[44:16.040 --> 44:16.600]  Oh, no!
[44:17.980 --> 44:19.820]  Is whoever's in the back just screwed?
[44:20.460 --> 44:21.660]  Yes, you put that there.
[44:21.760 --> 44:22.460]  You didn't know that?
[44:22.580 --> 44:24.560]  No, that's the first time I've been there.
[44:25.300 --> 44:26.940]  Yeah, it sucks every time it's not you.
[44:30.860 --> 44:31.580]  Diamond knight.
[44:39.200 --> 44:40.260]  Oh, no, it's me again.
[44:42.720 --> 44:43.480]  Well, I'm dead.
[44:44.780 --> 44:46.000]  Get off me.
[44:47.740 --> 44:49.440]  Oh, you can run along the top?
[44:49.540 --> 44:51.100]  Yes! Amazing!
[44:54.400 --> 44:56.020]  Oh, wow, he got the coin.
[44:56.240 --> 44:57.080]  And then he got hit.
[44:58.060 --> 44:58.340]  Oh.
[45:00.800 --> 45:02.180]  Oh, my God.
[45:02.680 --> 45:03.620]  This is great.
[45:03.700 --> 45:04.640]  This is the best level ever.
[45:04.880 --> 45:05.940]  This is really good.
[45:07.800 --> 45:09.560]  Whoa, whoa.
[45:09.560 --> 45:09.740]  Oh.
[45:21.710 --> 45:22.670]  I'm stuck.
[45:26.540 --> 45:27.020]  Car.
[45:27.160 --> 45:27.440]  Shit.
[45:27.920 --> 45:28.400]  Shit.
[45:30.520 --> 45:33.160]  Geoff's got this now.
[45:33.500 --> 45:34.460]  Come on, Geoff, you got it.
[45:34.520 --> 45:35.800]  Just don't go slow. You're going too slow.
[45:36.520 --> 45:37.380]  Oh, no.
[45:37.740 --> 45:38.420]  Keep jumping, Geoff.
[45:39.300 --> 45:39.780]  No!
[45:41.840 --> 45:42.580]  Go, Geoff, go!
[45:42.940 --> 45:43.400]  Yeah!
[45:46.920 --> 45:47.400]  Wow.
[45:47.400 --> 45:49.300]  Oh, and he's in the lead now.
[45:49.360 --> 45:50.860]  And Gavin's the underdog because he sucks.
[45:50.960 --> 45:51.620]  That's awesome.
[45:52.160 --> 45:53.940]  Well, it's a 5-0-1. We gotta go.
[45:55.160 --> 45:56.040]  It's 4-45.
[45:56.460 --> 45:56.980]  Damn it.
[45:57.920 --> 45:59.280]  Probably the perfect time to be 5-0-1.
[46:05.630 --> 46:06.530]  No, no, no, no!
[46:08.610 --> 46:10.150]  Damn it, Geoff. You suck.
[46:15.560 --> 46:15.940]  First!
[46:16.440 --> 46:17.200]  Good job.
[46:19.840 --> 46:20.600]  You idiot.
[46:20.600 --> 46:22.800]  Yeah, it is electrified all the time.
[46:22.940 --> 46:24.000]  Oh, that's crazy!
[46:24.180 --> 46:25.000]  That's so weird.
[46:25.440 --> 46:27.280]  That's so nuts. How strange.
[46:28.100 --> 46:29.540]  That's so fucking nuts.
[46:29.740 --> 46:31.580]  That's crazy. I can't believe nobody knew that.
[46:31.660 --> 46:34.460]  I mean, you said it, but I thought
[46:34.460 --> 46:35.160]  maybe you were wrong.
[46:36.800 --> 46:37.880]  Doesn't happen that often.
[46:46.180 --> 46:46.840]  Fuck me.
[46:51.500 --> 46:52.320]  Get off of you.
[46:53.060 --> 46:53.880]  Who put this here?
[46:53.940 --> 46:54.800]  Who put this up here?
[47:02.660 --> 47:03.500]  Who's the...
[47:03.500 --> 47:04.800]  You're in a hell loop.
[47:08.340 --> 47:10.100]  Who put this up here?
[47:12.060 --> 47:13.660]  Now, there's gotta be a way to get that coin.
[47:13.760 --> 47:14.600]  I need that coin.
[47:15.240 --> 47:18.180]  Yeah, you have to go down, get it, get back up, and go over.
[47:18.800 --> 47:19.940]  You better be quick, though.
[47:20.440 --> 47:21.200]  Yeah, check this out.
[47:21.980 --> 47:27.920]  Shit. I balled it.
[47:29.600 --> 47:30.880]  Just stand in there.
[47:31.500 --> 47:32.780]  Just stand in there.
[47:32.780 --> 47:34.200]  There's gotta be a way to do it.
[47:34.460 --> 47:36.880]  Okay. Here it is.
[47:37.020 --> 47:38.760]  Here it is. You gotta go down and get it.
[47:38.760 --> 47:40.020]  You gotta go down and get it.
[47:40.080 --> 47:40.340]  Shit.
[47:42.140 --> 47:42.960]  It's tense.
[47:43.980 --> 47:44.900]  It's very good.
[47:45.960 --> 47:48.060]  You gotta go down and get it if you want it.
[47:48.240 --> 47:49.180]  Oh, shit!
[47:49.860 --> 47:52.560]  Oh, my God. Amazing.
[47:53.100 --> 47:54.300]  Wow. Doesn't matter.
[47:55.120 --> 47:56.000]  Come on!
[48:00.400 --> 48:01.280]  Congratulations, Raccoon.
[48:01.280 --> 48:03.740]  Dude, that's great. I wanna play that level again.
[48:03.800 --> 48:04.340]  Yeah, let's do it again.
[48:04.740 --> 48:07.520]  Oh, God. Yeah, that's a good one.
[48:08.100 --> 48:09.020]  Let me turn on a mod.
[48:09.780 --> 48:10.380]  Yeah, yeah, yeah.
[48:13.180 --> 48:15.640]  I'm gonna go over here and change my handicap Andrew style
[48:15.640 --> 48:18.000]  and then be really confused about why I did that.
[48:31.040 --> 48:31.440]  Frictionless?
[48:31.740 --> 48:34.280]  What about...
[48:39.580 --> 48:39.980]  Ghosts!
[48:40.380 --> 48:41.140]  What does that mean?
[48:41.440 --> 48:44.800]  When you die, you can just become a shovey little annoying bastard.
[48:44.800 --> 48:46.160]  Oh, that's...
[48:46.160 --> 48:47.480]  Oh, for this level? That's great.
[48:47.520 --> 48:48.720]  That's gonna be great for Geoff.
[48:50.080 --> 48:50.780]  Get on.
[48:50.960 --> 48:51.720]  You can't see me.
[48:58.010 --> 48:59.650]  Gavin's not gonna let you come over and play pinball.
[49:04.230 --> 49:04.870]  Hey, guys.
[49:04.950 --> 49:06.410]  The track's always electrified.
[49:07.890 --> 49:09.310]  No, I don't think so.
[49:13.740 --> 49:16.260]  Ooh, early builds going crazy right now.
[49:19.670 --> 49:20.550]  Holy shit.
[49:20.570 --> 49:21.650]  That's a scythe.
[49:21.770 --> 49:22.590]  You made a scythe.
[49:22.770 --> 49:24.650]  That's great. Love that.
[49:24.890 --> 49:25.790]  Oh, no!
[49:26.530 --> 49:30.090]  Can I get to the end before...
[49:34.830 --> 49:36.070]  Wait, Geoff was alive?
[49:36.970 --> 49:37.390]  Was I?
[49:37.810 --> 49:38.210]  No.
[49:38.490 --> 49:39.490]  I don't think so.
[49:40.390 --> 49:40.990]  I'm pretty dead.
[49:42.490 --> 49:44.810]  Okay, I guess I'll get someone else.
[49:46.930 --> 49:48.070]  Oh, that's a good one.
[49:48.070 --> 49:48.950]  I like this one.
[49:50.870 --> 49:51.430]  Oops!
[49:51.610 --> 49:53.850]  Oh! Ah, sticky!
[49:57.990 --> 49:59.610]  Gotta keep getting fucking zapped.
[50:00.810 --> 50:02.010]  It's always electrified.
[50:17.950 --> 50:19.430]  You know, we gotta get
[50:19.430 --> 50:20.310]  something a little further out.
[50:21.930 --> 50:23.030]  Double scythe.
[50:23.610 --> 50:24.090]  Ha!
[50:26.510 --> 50:27.470]  Oh, shit!
[50:33.860 --> 50:34.820]  There's just...
[50:36.560 --> 50:38.380]  We refuse to build anything
[50:38.380 --> 50:40.020]  that will let us finish this.
[50:46.000 --> 50:46.980]  Somebody said it sounds like
[50:46.980 --> 50:48.440]  there's Billy Joel playing in the background.
[50:52.680 --> 50:54.840]  Why did I get this? I don't want to blow anything up.
[50:54.840 --> 50:56.780]  No, it's perfect. Everything's perfect.
[50:58.960 --> 51:01.000]  That was the only way we can win!
[51:01.040 --> 51:02.320]  The only way.
[51:09.140 --> 51:10.300]  Oh, come on!
[51:10.420 --> 51:11.200]  That was in the front.
[51:12.120 --> 51:13.240]  Oh, god damn it!
[51:14.960 --> 51:16.360]  Now, Geoff, imagine if you had that
[51:16.360 --> 51:17.460]  thing that could help you win.
[51:17.600 --> 51:19.500]  Oh my god, why did you wait for the...
[51:19.500 --> 51:20.680]  You could have waited for the train.
[51:21.040 --> 51:24.380]  Yeah, but I don't think you can move
[51:24.380 --> 51:26.320]  fast enough to...
[51:26.320 --> 51:27.780]  You can? Yeah, I don't think so.
[51:27.820 --> 51:29.880]  I don't think you can jump fast enough and move forward fast enough for it.
[51:30.060 --> 51:30.500]  Watch this.
[51:34.820 --> 51:36.380]  I don't want you going up here.
[51:37.340 --> 51:38.060]  You suck!
[51:38.320 --> 51:38.700]  What do you mean?
[51:40.020 --> 51:40.740]  Oh, shit!
[51:45.240 --> 51:45.600]  No!
[51:50.660 --> 51:52.480]  That's an ugly start now, I'll be honest.
[52:04.420 --> 52:05.360]  Oh, you're a genius.
[52:07.440 --> 52:08.140]  Oh, god.
[52:08.860 --> 52:09.960]  You're a hell monster.
[52:12.220 --> 52:13.240]  No, you...
[52:16.140 --> 52:16.620]  Motherfucker.
[52:18.280 --> 52:20.060]  Oh, I had it!
[52:21.020 --> 52:22.080]  Oh, Geoff, you suck!
[52:22.120 --> 52:22.760]  I hate you!
[52:25.840 --> 52:28.060]  I like when I'm a ghost, it makes me look
[52:28.060 --> 52:29.000]  bald with a wig.
[52:30.300 --> 52:30.900]  Soon enough.
[52:32.400 --> 52:33.480]  You think I'll go wig?
[52:33.760 --> 52:34.100]  I might.
[52:37.620 --> 52:38.740]  Dude, wigs are cool.
[52:42.500 --> 52:43.360]  Damn it.
[52:45.220 --> 52:46.340]  That's all you, man.
[52:46.700 --> 52:49.500]  Oh, you jumped on me
[52:49.500 --> 52:51.020]  as a ghost and it fucked me.
[52:53.260 --> 52:54.300]  Jesus Christ.
[53:07.010 --> 53:08.050]  I fucking
[53:08.050 --> 53:09.310]  moved it one too far down.
[53:09.830 --> 53:12.010]  I meant to hit it and it just didn't go.
[53:12.910 --> 53:13.530]  Move, Geoff!
[53:14.290 --> 53:14.950]  What's up?
[53:14.950 --> 53:16.510]  You keep killing me!
[53:17.550 --> 53:19.430]  Yeah, he's been known to do that.
[53:21.330 --> 53:22.690]  Oh, god damn it!
[53:24.910 --> 53:26.210]  Will Geoff make it?
[53:26.290 --> 53:27.810]  Will he blow it?
[53:29.890 --> 53:31.150]  In the black hole?
[53:31.170 --> 53:31.710]  Oh, he made it!
[53:32.010 --> 53:33.090]  No way!
[53:34.730 --> 53:35.030]  Unbelievable!
[53:36.490 --> 53:37.650]  That's bullshit.
[53:38.090 --> 53:38.590]  Wow.
[53:39.710 --> 53:41.890]  I would call it bull awesome.
[53:41.890 --> 53:42.270]  Bull awesome?
[53:43.910 --> 53:45.550]  You'd call it bull awesome?
[53:45.810 --> 53:46.090]  Yeah.
[53:51.750 --> 53:53.250]  Damn it, there's a flamethrower there now.
[53:54.330 --> 53:55.930]  Oh, hey, there's a flamethrower up there now.
[53:55.970 --> 53:56.230]  Watch out.
[53:57.130 --> 53:57.630]  Damn it.
[53:59.090 --> 54:00.830]  Oh, my body looks messed.
[54:04.130 --> 54:05.730]  Oh, god. This is tough.
[54:06.730 --> 54:07.750]  It is 454.
[54:08.210 --> 54:09.770]  Guys, we're getting on to 501.
[54:09.770 --> 54:10.870]  I'm feeling good about it.
[54:11.010 --> 54:12.590]  What a week it's been.
[54:13.590 --> 54:16.470]  Filmed a lot of regulation content this week, I feel like.
[54:16.710 --> 54:16.930]  Yep.
[54:17.370 --> 54:18.170]  Did some podcasts.
[54:18.690 --> 54:19.530]  A podcast.
[54:21.210 --> 54:23.810]  Did two supplementals.
[54:23.990 --> 54:24.970]  Damn it, Geoff!
[54:25.290 --> 54:27.430]  A bunch of other supplementals.
[54:27.970 --> 54:29.550]  Eric's audio's fucked up on two of them.
[54:30.030 --> 54:31.630]  Oh, my god, dude. No kidding.
[54:32.870 --> 54:33.750]  What a headache.
[54:34.770 --> 54:35.390]  For Nick.
[54:35.390 --> 54:35.470]  For Nick.
[54:40.900 --> 54:41.340]  Yes!
[54:44.500 --> 54:45.540]  Oh, this is great.
[54:46.720 --> 54:48.160]  This is how we do it.
[54:58.760 --> 54:59.200]  You...
[55:02.020 --> 55:03.580]  Yeah? How's the underneath of that?
[55:06.760 --> 55:08.300]  Get those coins. Get the lead.
[55:08.680 --> 55:09.360]  Oh, fuck me.
[55:09.780 --> 55:10.700]  I need those coins.
[55:14.700 --> 55:14.940]  Oh!
[55:16.000 --> 55:17.660]  You idiot. You idiot.
[55:17.960 --> 55:18.820]  You fool.
[55:19.880 --> 55:22.220]  The greed got me. The two-coin greed.
[55:23.880 --> 55:24.680]  Last turn!
[55:26.300 --> 55:27.100]  Oh, shit.
[55:27.840 --> 55:28.360]  Oh, dear.
[55:28.980 --> 55:30.360]  That was a lot of bombs.
[55:31.940 --> 55:34.020]  No! My creation!
[55:34.620 --> 55:36.780]  Yes. I want a shot
[55:36.780 --> 55:37.720]  at getting this done.
[55:38.100 --> 55:39.720]  Okay. Let's do it.
[55:40.340 --> 55:41.280]  Last one. There's a raw neck.
[55:41.280 --> 55:41.620]  Oh.
[55:45.880 --> 55:46.320]  Shit.
[55:55.130 --> 55:56.530]  Don't fucking black hole!
[55:56.790 --> 55:56.990]  No!
[56:00.190 --> 56:01.850]  Damn it. He trapped me, too.
[56:02.070 --> 56:02.910]  The trap point.
[56:03.650 --> 56:05.210]  You're the ultimate raccoon, Eric.
[56:05.650 --> 56:07.210]  My hat's off to you. Congratulations.
[56:07.210 --> 56:08.030]  Yes, sir. Yes, sir.
[56:08.770 --> 56:09.230]  Oh, no.
[56:12.190 --> 56:13.090]  It's not 5-0-1 yet.
[56:13.790 --> 56:14.630]  Wanna do it one more time?
[56:14.830 --> 56:15.410]  Final round.
[56:15.410 --> 56:16.510]  Different map?
[56:17.490 --> 56:19.030]  Sure. Let's unlock something on Waterfall.
[56:20.010 --> 56:20.650]  Oh, please.
[56:21.330 --> 56:23.010]  And Geoff just unlocked this map.
[56:23.650 --> 56:23.930]  That's true.
[56:28.350 --> 56:29.870]  You tried so hard.
[56:31.250 --> 56:32.550]  I don't know what you're talking about.
[56:33.790 --> 56:35.530]  Whoops. Why'd I want that?
[56:35.850 --> 56:36.430]  Idiot.
[56:41.620 --> 56:43.500]  Geoff. What? Why?
[56:44.080 --> 56:45.320]  Good god damn.
[56:46.120 --> 56:47.220]  What's wrong with you?
[56:50.100 --> 56:51.340]  There we go.
[56:52.520 --> 56:53.760]  We're not gonna be able to do it
[56:53.760 --> 56:54.960]  with that placement.
[57:05.400 --> 57:06.640]  Well, here we go.
[57:07.620 --> 57:08.760]  I didn't want that.
[57:09.040 --> 57:09.440]  Hold on.
[57:17.620 --> 57:18.360]  Get me up there.
[57:18.940 --> 57:19.700]  Get me up there.
[57:19.700 --> 57:20.720]  Ow.
[57:23.340 --> 57:23.940]  Yes!
[57:24.360 --> 57:24.680]  No!
[57:25.040 --> 57:26.680]  How'd you do that?
[57:26.820 --> 57:28.080]  I jumped on your little head.
[57:28.640 --> 57:29.700]  God damn it.
[57:30.880 --> 57:32.680]  Thanks to your forehead, I made it.
[57:32.860 --> 57:33.320]  Fuck.
[57:34.900 --> 57:35.200]  Ah!
[57:37.020 --> 57:38.220]  Watch out.
[57:40.140 --> 57:41.440]  Wonder what that would have looked like
[57:41.440 --> 57:43.780]  from my perspective of just the top of an elephant's head.
[57:45.920 --> 57:47.020]  See the trunk.
[57:50.640 --> 57:51.080]  Alright.
[57:51.180 --> 57:53.240]  That's all I need, so time to sabotage.
[57:58.830 --> 58:00.770]  Geoff, we need something to jump on on the right.
[58:01.050 --> 58:01.470]  Okay.
[58:03.230 --> 58:05.030]  At the top, not the bottom.
[58:08.670 --> 58:10.410]  You got hit on my screen.
[58:12.530 --> 58:12.970]  Nah, I'm in.
[58:13.150 --> 58:13.190]  Oh!
[58:14.710 --> 58:16.370]  Hoisted by my own pitard.
[58:17.650 --> 58:18.790]  He's my favorite Star Trek
[58:19.370 --> 58:19.650]  captain.
[58:21.690 --> 58:23.190]  Someone get under me.
[58:23.290 --> 58:24.090]  Nope.
[58:55.740 --> 58:57.420]  Oh shit,
[58:57.480 --> 58:58.780]  it hits the water and dies?
[59:00.280 --> 59:01.020]  Oops.
[59:01.460 --> 59:02.000]  Oh!
[59:02.200 --> 59:03.520]  Go Geoff!
[59:03.740 --> 59:04.880]  What a move!
[59:05.920 --> 59:07.220]  What a move!
[59:08.780 --> 59:10.040]  I think Eric's lie
[59:10.040 --> 59:11.060]  killed me.
[59:14.120 --> 59:14.920]  What hits
[59:14.920 --> 59:15.680]  the water and dies?
[59:16.240 --> 59:18.420]  I watched the plane get all wavy.
[59:18.520 --> 59:19.400]  I thought it hit the water.
[59:19.600 --> 59:20.780]  I thought it hit the water and died.
[59:20.980 --> 59:23.460]  You made me jump off it before the water and it carried on.
[59:23.920 --> 59:26.040]  Oh no, what are we going to do?
[59:38.660 --> 59:39.640]  Go get all of it.
[59:40.140 --> 59:40.720]  Go Geoff, go!
[59:41.180 --> 59:41.700]  Go Geoff, go!
[59:42.600 --> 59:43.960]  Level discovered for Geoff!
[59:47.120 --> 59:47.520]  Wow.
[59:47.520 --> 59:47.860]  Wow.
[59:49.440 --> 59:49.960]  459.
[59:50.980 --> 59:51.980]  We're so close.
[59:53.180 --> 59:53.700]  What?
[01:00:09.200 --> 01:00:10.060]  Try to time
[01:00:10.060 --> 01:00:11.040]  that just right, it didn't work.
[01:00:11.540 --> 01:00:12.380]  Oh damn it Geoff.
[01:00:13.360 --> 01:00:14.640]  I didn't see that.
[01:00:17.040 --> 01:00:18.080]  You idiot.
[01:00:19.180 --> 01:00:20.040]  That was dog
[01:00:20.040 --> 01:00:20.740]  shit timing.
[01:00:21.560 --> 01:00:21.760]  Oh!
[01:00:25.140 --> 01:00:25.920]  Yeah, let's
[01:00:25.920 --> 01:00:26.620]  make it slippery.
[01:00:27.160 --> 01:00:28.100]  That's what we need.
[01:01:03.690 --> 01:01:04.650]  Oh no!
[01:01:05.050 --> 01:01:06.850]  I went around it, I did a full circle.
[01:01:07.690 --> 01:01:08.170]  501!
[01:01:08.310 --> 01:01:09.850]  It is 501.
[01:01:10.330 --> 01:01:11.630]  Best time of the week baby.
[01:01:13.010 --> 01:01:14.970]  Alright, I guess that's it for us.
[01:01:15.350 --> 01:01:16.210]  Geoff wins.
[01:01:16.210 --> 01:01:17.330]  Alright baby, we gotta get this done.
[01:01:18.030 --> 01:01:20.310]  What if from now on we just hit 0F4
[01:01:20.310 --> 01:01:21.250]  at 501?
[01:01:23.130 --> 01:01:23.930]  Insane mode.
[01:01:29.950 --> 01:01:32.790]  Guess we gotta see who the ultimate
[01:01:33.690 --> 01:01:34.490]  whatever is.
[01:01:35.750 --> 01:01:36.150]  Oh!
[01:01:36.310 --> 01:01:37.110]  Oh what the fuck!
[01:01:37.450 --> 01:01:40.670]  Went too far
[01:01:40.670 --> 01:01:42.210]  boys. Quitting time.
[01:01:42.490 --> 01:01:44.270]  501 guys, thanks so much for watching us.
[01:01:44.330 --> 01:01:46.150]  We're getting close to being the end here.
[01:01:46.150 --> 01:01:47.630]  I think there's only a couple rounds left.
[01:01:48.210 --> 01:01:50.050]  Can't stop now, we care too much.
[01:01:51.290 --> 01:01:52.190]  Unfortunately it's
[01:01:52.190 --> 01:01:52.490]  true.
[01:01:53.950 --> 01:01:56.030]  We'll stop unless there's a level 50 hype train
[01:01:56.030 --> 01:01:57.230]  and then I guess we'll...
[01:01:57.230 --> 01:01:58.470]  Good lord.
[01:02:02.490 --> 01:02:03.010]  Animal.
[01:02:05.810 --> 01:02:06.490]  We all are.
[01:02:07.390 --> 01:02:07.910]  No!
[01:02:09.550 --> 01:02:10.590]  Damn it!
[01:02:11.490 --> 01:02:11.990]  Yeah baby!
[01:02:13.250 --> 01:02:13.690]  Uh...
[01:02:17.780 --> 01:02:18.220]  Wow
[01:02:18.220 --> 01:02:19.680]  Geoff, look at the moves!
[01:02:19.960 --> 01:02:20.360]  Damn it!
[01:02:21.600 --> 01:02:23.120]  Dude, I'm a bouncy little elephant.
[01:02:24.360 --> 01:02:25.780]  Oh my god!
[01:02:26.160 --> 01:02:28.160]  It's getting close, three turns left.
[01:02:28.160 --> 01:02:28.660]  This could be it.
[01:02:29.460 --> 01:02:31.360]  This could be it.
[01:02:31.760 --> 01:02:34.380]  Is it it? We don't know, but it could be.
[01:02:49.170 --> 01:02:49.990]  Come here, come here
[01:02:49.990 --> 01:02:51.150]  you little rat, come here!
[01:02:52.130 --> 01:02:53.430]  Sorry, I can't hear you.
[01:02:53.630 --> 01:02:54.570]  I'm all the way up here.
[01:02:55.850 --> 01:02:56.670]  I'm all the way
[01:02:56.670 --> 01:02:57.690]  I guess you guys missed it.
[01:02:57.690 --> 01:02:59.070]  I'm all the way up here.
[01:03:00.970 --> 01:03:02.450]  You gotta kill Geoff though
[01:03:02.450 --> 01:03:03.370]  because otherwise he wins.
[01:03:03.830 --> 01:03:06.790]  Raise your monyehas in the chat.
[01:03:07.390 --> 01:03:08.250]  Raise your monyehas.
[01:03:10.390 --> 01:03:11.010]  Tackle him!
[01:03:12.870 --> 01:03:13.810]  Fly elephant!
[01:03:17.130 --> 01:03:17.790]  We did it.
[01:03:19.410 --> 01:03:20.410]  Geoff wins
[01:03:20.410 --> 01:03:21.910]  it's unbelievable...
[01:03:21.910 --> 01:03:24.810]  Wait, why'd you die?
[01:03:24.910 --> 01:03:25.910]  You just jumped out of your body.
[01:03:26.370 --> 01:03:28.230]  I'm the ultimate elephant and I'm dead.
[01:03:28.430 --> 01:03:30.030]  You just jumped out of your skin.
[01:03:31.790 --> 01:03:32.310]  Wow.
[01:03:32.510 --> 01:03:34.770]  Alright guys, thank you very much.
[01:03:35.090 --> 01:03:37.090]  Appreciate you guys coming through.
[01:03:37.510 --> 01:03:38.690]  That was a lot of fun.
[01:03:39.550 --> 01:03:41.190]  Watch this VOD on Tuesday
[01:03:41.190 --> 01:03:42.650]  if you're watching this on Tuesday.
[01:03:42.870 --> 01:03:44.770]  Come back through on Friday
[01:03:45.430 --> 01:03:46.470]  4pm central.
[01:03:46.790 --> 01:03:48.790]  Guys, we'll see you next time.
[01:03:50.850 --> 01:03:51.890]  Regulatrion.com
[01:03:52.590 --> 01:03:53.270]  Nice.
[01:03:53.790 --> 01:03:55.070]  Geoff.sucks
[01:03:55.070 --> 01:03:57.570]  There's some good shit up on the Patreon.
[01:04:00.330 --> 01:04:01.010]  Bye!
[01:04:01.210 --> 01:04:03.610]  I said my piece.
