[00:00.000 --> 00:01.520]  I changed my head.
[34:58.600 --> 34:59.420]  Nice shot!
[35:00.260 --> 35:00.920]  Good lead.
[35:01.120 --> 35:02.880]  Sorry, I got greedy, Andrew.
[35:03.320 --> 35:03.800]  That's my fault.
[35:06.040 --> 35:07.180]  Let's go to the top, Geoff.
[35:07.900 --> 35:09.260]  We just need one more.
[35:09.260 --> 35:10.700]  Kill this bat.
[35:10.860 --> 35:12.840]  God damn it.
[35:14.340 --> 35:15.520]  Oh, damn it!
[35:15.940 --> 35:16.340]  Geoff, you got it.
[35:16.560 --> 35:18.060]  Boom, baby.
[35:18.940 --> 35:20.740]  Geoff's the fucking star here, baby.
[35:20.900 --> 35:21.540]  Me and you, Geoff.
[35:21.780 --> 35:24.680]  Got it. Fast. Nailed it.
[35:25.280 --> 35:25.820]  Easy.
[35:28.060 --> 35:29.040]  We let go?
[35:29.720 --> 35:30.080]  Damn it.
[35:31.260 --> 35:33.060]  Dude, I gotta say,
[35:33.200 --> 35:36.000]  Geoff, you need to watch that back.
[35:36.300 --> 35:37.450]  You were fucking locked
[35:38.330 --> 35:38.890]  in.
[35:39.450 --> 35:40.850]  Thank you very much.
[35:41.190 --> 35:41.230]  That was wild.
[35:42.650 --> 35:45.350]  Whatever this type of game is,
[35:45.950 --> 35:47.450]  that's your fucking lane.
[35:47.770 --> 35:48.650]  That was crazy.
[35:48.950 --> 35:51.550]  I felt like I was in Full Metal Jacket
[35:51.550 --> 35:52.390]  when they're in the helicopter
[35:52.390 --> 35:54.370]  and the Joker's like,
[35:54.470 --> 35:56.350]  how can you kill women and children?
[35:56.950 --> 35:58.370]  And the dude's like, it's easy,
[35:58.430 --> 36:00.030]  you just don't lead them as much.
[36:00.170 --> 36:01.910]  I just needed to figure out how much
[36:01.910 --> 36:03.190]  to lead the lollipops.
[36:03.950 --> 36:05.910]  You led them just enough, bud.
[36:06.110 --> 36:06.330]  Way to go.
[36:06.330 --> 36:08.150]  When are we taking you to a carnival, Geoff?
[36:08.570 --> 36:10.530]  We got some prizes to win.
[36:11.450 --> 36:13.130]  I've always been a crack shot.
[36:13.310 --> 36:13.730]  Let's go!
[36:15.710 --> 36:17.450]  We're gonna go to a carnival
[36:17.450 --> 36:18.490]  and get those prizes.
[36:18.990 --> 36:21.170]  Guys, thank you so much for watching this.
[36:21.270 --> 36:22.850]  If you want to follow us,
[36:23.970 --> 36:25.950]  depends on when this comes out.
[36:29.650 --> 36:30.550]  What do we say?
[36:30.550 --> 36:31.750]  I don't know why you said that.
[36:31.890 --> 36:34.450]  Thanks for listening to another
[36:34.450 --> 36:36.010]  Regulation Gameplay.
[36:36.110 --> 36:38.190]  We hope you enjoyed it.
[36:38.970 --> 36:40.490]  Keep on the lookout for more
[36:40.490 --> 36:42.670]  Regulation Gameplays. They may appear
[36:42.670 --> 36:44.390]  in different spots, who knows,
[36:44.590 --> 36:45.690]  but they will appear.
[36:46.150 --> 36:48.490]  We love ya. See ya next time.
