[00:00.000 --> 00:00.680]  Andrew, thoughts?
[38:19.260 --> 38:20.080]  2...
[38:20.080 --> 38:20.600]  1...
[38:20.600 --> 38:24.360]  We'll just sink.
[38:24.360 --> 38:24.860]  Whoop.
[38:27.480 --> 38:28.100]  Oh, really?
[38:31.360 --> 38:32.760]  Are we back on the button?
[38:37.420 --> 38:38.560]  Extra grow longer?
[38:38.900 --> 38:40.860]  Oh, dude, my hat looks crazy.
[38:41.700 --> 38:42.180]  There you go, Eric.
[38:42.500 --> 38:44.180]  How do I...
[38:44.180 --> 38:44.820]  Do you want to get on?
[38:45.420 --> 38:47.380]  Yeah, if you would stop, I could do it.
[38:47.940 --> 38:48.260]  Get on.
[38:49.680 --> 38:51.140]  What am I supposed to do here?
[38:51.140 --> 38:51.960]  Oh, shit.
[38:53.180 --> 38:54.220]  Do we have to get this ball?
[38:56.220 --> 38:58.180]  I like that the hats go up with it.
[38:58.420 --> 38:58.780]  Oh.
[39:01.160 --> 39:02.800]  So we'll have to, like, make it go down
[39:02.800 --> 39:04.120]  and then up again?
[39:06.120 --> 39:07.160]  You can probably hit it.
[39:07.160 --> 39:08.540]  Oh, so we should start low, then.
[39:08.620 --> 39:09.320]  We should start low.
[39:09.440 --> 39:12.360]  And have someone who's the longest at the end.
[39:12.800 --> 39:13.720]  And then medium.
[39:13.940 --> 39:15.180]  And so on and so forth.
[39:17.600 --> 39:18.980]  You should probably be lower, Andrew.
[39:18.980 --> 39:21.320]  Remember, you can jump hit it.
[39:21.600 --> 39:21.920]  Yep.
[39:25.560 --> 39:26.900]  Don't catch it in your ear holes.
[39:28.020 --> 39:28.120]  Oh.
[39:28.620 --> 39:31.540]  I was trying to see if I could jump it up.
[39:32.160 --> 39:32.540]  You can't.
[39:32.920 --> 39:34.060]  I think you just hit jump.
[39:34.480 --> 39:35.480]  Yeah, jump's the way to do it.
[39:37.100 --> 39:37.920]  That was good.
[39:38.360 --> 39:39.900]  Okay, we might need to spread out a little bit more.
[39:40.320 --> 39:41.060]  Let's get spread.
[39:43.500 --> 39:44.620]  Make sure you hit the jump.
[39:53.990 --> 39:54.390]  Sorry?
[40:02.890 --> 40:04.030]  Geoff, why do you never jump?
[40:05.190 --> 40:06.390]  I'm jumping every time!
[40:07.250 --> 40:08.070]  You don't see my character
[40:08.070 --> 40:08.890]  jumping in the air?
[40:09.550 --> 40:11.250]  No, we do not see your character jumping in the air.
[40:11.310 --> 40:12.590]  Why doesn't Green ever jump?
[40:13.850 --> 40:15.690]  Why would I need to jump? I'm locked in.
[40:15.950 --> 40:17.830]  I'm setting it up perfectly.
[40:18.090 --> 40:20.130]  If he was shorter, he could probably get
[40:20.130 --> 40:21.250]  some fucking height off of it.
[40:22.410 --> 40:23.330]  There's a wall.
[40:24.470 --> 40:24.970]  Yeah, but no.
[40:25.890 --> 40:28.110]  Gavin, you understand what I'm saying, right?
[40:29.050 --> 40:31.050]  Boy, if that doesn't sum this up.
[40:31.450 --> 40:31.730]  Okay, here.
[40:31.830 --> 40:33.730]  Yeah, but no.
[40:34.430 --> 40:35.430]  What am I going to do here?
[40:35.470 --> 40:37.090]  I've got like half a mile to get my ball.
[40:37.210 --> 40:37.730]  Oh, I see.
[40:38.550 --> 40:39.930]  Thank you, Christ.
[40:41.230 --> 40:42.810]  Yeah, right into the wall, yeah.
[40:43.590 --> 40:44.890]  Right, but it goes further still
[40:44.890 --> 40:45.730]  for you having shrunk.
[40:47.050 --> 40:49.390]  Okay, scoot over, scoot over.
[40:50.470 --> 40:51.590]  Was Eric right again?
[40:52.210 --> 40:53.950]  No, he was partially right.
[40:54.410 --> 40:55.130]  Oh, cool.
[40:55.930 --> 40:58.170]  No, no, he was only partially right.
[40:58.270 --> 40:59.470]  Okay. Right, partially right.
[40:59.870 --> 41:01.650]  Geoff was also partially right.
[41:01.870 --> 41:03.030]  Yeah, Geoff was definitely partially right.
[41:03.050 --> 41:05.530]  I've been making this over to you dunces the whole time.
[41:06.510 --> 41:07.330]  Oh, well.
[41:08.170 --> 41:09.630]  Reach Gavin for the first time.
[41:10.110 --> 41:11.270]  I panicked, didn't know what to do.
[41:14.150 --> 41:15.030]  What do you want from me?
[41:15.690 --> 41:17.090]  Maybe you need to get higher.
[41:17.810 --> 41:18.230]  There you go.
[41:19.910 --> 41:21.390]  Alright, get on my ear.
[41:21.390 --> 41:21.970]  Okay.
[41:23.290 --> 41:24.130]  Thank you.
[41:29.970 --> 41:30.590]  Go ahead.
[41:31.850 --> 41:32.430]  Go ahead.
[41:32.650 --> 41:33.670]  No, they did it!
[41:34.510 --> 41:35.270]  We are free.
[41:35.890 --> 41:37.270]  We are free.
[41:38.310 --> 41:40.770]  My ears are too long to open the door. What's going on?
[41:41.350 --> 41:42.070]  Get in the...
[41:42.730 --> 41:43.570]  This is great.
[41:45.910 --> 41:47.210]  Guys, thanks so much for watching.
[41:47.270 --> 41:48.330]  We're trying to take it to 501.
[41:48.330 --> 41:49.510]  We hope you appreciate it.
[41:49.510 --> 41:51.510]  We have a VOD coming out for this on Tuesday.
[41:52.450 --> 41:54.310]  Did you say we hope you appreciate it?
[41:54.630 --> 41:55.750]  Yeah, we hope you appreciate this.
[41:56.350 --> 41:56.570]  Oh.
[41:57.990 --> 41:59.970]  Do you not hope that it's appreciated?
[42:00.290 --> 42:01.810]  I was appreciating them for watching.
[42:03.170 --> 42:03.870]  Yeah, what are you hoping for?
[42:03.870 --> 42:05.970]  I just hope it's appreciated.
[42:06.130 --> 42:07.030]  I appreciate it.
[42:07.150 --> 42:09.390]  What the hell?
[42:09.390 --> 42:11.290]  Jill turns you upside down.
[42:11.950 --> 42:12.390]  Oh.
[42:13.870 --> 42:15.230]  10-4 is piss, right?
[42:16.630 --> 42:17.230]  10-4?
[42:17.650 --> 42:18.590]  No, 10-1 is piss.
[42:18.790 --> 42:20.510]  10-1 is piss, 10-4 is like, okay?
[42:21.050 --> 42:21.230]  Yeah.
[42:22.130 --> 42:24.710]  Oh, what the fuck?
[42:24.910 --> 42:27.790]  We have to make a little stack and then flip on the end of the stack.
[42:28.590 --> 42:30.990]  Oh, so we're gonna have to...
[42:34.670 --> 42:37.170]  Could you double so you end up jumping?
[42:39.230 --> 42:40.290]  No, you only do it once.
[42:40.470 --> 42:42.530]  So we're gonna have to stack on...
[42:42.530 --> 42:43.970]  Gang off the ceiling.
[42:44.150 --> 42:44.890]  On me.
[42:45.590 --> 42:46.950]  There you go.
[42:48.030 --> 42:48.230]  Okay.
[42:49.610 --> 42:52.990]  And then you would stack there and then forward and then stack.
[42:53.090 --> 42:55.150]  And then Nick would be able to make the transfer.
[42:55.270 --> 42:55.790]  Please stop moving.
[42:56.030 --> 42:56.430]  Oh my god.
[42:58.130 --> 42:59.550]  Nick, you hit the button.
[43:00.670 --> 43:02.110]  He's not gonna be close enough.
[43:02.470 --> 43:02.910]  Yeah, he will.
[43:03.090 --> 43:07.390]  Well, let me tell you, I tried to jump after...
[43:07.390 --> 43:08.850]  Yeah, I don't think you're close enough.
[43:09.470 --> 43:09.730]  No.
[43:09.730 --> 43:11.290]  Nah, you're close enough.
[43:11.510 --> 43:14.150]  Maybe we just need to get further spread.
[43:14.710 --> 43:15.290]  Gavin, thoughts?
[43:15.510 --> 43:17.770]  I don't know how much more spread we can do.
[43:18.350 --> 43:19.990]  Yeah, I think we can do a little bit more.
[43:20.150 --> 43:20.570]  That was really spread.
[43:20.570 --> 43:22.110]  I think we can do a little more.
[43:24.630 --> 43:25.410]  Gavin, thoughts?
[43:28.490 --> 43:29.530]  Missed the old jump there.
[43:30.170 --> 43:31.390]  This is Gavin's kryptonite.
[43:31.590 --> 43:32.010]  This level.
[43:37.080 --> 43:37.800]  Oh, sorry.
[43:37.800 --> 43:38.640]  Oh, sorry.
[43:40.420 --> 43:41.060]  Locked in.
[43:43.620 --> 43:45.740]  If you jump under someone's...
[43:45.740 --> 43:48.320]  What happens if you jump under someone?
[43:48.380 --> 43:49.060]  Does it lift them?
[43:49.700 --> 43:50.300]  To the other floor?
[43:51.100 --> 43:52.140]  I don't know.
[43:52.580 --> 43:54.640]  What if Nick jumps now?
[43:56.100 --> 43:56.540]  Nothing.
[44:01.600 --> 44:02.760]  Everybody line up.
[44:03.060 --> 44:04.960]  Geoff, you go as far to the right as you can.
[44:06.640 --> 44:07.680]  Boy, I can't tell.
[44:07.680 --> 44:08.400]  Shit.
[44:09.460 --> 44:11.160]  Wait, wait, wait.
[44:12.140 --> 44:13.320]  We can start it over.
[44:13.740 --> 44:14.540]  Gavin, go left.
[44:15.920 --> 44:16.500]  Gavin, go left.
[44:16.920 --> 44:18.180]  There you go.
[44:19.720 --> 44:20.960]  I'll just be on the bottom now.
[44:21.120 --> 44:21.860]  Oh my god.
[44:24.000 --> 44:25.380]  Make room for other people to do it.
[44:26.320 --> 44:27.680]  I think I've already made enough room.
[44:28.060 --> 44:29.580]  I disagree, but that's fine.
[44:30.300 --> 44:30.880]  Alright, hold on.
[44:31.580 --> 44:33.080]  Alright, one more time, boys.
[44:33.540 --> 44:34.200]  That's okay.
[44:34.200 --> 44:35.660]  No, you guys...
[44:36.200 --> 44:36.980]  There we go.
[44:38.520 --> 44:38.880]  Perfect.
[44:39.360 --> 44:40.020]  Hold on, hold on.
[44:42.060 --> 44:44.880]  God, you have to be pixel perfect.
[44:46.880 --> 44:47.840]  I don't know that I can...
[44:47.840 --> 44:48.840]  Gavin, you have to go more to the right.
[44:49.020 --> 44:50.540]  Just jump and try, man.
[44:51.480 --> 44:53.780]  If you even hit the jump, you just drop.
[44:53.800 --> 44:55.220]  I think Geoff needs to move.
[44:56.060 --> 44:58.000]  I think Geoff needs to go a little bit more right.
[44:58.140 --> 44:59.220]  I think Gavin needs to also.
[45:00.640 --> 45:01.000]  Use...
[45:01.000 --> 45:01.900]  There we go.
[45:02.680 --> 45:04.920]  Do you think if Gavin goes a little more right, we're still there?
[45:05.360 --> 45:06.240]  Yeah, I think so.
[45:06.280 --> 45:07.020]  I think we're fine now.
[45:09.200 --> 45:09.920]  Hang on.
[45:10.120 --> 45:12.340]  Should I do it now?
[45:13.000 --> 45:14.260]  I think you should do it now.
[45:14.660 --> 45:14.740]  Okay.
[45:18.260 --> 45:18.980]  What happened?
[45:19.040 --> 45:19.660]  What did that do?
[45:20.560 --> 45:21.620]  Come on out, boys.
[45:24.040 --> 45:24.760]  Lovely stuff.
[45:25.300 --> 45:26.800]  Now, before we start hitting buttons...
[45:26.800 --> 45:27.060]  Hang on.
[45:31.420 --> 45:32.220]  I think...
[45:32.820 --> 45:35.460]  I think four people need to get on this thing.
[45:35.560 --> 45:37.780]  One person needs to drop to the bottom.
[45:38.260 --> 45:39.860]  And then it's going to come back.
[45:39.960 --> 45:41.620]  I have a feeling it's going to go left and right.
[45:42.860 --> 45:43.660]  And then...
[45:43.660 --> 45:45.020]  Yeah, I think that's what's going to happen.
[45:45.220 --> 45:46.880]  So, Andrew, do you want to stay up here?
[45:47.620 --> 45:47.960]  Sure.
[45:48.320 --> 45:49.380]  Let's see what happens.
[45:52.560 --> 45:53.360]  Three, four...
[45:53.360 --> 45:53.600]  Ready?
[45:54.280 --> 45:56.500]  But then it's going to stop when you go down.
[45:56.600 --> 45:57.320]  Oh, no one's going down.
[45:57.320 --> 45:57.720]  Oh.
[45:58.280 --> 45:58.720]  Oh.
[46:01.340 --> 46:02.120]  Maybe not.
[46:02.360 --> 46:03.960]  I don't think it's going to go far enough to the left.
[46:04.040 --> 46:05.980]  I think we have to do five and one person gets off.
[46:06.360 --> 46:06.600]  Whoops.
[46:06.840 --> 46:11.980]  He loves to jump as soon as it starts.
[46:12.040 --> 46:14.780]  We are going to fucking run this to 501.
[46:14.880 --> 46:15.460]  This level.
[46:16.740 --> 46:16.980]  Oh.
[46:17.220 --> 46:18.620]  There's no way.
[46:26.310 --> 46:27.190]  Wait until...
[46:27.190 --> 46:27.690]  There you go.
[46:27.690 --> 46:28.670]  Thanks, man.
[46:31.590 --> 46:33.630]  It's really hard to tell with Andrew's hat.
[46:33.850 --> 46:34.150]  Yeah.
[46:37.110 --> 46:38.110]  Disadvantage for sure.
[46:38.890 --> 46:42.170]  Geoff needs to take a ball of care to the right.
[46:43.230 --> 46:43.950]  There we go.
[46:44.750 --> 46:45.790]  Do you think that's far enough?
[46:46.230 --> 46:47.750]  Yeah, I think you're good.
[46:47.750 --> 46:47.870]  Oh.
[46:49.950 --> 46:52.730]  I was standing on nothing and I shot up to nothing.
[46:52.890 --> 46:53.410]  It's pretty special.
[46:54.170 --> 46:54.630]  Okay.
[46:55.570 --> 46:55.970]  So...
[46:56.690 --> 46:57.490]  Hang on.
[46:58.270 --> 46:59.490]  I can drop off.
[47:01.850 --> 47:04.850]  I think we all have to be on the platform for it to move.
[47:04.850 --> 47:06.650]  I think all five of us get on it.
[47:07.050 --> 47:09.510]  And then we drop one down on the red.
[47:09.670 --> 47:09.970]  Yeah.
[47:10.530 --> 47:12.410]  I'll drop down because I'm on the end.
[47:12.690 --> 47:14.350]  Hang on. We're all going to drop at the same time.
[47:14.430 --> 47:14.530]  Ready?
[47:15.790 --> 47:16.730]  Andrew's dropping, not me?
[47:17.810 --> 47:20.310]  I'm dropping to hit the button because I'm on the end.
[47:20.870 --> 47:21.090]  Okay.
[47:21.090 --> 47:24.990]  The four of us at the top are going to hit A at the same time.
[47:25.010 --> 47:25.150]  Ready?
[47:25.910 --> 47:27.770]  3, 2, 1, go.
[47:28.250 --> 47:28.930]  There we go.
[47:29.090 --> 47:31.030]  Andrew, you got it.
[47:31.470 --> 47:32.790]  Nice. Hop up!
[47:34.650 --> 47:34.950]  Oh!
[47:37.550 --> 47:38.350]  I see.
[47:39.410 --> 47:40.010]  No, no, no.
[47:41.190 --> 47:42.550]  Can we make this jump?
[47:43.830 --> 47:44.350]  Into the ceiling?
[47:44.590 --> 47:44.690]  No.
[47:45.450 --> 47:50.070]  What has to happen is one person has to get off at the end
[47:50.070 --> 47:51.610]  before you hit the
[47:52.250 --> 47:53.050]  red spikes.
[47:53.290 --> 47:55.510]  And then I think the person that hit the switch
[47:55.510 --> 47:57.410]  when the platform comes back
[47:57.410 --> 47:58.890]  has to get on the underneath part.
[48:00.230 --> 48:01.130]  Isn't that what we said?
[48:03.370 --> 48:04.010]  I don't know.
[48:04.110 --> 48:06.490]  Yeah, the first time when we didn't know about the spikes or anything.
[48:06.610 --> 48:06.810]  Yes.
[48:12.710 --> 48:14.330]  Oh, I'm so on the edge.
[48:16.070 --> 48:17.050]  Okay, I think that's good.
[48:17.050 --> 48:17.270]  Alright.
[48:18.950 --> 48:19.790]  Oh, yeah.
[48:19.870 --> 48:20.530]  You're good.
[48:23.850 --> 48:25.150]  Can we make
[48:25.150 --> 48:25.970]  this jump?
[48:31.010 --> 48:32.050]  Okay, so...
[48:33.070 --> 48:34.910]  Hang on, how are we going to do this?
[48:37.510 --> 48:38.910]  Because we have to remain
[48:38.910 --> 48:41.130]  four on here. So I'm going to drop
[48:41.130 --> 48:43.210]  down here on this
[48:43.210 --> 48:43.510]  thing.
[48:44.610 --> 48:45.450]  Then our
[48:45.450 --> 48:47.790]  next move is to have
[48:49.050 --> 48:49.490]  Nick
[48:49.490 --> 48:51.170]  is going to go down and hit the switch.
[48:51.310 --> 48:53.550]  You two are going to drop from the top at the same time.
[48:53.930 --> 48:54.090]  Yep.
[48:54.450 --> 48:57.090]  Nick is going to walk off to the left and hit the switch.
[48:57.230 --> 48:57.630]  Yep.
[48:57.830 --> 49:01.490]  When we get close to the end
[49:01.490 --> 49:03.490]  here, one of us has to go
[49:03.490 --> 49:04.930]  to the top so that way
[49:04.930 --> 49:06.770]  this platform can come back.
[49:07.550 --> 49:08.430]  The floor
[49:09.230 --> 49:10.730]  extends once you hit the button.
[49:10.730 --> 49:12.130]  So they can just walk across.
[49:12.370 --> 49:14.530]  So the four of us on the platform
[49:14.530 --> 49:16.210]  just need to go to the roof once we pass.
[49:17.030 --> 49:18.710]  Everybody jumps off at the
[49:18.710 --> 49:19.210]  wrong time.
[49:20.150 --> 49:21.610]  Maybe not jump though.
[49:22.390 --> 49:24.550]  Nick, do you want to do a countdown and then I'll hit A with you?
[49:24.890 --> 49:26.350]  If you want to get on the ceiling, you have to jump.
[49:26.790 --> 49:26.850]  Yeah.
[49:27.610 --> 49:30.490]  3, 2, 1, go.
[49:30.790 --> 49:31.870]  Nick, you got it.
[49:32.450 --> 49:33.630]  Wait, Geoff, wait, Geoff, wait.
[49:34.130 --> 49:34.390]  Now!
[49:40.560 --> 49:41.440]  I hit jump.
[49:41.440 --> 49:43.720]  It didn't look like it.
[49:46.960 --> 49:49.280]  We got it all figured out.
[49:49.600 --> 49:50.360]  We got this.
[49:50.760 --> 49:52.680]  I don't think I've done that enough times to be pulling at me.
[49:55.560 --> 49:57.640]  Yeah, I really
[49:57.640 --> 49:59.120]  think it's pulling at you, bud.
[50:02.980 --> 50:03.380]  Sorry.
[50:04.780 --> 50:06.380]  Hang on, Andrew just needs to go.
[50:09.220 --> 50:09.880]  I tried.
[50:10.420 --> 50:10.880]  You're good.
[50:11.080 --> 50:12.580]  I was trying to make it so we'd do less.
[50:12.820 --> 50:13.800]  Yeah, no, I hear you.
[50:14.040 --> 50:15.580]  You did the right thing, I just wasn't over enough.
[50:16.140 --> 50:16.420]  Yeah.
[50:18.040 --> 50:18.940]  Oh, shit!
[50:20.460 --> 50:20.860]  What?
[50:21.400 --> 50:23.400]  This looked like Eric fell before he jumped.
[50:23.980 --> 50:24.300]  Nope.
[50:26.600 --> 50:26.980]  Netcode.
[50:28.680 --> 50:29.080]  Netcode.
[50:29.160 --> 50:31.500]  Alright, tease the tips.
[50:33.480 --> 50:34.860]  Why are we so...
[50:34.860 --> 50:36.240]  Should I go a little more right?
[50:37.200 --> 50:37.960]  That's enough.
[50:38.140 --> 50:38.800]  Yeah, that's enough.
[50:43.980 --> 50:46.220]  Okay, I'm gonna go down and
[50:46.220 --> 50:47.360]  hit the switch this time.
[50:48.240 --> 50:48.540]  Okay.
[50:50.960 --> 50:51.520]  Okay.
[50:52.380 --> 50:52.940]  Ready?
[50:54.620 --> 50:56.380]  3, 2, 1,
[50:56.640 --> 50:56.920]  go!
[51:01.660 --> 51:02.860]  Nice, good work, boys.
[51:03.000 --> 51:05.020]  Now level off.
[51:05.160 --> 51:05.580]  There you go.
[51:06.280 --> 51:06.760]  Okay.
[51:07.480 --> 51:08.380]  Should I get this?
[51:09.100 --> 51:11.100]  Okay, and then everyone else can come down.
[51:11.340 --> 51:11.680]  That's it.
[51:12.720 --> 51:13.680]  Good work.
[51:14.060 --> 51:15.920]  Good job, fellas.
[51:17.580 --> 51:18.900]  We just had to see it through.
[51:19.220 --> 51:19.360]  Simple.
[51:20.780 --> 51:23.040]  Look at that! Skills or devices?
[51:23.220 --> 51:25.540]  Skills or devices done.
[51:26.100 --> 51:27.480]  And we didn't have to do the timer twice.
[51:28.360 --> 51:30.100]  Blowing through this thing today.
[51:31.120 --> 51:32.080]  Parkville Dodger.
[51:33.060 --> 51:33.700]  Alright, we're
[51:33.700 --> 51:35.180]  10 minutes till 5-0-1, boys.
[51:35.320 --> 51:36.220]  Oh, oh, oh, oh.
[51:38.320 --> 51:39.620]  I hit the wall.
[51:39.740 --> 51:40.440]  I hit the wall, I'm sorry.
[51:40.980 --> 51:43.960]  I didn't realize that, uh...
[51:43.960 --> 51:45.180]  What the fuck was going on?
[51:45.480 --> 51:46.140]  We're just dodging.
[51:46.600 --> 51:46.920]  Yep.
[51:49.420 --> 51:50.540]  Gavin, get out of my fucking way.
[51:50.960 --> 51:51.760]  I'm trying to get away from you.
[51:54.000 --> 51:54.840]  Oh my god.
[51:55.240 --> 51:55.560]  Easy.
[51:56.580 --> 51:59.620]  Gavin's trying to block it so that way I get hit by the ball like it's my fault.
[51:59.800 --> 52:00.900]  It's not, it's Gavin's fault.
[52:00.900 --> 52:02.280]  Weren't we just doing...
[52:02.280 --> 52:04.680]  Weren't you and Andrew and I just doing this with something?
[52:06.140 --> 52:06.940]  Uh, were we?
[52:07.100 --> 52:07.840]  What's blue?
[52:07.860 --> 52:08.680]  The eagle.
[52:13.600 --> 52:14.200]  Feathers.
[52:14.720 --> 52:15.240]  Oh god.
[52:15.800 --> 52:18.840]  Whoa! Bad timing for all those subs!
[52:18.920 --> 52:19.760]  Oh my god!
[52:21.020 --> 52:22.400]  Who did it?
[52:22.900 --> 52:24.020]  Ulta Becca Prime?
[52:24.480 --> 52:25.160]  Oh my god!
[52:26.420 --> 52:27.320]  Thank you so much!
[52:27.320 --> 52:29.680]  Ulta Becca Prime with the 20 gifted subs!
[52:30.080 --> 52:31.040]  Holy shit!
[52:31.880 --> 52:34.480]  It took my attention away for half a second.
[52:34.640 --> 52:36.260]  I went, I fucking blew it.
[52:36.460 --> 52:36.940]  Oh my god.
[52:37.100 --> 52:39.820]  That tried to murder us with kindness.
[52:39.820 --> 52:40.760]  It almost worked.
[52:41.200 --> 52:43.340]  Ulta Becca Prime, thank you so much.
[52:43.600 --> 52:45.320]  That was a kindness kill.
[52:45.760 --> 52:46.260]  Yeah, big time.
[52:46.480 --> 52:48.220]  I can only be distracted by money so much.
[52:48.240 --> 52:49.460]  I was getting a soda, I'm sorry!
[52:51.120 --> 52:52.280]  You were what?
[52:52.520 --> 52:54.440]  I was getting a soda, I'm sorry!
[52:54.440 --> 52:56.000]  You were doing what?
[52:56.460 --> 52:57.320]  I was getting a soda.
[52:58.820 --> 52:59.800]  And the level started.
[53:00.120 --> 53:00.860]  Goddammit, move!
[53:02.980 --> 53:04.580]  Andrew was in my way, I couldn't go any further.
[53:04.600 --> 53:06.180]  Sorry about that, I didn't know anyone needed space.
[53:06.320 --> 53:07.340]  I was just locked in on what I needed.
[53:08.660 --> 53:10.400]  Give everyone all the space in the world.
[53:10.520 --> 53:11.280]  Get down!
[53:11.720 --> 53:13.660]  If you're at the top, go all the way to the top.
[53:13.800 --> 53:15.220]  If you're at the bottom, go all the way to the bottom.
[53:16.160 --> 53:17.080]  Okay, going to the bottom.
[53:18.340 --> 53:18.620]  Alright.
[53:20.660 --> 53:21.540]  Gavin, me and you.
[53:21.540 --> 53:22.820]  Bad news.
[53:24.400 --> 53:25.540]  Rock, hard place.
[53:29.240 --> 53:32.980]  Alright, split the diff.
[53:34.140 --> 53:34.620]  There we go.
[53:35.040 --> 53:36.460]  Geoff, you're going to grab that and come up.
[53:37.760 --> 53:38.340]  Go down?
[53:38.860 --> 53:40.980]  Nice, there you go. Way to go, man.
[53:41.440 --> 53:42.000]  Good work.
[53:43.160 --> 53:44.500]  Drink all the soda you want after this one.
[53:45.800 --> 53:46.420]  Oh no!
[53:46.760 --> 53:47.900]  Go up, go up, go up!
[53:47.900 --> 53:48.440]  Go up, go up, go up!
[53:48.660 --> 53:50.100]  Geoff, go down!
[53:51.860 --> 53:52.940]  Why did you...
[53:53.540 --> 53:55.040]  The gap was at the top.
[53:55.260 --> 53:56.980]  Geoff, throw your soda away now.
[53:57.820 --> 53:58.380]  Throw it away, dude.
[54:01.020 --> 54:01.820]  Spread out.
[54:02.920 --> 54:04.380]  What are you doing?
[54:04.980 --> 54:05.720]  Way to go, Nick!
[54:06.980 --> 54:07.800]  Way to go, Nick!
[54:09.060 --> 54:10.020]  One time.
[54:10.440 --> 54:11.400]  One time.
[54:12.520 --> 54:13.480]  You're dead.
[54:13.800 --> 54:14.860]  Way to go, Geoff.
[54:14.860 --> 54:15.480]  And Andrew!
[54:16.700 --> 54:17.680]  I thought I had room.
[54:18.180 --> 54:21.780]  Going all the way to the bottom.
[54:26.150 --> 54:27.350]  Alright, Andrew, you can grab that.
[54:27.730 --> 54:28.670]  Grab it and come up.
[54:29.150 --> 54:29.610]  Go down.
[54:31.630 --> 54:32.290]  Down with you.
[54:34.150 --> 54:34.630]  Okay.
[54:36.350 --> 54:37.230]  Everyone down.
[54:38.750 --> 54:39.490]  Going all the way up.
[54:39.790 --> 54:41.510]  Oh boy.
[54:42.610 --> 54:43.410]  I'm sorry.
[54:43.410 --> 54:44.970]  I'm sorry. That was on me.
[54:45.690 --> 54:46.550]  Sorry about that.
[54:47.870 --> 54:48.870]  Is that a bit?
[54:49.530 --> 54:50.510]  No, I just missed.
[54:51.530 --> 54:51.930]  Move!
[54:52.570 --> 54:53.990]  Was that a bit, Gavin?
[54:54.790 --> 54:57.090]  I couldn't go down, you fool! Where was I going to go?
[54:57.890 --> 54:59.610]  It's okay, Nick wasn't paying attention
[54:59.610 --> 55:00.350]  and then went, ah!
[55:00.790 --> 55:01.390]  So it's okay.
[55:03.730 --> 55:04.870]  I thought I had room.
[55:08.070 --> 55:09.170]  This is the game title
[55:09.170 --> 55:09.970]  that's going to make me poo.
[55:09.970 --> 55:11.970]  Go up!
[55:13.390 --> 55:14.310]  The gap's at the top!
[55:14.950 --> 55:15.710]  Andrew, you got that?
[55:15.950 --> 55:16.670]  Go down!
[55:18.510 --> 55:19.730]  Andrew's doing a bit.
[55:20.070 --> 55:20.770]  We're good.
[55:22.090 --> 55:22.930]  We're fine.
[55:24.010 --> 55:25.310]  I'm the one doing the bit, huh?
[55:26.470 --> 55:26.910]  My bit?
[55:27.470 --> 55:29.390]  You can't make me laugh.
[55:33.790 --> 55:36.150]  I think Nick was paying attention.
[55:36.310 --> 55:36.930]  That's what I can tell.
[55:38.150 --> 55:39.530]  Eric got us killed.
[55:39.770 --> 55:40.370]  I'm going to die.
[55:40.790 --> 55:42.130]  I can't get down far.
[55:42.950 --> 55:43.910]  That's not my fault.
[55:44.910 --> 55:45.970]  That's not my fault.
[55:48.910 --> 55:50.170]  It's falling apart.
[55:54.390 --> 55:56.090]  You guys remember when Gavin farted
[55:56.090 --> 55:57.750]  every five minutes this morning?
[55:58.110 --> 55:58.530]  I missed.
[56:00.350 --> 56:02.070]  You didn't even get the key!
[56:02.290 --> 56:03.450]  I was trying to kiss the key.
[56:09.080 --> 56:10.180]  There you go, Gavin!
[56:11.420 --> 56:13.820]  Boys! We're taking it to 5-0-1!
[56:14.660 --> 56:15.460]  I'm losing it.
[56:15.920 --> 56:17.160]  Unfortunately, we are.
[56:19.820 --> 56:20.220]  Gavin?
[56:20.340 --> 56:21.020]  Gavin, down!
[56:23.320 --> 56:24.860]  You had to go up, Geoff!
[56:24.940 --> 56:26.020]  The gap was at the top!
[56:30.520 --> 56:31.780]  What about that one?
[56:32.740 --> 56:34.100]  Gavin, what were you doing?
[56:34.220 --> 56:35.540]  The gap was at the bottom, that was my bad.
[56:46.990 --> 56:47.510]  Oh!
[56:54.870 --> 56:56.730]  I can't believe you lived through that.
[56:58.430 --> 56:59.270]  Please go down.
[57:04.440 --> 57:05.580]  The gap's at the bottom.
[57:05.940 --> 57:10.060]  Oh boy. Tough one.
[57:11.400 --> 57:11.760]  There you go.
[57:14.480 --> 57:15.800]  Alright, moving on up!
[57:16.020 --> 57:16.520]  Got the key!
[57:18.200 --> 57:20.380]  Taking it to 5-0-1,
[57:20.380 --> 57:21.280]  ladies and gentlemen!
[57:32.300 --> 57:34.140]  You could have killed me there very easily.
[57:34.360 --> 57:34.480]  Kill him!
[57:35.080 --> 57:35.900]  Down, down, down!
[57:37.700 --> 57:39.020]  Alright, here we go.
[57:41.000 --> 57:41.960]  All the way, boys!
[57:42.440 --> 57:43.080]  Way to go, Gavin!
[57:45.320 --> 57:46.440]  I panicked at the end.
[57:47.380 --> 57:49.520]  Yeah, it's pretty easy to panic at the end, isn't it?
[57:49.520 --> 57:50.380]  I'm right there with you, buddy.
[57:52.820 --> 57:56.040]  You could just watch them wave in and out.
[57:57.300 --> 57:58.440]  Please go down.
[58:01.180 --> 58:01.820]  Okay.
[58:03.860 --> 58:04.500]  Easy.
