[00:00.000 --> 00:01.480]  Let's play this game!
[42:44.510 --> 42:45.090]  Hahaha!
[42:47.830 --> 42:48.310]  Hahaha!
[42:54.140 --> 42:54.900]  There you go!
[42:55.880 --> 42:57.540]  Oh, Gavin!
[42:59.160 --> 43:00.180]  Come on!
[43:00.180 --> 43:00.280]  Hahaha!
[43:03.060 --> 43:03.500]  Oh!
[43:06.620 --> 43:07.740]  I think
[43:07.740 --> 43:09.920]  if there was a version where everyone
[43:09.920 --> 43:11.940]  has to make it to the door to advance,
[43:12.440 --> 43:13.980]  do you think we'd get to level 10?
[43:15.180 --> 43:15.360]  No!
[43:20.760 --> 43:21.320]  Oh!
[43:27.510 --> 43:29.610]  Well, the good news is I've forgotten
[43:29.610 --> 43:31.770]  most of these levels, so it's almost feeling fresh.
[43:32.430 --> 43:32.990]  Absolutely.
[43:32.990 --> 43:34.950]  It's just so fat.
[43:35.090 --> 43:35.430]  Yeah?
[43:36.390 --> 43:38.530]  There you go.
[43:42.810 --> 43:44.310]  We did that last time.
[43:44.490 --> 43:45.270]  We got that one, huh?
[43:46.750 --> 43:48.310]  Ah! It came at an angle!
[43:48.830 --> 43:50.650]  Okay, guys, we've got one heart.
[43:51.910 --> 43:53.130]  Just jump it, jump it,
[43:53.210 --> 43:54.470]  jump it, jump it, jump it.
[43:57.550 --> 43:57.950]  Hahaha!
[43:57.950 --> 43:58.610]  Hahaha!
[43:59.910 --> 44:00.110]  Hahaha!
[44:01.930 --> 44:03.170]  Oh, thank God!
[44:06.950 --> 44:07.350]  Oh!
[44:08.470 --> 44:09.450]  Give me the heart!
[44:11.610 --> 44:12.750]  Give us another one!
[44:16.970 --> 44:17.730]  Alright, okay.
[44:18.110 --> 44:19.090]  Let's get the hell out of here.
[44:20.210 --> 44:21.910]  Hey, audience, do you guys like this game?
[44:22.050 --> 44:24.030]  Is this a fun game to watch? I haven't even, uh...
[44:24.690 --> 44:25.450]  I don't know.
[44:25.730 --> 44:26.970]  I can't really see the screen.
[44:27.630 --> 44:30.010]  I would assume not at all, but, um...
[44:30.530 --> 44:30.850]  Oh!
[44:34.910 --> 44:36.330]  Yeah, people say it's nice, lol.
[44:38.270 --> 44:40.070]  I like it. I'm having fun.
[44:40.130 --> 44:41.130]  Yeah, I'm having fun too.
[44:45.110 --> 44:45.750]  But, uh...
[44:46.150 --> 44:47.950]  Historically, me having fun seemed to be
[44:47.950 --> 44:50.250]  the opposite of what the Achievement Hunter audience wanted, so...
[44:51.590 --> 44:52.730]  I don't know, I never know if I can trust it.
[44:53.350 --> 44:54.150]  Well, I get it.
[44:54.630 --> 44:56.150]  You were having fun when you were playing
[44:56.150 --> 44:58.150]  the Wii U remote, and...
[44:58.150 --> 44:59.330]  lol
[45:00.910 --> 45:02.310]  And hitting stuff.
[45:03.170 --> 45:04.130]  That might be
[45:04.130 --> 45:05.910]  the most fun
[45:05.910 --> 45:07.930]  I have ever had in a video game.
[45:08.450 --> 45:10.190]  That was one of the few
[45:10.190 --> 45:12.330]  times where people would
[45:12.330 --> 45:13.850]  be mad beyond the video.
[45:14.630 --> 45:15.630]  Oh yeah, Michael was
[45:16.150 --> 45:16.930]  really upset.
[45:17.410 --> 45:19.770]  Which made it so much better for me.
[45:20.930 --> 45:22.450]  I got out of there like...
[45:22.850 --> 45:23.690]  Oh, that was...
[45:23.690 --> 45:24.810]  That was hell.
[45:24.810 --> 45:25.930]  But I wasn't...
[45:25.930 --> 45:28.430]  I wasn't genuinely angry.
[45:29.790 --> 45:31.230]  That makes one of us.
[45:35.430 --> 45:38.490]  Okay, just skate the middle.
[45:42.370 --> 45:44.970]  I just saw your duck
[45:44.970 --> 45:46.190]  fly into the frame.
[45:47.030 --> 45:48.010]  Corner of the screen.
[45:51.790 --> 45:52.610]  Look at all these funs.
[45:55.750 --> 45:57.310]  How much money do you have?
[45:58.650 --> 45:59.110]  1411.
[45:59.590 --> 46:01.230]  No, I got 2100.
[46:01.970 --> 46:03.310]  Nice. You been buying hats?
[46:04.570 --> 46:05.770]  Those things are 500 a pop.
[46:06.250 --> 46:07.110]  That's not enough hats.
[46:09.970 --> 46:10.430]  Frick!
[46:12.510 --> 46:13.210]  Buh buh buh buh buh!
[46:14.730 --> 46:15.830]  Buh buh buh buh buh buh!
[46:17.850 --> 46:18.590]  Let me in.
[46:21.210 --> 46:21.670]  Oh.
[46:22.310 --> 46:22.590]  Dammit.
[46:22.590 --> 46:24.230]  Not as clean as last time.
[46:27.130 --> 46:28.310]  I'm so happy to have my dishwasher
[46:28.310 --> 46:29.050]  fixed.
[46:29.890 --> 46:31.550]  Yeah, that's awesome.
[46:33.270 --> 46:33.890]  Good for you.
[46:34.030 --> 46:35.430]  I don't mind washing dishes.
[46:36.730 --> 46:37.970]  It's just so much more convenient.
[46:38.130 --> 46:39.690]  It sucks to do it above the dishwasher.
[46:42.770 --> 46:44.610]  I want to live in a world where
[46:45.070 --> 46:46.610]  I have two dishwashers.
[46:47.250 --> 46:47.990]  Yeah, I know.
[46:48.090 --> 46:49.130]  It's the fucking move.
[46:49.130 --> 46:50.250]  It's the dream.
[46:51.170 --> 46:53.370]  And then you just have kitchen cabinets
[46:53.370 --> 46:54.730]  that are the dishwasher.
[46:55.730 --> 46:55.930]  Yeah.
[47:03.940 --> 47:05.480]  He's trying to escape with us.
[47:05.820 --> 47:06.900]  Chromium Sulfate said
[47:06.900 --> 47:09.440]  I had two growing up. Damn, that must have been nice.
[47:09.720 --> 47:10.620]  Dude, what a life.
[47:11.700 --> 47:12.720]  Was that the best ever?
[47:13.240 --> 47:14.780]  I wouldn't grow up. I'd refuse.
[47:15.200 --> 47:16.740]  I'd be like, no, I've already hit. This is it.
[47:17.080 --> 47:17.940]  I would never move out.
[47:17.940 --> 47:20.760]  What if you did a Steve Jobs thing
[47:20.760 --> 47:21.960]  and was like, you actually have
[47:21.960 --> 47:24.320]  ten dishwashers as each of your fingers.
[47:25.880 --> 47:28.140]  Don't even need one. You forget two.
[47:28.340 --> 47:29.500]  Have you met my dad?
[47:32.900 --> 47:34.240]  You sound just like him.
[47:36.780 --> 47:37.520]  Ah, shit.
[47:43.620 --> 47:45.060]  501! Is that the iPad?
[47:46.200 --> 47:47.460]  501! We survived!
[47:48.300 --> 47:49.960]  Now let's kill this bird.
[47:49.960 --> 47:52.280]  We broke out of that 437 loop.
[47:55.020 --> 47:56.220]  We're now officially locked in.
[47:56.340 --> 47:57.060]  This is gonna be
[47:57.060 --> 47:58.500]  as far as we get
[47:59.900 --> 48:01.160]  on this one, what?
[48:01.400 --> 48:02.960]  On this attempt. Yeah.
[48:04.120 --> 48:05.120]  You got it.
[48:05.420 --> 48:07.460]  I'm determined to live through a bird
[48:07.980 --> 48:08.460]  level.
[48:09.520 --> 48:09.940]  I am too.
[48:11.940 --> 48:12.920]  Get it, bitch!
[48:13.660 --> 48:14.980]  There you go!
[48:16.080 --> 48:17.740]  I touched his brown eye.
[48:23.590 --> 48:24.030]  Ah!
[48:27.790 --> 48:28.230]  Beep!
[48:34.070 --> 48:34.910]  Holy shit.
[48:35.550 --> 48:37.990]  I thought you were leaving it real close there.
[48:40.070 --> 48:40.510]  Nice!
[48:42.110 --> 48:43.270]  Oh, we got all the coins.
[48:44.010 --> 48:45.510]  Woo! Great job, some of us!
[48:45.990 --> 48:47.030]  Alright! Yeah!
[48:52.580 --> 48:54.700]  Do we just go until we fail at this point?
[48:54.740 --> 48:55.380]  I guess we need to.
[48:55.860 --> 48:57.000]  Yeah, let's keep going.
[48:57.120 --> 48:57.920]  Let's try to set that record.
[48:59.140 --> 49:00.020]  No! Fuck!
[49:01.500 --> 49:02.480]  Alright. Is that where we were?
[49:03.760 --> 49:04.620]  Yeah, I think so.
[49:04.980 --> 49:05.800]  Somewhere around that.
[49:10.000 --> 49:11.400]  Oh no! Oh no!
[49:11.760 --> 49:11.980]  Okay.
[49:13.780 --> 49:15.080]  We can speedrun this.
[49:16.060 --> 49:17.600]  Did anyone in chat have three dishwashers?
[49:20.760 --> 49:21.360]  That's the
[49:21.360 --> 49:22.620]  fucking dream right there.
[49:22.620 --> 49:24.860]  Better live it with two, like a pauper.
[49:25.360 --> 49:26.580]  How many plates
[49:26.580 --> 49:28.020]  would you have to require
[49:28.940 --> 49:29.900]  three dishwashers?
[49:30.220 --> 49:31.920]  At least three.
[49:32.720 --> 49:34.480]  But think about it, you could have one for mugs.
[49:34.800 --> 49:36.020]  You could have one for plates.
[49:37.040 --> 49:37.760]  Oh, that's insane.
[49:37.780 --> 49:39.080]  And everything would stack so nice.
[49:39.640 --> 49:41.920]  You could have your pots and pan washer.
[49:42.720 --> 49:43.040]  Yeah.
[49:43.820 --> 49:44.560]  Your cutlery.
[49:55.750 --> 49:57.230]  What's the most fun thing to
[49:57.230 --> 49:58.890]  empty when you're doing the dishwasher?
[50:04.010 --> 50:05.310]  I think silverware.
[50:05.450 --> 50:07.210]  I like emptying silverware if you can grab a bunch
[50:07.210 --> 50:08.450]  at once. I agree.
[50:08.990 --> 50:09.390]  Yeah.
[50:10.750 --> 50:12.090]  Get a handful of knives.
[50:21.030 --> 50:24.190]  Why do you think
[50:24.190 --> 50:25.750]  it's about a handful of knives, Andrew?
[50:26.890 --> 50:27.890]  Well, it's just, you know,
[50:27.930 --> 50:30.070]  it's dangerous. You're playing a dangerous game a little bit.
[50:30.210 --> 50:32.310]  Sometimes, depending on what angle
[50:32.310 --> 50:34.650]  or direction you point the cutlery.
[50:34.650 --> 50:35.450]  Yeah.
[50:36.990 --> 50:37.470]  Okay.
[50:40.270 --> 50:41.570]  Oh! What?
[50:42.670 --> 50:44.510]  Holy shit! You scared me, Gavin.
[50:44.770 --> 50:45.550]  Holy shit.
[50:46.750 --> 50:48.230]  Holy shit. You scared him, Gavin.
[50:48.850 --> 50:49.030]  Oh.
[50:50.610 --> 50:52.190]  I don't want to die here.
[50:52.710 --> 50:53.490]  I don't want to die.
[50:59.320 --> 51:01.020]  What do you think the world record is for how fast
[51:01.020 --> 51:02.420]  someone can run holding scissors?
[51:05.500 --> 51:06.380]  All? All?
[51:06.380 --> 51:06.460]  Yeah.
[51:08.180 --> 51:10.420]  I wouldn't think it would slow down your movement
[51:10.420 --> 51:11.880]  that much. Yeah, I think it'd be like
[51:11.880 --> 51:14.040]  whatever Usain Bolt wanted to do.
[51:17.200 --> 51:18.500]  What's the most urgent
[51:18.500 --> 51:20.160]  Usain Bolt needed to craft?
[51:20.640 --> 51:22.220]  Here's that. Here's one.
[51:22.820 --> 51:24.140]  Do you remember that dude
[51:24.140 --> 51:26.400]  a couple months ago who broke that
[51:26.400 --> 51:28.120]  world record running and then he, like,
[51:28.540 --> 51:30.400]  took his shoes off and dumped a bunch of nails
[51:30.400 --> 51:31.320]  out of the bottom of them?
[51:32.180 --> 51:34.040]  And he had, like, he had broken the record.
[51:34.040 --> 51:36.000]  Yeah, he had broken the record with nails
[51:36.000 --> 51:37.920]  in his shoes. Maybe
[51:37.920 --> 51:39.940]  you could do that with just a pair of scissors
[51:39.940 --> 51:41.400]  at the bottom. Fuck.
[51:44.100 --> 51:45.220]  That sounds terrible.
[51:45.960 --> 51:47.240]  Oh! Shit.
[51:47.720 --> 51:49.840]  Geoff, we gotta win. We gotta live for Andrew.
[51:52.160 --> 51:53.160]  Do it for the pig!
[51:54.120 --> 51:54.980]  Go, go, go, go, go!
[51:55.740 --> 51:57.800]  Yeah, we got this. Survive for the ham!
[51:58.100 --> 51:59.120]  There's bacon at stake.
[52:05.400 --> 52:07.140]  And just like that, we're back.
[52:23.330 --> 52:24.130]  Tea count!
[52:24.610 --> 52:26.870]  I mean, if you didn't get the tea...
[52:30.130 --> 52:30.990]  Oh, shit!
[52:31.230 --> 52:32.810]  I'd like to not die this time.
[52:44.780 --> 52:45.280]  Oh my god!
[52:45.360 --> 52:45.840]  You did it!
[52:46.880 --> 52:47.440]  Oh.
[52:49.520 --> 52:51.020]  Ah, missed the tea.
[52:53.320 --> 52:54.700]  No, it sounded like you said
[52:54.700 --> 52:55.260]  Mr. Tea.
[52:56.440 --> 52:57.480]  You'd be any good at this game.
[52:59.640 --> 53:00.200]  Whoa!
[53:02.860 --> 53:04.960]  Uh, I don't...
[53:04.960 --> 53:06.500]  He strikes me as a duck hunt guy.
[53:11.540 --> 53:13.540]  I bet he's old enough
[53:13.540 --> 53:14.460]  to be, like,
[53:15.320 --> 53:16.760]  video game enfeebled.
[53:20.560 --> 53:21.600]  I pity
[53:21.600 --> 53:23.460]  the fool that doesn't like Ms. Pac-Man.
[53:25.740 --> 53:27.360]  Was it possible to plug in
[53:27.360 --> 53:29.360]  multiple guns into
[53:29.360 --> 53:30.640]  the NES for Duck Hunt?
[53:34.680 --> 53:36.060]  I don't remember
[53:37.200 --> 53:38.740]  that being a thing.
[53:42.380 --> 53:43.420]  Was it...
[53:44.340 --> 53:46.080]  Duck Hunt or Punch-Out
[53:46.080 --> 53:48.760]  where it was realized that it was a multiplayer game?
[53:48.760 --> 53:49.620]  Oh!
[53:52.580 --> 53:53.020]  Really?
[53:53.740 --> 53:55.680]  I don't know. I didn't hear about that.
[53:57.800 --> 53:59.900]  There's some old NES classic game
[53:59.900 --> 54:01.740]  that I guess they mentioned how to make it
[54:01.740 --> 54:04.120]  multiplayer in the instruction manual
[54:04.120 --> 54:05.580]  but nobody read that.
[54:06.000 --> 54:06.760]  Nobody ever?
[54:06.860 --> 54:08.500]  In 40 years?
[54:09.440 --> 54:10.880]  It just wasn't, like, unknown.
[54:11.060 --> 54:12.800]  It was just viewed as a single player game.
[54:13.160 --> 54:14.140]  I don't remember what game it was.
[54:14.220 --> 54:16.540]  Do you know what he's talking about?
[54:16.540 --> 54:18.560]  I'd love to know the answer to that.
[54:20.420 --> 54:22.220]  It was Duck Hunt, people have said.
[54:22.680 --> 54:22.880]  Wow.
[54:24.480 --> 54:26.800]  Speaking of Duck Hunt...
[54:26.800 --> 54:27.860]  Let's do it.
[54:28.680 --> 54:29.720]  Let's kill an eagle.
[54:32.600 --> 54:33.300]  Oh no!
[54:33.840 --> 54:35.100]  Okay, okay, okay.
[54:35.500 --> 54:36.480]  Oh my god.
[54:38.280 --> 54:39.100]  I'm doing it!
[54:40.640 --> 54:42.760]  Yeah, Vin's doing it!
[54:42.760 --> 54:43.240]  Ah!
[54:45.260 --> 54:46.340]  Watch out for the egg.
[54:46.740 --> 54:47.820]  How many eggs does he poo?
[54:49.440 --> 54:50.340]  There's gonna be one more.
[54:50.340 --> 54:51.320]  You don't gotta worry about it now.
[54:55.660 --> 54:56.060]  Goddamn.
[54:58.940 --> 55:00.600]  The world is your oyster, Andrew.
[55:03.160 --> 55:03.760]  Nailed it.
[55:04.320 --> 55:06.540]  It's always so sad when people are rude for being in the chat.
[55:08.500 --> 55:12.740]  There's nothing sadder than when people are like...
[55:14.760 --> 55:17.400]  I'm sorry guys.
[55:28.330 --> 55:30.670]  This is not a game you can read the chat and play.
[55:31.550 --> 55:31.990]  No.
[55:32.230 --> 55:35.270]  Every time I turn away for a second, you guys are already at that level.
[55:38.630 --> 55:41.130]  I'm just trying to speed us back to where we were.
[55:41.450 --> 55:41.710]  Yeah.
[55:46.310 --> 55:49.370]  The second to the most recent comment was...
[55:49.370 --> 55:50.070]  That sounds awful.
[55:50.310 --> 55:51.590]  And the next comment was...
[55:51.590 --> 55:52.790]  That sounds like so much fun.
[55:55.410 --> 55:58.730]  I wonder what they were both referring to.
[55:58.890 --> 55:59.770]  Beef fat?
[56:01.130 --> 56:01.510]  Probably.
[56:01.810 --> 56:03.070]  Beef tallow or whatever.
[56:06.530 --> 56:07.050]  Goddamn.
[56:07.830 --> 56:09.530]  The same spot for you, Tim.
[56:10.310 --> 56:11.250]  That's the last time?
[56:12.090 --> 56:13.130]  For me, it was.
[56:13.150 --> 56:14.110]  I don't remember last time.
[56:25.900 --> 56:28.180]  So do you get hats for spending the coins?
[56:28.680 --> 56:31.920]  If you pay 500 bucks, you can get a...
[56:31.920 --> 56:32.520]  Oh, shit.
[56:33.540 --> 56:36.020]  If you pay 500 bucks, you can get a...
[56:36.020 --> 56:37.980]  Like a item out of the vending machine.
[56:38.100 --> 56:40.280]  It just happens to have been a hat every time for me.
[56:40.420 --> 56:42.900]  I don't know if it's always hats or just my luck.
[56:43.820 --> 56:45.460]  I've only used the T coins.
[56:45.840 --> 56:46.040]  Oh, yeah.
[56:46.560 --> 56:47.720]  Get those characters.
[56:51.890 --> 56:52.810]  Oh, I remember this.
[56:53.350 --> 56:55.030]  We're getting fresher in my memory now.
[56:58.510 --> 56:59.930]  I feel like this one made me mad.
[57:00.570 --> 57:01.130]  Thank you.
[57:01.130 --> 57:01.190]  Thank you.
[57:02.730 --> 57:03.930]  How do you feel about it now?
[57:04.010 --> 57:04.530]  I love it.
[57:10.580 --> 57:14.020]  The way the audio cuts off through shitty party chat is so funny.
[57:17.790 --> 57:19.170]  Makes me feel young again.
[57:24.450 --> 57:25.590]  The coins wouldn't lie.
[57:25.970 --> 57:29.230]  The coins will surely guide me to...
[57:29.570 --> 57:29.990]  Yeah.
[57:30.570 --> 57:31.050]  They didn't lie.
[57:36.960 --> 57:37.440]  Oh.
[57:37.440 --> 57:37.520]  Oh.
[57:38.380 --> 57:39.100]  Oh.
[57:43.040 --> 57:44.920]  Come on, Geoff!
[57:45.220 --> 57:45.700]  Yeah!
[57:53.620 --> 57:55.960]  I was getting too comfortable there.
[57:57.540 --> 57:58.080]  Easy.
[57:59.080 --> 57:59.980]  Easy money.
[58:04.320 --> 58:06.220]  Really feels like a trend.
[58:06.960 --> 58:07.680]  This set of levels.
[58:09.220 --> 58:10.680]  You got a definite theme going.
[58:12.180 --> 58:14.320]  My therapist told me I need a new hobby.
[58:15.700 --> 58:16.100]  Yeah?
[58:16.360 --> 58:16.680]  Yeah.
[58:18.180 --> 58:20.360]  Do you have any idea what your new hobby will be?
[58:20.520 --> 58:21.640]  No, I don't like anything.
[58:23.040 --> 58:23.720]  That's a problem.
[58:24.200 --> 58:25.040]  Alright, let's concentrate.
[58:26.200 --> 58:28.740]  It's sort of a necessary part of having a hobby.
[58:29.280 --> 58:29.620]  I know.
[58:30.100 --> 58:30.660]  Fuck me.
[58:30.820 --> 58:32.200]  How do we do it?
[58:32.700 --> 58:33.860]  How did we ever do this before?
[58:34.140 --> 58:34.560]  This is bullshit.
[58:34.840 --> 58:35.320]  This is impossible.
[58:35.320 --> 58:37.220]  Where is...
[58:38.500 --> 58:39.660]  Okay, we can't wait.
[58:39.780 --> 58:40.360]  Can't wait.
[58:45.960 --> 58:46.560]  Wow.
[58:49.380 --> 58:50.880]  We blew it.
[58:52.180 --> 58:53.320]  We blew it.
[58:53.400 --> 58:53.980]  We sucked.
[58:54.040 --> 58:55.080]  I don't even remember that level.
[58:55.700 --> 58:56.640]  I don't either.
[58:57.360 --> 58:58.560]  What do I get?
[59:00.520 --> 59:02.280]  How far away were we?
[59:02.420 --> 59:03.440]  A poopy pigeon?
[59:04.880 --> 59:06.060]  I don't even know.
[59:06.060 --> 59:07.100]  It didn't even show.
[59:07.300 --> 59:07.960]  Oh man.
[59:08.520 --> 59:10.360]  I got a key and a padlock.
[59:10.540 --> 59:13.140]  We got another...
[59:14.300 --> 59:14.880]  uh...
[59:14.880 --> 59:15.580]  claim.
[59:15.900 --> 59:17.240]  What's a construction tower?
[59:20.260 --> 59:21.960]  These are achievements.
[59:23.440 --> 59:24.940]  I have achievements in this game?
[59:25.240 --> 59:25.720]  Seven?
[59:26.920 --> 59:27.280]  Wow.
[59:28.040 --> 59:29.660]  The stickers are achievement related.
[59:30.600 --> 59:31.620]  Do I have seven achievements?
[59:31.620 --> 59:33.320]  I got six. I'm shocked.
[59:34.600 --> 59:36.660]  I'm at 92% on a secret achievement.
[59:36.740 --> 59:37.680]  I don't even know what it is.
[59:38.180 --> 59:40.100]  Did you get the die 100 times achievement?
[59:41.100 --> 59:41.800]  Who, me?
[59:42.340 --> 59:42.680]  Who, me?
[59:43.780 --> 59:45.740]  Uh, I'ma guess so. Let's see.
[59:46.500 --> 59:47.620]  Cause I'm uh...
[59:48.600 --> 59:50.740]  Uh, blow up 50 fuse bombs,
[59:50.900 --> 59:52.480]  reach floor 50,
[59:53.280 --> 59:54.100]  play a multiplayer game,
[59:54.700 --> 59:55.640]  wear a silly hat,
[59:55.780 --> 59:56.940]  unlock construction tower,
[59:57.080 --> 59:58.660]  reach floor 10, complete tutorial.
[59:59.140 --> 59:59.500]  No.
[01:00:00.560 --> 01:00:02.800]  Well, I'm ready for next time
[01:00:02.800 --> 01:00:04.780]  we play this. I got a fucking awesome teapot
[01:00:04.780 --> 01:00:06.740]  on my head. I am locked in.
[01:00:06.800 --> 01:00:08.800]  I'ma buy some clothes. I can't wait to do this.
[01:00:08.880 --> 01:00:09.640]  How many players is it?
[01:00:11.060 --> 01:00:11.780]  Four players.
[01:00:12.760 --> 01:00:14.280]  So we'll be back. We'll do this again.
[01:00:14.380 --> 01:00:16.060]  I had a lot of fun. I think you guys did too.
[01:00:16.620 --> 01:00:18.780]  Yeah, the 500 machine is just hats,
[01:00:18.800 --> 01:00:19.200]  I think.
[01:00:21.040 --> 01:00:22.140]  Love a good hat.
[01:00:23.760 --> 01:00:24.940]  Thank you so much
[01:00:24.940 --> 01:00:26.880]  for joining us in this
[01:00:26.880 --> 01:00:28.500]  technical difficulty filled stream.
[01:00:28.620 --> 01:00:30.760]  Thank you for your patience as we sorted through things.
[01:00:31.000 --> 01:00:32.020]  I had a great time.
[01:00:32.260 --> 01:00:33.140]  I had a lovely time.
[01:00:34.600 --> 01:00:36.800]  Make sure you check out our Patreon
[01:00:36.800 --> 01:00:38.820]  at the Regulation Pod. We got a YouTube channel,
[01:00:38.860 --> 01:00:40.000]  we got gameplays,
[01:00:41.120 --> 01:00:42.320]  all sorts of stuff.
[01:00:42.460 --> 01:00:44.820]  Think about it this way, guys. It beats sitting in the waiting room
[01:00:44.820 --> 01:00:46.440]  at the minor emergency clinic
[01:00:46.440 --> 01:00:48.920]  with a fucking ice pack
[01:00:48.920 --> 01:00:49.600]  on your butthole.
[01:00:50.540 --> 01:00:51.220]  That's true.
[01:00:52.000 --> 01:00:54.720]  Always better than that. Thank you so much for joining.
[01:00:54.720 --> 01:00:56.280]  Have a wonderful weekend.
[01:00:56.560 --> 01:00:57.620]  Talk to you soon.
[01:00:57.760 --> 01:00:58.140]  Bye!
