[00:01.840 --> 00:03.840]  Wow, look at this.
[47:31.410 --> 47:34.390]  Die, you goddamn!
[47:36.610 --> 47:37.610]  Stop that!
[47:39.770 --> 47:40.650]  Stop it!
[47:41.070 --> 47:42.830]  This is so much harder than hitting you with a hammer!
[47:43.710 --> 47:44.790]  If I should fall...
[47:49.320 --> 47:49.920]  No!
[47:57.800 --> 48:00.280]  This is so much worse.
[48:00.580 --> 48:00.920]  This sucks.
[48:03.100 --> 48:03.660]  Ow!
[48:03.800 --> 48:04.280]  My back!
[48:10.160 --> 48:11.340]  Geoff, where are you going?
[48:14.900 --> 48:16.620]  I hit the wrong button!
[48:17.460 --> 48:19.280]  Oh, I just missed him.
[48:25.600 --> 48:27.060]  Oh, there's bullets.
[48:27.480 --> 48:28.260]  Lots of bullets.
[48:29.860 --> 48:31.120]  How are you still alive?
[48:35.130 --> 48:36.750]  Oh, right. That's how I am.
[48:38.370 --> 48:38.850]  Excuse me?
[48:39.790 --> 48:40.230]  Yes!
[48:42.250 --> 48:42.950]  Oh, God!
[48:43.050 --> 48:43.610]  Oh, no!
[48:43.890 --> 48:45.350]  Nick, you're blocking the bike!
[48:48.550 --> 48:48.990]  Nick!
[48:55.060 --> 48:56.560]  Nick doesn't care about the bike.
[48:56.620 --> 48:57.680]  He just wants to flatten me.
[48:58.800 --> 49:00.780]  I just want to keep everyone away from the bike.
[49:01.580 --> 49:02.820]  What the hell?
[49:03.720 --> 49:05.520]  I got hit by a jetpack.
[49:05.540 --> 49:06.540]  That was incredible!
[49:07.560 --> 49:08.440]  How are you doing, Geoff?
[49:08.930 --> 49:09.180]  Good.
[49:10.900 --> 49:11.840]  Do you have it?
[49:13.340 --> 49:13.840]  Who?
[49:14.520 --> 49:15.560]  Okay, so Nick has it.
[49:17.360 --> 49:17.860]  No.
[49:19.360 --> 49:19.980]  I'm on him.
[49:21.560 --> 49:21.860]  Uh-oh.
[49:28.940 --> 49:30.920]  I don't understand how that's your
[49:30.920 --> 49:31.680]  go-to song.
[49:33.180 --> 49:34.300]  What's wrong with you?
[49:36.160 --> 49:37.480]  Well, earlier I was singing
[49:37.480 --> 49:38.480]  Make My Way Downtown.
[49:38.660 --> 49:39.440]  Hello. Goodbye.
[49:40.960 --> 49:41.220]  Uh-oh.
[49:41.580 --> 49:45.220]  Nick said hello and then drove into a light post
[49:45.220 --> 49:46.000]  and said goodbye.
[49:47.200 --> 49:47.840]  Oh!
[49:48.660 --> 49:49.280]  Gavin!
[49:50.000 --> 49:50.600]  You killed me!
[49:51.820 --> 49:52.120]  Whoa!
[49:53.500 --> 49:55.480]  Oh, my God!
[49:58.540 --> 49:59.340]  Oh, no!
[50:00.140 --> 50:00.760]  Oh, no!
[50:04.720 --> 50:05.280]  Ah!
[50:08.590 --> 50:09.950]  The bullets suck.
[50:10.470 --> 50:11.930]  Yeah, it's not good.
[50:13.510 --> 50:14.630]  Oh, God.
[50:15.450 --> 50:16.250]  I got a little stabbed.
[50:20.750 --> 50:22.330]  There's no way to get a Faggio
[50:22.330 --> 50:24.710]  far enough away from bullets, unfortunately.
[50:25.410 --> 50:26.230]  Are you guys on a roof?
[50:26.730 --> 50:28.050]  I keep spotting them on roofs.
[50:28.350 --> 50:29.710]  I'm so far away.
[50:31.050 --> 50:32.970]  I don't know where they'll ever find me.
[50:34.350 --> 50:35.710]  Oh, they found me!
[50:35.990 --> 50:36.470]  They found me!
[50:36.730 --> 50:37.710]  Oh, he sees me!
[50:39.330 --> 50:39.970]  Oh, no!
[50:41.570 --> 50:42.030]  Oh, no!
[50:46.000 --> 50:47.300]  Get outta there!
[50:50.600 --> 50:52.120]  Hey, Gavin. Hey, what's up?
[50:52.360 --> 50:55.300]  Oh, you kicked me off!
[51:00.730 --> 51:01.090]  Excuse me?
[51:01.770 --> 51:03.270]  Oh, shit.
[51:03.630 --> 51:04.110]  Oh, no.
[51:08.000 --> 51:08.820]  Where is he?
[51:09.980 --> 51:11.800]  He's on the stairs.
[51:14.320 --> 51:15.040]  Damn it.
[51:19.980 --> 51:21.980]  Oh, I hit a tree!
[51:23.460 --> 51:24.300]  Yeah, once you're in the air,
[51:24.400 --> 51:25.400]  this little son of a bitch is...
[51:25.400 --> 51:25.560]  Ah!
[51:30.200 --> 51:31.620]  Are you still on the rooftop?
[51:31.860 --> 51:32.340]  Where are you?
[51:34.440 --> 51:35.500]  Go, Rat, go!
[51:37.220 --> 51:38.100]  Oh, no!
[51:38.140 --> 51:39.560]  I see Eric! Kill him!
[51:39.900 --> 51:40.460]  Kill him!
[51:53.700 --> 51:55.480]  I'm so sorry it had to go...
[51:55.480 --> 51:57.160]  Uh-oh. Gavin?
[51:57.560 --> 51:57.720]  Yeah?
[52:02.700 --> 52:04.520]  I blocked it, I blocked it, I blocked it!
[52:04.560 --> 52:06.600]  The freeway, the freeway, the freedom, the freedom!
[52:08.060 --> 52:09.740]  There's nobody cut over on the street.
[52:10.100 --> 52:10.360]  Mm-mm.
[52:10.660 --> 52:11.540]  Let's fly over it.
[52:12.100 --> 52:12.720]  Oh.
[52:14.000 --> 52:14.780]  Oh!
[52:16.020 --> 52:17.280]  God damn it.
[52:18.420 --> 52:19.140]  It's hitting the horse!
[52:22.320 --> 52:22.780]  Woo!
[52:23.770 --> 52:25.360]  Flip back!
[52:27.600 --> 52:29.540]  Ah, someone else!
[52:30.280 --> 52:32.080]  Why does it spawn you so
[52:32.080 --> 52:34.440]  far away?!
[52:34.440 --> 52:36.220]  Damn you, Matt Bragg!
[52:38.220 --> 52:40.000]  Why do I keep hitting turbo
[52:40.000 --> 52:40.900]  when I don't want to?
[52:41.640 --> 52:43.360]  Damn you, Matt Bragg!
[52:58.710 --> 53:00.230]  Way out of position.
[53:01.130 --> 53:01.970]  Here we go!
[53:02.490 --> 53:03.330]  Here we go!
[53:03.770 --> 53:05.030]  I'm leading forwards for speed!
[53:06.690 --> 53:08.050]  I can loop around still.
[53:09.950 --> 53:10.070]  Woo!
[53:11.250 --> 53:12.330]  Damn it.
[53:14.470 --> 53:14.850]  No!
[53:15.870 --> 53:17.510]  Turbo on accident.
[53:18.070 --> 53:19.610]  Yeah, that happens a lot.
[53:19.770 --> 53:20.390]  Yeah.
[53:22.190 --> 53:24.290]  Oh, my back's getting holey.
[53:32.000 --> 53:33.500]  I'm begging you to die!
[53:34.840 --> 53:35.080]  Woo!
[53:36.020 --> 53:37.920]  Wow! That was so much air!
[53:38.060 --> 53:40.520]  Are you shitting me?!
[53:42.020 --> 53:42.660]  Oh!
[53:43.540 --> 53:45.080]  I finally went down.
[53:50.770 --> 53:53.490]  I'm like 17 miles away.
[53:56.810 --> 53:57.690]  Oh, no!
[53:58.670 --> 53:59.270]  Shit!
[53:59.870 --> 54:00.450]  Ocean!
[54:11.970 --> 54:13.070]  Back in it!
[54:13.610 --> 54:14.510]  I'm so far away!
[54:16.350 --> 54:17.390]  Go, go!
[54:18.030 --> 54:18.630]  Go, go!
[54:18.930 --> 54:19.630]  Go, go!
[54:20.990 --> 54:21.870]  Oh, no!
[54:24.750 --> 54:25.350]  Oh, no!
[54:25.430 --> 54:26.490]  Don't go in the water!
[54:29.390 --> 54:30.790]  Oh, is it a wet bike?
[54:31.330 --> 54:33.410]  Oh, no! I just got here.
[54:33.650 --> 54:34.690]  It's gotta respawn, isn't it?
[54:34.830 --> 54:35.830]  Yep, there it is.
[54:37.410 --> 54:38.410]  Just left.
[54:38.770 --> 54:39.390]  Back to the city.
[54:41.030 --> 54:43.350]  I love living in the city.
[54:44.930 --> 54:50.590]  Oh, idiot!
[54:52.110 --> 54:53.290]  Get out of here, Gavin!
[54:54.030 --> 54:55.330]  How do you hit a telephone pole
[54:55.330 --> 54:56.310]  30 feet in the air?
[54:58.410 --> 54:59.510]  Their natural habitat.
[55:02.070 --> 55:02.470]  What?!
[55:02.470 --> 55:03.430]  I almost did the same thing.
[55:08.500 --> 55:09.880]  Damn, I almost had it.
[55:10.320 --> 55:11.060]  Oh, the golf course.
[55:12.380 --> 55:14.180]  Yeah, from where I am, it's a long way away.
[55:14.640 --> 55:14.980]  No.
[55:16.080 --> 55:17.100]  Is it on the golf course?
[55:17.660 --> 55:19.040]  No, I was just flying over it.
[55:19.240 --> 55:19.420]  Oh.
[55:22.140 --> 55:24.660]  Nick has it. That's why he's saying anything.
[55:25.520 --> 55:25.800]  No.
[55:26.340 --> 55:27.260]  Nobody's got it right now.
[55:27.620 --> 55:28.520]  Nick has it!
[55:29.180 --> 55:29.760]  Who has it?
[55:31.200 --> 55:32.120]  Who the hell is this?
[55:32.220 --> 55:32.960]  Oh, God, it's Eric.
[55:35.300 --> 55:35.640]  Hey, buddy.
[55:36.320 --> 55:36.740]  Buddy?
[55:39.020 --> 55:39.440]  Oh!
[55:41.400 --> 55:42.300]  I hit the wrong button!
[55:43.340 --> 55:44.320]  Yes, die!
[55:44.500 --> 55:45.840]  Oh, you went in the pool! Fuck you!
[55:47.180 --> 55:47.900]  I hate it!
[55:48.020 --> 55:49.660]  I only like being near pools!
[55:51.560 --> 55:52.360]  Oh, no!
[55:52.480 --> 55:53.980]  My worst enemy! A bump!
[55:54.220 --> 55:55.360]  Get over the...
[55:55.360 --> 55:56.060]  Fuck me!
[56:04.150 --> 56:04.830]  Where did it go?
[56:05.010 --> 56:05.810]  I think it just blew up again.
[56:06.790 --> 56:07.910]  Yeah, it blew up.
[56:09.650 --> 56:10.750]  Someone's still on it.
[56:11.590 --> 56:12.130]  No, it blew up.
[56:12.250 --> 56:12.810]  Oh, Nick has it.
[56:14.450 --> 56:15.910]  He's in this parking garage.
[56:16.150 --> 56:16.310]  Going up the hill.
[56:18.910 --> 56:19.650]  Going up and around.
[56:20.730 --> 56:22.370]  And Andrew went to find him.
[56:22.590 --> 56:23.150]  I got him!
[56:25.770 --> 56:26.730]  Hold your fire!
[56:26.850 --> 56:27.250]  Hold your fire!
[56:27.490 --> 56:27.850]  Whoa!
[56:27.850 --> 56:28.270]  Whoa!
[56:30.370 --> 56:31.270]  God damn it!
[56:32.530 --> 56:33.850]  I bounced too far.
[56:34.310 --> 56:35.850]  Oh, you kicked my bum!
[56:39.030 --> 56:40.110]  Oh, come on!
[56:40.170 --> 56:41.310]  It didn't work, but I did it!
[56:43.810 --> 56:45.170]  Oh, God, this is stupid.
[56:46.710 --> 56:47.710]  Fuck, he's gone!
[56:48.930 --> 56:49.690]  No, he's not!
[56:51.390 --> 56:52.270]  Oh, yes, he is!
[56:52.270 --> 56:52.610]  Fuck!
[56:55.470 --> 56:56.670]  Oh, no!
[56:57.230 --> 56:59.130]  You got a lot better at that!
[57:01.910 --> 57:03.310]  Is anybody on the...
[57:03.310 --> 57:04.110]  Oh, there it is.
[57:04.650 --> 57:07.250]  I respawned.
[57:11.230 --> 57:13.090]  You lying sack of shit, I see you.
[57:15.990 --> 57:16.550]  Eek!
[57:20.960 --> 57:21.800]  Get over!
[57:25.040 --> 57:26.880]  Oh, my God!
[57:27.500 --> 57:28.420]  Oh, no!
[57:30.120 --> 57:31.700]  I did it again!
[57:31.900 --> 57:32.500]  Go, rat, go!
[57:33.300 --> 57:34.060]  Kill the rat!
[57:34.500 --> 57:34.880]  Ow!
[57:40.760 --> 57:41.520]  No!
[57:43.100 --> 57:43.560]  No!
[57:46.200 --> 57:48.160]  I hate this fucking bike so much.
[57:49.180 --> 57:51.160]  It's so impossible to drive.
[57:52.260 --> 57:52.880]  Hup!
[57:53.440 --> 57:54.360]  Damn it!
[57:56.580 --> 57:59.220]  Must get on bike!
[58:01.480 --> 58:03.000]  Oh, Christ, it's Gavin!
[58:03.220 --> 58:03.480]  Hello!
[58:04.560 --> 58:05.640]  Oh, no!
[58:06.420 --> 58:08.820]  Oh, I should have killed you! I made a mistake!
[58:09.100 --> 58:09.900]  I spared you!
[58:11.360 --> 58:13.060]  You did, you spared me.
[58:14.680 --> 58:15.600]  Unintentional sparing.
[58:19.490 --> 58:21.070]  We're all locked in.
[58:21.650 --> 58:22.810]  So locked in.
[58:22.930 --> 58:23.650]  Where is he going?
[58:24.470 --> 58:25.570]  He doesn't know.
[58:25.750 --> 58:27.610]  You're asking that like there's a plan.
[58:28.010 --> 58:28.950]  There is a plan!
[58:29.210 --> 58:31.370]  There's a plan, it's hope!
[58:32.010 --> 58:34.070]  No, not me!
[58:35.470 --> 58:39.510]  Oh, Jesus, Geoff.
[58:39.690 --> 58:41.090]  This game time just ends up being
[58:41.090 --> 58:42.850]  two people parked opposite each other
[58:42.850 --> 58:44.450]  just firing machine guns.
[58:45.910 --> 58:46.730]  Did it respawn again?
[58:46.830 --> 58:48.450]  Oh, Geoff, you blew it.
[58:51.430 --> 58:52.450]  I need you to die, Geoff.
[58:52.450 --> 58:53.650]  Oh, you got me!
[58:55.010 --> 58:56.710]  Where the god damn did it go?
[58:58.410 --> 58:59.210]  It's respawned!
[59:00.250 --> 59:00.930]  Oh, roof!
[59:02.390 --> 59:02.570]  Woo!
[59:05.530 --> 59:07.610]  Just gotta time it. Here we go, here we go, here we go.
[59:09.630 --> 59:12.230]  Come on, come on, stick the landing, stick the landing.
[59:12.450 --> 59:13.710]  You stupid idiot.
[59:14.410 --> 59:15.030]  That was awesome.
[59:16.710 --> 59:17.510]  Stupid idiot.
[59:21.730 --> 59:22.690]  Fuck me.
[59:23.850 --> 59:25.030]  Oh, how'd you live?
[59:25.770 --> 59:26.110]  Oh, no.
[59:27.550 --> 59:28.810]  How the fu-
[59:28.810 --> 59:29.550]  Alright, fuck it.
[59:30.670 --> 59:32.530]  Oh, oh my god.
[59:32.990 --> 59:36.090]  Did you kill me with the fuckin' jet?
[59:36.310 --> 59:37.750]  I did, I just blocked you.
[59:38.150 --> 59:39.910]  Oh my god, that was funny.
[59:40.750 --> 59:42.470]  I just parked in front of you
[59:42.470 --> 59:43.570]  and farted you away.
[59:43.950 --> 59:45.550]  Yeah, that was fuckin' brilliant, Geoff.
[59:45.910 --> 59:47.050]  That was really good.
[59:48.170 --> 59:48.850]  Who's gonna win?
[59:49.550 --> 59:50.030]  Who?
[59:51.010 --> 59:51.470]  Nick!
[59:51.870 --> 59:53.690]  I don't have the goddamn bike!
[59:57.010 --> 59:58.470]  I think it's Andrew who has it.
[59:59.170 --> 01:00:00.490]  No, my bars are going up.
[01:00:00.550 --> 01:00:01.650]  I'm stuck in a pool.
[01:00:05.030 --> 01:00:05.690]  There we go.
[01:00:06.370 --> 01:00:07.890]  Just let me down to earth.
[01:00:07.990 --> 01:00:09.710]  It's Eric! Eric's on the bike!
[01:00:10.070 --> 01:00:11.470]  My bar is not going up.
[01:00:12.250 --> 01:00:13.770]  It's like what happened last time.
[01:00:13.990 --> 01:00:14.790]  Is it fake bike?
[01:00:14.790 --> 01:00:15.870]  I guess so.
[01:00:17.990 --> 01:00:19.490]  My bar was not going up.
[01:00:19.610 --> 01:00:21.950]  It says that Nick still has it.
[01:00:22.290 --> 01:00:23.150]  We got a fake bike.
[01:00:24.990 --> 01:00:25.810]  I'm just sat on it.
[01:00:26.750 --> 01:00:27.990]  It doesn't do anything.
[01:00:28.390 --> 01:00:29.310]  Oh, my time's going up.
[01:00:30.590 --> 01:00:31.630]  No, that's bullshit!
[01:00:32.490 --> 01:00:34.190]  Oh, I went up and stopped.
[01:00:35.470 --> 01:00:37.190]  I'm puttin' on the same invisible hat
[01:00:37.190 --> 01:00:38.350]  over and over and over.
[01:00:41.730 --> 01:00:43.370]  Kill Andrew! Kill him! Kill him!
[01:00:43.370 --> 01:00:44.970]  I think this is a fake bike.
[01:00:45.410 --> 01:00:46.010]  I think so too.
[01:00:46.370 --> 01:00:47.790]  We have to blow it up then.
[01:00:50.050 --> 01:00:50.910]  Let's blow it up.
[01:00:51.570 --> 01:00:52.330]  Let's blow it up.
[01:00:54.190 --> 01:00:56.310]  Maybe we can start a support ticket
[01:00:56.310 --> 01:00:58.190]  with Rockstar about the scoot scoot bikes.
[01:00:59.850 --> 01:01:00.990]  Somebody get Matt Bragg on the phone.
[01:01:02.350 --> 01:01:03.230]  Damn it!
[01:01:06.650 --> 01:01:07.730]  If we just leave it,
[01:01:07.790 --> 01:01:09.050]  it'll respawn eventually, right?
[01:01:11.190 --> 01:01:11.990]  Someone blow up
[01:01:11.990 --> 01:01:12.550]  the other one I'm on.
[01:01:15.980 --> 01:01:17.020]  Oh, my time's going up again.
[01:01:17.120 --> 01:01:18.040]  I might have the real one.
[01:01:20.620 --> 01:01:22.300]  I'm just unloading onto this one.
[01:01:22.840 --> 01:01:23.180]  Wait, what?
[01:01:26.800 --> 01:01:27.720]  Gavin's is going up.
[01:01:27.880 --> 01:01:28.760]  Son of a... where is he?
[01:01:28.900 --> 01:01:29.200]  There he is!
[01:01:33.100 --> 01:01:33.740]  What time?
[01:01:33.780 --> 01:01:35.440]  And now I'm on fire from that!
[01:01:36.260 --> 01:01:36.300]  Oh!
[01:01:37.220 --> 01:01:37.540]  Oh!
[01:01:40.440 --> 01:01:40.720]  Oh!
[01:01:40.720 --> 01:01:41.300]  That was insane.
[01:01:42.220 --> 01:01:44.320]  That was pretty cool.
[01:01:46.800 --> 01:01:47.720]  Bail!
[01:01:48.240 --> 01:01:49.240]  Oh, shit!
[01:01:50.640 --> 01:01:51.740]  It's running me over!
[01:01:54.020 --> 01:01:56.220]  Pick it up!
[01:01:58.140 --> 01:01:59.080]  Real Faggio!
[01:02:01.840 --> 01:02:03.620]  Oh, I hit the tree!
[01:02:06.680 --> 01:02:08.060]  Gavin! No!
[01:02:11.460 --> 01:02:12.220]  Be careful.
[01:02:12.260 --> 01:02:14.080]  There's a guy that lives up here.
[01:02:16.780 --> 01:02:18.240]  Gavin snuck the...
[01:02:18.800 --> 01:02:19.360]  Get him!
[01:02:20.400 --> 01:02:21.860]  He snuck into the landing.
[01:02:26.380 --> 01:02:27.620]  Oh, Gavin's gonna win!
[01:02:27.680 --> 01:02:28.300]  We gotta kill him now!
[01:02:28.580 --> 01:02:29.940]  That's what I was saying, Nick!
[01:02:31.920 --> 01:02:33.360]  Gavin, you said he snuck!
[01:02:35.080 --> 01:02:36.260]  I can't stop him!
[01:02:36.640 --> 01:02:37.500]  Snook's away!
[01:02:37.500 --> 01:02:39.900]  I can't stop him!
[01:02:40.320 --> 01:02:41.140]  Kill him!
[01:02:41.460 --> 01:02:41.940]  No!
[01:02:44.440 --> 01:02:47.700]  The winning frame is me getting my head caved in with a machete.
[01:02:48.020 --> 01:02:48.560]  Oh, man.
[01:02:49.960 --> 01:02:51.320]  Oh, those were a lot of fun.
[01:02:51.820 --> 01:02:53.800]  Yeah, that was a blast.
[01:02:54.560 --> 01:02:55.220]  That was great.
[01:02:55.960 --> 01:02:58.800]  We can traditionally fall back on this when our plan doesn't work.
[01:02:59.100 --> 01:03:00.200]  Yeah, this is...
[01:03:00.200 --> 01:03:01.580]  That was...
[01:03:01.580 --> 01:03:03.100]  Bookmark job, absolutely.
[01:03:03.660 --> 01:03:04.840]  I should have bookmarked the other ones.
[01:03:04.840 --> 01:03:06.700]  I gotta say, I think the third one...
[01:03:06.700 --> 01:03:08.220]  The third one seemed like the best, Matt.
[01:03:08.520 --> 01:03:09.220]  The one you weren't in?
[01:03:09.640 --> 01:03:09.960]  Yeah.
[01:03:12.820 --> 01:03:14.120]  That one's great for cars.
[01:03:14.360 --> 01:03:15.260]  Gavin, you do the outro.
[01:03:22.140 --> 01:03:22.660]  Come on!
[01:03:22.780 --> 01:03:23.700]  You do it!
[01:03:24.940 --> 01:03:26.160]  Oh, thanks for watching!
[01:03:26.260 --> 01:03:28.260]  You can support us on Patreon, Regulatreon.
[01:03:28.340 --> 01:03:30.320]  Big shout out to Matt Bragg!
[01:03:30.700 --> 01:03:31.620]  Used to work with him.
[01:03:34.740 --> 01:03:36.020]  Thanks for watching!
[01:03:36.280 --> 01:03:36.620]  Oh, okay.
[01:03:37.000 --> 01:03:38.980]  Okay, bye!
[01:03:39.660 --> 01:03:40.360]  Bye!
[01:03:40.540 --> 01:03:41.620]  Bye now!
