[00:00.000 --> 00:01.720]  Traders last night, wow.
[31:18.530 --> 31:20.010]  We got a bunch of grumpy guys.
[31:20.290 --> 31:22.770]  Hey, Eric, I'm really sorry, but can you make sure Geoff gets this
[31:22.770 --> 31:24.710]  and then this is just a picture of the piss rat?
[31:24.930 --> 31:25.390]  Got it.
[31:27.630 --> 31:28.510]  Yeah, you got it.
[31:30.470 --> 31:33.630]  Now, can we slide these big angry faces or...?
[31:34.610 --> 31:35.190]  I think so.
[31:35.690 --> 31:36.050]  Okay.
[31:36.230 --> 31:36.990]  I'd assume so.
[31:37.390 --> 31:37.770]  Are they...
[31:37.770 --> 31:38.190]  Let's give it a shot.
[31:38.290 --> 31:39.010]  This is very...
[31:39.010 --> 31:40.870]  I feel like I recognize this video game.
[31:41.350 --> 31:41.830]  I got you, Gavin.
[31:42.650 --> 31:43.250]  There you go.
[31:45.270 --> 31:46.490]  What are you doing, Andrew?
[31:46.970 --> 31:47.350]  All right.
[31:47.470 --> 31:47.990]  Oh, shit.
[31:48.810 --> 31:49.270]  Geoff, do you...
[31:49.270 --> 31:49.750]  Can you push me?
[31:49.830 --> 31:52.790]  You need to hook onto that bad boy?
[31:53.190 --> 31:54.130]  Yeah, yeah.
[31:54.310 --> 31:54.590]  Okay.
[31:55.410 --> 31:56.830]  Well, let me out there.
[31:56.850 --> 31:57.310]  There you go.
[31:57.630 --> 31:58.370]  There we go.
[31:59.090 --> 32:01.250]  And then let me move this way.
[32:01.410 --> 32:01.810]  Hold on, stop.
[32:01.930 --> 32:02.450]  Keep going up.
[32:02.670 --> 32:02.790]  Okay.
[32:03.130 --> 32:03.370]  Yeah.
[32:03.750 --> 32:04.210]  Yeah, yeah.
[32:04.470 --> 32:06.130]  And then I'll move past you, so I don't...
[32:06.130 --> 32:06.990]  Make it their problem?
[32:07.210 --> 32:08.650]  You go past me.
[32:09.750 --> 32:10.750]  All right, you go past me.
[32:11.110 --> 32:11.590]  Oh, shit.
[32:11.770 --> 32:12.230]  Oh, shit.
[32:12.770 --> 32:13.610]  Okay, now you go ahead.
[32:14.410 --> 32:15.010]  They need to push...
[32:15.590 --> 32:17.250]  And then we need to push it up or down.
[32:18.150 --> 32:18.970]  Okay, well, that'll work.
[32:19.130 --> 32:20.070]  All right, I can hook from the top.
[32:20.310 --> 32:20.870]  I can hook from the top.
[32:21.050 --> 32:22.470]  Yeah, they'll push that lower one across,
[32:22.530 --> 32:23.750]  and then you can push the upper one down.
[32:24.350 --> 32:25.330]  Well, spin me?
[32:27.850 --> 32:29.770]  All right, so how do you want us to do it?
[32:29.870 --> 32:31.730]  We'll just move this all the way to the left.
[32:31.850 --> 32:31.970]  Ah, I see.
[32:32.250 --> 32:33.330]  And then I'll push it down for you guys.
[32:33.590 --> 32:33.910]  Okay.
[32:34.630 --> 32:35.030]  All right, Geoff.
[32:35.130 --> 32:35.790]  I'll be your support.
[32:35.790 --> 32:36.310]  Go over this way.
[32:36.690 --> 32:37.110]  Yeah, there you go.
[32:37.110 --> 32:37.890]  Thank you, Gavin.
[32:39.270 --> 32:40.730]  Oh, maybe Geoff can hook it with you.
[32:40.850 --> 32:41.850]  Oh, yeah, is it too much?
[32:41.850 --> 32:43.390]  It's a bigger one, so we need both sides.
[32:43.470 --> 32:43.770]  There we go.
[32:44.270 --> 32:44.390]  Nice.
[32:46.790 --> 32:47.110]  Yay!
[32:48.370 --> 32:49.050]  Look at this.
[32:49.530 --> 32:50.050]  Look at that teamwork.
[32:52.170 --> 32:52.810]  Yeah, teamwork.
[32:54.990 --> 32:55.890]  What a team.
[32:57.090 --> 32:57.850]  What a team.
[32:59.250 --> 32:59.510]  Oops.
[33:00.290 --> 33:00.730]  Am I in the middle?
[33:01.790 --> 33:02.870]  What's the, what's the layout?
[33:03.090 --> 33:03.610]  Let's see.
[33:05.470 --> 33:06.050]  There you go.
[33:06.210 --> 33:06.530]  There we go.
[33:09.350 --> 33:10.210]  God damn it.
[33:11.090 --> 33:12.050]  God damn it, Gavin.
[33:16.250 --> 33:16.650]  Gavin!
[33:16.870 --> 33:17.170]  Andrew.
[33:17.290 --> 33:18.210]  Andrew, what are you doing?
[33:18.390 --> 33:18.910]  Come on.
[33:22.450 --> 33:23.190]  God damn it.
[33:24.150 --> 33:25.070]  You didn't use me!
[33:25.250 --> 33:25.770]  There you go.
[33:26.090 --> 33:26.330]  Geez.
[33:26.690 --> 33:27.430]  I'm doing, I'm doing, I'm doing.
[33:27.450 --> 33:28.350]  I'm doing it.
[33:29.990 --> 33:30.890]  You know what?
[33:31.750 --> 33:32.190]  MVP.
[33:32.690 --> 33:33.130]  Achievement!
[33:33.730 --> 33:34.410]  The good helper.
[33:34.590 --> 33:35.430]  You got a Chivo.
[33:36.030 --> 33:36.970]  Cleared 50 stages.
[33:37.490 --> 33:40.250]  Maybe I was subconsciously doing a bit the last time.
[33:40.450 --> 33:40.710]  Whoa.
[33:41.030 --> 33:42.390]  Nick, you're nailing today.
[33:42.510 --> 33:42.950]  I don't know how.
[33:43.050 --> 33:44.030]  Hey, thanks, man.
[33:44.230 --> 33:44.930]  Oh, you know what?
[33:44.950 --> 33:45.810]  I'm being patient.
[33:46.130 --> 33:46.950]  I'm taking my time.
[33:47.050 --> 33:47.510]  I'm thinking.
[33:47.690 --> 33:48.130]  I'm watching.
[33:48.430 --> 33:51.530]  And Andrew's really taking the slack of territory.
[33:52.190 --> 33:53.770]  You know, when you're right, you're right.
[34:00.350 --> 34:01.170]  Andrew, are you okay?
[34:01.750 --> 34:02.390]  I'm good.
[34:02.510 --> 34:03.290]  I'm just, you know what?
[34:06.750 --> 34:08.890]  That was the end of that thought.
[34:09.710 --> 34:12.450]  I was going to change my nickname, but everyone else readied up so quickly.
[34:12.550 --> 34:13.790]  I didn't want to make everyone wait for me.
[34:13.890 --> 34:15.190]  Ooh, what are we doing here?
[34:15.890 --> 34:17.170]  We'll find out when we get in the level.
[34:17.510 --> 34:17.790]  Calm down.
[34:20.770 --> 34:21.410]  All right.
[34:21.550 --> 34:21.850]  All right.
[34:22.030 --> 34:23.010]  Forget my excitement.
[34:23.430 --> 34:24.210]  I'm fucking with you, Nick.
[34:24.270 --> 34:24.530]  I'm sorry.
[34:25.010 --> 34:27.290]  Andrew, you want to do a new nickname next lobby?
[34:27.290 --> 34:29.670]  I would love to do a new nickname next lobby.
[34:29.770 --> 34:31.690]  I'm not feeling this husky detective right now.
[34:33.430 --> 34:34.810]  I think I'm trying to...
[34:34.810 --> 34:37.290]  I'm pushing too hard to solve this crime that doesn't exist.
[34:37.610 --> 34:37.730]  Yeah.
[34:38.710 --> 34:39.290]  Oh, yeah?
[34:39.450 --> 34:40.330]  You need to take a step back.
[34:40.670 --> 34:41.570]  I can do a crime if you want.
[34:41.590 --> 34:43.050]  You're too close to it, Andrew.
[34:43.650 --> 34:44.310]  Oh, shit.
[34:45.230 --> 34:45.950]  Exploding plants?
[34:47.070 --> 34:47.410]  Uh-oh.
[34:48.070 --> 34:48.590]  Oh, shit.
[34:48.670 --> 34:49.350]  Do they kill us?
[34:49.350 --> 34:50.590]  Oh, they push air out.
[34:51.010 --> 34:51.550]  They fart.
[34:51.670 --> 34:52.510]  They're fart plants.
[34:52.890 --> 34:54.190]  I think you need to move the heater.
[34:54.770 --> 34:55.130]  Okay.
[34:56.310 --> 34:56.590]  Okay.
[34:56.950 --> 34:58.010]  Can I melt the plants?
[35:00.030 --> 35:01.270]  Ah, you got up with the heater.
[35:03.490 --> 35:03.770]  Huh.
[35:04.670 --> 35:04.950]  Okay.
[35:05.330 --> 35:06.330]  Oh, we got the snowball.
[35:08.210 --> 35:08.490]  Right.
[35:09.410 --> 35:09.690]  Yeah.
[35:10.070 --> 35:10.910]  Let's get it going bigger.
[35:11.750 --> 35:12.550]  You just need to put it in the hole.
[35:12.550 --> 35:13.010]  Oh, my God.
[35:14.310 --> 35:14.550]  Ah.
[35:14.990 --> 35:15.790]  All right, I'm keeping it.
[35:16.890 --> 35:17.510]  Yep, don't worry.
[35:17.550 --> 35:18.170]  Gavin's got it.
[35:18.670 --> 35:19.290]  Gavin's keeping it.
[35:19.410 --> 35:20.390]  That's blowing it.
[35:21.570 --> 35:22.850]  All right, hold on, hold on, hold on.
[35:22.870 --> 35:23.270]  There you got it.
[35:23.270 --> 35:24.150]  You got it, you got it, you got it, you got it.
[35:24.330 --> 35:25.050]  Nice, nice, nice.
[35:25.050 --> 35:25.570]  Easy.
[35:27.490 --> 35:28.270]  GG, easy.
[35:28.670 --> 35:28.870]  Coin, coin.
[35:29.370 --> 35:29.770]  Bullshit.
[35:31.250 --> 35:32.570]  And I'm already where I need to be.
[35:36.120 --> 35:38.000]  Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.
[35:40.820 --> 35:41.240]  Oh, aced it.
[35:41.240 --> 35:42.020]  Look at this.
[35:42.100 --> 35:42.700]  Aced it.
[35:42.980 --> 35:43.140]  Wow.
[35:43.140 --> 35:43.980]  Fucking aced it.
[35:44.160 --> 35:45.120]  Another world record.
[35:45.520 --> 35:46.040]  Put it on the board.
[35:46.840 --> 35:49.160]  That was pretty impressive, actually.
[35:49.300 --> 35:49.720]  Vote, vote.
[35:50.720 --> 35:51.960]  Ah, the achievement, I need to vote.
[35:52.020 --> 35:52.520]  I need to vote.
[35:53.460 --> 35:54.060]  How do we vote?
[35:54.160 --> 35:54.480]  Which stick?
[35:54.500 --> 35:55.620]  Hit any of the buttons.
[35:56.560 --> 35:57.660]  Any of the buttons.
[36:01.940 --> 36:03.040]  Smash those buttons.
[36:03.420 --> 36:04.360]  Oh, it's the buttons?
[36:04.480 --> 36:05.840]  I thought it was the stick.
[36:06.060 --> 36:07.960]  It's just showing you up, down, left, and right.
[36:08.360 --> 36:11.160]  And it's going to, I don't know, this is too, this is a little too many on me.
[36:12.600 --> 36:14.120]  That's very cool to hear, dude.
[36:14.320 --> 36:15.760]  And congratulations on your accomplishment.
[36:16.640 --> 36:17.920]  Yeah, I'm proud of you.
[36:18.160 --> 36:18.860]  Yeah, Nick's proud of you.
[36:19.440 --> 36:19.640]  Yeah.
[36:21.340 --> 36:22.900]  Ooh, I got some owns.
[36:24.600 --> 36:25.840]  Oh, I want to look at my shit.
[36:26.540 --> 36:28.440]  Oh, yeah, I think Gavin, yeah.
[36:28.820 --> 36:29.980]  Or, oh, there you go, Andrew.
[36:30.360 --> 36:31.940]  I like the, oh, wizard's good, too.
[36:32.940 --> 36:34.440]  Oh, yes, yes, yes, yes, yes.
[36:34.560 --> 36:34.980]  Okay, cool.
[36:35.260 --> 36:35.600]  Yeah, there you go.
[36:35.620 --> 36:37.000]  Oh, fancy blue glass is great.
[36:37.020 --> 36:37.560]  Yeah, there you go.
[36:37.860 --> 36:38.100]  All right.
[36:38.580 --> 36:39.500]  Andrew's got the, uh...
[36:39.500 --> 36:40.840]  Spin the wheel of Gavin's annoyance.
[36:42.000 --> 36:43.980]  Flower pot, that doesn't make it funnier.
[36:44.920 --> 36:46.440]  How do you change your name?
[36:47.960 --> 36:48.600]  Oh, there it is.
[36:49.000 --> 36:49.360]  Nope.
[36:50.340 --> 36:50.680]  Oh, yes.
[36:50.740 --> 36:51.400]  Spin it one more time.
[36:52.660 --> 36:55.220]  This should be like a rock soundtrack option for this game.
[36:56.240 --> 36:56.600]  Shiny.
[36:58.060 --> 36:59.900]  Yeah, this is, this music.
[37:00.300 --> 37:01.940]  You can change the music at my jukebox.
[37:03.660 --> 37:04.500]  Jukebox, Geoffrey.
[37:04.500 --> 37:04.880]  What's that?
[37:05.160 --> 37:06.440]  Run into my house, my yellow house.
[37:07.720 --> 37:08.640]  There you go.
[37:09.200 --> 37:09.680]  Top left.
[37:10.040 --> 37:11.260]  And then go to the top left, yeah.
[37:11.340 --> 37:13.940]  Go to my bottom right house, and then the top left of the house.
[37:14.300 --> 37:14.440]  Yep.
[37:15.940 --> 37:17.860]  It's not my house, I can't, I don't...
[37:17.860 --> 37:20.460]  Can't, fucking, you think you can control my, you think I'd let you?
[37:20.660 --> 37:21.060]  Get out of here.
[37:22.900 --> 37:23.520]  It's mine.
[37:24.180 --> 37:26.240]  Get your grubby face away from it.
[37:27.740 --> 37:30.620]  Do you have the biggest house because you're the host of this game?
[37:31.100 --> 37:31.620]  I'm not the host.
[37:32.540 --> 37:35.100]  Oh, well, that answers that question.
[37:35.220 --> 37:36.260]  It's because I've played more levels.
[37:37.480 --> 37:38.880]  You eventually get a house upgrade.
[37:39.720 --> 37:40.900]  You play it without us?
[37:40.960 --> 37:41.420]  So I just change the music?
[37:41.840 --> 37:41.940]  Yeah.
[37:42.340 --> 37:44.340]  Of course he played without you.
[37:45.000 --> 37:45.400]  That's nuts.
[37:45.680 --> 37:45.800]  Wow.
[37:46.040 --> 37:46.560]  That's crazy.
[37:46.760 --> 37:47.060]  That's crazy.
[37:48.960 --> 37:50.400]  How do you think I got so smart?
[37:51.720 --> 37:52.800]  Yeah, he's a laid back genius.
[37:52.800 --> 37:53.460]  Yep.
[37:53.620 --> 37:54.020]  Hockey!
[37:54.340 --> 37:55.500]  Oh, hockey!
[37:56.140 --> 37:56.540]  Fuck.
[37:56.900 --> 37:57.760]  Okay, here we go.
[37:58.360 --> 37:58.920]  Oh, boy.
[37:59.140 --> 37:59.940]  Let's lock it in.
[38:01.160 --> 38:01.960]  Oh, boy.
[38:02.920 --> 38:03.980]  It's me and Geoff.
[38:04.860 --> 38:06.020]  Oh, let's go, Andrew!
[38:06.520 --> 38:07.120]  Plan G.
[38:08.940 --> 38:09.860]  Can you make your defense?
[38:09.940 --> 38:10.520]  We got this.
[38:10.960 --> 38:12.020]  Okay, I'll stay in back.
[38:12.140 --> 38:12.640]  All right, Gavin.
[38:12.960 --> 38:14.160]  Your offense, I'll be defense.
[38:14.160 --> 38:15.180]  Oh, wait, are we all the same shape?
[38:15.260 --> 38:15.640]  Maybe not.
[38:15.700 --> 38:16.320]  Maybe it doesn't matter.
[38:16.740 --> 38:18.380]  Remember, uh, remember you can straighten out.
[38:18.600 --> 38:18.900]  Bum rush it?
[38:19.240 --> 38:20.140]  Yeah, I'll be defense.
[38:21.380 --> 38:21.700]  Okay.
[38:21.940 --> 38:22.480]  I'll be a goalie.
[38:27.210 --> 38:27.530]  What?
[38:28.150 --> 38:28.670]  I'm too harassed.
[38:28.670 --> 38:29.570]  Oh, shit.
[38:31.890 --> 38:32.430]  Oh, get in there!
[38:32.450 --> 38:33.270]  Oh, I can barely...
[38:33.270 --> 38:35.010]  Oh my god, it's hard to move fast, huh?
[38:35.410 --> 38:35.730]  Get it?
[38:35.930 --> 38:37.030]  The whole day it's a sprint, though.
[38:37.630 --> 38:37.790]  Yeah.
[38:39.470 --> 38:40.730]  Oh, look at that big one.
[38:40.970 --> 38:41.110]  Shit, shit, shit.
[38:41.110 --> 38:41.990]  All right, here we go, boys.
[38:42.830 --> 38:43.370]  Give me the...
[38:43.370 --> 38:43.750]  Give me this.
[38:44.110 --> 38:44.910]  Geoff, go nuts.
[38:45.210 --> 38:45.570]  There you go.
[38:45.890 --> 38:46.750]  Oh, Andrew!
[38:47.570 --> 38:48.150]  Fuck this.
[38:48.230 --> 38:48.750]  I'm playing offense.
[38:49.010 --> 38:49.370]  Geoff, get it going.
[38:49.370 --> 38:49.790]  Yeah, fuck it.
[38:49.790 --> 38:50.630]  Let's just push it.
[38:50.850 --> 38:51.550]  Push it!
[38:52.110 --> 38:53.030]  We gotta stop it.
[38:53.070 --> 38:53.210]  No!
[38:53.470 --> 38:53.890]  There we go.
[38:53.930 --> 38:54.250]  There we go.
[38:54.310 --> 38:54.630]  There we go.
[38:54.630 --> 38:55.970]  Get it, go, get it, go.
[38:57.110 --> 38:57.510]  No!
[38:57.630 --> 38:58.470]  Get that big motherfucker!
[38:58.930 --> 39:01.970]  No easy shit, no easy shit, no easy shit, no easy shit, no easy shit, no easy shit.
[39:02.070 --> 39:04.250]  Oh, spin it, spin it, spin it like Batman!
[39:06.790 --> 39:07.190]  Shit.
[39:09.170 --> 39:09.850]  There it is.
[39:09.950 --> 39:10.810]  Oh, Geoff.
[39:11.390 --> 39:11.730]  No.
[39:11.950 --> 39:12.590]  Fuck off!
[39:12.730 --> 39:13.010]  No!
[39:13.350 --> 39:14.150]  The bombs!
[39:14.630 --> 39:14.930]  Yeah!
[39:15.210 --> 39:16.890]  The fucking bombs!
[39:18.230 --> 39:18.610]  Oh, shit.
[39:18.790 --> 39:19.170]  Hit the big one.
[39:19.450 --> 39:19.870]  Geoff, no!
[39:19.870 --> 39:20.570]  Big one, big one!
[39:20.810 --> 39:21.230]  Geoff, no!
[39:21.230 --> 39:21.970]  All right, no, stop it!
[39:21.990 --> 39:22.270]  Big one!
[39:22.410 --> 39:23.030]  No, stop it!
[39:23.170 --> 39:23.370]  Yes!
[39:23.770 --> 39:24.430]  Good job, Andrew!
[39:24.630 --> 39:26.070]  It's still a game!
[39:27.930 --> 39:28.410]  Oh!
[39:28.650 --> 39:29.270]  30 seconds!
[39:29.910 --> 39:30.010]  Yes!
[39:32.130 --> 39:35.370]  They're up 10, plenty of time.
[39:35.690 --> 39:39.030]  Push, push, push, push, push, push, push, push!
[39:39.970 --> 39:40.630]  Get it off him.
[39:41.130 --> 39:43.330]  No, it's too close.
[39:43.930 --> 39:45.410]  No, get it, no, no, no.
[39:45.630 --> 39:47.150]  Push, go, go, go, go, go, go, go, go, yes!
[39:47.950 --> 39:49.610]  They're only down by three!
[39:49.970 --> 39:51.570]  Oh no, that one's bouncing!
[39:51.830 --> 39:52.470]  Seven seconds!
[39:53.030 --> 39:53.370]  Five!
[39:53.370 --> 39:53.850]  You got this.
[39:59.170 --> 40:12.390]  My country's gonna be so ashamed. Get in the goal. Gavin, he's my hero. He's my MVP. Good
[40:12.390 --> 40:23.070]  job, buddy. Good job, you. That was pretty tense. That was surprisingly tense. Pretty
[40:26.150 --> 40:34.010]  serious. You want to swap to the next region? Do we have it already? The Quilted Quarry.
[40:34.330 --> 40:38.750]  I believe it's the toughest one. I don't have that one. It's locked for me. Oh, you don't
[40:38.750 --> 40:42.310]  have that one? Okay, I'll vote for it and you guys vote for the ice one. All right.
[40:42.490 --> 40:49.750]  Okay, done. I gotta go put my new clothes on real fast. What's this? Is this the leave
[40:49.750 --> 40:58.200]  door? Yeah, that's how people come into the world. Okay. They're born from it. Achievements
[40:58.200 --> 41:09.520]  real quick. Oh, I'm so close. You're very close. This bell doesn't ring. Gavin. Well,
[41:10.600 --> 41:15.200]  I think that's the code bell, is it? Oh, that's like the matchmaking bell. The bell is on
[41:15.200 --> 41:33.020]  the or the code is on the TV. Come on, quarry. Yeah. Are there cannons? I like your little
[41:33.560 --> 41:39.460]  horns, your little fruit demon horns. Yeah, my little ones. A shining gentleman. I'm just
[41:39.460 --> 41:49.100]  saying. Except for annoying millionaire. Everybody step back. I got this. I'm the genius
[41:49.100 --> 42:00.260]  here. Use the wind and turn on the lamp. Oh, get those coins. An achievement? Damn. Oh,
[42:00.520 --> 42:10.510]  dear. Oh, dear. Okay, we just got to get them all spinning. It isn't hard. Oh, my God, you
[42:10.510 --> 42:15.610]  budged the shit out of me. I think you have to move that block, Gavin. You can't. Oh,
[42:15.670 --> 42:21.170]  really? Yeah, I just want to aim my wind at it. It doesn't move it. Sorry, I twatted the
[42:21.170 --> 42:28.990]  shit out of you. Can I hook it? Yeah, I think so. No, no. We just got it. There you go,
[42:29.030 --> 42:34.290]  Gavin. You got it. Oh, we just need to make sure they're all happening at the same time.
[42:34.290 --> 42:45.690]  Son of the... what? Son of the bitch. Dawn of the bitch? So shouldn't it be angled Andrew
[42:45.690 --> 42:56.030]  at the... Yeah, yeah. Oh, way to go. Oh, wow, Nick came in. Nick, what do you think is
[42:56.030 --> 43:01.300]  happening? What do you mean? Like, what do you think is happening here? Like, if you
[43:01.300 --> 43:06.480]  describe it to me, what do you think you have to do? We just need pink. There we go.
[43:06.520 --> 43:10.120]  Wow. What do you mean? Tap them all at the same time, do we? We had to get them all moving
[43:10.120 --> 43:13.620]  at the same time. What the fuck did you think was happening? It seemed like you were trying
[43:13.620 --> 43:17.980]  to move it as fast as you could instead of just pointing the fan at the thing. Yeah,
[43:18.000 --> 43:23.380]  but the fan just needed to move. Twatted to turn on, doesn't it? Yeah, yeah. It just looked
[43:23.380 --> 43:29.880]  like watching everyone move with precision and in the bottom left, you are going as hard
[43:29.880 --> 43:34.980]  as you can left and right was awesome. Yeah, but Nick's could just twat back and forth
[43:34.980 --> 43:40.060]  and keep on the whole time. Right, which is what I was doing. Yeah. To make it so that
[43:40.060 --> 43:44.480]  we wouldn't have a downtime. And then he'd run over and bump Gavin and go, oh shit, hang
[43:44.480 --> 43:54.160]  on. Well, that was before I figured it out. Oh, man. Oh, shit. I got a wooden bench. You
[43:54.160 --> 44:00.680]  got a new nameplate. Finally get some furniture in this house. I don't know what it was in
[44:00.680 --> 44:03.860]  reference to Gavin, but I just saw in the chat, somebody said that Geoff is more American
[44:03.860 --> 44:07.940]  than Gavin is British. And I don't know why, but I kind of agree with them. Yeah, I think
[44:07.940 --> 44:12.180]  that's right. Well, yeah. I mean, if you maybe if you lived in England for 12 years, you'd
[44:12.180 --> 44:21.660]  be less American. That's true. Yeah. I also have the unfair advantage of having served
[44:21.660 --> 44:30.760]  in the military, which is always like, which gives you the patriotism plus one. See, I'm
[44:30.760 --> 44:37.580]  from England where we're born without patriotism. You can just tell, like, in their demeanor
[44:37.580 --> 44:43.900]  and stuff. Like, if we see something that says made in Britain, you're just like, no, this
[44:43.900 --> 44:49.340]  is going to suck. Gavin's like, well, I'm made in Britain and I know what's wrong with
[44:50.160 --> 44:52.980]  the heater. Why couldn't this be made in Portugal?
[44:54.600 --> 45:02.800]  Uh, that ice. OK, just run fast on it. All right, melt my bowl.
[45:03.900 --> 45:06.200]  I don't know why we're obsessed with melting balls over here.
[45:06.400 --> 45:09.700]  We got it. Oh, God, it's moving too close to me. It's moving too close to me.
[45:10.060 --> 45:16.100]  You tried running away. Get back. Why are you touching? Get back. Nick, get back.
[45:17.300 --> 45:19.180]  Andrew, I still need to melt it a little.
[45:19.180 --> 45:24.840]  Get back. I don't think that's true. I'm a genius. Trust me. Gavin, put it in the hole.
[45:26.160 --> 45:30.340]  Put it in the hole. I think you're going to have to melt it a little bit.
[45:30.440 --> 45:33.340]  Put it in the hole. I'm a genius. Trust me.
[45:33.840 --> 45:37.340]  OK, what now, genius? All right, genius.
[45:37.800 --> 45:42.000]  Now we wait for global warming. Everybody group up. Six years. Six years we're going to hang out
[45:42.000 --> 45:46.000]  here. I'm going to evaluate.
[45:46.520 --> 45:48.800]  I think other people need to push it while Nick melts it a little bit.
[45:49.640 --> 45:50.960]  Just melt it a little bit.
[45:53.400 --> 45:59.840]  That's enough. Oh, Nick. Oh, Nick. I got it. All right. Good job, everyone. It's perfect.
[45:59.980 --> 46:04.280]  Good group think. Oh, ow. That was a test. I was testing you.
[46:07.980 --> 46:10.380]  All right, now do we need to get another bowl from the start?
[46:10.540 --> 46:12.840]  Looks like someone else when you use this is less.
[46:13.280 --> 46:15.380]  OK, there it is. Got your ball.
[46:16.380 --> 46:18.040]  I just go ahead and put it where it goes.
[46:21.080 --> 46:22.560]  Yeah. Probably have to melt it a little.
[46:22.840 --> 46:23.680]  So grab this.
[46:25.240 --> 46:29.040]  Moving with you. Yeah, yeah. Nick, I think this is good.
[46:29.580 --> 46:31.540]  Yeah, and I'll block it so it doesn't come off the ledge.
[46:31.880 --> 46:34.660]  Nice. Oh, it's beautiful. And then Geoff will push it down.
[46:35.120 --> 46:36.480]  And then Geoff. Oh, there it goes.
[46:37.740 --> 46:42.460]  There you go, boys. Too much melt. Too much melt. Stop pushing me, Geoff!
[46:44.380 --> 46:48.940]  No, we got part of it. Oh, my God. We got partial floor.
[46:48.940 --> 46:51.620]  Partial melting. Partial melting.
[46:51.800 --> 46:53.680]  I like that. I like that part because Geoff helped.
[46:54.320 --> 46:58.280]  Thank you. Oh, shit. Oh, shit. Oh, shit. Oh, shit. Oh, my God.
[46:58.640 --> 47:03.040]  All right, Gavin, I'm going to use you as a... OK.
[47:03.420 --> 47:03.960]  Where do you want me?
[47:05.400 --> 47:07.260]  Yeah. Just smack it down.
[47:08.000 --> 47:10.460]  Get out of there. No, we need more snow.
[47:10.520 --> 47:11.600]  No, no, it's good. It's fine. It's fine.
[47:11.600 --> 47:12.940]  We've already got some. It's fine. That'll fill.
[47:13.020 --> 47:15.280]  That'll fill it. It'll fill it.
[47:15.700 --> 47:18.040]  Yeah, you're right.
[47:18.940 --> 47:20.040]  I know. I know.
[47:20.200 --> 47:21.740]  Nick knows his snow. He knows his melt.
[47:22.320 --> 47:24.480]  I know the melty snow.
[47:28.300 --> 47:29.680]  Yep. Excuse me. Pardon.
[47:32.000 --> 47:34.020]  All right. Pick that up again.
[47:36.740 --> 47:38.400]  Oh, look. Oh, look.
[47:38.420 --> 47:39.960]  And then you fit just like that. Isn't that great?
[47:41.800 --> 47:43.600]  Why do I have it? I don't want it.
[47:50.000 --> 47:52.300]  That's. Well, this surely is incorrect.
[47:53.640 --> 47:54.900]  It's not me that's wrong.
[47:57.520 --> 48:00.300]  Geoff, are you sure it's not you that's wrong?
[48:00.600 --> 48:04.460]  I'm positive I'm a genius, but I'm real laid back about it.
[48:05.480 --> 48:06.820]  All right, where would you like me to go?
[48:10.340 --> 48:11.540]  You guys got to swap.
[48:11.800 --> 48:12.840]  Yeah, Gavin goes up there.
[48:14.020 --> 48:15.060]  Geoff, you go to the bottom.
[48:17.900 --> 48:21.220]  And you. Oh, yeah. Perfect. Yeah.
[48:21.720 --> 48:23.580]  Easy. Oh, just like that.
[48:23.740 --> 48:25.960]  Well, is that slightly wrong angle?
[48:26.900 --> 48:28.380]  Was it like that? A little off.
[48:28.820 --> 48:30.560]  That's OK. Now you'll figure it out.
[48:30.620 --> 48:31.240]  It's like that, right?
[48:31.260 --> 48:32.440]  You got it. Yeah.
[48:38.500 --> 48:40.900]  SpecterPanzers wants to know if this is a bit, but I don't.
[48:41.020 --> 48:42.820]  Somebody thinks Andrew's paying GTA right now.
[48:46.940 --> 48:47.660]  Physically, I'm here.
[48:47.760 --> 48:48.560]  Mentally, I'm there.
[48:50.860 --> 48:53.320]  Hey, thanks for coming and hanging out on Friday
[48:53.320 --> 48:55.900]  at the best time of the fucking week with us.
[48:55.940 --> 48:56.840]  Almost there, man.
[48:57.540 --> 48:58.680]  501 so close.
[48:59.560 --> 49:01.300]  Fucking got it in our sights right now.
[49:01.340 --> 49:02.260]  We're about to pull the trigger.
[49:02.480 --> 49:07.000]  Blat blat 501 dead bleeding out right in front of us.
[49:07.260 --> 49:10.500]  We've got a weekend to roll around in the blood and relax and enjoy life.
[49:10.640 --> 49:12.800]  We have to put our clothes back on and go to work Monday.
[49:13.500 --> 49:14.240]  All the what?
[49:14.620 --> 49:16.340]  Aren't we doing work tomorrow?
[49:17.060 --> 49:17.860]  Yeah, yeah.
[49:18.720 --> 49:19.820]  So what's happening?
[49:19.880 --> 49:21.040]  Doesn't fit the narrative, Eric.
[49:21.460 --> 49:22.400]  I don't need to know that.
[49:23.960 --> 49:25.540]  I'm just saying it's making me nervous.
[49:27.980 --> 49:29.540]  Let us roll around in the blood.
[49:30.060 --> 49:30.700]  I'm not working.
[49:31.020 --> 49:31.960]  Without clothes?
[49:32.360 --> 49:33.120]  Yeah, of course.
[49:33.200 --> 49:34.440]  I don't want to get blood on my clothes.
[49:34.540 --> 49:35.560]  That shit does not come out.
[49:36.020 --> 49:38.880]  Can we start a new thing where like it similar to a blindside?
[49:39.020 --> 49:40.900]  One of us could just shout blood bomb.
[49:42.140 --> 49:44.540]  And I could throw a bomb of blood at someone.
