[00:01.280 --> 00:02.060]  You all right, Gavin?
[01:50:18.300 --> 01:50:19.040]  Treasure divers.
[01:50:20.300 --> 01:50:21.400]  Everybody's going to get some money.
[01:50:22.160 --> 01:50:23.260]  Keep what you find, baby!
[01:50:27.140 --> 01:50:27.660]  Ow!
[01:50:29.480 --> 01:50:31.500]  This is one that I used to be good at,
[01:50:31.640 --> 01:50:32.820]  but I'm no longer good at.
[01:50:33.800 --> 01:50:34.360]  Oh, shit!
[01:50:34.740 --> 01:50:36.420]  DK, you're a bastard.
[01:50:36.900 --> 01:50:38.040]  It's the test game!
[01:50:38.920 --> 01:50:40.440]  You're dead to me already.
[01:50:41.100 --> 01:50:41.900]  Oh, Jesus!
[01:50:43.100 --> 01:50:43.900]  Oh my God!
[01:50:44.680 --> 01:50:45.020]  Move!
[01:50:49.570 --> 01:50:50.650]  Oh, the shock!
[01:50:50.710 --> 01:50:52.190]  Oh, you little son of a bitch squid!
[01:50:53.210 --> 01:50:54.290]  I'm not getting shit.
[01:50:54.290 --> 01:50:54.530]  Nice.
[01:50:55.030 --> 01:50:57.670]  Oh, big one.
[01:50:58.590 --> 01:50:59.150]  Thank you.
[01:50:59.470 --> 01:51:01.230]  Mario on a tear right here.
[01:51:01.670 --> 01:51:02.950]  I just want a few coins.
[01:51:04.650 --> 01:51:05.610]  There you go.
[01:51:06.930 --> 01:51:08.290]  Take it from him.
[01:51:10.750 --> 01:51:11.390]  No!
[01:51:12.350 --> 01:51:12.690]  Give me that!
[01:51:13.230 --> 01:51:15.150]  No, kill him!
[01:51:15.530 --> 01:51:16.470]  It's my deals!
[01:51:17.090 --> 01:51:17.710]  Wow!
[01:51:20.830 --> 01:51:22.310]  That tied it.
[01:51:24.430 --> 01:51:25.630]  Ow, ow.
[01:51:26.630 --> 01:51:28.210]  My wrist.
[01:51:32.250 --> 01:51:33.690]  All right.
[01:51:34.270 --> 01:51:35.990]  Turn 15, here we come.
[01:51:36.490 --> 01:51:37.130]  Halfway!
[01:51:37.930 --> 01:51:38.730]  Beginning of week three.
[01:51:42.190 --> 01:51:43.590]  Imposter Bowser!
[01:51:47.990 --> 01:51:49.270]  There's nothing left.
[01:51:50.250 --> 01:51:51.550]  Yeah, it's bad.
[01:51:51.550 --> 01:51:53.670]  Oh, I hate where I am.
[01:51:54.310 --> 01:51:54.750]  Jesus!
[01:51:58.590 --> 01:52:00.130]  Moisturize seagull with the prime sub.
[01:52:00.250 --> 01:52:00.670]  Thank you.
[01:52:00.710 --> 01:52:01.570]  Thank you so much.
[01:52:03.430 --> 01:52:04.870]  Watch me roll under four.
[01:52:06.130 --> 01:52:06.570]  Nice.
[01:52:06.910 --> 01:52:08.490]  Nice job, Geoff.
[01:52:08.830 --> 01:52:09.590]  You think you'll buy it?
[01:52:09.870 --> 01:52:10.010]  Yep.
[01:52:13.070 --> 01:52:13.510]  Nah.
[01:52:15.350 --> 01:52:16.650]  Yeah, I think I'll get it.
[01:52:22.390 --> 01:52:23.610]  Back on the board.
[01:52:23.630 --> 01:52:24.850]  Oh, I'm gonna have to think of shit.
[01:52:26.630 --> 01:52:28.190]  Are we gonna do a halfway shit break?
[01:52:28.330 --> 01:52:29.150]  We might have to do a shit break.
[01:52:29.150 --> 01:52:30.170]  Oh, come on.
[01:52:30.490 --> 01:52:31.590]  Leave my mic on, though.
[01:52:31.790 --> 01:52:32.110]  No!
[01:52:33.530 --> 01:52:34.330]  Something else.
[01:52:35.670 --> 01:52:37.690]  I'm gonna guess now, something else.
[01:52:39.430 --> 01:52:40.790]  Fill that fucking bowl.
[01:52:41.210 --> 01:52:42.770]  Hold the turds in till later.
[01:52:43.290 --> 01:52:44.630]  How do you do those doors?
[01:52:45.690 --> 01:52:46.430]  You gotta get a key.
[01:52:46.670 --> 01:52:48.230]  You can buy those keys.
[01:52:50.030 --> 01:52:51.050]  You need a key.
[01:52:53.230 --> 01:52:55.010]  How do I wanna play this?
[01:52:55.110 --> 01:52:55.930]  Oh, that's a great question.
[01:52:56.030 --> 01:52:56.910]  I would use the controller.
[01:52:57.950 --> 01:53:00.590]  Oh, problem solved.
[01:53:02.090 --> 01:53:03.070]  Let's just have some fun.
[01:53:03.310 --> 01:53:04.070]  I'm gonna run and take a pee.
[01:53:04.410 --> 01:53:05.710]  Does anybody need anything from the kitchen while I'm up?
[01:53:06.010 --> 01:53:06.290]  No.
[01:53:07.050 --> 01:53:08.530]  I'll take one of the Waterloo's, please.
[01:53:09.590 --> 01:53:09.910]  Fuck.
[01:53:10.870 --> 01:53:11.750]  Definitely should mute Geoff.
[01:53:11.830 --> 01:53:12.170]  Yeah, I done.
[01:53:12.170 --> 01:53:13.150]  Yeah, I done.
[01:53:14.530 --> 01:53:16.070]  Look, I gave it back to you guys.
[01:53:16.290 --> 01:53:17.230]  To the people.
[01:53:21.130 --> 01:53:22.310]  Roll more than one.
[01:53:29.190 --> 01:53:30.790]  I'd love to buy a double item.
[01:53:31.410 --> 01:53:32.690]  Yeah, you get a double item, don't you?
[01:53:33.110 --> 01:53:33.510]  Sweet.
[01:53:35.250 --> 01:53:36.910]  This is still anyone's game.
[01:53:36.990 --> 01:53:37.950]  Yeah, really, big time.
[01:53:39.170 --> 01:53:41.610]  Especially with all the Bowser squares and everything locking up.
[01:53:41.610 --> 01:53:42.250]  Crazy.
[01:53:42.610 --> 01:53:43.810]  It's gonna turn into a nightmare.
[01:53:47.010 --> 01:53:49.290]  You know what? I'm having fun with these.
[01:53:51.770 --> 01:53:53.790]  A lot of people saying that
[01:53:53.790 --> 01:53:55.130]  Geoff's mic is not muted.
[01:53:57.250 --> 01:53:59.310]  Is that pretty exciting?
[01:53:59.710 --> 01:54:00.350]  He's muted.
[01:54:01.430 --> 01:54:02.830]  Are you sure?
[01:54:03.590 --> 01:54:06.070]  His mic...
[01:54:06.070 --> 01:54:06.290]  Nope.
[01:54:07.010 --> 01:54:07.710]  I don't hear anything.
[01:54:07.710 --> 01:54:08.810]  No, me neither.
[01:54:09.770 --> 01:54:11.230]  Is there like a separate line?
[01:54:12.350 --> 01:54:13.270]  Fingers crossed.
[01:54:13.810 --> 01:54:14.590]  That'd be cool.
[01:54:15.090 --> 01:54:15.630]  Hopefully not.
[01:54:17.030 --> 01:54:19.150]  Yeah, a lot of people saying definitely not muted.
[01:54:21.290 --> 01:54:22.650]  He's muted on our end.
[01:54:24.790 --> 01:54:26.530]  People saying heard the piss.
[01:54:27.770 --> 01:54:28.510]  Did they really?
[01:54:29.150 --> 01:54:30.670]  Geoff, say something quietly.
[01:54:31.170 --> 01:54:34.030]  Hey, what's up? It's Geoff. I just peed all over the place.
[01:54:34.910 --> 01:54:36.390]  Geoff, say something quietly.
[01:54:37.530 --> 01:54:39.230]  I just did a super piss.
[01:54:41.890 --> 01:54:42.690]  I don't know.
[01:54:43.370 --> 01:54:44.930]  Yeah, we heard him. Not muted.
[01:54:46.270 --> 01:54:47.190]  He's not muted.
[01:54:47.410 --> 01:54:48.650]  Just did some hard piss.
[01:54:48.770 --> 01:54:50.370]  I just did a super piss.
[01:54:52.470 --> 01:54:53.810]  Well, he's not muted.
[01:54:54.050 --> 01:54:56.090]  How was I muted?
[01:54:56.390 --> 01:54:56.870]  I don't know.
[01:54:57.210 --> 01:54:57.910]  Was I muted?
[01:54:58.130 --> 01:54:59.790]  I didn't hear you in our headphones.
[01:54:59.790 --> 01:55:01.230]  We didn't hear anything in the headphones.
[01:55:01.350 --> 01:55:03.670]  So it's bypassing us straight to Twitch?
[01:55:03.870 --> 01:55:04.090]  That.
[01:55:06.730 --> 01:55:07.870]  How about now?
[01:55:09.010 --> 01:55:09.670]  What about now?
[01:55:10.630 --> 01:55:11.510]  Geoff, say something.
[01:55:13.590 --> 01:55:14.570]  I hear you.
[01:55:14.830 --> 01:55:16.170]  Okay, so we can hear him now.
[01:55:16.170 --> 01:55:17.430]  But they shouldn't be able to hear him.
[01:55:17.670 --> 01:55:18.630]  You're just muting our headphones.
[01:55:19.830 --> 01:55:21.590]  I was muting the main mix, I guess.
[01:55:21.690 --> 01:55:21.950]  What?
[01:55:22.890 --> 01:55:24.450]  Muted. People are saying he's muted.
[01:55:24.670 --> 01:55:25.130]  Okay, sweet.
[01:55:25.130 --> 01:55:27.390]  Alright, well, we figured it out.
[01:55:30.650 --> 01:55:31.130]  What?
[01:55:32.390 --> 01:55:33.930]  Oh, this is personal.
[01:55:34.270 --> 01:55:36.190]  This is a personal attack.
[01:55:36.490 --> 01:55:37.150]  No, I do not pee quietly.
[01:55:39.490 --> 01:55:41.130]  I'm a loud pisser.
[01:55:42.570 --> 01:55:44.030]  I piss like I mean it.
[01:55:44.370 --> 01:55:45.170]  Gavin, why?
[01:55:45.910 --> 01:55:47.270]  Oh, that won't be in the...
[01:55:47.270 --> 01:55:48.110]  It's fun.
[01:55:48.950 --> 01:55:49.950]  Fun? Okay.
[01:55:50.130 --> 01:55:50.790]  I liked it.
[01:55:50.790 --> 01:55:51.770]  Thank you for this.
[01:55:52.610 --> 01:55:53.330]  Sorry about that.
[01:55:54.230 --> 01:55:56.930]  Oh, don't worry, dude. It's that apology to the audience on me.
[01:55:57.250 --> 01:55:58.630]  You didn't mute the piss
[01:55:58.630 --> 01:56:00.250]  of the one guy who records his own pisses.
[01:56:01.790 --> 01:56:03.030]  Can I get up there, please?
[01:56:03.870 --> 01:56:04.590]  Slow down.
[01:56:04.870 --> 01:56:05.630]  Can I get up there, please?
[01:56:05.910 --> 01:56:07.490]  For God's sake!
[01:56:08.330 --> 01:56:09.290]  Why you guys stop?
[01:56:10.130 --> 01:56:11.250]  Gavin, what the fuck?
[01:56:11.310 --> 01:56:12.990]  Gavin, are you fucking dumb?
[01:56:13.490 --> 01:56:16.090]  What is wrong with you?
[01:56:16.530 --> 01:56:17.370]  Go, go, go!
[01:56:17.370 --> 01:56:18.350]  What is...
[01:56:18.350 --> 01:56:19.030]  Go, go, go!
[01:56:20.690 --> 01:56:22.210]  Go, go, go!
[01:56:22.430 --> 01:56:25.130]  Go, go, go!
[01:56:25.830 --> 01:56:26.230]  Gavin!
[01:56:26.450 --> 01:56:27.210]  Go, go, go!
[01:56:29.130 --> 01:56:30.370]  Don't mute his shit.
[01:56:30.450 --> 01:56:31.790]  Are you fucking stupid?
[01:56:32.410 --> 01:56:33.670]  What is wrong with you?
[01:56:34.890 --> 01:56:36.430]  What the fuck was that?
[01:56:38.350 --> 01:56:38.750]  Gavin!
[01:56:40.190 --> 01:56:40.750]  81!
[01:56:42.390 --> 01:56:43.510]  That's what you get!
[01:56:43.510 --> 01:56:45.210]  I gave him 40 coins!
[01:56:45.370 --> 01:56:46.870]  Give me all your coins!
[01:56:48.110 --> 01:56:48.530]  You're...
[01:56:48.530 --> 01:56:51.130]  The timing, I just couldn't get out of it.
[01:56:51.230 --> 01:56:52.250]  I couldn't get out of hell.
[01:56:52.430 --> 01:56:52.910]  80!
[01:56:54.670 --> 01:56:56.670]  Oh, it's a good day for the Dilkotomy!
[01:56:57.670 --> 01:56:58.710]  That was...
[01:56:58.710 --> 01:56:59.210]  Gavin.
[01:57:00.530 --> 01:57:03.810]  The idiot flags are insane right now.
[01:57:04.010 --> 01:57:05.570]  That was the worst performance
[01:57:05.570 --> 01:57:06.390]  I've ever seen.
[01:57:06.390 --> 01:57:08.470]  That was worse than Andrew during the launch.
[01:57:08.470 --> 01:57:10.070]  That was so bad.
[01:57:10.650 --> 01:57:11.090]  What?
[01:57:12.230 --> 01:57:14.050]  I didn't even need to be in front of anyone
[01:57:14.050 --> 01:57:15.890]  to use the glove anyway.
[01:57:16.470 --> 01:57:16.910]  Moron.
[01:57:17.950 --> 01:57:18.830]  I just...
[01:57:20.130 --> 01:57:21.510]  You're gonna reverse the polarity.
[01:57:21.850 --> 01:57:23.370]  Or leave and not get the star.
[01:57:24.850 --> 01:57:25.730]  Where is the star?
[01:57:27.770 --> 01:57:28.470]  Right there.
[01:57:28.650 --> 01:57:29.190]  Behind you.
[01:57:29.970 --> 01:57:31.810]  So I'm gonna give it to Andrew?
[01:57:31.990 --> 01:57:33.390]  No, he can't get it.
[01:57:33.430 --> 01:57:35.130]  He can't do it.
[01:57:35.150 --> 01:57:37.090]  He can't get it.
[01:57:37.090 --> 01:57:38.990]  If he rolls high enough.
[01:57:39.470 --> 01:57:39.910]  Yeah, he won't.
[01:57:40.150 --> 01:57:42.550]  I'm gonna land on a Bowser space is what I'm gonna do.
[01:57:44.770 --> 01:57:45.730]  Yeah, that's...
[01:57:45.730 --> 01:57:46.970]  Man, it sucks to suck.
[01:57:48.590 --> 01:57:50.190]  Bowser charged the erection.
[01:57:51.910 --> 01:57:52.070]  What?
[01:57:52.850 --> 01:57:54.230]  Andrew said something about an erection.
[01:57:55.710 --> 01:57:57.370]  Bowser charged the erection.
[01:57:57.890 --> 01:57:58.950]  That is a lot of flavor
[01:57:58.950 --> 01:58:00.390]  for no caffeine and sugar.
[01:58:00.830 --> 01:58:01.930]  Happy birthday, Erectus.
[01:58:02.070 --> 01:58:02.610]  Thanks, Chemical.
[01:58:03.070 --> 01:58:03.510]  Fuck!
[01:58:05.250 --> 01:58:06.090]  What did he roll?
[01:58:06.530 --> 01:58:06.770]  Two.
[01:58:08.570 --> 01:58:09.850]  Didn't even get to the Bowser.
[01:58:10.690 --> 01:58:11.550]  Excuse me.
[01:58:11.930 --> 01:58:12.530]  That was a good one.
[01:58:13.210 --> 01:58:14.990]  Oh, damn.
[01:58:16.710 --> 01:58:17.970]  That's the money dice.
[01:58:19.630 --> 01:58:20.690]  Is that your drill
[01:58:20.690 --> 01:58:22.130]  we've been using around the office, Gavin?
[01:58:22.230 --> 01:58:22.670]  The DeWalt?
[01:58:23.850 --> 01:58:25.130]  You like my drill?
[01:58:25.550 --> 01:58:26.970]  Dude, is that your claw hammer too?
[01:58:27.730 --> 01:58:29.670]  Man, I gotta stop buying cheap tools.
[01:58:29.670 --> 01:58:31.210]  You may not know this about me,
[01:58:31.310 --> 01:58:32.830]  but I'm a big DeWalt guy.
[01:58:32.990 --> 01:58:36.010]  I got sucked in early on, and I've just gone all in on DeWalt.
[01:58:36.050 --> 01:58:37.670]  Everybody has their one...
[01:58:37.670 --> 01:58:38.730]  I was talking about this recently.
[01:58:38.870 --> 01:58:41.790]  Everybody has their one tool brand that they ride or die for.
[01:58:41.850 --> 01:58:43.690]  I feel like people also really like Milwaukee.
[01:58:44.330 --> 01:58:46.570]  Milwaukee and Bosch are my go-tos.
[01:58:46.950 --> 01:58:47.290]  Bosch.
[01:58:48.710 --> 01:58:49.410]  Yeah, I'm probably
[01:58:50.710 --> 01:58:51.710]  10, 11 years
[01:58:52.270 --> 01:58:53.330]  deep into DeWalt.
[01:58:54.270 --> 01:58:55.530]  DeWalt used to be
[01:58:56.310 --> 01:58:57.370]  the white label
[01:58:57.370 --> 01:58:59.190]  flagship brand of Black & Decker.
[01:59:00.270 --> 01:59:01.730]  Is that the same company?
[01:59:01.910 --> 01:59:03.510]  Yeah, I don't know if it still is, but it was.
[01:59:03.650 --> 01:59:05.690]  It was like Black & Decker made a prestige brand
[01:59:05.690 --> 01:59:06.250]  and it was DeWalt.
[01:59:06.690 --> 01:59:08.750]  Or they bought it and made it a prestige brand.
[01:59:08.950 --> 01:59:10.330]  Mario, come on.
[01:59:10.390 --> 01:59:11.770]  The jump button is really delayed.
[01:59:12.530 --> 01:59:15.010]  And Andrew's just jumping like a maniac.
[01:59:15.410 --> 01:59:16.430]  Trying to box people out.
[01:59:17.350 --> 01:59:18.090]  It's working.
[01:59:18.690 --> 01:59:19.530]  Box yourself out.
[01:59:22.430 --> 01:59:23.590]  Damn it, Geoff.
[01:59:24.010 --> 01:59:24.550]  You suck.
[01:59:25.730 --> 01:59:26.570]  Ha!
[01:59:27.990 --> 01:59:28.970]  The bats!
[01:59:32.560 --> 01:59:33.400]  Oh!
[01:59:33.920 --> 01:59:34.980]  Oh my god.
[01:59:35.500 --> 01:59:37.020]  Milwaukee gang.
[01:59:37.320 --> 01:59:38.080]  Did we drop frames?
[01:59:38.480 --> 01:59:39.320]  No!
[01:59:41.940 --> 01:59:44.180]  Victory for DeWalt!
[01:59:44.760 --> 01:59:45.600]  DeWalt!
[01:59:46.500 --> 01:59:48.680]  I can't do this today.
[01:59:48.920 --> 01:59:50.220]  You are awful.
[01:59:50.880 --> 01:59:51.360]  No!
[01:59:52.180 --> 01:59:54.420]  Well, now you've got time to talk more about DeWalt.
[01:59:54.420 --> 01:59:55.740]  Yeah, the floor's yours.
[01:59:59.840 --> 02:00:01.120]  They sucked me in.
[02:00:01.860 --> 02:00:02.580]  They suck you off.
[02:00:07.280 --> 02:00:08.920]  Still got a lot of penance left.
[02:00:09.180 --> 02:00:09.300]  Fuck.
[02:00:10.200 --> 02:00:10.740]  Two turns.
[02:00:11.940 --> 02:00:14.920]  Thousands and thousands and thousands of penance left.
[02:00:14.940 --> 02:00:16.480]  I didn't kill Yoshi to win this time.
[02:00:16.680 --> 02:00:17.440]  I don't know what that means.
[02:00:17.820 --> 02:00:19.500]  Maybe they'll last the whole of year too.
[02:00:20.680 --> 02:00:22.200]  In the flop section?
[02:00:22.620 --> 02:00:23.840]  Yeah, in the flop zone all year.
[02:00:23.840 --> 02:00:24.240]  Yeah.
[02:00:27.560 --> 02:00:29.980]  We should see if we can wallpaper a room with them.
[02:00:30.840 --> 02:00:32.340]  If they don't sell, we will.
[02:00:32.380 --> 02:00:33.040]  We'll have to, yeah.
[02:00:34.060 --> 02:00:35.660]  That could be how we store them.
[02:00:38.840 --> 02:00:39.560]  All right.
[02:00:42.840 --> 02:00:45.280]  Not muting Geoff when he took a super piss is so crazy.
[02:00:45.440 --> 02:00:46.140]  Yeah, my bad.
[02:00:46.300 --> 02:00:48.600]  I pissed hard. That was a big yellow piss too.
[02:00:48.640 --> 02:00:48.880]  So insane.
[02:00:49.060 --> 02:00:50.040]  I am not hydrated today.
[02:00:50.040 --> 02:00:52.680]  The one thing we do, because the one is the main feed,
[02:00:52.820 --> 02:00:53.740]  which is what we hear,
[02:00:53.900 --> 02:00:55.860]  and also what is on that device,
[02:00:55.960 --> 02:00:57.660]  what's being fed to the stream is aux 1.
[02:00:59.300 --> 02:01:00.240]  Yeah, you know.
[02:01:00.420 --> 02:01:02.200]  Because if it's on aux 1,
[02:01:02.360 --> 02:01:03.860]  they don't hear Andrew off aux 1.
[02:01:05.100 --> 02:01:05.540]  Exactly.
[02:01:05.800 --> 02:01:07.800]  But why wouldn't main be the stream?
[02:01:08.820 --> 02:01:09.200]  Right.
[02:01:09.600 --> 02:01:11.020]  Because Andrew would get our feed.
[02:01:11.300 --> 02:01:11.740]  Yeah.
[02:01:13.360 --> 02:01:15.140]  Because Andrew would hear himself twice.
[02:01:16.840 --> 02:01:18.180]  I agree with you.
[02:01:18.180 --> 02:01:20.080]  Instead of 4,000 people
[02:01:20.080 --> 02:01:20.820]  got to hear me piss.
[02:01:22.820 --> 02:01:23.720]  People are asking,
[02:01:23.960 --> 02:01:25.260]  where did Andrew Robot go?
[02:01:25.820 --> 02:01:27.880]  He's taking care of the iPad.
[02:01:28.040 --> 02:01:30.040]  Yeah, he's making sure we can hear Geoff piss.
[02:01:30.800 --> 02:01:32.180]  I think maybe Andrew just
[02:01:32.180 --> 02:01:32.800]  unmuted it.
[02:01:34.560 --> 02:01:35.780]  We should give Andrew
[02:01:35.780 --> 02:01:37.680]  little poking fingers so he can touch it.
[02:01:38.460 --> 02:01:40.220]  I was just thinking, I want to upgrade
[02:01:40.220 --> 02:01:41.980]  Andrew. We need to find the version
[02:01:41.980 --> 02:01:43.860]  above this that is self-docking.
[02:01:44.540 --> 02:01:45.880]  That charges itself. Because this one,
[02:01:45.880 --> 02:01:47.820]  you gotta plug in. I'd love for Andrew
[02:01:47.820 --> 02:01:49.720]  to be able to wake up in the morning,
[02:01:50.260 --> 02:01:51.940]  unplug himself, go out into the day,
[02:01:52.120 --> 02:01:53.380]  and at the end of the day,
[02:01:53.420 --> 02:01:55.680]  like a Roomba, return to home.
[02:01:58.780 --> 02:01:59.800]  Ooh, you got flamed.
[02:02:00.080 --> 02:02:00.360]  I got fired.
[02:02:02.200 --> 02:02:04.280]  So this is to keep an eye on your dog
[02:02:04.280 --> 02:02:05.500]  or something? Is that what this is?
[02:02:05.800 --> 02:02:07.880]  Yeah, it's like a pet thing.
[02:02:09.720 --> 02:02:10.620]  Great find, Geoff.
[02:02:10.840 --> 02:02:11.120]  Pet camera.
[02:02:11.620 --> 02:02:12.280]  Yeah, that's awesome.
[02:02:12.280 --> 02:02:13.520]  I feel like my dog would rip that shit.
[02:02:13.540 --> 02:02:15.320]  I believe my wife found it on TikTok.
[02:02:15.680 --> 02:02:18.140]  And she goes, you should buy this and make it Andrew.
[02:02:18.300 --> 02:02:20.360]  And I went, we should really put you
[02:02:20.360 --> 02:02:20.940]  in charge of the company.
[02:02:21.020 --> 02:02:22.960]  Wait, when did I get dice blocked?
[02:02:23.140 --> 02:02:24.820]  Nowhere, no one. Nick did.
[02:02:27.300 --> 02:02:28.500]  Can you guess?
[02:02:29.160 --> 02:02:29.420]  No.
[02:02:29.720 --> 02:02:31.620]  Why don't we make it random?
[02:02:33.000 --> 02:02:34.180]  Pure unadulterated chance.
[02:02:35.600 --> 02:02:36.780]  He just did it.
[02:02:37.520 --> 02:02:38.800]  He already has one.
[02:02:39.680 --> 02:02:40.720]  Can they stack?
[02:02:41.260 --> 02:02:41.540]  Oh.
[02:02:42.540 --> 02:02:43.260]  Piece of shit.
[02:02:44.960 --> 02:02:45.520]  No.
[02:02:48.060 --> 02:02:48.860]  Damn it.
[02:02:49.220 --> 02:02:50.000]  Piece of shit.
[02:02:50.100 --> 02:02:52.860]  I knew I should have bought the shroom instead of accidentally buying another one of these.
[02:02:54.100 --> 02:02:54.500]  Three.
[02:02:55.260 --> 02:02:56.080]  Three's good.
[02:02:56.440 --> 02:02:57.000]  Bowser.
[02:02:57.520 --> 02:03:00.220]  Hope you lose a star, you fuck.
[02:03:00.520 --> 02:03:01.520]  Money well spent.
[02:03:03.480 --> 02:03:04.880]  Oh, I'd love one now.
[02:03:06.380 --> 02:03:07.180]  Oh, no.
[02:03:07.240 --> 02:03:08.080]  Not a star steal.
[02:03:10.100 --> 02:03:12.020]  This game's about to get dangerous.
[02:03:12.060 --> 02:03:14.260]  Let me look at the star while I get bows.
[02:03:14.400 --> 02:03:15.620]  We got another hype train going.
[02:03:15.760 --> 02:03:16.280]  Thank you to everyone.
[02:03:16.420 --> 02:03:17.580]  Thank you so much.
[02:03:19.240 --> 02:03:20.640]  One day a hype train.
[02:03:21.000 --> 02:03:22.320]  Incredible anniversary.
[02:03:22.460 --> 02:03:23.840]  What's the highest level hype train?
[02:03:24.080 --> 02:03:25.620]  I don't think there's a limit.
[02:03:26.040 --> 02:03:27.400]  That we've ever had.
[02:03:28.000 --> 02:03:29.480]  Probably like 15, I'm not sure.
[02:03:29.560 --> 02:03:32.240]  If we get to hype level 30, I'll piss again.
[02:03:33.000 --> 02:03:34.600]  But you won't hear it this time.
[02:03:34.720 --> 02:03:35.860]  No, you will hear it again.
[02:03:36.060 --> 02:03:38.160]  If we get to 30, Geoff will do it on camera.
[02:03:38.700 --> 02:03:39.180]  No.
[02:03:39.940 --> 02:03:40.260]  What?
[02:03:42.240 --> 02:03:43.200]  All right.
[02:03:43.240 --> 02:03:46.140]  You said that in Nojo's 81 gifted tensor.
[02:03:47.860 --> 02:03:49.000]  What did he slap away?
[02:03:49.140 --> 02:03:49.380]  What?
[02:03:52.020 --> 02:03:52.500]  Oh.
[02:03:54.020 --> 02:03:55.480]  So he just took it.
[02:03:55.980 --> 02:03:57.600]  He just took it to that hole.
[02:03:57.720 --> 02:03:59.420]  Holy fucking shit.
[02:03:59.420 --> 02:04:00.080]  Wow.
[02:04:01.280 --> 02:04:02.520]  Gavin is going to...
[02:04:02.520 --> 02:04:04.980]  He knocked the options out of the way.
[02:04:05.060 --> 02:04:06.080]  Gavin quit the game.
[02:04:06.760 --> 02:04:07.520]  I'm going to pee.
[02:04:08.240 --> 02:04:08.900]  Mute it or don't.
[02:04:10.580 --> 02:04:11.900]  Can you mute it on both sides?
[02:04:12.380 --> 02:04:14.020]  Why don't you crank that up?
[02:04:14.700 --> 02:04:15.660]  It's muted on both.
[02:04:15.900 --> 02:04:19.040]  Do you want to hear the difference between American and British piss?
[02:04:19.500 --> 02:04:20.120]  Oh, sorry.
[02:04:21.980 --> 02:04:23.460]  I'm sorry, Mr. Toy in the Boat.
[02:04:23.720 --> 02:04:24.780]  You got whiz on you.
[02:04:26.240 --> 02:04:27.120]  Gavin's missing it.
[02:04:27.120 --> 02:04:27.780]  Oh, no.
[02:04:28.120 --> 02:04:29.920]  Gavin is going to get the star you should have had.
[02:04:40.400 --> 02:04:43.040]  We're laughing like those fucking weasels in the cartoons.
[02:04:44.840 --> 02:04:46.440]  God, that's so funny.
[02:04:47.200 --> 02:04:47.980]  Thank you.
[02:04:48.660 --> 02:04:50.300]  Oh, no, it's a Bowser, right?
[02:04:51.120 --> 02:04:52.240]  It's going to be Bowser.
[02:04:53.120 --> 02:04:53.580]  Yep.
[02:04:53.580 --> 02:04:55.240]  It's going to be bad, sir.
[02:04:56.060 --> 02:04:56.840]  Uh-oh.
[02:04:58.500 --> 02:05:00.240]  Hey, I got a star.
[02:05:00.920 --> 02:05:02.180]  Now let's see what happens.
[02:05:03.000 --> 02:05:03.680]  Well, I inadvertently
[02:05:04.220 --> 02:05:05.660]  gave myself more work on this
[02:05:05.660 --> 02:05:06.640]  VOD.
[02:05:07.220 --> 02:05:07.460]  Yeah.
[02:05:09.640 --> 02:05:10.160]  Cool.
[02:05:11.080 --> 02:05:12.680]  Store's still open, everybody.
[02:05:13.420 --> 02:05:15.040]  This VOD will be out
[02:05:15.040 --> 02:05:17.700]  if Nick says it's okay, it'll be out Thursday.
[02:05:17.980 --> 02:05:18.680]  Okay, that's fine.
[02:05:19.400 --> 02:05:20.900]  Might have to do some de-pissing.
[02:05:20.900 --> 02:05:22.580]  Yeah, I gotta do some de-pissing.
[02:05:22.700 --> 02:05:25.460]  Oh, no, he threw it away!
[02:05:26.060 --> 02:05:26.960]  He's taking a star!
[02:05:27.120 --> 02:05:29.520]  I just bought this!
[02:05:30.520 --> 02:05:31.300]  Unmute Gavin.
[02:05:31.480 --> 02:05:34.980]  He just bought a star, landed on a Bowser's face,
[02:05:35.080 --> 02:05:36.140]  and lost a star.
[02:05:37.420 --> 02:05:39.240]  So he just lost all his coins.
[02:05:40.880 --> 02:05:42.600]  You guys need to hurry up and crack the code
[02:05:42.600 --> 02:05:43.300]  for that vault.
[02:05:45.220 --> 02:05:46.460]  Did he get there?
[02:05:48.460 --> 02:05:49.960]  God damn it!
[02:05:50.680 --> 02:05:51.300]  What made it better
[02:05:51.300 --> 02:05:52.300]  is that you could hear it.
[02:05:52.500 --> 02:05:54.240]  Now I'm partnered with this dickhead?
[02:05:54.680 --> 02:05:55.440]  God damn it!
[02:05:56.860 --> 02:05:58.180]  You keep trying to attack me!
[02:05:58.360 --> 02:05:59.000]  We got this.
[02:06:01.660 --> 02:06:06.160]  Okay, Gavin.
[02:06:06.580 --> 02:06:06.940]  Gavin?
[02:06:07.880 --> 02:06:09.180]  Yeah, big time.
[02:06:09.580 --> 02:06:10.980]  You guys are fucked.
[02:06:11.900 --> 02:06:13.100]  He got it.
[02:06:13.660 --> 02:06:14.760]  He just went on Wario.
[02:06:15.600 --> 02:06:17.060]  Yeah, I mean, we don't even need to communicate.
[02:06:17.260 --> 02:06:17.660]  It's easy.
[02:06:18.240 --> 02:06:20.340]  Yeah, you guys don't need to communicate.
