[00:00.000 --> 00:00.800]  Dog's not too late.
[27:45.410 --> 27:46.910]  Oh, luxury car's gonna be an argument.
[27:47.210 --> 27:47.550]  Damn it.
[27:47.910 --> 27:50.090]  I'm sorry for whatever Eric said.
[27:50.390 --> 27:51.270]  Yeah, me too.
[27:53.010 --> 27:54.330]  It's just because he keeps winning.
[27:54.810 --> 27:55.670]  All right, boys, here we go.
[27:55.970 --> 28:00.170]  Five, four, three, two, one.
[28:00.670 --> 28:01.010]  Bingo!
[28:01.350 --> 28:01.570]  Let's go!
[28:01.710 --> 28:03.690]  Why does the street cop left the fucking scene?
[28:04.430 --> 28:05.710]  Is that a bachelorette party?
[28:06.110 --> 28:08.390]  Uh, it doesn't say.
[28:08.570 --> 28:09.670]  I can see the screen.
[28:09.910 --> 28:10.690]  Is that a FaceTime screen?
[28:10.890 --> 28:11.110]  No.
[28:12.610 --> 28:12.850]  Selfies?
[28:13.170 --> 28:13.270]  Damn.
[28:15.050 --> 28:15.530]  Are that phone?
[28:15.630 --> 28:15.770]  No.
[28:15.930 --> 28:16.470]  There's a cop!
[28:16.590 --> 28:16.970]  Street cop!
[28:17.090 --> 28:17.630]  Scooter gang!
[28:17.830 --> 28:18.390]  Scooter gang!
[28:18.450 --> 28:19.310]  Scooter gang I got.
[28:20.670 --> 28:21.610]  Guy on guy scooter?
[28:21.750 --> 28:22.250]  Street cop.
[28:22.430 --> 28:23.730]  Oh, I'm too deep, baby.
[28:23.770 --> 28:24.310]  Drop something.
[28:24.590 --> 28:25.150]  Scooter gang?
[28:25.350 --> 28:26.370]  There was a guy who dropped something.
[28:26.450 --> 28:26.630]  Really?
[28:26.830 --> 28:27.050]  Yeah.
[28:27.190 --> 28:27.590]  What'd he drop?
[28:27.950 --> 28:29.530]  I think it was his ID or something.
[28:29.670 --> 28:30.830]  He dropped it, picked it up.
[28:30.950 --> 28:31.270]  Damn it.
[28:31.390 --> 28:31.890]  Sucks to suck.
[28:32.090 --> 28:33.450]  I don't have a drop.
[28:33.910 --> 28:35.170]  I've got a lot of foot stuff.
[28:35.230 --> 28:36.850]  Jeans and flip-flops and barefoot.
[28:36.870 --> 28:37.350]  Trade with Nick.
[28:37.970 --> 28:39.230]  No, I don't like feet.
[28:39.370 --> 28:40.270]  I also have barefoot.
[28:41.590 --> 28:42.710]  Hi, acknowledge the camera.
[28:42.930 --> 28:43.910]  Acknowledge the camera.
[28:44.690 --> 28:45.490]  Big wave.
[28:45.790 --> 28:46.030]  You're back!
[28:46.030 --> 28:46.830]  Oh, he's back!
[28:47.090 --> 28:47.750]  Are you okay?
[28:47.950 --> 28:48.570]  Sorry about that.
[28:48.670 --> 28:49.190]  No, no, it's okay.
[28:49.190 --> 28:50.350]  No worries, we're just glad you're okay.
[28:50.550 --> 28:51.590]  We thought Eric offended you.
[28:52.570 --> 28:54.550]  Start a new bingo board.
[28:57.230 --> 28:57.930]  I'm on it.
[28:58.470 --> 28:59.810]  Eric won the last one.
[28:59.970 --> 29:00.090]  Yeah.
[29:00.970 --> 29:01.930]  It's been known to happen.
[29:01.930 --> 29:03.390]  Oh, that's so close to formal wear.
[29:05.090 --> 29:06.010]  Do I have that again?
[29:06.770 --> 29:07.930]  Were they on the fence about entering
[29:07.930 --> 29:09.110]  because they started and then went away?
[29:10.050 --> 29:11.730]  I don't think they hesitated long enough.
[29:11.990 --> 29:12.350]  Yeah.
[29:13.550 --> 29:15.110]  I don't think they were on the fence.
[29:15.250 --> 29:15.890]  I think they just like,
[29:15.930 --> 29:18.510]  I didn't get that impression they were having trouble
[29:18.510 --> 29:19.570]  making up their decision.
[29:20.230 --> 29:21.410]  Oh, is that a jersey?
[29:21.550 --> 29:22.230]  That is a jersey.
[29:22.670 --> 29:23.230]  Yeah, it's a jersey.
[29:23.730 --> 29:24.590]  Do I have that this time?
[29:24.610 --> 29:25.750]  I think it says Okinawa.
[29:26.030 --> 29:26.270]  Yeah.
[29:26.410 --> 29:26.710]  Yeah.
[29:27.050 --> 29:28.150]  Oh, I don't have that anymore.
[29:28.250 --> 29:28.590]  Dang.
[29:28.890 --> 29:29.490]  Yeah, me neither.
[29:30.470 --> 29:30.830]  Dang.
[29:31.930 --> 29:33.610]  Dude, I haven't gotten anything yet.
[29:34.350 --> 29:35.910]  Oh, that's promising for once.
[29:38.250 --> 29:39.670]  What kind of cake are you getting?
[29:39.890 --> 29:40.430]  I don't know.
[29:40.490 --> 29:41.690]  Maybe the same as the last time.
[29:41.850 --> 29:42.250]  None.
[29:42.970 --> 29:43.550]  But we're here.
[29:45.630 --> 29:47.410]  You could door dash the cake.
[29:47.550 --> 29:48.150]  Oh, you could.
[29:48.230 --> 29:48.690]  You should.
[29:48.910 --> 29:49.690]  We have time.
[29:49.850 --> 29:50.310]  We have time.
[29:50.410 --> 29:51.810]  I don't want to door dash the cake.
[29:52.050 --> 29:52.390]  Why not?
[29:52.570 --> 29:53.110]  Door dash the cake.
[29:53.150 --> 29:53.530]  Door dash the cake.
[29:54.150 --> 29:54.550]  Dickheadtruck.
[29:54.770 --> 29:57.290]  Dickheadtruck and Underglow, yeah.
[29:57.870 --> 29:58.590]  Eric, please.
[29:59.230 --> 29:59.890]  That's a double.
[30:01.270 --> 30:02.110]  That's a two for me.
[30:02.130 --> 30:04.550]  Nick wants you to hire a personal taxi for your cake.
[30:05.850 --> 30:07.310]  We could Waymo a cake.
[30:07.850 --> 30:09.950]  If you're going to hire a personal taxi, make sure it's pink.
[30:10.310 --> 30:10.990]  I need that.
[30:16.630 --> 30:18.550]  Dude, I haven't gotten a single thing yet.
[30:19.210 --> 30:19.430]  Whoa!
[30:19.830 --> 30:20.110]  Hoofing it!
[30:20.810 --> 30:21.530]  Hard hoof!
[30:22.250 --> 30:23.070]  Hard hoofing it.
[30:23.170 --> 30:24.730]  Was he trying to fuck with the dude in the truck?
[30:24.830 --> 30:25.410]  Yes, he was.
[30:27.490 --> 30:28.250]  He just, uh...
[30:28.770 --> 30:29.310]  That was weird.
[30:29.310 --> 30:31.830]  Does that count as someone yells to wait up?
[30:32.010 --> 30:32.170]  Yeah.
[30:32.470 --> 30:32.930]  Was it?
[30:33.070 --> 30:33.710]  I don't think so.
[30:35.650 --> 30:36.330]  Just hoofing.
[30:37.370 --> 30:38.130]  Is this drunk walk?
[30:38.250 --> 30:39.030]  I don't have a truck.
[30:39.290 --> 30:39.510]  Yes.
[30:39.810 --> 30:40.150]  Dickheadtruck.
[30:40.250 --> 30:40.550]  Yes.
[30:40.930 --> 30:42.650]  Is that also a dead parrot head, right?
[30:42.750 --> 30:43.230]  I think so.
[30:43.630 --> 30:44.110]  Yeah, definitely.
[30:44.450 --> 30:45.990]  That's a definite dead parrot head.
[30:45.990 --> 30:47.110]  Ooh, I feel good about that.
[30:47.250 --> 30:47.830]  Dead parrot.
[30:48.030 --> 30:49.430]  All of a sudden, we're on the board, boys.
[30:50.410 --> 30:51.190]  Oh, I thought he'd get a dead parrot.
[30:51.190 --> 30:51.890]  Oh God, not again.
[30:52.410 --> 30:53.450]  I thought he had a bandage,
[30:53.510 --> 30:55.050]  but I think his leg was just a bit gammy.
[30:55.470 --> 30:55.810]  Yeah.
[31:00.030 --> 31:01.270]  Oh, is there somebody on a stretcher?
[31:01.850 --> 31:02.330]  There was somebody on a stretcher.
[31:02.350 --> 31:03.750]  There was somebody on a stretcher.
[31:04.130 --> 31:05.410]  I've never seen that before.
[31:05.850 --> 31:06.650]  No, I don't think so.
[31:06.710 --> 31:07.210]  That was just great.
[31:07.270 --> 31:08.430]  There was somebody on the stretcher, Andrew.
[31:08.510 --> 31:09.110]  That was nuts.
[31:09.590 --> 31:10.290]  Acknowledging the camera.
[31:10.330 --> 31:11.070]  I didn't see it.
[31:11.270 --> 31:11.510]  Yeah.
[31:11.590 --> 31:13.910]  Yeah, it was right at the top right of the screen.
[31:14.190 --> 31:15.250]  Oh, that guy's licking his...
[31:15.250 --> 31:15.610]  Oh!
[31:18.770 --> 31:19.870]  Did he put gum on his shoe?
[31:20.270 --> 31:21.910]  I think he's a litter boy.
[31:21.910 --> 31:23.650]  No, he was...
[31:23.650 --> 31:25.290]  He put his cigarette out on his shoe.
[31:25.750 --> 31:26.970]  Now he's gonna go through with it.
[31:28.710 --> 31:32.050]  Is he? Is he gonna throw it away or is he gonna wait and drop it?
[31:32.190 --> 31:32.430]  Dumb hat.
[31:32.430 --> 31:33.430]  Yeah, he dropped it!
[31:33.610 --> 31:33.750]  Dumb hat.
[31:34.190 --> 31:34.830]  Dumb hat.
[31:35.030 --> 31:36.850]  We all saw that.
[31:37.250 --> 31:37.890]  Litter hat.
[31:38.230 --> 31:39.210]  I don't think I have a litter bug.
[31:39.450 --> 31:39.890]  I don't either.
[31:41.390 --> 31:42.230]  We all saw it.
[31:42.310 --> 31:42.790]  I don't have it.
[31:42.830 --> 31:43.310]  Oh, I do have some.
[31:43.330 --> 31:43.830]  I have it.
[31:43.930 --> 31:44.030]  Sweet.
[31:47.930 --> 31:48.430]  Another cop.
[31:48.550 --> 31:49.790]  Great, this fucking cop.
[31:49.970 --> 31:50.670]  Oh, it was the same cop?
[31:50.910 --> 31:51.190]  Yeah.
[31:53.790 --> 31:55.790]  You missed that littering that just happened.
[31:55.790 --> 31:57.210]  About to crack some skulls.
[31:57.230 --> 31:57.430]  Yeah.
[31:59.370 --> 32:00.910]  I need guy on guy scooter.
[32:01.870 --> 32:02.450]  So do I.
[32:02.590 --> 32:03.390]  Yeah, I'm looking for it.
[32:04.530 --> 32:06.610]  Me and Andrew have our eyes peeled for guy on guy scooter.
[32:06.970 --> 32:07.730]  Oh, roller rubbish.
[32:08.390 --> 32:09.390]  Oh, roller rubbish.
[32:09.670 --> 32:10.410]  Oh, I have it.
[32:10.510 --> 32:10.930]  Wow.
[32:12.670 --> 32:13.590]  That's a good one.
[32:13.930 --> 32:15.310]  Is car delivery slash pickup,
[32:15.430 --> 32:17.370]  does the stretcher count for that?
[32:20.090 --> 32:21.230]  I would say, yeah.
[32:21.350 --> 32:22.490]  If it happened on screen.
[32:23.130 --> 32:25.590]  I think it's so rare that I would give it to you.
[32:25.590 --> 32:27.850]  Okay, I'll take it.
[32:29.950 --> 32:32.130]  It's such a, I mean, we've never seen anything like it.
[32:32.130 --> 32:32.630]  Double fisting.
[32:32.930 --> 32:33.910]  Yeah, double fisting.
[32:34.570 --> 32:35.570]  Oh, you had a double fist?
[32:35.730 --> 32:35.850]  Okay.
[32:35.950 --> 32:37.130]  Yeah, good eye, good eye.
[32:37.470 --> 32:38.270]  Don't have it.
[32:39.550 --> 32:40.630]  Need barefoot still.
[32:40.650 --> 32:42.050]  Yeah, I need jeans and flip flops too.
[32:43.410 --> 32:44.210]  Cowboy boots.
[32:52.250 --> 32:55.110]  Someone in chat said, Nick has the mask on in spirit.
[32:56.410 --> 32:57.050]  Extra, ooh.
[32:57.190 --> 32:59.610]  This guy hanging out at the pole at the top.
[32:59.770 --> 33:00.590]  Gonna overstay his welcome.
[33:00.750 --> 33:01.510]  Okay, I was gonna say,
[33:01.590 --> 33:02.810]  he's definitely an overstayer, right?
[33:02.830 --> 33:03.530]  He's working on it.
[33:03.750 --> 33:04.050]  Has he?
[33:04.090 --> 33:05.370]  Yeah, I've got camera overstay,
[33:05.390 --> 33:07.270]  but I feel like he's maybe a minute away from it.
[33:07.270 --> 33:08.510]  Yeah, let's get a little bit longer.
[33:08.610 --> 33:09.110]  I have it as well.
[33:09.250 --> 33:09.930]  Here, we can time it.
[33:09.950 --> 33:10.890]  Let's just start when it works.
[33:11.050 --> 33:12.870]  We notice someone, then we start a minute timer.
[33:13.130 --> 33:15.150]  He's just been there for such a long time.
[33:15.150 --> 33:15.790]  I'll start a timer.
[33:15.990 --> 33:17.370]  Yeah, start a timer for the overstay.
[33:17.370 --> 33:17.890]  All right, ready?
[33:18.150 --> 33:18.290]  Yeah.
[33:20.510 --> 33:20.830]  And...
[33:20.830 --> 33:22.590]  Wow, Nick does not want camera overstayer.
[33:22.590 --> 33:23.690]  Really slow rolling this timer.
[33:23.710 --> 33:24.390]  Yeah, no kidding.
[33:24.390 --> 33:25.470]  What the fuck are you talking about?
[33:25.470 --> 33:26.970]  30 seconds into the fucking...
[33:26.970 --> 33:27.430]  All right, here we go.
[33:27.490 --> 33:28.010]  It's another cop.
[33:28.230 --> 33:28.450]  Yeah.
[33:30.030 --> 33:31.530]  Did you start the timer yet, Nick?
[33:31.610 --> 33:31.970]  I did.
[33:32.150 --> 33:32.450]  Okay.
[33:32.810 --> 33:33.430]  It's a different cop.
[33:34.550 --> 33:34.950]  Fuck.
[33:38.510 --> 33:41.470]  I wonder what all the cop activity is about tonight.
[33:43.450 --> 33:44.270]  Well, it's probably something to do
[33:44.270 --> 33:45.290]  with the person on the stretcher.
[33:45.550 --> 33:46.670]  I definitely think so.
[33:47.130 --> 33:48.370]  You think someone got decked?
[33:48.970 --> 33:49.370]  Maybe.
[33:49.810 --> 33:51.490]  Oh, they had a severe neck injury.
[33:52.550 --> 33:52.950]  From the deck.
[33:52.950 --> 33:54.070]  Maybe slipped on a hot dog.
[33:54.590 --> 33:55.150]  That's what I thought.
[33:56.350 --> 33:57.530]  Plastic hot dog slip.
[33:58.150 --> 33:59.450]  That would cause a smashed hot dog.
[33:59.810 --> 34:00.310]  20 seconds.
[34:00.690 --> 34:01.670]  Oh, a smashed hot dog.
[34:02.470 --> 34:03.630]  I mean, think about it.
[34:03.670 --> 34:04.910]  If Nick would have started that timer on time,
[34:04.950 --> 34:05.470]  we would have had it.
[34:05.730 --> 34:06.710]  Is that an episode?
[34:07.150 --> 34:07.490]  What's that?
[34:08.130 --> 34:09.290]  That we just talked about?
[34:09.590 --> 34:09.810]  Yeah.
[34:10.010 --> 34:10.450]  Not yet.
[34:10.770 --> 34:11.510]  Well, no, it hasn't come out yet.
[34:11.510 --> 34:12.550]  An upcoming episode.
[34:12.810 --> 34:13.130]  Thank you.
[34:15.090 --> 34:15.810]  Nighttime Shades?
[34:17.970 --> 34:18.770]  Are they?
[34:19.330 --> 34:20.910]  No, I just said it wishfully thinking
[34:20.910 --> 34:21.990]  maybe it would show up.
[34:21.990 --> 34:23.050]  No, I get it.
[34:23.190 --> 34:24.190]  You got to conjure those things.
[34:25.130 --> 34:27.550]  Emily looked at the other feed.
[34:27.750 --> 34:28.550]  Ambulance around the corner.
[34:28.770 --> 34:29.330]  Oh, wow, really?
[34:29.610 --> 34:29.630]  Yeah.
[34:30.130 --> 34:30.910]  Oh, crazy.
[34:31.510 --> 34:31.730]  Yeah.
[34:32.790 --> 34:35.050]  That must be what the flashing light is in the reflection.
[34:35.450 --> 34:36.010]  Thank you, beautiful.
[34:36.830 --> 34:37.570]  Thank you, beautiful.
[34:40.370 --> 34:41.630]  Will you tell Eric to get his cake?
[34:41.750 --> 34:42.510]  Sucking on a chili dog!
[34:42.950 --> 34:44.230]  That's sucking on a chili dog.
[34:45.290 --> 34:45.850]  Oh, Eric!
[34:48.490 --> 34:49.890]  He's eating the evidence.
[34:50.250 --> 34:50.470]  Yeah.
[34:52.230 --> 34:52.950]  I got it.
[34:52.950 --> 34:54.270]  I got sucking on a chili dog.
[34:54.590 --> 34:56.330]  That's the first time I've ever seen it.
[34:56.370 --> 34:56.850]  Me too.
[34:57.710 --> 34:59.870]  That scared the fuck out of me.
[35:00.750 --> 35:01.250]  That made me hot.
[35:01.250 --> 35:02.630]  Did I count that as dog out too late?
[35:02.630 --> 35:03.230]  That's a fucking good one, man.
[35:03.650 --> 35:06.730]  No, that is not dog out too late.
[35:08.650 --> 35:09.050]  No.
[35:14.410 --> 35:15.210]  Oh, God.
[35:15.670 --> 35:16.790]  Oh, boy.
[35:16.830 --> 35:18.050]  Andrew, keep an eye at the top
[35:18.050 --> 35:19.790]  and see if there's any guy on guy scooters
[35:19.790 --> 35:20.450]  going on up there.
[35:20.940 --> 35:21.770]  Yeah, I'm looking.
[35:22.070 --> 35:22.850]  Oh, God.
[35:23.010 --> 35:23.790]  Holy shit.
[35:23.810 --> 35:24.930]  It's like a dumb hat, maybe?
[35:25.910 --> 35:27.170]  Two cops, is that a matching outfit?
[35:30.390 --> 35:32.570]  Yeah, it's a uniform, so I think it is.
[35:32.570 --> 35:32.990]  Okay.
[35:33.330 --> 35:34.670]  Yeah, I think it is.
[35:34.830 --> 35:35.750]  What would it be?
[35:35.790 --> 35:36.870]  Okay, matching outfit.
[35:37.110 --> 35:37.650]  Oh, wow.
[35:37.750 --> 35:38.450]  Oh, shit.
[35:38.710 --> 35:40.130]  I guess they technically have to be on the screen
[35:40.130 --> 35:40.570]  at the same time.
[35:40.570 --> 35:41.190]  That's true.
[35:41.490 --> 35:43.130]  I'm gonna undo that until they both show up.
[35:43.290 --> 35:44.150]  Yeah, that's fair.
[35:45.290 --> 35:45.710]  Wow.
[35:46.230 --> 35:48.530]  That dickhead truck, Jesus Christ.
[35:48.530 --> 35:49.230]  That's three.
[35:49.510 --> 35:50.070]  What does that say?
[35:51.210 --> 35:52.970]  Ah, those are just normal people on a scooter.
[35:53.650 --> 35:53.890]  Damn.
[35:54.590 --> 35:55.790]  Just normal scooter folk.
[35:55.890 --> 35:56.070]  Yeah.
[35:56.830 --> 35:57.750]  Oh, living scooter liars.
[35:57.750 --> 35:58.610]  We don't know what that is.
[35:58.670 --> 35:59.330]  That's pretty cool.
[35:59.930 --> 36:00.650]  Hold it closer.
[36:00.790 --> 36:01.270]  Hold it closer.
[36:01.470 --> 36:02.190]  Can't see shit.
[36:02.370 --> 36:03.090]  Oh, Sloppy Joe's.
[36:03.090 --> 36:04.230]  I think it's Sloppy Joe's.
[36:04.510 --> 36:05.150]  Is it for this?
[36:05.230 --> 36:06.250]  No, I think it says...
[36:06.250 --> 36:08.010]  Oh, it's an Ian Faye!
[36:08.150 --> 36:08.550]  Hey, see?
[36:08.890 --> 36:09.250]  Hey!
[36:10.590 --> 36:11.310]  That's awesome!
[36:11.630 --> 36:11.990]  Yeah!
[36:12.530 --> 36:12.890]  Hey!
[36:13.030 --> 36:13.370]  Yeah!
[36:13.730 --> 36:15.570]  Also, the guy didn't overstay his welcome either.
[36:15.690 --> 36:15.810]  Yeah.
[36:16.030 --> 36:16.510]  Yeah, yeah.
[36:16.510 --> 36:17.610]  It's sort of time-related, anyway.
[36:17.610 --> 36:19.150]  No, it was only 10 seconds late.
[36:19.350 --> 36:21.310]  It was 16 seconds away from hitting.
[36:22.410 --> 36:23.590]  Oh, I have matching outfits, too.
[36:23.710 --> 36:24.570]  Get that cop out here.
[36:25.270 --> 36:27.890]  Do you want to know how the legend shows up on camera?
[36:29.090 --> 36:30.610]  Oh, is that blue thing formal?
[36:30.950 --> 36:31.690]  Oh, that's pretty formal.
[36:31.810 --> 36:32.010]  Where?
[36:32.390 --> 36:32.710]  What?
[36:32.770 --> 36:34.010]  What the hell blue thing are you talking about?
[36:34.010 --> 36:34.250]  Where?
[36:34.270 --> 36:34.790]  Dress or something.
[36:35.690 --> 36:36.730]  It was too...
[36:36.730 --> 36:37.110]  Yeah, no.
[36:37.230 --> 36:37.630]  Dress?
[36:37.630 --> 36:39.110]  Yeah, what about these jean shorts?
[36:39.210 --> 36:39.790]  Are those formal?
[36:39.970 --> 36:40.690]  Get out of here.
[36:42.090 --> 36:43.850]  Are those jean shorts and sandals?
[36:45.090 --> 36:45.910]  Yeah, formal.
[36:45.950 --> 36:46.530]  Do those count?
[36:50.560 --> 36:51.540]  I see the lights.
[36:52.440 --> 36:53.940]  If somebody could almost get hit by a car,
[36:54.020 --> 36:54.880]  I'd appreciate it.
[36:55.020 --> 36:55.580]  I'm with you.
[36:55.760 --> 36:58.120]  What if this guy on the bike falls over right...
[37:00.080 --> 37:00.540]  Damn it.
[37:00.540 --> 37:01.580]  Yeah, feel free to trip.
[37:01.780 --> 37:02.780]  Go, go, go.
[37:03.620 --> 37:03.740]  Oh.
[37:09.360 --> 37:10.740]  Oh, American flag clothes.
[37:10.940 --> 37:11.560]  Have we seen that yet?
[37:11.660 --> 37:13.160]  Oh, we saw a hat a second ago.
[37:13.280 --> 37:13.640]  No, no.
[37:14.640 --> 37:15.160]  Oh, we did?
[37:15.180 --> 37:15.840]  Who's doing an American flag hat?
[37:15.900 --> 37:16.680]  Yeah, two seconds ago.
[37:16.800 --> 37:16.840]  Shit.
[37:16.840 --> 37:17.540]  I didn't see it.
[37:17.800 --> 37:18.320]  What did we see?
[37:18.740 --> 37:19.580]  An American flag hat.
[37:19.700 --> 37:20.580]  Thanks for calling it out.
[37:20.880 --> 37:22.060]  I don't have it, so...
[37:24.720 --> 37:25.860]  So I didn't see shit.
[37:26.700 --> 37:27.840]  I don't think I had it either.
[37:29.560 --> 37:31.480]  Anybody see any high fives or camo?
[37:31.660 --> 37:31.940]  No.
[37:32.280 --> 37:33.000]  I need a fist bump.
[37:34.820 --> 37:35.520]  Oh, I could...
[37:35.520 --> 37:36.460]  And a fanny pack.
[37:37.200 --> 37:37.760]  Fanny pack.
[37:38.260 --> 37:39.160]  That is a fanny pack.
[37:39.400 --> 37:39.540]  Wow.
[37:39.640 --> 37:40.800]  Did you really need a fanny pack?
[37:40.860 --> 37:41.020]  Yeah.
[37:41.380 --> 37:41.860]  Oh, wow.
[37:41.940 --> 37:42.700]  I didn't know that was one.
[37:42.760 --> 37:43.500]  I would have called it out.
[37:44.700 --> 37:45.880]  Oh, is that...
[37:45.880 --> 37:46.440]  No, I didn't.
[37:46.500 --> 37:46.680]  No.
[37:47.500 --> 37:48.260]  Nice try, though.
[37:50.140 --> 37:51.800]  She's on the phone, looking, hey, what's up?
[37:51.800 --> 37:52.040]  Hey, Peter.
[37:52.040 --> 37:52.300]  Jeez.
[37:54.560 --> 37:55.620]  Where's that other cop?
[37:55.700 --> 37:56.160]  Come back.
[37:56.280 --> 37:56.860]  Jesus Christ.
[37:57.180 --> 37:58.500]  The one time I want to fucking see him.
[37:58.880 --> 37:59.120]  Yeah.
[37:59.700 --> 38:01.120]  Oh, this is jeans and...
[38:02.520 --> 38:03.660]  Jeans and flip flops, yeah.
[38:03.940 --> 38:04.320]  Well...
[38:04.320 --> 38:04.920]  It's not flip flops.
[38:05.040 --> 38:06.040]  No, those are sandals.
[38:07.000 --> 38:07.800]  They're strapped.
[38:08.000 --> 38:08.200]  Yeah.
[38:08.540 --> 38:09.280]  They don't flop at all.
[38:09.300 --> 38:10.920]  They got to be the thong, so they don't count.
[38:11.020 --> 38:11.240]  Okay.
[38:11.840 --> 38:12.760]  They don't make the sound.
[38:12.980 --> 38:14.860]  They will flip, flip, flip.
[38:17.040 --> 38:19.000]  I'm not surprised Nick has very strict rules
[38:19.000 --> 38:19.540]  about the footwear.
[38:19.620 --> 38:19.960]  Yeah.
[38:20.360 --> 38:20.760]  Yeah.
[38:20.760 --> 38:22.980]  I know exactly what you're saying, Andrew.
[38:23.380 --> 38:23.400]  No.
[38:23.460 --> 38:24.160]  That's an excellent point.
[38:24.220 --> 38:24.460]  Ambulance.
[38:25.180 --> 38:25.560]  Ambulance.
[38:26.000 --> 38:26.740]  Do I have that?
[38:26.800 --> 38:27.120]  Got it.
[38:27.260 --> 38:29.140]  Call an ambulance, come and pick up the people.
[38:29.340 --> 38:30.120]  Oh, that's loud.
[38:30.400 --> 38:31.240]  Nina, Nina.
[38:32.240 --> 38:32.620]  Warning!
[38:33.560 --> 38:35.380]  Huff, huff, huff, huff, huff.
[38:35.440 --> 38:35.640]  Oof.
[38:37.920 --> 38:39.780]  I could have a fucking bingo,
[38:39.900 --> 38:41.200]  but I need looks like a player.
[38:41.480 --> 38:43.400]  Do you get that girl on your TikTok, Gavin?
[38:44.200 --> 38:44.980]  Do you see her at all?
[38:44.980 --> 38:45.720]  She doesn't have TikTok.
[38:46.120 --> 38:47.080]  I've never seen TikTok.
[38:47.300 --> 38:48.080]  Oh my God.
[38:48.140 --> 38:48.820]  I don't have it either.
[38:50.140 --> 38:52.200]  So what happens when I send you TikToks?
[38:52.220 --> 38:53.320]  Do you just not click on the link?
[38:53.480 --> 38:55.340]  No, what happens is it opens in a browser
[38:55.340 --> 38:57.340]  and a bunch of shit pops up and I say no,
[38:57.500 --> 38:59.500]  and then I have to put the puzzle piece in the thing.
[38:59.800 --> 39:02.540]  And then I have to angle it so I can hit the play button.
[39:03.580 --> 39:04.100]  It seems like a lot.
[39:04.100 --> 39:05.740]  And then you get a download that doesn't play.
[39:06.400 --> 39:07.740]  And sometimes, yeah, it just doesn't play
[39:07.740 --> 39:08.860]  and it would play something completely different.
[39:08.960 --> 39:10.680]  So sometimes you say, what'd you think?
[39:10.700 --> 39:11.700]  And I say, that was great.
[39:12.040 --> 39:13.120]  Yeah, that was funny.
[39:15.860 --> 39:17.780]  A lot of people needing mullets in the chat.
[39:18.820 --> 39:19.220]  Yeah.
[39:19.380 --> 39:20.700]  I haven't seen a lot of mullets.
[39:21.100 --> 39:21.120]  No.
[39:21.360 --> 39:21.800]  Is that MeeMaw?
[39:22.060 --> 39:23.360]  No, I haven't seen a single one.
[39:23.520 --> 39:24.580]  She's moving way too well.
[39:24.740 --> 39:25.020]  Yeah.
[39:26.560 --> 39:27.640]  Too much mobility.
[39:31.480 --> 39:32.600]  Oh, look at these bros.
[39:32.860 --> 39:33.260]  Sunglasses?
[39:33.600 --> 39:34.200]  Come on.
[39:34.660 --> 39:35.500]  Ah, just close.
[39:35.520 --> 39:36.000]  So close.
[39:36.120 --> 39:36.960]  You little shithead.
[39:39.240 --> 39:39.880]  That's matching.
[39:40.040 --> 39:41.420]  That is.
[39:41.760 --> 39:42.760]  Yeah, definitely matching.
[39:43.400 --> 39:44.960]  If I can almost get hit by a car, I got it.
[39:46.720 --> 39:47.520]  Hit him.
[39:48.080 --> 39:49.240]  Is it a bachelorette party?
[39:49.240 --> 39:50.320]  No, it's probably not.
[39:50.640 --> 39:51.280]  I don't think so.
[39:54.260 --> 39:55.180]  Wishful thinking.
[39:55.640 --> 39:56.840]  Man, that scooter looks...
[39:56.840 --> 39:57.480]  Is that a luxury car?
[39:57.520 --> 39:57.780]  Shit.
[39:58.460 --> 39:59.720]  It fucking costs like one.
[40:01.340 --> 40:02.000]  Is that...
[40:02.000 --> 40:02.800]  What, the Bronco?
[40:03.200 --> 40:03.480]  Yeah.
[40:04.060 --> 40:04.980]  Stupid expensive.
[40:05.500 --> 40:08.160]  They cape in completely.
[40:08.480 --> 40:08.780]  Yeah.
[40:09.760 --> 40:11.280]  Oh, two dudes in the back of a pickup?
[40:11.460 --> 40:12.100]  Not a safe car.
[40:12.320 --> 40:12.600]  Sweet.
[40:17.350 --> 40:18.270]  No barefoot.
[40:20.470 --> 40:21.450]  No barefoot.
[40:21.450 --> 40:22.050]  No barefoot.
[40:22.710 --> 40:23.070]  Trike!
[40:23.470 --> 40:24.010]  That's a good one.
[40:24.070 --> 40:25.290]  That's a tricycle, I need that.
[40:25.970 --> 40:26.370]  Got it.
[40:27.470 --> 40:31.010]  Oh, that's the second appearance of this jersey shirt guy.
[40:31.250 --> 40:31.490]  Mm-hmm.
[40:33.110 --> 40:34.210]  That's the third time he's walked by.
[40:34.210 --> 40:34.410]  Sports jersey.
[40:34.530 --> 40:35.610]  No, that is the third time.
[40:35.650 --> 40:35.990]  Oh, it is?
[40:35.990 --> 40:36.510]  That's the third time, yeah.
[40:36.810 --> 40:37.050]  Damn.
[40:37.690 --> 40:38.650]  I don't even have that one anymore.
[40:38.670 --> 40:39.130]  I do.
[40:40.590 --> 40:41.770]  If you win again...
[40:41.770 --> 40:43.410]  I need cowboy boots and carrying an instrument,
[40:43.570 --> 40:44.390]  so don't worry about me.
[40:44.530 --> 40:44.810]  Okay.
[40:44.990 --> 40:46.710]  If you win again, will you door dash the cape?
