[00:00.600 --> 00:01.560]  Hello and welcome-
[37:18.900 --> 37:21.280]  ...where there's meat, and then you just put potato on top.
[37:21.420 --> 37:25.840]  See, that's the problem for me, because I think the crust is, like, 60 to 70% of a good pie.
[37:26.460 --> 37:26.680]  Yeah.
[37:26.780 --> 37:28.340]  I 100% agree with you.
[37:28.340 --> 37:28.920]  I love a good pie.
[37:29.300 --> 37:33.580]  It's potentially a crustless pie, unless you really crisp up the spud on top.
[37:34.560 --> 37:36.820]  Which I'm a fan of. That sounds great.
[37:37.680 --> 37:38.320]  But it's...
[37:38.320 --> 37:38.600]  No.
[37:38.760 --> 37:39.540]  You know, I don't wanna...
[37:41.360 --> 37:43.080]  Do Americans eat peas, ever?
[37:43.780 --> 37:43.980]  Yeah.
[37:44.100 --> 37:44.320]  Yeah.
[37:45.180 --> 37:46.000]  Just by themselves.
[37:46.340 --> 37:47.000]  Just not in a pie.
[37:47.160 --> 37:49.900]  Yeah, I think it's just a side of... I think it's just, like, side of peas.
[37:50.100 --> 37:52.800]  And then also, like, you guys have, like, mushy peas? We don't do mushy.
[37:53.840 --> 37:54.880]  I'm not a fan of the mush.
[37:55.600 --> 37:56.080]  Oh, is that right?
[37:56.080 --> 38:03.960]  I don't even, like... Is it dry? Like, is it a wet mush? Like, is it... I don't even understand what a mush is.
[38:04.400 --> 38:05.580]  Let me get you some mushy peas.
[38:08.580 --> 38:13.540]  See, once again, all of the food that Gavin's posting is a mean trick.
[38:13.540 --> 38:16.820]  He's sending the craziest... It's the craziest shit I've ever seen.
[38:16.880 --> 38:22.460]  It's a practical joke where you look at the top and go, that looks great. And then you go in an inch and it's a problem.
[38:22.900 --> 38:25.620]  See, that looks like fucking dried up guacamole.
[38:26.200 --> 38:27.440]  It's mushy peas.
[38:27.560 --> 38:28.980]  It's mashed potatoes.
[38:29.280 --> 38:31.380]  It's green mashed potatoes. It's some green...
[38:31.380 --> 38:33.880]  That's some Dr. Seuss mashed potatoes.
[38:34.800 --> 38:38.480]  I would love to lay out, like, a nice, like, fajita meal.
[38:38.880 --> 38:43.980]  And just replace all the ingredients with different British shit so, like, you go for the guac and it's peas.
[38:45.100 --> 38:46.140]  Oh, so sad.
[38:46.720 --> 38:47.220]  Oh, man.
[38:47.320 --> 38:47.860]  Oh, that's so sad.
[38:48.420 --> 38:48.920]  Okay.
[38:49.260 --> 38:49.320]  Terrible.
[38:49.660 --> 38:52.760]  Well, I feel like we're leaning apple pie, which is...
[38:52.760 --> 38:54.160]  I think apple pie is the standard.
[38:54.160 --> 38:56.760]  I think apple pie is regulation. I think that's it.
[38:56.880 --> 38:57.200]  Okay.
[38:57.540 --> 38:59.620]  We've locked in regulation pie.
[39:00.280 --> 39:00.500]  Okay.
[39:00.600 --> 39:02.680]  And I think we've... I mean, we're at 40 minutes.
[39:02.840 --> 39:03.480]  That's like...
[39:03.920 --> 39:05.420]  Let's do one more. I want to do one more.
[39:05.500 --> 39:05.640]  Okay.
[39:05.720 --> 39:06.600]  I want to do one more. Yeah.
[39:06.720 --> 39:08.260]  Because I feel like we're going to finish strong.
[39:08.500 --> 39:10.360]  I picked pie because I knew we were going to argue about it.
[39:11.240 --> 39:12.120]  I had it in my notes.
[39:12.460 --> 39:13.680]  Savory pie is an alternative.
[39:14.360 --> 39:15.960]  But I thought that it wouldn't be needed.
[39:16.260 --> 39:19.500]  And also that Gavin would be the only one that has an opinion on savory pie.
[39:20.320 --> 39:20.640]  Uh...
[39:20.640 --> 39:20.800]  Yep.
[39:20.960 --> 39:23.040]  Although, Nick, I bet you're fucking Nick. Food freak.
[39:23.040 --> 39:24.300]  Oh, I bet Nick is probably...
[39:24.300 --> 39:27.080]  Nick's going to come back and look at the pictures that we posted
[39:27.080 --> 39:29.440]  and he's going to go, ooh, for like 15 minutes.
[39:29.860 --> 39:31.740]  Yeah, he's going to be like, ooh, what did I miss?
[39:31.800 --> 39:32.440]  Let's do it again.
[39:33.560 --> 39:34.780]  This is his worst fear.
[39:34.960 --> 39:36.320]  He missed the thing about food.
[39:37.920 --> 39:40.900]  Uh, we got burgers or action heroes.
[39:41.980 --> 39:42.380]  Um...
[39:42.380 --> 39:43.060]  You want to keep it food?
[39:43.520 --> 39:44.680]  Let's keep it food.
[39:44.820 --> 39:45.000]  Okay.
[39:45.200 --> 39:45.620]  Let's keep it food.
[39:45.620 --> 39:46.500]  Go all food this episode.
[39:47.060 --> 39:47.300]  Yep.
[39:48.220 --> 39:48.620]  Burger...
[39:48.620 --> 39:49.640]  Okay, so what...
[39:49.640 --> 39:50.800]  I'm like the hot dog.
[39:50.880 --> 39:53.080]  I feel like there's room for conversation about the bun.
[39:53.740 --> 39:54.880]  What type of bun are we talking?
[39:55.180 --> 39:56.340]  We talking a pretzel bun?
[39:56.680 --> 39:57.940]  We talking a brioche?
[39:58.200 --> 39:59.280]  We talking a potato?
[39:59.700 --> 40:00.600]  Or a sesame?
[40:01.020 --> 40:01.640]  A sesame?
[40:01.980 --> 40:02.420]  I...
[40:02.880 --> 40:04.940]  I'm a potato bun guy.
[40:05.240 --> 40:06.500]  But I understand if...
[40:06.500 --> 40:06.680]  I agree.
[40:06.760 --> 40:08.760]  I understand if that's not where people land.
[40:09.040 --> 40:10.000]  I am...
[40:10.000 --> 40:13.980]  Especially if we're trying to come up with regulation burger.
[40:14.440 --> 40:15.800]  You know, like, what is the regulation one?
[40:15.860 --> 40:17.420]  I totally understand if it's not potato.
[40:17.420 --> 40:19.620]  See, I'm a big potato bun guy as well.
[40:19.840 --> 40:23.000]  I feel like that is the regulation burger bun.
[40:23.200 --> 40:23.620]  That...
[40:23.620 --> 40:24.380]  That is...
[40:24.380 --> 40:26.020]  That's more than just regulation.
[40:26.240 --> 40:27.340]  That's like bog standard.
[40:27.500 --> 40:27.740]  Yeah.
[40:27.840 --> 40:29.500]  Like, that is truly...
[40:29.500 --> 40:32.240]  It's just the basic white with sesame on it.
[40:32.260 --> 40:32.400]  Yeah.
[40:32.920 --> 40:33.400]  Um...
[40:33.400 --> 40:33.640]  Yeah.
[40:34.280 --> 40:35.120]  Full on.
[40:35.340 --> 40:35.760]  Full on.
[40:35.760 --> 40:36.460]  I hated that.
[40:37.640 --> 40:38.600]  But I...
[40:38.600 --> 40:40.740]  Like, in the world of bun...
[40:40.740 --> 40:44.960]  In the burger bun technology world, it's like we're going back to the 20s with that.
[40:44.960 --> 40:47.920]  There have been so many improvements over the years.
[40:48.080 --> 40:49.820]  Yeah, but they really nailed it.
[40:50.720 --> 40:53.440]  Is this the regulation hamburger?
[40:53.980 --> 40:54.940]  Or just burger?
[40:56.040 --> 40:56.700]  Oh, what?
[40:56.840 --> 40:57.900]  I don't even understand.
[40:58.060 --> 40:58.460]  What do you mean?
[40:58.580 --> 40:59.320]  Like a chicken burger?
[40:59.520 --> 41:00.200]  I'm excited to find out.
[41:00.320 --> 41:00.720]  Is that what you're saying?
[41:00.720 --> 41:03.760]  Well, because if it's regulation burger, I feel like a cheeseburger could be included.
[41:03.960 --> 41:04.860]  If it's a hamburger...
[41:04.860 --> 41:05.100]  Oh, yeah, yeah, yeah.
[41:05.100 --> 41:08.360]  You would specify a cheeseburger if you wanted cheese.
[41:08.500 --> 41:11.280]  In my head, a cheeseburger is always the choice.
[41:11.480 --> 41:12.300]  Like, it's such a...
[41:12.300 --> 41:13.060]  That is...
[41:13.060 --> 41:15.400]  Like, when I say hamburger, I mean cheeseburger, but you're right.
[41:15.440 --> 41:16.260]  It is technically different.
[41:16.720 --> 41:22.300]  We've talked about this on 100% Eat A Lot, where Michael has said, sort of ad nauseum,
[41:22.500 --> 41:29.400]  that, like, when you say hamburger, what you mean is cheeseburger, because cheese is the default on a burger.
[41:29.500 --> 41:29.740]  Yes.
[41:29.800 --> 41:31.340]  Like, that is what it should be.
[41:31.340 --> 41:32.280]  I think that's backwards.
[41:32.820 --> 41:33.220]  Really?
[41:33.480 --> 41:37.020]  I think if you say hamburger, you mean a burger without cheese.
[41:37.300 --> 41:43.040]  I think you're technically completely right, but I just don't...
[41:43.040 --> 41:47.960]  When people lean toward more often than not, I think the expectation is cheese on the burger,
[41:48.620 --> 41:53.740]  and it's not about getting the, like, the wording totally correct.
[41:53.900 --> 41:56.940]  It's that over time, that has become the default.
[41:58.100 --> 41:59.420]  Yeah, I just feel like you would say burgers.
[41:59.420 --> 42:00.140]  Cheese on the burger.
[42:00.220 --> 42:01.640]  You wouldn't say hamburger in that case.
[42:02.260 --> 42:03.500]  If I want...
[42:03.500 --> 42:06.620]  If you said we're having burgers, they better frickin' be cheeseburgers.
[42:07.200 --> 42:07.640]  Exactly.
[42:08.260 --> 42:11.680]  If you said we're having hamburgers, I'd be like, this would be insane to assume cheese.
[42:11.680 --> 42:14.180]  Okay, so this is regulation burger.
[42:14.580 --> 42:17.380]  Let's call this regulation burger because it absolutely has cheese.
[42:17.480 --> 42:18.300]  Absolutely has cheese.
[42:18.740 --> 42:22.780]  Can I say that the idea that cheese is, like, an additional thing you pay for,
[42:22.920 --> 42:25.640]  that's, like, one of the greatest restaurant tricks.
[42:25.880 --> 42:27.820]  Like, they pulled the wool over our eyes.
[42:28.400 --> 42:32.880]  It would be like if they paid a premium for salt on fries, is the equivalency.
[42:33.100 --> 42:33.910]  Like, it's such a...
[42:34.620 --> 42:35.380]  It's immediate.
[42:36.400 --> 42:38.660]  Okay, so we're doing poppy seed.
[42:38.660 --> 42:42.700]  I'm fine with, as I said, like, I would never opt for that, but I do agree.
[42:42.960 --> 42:43.580]  That's sesame.
[42:43.960 --> 42:44.360]  Sesame.
[42:44.940 --> 42:45.820]  That's sesame seed.
[42:45.860 --> 42:46.340]  Yeah, that is sesame.
[42:46.420 --> 42:47.280]  Poppy's the black one.
[42:48.360 --> 42:48.860]  It is true.
[42:49.020 --> 42:49.180]  Yeah.
[42:50.420 --> 42:51.440]  See, that's my outrage.
[42:51.860 --> 42:53.300]  I only like those...
[42:53.300 --> 42:55.560]  See, I like the ones with the poppy seed on them.
[42:55.740 --> 42:57.640]  It's a little bit darker cut, the bun.
[42:57.800 --> 42:58.760]  Like, it's cooked a little bit more.
[42:58.820 --> 43:01.020]  That's the worst version of this.
[43:01.040 --> 43:01.520]  Oh, I disagree.
[43:01.800 --> 43:02.900]  Poppy seed bun?
[43:03.440 --> 43:03.660]  Yeah.
[43:03.800 --> 43:03.940]  Yeah.
[43:04.100 --> 43:04.680]  A poppy seed?
[43:05.340 --> 43:06.040]  See, what...
[43:06.040 --> 43:07.100]  The sesame seed is...
[43:07.100 --> 43:10.740]  That's some Burger King shit, Eric, which I'm surprised you're a fan of.
[43:12.220 --> 43:16.300]  This is just when I get a burger at, like, a cookout or whatever?
[43:16.580 --> 43:17.140]  Like, that's it.
[43:17.500 --> 43:18.720]  Like, that to me is...
[43:19.980 --> 43:20.740]  That's where we're at.
[43:20.840 --> 43:22.880]  Gavin, did you look up poppy seed bun and you're going,
[43:22.980 --> 43:24.440]  Why the fuck is he talking about this?
[43:24.620 --> 43:26.440]  I'm seeing it only on, like, long buns.
[43:27.500 --> 43:28.480]  Oh, yeah, like hot dog.
[43:28.600 --> 43:29.360]  You can get hamburger buns.
[43:30.660 --> 43:31.020]  Yeah.
[43:31.380 --> 43:33.460]  Well, that's like if you want to eat a burger the long way.
[43:36.600 --> 43:37.780]  Just put it in there.
[43:39.300 --> 43:43.780]  I wonder if a long Big Mac would be as good as just a Big Mac.
[43:44.060 --> 43:45.300]  I don't think a Big Mac is good.
[43:45.300 --> 43:48.000]  Should we try to make long hamburgers?
[43:48.200 --> 43:48.300]  Sure.
[43:48.520 --> 43:51.980]  Yeah, we should try to make long burgers and see if they're better that way.
[43:52.280 --> 43:53.700]  Oh, are we talking...
[43:54.220 --> 43:55.080]  Is it like...
[43:55.080 --> 43:57.060]  Are we making burger dogs?
[43:57.460 --> 43:58.340]  Where it's shaped like that?
[43:58.460 --> 43:58.480]  Yeah.
[43:58.480 --> 43:58.560]  Okay.
[43:58.640 --> 43:58.820]  Yeah.
[43:58.980 --> 44:01.660]  And not like smash burgers where it's long but then extended.
[44:02.180 --> 44:04.940]  We got to try to keep some layers.
[44:05.080 --> 44:05.680]  We called those...
[44:07.000 --> 44:09.280]  At Mega64, I think we called them hot burgers.
[44:10.300 --> 44:17.800]  And then the other one, I think we called ham bogs.
[44:18.140 --> 44:21.620]  So that way you wouldn't get too confused.
[44:22.920 --> 44:26.340]  So that way you knew about ham bogs and hot burgers.
[44:26.520 --> 44:27.600]  It's type of bun I'm talking about.
[44:27.600 --> 44:29.160]  I feel like...
[44:30.320 --> 44:32.500]  I feel like as soon as you said ham...
[44:32.500 --> 44:33.400]  What did you say? Ham bog?
[44:34.120 --> 44:35.180]  Yeah, ham bogs.
[44:35.240 --> 44:39.120]  I feel like my understanding of all the visuals in my head just exploded.
[44:39.400 --> 44:42.540]  I lost my holdings of everything.
[44:42.700 --> 44:44.480]  I just completely lost what we were talking about.
[44:44.840 --> 44:45.480]  Yeah, yeah.
[44:45.520 --> 44:47.460]  We're talking about ham bogs and hot burgers.
[44:51.100 --> 44:51.480]  Okay.
[44:51.920 --> 44:52.920]  So we have the bun.
[44:53.420 --> 44:54.000]  We have the core.
[44:54.280 --> 44:55.180]  Cheese we agree on.
[44:55.320 --> 44:56.060]  But what type of cheese?
[44:56.140 --> 44:56.920]  Are we talking a cheddar?
[44:56.920 --> 45:00.760]  I personally like mozzarella, but I think a cheddar is probably...
[45:00.760 --> 45:03.840]  I think it's just got to be a shitty American slice, isn't it?
[45:03.860 --> 45:05.100]  I think it's American.
[45:05.300 --> 45:06.600]  I think it has to be American cheese.
[45:06.700 --> 45:07.460]  It's the meltiest.
[45:09.100 --> 45:10.200]  I also think...
[45:10.200 --> 45:11.940]  I'm going to just take a swing and say...
[45:14.160 --> 45:16.880]  And I don't think you guys are going to agree, but I guess we'll see where it stands.
[45:18.020 --> 45:22.860]  Onion and tomato are both going on what I think is a standard hamburger.
[45:23.040 --> 45:23.720]  What do you think?
[45:24.580 --> 45:25.400]  I would say...
[45:25.400 --> 45:27.240]  I would have said onion, tomato and lettuce.
[45:27.600 --> 45:30.700]  So I think lettuce is fine.
[45:31.060 --> 45:32.600]  I don't think it adds anything.
[45:32.800 --> 45:33.900]  And if I'm saying...
[45:33.900 --> 45:36.480]  Like, if I have a say in this thing, I'll get that out of here.
[45:36.800 --> 45:40.400]  I'm fine if you guys want it, but like, I just don't think...
[45:40.400 --> 45:41.220]  I don't think you need it.
[45:41.300 --> 45:44.300]  Lettuce to me is like the burger thumbnail, though.
[45:44.440 --> 45:48.960]  It's like it makes it look slightly more appetizing, even though it has minimal impact on the meal.
[45:48.960 --> 45:49.580]  It is the garnish.
[45:49.740 --> 45:49.840]  Yeah.
[45:51.280 --> 45:53.700]  Although sometimes you can get a little too thick with the lettuce.
[45:53.700 --> 45:54.900]  And it's like I'm eating a salad.
[45:55.200 --> 45:55.240]  I agree.
[45:55.360 --> 45:56.020]  And it's slimy.
[45:57.120 --> 45:57.440]  Yep.
[45:57.740 --> 45:59.080]  That's where I'm coming from with it.
[45:59.160 --> 46:00.620]  Where you get like...
[46:00.620 --> 46:04.280]  Someone just gets like the one lettuce leaf and they just throw it on there.
[46:04.380 --> 46:05.160]  And it's all slippy.
[46:05.420 --> 46:08.040]  And it's just like, no, I want like the bib lettuce.
[46:08.360 --> 46:10.540]  Like, put a couple of slices on there.
[46:10.620 --> 46:11.220]  It's nice.
[46:11.300 --> 46:13.980]  And it adds like a little something to it.
[46:14.160 --> 46:15.500]  But I'm fine.
[46:15.540 --> 46:16.640]  We can have lettuce on this thing.
[46:16.680 --> 46:17.120]  I'm not opposed.
[46:17.140 --> 46:17.880]  I like lettuce.
[46:17.900 --> 46:18.720]  I like onion.
[46:18.860 --> 46:19.560]  I don't like tomato.
[46:19.840 --> 46:20.620]  That is where I stand.
[46:21.340 --> 46:25.740]  But I do agree that the tomato I feel like is a part of the burger.
[46:26.840 --> 46:26.960]  Okay.
[46:27.140 --> 46:27.640]  I want...
[46:28.540 --> 46:31.160]  If it's a little bit of a give and take here, then I want no pickles.
[46:31.600 --> 46:32.660]  Oh, I'm fine with that.
[46:32.820 --> 46:33.560]  Get the fucking...
[46:33.560 --> 46:33.920]  Okay, cool.
[46:33.940 --> 46:34.800]  You don't even see them.
[46:35.320 --> 46:35.980]  Get them out of there.
[46:36.160 --> 46:36.420]  No.
[46:36.980 --> 46:40.640]  I hate them, but I feel like stuff like a Big Mac without a gherkin...
[46:41.240 --> 46:42.180]  Oh, you hate gherkins.
[46:42.200 --> 46:44.280]  Oh, I hate pickles.
[46:44.680 --> 46:47.340]  How the fuck do you hate pickles but like Branston pickle?
[46:47.800 --> 46:49.100]  How is this possible?
[46:49.540 --> 46:50.340]  It's not...
[46:50.340 --> 46:52.300]  Branston has other pickle shit.
[46:52.480 --> 46:53.180]  It's like onion.
[46:53.560 --> 46:54.860]  It's other shit.
[46:55.040 --> 46:56.960]  There are no pickles in Branston pickle?
[46:57.660 --> 46:57.820]  Yeah.
[46:58.320 --> 46:59.280]  There has to be pickles.
[46:59.280 --> 47:00.220]  It's not all cucumber.
[47:01.460 --> 47:02.340]  That's insane.
[47:02.620 --> 47:03.720]  That is an insane taste preference.
[47:04.060 --> 47:05.340]  I'm with Gavin on this.
[47:05.600 --> 47:09.200]  I pickle my own onions at home and they go on like everything.
[47:09.260 --> 47:09.940]  No, totally fair.
[47:10.500 --> 47:11.040]  Yeah, absolutely.
[47:11.300 --> 47:12.880]  I just think pickles are...
[47:12.880 --> 47:13.420]  I think pickles...
[47:14.060 --> 47:15.520]  The actual pickle is vile.
[47:15.580 --> 47:18.560]  I think it's stupid to call something a process.
[47:19.000 --> 47:19.500]  Okay.
[47:19.500 --> 47:20.560]  I agree.
[47:21.860 --> 47:25.400]  Unless we change the name of beer to fermentation.
[47:26.120 --> 47:27.260]  Then I'm okay with it.
[47:27.920 --> 47:30.720]  I'm just trying to wrap my head around because I agree with everything you're saying.
[47:30.820 --> 47:34.060]  But the fact you love Branston pickles is really what holds me up.
[47:34.060 --> 47:34.720]  It's a different veg.
[47:35.020 --> 47:35.540]  It's different.
[47:36.340 --> 47:38.080]  That's a jar of pickle, right?
[47:38.180 --> 47:38.860]  It's not a pickle.
[47:39.020 --> 47:40.760]  But there are pickles in Branston pickle.
[47:41.360 --> 47:42.700]  They're a small part of the pie.
[47:42.860 --> 47:43.840]  But it's all different.
[47:43.960 --> 47:46.360]  It's all like obliterated by the pickling process.
[47:46.460 --> 47:48.840]  Gavin can tell you all about different kinds of pie.
[47:48.840 --> 47:49.860]  Well, so wait.
[47:50.200 --> 47:51.860]  If it was a pickled pickle...
[47:52.420 --> 47:53.320]  Would you be...
[47:53.320 --> 47:54.280]  Would you enjoy that?
[47:55.040 --> 47:55.920]  What do you mean a pickled pickle?
[47:56.100 --> 47:56.780]  What are you talking about?
[47:56.800 --> 47:57.580]  A cucumber, you mean?
[47:57.600 --> 47:58.620]  Well, if you pickle a pickle.
[47:59.220 --> 47:59.840]  If you pickle a cucumber...
[47:59.840 --> 48:00.940]  What are you talking about, pickle a pickle?
[48:01.020 --> 48:02.120]  If you pickle a cucumber...
[48:02.120 --> 48:03.020]  Silly bollocks.
[48:05.140 --> 48:05.900]  Boys, boys!
[48:06.020 --> 48:06.960]  Save it for the podcast!
[48:09.040 --> 48:10.780]  Like a spoonful of pickle.
[48:10.900 --> 48:11.460]  It looks like that.
[48:11.900 --> 48:12.660]  Oh, that's awful.
[48:12.960 --> 48:13.960]  Don't show me that.
[48:14.280 --> 48:15.960]  That looks like more dog food.
[48:16.440 --> 48:18.100]  It looks like stuff you feed a dog.
[48:18.100 --> 48:20.280]  Why is it next to a piece of rolled ham?
[48:20.740 --> 48:22.160]  What's happening in this picture?
[48:22.520 --> 48:24.400]  They're probably cooking up a lovely plowman's.
[48:26.380 --> 48:29.000]  Stop finding plowman's everywhere, too.
[48:29.300 --> 48:29.980]  It's been terrible.
[48:30.540 --> 48:32.840]  I went to Waitrose yesterday and I bought a plowman's.
[48:34.320 --> 48:35.740]  I bought a plowman's sandwich.
[48:38.140 --> 48:41.540]  But that's like an original plowman's lunch, probably.
[48:41.720 --> 48:44.200]  Just like a layout of all the different stuff.
[48:44.200 --> 48:45.160]  That spoon.
[48:45.420 --> 48:49.780]  That looks like you have, I don't know, like the plague or something.
[48:49.900 --> 48:50.700]  And that's the cure.
[48:50.840 --> 48:52.620]  That's the remedy that they're trying to give you.
[48:53.160 --> 48:56.380]  I like cubes of glistening sludge.
[48:56.540 --> 48:58.620]  Yeah, you definitely do.
[48:58.820 --> 48:59.780]  Anyway, back on topic.
[49:01.260 --> 49:02.220]  That looks great.
[49:02.840 --> 49:04.160]  I just sent an image of a burger.
[49:05.220 --> 49:07.080]  Now, here's the thing.
[49:07.740 --> 49:10.540]  Condiment-wise on the bottom here, it looks like it might be ketchup or something.
[49:10.540 --> 49:15.060]  I think if there's going to be a condiment, it should probably be Thousand Island.
[49:15.500 --> 49:15.860]  No.
[49:16.240 --> 49:16.560]  What?
[49:16.760 --> 49:17.120]  No.
[49:17.480 --> 49:17.720]  Yeah.
[49:17.780 --> 49:18.120]  No.
[49:18.280 --> 49:18.860]  Are you an idiot?
[49:19.020 --> 49:20.640]  No, we're not doing Thousand Island.
[49:22.460 --> 49:23.480]  That's an insane...
[49:23.480 --> 49:24.440]  What should be on it?
[49:24.600 --> 49:24.900]  Anything.
[49:25.280 --> 49:27.200]  Like, see, I don't like the Big Mac at all.
[49:27.280 --> 49:28.640]  I'm not a fan of the Thousand Island.
[49:29.000 --> 49:33.660]  I'm okay with like a mayo, like an aioli or a mayo mixture.
[49:33.660 --> 49:34.020]  I'm fine with a mayo.
[49:34.260 --> 49:35.020]  I can live with a mayo.
[49:35.580 --> 49:37.480]  I don't love it, but I can live with a mayo.
[49:37.580 --> 49:38.560]  I typically would do...
[49:39.140 --> 49:39.820]  I don't...
[49:39.820 --> 49:40.620]  Yeah, I don't know.
[49:41.360 --> 49:43.820]  Mustard feels weird to me on that, but so does ketchup.
[49:43.960 --> 49:44.580]  I don't typically...
[49:45.220 --> 49:47.920]  It's not a burger I would typically eat, but it looks very appetizing.
[49:50.000 --> 49:52.920]  I think we got to go aioli or like a mayo or something.
[49:53.020 --> 49:55.400]  Yeah, I think mayo is fair.
[49:55.560 --> 49:56.260]  Gavin, what do you think?
[49:56.780 --> 49:58.520]  Probably go ketchup over mayo, to be honest.
[49:58.580 --> 49:59.140]  What about an aioli?
[49:59.560 --> 50:00.760]  What about like a garlic aioli?
[50:01.480 --> 50:03.580]  Yeah, I mean, that just depends...
[50:03.580 --> 50:05.420]  That's how fancy the burger is, right?
[50:05.460 --> 50:08.120]  Like, if I'm making these on my grill, I'd probably...
[50:08.120 --> 50:10.540]  I'm probably just slinging some ketchup in it.
[50:10.760 --> 50:11.280]  Yeah.
[50:11.480 --> 50:15.340]  But I would rather have an aioli of some sort.
[50:15.740 --> 50:16.140]  Now here's...
[50:17.020 --> 50:18.380]  Here's where I can...
[50:18.380 --> 50:20.420]  I'll say aioli is fine.
[50:20.580 --> 50:22.680]  Like, I think that that's just dressed up mayonnaise.
[50:22.920 --> 50:23.720]  I don't mind it.
[50:23.840 --> 50:24.280]  It's fine.
[50:25.680 --> 50:30.640]  If we're doing the style of hamburger, I will always go smash burger.
[50:31.400 --> 50:32.180]  Ooh, yeah.
[50:32.540 --> 50:33.380]  I'm a big...
[50:33.380 --> 50:33.500]  That thinner...
[50:33.500 --> 50:34.780]  Yeah, I like smash burger.
[50:35.700 --> 50:36.920]  I love it.
[50:36.920 --> 50:38.620]  I love that type of...
[50:38.620 --> 50:47.100]  If the burgers are squashed like that and the bread's all mushy and it's wrapped in a bag that's gone transparent because of all the grease, I hate it.
[50:47.800 --> 50:48.240]  Really?
[50:48.640 --> 50:50.940]  That is like so my preferred burger?
[50:51.380 --> 50:53.140]  Like, that picture that I sent?
[50:53.360 --> 50:53.520]  No.
[50:53.960 --> 50:54.320]  Way better.
[50:54.440 --> 50:55.920]  The one that I sent?
[50:56.060 --> 50:56.620]  Oh, my God.
[50:56.780 --> 50:58.060]  Like, give me that now.
[50:58.240 --> 50:59.060]  I'll eat ten.
[50:59.340 --> 50:59.680]  Like, let's...
[50:59.680 --> 51:01.820]  You're gonna have such wet hands after.
[51:02.280 --> 51:02.940]  Yeah, I...
[51:03.540 --> 51:06.900]  And I will suffer those blows to eat that burger.
[51:06.900 --> 51:13.260]  And if you're wearing long sleeves, chances are when you're holding it upright towards the mouth, it's gonna go down your damn sleeves, all that juice.
[51:14.220 --> 51:15.080]  That's a good point.
[51:15.440 --> 51:16.200]  Here's the problem.
[51:16.500 --> 51:18.560]  I feel like we're too late to swap to a smash burger.
[51:18.900 --> 51:21.180]  Because I would change the design of all the...
[51:21.260 --> 51:25.080]  Like, everything structurally is different to me if we're going smash.
[51:25.460 --> 51:26.440]  I don't want anything.
[51:26.640 --> 51:27.260]  I don't want lettuce.
[51:27.500 --> 51:28.160]  I don't want tomato.
[51:28.700 --> 51:33.520]  I'm purely there for the...
[51:33.520 --> 51:35.400]  See, that looks fine to me.
[51:35.880 --> 51:36.140]  Okay.
[51:36.480 --> 51:36.760]  Okay.
[51:36.880 --> 51:38.180]  So, something that's a little bit thicker.
[51:38.320 --> 51:39.000]  I just don't...
[51:39.000 --> 51:40.440]  I'm so over...
[51:40.440 --> 51:48.780]  My whole life was eating these thick hamburger puck things that were just never...
[51:48.780 --> 51:49.320]  Sure.
[51:49.660 --> 51:51.540]  Altogether, like, came out right.
[51:51.560 --> 51:51.880]  Yeah.
[51:52.080 --> 51:52.540]  Dry.
[51:52.780 --> 51:53.080]  Some pieces are moist.
[51:53.080 --> 51:56.340]  And I just always go for a thinner burger because I...
[51:56.340 --> 51:58.340]  To me, it's cooked better all the way through.
[51:58.640 --> 51:59.340]  I'm fine with that.
[51:59.620 --> 52:00.140]  Like, I'm...
[52:00.140 --> 52:00.720]  Yeah, let's...
[52:00.720 --> 52:01.520]  Do we just clarify?
[52:01.520 --> 52:03.040]  Do we just clarify it's not a giant meat patty?
[52:03.140 --> 52:04.180]  Just, like, a small...
[52:04.180 --> 52:04.440]  Yes.
[52:04.440 --> 52:06.140]  Like, a normal sized...
[52:06.140 --> 52:06.820]  Not insane.
[52:08.100 --> 52:08.720]  Because I...
[52:08.720 --> 52:09.360]  That works.
[52:10.260 --> 52:10.640]  For me.
[52:10.860 --> 52:13.900]  I think it's just something on the thinner side, but not...
[52:13.900 --> 52:14.820]  Now, you said...
[52:14.820 --> 52:17.720]  You described aioli as just mayo in a disguise.
[52:18.080 --> 52:19.380]  That's what I need for my mayo.
[52:19.440 --> 52:20.840]  I can't handle...
[52:20.840 --> 52:20.960]  Okay.
[52:20.960 --> 52:22.380]  I fucking hate mayo.
[52:23.180 --> 52:23.820]  But if it's...
[52:23.820 --> 52:23.860]  Oh, okay.
[52:23.860 --> 52:26.760]  If I don't know it's there or I don't see it, I like it a lot.
[52:26.840 --> 52:27.040]  Uh-huh.
[52:27.480 --> 52:27.960]  But I can't...
[52:27.960 --> 52:29.740]  I'm pretty sure he said dressed up mayo.
[52:29.740 --> 52:31.260]  Not mayo, like, wearing a mask.
[52:31.260 --> 52:31.460]  Whatever.
[52:31.760 --> 52:32.420]  I didn't remember.
[52:32.640 --> 52:35.640]  I just knew the idea was that it was mayo fancied up.
[52:35.780 --> 52:36.900]  And that's what I need for my mayo.
[52:37.060 --> 52:37.360]  It is.
[52:37.500 --> 52:38.900]  I can't just have base mayo.
[52:39.300 --> 52:42.280]  If I do have it, I need it to be hidden in the dish.
[52:42.780 --> 52:43.640]  And then I'll be fine.
[52:43.860 --> 52:44.720]  What about salad cream?
