[00:00.000 --> 00:01.260]  Is my line fatter?
[42:32.840 --> 42:34.180]  I don't know, Gavin really got
[42:34.180 --> 42:35.320]  me with the sauce game.
[42:36.560 --> 42:37.780]  It's something to think about.
[42:38.420 --> 42:40.420]  It is something to think about. Also, there is
[42:40.420 --> 42:42.240]  more stuff on
[42:42.240 --> 42:44.500]  a full English breakfast. There's more stuff.
[42:44.680 --> 42:45.580]  There's more range.
[42:47.600 --> 42:48.560]  Dynamic flavors,
[42:49.640 --> 42:50.600]  different textures
[42:50.600 --> 42:51.660]  and wetnesses.
[42:51.980 --> 42:54.100]  You're advocating wetnesses?
[42:54.640 --> 42:55.800]  Beans love wetness.
[42:55.920 --> 42:56.600]  What's the point?
[42:57.280 --> 42:59.220]  You love a bit of wetness?
[43:00.180 --> 43:00.960]  Beans are wet.
[43:01.680 --> 43:03.880]  I don't want the beans to wet other stuff.
[43:04.020 --> 43:06.180]  That's why I use, as many people
[43:06.180 --> 43:08.180]  do, I use the sausage strategically.
[43:08.860 --> 43:09.660]  It's a little
[43:10.360 --> 43:12.120]  barrier between the bread
[43:12.120 --> 43:13.880]  and the beans. I've never heard
[43:13.880 --> 43:16.340]  such a setup for a product that didn't exist.
[43:16.960 --> 43:18.100]  That's why I use
[43:18.100 --> 43:20.300]  and then it was just I line up my sausages.
[43:20.680 --> 43:21.620]  Sausages exist.
[43:21.620 --> 43:22.660]  You should go there.
[43:23.500 --> 43:24.020]  Sausage?
[43:27.030 --> 43:28.490]  What is this episode?
[43:29.550 --> 43:31.030]  It's good. It's a lot of
[43:31.030 --> 43:33.030]  arguing, but I don't know
[43:33.030 --> 43:34.350]  about what. I think we're just
[43:34.930 --> 43:36.950]  airing out our dirty pillows.
[43:37.470 --> 43:38.390]  I also think if
[43:38.390 --> 43:41.050]  we air out our dirty pillows
[43:41.050 --> 43:42.270]  Yeah, yeah, yeah.
[43:42.430 --> 43:44.390]  Our crazy, big, dirty pillows.
[43:45.530 --> 43:46.390]  I think
[43:47.070 --> 43:49.070]  a Mexican breakfast is better.
[43:49.210 --> 43:50.510]  That's what I would prefer too.
[43:50.510 --> 43:52.290]  Oh, I totally agree, dude. You give me some
[43:52.290 --> 43:52.950]  chilaquiles.
[43:55.990 --> 43:56.950]  Chilaquiles, huevos
[43:56.950 --> 43:57.590]  rancheros.
[43:57.930 --> 43:59.550]  Is migas breakfast food?
[44:00.110 --> 44:02.190]  Yes. I've never
[44:02.190 --> 44:04.070]  had migas until I moved here.
[44:04.750 --> 44:05.850]  Really? Oh my god, dude.
[44:05.970 --> 44:08.250]  It's not a thing that I ever had.
[44:08.830 --> 44:10.090]  Huevos rancheros and stuff is
[44:10.090 --> 44:12.330]  what I always had. Migas is so superior
[44:12.330 --> 44:13.830]  to like, man, it's incredible.
[44:14.190 --> 44:15.690]  Is that Tex-Mex or Mex?
[44:16.110 --> 44:17.870]  I think it's definitely more Tex-Mex.
[44:17.870 --> 44:19.910]  The chilaquiles
[44:19.910 --> 44:21.550]  you get at Taco Rito,
[44:21.770 --> 44:23.830]  there are two locations, there's one on Burnet, I believe there's
[44:23.830 --> 44:25.170]  one on Riverside Drive-Thru.
[44:25.750 --> 44:27.810]  Go get the chilaquiles at Taco Rito. It is the
[44:27.810 --> 44:29.950]  best thing you will ever put in your mouth
[44:29.950 --> 44:31.750]  breakfast related. They are so
[44:31.750 --> 44:34.010]  fucking good. I'm a migas
[44:34.010 --> 44:36.030]  fan, but these particular chilaquiles
[44:36.030 --> 44:37.630]  are better than any migas I've ever had.
[44:37.990 --> 44:39.430]  Yeah, I just think that's like...
[44:39.430 --> 44:41.670]  That's your NFT right there.
[44:43.130 --> 44:44.010]  To me,
[44:44.250 --> 44:45.510]  that's like the breakfast
[44:45.950 --> 44:47.130]  that I would pick over
[44:47.130 --> 44:48.710]  all this other stuff we're laying down.
[44:49.150 --> 44:51.110]  We live in the land of
[44:51.110 --> 44:53.410]  superior breakfast tacos, obviously we're gonna go
[44:53.410 --> 44:55.510]  for that. Or kolaches even, I'd pick over
[44:55.510 --> 44:57.450]  anything else. But if we're just gonna
[44:57.450 --> 44:59.370]  compare what I would consider to be an American
[44:59.370 --> 45:00.910]  breakfast to a British breakfast.
[45:01.850 --> 45:03.450]  That's the nice thing about America, we got a lot of options
[45:03.450 --> 45:05.350]  too. We didn't even get into waffles or pancakes.
[45:05.570 --> 45:06.550]  Oh, that's a great point.
[45:07.510 --> 45:08.630]  Oh, look at that.
[45:09.250 --> 45:11.330]  I feel like you've posted this exact
[45:11.330 --> 45:13.570]  photo like 10 times throughout the history of this
[45:13.570 --> 45:13.870]  podcast.
[45:15.690 --> 45:17.690]  Check out these mushrooms, they're kind of
[45:17.690 --> 45:19.070]  by these beans, and then we got like
[45:19.070 --> 45:20.910]  three hockey pucks if you want to take a bite.
[45:21.230 --> 45:23.530]  And I gotta say, it looks pretty dry, this plate, Gavin.
[45:23.590 --> 45:25.590]  Not a lot of liquids. I heard a lot about
[45:25.590 --> 45:27.650]  sauces. The sauce hasn't been put
[45:27.650 --> 45:29.350]  on, because everyone's got a different preference.
[45:30.350 --> 45:31.570]  The sauce doesn't come
[45:31.570 --> 45:32.110]  on the plate.
[45:32.910 --> 45:35.590]  I just mean those beans don't look all that juicy.
[45:36.110 --> 45:36.650]  Well, they are.
[45:38.330 --> 45:39.510]  Gavin holds onto this
[45:39.510 --> 45:41.670]  one photo and shows it like dudes
[45:41.670 --> 45:43.590]  that I was in the army with in basic training.
[45:43.770 --> 45:45.650]  They would have a photo of their girlfriend, which
[45:45.650 --> 45:47.770]  would clearly be a cut-out headshot
[45:47.770 --> 45:49.730]  from the yearbook that they would just have
[45:49.730 --> 45:51.830]  on their table. Like, this is my girlfriend. They would show it to you all the time.
[45:51.910 --> 45:53.230]  Like, she's really hot, isn't she? And you'd be like,
[45:53.530 --> 45:55.190]  yeah, she seems lovely.
[45:55.490 --> 45:56.750]  That's Gavin and this photo.
[45:57.850 --> 45:59.450]  They look a little bit too good to be true.
[45:59.690 --> 46:01.110]  Can I present to you an idea I've been working on?
[46:01.530 --> 46:02.590]  Yes. Please.
[46:03.590 --> 46:04.230]  Oh, shit!
[46:05.530 --> 46:07.750]  I went to paste it and it pasted a picture
[46:07.750 --> 46:08.590]  of a breakfast.
[46:09.850 --> 46:10.310]  Moron!
[46:10.670 --> 46:12.670]  You are really hanging on to that breakfast, man.
[46:14.250 --> 46:15.170]  Alright, it's
[46:15.170 --> 46:16.550]  kind of gameplay related, but
[46:16.550 --> 46:18.370]  I thought we could potentially start a new series
[46:18.370 --> 46:20.750]  called The Wheel of
[46:20.750 --> 46:21.250]  F***.
[46:21.930 --> 46:24.610]  The Wheel of F***. Take a look at this.
[46:25.150 --> 46:26.530]  Vin Master and Dirt.
[46:26.650 --> 46:27.970]  Okay, so we've got a bunch of achievements.
[46:28.850 --> 46:30.310]  So it's just a bunch of very,
[46:30.750 --> 46:32.310]  in my opinion, difficult
[46:32.310 --> 46:34.690]  video game feats. And my
[46:35.390 --> 46:36.570]  idea was that we have to
[46:36.570 --> 46:38.490]  get together, we spin the wheel, and then
[46:38.490 --> 46:40.030]  we just have to do one of these.
[46:41.610 --> 46:42.530]  And these are
[46:42.530 --> 46:44.450]  from like different games. Like, what are
[46:44.450 --> 46:46.590]  these? Are these like different
[46:46.590 --> 46:48.550]  games? Or what are these? I don't know what these are.
[46:48.850 --> 46:50.650]  7 Day Survivor is
[46:50.650 --> 46:52.610]  Dead Rising. Flawless Raider is Destiny.
[46:52.730 --> 46:54.170]  No Point in Dying is Limbo.
[46:54.510 --> 46:55.910]  Go to Second Wheel is Amazing.
[46:56.430 --> 46:58.590]  Mile High Club is Call of Duty. Ultimate Defender
[46:58.590 --> 47:00.490]  is one of the ones we already tried in
[47:00.490 --> 47:02.450]  Grawr. And Vin Master Endure is in
[47:02.450 --> 47:03.650]  Halo 3 ODST.
[47:04.330 --> 47:05.730]  I've got a few
[47:05.730 --> 47:08.050]  of these, but they all take some...
[47:08.050 --> 47:09.590]  a lot of them take some real good
[47:09.590 --> 47:11.630]  co-op time. Is
[47:11.630 --> 47:13.790]  7 Day Survivor co-op?
[47:14.090 --> 47:15.790]  No. And neither is the Limbo one.
[47:16.010 --> 47:17.470]  It's just we would have to... Or Mile High Club.
[47:17.810 --> 47:19.610]  Or Mile High Club, yeah. Mile High Club we could potentially
[47:19.610 --> 47:20.950]  all just try at the same time.
[47:22.130 --> 47:23.210]  I think I've done five of these.
[47:23.590 --> 47:25.610]  Until one of us gets it. Yeah.
[47:26.630 --> 47:27.750]  I've done a few
[47:27.750 --> 47:28.930]  of these already myself.
[47:29.430 --> 47:31.670]  I guided you guys through Flawless Raider, but
[47:31.670 --> 47:33.450]  they patched how I would do that.
[47:33.570 --> 47:35.450]  So I don't know. I don't think that's ever
[47:35.450 --> 47:37.610]  happening again. So are you
[47:37.610 --> 47:39.490]  saying that... I mean, I have this wheel up
[47:39.490 --> 47:41.470]  right now. Are you saying that we spin this wheel and see
[47:41.470 --> 47:41.910]  what happens?
[47:43.630 --> 47:45.530]  I mean, what, like, actually
[47:45.530 --> 47:47.030]  start the series now and then
[47:47.510 --> 47:49.130]  film the main bit another time?
[47:49.970 --> 47:51.550]  Yeah, yeah. I mean, like, let's start
[47:51.550 --> 47:53.370]  the series on this episode to say,
[47:53.470 --> 47:55.390]  hey, we're going to do this thing. Who knows
[47:55.390 --> 47:57.250]  when the fuck it's going to come out, but we're going to do it.
[47:59.030 --> 47:59.610]  Now if
[47:59.610 --> 48:01.650]  it lands on a single player one,
[48:01.850 --> 48:03.610]  do we spin another wheel of all of our
[48:03.610 --> 48:05.710]  names to see who has to do it? I like
[48:05.710 --> 48:07.910]  that idea. Yes. Now that's
[48:07.910 --> 48:09.710]  interesting. The way I saw it happening
[48:09.710 --> 48:11.510]  was that depending on how many people
[48:11.510 --> 48:13.650]  are in that game, we
[48:13.650 --> 48:15.410]  would then spin the wheel that many times to
[48:15.410 --> 48:17.570]  get the cast.
[48:17.850 --> 48:19.450]  Cast? Okay, I like that a lot.
[48:19.450 --> 48:21.790]  I love this idea. So let's spin this first
[48:21.790 --> 48:23.770]  wheel. Okay, you ready? Gavin, are you
[48:23.770 --> 48:25.710]  ready for me to spin this wheel? Everyone's watching
[48:25.710 --> 48:27.290]  the screen? We're all good? I'm watching.
[48:27.290 --> 48:28.990]  Yep. Okay. I'm rolling on it.
[48:29.010 --> 48:31.290]  Alright guys, here we go. We're going to spin the wheel to see
[48:31.290 --> 48:33.450]  what we're going to do.
[48:34.150 --> 48:34.630]  Let's
[48:35.150 --> 48:37.330]  spin that wheel! Nothing on that
[48:37.330 --> 48:39.170]  wheel is fun except for go to second wheel.
[48:41.430 --> 48:41.910]  Uh...
[48:42.590 --> 48:43.070]  and...
[48:43.070 --> 48:43.270]  Oh!
[48:44.810 --> 48:47.490]  Go to second wheel!
[48:49.850 --> 48:51.310]  We have a winner, boys!
[48:51.690 --> 48:53.270]  Holy shit. Looks like we'll
[48:53.270 --> 48:54.570]  be making a second wheel.
[48:54.570 --> 48:55.330]  Okay.
[48:57.930 --> 49:00.210]  This is the lamest
[49:00.210 --> 49:01.890]  thing that could have happened.
[49:02.370 --> 49:02.670]  Boo!
[49:04.050 --> 49:04.570]  Boo!
[49:06.290 --> 49:07.610]  That's how you ruin a wheel.
[49:07.870 --> 49:10.390]  Not even ruin a wheel, ruin
[49:10.390 --> 49:12.430]  a series. I don't think I could have been
[49:12.430 --> 49:14.530]  more excited about whatever was coming next.
[49:15.050 --> 49:16.430]  What do you mean I said there was good stuff
[49:16.430 --> 49:16.990]  on the second wheel?
[49:18.330 --> 49:19.270]  He did!
[49:20.690 --> 49:21.670]  You said that!
[49:21.670 --> 49:23.690]  I really hyped up the second wheel.
[49:23.970 --> 49:25.850]  You said there's good stuff on the second wheel?
[49:25.970 --> 49:26.290]  Yeah!
[49:27.770 --> 49:29.790]  Are you kidding me?
[49:30.210 --> 49:31.310]  That was three minutes ago!
[49:31.690 --> 49:33.710]  I said the second wheel
[49:33.710 --> 49:34.370]  is amazing.
[49:35.510 --> 49:35.790]  Yeah!
[49:36.970 --> 49:38.210]  Which implies good stuff!
[49:39.210 --> 49:41.510]  The second wheel is just our concept of the second wheel.
[49:41.750 --> 49:42.510]  We gotta make it now.
[49:42.830 --> 49:43.590]  This is ridiculous.
[49:44.990 --> 49:45.550]  Damn!
[49:47.470 --> 49:47.790]  What?
[49:48.290 --> 49:50.190]  Whenever we go to the third wheel
[49:50.190 --> 49:52.210]  we don't start putting stuff on it
[49:52.210 --> 49:53.490]  until we get there, surely, don't we?
[49:53.950 --> 49:55.990]  It felt like you presented it like you had
[49:55.990 --> 49:56.510]  a really good second wheel.
[49:56.510 --> 49:59.150]  I think if you're presenting a series that is wheel-based
[49:59.150 --> 50:00.610]  you have all the wheels.
[50:01.030 --> 50:03.910]  It just felt like you really had a second wheel
[50:03.910 --> 50:04.790]  locked in, man.
[50:05.110 --> 50:07.930]  It took me about 20 minutes to come up with the first wheel
[50:07.930 --> 50:10.050]  so I assumed we wouldn't
[50:10.050 --> 50:11.010]  land on the second one.
[50:12.070 --> 50:14.070]  Should we just build the second wheel
[50:14.070 --> 50:15.030]  together right now?
[50:15.030 --> 50:16.050]  We can do that.
[50:16.190 --> 50:17.250]  Is that what we're doing?
[50:17.390 --> 50:18.170]  I'm fine with that.
[50:18.410 --> 50:21.370]  He said, you know what guys, I've got a great idea.
[50:21.450 --> 50:22.850]  Let's all go on a road trip.
[50:23.310 --> 50:24.870]  And he showed us a car and then he went,
[50:24.950 --> 50:26.450]  oh, he didn't put any gas in it.
[50:27.250 --> 50:29.310]  It's the equivalent of me saying,
[50:29.710 --> 50:30.750]  let's go on a road trip.
[50:30.910 --> 50:33.790]  Road trips are great, but I don't actually have a trip in mind.
[50:34.650 --> 50:35.630]  And I don't have a car either.
[50:36.430 --> 50:37.810]  So, first off, we gotta have
[50:37.810 --> 50:39.630]  go back to first wheel, probably.
[50:39.950 --> 50:42.290]  Why don't we just do four go back to first wheels?
[50:42.290 --> 50:43.810]  No, no, we don't have to do that.
[50:44.130 --> 50:46.470]  You could have done that
[50:46.470 --> 50:47.590]  if you had made a second wheel.
[50:47.850 --> 50:49.330]  I think we have one that's
[50:49.990 --> 50:51.950]  play sloppy joes bingo instead.
[50:53.010 --> 50:53.250]  Okay.
[50:54.090 --> 50:56.230]  Maybe one that's make Gavin
[50:56.230 --> 50:58.390]  do everything on the first wheel by himself.
[50:58.630 --> 50:59.070]  Yeah!
[50:59.690 --> 51:01.470]  I don't think it's possible, but I'd give it a go.
[51:01.810 --> 51:03.750]  Also half a car, put half a car on there.
[51:03.890 --> 51:05.110]  Half a car.
[51:05.410 --> 51:06.950]  Do you want me to call Barbara?
[51:08.190 --> 51:09.150]  Call small wife.
[51:09.150 --> 51:09.710]  Okay.
[51:11.390 --> 51:11.790]  Okay.
[51:12.310 --> 51:14.670]  I'm going to list these things out for her.
[51:14.870 --> 51:16.530]  She's not going to know what the fuck I'm talking about.
[51:17.410 --> 51:18.730]  Oh, Eric, go to third wheel.
[51:19.010 --> 51:20.510]  Oh, that's right. Go to third wheel.
[51:20.810 --> 51:21.110]  Okay.
[51:23.070 --> 51:25.470]  Gavin has to beat Donkey Kong 64.
[51:26.170 --> 51:26.790]  Gavin beats
[51:27.650 --> 51:28.050]  DK64.
[51:28.370 --> 51:29.210]  Donkey Kong 64?
[51:30.530 --> 51:32.930]  I surely can't film all of that, can I?
[51:33.370 --> 51:33.770]  No.
[51:34.590 --> 51:35.830]  It's not going to land on it.
[51:35.830 --> 51:37.190]  That's why I have to stream it.
[51:37.710 --> 51:38.910]  Yeah, you can stream it.
[51:39.250 --> 51:40.890]  What else would be on the second wheel?
[51:41.790 --> 51:43.570]  It could be dealer's choice.
[51:44.450 --> 51:44.750]  Oh.
[51:45.810 --> 51:46.610]  That's spicy.
[51:47.730 --> 51:48.270]  Who's the dealer?
[51:48.490 --> 51:50.150]  We'll have to spin for who dealer is.
[51:53.130 --> 51:55.670]  Do we think that's enough stuff? I feel like that's quite a bit.
[51:55.890 --> 51:56.430]  That's quite a bit.
[51:57.270 --> 51:58.030]  Do you want me to shuffle it?
[51:59.190 --> 52:00.990]  How many times do you want me to shuffle it?
[52:02.550 --> 52:02.950]  Uh...
[52:02.950 --> 52:03.310]  Off.
[52:04.150 --> 52:06.630]  One, two. Okay.
[52:06.850 --> 52:08.030]  I think only two things moved.
[52:08.810 --> 52:10.450]  Alright guys, are you ready
[52:10.450 --> 52:13.130]  for the second wheel?
[52:13.810 --> 52:14.850]  Let's spin it.
[52:15.250 --> 52:15.590]  Okay.
[52:16.250 --> 52:17.670]  And here we go!
[52:22.550 --> 52:24.510]  Go back to first wheel!
[52:24.510 --> 52:25.750]  Hang on! Hang on! Hang on! Hang on!
[52:26.730 --> 52:27.290]  Perfect.
[52:27.510 --> 52:28.930]  Go back to first wheel!
[52:29.290 --> 52:30.210]  Let's go back to first.
[52:30.770 --> 52:32.530]  We're back to the first wheel!
[52:33.710 --> 52:35.070]  Alright, are you guys ready?
[52:35.070 --> 52:36.650]  Now the show's back on. Now I'm excited again.
[52:36.710 --> 52:38.130]  Alright, and here we go!
[52:38.250 --> 52:38.810]  Spinning the wheel!
[52:41.390 --> 52:42.190]  Oh god.
[52:44.630 --> 52:45.030]  No!
[52:46.230 --> 52:48.950]  Ladies and gentlemen, go to second wheel!
[52:49.070 --> 52:50.530]  No! What's wrong with this?
[52:51.170 --> 52:51.570]  Alright!
[52:52.050 --> 52:53.950]  What did you do to your wheel, Gavin?
[52:54.090 --> 52:56.290]  How many times do you want me to shuffle this?
[52:56.570 --> 52:57.870]  What's wrong with this wheel?
[52:58.410 --> 52:59.650]  How many times do you want me to shuffle it?
[52:59.650 --> 53:00.430]  Two more times.
[53:00.590 --> 53:02.910]  One, two. A lot of good ones. Here we go.
[53:03.010 --> 53:04.630]  And here's the spin of the second wheel!
[53:06.050 --> 53:07.090]  Oh god.
[53:07.230 --> 53:08.750]  Gavin, why did you do it?
[53:12.240 --> 53:13.540]  Make Gavin do...
[53:14.180 --> 53:15.420]  Make Gavin do
[53:15.420 --> 53:16.680]  first wheel activities!
[53:17.220 --> 53:19.340]  So, now, we go back
[53:19.340 --> 53:21.040]  to the first wheel
[53:21.700 --> 53:23.300]  to see what thing
[53:23.300 --> 53:24.620]  Gavin is going to do.
[53:24.740 --> 53:27.040]  Gavin, you'll be doing one of these activities.
[53:27.300 --> 53:28.100]  Are you ready?
[53:28.100 --> 53:29.620]  I'm so ready.
[53:29.840 --> 53:31.240]  Here we go!
[53:32.580 --> 53:33.680]  Gavin, you might have to recruit.
[53:33.680 --> 53:34.400]  I'll have to recruit.
[53:34.660 --> 53:36.840]  But it's the first one.
[53:37.300 --> 53:37.580]  No!
[53:39.260 --> 53:41.500]  Gavin has to do no point in dying
[53:42.100 --> 53:42.960]  in Limbo.
[53:44.040 --> 53:45.840]  And if you guys can explain
[53:45.840 --> 53:48.020]  what no point in dying is, go for it.
[53:48.260 --> 53:50.160]  I believe it's beat Limbo,
[53:50.280 --> 53:51.060]  right, without dying?
[53:51.780 --> 53:54.480]  The entirety of Limbo with less than five deaths.
[53:54.980 --> 53:55.360]  Okay.
[53:56.100 --> 53:56.840]  Sounds good.
[53:56.860 --> 53:58.360]  I'm excited to watch this.
[53:58.640 --> 53:59.720]  Have you ever done that, Gavin?
[54:01.080 --> 54:02.500]  Have you ever tried?
[54:02.760 --> 54:04.900]  I think it's the only achievement I'm missing in that game.
[54:05.380 --> 54:07.240]  Oh, that's great! That's awesome, man!
[54:08.240 --> 54:08.940]  Not for long.
[54:09.620 --> 54:10.620]  Not for long!
[54:11.160 --> 54:12.800]  This could be an ongoing series
[54:12.800 --> 54:14.940]  where we just sort of like...
[54:14.940 --> 54:16.640]  We kind of like grab time.
[54:17.000 --> 54:19.320]  Completely, in every aspect of this stupid
[54:19.320 --> 54:21.300]  idea, I f***ing face the shit
[54:21.300 --> 54:22.020]  out of myself.
[54:22.020 --> 54:23.220]  You idiot!
[54:25.500 --> 54:25.820]  Moron!
[54:28.360 --> 54:29.800]  Well, I feel like you just tipped
[54:29.800 --> 54:31.540]  the hand of the question I was going to ask, but
[54:31.540 --> 54:33.980]  now that we're post-first episode of the game,
[54:34.020 --> 54:35.860]  how do you feel about your new idea?
[54:36.940 --> 54:37.580]  I suck!
[54:39.400 --> 54:40.080]  Oh, you better
[54:40.080 --> 54:41.620]  get good, because you gotta
[54:42.060 --> 54:44.000]  not die. So what do we
[54:44.000 --> 54:45.960]  need to do? Well, just like, next time we're going to be playing
[54:45.960 --> 54:47.980]  a game, instead of us playing a game, it'll be
[54:50.760 --> 54:51.080]  Gavin...
[54:51.080 --> 54:52.520]  You say Limbo?
[54:53.120 --> 54:55.140]  It's going to be like an 8-hour
[54:55.140 --> 54:56.480]  arcade game.
[54:57.020 --> 54:59.340]  Oh, it's the little black and white...
[54:59.340 --> 55:01.000]  It's like the shadow scary boy
[55:01.000 --> 55:01.740]  game. Oh!
[55:03.500 --> 55:04.760]  Yeah, you're f***ed, buddy!
[55:05.240 --> 55:07.080]  Yeah, and the little frickin' worm goes in
[55:07.080 --> 55:08.840]  your head. Or is it worm, or like something else?
[55:09.240 --> 55:10.280]  I don't know, I guess we're going to find out.
[55:10.480 --> 55:12.020]  I never played that game. It looked too hard.
[55:12.840 --> 55:15.160]  It is hard. And there's a bunch of traps
[55:15.160 --> 55:16.760]  that are just like total F.U. traps
[55:16.760 --> 55:17.640]  that you have to know about.
[55:17.640 --> 55:19.460]  Yeah. Do you know about them?
[55:19.520 --> 55:20.100]  It's definitely going to take a little bit.
[55:20.980 --> 55:23.160]  Sweet! It's going to be a good series.
[55:23.660 --> 55:25.600]  Gotta put bear traps down to like
[55:25.600 --> 55:27.660]  hit spider legs. Isn't it
[55:27.660 --> 55:29.520]  only like a 3-hour game?
[55:29.540 --> 55:30.940]  It is very short. It's pretty short.
[55:31.260 --> 55:33.660]  We could do it in one sitting. Yeah, just one stream.
[55:33.860 --> 55:35.740]  That is kind of the way you do it. You can do it on Friday, we'll watch.
[55:36.220 --> 55:36.400]  Yeah.
[55:38.200 --> 55:39.660]  So is that what we're doing? On Friday
[55:39.660 --> 55:41.820]  we're going to do that? This is such a backfire.
[55:41.960 --> 55:43.000]  On Friday that this comes out?
[55:43.240 --> 55:44.840]  We've got like 8 things to make on Friday.
[55:44.840 --> 55:45.320]  Laughing
[55:47.720 --> 55:48.640]  I'm just trying
[55:48.640 --> 55:50.940]  to make room for your idea, Gavin.
[55:51.080 --> 55:52.440]  I'm sorry. Sorry, man.
[55:52.680 --> 55:54.220]  I really apologize.
[55:54.620 --> 55:56.820]  I really apologize that I was trying to make room
[55:56.820 --> 55:57.900]  for your idea, dude.
[55:59.060 --> 56:00.840]  I'm so glad that
[56:00.840 --> 56:02.860]  it wasn't Flawless Raider because we're just
[56:02.860 --> 56:05.020]  not getting that. Yeah, don't punish us
[56:05.020 --> 56:07.120]  for supporting you and your creativity.
[56:07.540 --> 56:08.940]  Because they changed how
[56:08.940 --> 56:09.940]  we did it before.
[56:10.660 --> 56:11.920]  You can't do it that way anymore.
[56:11.920 --> 56:13.020]  Oh, really?
[56:13.580 --> 56:16.020]  Yeah, like they updated
[56:16.020 --> 56:18.000]  that raid. They took away a lot of
[56:18.000 --> 56:18.560]  those cheats.
[56:19.460 --> 56:20.420]  Oh, shit.
[56:21.960 --> 56:24.260]  We just would have never completed that.
[56:24.620 --> 56:26.100]  Well, it's surely still doable.
[56:26.580 --> 56:27.800]  Not by us, though.
[56:27.900 --> 56:28.960]  Not by us.
[56:30.360 --> 56:32.100]  A whole raid without
[56:32.100 --> 56:33.320]  dying? No.
[56:34.240 --> 56:35.460]  Huh. Gavin,
[56:35.640 --> 56:37.460]  have you seen us?
[56:38.400 --> 56:39.000]  Yeah.
[56:39.640 --> 56:40.660]  Oh, okay then.
[56:41.100 --> 56:43.080]  We'd have to set a new standard of it of
[56:43.080 --> 56:45.000]  not a continuous
[56:45.000 --> 56:47.120]  run. Complete each
[56:47.120 --> 56:49.200]  section individually at some point
[56:49.200 --> 56:50.360]  in which we didn't die.
[56:50.940 --> 56:53.100]  I mean, fuck, one of us can't
[56:53.100 --> 56:55.020]  even beat Limbo without dying five
[56:55.020 --> 56:57.140]  times. Now all four of us are going to beat a
[56:57.140 --> 56:58.200]  raid without dying once?
[56:58.980 --> 57:00.940]  I think as far as what you could have
[57:00.940 --> 57:03.020]  landed on, that was probably the easiest
[57:03.020 --> 57:05.020]  of them, Gavin. Yeah, but I was just
[57:05.020 --> 57:06.480]  bummed that it was only me.
[57:06.480 --> 57:08.560]  Well, yeah, you should have built out the
[57:08.560 --> 57:09.780]  second wheel. Yeah.
[57:11.420 --> 57:11.820]  Yeah.
[57:12.100 --> 57:13.760]  We'll all be there, so it'll be alright.
[57:14.100 --> 57:16.560]  Once again, though, a lot of these are only single player.
[57:17.320 --> 57:18.420]  Mile High Club, single player,
[57:18.460 --> 57:19.420]  that would have been just you.
[57:20.840 --> 57:22.420]  That one I just envisioned all of us
[57:22.420 --> 57:23.920]  doing it. Oh, simultaneously?
[57:24.360 --> 57:25.440]  Yeah. Okay.
[57:26.220 --> 57:28.340]  It's like arcade mode, it's very quick.
[57:28.440 --> 57:30.440]  Quick resets. It could be a fun thing
[57:30.440 --> 57:32.280]  where, like, once you're done,
[57:32.340 --> 57:33.560]  you can just leave the recording.
[57:33.560 --> 57:36.120]  Oh my god.
[57:36.260 --> 57:37.840]  It's the first one to do it in the video
[57:37.840 --> 57:39.500]  and the last one to do it in the video.
[57:39.680 --> 57:41.360]  Yeah, it's not done until
[57:41.360 --> 57:42.880]  every single one does it.
[57:43.200 --> 57:44.440]  Let's remember that.
[57:44.700 --> 57:47.440]  That's so funny. Let's definitely
[57:47.440 --> 57:49.660]  remember that. I love that.
[57:51.000 --> 57:52.620]  It would be so...
[57:52.620 --> 57:53.800]  Just being the last
[57:53.800 --> 57:55.160]  one would be so sad.
[57:56.240 --> 57:57.580]  Speaking of that, what was the idea
[57:57.580 --> 57:59.720]  we were talking about the other night, Eric, that we were gonna remember
[57:59.720 --> 58:01.260]  where everybody puts in $100
[58:01.260 --> 58:02.700]  but only one person loses?
[58:03.160 --> 58:05.300]  We had an idea for if we were
[58:05.300 --> 58:07.280]  doing Mario Party again, it would have
[58:07.280 --> 58:09.060]  to be a five-player game, whatever it is,
[58:09.540 --> 58:11.360]  and just doing it over time
[58:11.360 --> 58:13.180]  this way. We would
[58:13.180 --> 58:14.900]  all pick a
[58:14.900 --> 58:17.200]  valuable item of some
[58:17.200 --> 58:19.020]  kind that we each personally
[58:20.040 --> 58:21.160]  like. We would
[58:21.160 --> 58:23.500]  put them all in one place and then
[58:24.640 --> 58:25.160]  this
[58:25.160 --> 58:27.180]  five-player game, if you finish
[58:27.180 --> 58:29.120]  first through fourth, you get your item
[58:29.120 --> 58:31.020]  back. But if you finish dead last, your
[58:31.020 --> 58:32.580]  item is destroyed in front of you.
[58:33.360 --> 58:33.800]  Yeah.
[58:41.480 --> 58:43.140]  That also could be a fun
[58:43.140 --> 58:44.280]  thing with the wheel.
[58:44.900 --> 58:47.140]  Where you don't know what place is losing their
[58:47.140 --> 58:48.920]  item until after we spin a wheel.
[58:49.380 --> 58:50.880]  Oh, wow! Imagine
[58:50.880 --> 58:52.700]  it's first and it's like, oh my god.
[58:53.940 --> 58:55.220]  Everybody's fighting not to win.
[58:56.540 --> 58:57.080]  That's a
[58:57.080 --> 58:58.020]  really interesting mechanic.
[58:58.700 --> 59:00.620]  Speaking of interesting and
[59:00.620 --> 59:02.860]  Friday being a busy day, we
