[00:01.220 --> 00:03.360]  Nick! Nick, it's happening!
[45:28.220 --> 45:30.460]  It's just like slowly filling out with...
[45:32.500 --> 45:35.760]  Imagine someone stumbling onto this website and be like, oh, what are they tracking?
[45:36.180 --> 45:36.360]  Yep.
[45:37.160 --> 45:38.940]  It's great. It's fantastic.
[45:39.100 --> 45:44.040]  There also is a make your own draft on the Regulation Fan site.
[45:44.200 --> 45:46.960]  It's not the one that we typically use for our draft generator.
[45:47.120 --> 45:51.000]  That's the one that Sean Bear made over at regulationdrafts.github.io.
[45:51.000 --> 45:52.940]  But just a heads up.
[45:53.160 --> 45:54.680]  Which is also not a sex site.
[45:55.140 --> 45:55.460]  Yeah.
[45:56.320 --> 45:58.080]  Google as much as you need.
[45:58.160 --> 46:02.640]  Speaking of Summer Movie League and stuff relating to it.
[46:02.940 --> 46:10.760]  There's a story I saw that I can't stop laughing about of a quote from Zachary Levi.
[46:12.160 --> 46:16.720]  Shazam star Zachary Levi endorses Trump and movie calls career suicide.
[46:16.720 --> 46:26.060]  The Herald and the Purple Crayon guy is like, listen, this is a dangerous move for me.
[46:26.420 --> 46:29.160]  His career couldn't be in a worse spot.
[46:29.560 --> 46:37.780]  And the fact that they reference Shazam, which I believe is one of the, if not the biggest, Warner Brothers superhero bomb Shazam 2.
[46:38.440 --> 46:46.080]  The notion of your career being below zero and making any statement of this is going to be a real problem for my career.
[46:46.880 --> 46:48.300]  Nobody's seeing your movies.
[46:48.640 --> 46:52.940]  Do you think if Shazam 2 didn't lose this much money, Rooster Teeth would still be around?
[46:53.340 --> 46:54.700]  That's a great question.
[46:55.260 --> 47:02.680]  What do you think? Like where, like where, what domino could have not fallen or like just fall back slightly to the right and we'd still have jobs?
[47:03.200 --> 47:09.320]  How about this? Do you think if Rooster Teeth had done better, maybe Joker 2 would have had more money and it would have been better?
[47:10.120 --> 47:13.820]  Like maybe we took down Joker 2 because Shazam took us down.
[47:13.820 --> 47:17.560]  And that's why I'm declaring that we're remaking Rooster Teeth.
[47:17.760 --> 47:20.900]  Meanwhile, Batgirl's over here going, what about me? What about me?
[47:21.040 --> 47:25.820]  I want the Wile E. Coyote movie. I want to see John Cena and Wile E. Coyote. Those are my heroes.
[47:26.980 --> 47:29.340]  The tag team we've all been waiting for.
[47:29.640 --> 47:33.520]  They should be the tag champions at WrestleMania. John Cena and Wile E. Coyote.
[47:33.860 --> 47:35.780]  They need to put Wile E. Coyote in the wrestling games.
[47:36.520 --> 47:40.140]  How does a coyote interact with a real roadrunner?
[47:40.860 --> 47:41.620]  What do you mean?
[47:41.620 --> 47:43.660]  If you just put them together, what would they do?
[47:44.520 --> 47:45.740]  That's a great question.
[47:45.760 --> 47:48.060]  I mean, a coyote would probably try to eat the roadrunner.
[47:48.260 --> 47:50.360]  That's what coyotes do.
[47:50.680 --> 47:52.460]  Okay, here. I googled... uh oh.
[47:56.320 --> 47:56.980]  Oh no!
[47:59.220 --> 48:00.540]  Oh, that's what would happen.
[48:02.860 --> 48:05.180]  I'm glad you got there before I could finish my Google search.
[48:06.420 --> 48:07.220]  That's depressing.
[48:07.580 --> 48:09.680]  I'm learning a roadrunner is very, very small.
[48:09.680 --> 48:13.200]  Oh, we have roadrunners in Austin. Have you never seen them?
[48:13.260 --> 48:13.820]  Show me one.
[48:13.960 --> 48:16.120]  Well, I mean, maybe I've seen one. I didn't know what it was.
[48:16.640 --> 48:17.380]  They're pretty fast.
[48:17.960 --> 48:23.300]  Sometimes you'll hear them. You'll hear a meep meep, and then you'll look over, but all you can really see is just a cloud of dust.
[48:23.920 --> 48:28.260]  There's dust. You ever see dust in the shape of that bird? That's what it is.
[48:28.920 --> 48:31.140]  What the fuck is that bird painting?
[48:31.820 --> 48:33.000]  I'm calling bullshit.
[48:34.980 --> 48:36.980]  That's such a cute bird. I love that.
[48:39.000 --> 48:45.700]  Roadrunners are small. They're not big. They're just like little birds. They just kind of go, they skitter.
[48:45.940 --> 48:47.200]  They run fast. That's all they do.
[48:47.400 --> 48:52.600]  We should draft animals that are cooler in cartoons. Have you seen a real wolverine?
[48:53.120 --> 48:53.500]  Oh, yeah.
[48:54.840 --> 48:55.640]  They're tiny.
[48:57.920 --> 49:04.120]  I think they look kind of cool, but then when you tell me that it's a wolverine and it's a wolverine, that's not that cool.
[49:06.660 --> 49:10.680]  Hang on, if you had to make a choice, which wolverine is for you?
[49:14.660 --> 49:17.360]  Furry guy or popping claws.
[49:17.680 --> 49:18.960]  Yeah, popping claws, baby.
[49:19.440 --> 49:23.980]  So they didn't name the Roadrunner until roads were invented? Like Pokemon?
[49:24.540 --> 49:26.880]  When do you think roads were invented?
[49:26.880 --> 49:31.000]  What do you mean roads were invented? Do you mean like pavement?
[49:31.740 --> 49:33.060]  No, like a Roman road.
[49:33.060 --> 49:34.840]  When were roads invented?
[49:35.580 --> 49:36.300]  Hang on.
[49:37.020 --> 49:39.700]  When were roads invented first?
[49:40.140 --> 49:43.220]  Romans did straight roads, didn't they? They loved a good long road.
[49:43.420 --> 49:46.560]  The earliest record of constructed roads date back to 4000 BCE.
[49:47.320 --> 49:50.980]  So yeah, definitely old.
[49:51.420 --> 49:53.240]  And I would think that a Roadrunner probably would.
[49:53.340 --> 49:54.740]  When was a Roadrunner discovered?
[49:55.020 --> 49:57.280]  When were Roadrunners discovered?
[49:57.480 --> 50:02.420]  That's a better search. I was just googling Roadrunner name and I just kept getting Looney Tunes.
[50:02.420 --> 50:02.940]  Yeah.
[50:05.280 --> 50:09.080]  It was named the official bird of New Mexico in 1949.
[50:09.540 --> 50:11.700]  Wait, the Roadrunner's name is Beep Beep?
[50:12.060 --> 50:13.380]  His name is Beep Beep?
[50:13.800 --> 50:14.220]  Apparently.
[50:14.880 --> 50:15.240]  What?
[50:15.920 --> 50:17.720]  Beep Beep the Roadrunner is his full name.
[50:18.280 --> 50:18.480]  What?
[50:18.800 --> 50:19.680]  That doesn't sound right.
[50:20.240 --> 50:22.000]  That's what Google's telling me.
[50:22.600 --> 50:28.860]  Found someone on Reddit. What were Roadrunners called before there were roads?
[50:31.400 --> 50:34.020]  They're common throughout the southwest.
[50:34.760 --> 50:38.260]  And there are native languages that had some names.
[50:38.640 --> 50:39.600]  But a lot of them.
[50:39.860 --> 50:42.340]  Snake Eater was one of the...
[50:42.340 --> 50:43.260]  I'll have to mail you a name.
[50:43.820 --> 50:48.860]  The scientific name is Geococcyx Californianus.
[50:50.000 --> 50:50.340]  What? Whoa.
[50:51.260 --> 50:53.140]  I hear that happens if you drink carrot juice.
[50:53.300 --> 50:53.740]  Californianus.
[50:55.540 --> 50:57.140]  Is it an anus?
[50:57.440 --> 50:58.260]  It's very sexual.
[51:02.280 --> 51:02.640]  Geococcyx...
[51:03.020 --> 51:07.560]  I don't think that's true, because I looked up the coyotes also, and that's not what I found.
[51:08.720 --> 51:13.140]  Carnivorous vulgaris is a coyote, and accelerati incredibullus is a roadrunner.
[51:15.380 --> 51:18.780]  So, I'm not sure what your source is, but mine's in black and white right there, bud.
[51:20.780 --> 51:22.440]  Dream of Californianus.
[51:28.520 --> 51:35.280]  Have you guys ever searched something and received the most opposite thing for what you're looking for?
[51:35.980 --> 51:39.120]  Are there any distinct memories of you put in a search?
[51:39.460 --> 51:42.880]  For me it was like I was looking for a movie, I didn't know if a platform had it.
[51:43.300 --> 51:48.040]  So I searched it, and it gave me literally the furthest thing from the movie I requested.
[51:48.640 --> 51:50.660]  Did you google James Bond and you got an ornithologist?
[51:50.660 --> 51:52.680]  I did, yeah, I got a bird guy.
[51:53.540 --> 51:54.960]  I've been on...
[51:55.380 --> 51:56.820]  Flubbed a whole syllable there, I think.
[51:59.680 --> 52:08.140]  I've been on a real Stallone kick, so I was trying to watch some Rambo, and I didn't know if this service would have it.
[52:08.420 --> 52:13.380]  So I put Rambo in and I searched it, and the only thing it brought me back was Ramona and Beezus.
[52:13.380 --> 52:17.500]  Which is not at all what I'm looking for.
[52:18.320 --> 52:22.400]  Outside of the RAM, I mean, that has to be it.
[52:22.760 --> 52:26.860]  But just tonally, I can't imagine anyone searching Rambo and then just going,
[52:27.000 --> 52:28.800]  Oh, Ramona and Beezus, sure, I'll watch that instead.
[52:29.100 --> 52:29.700]  Let's do that.
[52:32.180 --> 52:33.280]  Did you watch any of it?
[52:33.640 --> 52:35.880]  No, I was shocked.
[52:36.040 --> 52:38.400]  I was like, this is not at all the feel I'm going for.
[52:39.220 --> 52:39.740]  So be on the lookout.
[52:39.900 --> 52:42.660]  I'd love to see if you guys ever encounter something like that.
[52:42.660 --> 52:48.240]  I can't remember what I was searching, but I got a result that I was not expecting.
[52:51.260 --> 52:58.840]  We should do a game where we open up IMDb and we come up with a word, and then we type that word into IMDb,
[52:58.900 --> 53:01.880]  and then we have to watch one of the movies that's returned featuring that word.
[53:03.600 --> 53:06.280]  Whatever Gavin just posted, what's going on?
[53:06.540 --> 53:11.380]  I was searching something and the only thing that came up was a film called Slap Her, She's French.
[53:11.380 --> 53:14.780]  Which I then couldn't find anything about online.
[53:14.820 --> 53:16.000]  Have we talked about that?
[53:16.400 --> 53:17.520]  I think we have.
[53:17.940 --> 53:18.320]  Potentially.
[53:19.360 --> 53:20.040]  From you!
[53:20.560 --> 53:27.480]  Yeah, we've definitely done it before, because when I just Googled it, I've clicked on the Wikipedia for it, and it had to be from this.
[53:27.700 --> 53:29.720]  It was from this show. It sounded familiar. Weird.
[53:30.280 --> 53:31.980]  Yeah, I don't know what I was searching there.
[53:32.220 --> 53:35.540]  Nick just posted Angus, thongs, and perfect snot. What is this?
[53:35.540 --> 53:42.040]  No idea. I was just flipping through movies, and this popped up, and I thought that was quite British, and that Gavin might be able to explain it to us.
[53:42.040 --> 53:42.800]  Sounds pretty British.
[53:44.740 --> 53:45.140]  Snogging?
[53:45.440 --> 53:47.240]  What's Angus in the UK?
[53:47.960 --> 53:48.300]  Cow.
[53:49.700 --> 53:52.900]  So cow, underwear, and perfect kisses?
[53:54.420 --> 53:55.860]  Andrew, you know what snogging is.
[53:56.440 --> 53:57.200]  What's snogging?
[53:57.780 --> 53:58.760]  For 400 plates.
[54:01.820 --> 54:01.980]  What?
[54:02.100 --> 54:02.520]  Make it out.
[54:02.980 --> 54:03.600]  Oh, it's making out?
[54:03.960 --> 54:04.620]  Yeah, it's kissing.
[54:04.620 --> 54:10.520]  That's a dirtier name than the act. I don't think those equal correctly.
[54:11.680 --> 54:11.980]  Yeah.
[54:13.080 --> 54:15.780]  Snogging sounds filthier than just making out.
[54:17.040 --> 54:21.480]  Snogging sounds like a thing they would sell at the regulation shop if you just Google regulation shop.
[54:22.120 --> 54:23.780]  Like a five pack of snogging?
[54:23.920 --> 54:25.540]  A five pack of snog, yeah.
[54:26.900 --> 54:27.800]  Snogging ring.
[54:30.920 --> 54:35.620]  This would not be... I don't know. There's something dirty about it. It's very odd.
[54:36.200 --> 54:39.560]  Yeah, I'm with you. Hey, can I shift gears a little bit and ask a question?
[54:39.980 --> 54:40.420]  Please do.
[54:41.360 --> 54:45.440]  The new Mario Party came out. Is that something we're interested in? Is that something we're going to do?
[54:45.660 --> 54:47.440]  It feels like people want to see that.
[54:47.440 --> 54:48.020]  Let's do that today.
[54:49.460 --> 54:50.120]  Not today.
[54:50.420 --> 54:56.920]  We have to watch Nick play Last of Us and learn that he can save, but he knows he can save.
[54:56.920 --> 54:58.260]  At any point in time.
[54:59.300 --> 55:05.120]  So we gotta do it later, I guess. I don't know anything about the new Mario Party. Is it supposed to be good?
[55:05.600 --> 55:06.400]  No idea. Let's play it.
[55:06.420 --> 55:07.820]  People seem to like it. Yeah, we'll do that.
[55:10.440 --> 55:12.400]  Are there five players or does it have to be four?
[55:14.720 --> 55:16.760]  You guys can play it while I'm not here tomorrow.
[55:16.860 --> 55:17.800]  We're heisting tomorrow.
[55:17.900 --> 55:18.900]  Yeah, we're heisting tomorrow.
[55:19.020 --> 55:23.580]  If you're not here, we have to play Grand Theft Auto. And we could also just play more Grand Theft Auto if you want to.
[55:24.240 --> 55:25.160]  Eric has a problem.
[55:25.160 --> 55:28.900]  My problem is that we're not playing Grand Theft Auto.
[55:30.560 --> 55:32.380]  You're the president of the company, right?
[55:32.520 --> 55:33.080]  Yeah, uh-huh.
[55:33.320 --> 55:35.160]  All you want us to do is play GTA.
[55:35.720 --> 55:39.060]  Yeah, we're playing other games, though. Like, we're getting stuff done. We're recording the podcast.
[55:39.380 --> 55:42.980]  He's going to do Last of Us. We played Predator, whatever. We didn't play any Grand Theft Auto today.
[55:43.240 --> 55:47.440]  The problem with Grand Theft Auto is we need an agenda. There's got to be a reason to play it.
[55:47.640 --> 55:53.340]  Yeah, we get in there and then Gavin remembers something from 13 years ago and we just play that. It's great.
[55:54.400 --> 55:56.180]  It's worked for us so far.
[55:56.780 --> 56:00.860]  There's a very limited palette of those moments, I believe, unfortunately.
[56:01.260 --> 56:06.680]  We still haven't seen it. Some of us stayed two and a half hours later to see it. And I think saw it eventually.
[56:07.180 --> 56:09.260]  I am still missing a goddamn ****.
[56:09.480 --> 56:14.260]  See, I feel so bad for you, Geoff. You didn't get to see the **** or whatever you're talking about, dude.
[56:16.540 --> 56:16.980]  Spoiler.
[56:17.760 --> 56:18.600]  Big spoiler.
[56:19.200 --> 56:20.040]  I'll just bleep it all.
[56:20.040 --> 56:24.140]  Didn't see the bleep. Didn't see that spooky bleep.
[56:26.380 --> 56:29.340]  I didn't collect one of the ten bleeps.
[56:33.740 --> 56:38.240]  Now I can't use the special bleep suit or the special bleep car.
[56:41.080 --> 56:46.980]  I was walking around with Meg last week and we inadvertently just shat on Eric without intending to.
[56:47.180 --> 56:49.300]  What the ****? What did I do?
[56:49.300 --> 56:54.700]  There was a guy at a store who had like white hair and he kind of looked like Eric.
[56:55.640 --> 56:58.820]  And then Meg was like, oh, look, it's Eric in 40 years.
[56:58.940 --> 57:03.100]  And I looked at this guy and he must have been like, he must have been like 50.
[57:03.260 --> 57:04.600]  I was like, it's Eric in 10 years.
[57:07.560 --> 57:11.760]  That's so nice of her to say Eric in 40 years. That's so kind.
[57:12.020 --> 57:15.340]  The gray doesn't stop. It keeps going, does not go backwards.
[57:15.920 --> 57:16.960]  I got so much gray.
[57:16.960 --> 57:20.780]  I think it's less a function of time and more a function of podcasts.
[57:20.880 --> 57:25.920]  So I would say I would refer to it as more as how many Eric in 50 podcasts.
[57:26.840 --> 57:31.000]  So a year, a year and 10 weeks.
[57:31.340 --> 57:34.740]  I don't know if it's in a recording. We're playing like a 360 thing.
[57:34.760 --> 57:41.500]  And I looked, I looked at my recent players on the 360 dashboard because it's a separate dashboard to the modern day Xbox.
[57:41.500 --> 57:44.920]  And it was a bunch of GTA 5 and a bunch of game attacks.
[57:45.200 --> 57:48.620]  And it was like last seen. Oh, it's because we're playing Grawl.
[57:48.680 --> 57:52.620]  And it said last seen 365 days ago. I was like, oh, wow, it's like exactly a year.
[57:52.740 --> 57:55.080]  And then I noticed there was another five after it.
[57:55.640 --> 57:58.500]  It was 10 years since I'd seen...
[57:58.500 --> 58:00.340]  Oh my God. Wow.
[58:03.920 --> 58:07.160]  Do you guys want me to age Eric, I think a few years in a podcast?
[58:07.300 --> 58:08.480]  Yeah, please do.
[58:08.480 --> 58:13.980]  No, I enough time has passed that I feel comfortable confessing this now.
[58:14.000 --> 58:15.660]  Oh, God, not in the moment.
[58:15.820 --> 58:20.440]  We had we had an issue that I realized, oh, boy, I could have really helped.
[58:20.620 --> 58:21.440]  And I did not.
[58:23.540 --> 58:28.280]  Remember when we tried to play Predator like weeks ago for the first time?
[58:28.340 --> 58:30.800]  Uh huh. And your setup was not working.
[58:31.180 --> 58:33.600]  Yeah. And so people were in.
[58:33.740 --> 58:36.580]  You're sharing your feed to see like your setup.
[58:36.580 --> 58:40.560]  And and the guys, everyone was like, oh, man, we could hear everything coming back.
[58:40.660 --> 58:46.020]  Yeah. I was I was part of that, but I was not in your stream and I was playing.
[58:46.160 --> 58:48.820]  I just loaded up a different game and I was playing it.
[58:49.080 --> 58:51.040]  And they were going like, oh, I still hear it.
[58:51.080 --> 58:52.800]  And I just went, no, I can't. That's weird.
[58:53.760 --> 58:55.120]  I wasn't in the stream.
[58:57.120 --> 58:57.920]  Oh, Andre.
[58:58.300 --> 59:01.200]  I was like, I don't know if there's something weird with my audio.
[59:01.340 --> 59:04.400]  It wasn't enough time. Enough time hasn't passed.
[59:04.400 --> 59:05.140]  I agree.
[59:05.480 --> 59:06.300]  Too soon.
[59:06.900 --> 59:08.580]  We haven't even explained this fully yet.
[59:08.780 --> 59:09.780]  We're so stupid.
[59:10.000 --> 59:11.420]  I want you kicked out of the company.
[59:11.640 --> 59:14.960]  We've we've talked around. We've talked around it.
[59:15.240 --> 59:21.460]  But it is definitely one of the dumbest things I've participated in professionally in my entire career.
[59:21.740 --> 59:22.880]  And not in a good way.
[59:23.360 --> 59:24.500]  I got a Rodecaster Duo.
[59:24.980 --> 59:26.640]  It is a new audio deck.
[59:26.700 --> 59:30.160]  So that way I can get better audio for the podcast and our recordings.
[59:30.160 --> 59:34.960]  When we set it up, I thought I had it routed the right way to hear everything.
[59:35.220 --> 59:35.820]  I did not.
[59:36.160 --> 59:40.280]  So we came in and we're like, oh, we will reroute this stuff.
[59:40.680 --> 59:42.140]  Oh, man, we're hearing all this.
[59:42.240 --> 59:42.940]  We're hearing all that.
[59:43.060 --> 59:44.920]  Your audacity was recording everything, right?
[59:45.060 --> 59:45.880]  Correct. Correct.
[59:46.140 --> 59:49.340]  And then we all got like, oh, well, I'll share my screen on Discord.
[59:49.340 --> 59:52.120]  And then we can poke around and see what it is and what we need to do.
[59:52.180 --> 59:52.500]  Whatever.
[59:52.980 --> 01:00:01.180]  We did that for 49 minutes before realizing, oh, we can hear everything because we're watching.
[01:00:01.260 --> 01:00:08.820]  It was Nick playing a game or something that was like, oh, yeah, we can hear this because, you know, watching the stream.
[01:00:09.200 --> 01:00:09.680]  Oh.
[01:00:10.940 --> 01:00:17.180]  We were basically trying to make it so that audacity wasn't recording the Discord and the system sounds and everything else.
[01:00:17.400 --> 01:00:21.980]  And we were disabling things one by one to the point where almost everything was muted.
[01:00:21.980 --> 01:00:27.980]  And we could still hear us, right, through your thing.
[01:00:28.140 --> 01:00:30.600]  And that, yeah, it was just because we were listening to your computer.
[01:00:31.320 --> 01:00:34.720]  And it wasn't coming through Discord through you as someone on Discord.
[01:00:35.160 --> 01:00:37.120]  Most of us were listening to my computer.
[01:00:37.340 --> 01:00:40.040]  Some of us were fucking off.
[01:00:40.240 --> 01:00:45.560]  No, I was testing to see if there is a game that'd be fun for us to play as a Let's Play.
[01:00:46.020 --> 01:00:47.660]  And so I was trying to figure that out.
[01:00:48.240 --> 01:00:50.440]  And I was like, I am not going to be able to help whatever this is.
[01:00:50.480 --> 01:00:51.280]  I don't need to be doing this.
[01:00:51.280 --> 01:00:53.680]  Let me look at this game to see if this would be fun for us to play.
[01:00:53.840 --> 01:00:55.440]  Then why were you giving input?
[01:00:55.900 --> 01:00:56.760]  I wasn't.
[01:00:56.820 --> 01:00:57.520]  He really wasn't.
[01:00:57.560 --> 01:00:58.680]  He was pretty checked out.
[01:00:58.800 --> 01:00:59.400]  I was, yeah.
[01:00:59.500 --> 01:01:04.040]  I was just, I was quietly trying to figure out the tutorial for this game.
[01:01:04.280 --> 01:01:05.360]  I wasn't checked out.
[01:01:05.700 --> 01:01:07.900]  I just knew I couldn't help whatever was occurring.
[01:01:08.080 --> 01:01:08.120]  No, come on.
[01:01:08.240 --> 01:01:13.260]  It was immediately apparent that Andrew was going to provide no assistance in that situation.
[01:01:13.440 --> 01:01:14.300]  And so he did.
[01:01:14.360 --> 01:01:17.460]  He provided assistance in the best way possible by staying out of the way.
[01:01:17.460 --> 01:01:27.480]  It's just that he inadvertently stumbled upon a really important piece of information that could have helped accelerate our path to discovering our own stupidity.
[01:01:27.680 --> 01:01:41.400]  It was, I think the thing that we're not accurately conveying is just how genuinely depressing and embarrassing it was when we discovered our own folly.
[01:01:41.740 --> 01:01:42.080]  You know?
[01:01:42.520 --> 01:01:46.000]  It was like, I felt really honestly bad about myself for a while.
[01:01:46.000 --> 01:01:50.360]  Well, because the more people there are, the more you expect someone to figure it out.
[01:01:50.640 --> 01:01:50.940]  Exactly.
[01:01:51.320 --> 01:01:51.680]  Yeah.
[01:01:51.780 --> 01:02:00.460]  It was like when we were in those boats in Minecraft, Geoff, and we were following the compass north instead of remembering that it was taking us to our spawn.
[01:02:02.240 --> 01:02:10.200]  I was playing the game Special Delivery, trying to learn how to deliver packages to see if we could do this as a group and it would be fun.
[01:02:10.580 --> 01:02:13.460]  And every once in a while you guys would be like, ah, I heard that.
[01:02:13.540 --> 01:02:14.880]  And I'd go, I didn't hear nothing.
[01:02:14.880 --> 01:02:15.400]  That's weird.
[01:02:15.680 --> 01:02:16.080]  Whatever.
[01:02:16.400 --> 01:02:17.440]  I just kept going.
[01:02:17.800 --> 01:02:19.360]  Just kept continuing with my life.
[01:02:19.720 --> 01:02:21.820]  That reminds me, we gotta play that cemetery game.
[01:02:22.240 --> 01:02:22.620]  We do!
[01:02:22.800 --> 01:02:23.880]  Yeah, that came out.
[01:02:24.100 --> 01:02:26.660]  I have to, I'll probably install that right after this.
[01:02:27.040 --> 01:02:28.180]  Is everyone in town next week?
[01:02:28.820 --> 01:02:28.980]  Yeah.
[01:02:29.300 --> 01:02:29.440]  Yeah.
[01:02:30.120 --> 01:02:33.220]  Wait, hang on, Nick said...
[01:02:33.220 --> 01:02:33.700]  I think so?
[01:02:34.080 --> 01:02:34.720]  I think so.
[01:02:35.060 --> 01:02:35.320]  What?
[01:02:36.320 --> 01:02:40.120]  How do you not, you have a kid, you have to know ahead of time if you're in town or not.
[01:02:40.140 --> 01:02:41.840]  What do you, I think so?
[01:02:42.840 --> 01:02:44.080]  Uh, what's next week?
[01:02:44.080 --> 01:02:44.980]  Oh yeah, I'm in town.
[01:02:45.200 --> 01:02:46.360]  Oh my God.
[01:02:46.540 --> 01:02:46.820]  What?
[01:02:47.040 --> 01:02:49.940]  I don't understand how this company functions this way.
[01:02:50.340 --> 01:02:50.500]  Like...
[01:02:50.500 --> 01:02:51.360]  What are you talking about?
[01:02:51.900 --> 01:02:52.900]  It's two weeks and I'm gone.
[01:02:53.820 --> 01:02:55.080]  Your answer sucked.
[01:02:57.260 --> 01:02:58.800]  And there we go.
[01:02:59.000 --> 01:03:00.200]  That's two years, baby.
[01:03:00.680 --> 01:03:02.740]  We just added two years right there.
[01:03:03.680 --> 01:03:04.220]  Good work, team.
[01:03:04.940 --> 01:03:09.180]  We went to Jack in the Box to order this food and I asked the guys if they wanted anything else.
[01:03:09.340 --> 01:03:10.460]  And Nick just started going, jalapeños.
[01:03:10.460 --> 01:03:14.640]  And it was like, they don't, they don't just have jalapeños.
[01:03:15.000 --> 01:03:19.320]  And he just kept saying, he just kept saying jalapeños.
[01:03:19.900 --> 01:03:22.060]  And what he meant was jalapeño poppers.
[01:03:22.300 --> 01:03:28.280]  What that doesn't answer is what size or what, like, he just kept saying a single word.
[01:03:28.700 --> 01:03:29.540]  If somebody...
[01:03:29.540 --> 01:03:31.960]  Sounds like a, sounds like a real Blue Raspberry type situation.
[01:03:32.640 --> 01:03:33.420]  I'm on Nick's side here.
[01:03:34.140 --> 01:03:34.560]  Sort of.
[01:03:34.640 --> 01:03:35.360]  I'm sort of on Nick's side.
[01:03:35.440 --> 01:03:37.040]  He should be saying poppers, not jalapeños.
[01:03:37.320 --> 01:03:37.660]  I agree.
[01:03:37.660 --> 01:03:39.460]  But if somebody just says items...
[01:03:39.460 --> 01:03:40.700]  Just get the fucking large.
[01:03:40.900 --> 01:03:41.320]  No.
[01:03:41.500 --> 01:03:42.900]  Okay, I'm not on Nick's side at all.
[01:03:43.040 --> 01:03:44.020]  You're assuming a medium.
[01:03:44.140 --> 01:03:44.580]  There's so much.
[01:03:45.240 --> 01:03:51.740]  Nick gave the least amount of information that everyone is supposed to just assume the rest of this thing.
[01:03:52.160 --> 01:03:52.440]  Yeah.
[01:03:53.180 --> 01:03:54.480]  Are you in town next week?
[01:03:54.600 --> 01:03:54.860]  Maybe.
[01:03:55.080 --> 01:03:56.500]  What do you mean?
[01:03:57.480 --> 01:03:58.860]  That's such a gathered answer.
[01:03:59.420 --> 01:03:59.880]  Yes.
[01:04:00.020 --> 01:04:01.560]  Yeah, that's, and I don't even do that anymore.
[01:04:02.320 --> 01:04:02.480]  Oh.
[01:04:02.700 --> 01:04:04.240]  I'm on top of my schedule these days.
[01:04:04.480 --> 01:04:04.920]  That's true.
[01:04:06.060 --> 01:04:08.280]  I wish you had my life and asked me that question.
[01:04:10.870 --> 01:04:12.670]  It's quoting me back to me.
[01:04:13.670 --> 01:04:15.150]  That's pretty good.
[01:04:15.430 --> 01:04:16.130]  That's pretty good.
[01:04:16.350 --> 01:04:17.250]  That was great.
[01:04:19.210 --> 01:04:23.010]  Who are you closest to having a real argument with, Eric, in this company?
[01:04:23.530 --> 01:04:24.390]  In this one?
[01:04:25.010 --> 01:04:26.850]  The other day it was you.
[01:04:27.650 --> 01:04:28.890]  Me? What'd I do?
[01:04:30.890 --> 01:04:35.730]  Eight minutes after we launched the store.
[01:04:36.810 --> 01:04:40.130]  Eight minutes after we launched the store.
[01:04:40.130 --> 01:04:40.770]  Yeah.
[01:04:41.510 --> 01:04:45.570]  Hey, uh, should we do the design different?
[01:04:46.250 --> 01:04:48.950]  Are you out of your fucking mind?
[01:04:49.530 --> 01:04:51.870]  Shut up, shut up.
[01:04:51.950 --> 01:04:54.350]  One, we already had that conversation.
[01:04:54.950 --> 01:04:56.230]  We went through it.
[01:04:56.330 --> 01:04:57.910]  We talked all the way through it.
[01:04:58.110 --> 01:05:03.770]  We had that conversation eight minutes after the store launched.
[01:05:03.810 --> 01:05:06.690]  You wanted to talk about it again?
[01:05:06.690 --> 01:05:12.870]  I have to give all the credit in the world to Andrew and Geoff for just stepping in and going, it's fine.
[01:05:15.130 --> 01:05:17.970]  I was going to fucking flip.
[01:05:18.890 --> 01:05:20.330]  Sometimes you gotta sleep on it, you know?
[01:05:20.790 --> 01:05:23.050]  We're getting real sausage talky in our episodes.
[01:05:23.090 --> 01:05:23.990]  Eight minutes after the launch.
[01:05:24.170 --> 01:05:25.270]  Like, I don't understand.
[01:05:25.770 --> 01:05:26.710]  Eight minutes after we went live.
[01:05:26.770 --> 01:05:28.030]  We hadn't talked about it yet.
[01:05:28.990 --> 01:05:30.050]  No one knew about it yet.
[01:05:30.910 --> 01:05:39.350]  Typically, I would be on your side, Gavin, but we did have, like, several extensive conversations about design and locking it in.
[01:05:39.350 --> 01:05:41.290]  I just had a last-minute concern.
[01:05:42.190 --> 01:05:43.850]  That's after we did it!
[01:05:44.870 --> 01:05:45.270]  Yeah?
[01:05:45.470 --> 01:05:47.210]  Some stuff happens after other stuff.
[01:05:47.410 --> 01:05:52.970]  The problem, though, Gavin, with what you did, is what you vocalized is something I never...
[01:05:52.970 --> 01:05:57.250]  I thought, oh, we're all happy, and then you did that, and then it was all I could think about for the rest of that day.
[01:05:57.730 --> 01:05:58.470]  And it was pointless.
[01:05:59.270 --> 01:05:59.630]  Hmm.
[01:06:00.670 --> 01:06:02.450]  But I do have some ideas. I got some... listen.
[01:06:02.610 --> 01:06:04.550]  I thought it was pretty funny.
[01:06:05.050 --> 01:06:10.630]  I would have felt worse if it was like f***face, and I wasn't in any of the meetings.
[01:06:10.930 --> 01:06:13.370]  I went to every... I was in every discussion about it.
[01:06:13.850 --> 01:06:15.230]  I just felt differently afterwards.
[01:06:16.470 --> 01:06:22.050]  And I wasn't saying, let's change it, I was just putting a new angle, a new question to the group about it.
[01:06:22.470 --> 01:06:23.790]  Was it?
