[00:01.060 --> 00:02.540]  The summer sun hums.
[36:50.580 --> 36:53.160]  I like an IBC myself, but Barks is really good too.
[36:53.400 --> 36:55.480]  IBC? Okay. I don't know if I've had that one.
[36:56.280 --> 36:57.080]  IBC Root Beer.
[36:58.220 --> 36:58.700]  It's good.
[36:59.060 --> 37:01.880]  Is it like a known wide brand in America?
[37:02.060 --> 37:03.200]  Or is it like a...
[37:03.760 --> 37:04.020]  Yeah.
[37:04.220 --> 37:06.240]  Yeah, IBC, it's big.
[37:07.620 --> 37:08.060]  Interesting.
[37:08.680 --> 37:09.760]  You can get it anywhere in America.
[37:09.900 --> 37:11.800]  It comes in a bottle.
[37:13.380 --> 37:15.540]  Currently unavailable on Amazon.ca.
[37:15.540 --> 37:17.320]  I'll see if I can get this somehow.
[37:17.800 --> 37:18.820]  Oh, I'm sorry, dude.
[37:19.000 --> 37:19.480]  Interesting.
[37:21.160 --> 37:23.080]  You know what I should have picked if I really
[37:23.080 --> 37:25.960]  wanted Gavin's heart is Dad's Root Beer.
[37:26.440 --> 37:27.320]  I don't know if
[37:28.180 --> 37:29.580]  that's a thing that is just
[37:29.580 --> 37:31.280]  Canadian only, but everyone brings
[37:31.280 --> 37:32.500]  Dad back into this.
[37:33.000 --> 37:34.040]  They actually sell it in Austin.
[37:34.440 --> 37:35.560]  Really? Okay.
[37:36.800 --> 37:39.540]  Just a root beer bottle that says Dad's
[37:39.540 --> 37:41.200]  felt Canadian to me for some reason.
[37:41.940 --> 37:42.820]  It probably is.
[37:42.820 --> 37:44.640]  I used to get it at Costco.
[37:45.660 --> 37:46.440]  Oh, really?
[37:46.940 --> 37:48.320]  I think I saw it at Big Lots.
[37:49.540 --> 37:50.940]  I used to get it at
[37:50.940 --> 37:53.180]  Costco when Costco was Price Club.
[37:54.900 --> 37:56.060]  Holy shit, dude.
[37:56.800 --> 37:58.620]  Yeah. I don't remember that at all.
[37:59.320 --> 37:59.620]  Oh, yeah.
[37:59.680 --> 38:02.940]  Is anybody actually drinking
[38:02.940 --> 38:03.540]  anything right now?
[38:04.200 --> 38:06.600]  I am drinking something related to
[38:06.600 --> 38:08.740]  a draft that we're not going to end up recording today.
[38:09.040 --> 38:09.460]  Okay.
[38:11.900 --> 38:12.840]  Because I just realized
[38:12.840 --> 38:14.680]  I'm drinking a Bang Purple Haze
[38:14.680 --> 38:16.460]  energy drink, which did not get mentioned.
[38:17.040 --> 38:18.940]  As soon as we're done here,
[38:18.940 --> 38:20.880]  I'm going to go make a cup of the very
[38:20.880 --> 38:22.180]  first pick on this whole draft.
[38:23.080 --> 38:24.320]  But nothing right now.
[38:24.900 --> 38:26.480]  I was thinking about going with the number three.
[38:30.640 --> 38:31.940]  See how they're different, Gavin?
[38:32.020 --> 38:32.880]  Yeah, they're different, Gavin.
[38:33.460 --> 38:34.180]  Totally different.
[38:40.100 --> 38:41.540]  If Gavin were to put that up
[38:41.540 --> 38:43.340]  for a vote, Geoff, would you have voted against
[38:43.340 --> 38:44.000]  the Americana?
[38:47.220 --> 38:48.640]  I would have voted no to it.
[38:50.040 --> 38:51.020]  So it just comes down
[38:51.020 --> 38:51.420]  to you.
[38:53.240 --> 38:55.060]  Yeah, I probably would have
[38:55.060 --> 38:55.880]  voted no.
[38:58.900 --> 38:59.960]  That's too bad we waited.
[39:01.100 --> 39:02.860]  Because now that I think about it,
[39:02.920 --> 39:05.020]  I mean, materially, it's the same thing.
[39:05.240 --> 39:06.880]  You're not even really adding any different
[39:06.880 --> 39:08.840]  ingredients into it. It's just a preparation
[39:08.840 --> 39:10.780]  deal. Yeah, I don't think so.
[39:11.200 --> 39:12.360]  And honestly, hey, Gavin,
[39:12.520 --> 39:14.360]  apology accepted. Yeah, you know what?
[39:16.580 --> 39:18.640]  Yeah, I think you've got to fight for yourself a little bit harder,
[39:18.780 --> 39:20.740]  Gavin. I would have been in your corner now that I think about it.
[39:20.860 --> 39:22.060]  Yeah, Gavin, I'm over it. Thanks, man.
[39:23.220 --> 39:25.080]  Hey, no worries. Let's just move past it, yeah?
[39:25.860 --> 39:26.880]  Oh, we should move past
[39:26.880 --> 39:28.700]  the very last pick of this draft, Gavin.
[39:28.800 --> 39:30.680]  Go ahead. Oh, we've got Coca-Cola,
[39:30.860 --> 39:33.300]  Diet Coke, Mexican Coke.
[39:33.700 --> 39:34.840]  Mexican Coke was on
[39:34.840 --> 39:35.960]  my list!
[39:35.960 --> 39:37.060]  That's a good one.
[39:37.420 --> 39:40.020]  So nobody picked water.
[39:40.560 --> 39:41.860]  That's so fucking
[39:41.860 --> 39:42.740]  funny to me.
[39:46.700 --> 39:48.100]  What is Mexican Coke?
[39:48.220 --> 39:49.560]  It's just like sugar Coke.
[39:49.740 --> 39:51.080]  Yeah, they made it with sugar.
[39:51.500 --> 39:52.760]  With cane sugar, I think.
[39:54.480 --> 39:56.040]  What is this thing
[39:56.040 --> 39:57.860]  I picked? Yeah, pick a thing
[39:57.860 --> 39:59.380]  and then follow it with what is it?
[40:00.600 --> 40:02.040]  I'm adapting to the
[40:02.040 --> 40:03.980]  table. You're doing great.
[40:04.440 --> 40:05.260]  You're doing great.
[40:05.400 --> 40:06.980]  That was definitely on my list.
[40:08.300 --> 40:10.300]  And you consider Mexican Coke
[40:10.300 --> 40:11.540]  to be different than Coke?
[40:11.620 --> 40:13.100]  This is why I didn't pick it, Gavin.
[40:14.240 --> 40:15.560]  Oh, you didn't pick it?
[40:15.900 --> 40:17.540]  Well, I didn't pick it because
[40:17.540 --> 40:19.860]  it was on my list, but I didn't pick it because
[40:19.860 --> 40:21.840]  I didn't want to have this conversation about how it was
[40:21.840 --> 40:23.340]  different from Coca-Cola and your pick.
[40:23.920 --> 40:24.680]  No, it is different.
[40:25.060 --> 40:27.640]  It's different brands, like a
[40:27.640 --> 40:29.740]  Doritos Coke. I mean, if you
[40:29.740 --> 40:31.820]  want to go with Cola, you could have went with a Pepsi.
[40:31.820 --> 40:33.680]  There's all sorts of Colas you could pick.
[40:33.820 --> 40:36.280]  Yeah, it's night and day. It's Americano
[40:36.280 --> 40:37.200]  and Latte.
[40:39.920 --> 40:41.980]  I was on your side with the coffee thing.
[40:42.940 --> 40:43.860]  You would have put it to a vote.
[40:44.340 --> 40:46.000]  Here's the thing. The one thing
[40:46.000 --> 40:47.700]  I'll say in Americano's defense,
[40:47.780 --> 40:49.200]  it doesn't have the word coffee in it.
[40:49.320 --> 40:51.300]  Mexican Coke still has the word Coke in it.
[40:57.020 --> 40:58.100]  My favorite Coke
[40:58.100 --> 40:59.800]  is Jeff's Kitchen Coke.
[40:59.800 --> 41:01.500]  It's pretty localized.
[41:02.020 --> 41:03.720]  Crisp Diet Coke.
[41:05.180 --> 41:07.360]  I like Crispy Diet Coke.
[41:09.200 --> 41:11.660]  Wow, what a list. What a solid list from everyone.
[41:12.140 --> 41:14.280]  Well, let's run
[41:14.280 --> 41:15.840]  them down and we can talk about it.
[41:15.880 --> 41:17.540]  Gavin picked Coffee Bar for a
[41:17.540 --> 41:19.560]  little Mexican Coke.
[41:20.200 --> 41:21.700]  That's gotta be the least
[41:21.700 --> 41:23.940]  complimentary set of drinks I've ever heard.
[41:24.280 --> 41:25.880]  Is Lilt the only
[41:25.880 --> 41:27.940]  one on the list that's no longer commercially
[41:27.940 --> 41:29.780]  available? It is, right?
[41:29.880 --> 41:31.720]  Probably. I think so, yeah.
[41:32.120 --> 41:34.020]  Andrew picked Coca-Cola, Dr. Pepper,
[41:34.260 --> 41:35.860]  Mountain Dew, Code Red, and Barks
[41:35.860 --> 41:37.500]  Root Beer. Nick picked
[41:38.320 --> 41:39.860]  Americano, London Fog
[41:39.860 --> 41:41.460]  with Espresso, Lemonade,
[41:41.620 --> 41:42.560]  Arnold Palmer.
[41:44.100 --> 41:46.160]  That's maybe the funniest list.
[41:46.600 --> 41:48.140]  That's maybe the funniest list
[41:48.140 --> 41:48.840]  on this whole thing.
[41:49.640 --> 41:51.440]  Eric picked Diet Coke,
[41:51.740 --> 41:53.320]  Pumpkin Spice Latte, Horchata,
[41:53.840 --> 41:55.700]  Eggnog, aka Milk Punch.
[41:55.700 --> 41:57.160]  And Jeff
[41:57.700 --> 41:59.800]  Jeff picked Diet Starry,
[42:00.240 --> 42:01.840]  Vimto, Root 44,
[42:02.120 --> 42:03.540]  Diet Cherry, Limeade from
[42:03.540 --> 42:05.340]  Sonic, and Sweet Tea.
[42:05.940 --> 42:07.760]  I'm amazed at everybody's picks.
[42:07.880 --> 42:09.420]  Like, the fact that Nick just
[42:09.420 --> 42:11.320]  cannibalized from Nick over and over
[42:11.320 --> 42:12.100]  is kind of funny.
[42:13.300 --> 42:15.640]  And then I did not expect Andrew
[42:15.640 --> 42:17.520]  to go out of the game. Four
[42:17.520 --> 42:19.100]  sodas for Andrew. Yep.
[42:19.460 --> 42:20.780]  I didn't expect you to go Vimto.
[42:21.540 --> 42:22.760]  Wow, I had to keep guessing.
[42:22.760 --> 42:24.880]  Whoa, Nick Vimto out of nowhere.
[42:25.160 --> 42:26.640]  Nick's picks is like a family
[42:26.640 --> 42:28.860]  tree of drinks. It really
[42:28.860 --> 42:30.520]  it's crazy.
[42:30.680 --> 42:31.240]  But they're all different.
[42:32.400 --> 42:33.160]  So it's okay.
[42:35.060 --> 42:37.120]  Yeah, it would...
[42:37.120 --> 42:38.800]  Right, an Americano
[42:38.800 --> 42:40.780]  is different from a London Fog with
[42:40.780 --> 42:42.820]  Espresso because there's tea in one
[42:42.820 --> 42:44.800]  of them and the other one doesn't have tea in it.
[42:44.900 --> 42:46.480]  But it's exactly the same. You got it.
[42:46.780 --> 42:48.720]  They're different. And an Arnold Palmer
[42:48.720 --> 42:50.460]  is totally different than Lemonade.
[42:50.460 --> 42:51.100]  Yeah, tap.
[42:54.600 --> 42:56.560]  My last pick should have been sweet tea
[42:56.560 --> 42:57.120]  and Vimto.
[43:02.840 --> 43:04.580]  Oh yeah, my last pick
[43:04.580 --> 43:06.360]  is a Gavin Free. It's a
[43:06.360 --> 43:07.760]  sweet tea with Vimto.
[43:08.220 --> 43:08.420]  Yeah.
[43:10.580 --> 43:11.620]  One of
[43:12.340 --> 43:14.600]  the many joys of doing these
[43:14.600 --> 43:16.640]  is not at all expecting
[43:16.640 --> 43:18.540]  it to go the way that I think
[43:19.460 --> 43:20.520]  it would. In my head
[43:20.520 --> 43:22.540]  it's a debate of like, what brand?
[43:22.700 --> 43:24.580]  What version of Barks or Root Beer
[43:24.580 --> 43:26.820]  do you like the best? What version of this?
[43:27.300 --> 43:28.460]  I never could have
[43:28.460 --> 43:30.520]  predicted that Nick would essentially pick the
[43:30.520 --> 43:31.640]  same drink four times.
[43:32.360 --> 43:34.240]  I guess twice, twice.
[43:34.500 --> 43:36.720]  I'm actually right there with you, Andrew.
[43:36.880 --> 43:38.380]  I'm a little flummoxed
[43:38.380 --> 43:39.080]  by the expectations.
[43:39.560 --> 43:42.480]  I think Nick's
[43:42.480 --> 43:43.600]  on track to win this draft.
[43:44.100 --> 43:45.920]  There's no way Nick wins.
[43:45.920 --> 43:47.980]  If Nick wins, it's on comedy
[43:47.980 --> 43:50.380]  value, which I mean, I guess...
[43:50.380 --> 43:52.220]  No, if you're a coffee fan,
[43:52.340 --> 43:53.920]  if you're a coffee fan, you're voting with
[43:53.920 --> 43:56.020]  Nick. Even though I picked coffee.
[43:58.180 --> 43:59.840]  Well, yeah, because if I pick you,
[43:59.920 --> 44:02.040]  you also pick Bovril and Lilt.
[44:02.420 --> 44:03.900]  Yeah. Alright, I may have been going
[44:03.900 --> 44:04.740]  for comedy a little bit.
[44:06.620 --> 44:07.860]  Oh, I was
[44:07.860 --> 44:08.560]  going for Spike.
[44:09.740 --> 44:11.680]  Jesus Christ. Well, guys, go
[44:11.680 --> 44:13.700]  vote on our Patreon. Whoever
[44:13.700 --> 44:15.780]  wins gets their first
[44:15.780 --> 44:17.920]  choice. I don't want a diet
[44:17.920 --> 44:19.760]  Coke. Yeah, Eric is
[44:19.760 --> 44:21.700]  going to either get a drink he doesn't want.
[44:22.760 --> 44:23.840]  Gavin is going to get
[44:23.840 --> 44:25.480]  just black coffee, I guess.
[44:25.820 --> 44:27.420]  What would be...
[44:27.420 --> 44:29.700]  Yeah, and then Nick
[44:29.700 --> 44:31.580]  is going to get his first and second
[44:31.580 --> 44:32.120]  pick.
[44:37.900 --> 44:39.760]  Jeff and I will be happy. We win.
[44:41.140 --> 44:42.080]  Yeah, I'll take it.
[44:42.280 --> 44:43.720]  I have a varied list.
[44:43.720 --> 44:45.140]  None of my stuff is...
[44:45.140 --> 44:46.700]  All my shit is unique and original.
[44:47.020 --> 44:48.940]  Not stolen from anybody else.
[44:51.240 --> 44:52.580]  What a draft.
[44:54.320 --> 44:55.280]  It's the most
[44:55.280 --> 44:57.300]  I don't know how the poll is going to go. I have
[44:57.300 --> 44:59.400]  no clue. That was one of our
[44:59.400 --> 45:00.740]  best. Definitely.
[45:01.800 --> 45:03.540]  Guys, go follow us on Patreon.
[45:03.820 --> 45:05.480]  Follow us on social.
[45:05.620 --> 45:07.440]  Go listen to the podcast. Check out Regulation
[45:07.440 --> 45:09.560]  Gameplay, where we put all of our gameplays
[45:09.560 --> 45:11.340]  up. This one was a crazy one.
[45:11.340 --> 45:12.900]  This one was punchy.
[45:13.060 --> 45:14.540]  Thank you so much.
[45:14.940 --> 45:17.040]  Anything else before we take off?
[45:18.280 --> 45:19.480]  Just Pepsi,
[45:21.100 --> 45:21.700]  Sprite,
[45:22.220 --> 45:23.500]  Mountain Dew Baja Blast,
[45:23.680 --> 45:25.060]  Canada Dry 7 Up,
[45:25.220 --> 45:27.640]  Mugroot Beer, Grape Crush, Orange Crush,
[45:27.940 --> 45:29.320]  Mountain Dew Melon, Cherry Barks,
[45:29.420 --> 45:31.080]  Cherry Coke, Orange Fresca,
[45:31.560 --> 45:33.020]  Doritos Pineapple, Doritos Cola,
[45:33.160 --> 45:34.800]  L&P, Hot Chocolate.
[45:35.980 --> 45:36.560]  This is real.
[45:37.080 --> 45:38.420]  Hot Chocolate.
[45:38.420 --> 45:40.460]  I was trying to get Lucozade and Iron Brew
[45:40.460 --> 45:41.820]  on that, but they never came up.
[45:42.560 --> 45:43.860]  Shout out to Orange Juice.
[45:44.220 --> 45:46.700]  I'm sorry I didn't pick you, but I still love you.
[45:49.860 --> 45:51.940]  Alright, thank you for watching. Bye.
[45:52.460 --> 45:54.680]  Bye now. I'd draft Orange Juice
[45:54.680 --> 45:56.460]  with less pulp would be my pick
[45:56.460 --> 45:58.340]  if Geoff won Orange Juice. They're different.
[45:58.920 --> 45:59.740]  Dude, I'll take your point.
[46:00.260 --> 46:02.340]  They're different. Like my pick.
[46:02.360 --> 46:02.580]  Bye.
