[00:00.000 --> 00:01.720]  Hey, it's Paris.
[33:03.820 --> 33:05.200]  inverted by default?
[33:05.540 --> 33:07.220]  Yeah, and I think that people should
[33:07.220 --> 33:09.320]  give it a shot because it's better.
[33:09.840 --> 33:11.060]  It's more comfortable. Why would everyone
[33:11.820 --> 33:13.440]  invert it? The word inverted
[33:13.440 --> 33:15.260]  basically just means like backwards
[33:15.260 --> 33:17.820]  or flipped. It's like it's not the default.
[33:18.020 --> 33:19.460]  It says there's no
[33:19.460 --> 33:21.360]  verted. There's normal
[33:21.360 --> 33:22.480]  and inverted.
[33:24.980 --> 33:27.200]  Hey, you guys playing this inverted
[33:27.200 --> 33:29.160]  or verted? Oh, these controls are verted.
[33:29.260 --> 33:31.280]  As someone who plays everything verted and then
[33:31.280 --> 33:33.020]  I swap controls with someone who doesn't,
[33:33.120 --> 33:35.060]  I'm just like, all it does for you, Nick,
[33:35.140 --> 33:36.700]  surely, is cause arguments
[33:36.700 --> 33:37.980]  from verted people.
[33:40.000 --> 33:40.840]  Well, yes,
[33:41.300 --> 33:42.680]  it does, and that's why
[33:42.680 --> 33:44.740]  I decided to be brave and
[33:45.240 --> 33:47.080]  tell my story about how Hillary
[33:47.080 --> 33:47.660]  made my life.
[33:47.660 --> 33:49.700]  All these verts
[33:49.700 --> 33:50.500]  coming for you.
[33:51.500 --> 33:53.180]  Are you going to pass down
[33:53.180 --> 33:55.220]  this hindrance to your child?
[33:55.800 --> 33:57.320]  That's exactly what I wanted to know.
[33:57.780 --> 33:59.160]  Interesting question.
[33:59.940 --> 34:01.580]  Is he going to get a choice
[34:01.580 --> 34:03.440]  in this or are you just going to start feeding them
[34:03.440 --> 34:05.360]  inverted controls without him knowing?
[34:06.020 --> 34:07.540]  You know, I wouldn't have
[34:07.540 --> 34:09.480]  to switch the control scheme when we handed the
[34:09.480 --> 34:11.740]  controller off. Yeah, he's going to learn
[34:11.740 --> 34:12.120]  inverted.
[34:13.360 --> 34:14.640]  He's flying right.
[34:14.640 --> 34:16.540]  Yeah, wait, that sounded wrong.
[34:16.560 --> 34:17.320]  He's flying true.
[34:19.620 --> 34:22.600]  No, y-axis.
[34:24.700 --> 34:26.600]  This take is, I can't wait for the
[34:26.600 --> 34:27.940]  verts to come after you. I thought
[34:28.440 --> 34:30.540]  Gavin's take was going to get slammed. I definitely think
[34:30.540 --> 34:31.460]  Nick's take is going to get slammed.
[34:32.940 --> 34:34.560]  Gavin emboldened me to be wrong.
[34:35.220 --> 34:36.720]  Yeah, I know. I played GTA
[34:36.720 --> 34:38.760]  with both of you. I've seen how it works.
[34:39.860 --> 34:40.320]  We should
[34:40.320 --> 34:42.660]  film a let's play at some point where
[34:42.660 --> 34:44.840]  Nick has to play verted and the rest of us
[34:44.840 --> 34:46.680]  all have to do inverted. That is such
[34:46.680 --> 34:48.740]  a good idea. I mean, I don't
[34:48.740 --> 34:50.780]  want to do it, but that would be terrible.
[34:51.060 --> 34:52.680]  I think it would
[34:52.680 --> 34:54.720]  be easier for the verteds
[34:54.720 --> 34:56.600]  to use inverted because
[34:56.600 --> 34:58.400]  we fly planes inverted in games.
[34:58.600 --> 35:00.420]  Oh, that's an interesting idea. But you don't fly shit.
[35:00.420 --> 35:02.500]  It's a very interesting take, yeah. Backwards.
[35:03.120 --> 35:04.000]  Or normally.
[35:04.760 --> 35:06.220]  Very curious. Well,
[35:06.740 --> 35:07.940]  Nick, great take.
[35:08.460 --> 35:10.940]  I think we could do one more take each.
[35:10.940 --> 35:12.820]  Do you think one more take each or do you think we
[35:12.820 --> 35:14.980]  wrap up? No, no, we gotta do one more
[35:14.980 --> 35:16.940]  take each. I'm so curious to see what else Gavin has
[35:16.940 --> 35:18.920]  to say. That's fair. Do you
[35:18.920 --> 35:21.100]  have another take, Gavin, or do you only have one take?
[35:21.460 --> 35:22.860]  Oh, I wrote like 10. I thought this was
[35:22.860 --> 35:24.000]  going to be phenomenal.
[35:24.760 --> 35:26.820]  Let's go back around the horn. Let's start with
[35:26.820 --> 35:28.960]  Andrew, and then let's go back around
[35:28.960 --> 35:30.420]  the horn. My sick take?
[35:31.020 --> 35:32.980]  We get one real animal movie
[35:32.980 --> 35:34.660]  a year. I know
[35:34.660 --> 35:36.700]  making movies with real animals
[35:36.700 --> 35:38.900]  isn't ethical, so
[35:38.900 --> 35:40.800]  we use CG animals now
[35:40.800 --> 35:42.780]  almost all the time, but it just
[35:42.780 --> 35:44.780]  doesn't hit the same. It's not as
[35:44.780 --> 35:46.540]  fun. It's not as entertaining.
[35:46.960 --> 35:49.040]  I think we should be allowed morally
[35:49.040 --> 35:50.860]  to have one film a
[35:50.860 --> 35:52.840]  year that is real animals
[35:52.840 --> 35:54.860]  in all of the roles, and it's like the big
[35:54.860 --> 35:56.940]  real animal movie of the summer or
[35:56.940 --> 35:58.580]  year. That is my take.
[35:59.060 --> 36:00.780]  I really have almost truly
[36:00.780 --> 36:01.880]  no opinion on this.
[36:02.880 --> 36:04.860]  Who's the board that decides, oh,
[36:04.900 --> 36:06.580]  this is the movie that gets the real animal?
[36:06.580 --> 36:08.020]  Oh, that's
[36:08.520 --> 36:10.800]  I, you know, I think maybe it rotates
[36:10.800 --> 36:12.580]  by major studio each year.
[36:12.680 --> 36:14.140]  A major studio has the
[36:14.140 --> 36:16.540]  I don't know if you want to say right
[36:16.540 --> 36:18.640]  or like they've been penalized with
[36:18.640 --> 36:20.520]  making a fully real
[36:20.520 --> 36:22.500]  animal movie, and it just rotates,
[36:22.840 --> 36:24.080]  but there's only one,
[36:24.620 --> 36:26.240]  and there's a lot of expectation
[36:26.240 --> 36:28.660]  on that movie delivering because of that
[36:28.660 --> 36:30.420]  because I'm sick of the CG.
[36:30.520 --> 36:32.280]  I saw a trailer for
[36:32.280 --> 36:34.700]  cats versus dogs three recently,
[36:34.700 --> 36:36.880]  which I didn't know is a thing they made a third
[36:36.880 --> 36:38.940]  of, and they're all CG, and it looks like
[36:38.940 --> 36:41.040]  shit. That's just now they look like shit.
[36:41.380 --> 36:42.600]  What do you mean? Surely eventually
[36:43.200 --> 36:44.680]  20 years from now, you won't be able to tell.
[36:44.940 --> 36:47.040]  I don't think that's true. I think he'll always be able to tell.
[36:47.500 --> 36:48.800]  He doesn't want to wait the 20 years, though.
[36:48.840 --> 36:50.860]  I don't want to wait. He wants a real cat and a real
[36:50.860 --> 36:52.920]  dog doing something. And I also, yeah,
[36:52.940 --> 36:54.880]  I want to know that it's a real dog playing
[36:54.880 --> 36:56.860]  football. I want a real dog running out there
[36:56.860 --> 36:57.540]  getting that ball.
[36:58.820 --> 37:00.840]  Dude, if the end of Homeward
[37:00.840 --> 37:02.500]  Bound was
[37:03.720 --> 37:04.560]  CG dogs
[37:04.560 --> 37:06.300]  and a cat walking back home,
[37:06.340 --> 37:08.460]  it would not be as impactful, so
[37:08.460 --> 37:09.640]  maybe I agree with this.
[37:10.960 --> 37:12.500]  I haven't thought about that. I think it just doesn't
[37:12.500 --> 37:14.420]  hit the same. Do you want the animal to be doing
[37:14.420 --> 37:16.520]  its own stunts as well, or are you okay with a CG
[37:16.520 --> 37:18.520]  double? No! I want it doing
[37:18.520 --> 37:20.440]  the stunts. Well, this might be where
[37:20.440 --> 37:22.380]  we diverge. This is where it becomes
[37:22.380 --> 37:24.280]  unethical. Like, say a dog
[37:24.280 --> 37:26.340]  has to escape a burning building
[37:26.340 --> 37:27.800]  with a zip line.
[37:29.180 --> 37:30.340]  How are you doing that?
[37:30.340 --> 37:32.720]  I don't know. I'm not a fucking stunt coordinator.
[37:32.940 --> 37:34.360]  How does Tom Cruise
[37:34.900 --> 37:36.220]  stand on an airplane wing?
[37:36.800 --> 37:38.520]  There are people that are professionals
[37:38.520 --> 37:40.280]  that figure out how to film that.
[37:40.560 --> 37:42.080]  Fucking now what, Gavin?
[37:43.340 --> 37:44.400]  You're asking me
[37:44.400 --> 37:46.540]  how do I set up a safe stunt? I don't do
[37:46.540 --> 37:48.500]  that, but there's an industry of people
[37:48.500 --> 37:50.480]  that that's their job. I will trust
[37:50.480 --> 37:52.420]  them. Gavin, take that
[37:52.420 --> 37:53.240]  and shove it up your anus.
[37:53.460 --> 37:56.340]  He doesn't give a fuck about
[37:56.340 --> 37:58.460]  how it's done. He just wants to watch
[37:58.460 --> 37:59.100]  the end result.
[38:00.120 --> 38:02.540]  Here's the thing. I want it to be done safely.
[38:02.860 --> 38:04.500]  How is it done safely? I don't
[38:04.500 --> 38:06.400]  fucking know. That's not my job. I don't
[38:06.400 --> 38:07.520]  live in that world.
[38:08.060 --> 38:10.020]  But there are professionals that do.
[38:11.580 --> 38:12.580]  And I trust
[38:12.580 --> 38:13.860]  that they will figure it out.
[38:16.700 --> 38:17.920]  Oh my God.
[38:17.960 --> 38:20.440]  I just want a real animal movie
[38:20.440 --> 38:22.280]  because they all suck now.
[38:23.660 --> 38:24.340]  They're not
[38:24.340 --> 38:25.640]  doing goofy stuff.
[38:25.640 --> 38:27.260]  You're not going to see Bingo
[38:27.260 --> 38:29.420]  on trial on planet Earth.
[38:29.580 --> 38:31.620]  Bingo on trial? Remember the Bingo
[38:31.620 --> 38:33.580]  movie? Something we should watch.
[38:34.340 --> 38:35.660]  He's on the stand.
[38:36.060 --> 38:37.400]  Now are you okay with the fact that
[38:37.400 --> 38:39.720]  the animal is probably going to get
[38:39.720 --> 38:41.420]  uncomfortable and hurt
[38:41.420 --> 38:43.620]  while it's filming? That's the thing. That's why
[38:43.620 --> 38:45.380]  it's morally unethical and why
[38:45.380 --> 38:47.580]  we stopped doing this as a
[38:47.580 --> 38:49.660]  culture. But
[38:49.660 --> 38:51.520]  I think we can be allowed
[38:51.520 --> 38:53.620]  one per year. Did we
[38:53.620 --> 38:55.940]  stop doing it? There's still animals in films.
[38:56.400 --> 38:57.240]  Not really.
[38:57.300 --> 38:58.760]  Not in the way it used to be.
[38:58.980 --> 39:01.380]  He wants full animal film.
[39:01.780 --> 39:03.780]  He doesn't want, like, here's a section
[39:03.780 --> 39:05.140]  about animal. He wants
[39:05.140 --> 39:07.540]  full on. Not like, these people are riding
[39:07.540 --> 39:08.540]  a horse sort of thing.
[39:09.400 --> 39:11.840]  Right. If the movie was about the horse
[39:11.840 --> 39:13.820]  all the way, then absolutely.
[39:14.740 --> 39:15.600]  I want MVP
[39:15.600 --> 39:16.800]  4 with a real monkey.
[39:17.260 --> 39:19.580]  That's all I want. I don't feel like
[39:19.580 --> 39:20.340]  it's a huge ask.
[39:20.340 --> 39:22.380]  But I understand it's unethical.
[39:22.680 --> 39:24.040]  When I emailed that zoo
[39:24.040 --> 39:25.900]  where Louis from MVP
[39:25.900 --> 39:28.140]  is currently residing, they were
[39:28.140 --> 39:30.220]  very clear that they do not support the
[39:30.220 --> 39:32.280]  MVP movies or animals in film in general.
[39:32.460 --> 39:34.660]  I get it. I support it.
[39:35.120 --> 39:36.540]  But we could do one.
[39:36.740 --> 39:38.440]  We could do one per year and make sure
[39:38.440 --> 39:40.560]  it's really safe and everything's all good.
[39:41.160 --> 39:42.660]  We could do one.
[39:43.060 --> 39:43.800]  And that's my take.
[39:44.580 --> 39:46.520]  One real animal movie per year
[39:46.520 --> 39:47.160]  should be allowed.
[39:49.100 --> 39:49.580]  That's...
[39:49.580 --> 39:50.900]  Well, there you go.
[39:52.140 --> 39:53.080]  This episode
[39:53.080 --> 39:54.780]  is brought to you by State Farm.
[39:55.100 --> 39:57.100]  Checking off the boxes on your to-do list
[39:57.100 --> 39:58.440]  is a great feeling.
[39:58.860 --> 40:00.640]  And when it comes to checking off coverage,
[40:00.900 --> 40:03.040]  a State Farm agent can help you choose an option
[40:03.040 --> 40:05.000]  that's right for you. Whether you prefer
[40:05.000 --> 40:07.000]  talking in person, on the phone, or
[40:07.000 --> 40:08.540]  using the award-winning app,
[40:08.760 --> 40:10.940]  it's nice knowing you have help finding coverage
[40:10.940 --> 40:12.260]  that best fits your needs.
[40:12.620 --> 40:14.520]  Like a good neighbor, State Farm is there.
[40:17.220 --> 40:19.640]  Hey, this is Bill Simmons from the Bill Simmons Podcast
[40:19.640 --> 40:21.180]  here to help you make the most of
[40:21.180 --> 40:22.960]  your summer with Michelob Ultra,
[40:23.580 --> 40:25.260]  a superior light beer worth
[40:25.260 --> 40:27.280]  playing for. Play for it
[40:27.280 --> 40:29.160]  with the guys when you're competing to see who
[40:29.160 --> 40:31.260]  can sink more birdies on the golf course because
[40:31.260 --> 40:33.240]  winning tastes even better
[40:33.240 --> 40:35.220]  with Ultra on the line. Play for Ultra.
[40:35.900 --> 40:37.360]  Fill your fridge with Michelob Ultra
[40:37.360 --> 40:39.620]  this summer. Enjoy responsibly.
[40:40.280 --> 40:41.320]  Copyright 2025
[40:41.320 --> 40:43.340]  Anheuser-Busch Michelob Ultra Light Beer
[40:43.340 --> 40:44.700]  St. Louis, Missouri.
[40:44.700 --> 40:46.860]  That's it. Eric, what's your take?
[40:47.280 --> 40:47.560]  Wow.
[40:48.380 --> 40:50.700]  My take is one that
[40:50.700 --> 40:52.880]  in my lifetime, I think
[40:52.880 --> 40:54.600]  it was something that
[40:54.600 --> 40:56.860]  we wanted and then got
[40:56.860 --> 40:58.740]  but too much of a good thing has
[40:58.740 --> 41:00.580]  become sort of what
[41:00.580 --> 41:01.860]  this thing is.
[41:02.440 --> 41:04.680]  I think my hot take
[41:04.680 --> 41:06.560]  is not everything needs
[41:06.560 --> 41:07.220]  lore.
[41:08.420 --> 41:10.580]  At one point in movies,
[41:10.740 --> 41:12.760]  a movie would just be a movie and we
[41:12.760 --> 41:14.880]  didn't have to know everything about every character.
[41:15.120 --> 41:16.780]  We didn't have to have backstories about every
[41:16.780 --> 41:18.640]  single thing. Not everything was a big franchise.
[41:19.360 --> 41:20.760]  Sometimes a movie was just
[41:20.760 --> 41:22.880]  a movie. Sometimes a TV show is just a TV
[41:22.880 --> 41:24.120]  show. And sometimes
[41:25.100 --> 41:26.300]  we didn't need
[41:26.300 --> 41:28.560]  the alternate reality game that nobody
[41:28.560 --> 41:30.320]  really cared about to put
[41:30.320 --> 41:32.760]  all these pieces together to solve
[41:32.760 --> 41:34.700]  a mystery that nobody wants for a show that's
[41:34.700 --> 41:36.720]  canceled in season two. But how
[41:36.720 --> 41:38.520]  would characters, how would a movie
[41:38.520 --> 41:40.680]  exist without lore? No, no, no.
[41:40.680 --> 41:42.700]  I'm not talking about the
[41:42.700 --> 41:44.600]  what you're seeing on
[41:44.600 --> 41:46.640]  screen. I'm talking about what happens
[41:46.640 --> 41:48.620]  when everyone extrapolates every little
[41:48.620 --> 41:50.800]  detail in becoming the
[41:50.800 --> 41:52.640]  most lore-focused thing where
[41:52.640 --> 41:54.980]  I guess my example is like
[41:54.980 --> 41:56.560]  how come the timeline
[41:56.560 --> 41:58.680]  for Donkey Kong doesn't make
[41:58.680 --> 42:00.740]  sense? We don't need
[42:00.740 --> 42:02.480]  a timeline for Donkey Kong.
[42:02.900 --> 42:04.320]  He's Donkey Kong.
[42:04.680 --> 42:06.720]  He is the monkey and he
[42:06.720 --> 42:08.780]  wants the banana. So it's more
[42:08.780 --> 42:10.620]  of like a consumer thing then.
[42:10.660 --> 42:11.840]  It's like the fans. Yes.
[42:12.460 --> 42:14.160]  Because I don't think Nintendo
[42:14.660 --> 42:16.320]  are that strict with their lore.
[42:16.460 --> 42:17.060]  Look at Zelda.
[42:18.560 --> 42:20.460]  And everyone is pissed. Not
[42:20.460 --> 42:22.500]  everyone, but weird nerds
[42:22.500 --> 42:24.600]  are pissed about where does this fit
[42:24.600 --> 42:26.120]  in the timeline? Who
[42:26.740 --> 42:28.700]  gives a shit? It does not matter.
[42:28.920 --> 42:30.440]  Basically, if someone's there asking
[42:30.440 --> 42:32.200]  what order are the Zelda games in?
[42:32.400 --> 42:34.620]  Is this the same link from this game as it is in that game?
[42:34.620 --> 42:36.840]  Your answer is shut up. Shut up.
[42:36.840 --> 42:38.860]  Shut up. It does not
[42:38.860 --> 42:41.020]  matter. Play the game. I hope you enjoy
[42:41.020 --> 42:42.980]  the game. If there's stuff there
[42:42.980 --> 42:44.740]  and people want to, if the
[42:44.740 --> 42:46.960]  creator is like, hey, I developed it with this
[42:46.960 --> 42:48.340]  stuff in mind or whatever,
[42:48.760 --> 42:49.980]  great. Whatever.
[42:50.500 --> 42:52.740]  When people start going like, well, here's how
[42:52.740 --> 42:54.800]  it fits in with the Star Wars.
[42:54.940 --> 42:56.780]  Star Wars is, I guess, the big
[42:56.780 --> 42:58.160]  example. Because when I was a kid,
[42:58.720 --> 43:00.460]  it was all of the books
[43:00.460 --> 43:02.340]  and everything of the
[43:02.340 --> 43:04.300]  Star Wars extended universe.
[43:04.300 --> 43:06.200]  You read these books and all this stuff.
[43:06.380 --> 43:07.760]  And then they just went, none of that's real.
[43:08.160 --> 43:09.380]  None of that's canon, actually.
[43:10.220 --> 43:12.260]  But I read all these books and I really
[43:12.260 --> 43:14.120]  enjoyed them. And they go, yeah, none of that
[43:14.120 --> 43:16.140]  fucking means anything here, so fuck you.
[43:16.300 --> 43:17.400]  And it was like, oh, okay, sick.
[43:17.980 --> 43:20.220]  I guess it doesn't matter. And that's really
[43:20.220 --> 43:21.940]  what was my turning point on
[43:21.940 --> 43:24.240]  not everything that you like has
[43:24.240 --> 43:26.340]  to become the biggest volume
[43:27.080 --> 43:28.220]  encyclopedia. It can just
[43:28.220 --> 43:30.140]  be a thing you enjoy for a little while and then you
[43:30.140 --> 43:31.800]  can put it away and move on.
[43:31.800 --> 43:33.620]  And you don't have to know what the timeline
[43:33.620 --> 43:35.920]  for Donkey Kong is. It can just be
[43:36.460 --> 43:37.940]  Donkey Kong. And that's
[43:37.940 --> 43:38.660]  fine.
[43:40.700 --> 43:41.960]  People trying to figure out
[43:41.960 --> 43:43.860]  the Mario Brothers timeline is
[43:43.860 --> 43:45.380]  the craziest thing in the world to me.
[43:45.640 --> 43:47.740]  Mario Brothers? You go right. You just
[43:47.740 --> 43:49.760]  go right. And now you can go forward and backward.
[43:50.340 --> 43:51.860]  You pull back on the stick, maybe
[43:51.860 --> 43:53.820]  you go forward. I don't know. Nix controls are working.
[43:54.720 --> 43:55.800]  But I just
[43:55.800 --> 43:57.560]  think the lore focus
[43:57.560 --> 43:59.680]  of stuff is really, really frustrating to me.
[43:59.680 --> 44:01.200]  And I'm sick of it. I'm done with it.
[44:01.300 --> 44:03.480]  Now, to be clear, you're not opposed to all lore. You just
[44:03.480 --> 44:04.940]  don't think everything needs it.
[44:05.280 --> 44:07.660]  Yes, and I don't think that fans need to
[44:07.660 --> 44:09.500]  deep dive on every detail of
[44:09.500 --> 44:11.500]  everything like Donkey Kong
[44:11.500 --> 44:13.340]  timelines. That is.
[44:13.600 --> 44:15.100]  I love lore. I think sometimes
[44:15.620 --> 44:16.900]  stupidity of lore is
[44:17.440 --> 44:19.560]  sometimes my favorite thing about the thing.
[44:19.900 --> 44:20.940]  Like, I love,
[44:21.340 --> 44:23.620]  I truly love in Fast and Furious
[44:23.620 --> 44:25.360]  how fucked up that lore is
[44:25.360 --> 44:27.720]  because they tried to make something make sense
[44:27.720 --> 44:29.680]  and then they decided it didn't matter
[44:29.680 --> 44:31.660]  anyway after doing all of the work
[44:31.660 --> 44:33.560]  to explain it where they had a very
[44:33.560 --> 44:35.560]  popular character die
[44:35.560 --> 44:37.720]  in Tokyo Drift, which was the third
[44:37.720 --> 44:39.600]  film. And then in like movie
[44:39.600 --> 44:41.640]  five, they're like, fuck, we want to bring him back.
[44:41.640 --> 44:43.560]  But he's dead. How do we do that? Okay,
[44:43.720 --> 44:46.000]  we'll set five, six
[44:46.000 --> 44:47.700]  and seven before
[44:48.160 --> 44:49.840]  three. We'll do that
[44:49.840 --> 44:51.660]  like, well, this timeline is all
[44:51.660 --> 44:53.620]  fucked now because we want to explain how
[44:53.620 --> 44:55.320]  Han can be around
[44:55.320 --> 44:57.360]  and then they do all that. And
[44:57.360 --> 44:59.380]  then we get to the point of his death. And
[44:59.380 --> 45:01.100]  then they just bring him back anyway.
[45:01.200 --> 45:03.360]  And the most recent installment, and
[45:03.360 --> 45:05.320]  it was like, well, why did you need to
[45:05.320 --> 45:07.340]  do any of that work? Like none of it actually
[45:07.340 --> 45:09.340]  mattered. He was just coming back regardless
[45:09.340 --> 45:11.420]  of what you did. Yeah, none of
[45:11.420 --> 45:13.320]  it matters. But I love that
[45:13.320 --> 45:15.400]  they tried so hard to explain
[45:15.400 --> 45:17.200]  it in a way, maybe the
[45:17.200 --> 45:19.340]  only attempt to like logically explain
[45:19.340 --> 45:21.120]  anything in any of those movies.
[45:21.340 --> 45:23.120]  And it's just crazy that they did it.
[45:23.120 --> 45:25.360]  So I love personally lore.
[45:27.420 --> 45:29.180]  The fan feedback
[45:29.180 --> 45:31.000]  around it can definitely be annoying at times.
[45:31.120 --> 45:32.740]  I think I like it because
[45:33.460 --> 45:35.320]  I grew up in a time
[45:35.320 --> 45:37.300]  where video games didn't look
[45:37.300 --> 45:38.460]  anything like the cover.
[45:39.160 --> 45:41.240]  And you have like pixels for
[45:41.240 --> 45:42.880]  like an enemy. And I would always be like,
[45:43.300 --> 45:45.180]  oh, I'm going to read the booklet and see what this enemy
[45:45.180 --> 45:47.000]  actually looks like. And I want to learn
[45:47.000 --> 45:49.120]  about it and why it's doing what it's doing.
[45:50.340 --> 45:51.360]  So that's interesting.
[45:51.360 --> 45:53.580]  And when
[45:53.580 --> 45:55.540]  I was younger, I felt the same way
[45:55.540 --> 45:57.420]  because we didn't have it. It was
[45:57.420 --> 45:59.020]  a thing that I was desperate for.
[45:59.340 --> 46:00.880]  I wanted more lore and what if
[46:00.880 --> 46:03.240]  all these things connected? And now
[46:03.880 --> 46:05.460]  everything's a franchise. Everything
[46:05.460 --> 46:07.460]  connects. Nothing can be just on
[46:07.460 --> 46:09.520]  its own. Everything has to be, well,
[46:09.780 --> 46:11.600]  how does this make sense with the lore?
[46:11.780 --> 46:13.000]  And it's like, this sucks.
[46:13.440 --> 46:15.460]  I don't want it to go back to the
[46:15.460 --> 46:17.440]  amount that it was before where it was zero.
[46:17.660 --> 46:19.520]  But it cannot continue to be
[46:19.520 --> 46:21.340]  the amount that it is, which is
[46:21.860 --> 46:23.600]  100. It's too much.
[46:23.720 --> 46:25.640]  It's too much lore for every single thing.
[46:26.220 --> 46:26.560]  Fair play.
[46:27.280 --> 46:29.520]  I think that's fair. As long as we're okay with lore existing,
[46:29.640 --> 46:31.300]  I'm with you. Oh, yeah. I'm fine with
[46:31.300 --> 46:33.440]  existing. I'm not fine with
[46:33.440 --> 46:35.380]  people being mad about
[46:35.380 --> 46:37.500]  Donkey Kong timeline. I'm never going to let
[46:37.500 --> 46:39.460]  that go. Donkey Kong timeline is like
[46:39.460 --> 46:41.360]  the craziest thing in the world to me. You care about
[46:41.360 --> 46:43.660]  when the Donkey Kong games take place? Donkey Kong?
[46:44.600 --> 46:45.400]  Donkey Kong?
[46:45.700 --> 46:47.460]  Goddamn. It makes me nuts. That's
[46:47.460 --> 46:49.520]  crazy. So what is
[46:49.520 --> 46:51.400]  that lore? Is Cranky Kong the
[46:51.400 --> 46:53.800]  original Donkey Kong? Right, but that's
[46:53.800 --> 46:55.460]  what people posited. Like, oh,
[46:55.460 --> 46:57.360]  yeah, the original Donkey Kong is Cranky Kong, but then
[46:57.360 --> 46:59.460]  this new game is coming out and Cranky Kong
[46:59.460 --> 47:01.440]  is in it, and people are like, how can there be
[47:01.440 --> 47:03.440]  Kid Pauline, but Cranky Kong?
[47:03.620 --> 47:05.480]  Like, there's people getting mad about
[47:05.480 --> 47:06.960]  that stuff, and you just go, I don't
[47:07.480 --> 47:09.580]  know, man. Who cares? I don't know. Is anyone
[47:09.580 --> 47:11.580]  wondering where Lanky Kong is these days?
[47:11.940 --> 47:13.360]  I don't think anybody
[47:14.540 --> 47:15.500]  wants that. He's got
[47:15.500 --> 47:17.680]  He has no style. He has no grace.
[47:18.220 --> 47:19.700]  Is Lanky Kong the Taylor
[47:19.700 --> 47:21.760]  Kitsch of the Donkey Kong
[47:21.760 --> 47:23.620]  universe? Absolutely. None of it is
[47:23.620 --> 47:25.760]  his fault. Yeah, Donkey is Aaron
[47:25.760 --> 47:26.500]  Taylor Johnson.
[47:31.360 --> 47:33.520]  That's my take. Thank you very much.
[47:34.380 --> 47:35.800]  Gavin, so excited.
[47:36.040 --> 47:37.100]  Go for it. Oh, I can't wait.
[47:40.400 --> 47:41.440]  Every time
[47:41.440 --> 47:43.360]  the CEO of a major
[47:44.220 --> 47:45.180]  global corporation
[47:45.180 --> 47:47.580]  takes a bonus, he first
[47:47.580 --> 47:49.420]  has to stand in front
[47:49.420 --> 47:51.160]  of each employee one by one
[47:51.160 --> 47:53.620]  and tell them what his bonus is about to be
[47:53.620 --> 47:55.520]  and tell them how long
[47:55.520 --> 47:56.940]  it would take that employee
[47:56.940 --> 47:59.160]  to earn the same amount of money
[47:59.880 --> 48:01.480]  on their current salary.
[48:02.720 --> 48:03.540]  Just to see
[48:03.540 --> 48:05.360]  if after going through all that, he still wants
[48:05.360 --> 48:07.100]  to take the bonus. I love it.
[48:07.440 --> 48:09.460]  I think it can't be over
[48:09.460 --> 48:11.640]  a Zoom call or anything. It has to be
[48:11.640 --> 48:13.340]  in the same room, direct face-to-face.
[48:13.800 --> 48:15.300]  So he'll be like, hi,
[48:16.260 --> 48:17.260]  Edwin Jenkins.
[48:17.740 --> 48:19.560]  My bonus this year
[48:19.560 --> 48:21.500]  is $25 million
[48:21.500 --> 48:23.100]  and at your current salary
[48:23.580 --> 48:25.720]  would take you 175 years
[48:25.720 --> 48:27.920]  to earn. Good to see you.
[48:28.280 --> 48:29.400]  And just to see if
[48:29.400 --> 48:31.740]  being overloaded with that
[48:31.740 --> 48:33.560]  would cause any
[48:33.560 --> 48:35.620]  kind of guilt. I don't think
[48:35.620 --> 48:37.260]  it would, unfortunately.
[48:37.920 --> 48:39.720]  I think a lot of the people
[48:39.720 --> 48:41.780]  in these positions are kind of psychotic.
[48:43.220 --> 48:45.160]  Or just void of emotion.
[48:46.060 --> 48:47.760]  I really like this idea.
[48:47.900 --> 48:49.140]  I would almost like to see
[48:49.720 --> 48:51.840]  a scenario in which they have to pitch
[48:51.840 --> 48:53.160]  why they deserve their bonus
[48:53.720 --> 48:55.520]  and then it's Squid Game style
[48:55.520 --> 48:57.540]  where every employee has to vote
[48:57.540 --> 48:59.460]  by hitting a yes or no button
[48:59.460 --> 49:01.560]  whether they receive it or not.
[49:02.680 --> 49:03.660]  I like that.
[49:03.800 --> 49:05.140]  What if it's like a mixed vote?
[49:05.560 --> 49:06.780]  Whatever's the majority wins.
[49:07.820 --> 49:08.860]  They would never
[49:08.860 --> 49:09.380]  get a bonus.
[49:11.320 --> 49:12.900]  That's why you have to state your case
[49:12.900 --> 49:13.460]  really well.
[49:14.520 --> 49:16.960]  Can you imagine any corporation
[49:16.960 --> 49:17.520]  on the planet
[49:18.780 --> 49:19.660]  I think
[49:19.660 --> 49:22.540]  they wouldn't even get 10%,
[49:22.540 --> 49:24.180]  let alone 100%.
[49:24.180 --> 49:26.520]  I think that's totally fine.
[49:26.840 --> 49:28.120]  Make a stronger case.
[49:28.360 --> 49:30.160]  If you're really that good and that much of a leader,
[49:30.320 --> 49:32.440]  you can make your case to these people that you deserve more.
[49:32.800 --> 49:34.740]  I can imagine a CEO walking up
[49:34.740 --> 49:36.720]  and being like, listen y'all, I know I'm not going to get my bonus
[49:36.720 --> 49:38.400]  this year, so I just want to take this time
[49:38.400 --> 49:40.780]  to talk about the fact that we are
[49:40.780 --> 49:42.380]  not smuggling enough things anally.
[49:42.840 --> 49:43.800]  Let's get into this.
[49:44.160 --> 49:45.460]  This could be the future.
